2#apa#apa02#app0218/w  -1.281 0.454  -1.429 0.454  -1.281 0.461  -1.281 0.595  -1.281 0.440  -1.269 0.291  -1.160 0.181  -1.130 0.039  -1.078 -0.104  -1.009 -0.243  -0.917 -0.365  -0.827 -0.482  -0.805 -0.628  -0.695 -0.737  -0.548 -0.756  -0.525 -0.888  -0.390 -0.908  -0.373 -0.769  -0.373 -0.614  -0.271 -0.502  -0.222 -0.367  -0.222 -0.212  -0.222 -0.058  -0.154 0.069  -0.071 0.189  -0.071 0.344  -0.026 0.454  0.081 0.406  0.117 0.266  0.227 0.157  0.232 0.004  0.383 0.000  0.492 -0.109  0.630 -0.151  0.686 -0.250  0.788 -0.302  0.837 -0.408  0.946 -0.454  0.989 -0.341  1.105 -0.302  1.140 -0.183  1.140 -0.028  1.140 0.127  1.140 0.282  1.140 0.437  1.140 0.592  1.140 0.747  1.140 0.901  1.140 1.056  1.140 1.211
2#apa#apa02#app0218/i  0.216 -0.292  0.216 -0.386  0.216 -0.480  0.216 -0.574  0.216 -0.668  0.216 -0.763  0.216 -0.857  0.216 -0.951  0.239 -1.035  0.305 -1.102  0.372 -1.168  0.396 -1.252  0.396 -1.346  0.376 -1.308  0.348 -1.218  0.320 -1.129  0.292 -1.039  0.264 -0.949  0.236 -0.859  0.208 -0.770  0.180 -0.680  0.152 -0.590  0.124 -0.500  0.096 -0.411  0.068 -0.321  0.040 -0.231  0.012 -0.141  -0.016 -0.052  -0.044 0.038  -0.072 0.128  -0.101 0.218  -0.129 0.307  -0.157 0.397  -0.185 0.487  -0.213 0.576  -0.241 0.666  -0.269 0.756  -0.297 0.846  -0.325 0.935  -0.353 1.025  -0.381 1.115  -0.409 1.205  -0.437 1.294  -0.465 1.384  -0.493 1.474  -0.462 1.549  -0.396 1.616  -0.329 1.682  -0.238 1.688  -0.144 1.688
2#apa#apa02#app0218/d  -0.080 -0.425  -0.259 -0.425  -0.434 -0.435  -0.570 -0.540  -0.654 -0.635  -0.769 -0.699  -0.769 -0.878  -0.647 -1.006  -0.512 -1.114  -0.360 -1.178  -0.202 -1.228  -0.023 -1.228  0.156 -1.228  0.314 -1.178  0.362 -1.027  0.328 -0.851  0.294 -0.675  0.261 -0.500  0.227 -0.324  0.193 -0.148  0.159 0.028  0.125 0.203  0.091 0.379  0.058 0.555  0.024 0.731  -0.010 0.907  -0.044 1.082  -0.078 1.258  -0.111 1.434  -0.145 1.610  -0.179 1.785  -0.195 1.776  -0.084 1.644  -0.080 1.466  -0.074 1.290  0.034 1.155  0.075 0.986  0.158 0.828  0.264 0.693  0.264 0.514  0.264 0.335  0.264 0.156  0.264 -0.023  0.264 -0.202  0.264 -0.381  0.264 -0.560  0.264 -0.739  0.288 -0.908  0.379 -1.049  0.379 -1.228
2#apa#apa02#app0218/f  0.223 -1.914  0.061 -1.908  0.053 -1.744  -0.066 -1.625  -0.100 -1.471  -0.100 -1.303  -0.100 -1.136  -0.100 -0.968  -0.100 -0.800  -0.251 -0.782  -0.262 -0.626  -0.262 -0.458  -0.262 -0.290  -0.272 -0.126  -0.390 -0.007  -0.424 0.147  -0.513 0.278  -0.585 0.416  -0.585 0.583  -0.585 0.751  -0.501 0.835  -0.424 0.925  -0.327 0.996  -0.262 1.100  -0.153 1.158  -0.100 1.274  0.021 1.320  0.189 1.320  0.357 1.320  0.385 1.179  0.531 1.158  0.546 1.005  0.705 0.996  0.706 0.832  0.597 0.705  0.487 0.577  0.378 0.450  0.269 0.322  0.160 0.195  0.050 0.067  -0.059 -0.060  -0.168 -0.188  -0.262 -0.321  -0.241 -0.480  -0.122 -0.599  0.037 -0.621  0.204 -0.621  0.372 -0.621  0.540 -0.621  0.708 -0.621
2#apa#apa02#app0218/i  0.161 -0.813  0.161 -0.899  0.161 -0.986  0.222 -1.047  0.283 -1.108  0.334 -1.173  0.334 -1.259  0.349 -1.331  0.435 -1.331  0.501 -1.317  0.471 -1.236  0.441 -1.155  0.410 -1.074  0.380 -0.994  0.350 -0.913  0.319 -0.832  0.289 -0.751  0.259 -0.671  0.229 -0.590  0.198 -0.509  0.168 -0.428  0.138 -0.347  0.107 -0.267  0.077 -0.186  0.047 -0.105  0.017 -0.024  -0.014 0.056  -0.044 0.137  -0.074 0.218  -0.105 0.299  -0.135 0.379  -0.165 0.460  -0.195 0.541  -0.226 0.622  -0.256 0.702  -0.286 0.783  -0.317 0.864  -0.347 0.945  -0.377 1.026  -0.407 1.106  -0.438 1.187  -0.468 1.268  -0.498 1.349  -0.529 1.429  -0.442 1.429  -0.356 1.429  -0.356 1.343  -0.356 1.257  -0.270 1.257  -0.184 1.257
2#apa#apa02#app0218/g  -0.022 1.076  -0.157 1.076  -0.291 1.076  -0.426 1.076  -0.560 1.076  -0.586 0.967  -0.711 0.950  -0.807 0.855  -0.796 0.738  -0.699 0.701  -0.657 0.583  -0.552 0.512  -0.417 0.512  -0.283 0.512  -0.148 0.512  -0.022 0.521  0.008 0.625  0.091 0.677  0.091 0.812  0.091 0.946  0.203 0.958  0.222 0.832  0.316 0.736  0.316 0.601  0.362 0.512  0.429 0.445  0.429 0.310  0.507 0.208  0.542 0.088  0.542 -0.047  0.542 -0.181  0.542 -0.316  0.542 -0.450  0.542 -0.585  0.542 -0.719  0.542 -0.854  0.542 -0.988  0.542 -1.123  0.463 -1.179  0.358 -1.250  0.240 -1.292  0.134 -1.361  0.018 -1.404  -0.117 -1.404  -0.138 -1.292  -0.273 -1.292  -0.408 -1.292  -0.473 -1.222  -0.564 -1.179  -0.586 -1.066
2#apa#apa02#app0218/u  -1.555 0.785  -1.415 0.785  -1.378 0.682  -1.312 0.609  -1.202 0.579  -1.202 0.439  -1.202 0.300  -1.202 0.160  -1.202 0.020  -1.179 -0.096  -1.039 -0.096  -1.026 -0.222  -0.936 -0.272  -0.850 -0.325  -0.833 -0.448  -0.694 -0.448  -0.554 -0.448  -0.414 -0.448  -0.275 -0.448  -0.135 -0.448  0.004 -0.448  0.031 -0.336  0.107 -0.272  0.207 -0.233  0.209 -0.094  0.308 0.005  0.383 0.113  0.383 0.253  0.383 0.393  0.383 0.532  0.383 0.672  0.383 0.758  0.383 0.619  0.513 0.609  0.560 0.516  0.560 0.376  0.574 0.242  0.672 0.144  0.736 0.030  0.749 -0.096  0.889 -0.096  0.912 -0.212  0.992 -0.272  1.088 -0.316  1.095 -0.448  1.234 -0.448  1.264 -0.558  1.337 -0.625  1.441 -0.661  1.441 -0.801
2#apa#apa02#app0218/r  -0.963 0.873  -0.860 0.770  -0.757 0.667  -0.705 0.543  -0.705 0.397  -0.599 0.356  -0.454 0.356  -0.446 0.218  -0.446 0.072  -0.446 -0.074  -0.404 -0.202  -0.301 -0.305  -0.198 -0.408  -0.188 -0.549  -0.188 -0.695  -0.188 -0.841  -0.136 -0.934  0.010 -0.934  0.070 -1.020  0.070 -1.166  0.070 -1.311  0.076 -1.451  0.222 -1.451  0.328 -1.411  0.328 -1.265  0.277 -1.141  0.174 -1.038  0.071 -0.935  0.070 -0.789  0.070 -0.644  0.070 -0.498  0.070 -0.352  0.070 -0.207  0.070 -0.061  0.070 0.085  0.070 0.230  0.070 0.376  0.070 0.522  0.070 0.668  0.070 0.813  0.131 0.934  0.234 1.037  0.328 1.143  0.328 1.289  0.374 1.389  0.520 1.389  0.665 1.389  0.811 1.389  0.957 1.389  1.103 1.389
2#apa#apa02#app0218/e  -0.344 -0.504  -0.176 -0.504  -0.104 -0.408  -0.088 -0.247  0.031 -0.128  0.136 -0.004  0.136 0.164  0.251 0.217  0.376 0.260  0.376 0.427  0.376 0.595  0.376 0.763  0.376 0.931  0.538 0.938  0.617 1.027  0.600 1.178  0.432 1.178  0.265 1.178  0.097 1.178  -0.071 1.178  -0.200 1.083  -0.318 0.964  -0.476 0.938  -0.585 0.879  -0.585 0.711  -0.739 0.698  -0.825 0.616  -0.825 0.448  -0.825 0.280  -0.825 0.112  -0.825 -0.056  -0.825 -0.224  -0.825 -0.392  -0.769 -0.504  -0.601 -0.504  -0.585 -0.655  -0.506 -0.744  -0.340 -0.749  -0.221 -0.868  -0.101 -0.984  0.067 -0.984  0.235 -0.984  0.402 -0.984  0.570 -0.984  0.738 -0.984  0.906 -0.984  1.074 -0.984  1.097 -1.129  1.170 -1.225  1.338 -1.225
2#apa#apa02#app0218/l  -0.400 1.468  -0.324 1.468  -0.248 1.468  -0.248 1.393  -0.248 1.317  -0.173 1.316  -0.097 1.316  -0.095 1.242  -0.095 1.166  -0.095 1.090  -0.095 1.014  -0.095 0.938  -0.095 0.863  -0.095 0.787  -0.095 0.711  -0.095 0.635  -0.095 0.559  -0.024 0.555  0.052 0.555  0.057 0.484  0.057 0.408  0.057 0.333  0.057 0.257  0.057 0.181  0.057 0.105  0.057 0.029  0.057 -0.046  0.057 -0.122  0.057 -0.198  0.057 -0.274  0.057 -0.350  0.057 -0.425  0.057 -0.501  0.057 -0.577  0.057 -0.653  0.057 -0.729  0.057 -0.804  0.057 -0.880  0.057 -0.956  0.057 -1.032  0.057 -1.108  0.057 -1.183  0.057 -1.259  0.102 -1.316  0.156 -1.370  0.209 -1.424  0.209 -1.499  0.209 -1.575  0.209 -1.651  0.209 -1.727
2#apa#apa02#app0218/e  -0.784 -0.075  -0.617 -0.075  -0.450 -0.075  -0.308 -0.015  -0.190 0.103  -0.035 0.134  0.050 0.216  0.090 0.343  0.257 0.343  0.259 0.508  0.383 0.551  0.468 0.634  0.468 0.801  0.468 0.968  0.468 1.135  0.343 1.177  0.175 1.177  0.008 1.177  -0.159 1.177  -0.326 1.177  -0.367 1.051  -0.451 0.969  -0.576 0.926  -0.577 0.759  -0.695 0.641  -0.784 0.511  -0.784 0.344  -0.784 0.177  -0.784 0.010  -0.784 -0.157  -0.743 -0.283  -0.576 -0.283  -0.576 -0.450  -0.451 -0.492  -0.367 -0.576  -0.325 -0.701  -0.158 -0.701  -0.158 -0.868  -0.032 -0.909  0.135 -0.909  0.289 -0.940  0.407 -1.058  0.550 -1.118  0.717 -1.118  0.884 -1.118  1.051 -1.118  1.218 -1.118  1.302 -1.035  1.344 -0.909  1.511 -0.909
2#apa#apa02#app0218/a  0.462 0.327  0.462 0.481  0.352 0.524  0.198 0.524  0.069 0.548  0.069 0.701  -0.065 0.720  -0.218 0.720  -0.372 0.720  -0.525 0.720  -0.678 0.720  -0.832 0.720  -0.985 0.720  -1.110 0.691  -1.110 0.538  -1.248 0.524  -1.306 0.428  -1.306 0.275  -1.306 0.121  -1.306 -0.032  -1.186 -0.066  -1.055 -0.120  -0.947 -0.228  -0.839 -0.336  -0.730 -0.445  -0.583 -0.458  -0.429 -0.458  -0.276 -0.458  -0.123 -0.458  0.031 -0.458  0.184 -0.458  0.265 -0.387  0.286 -0.242  0.394 -0.133  0.462 -0.008  0.462 0.116  0.462 -0.037  0.586 -0.066  0.658 -0.147  0.697 -0.262  0.850 -0.262  0.855 -0.411  0.960 -0.458  1.051 -0.521  1.070 -0.655  1.224 -0.655  1.377 -0.655  1.530 -0.655  1.683 -0.655  1.837 -0.655
2#apa#apa02#app0218/n  -1.169 0.763  -1.044 0.638  -0.957 0.499  -0.941 0.339  -0.765 0.339  -0.745 0.184  -0.745 0.008  -0.745 -0.167  -0.745 -0.343  -0.737 -0.515  -0.613 -0.640  -0.534 -0.782  -0.514 -0.950  -0.390 -1.074  -0.322 -1.063  -0.322 -0.888  -0.322 -0.712  -0.322 -0.536  -0.322 -0.361  -0.400 -0.218  -0.524 -0.093  -0.534 0.078  -0.534 0.254  -0.534 0.430  -0.534 0.605  -0.515 0.763  -0.340 0.763  -0.322 0.920  -0.200 0.974  -0.025 0.974  0.151 0.974  0.313 0.960  0.313 0.785  0.466 0.763  0.642 0.763  0.736 0.681  0.736 0.506  0.736 0.330  0.736 0.154  0.885 0.128  0.948 0.015  0.948 -0.161  0.989 -0.296  1.160 -0.300  1.160 -0.476  1.160 -0.652  1.160 -0.827  1.160 -1.003  1.160 -1.178  1.160 -1.354
2#apa#apa02#app0218/e  -0.288 -0.244  -0.127 -0.244  0.003 -0.171  0.117 -0.057  0.264 -0.026  0.366 0.033  0.367 0.193  0.528 0.193  0.585 0.296  0.585 0.457  0.585 0.617  0.734 0.629  0.803 0.720  0.769 0.847  0.608 0.847  0.585 0.984  0.505 1.065  0.345 1.065  0.184 1.065  0.023 1.065  -0.137 1.065  -0.295 1.058  -0.408 0.945  -0.529 0.847  -0.689 0.847  -0.813 0.758  -0.927 0.645  -0.942 0.491  -0.942 0.330  -0.942 0.170  -0.942 0.009  -0.942 -0.152  -0.894 -0.292  -0.780 -0.406  -0.667 -0.519  -0.553 -0.633  -0.506 -0.774  -0.470 -0.898  -0.309 -0.898  -0.149 -0.898  -0.070 -0.980  -0.046 -1.116  0.115 -1.116  0.276 -1.116  0.436 -1.116  0.597 -1.116  0.757 -1.116  0.918 -1.116  1.078 -1.116  1.239 -1.116
2#apa#apa02#app0218/d  0.357 -0.366  0.187 -0.306  0.016 -0.264  -0.136 -0.366  -0.331 -0.366  -0.526 -0.366  -0.586 -0.535  -0.630 -0.705  -0.527 -0.857  -0.504 -1.029  -0.341 -1.105  -0.271 -1.250  -0.079 -1.256  0.073 -1.360  0.136 -1.228  0.128 -1.033  0.114 -0.839  0.100 -0.645  0.087 -0.451  0.073 -0.256  0.059 -0.062  0.045 0.132  0.031 0.326  0.017 0.521  0.003 0.715  -0.011 0.909  -0.024 1.103  -0.038 1.298  -0.052 1.492  -0.066 1.686  -0.080 1.880  -0.085 1.833  0.010 1.733  0.025 1.554  0.025 1.359  0.037 1.169  0.136 1.016  0.136 0.821  0.136 0.626  0.136 0.431  0.136 0.236  0.136 0.042  0.136 -0.153  0.201 -0.321  0.246 -0.497  0.246 -0.692  0.246 -0.886  0.246 -1.081  0.272 -1.250  0.357 -1.360
2#apa#apa02#app0218/o  0.196 0.708  0.035 0.708  -0.125 0.708  -0.198 0.620  -0.249 0.511  -0.409 0.511  -0.569 0.511  -0.689 0.413  -0.808 0.314  -0.969 0.314  -0.986 0.171  -1.092 0.117  -1.183 0.047  -1.183 -0.113  -1.183 -0.274  -1.183 -0.434  -1.062 -0.474  -0.986 -0.558  -0.952 -0.704  -0.839 -0.818  -0.699 -0.868  -0.539 -0.868  -0.379 -0.868  -0.218 -0.868  -0.058 -0.868  0.102 -0.868  0.263 -0.868  0.423 -0.868  0.583 -0.868  0.698 -0.759  0.822 -0.671  0.983 -0.671  0.983 -0.511  1.038 -0.364  1.110 -0.221  1.180 -0.077  1.180 0.083  1.091 0.207  0.983 0.323  0.983 0.483  0.851 0.511  0.787 0.607  0.727 0.708  0.567 0.708  0.407 0.708  0.393 0.854  0.283 0.905  0.123 0.905  -0.038 0.905  -0.198 0.905
2#apa#apa02#app0218/u  -1.312 0.831  -1.312 0.683  -1.193 0.653  -1.224 0.653  -1.312 0.593  -1.312 0.444  -1.312 0.295  -1.312 0.147  -1.191 0.119  -1.134 0.027  -1.090 -0.103  -0.985 -0.208  -0.880 -0.313  -0.775 -0.419  -0.669 -0.524  -0.550 -0.594  -0.401 -0.594  -0.252 -0.594  -0.243 -0.455  -0.133 -0.416  -0.065 -0.335  -0.014 -0.238  0.113 -0.216  0.113 -0.067  0.113 0.081  0.225 0.119  0.292 0.201  0.292 0.349  0.292 0.498  0.292 0.647  0.292 0.795  0.292 0.719  0.292 0.570  0.292 0.421  0.316 0.297  0.465 0.297  0.470 0.153  0.470 0.005  0.530 -0.119  0.635 -0.224  0.778 -0.238  0.897 -0.309  1.002 -0.414  1.108 -0.519  1.225 -0.594  1.370 -0.584  1.475 -0.479  1.598 -0.416  1.717 -0.386  1.717 -0.238
2#apa#apa02#app0218/t  -0.502 1.942  -0.333 1.942  -0.310 1.795  -0.310 1.625  -0.208 1.557  -0.118 1.478  -0.118 1.308  -0.118 1.139  -0.118 0.969  -0.118 0.800  -0.118 0.630  -0.022 0.500  0.074 0.370  0.074 0.201  0.074 0.031  0.074 -0.139  0.074 -0.308  0.074 -0.478  0.074 -0.648  0.122 -0.798  0.242 -0.918  0.267 -1.077  0.267 -1.246  0.267 -1.416  0.333 -1.519  0.503 -1.519  0.651 -1.498  0.651 -1.329  0.548 -1.194  0.444 -1.060  0.340 -0.926  0.236 -0.793  0.131 -0.659  0.027 -0.525  -0.077 -0.391  -0.181 -0.257  -0.285 -0.123  -0.389 0.011  -0.493 0.145  -0.598 0.279  -0.683 0.403  -0.514 0.403  -0.502 0.245  -0.367 0.211  -0.197 0.211  -0.027 0.211  0.142 0.211  0.267 0.166  0.289 0.019  0.459 0.019
2#apa#apa02#app0218/,  -0.587 1.300  -0.510 1.300  -0.433 1.300  -0.356 1.300  -0.279 1.300  -0.244 1.258  -0.244 1.181  -0.244 1.104  -0.244 1.027  -0.237 0.957  -0.160 0.957  -0.083 0.957  -0.006 0.957  0.071 0.957  0.099 0.908  0.099 0.831  0.099 0.754  0.099 0.677  0.099 0.600  0.099 0.523  0.099 0.446  0.099 0.369  0.099 0.291  0.099 0.214  0.099 0.137  0.099 0.060  0.099 -0.017  0.099 -0.094  0.099 -0.171  0.099 -0.248  0.099 -0.325  0.099 -0.402  0.099 -0.479  0.099 -0.556  0.099 -0.633  0.099 -0.710  0.099 -0.787  0.099 -0.864  0.099 -0.941  0.099 -1.018  0.099 -1.095  0.099 -1.172  0.099 -1.249  0.099 -1.326  0.099 -1.403  0.099 -1.480  0.099 -1.557  0.099 -1.634  0.099 -1.712  0.099 -1.789
