2#tos#f1#f1007061/#  -0.498 0.837  -0.896 0.746  -1.066 0.666  -0.651 0.666  -0.236 0.666  0.179 0.666  0.594 0.666  1.008 0.666  0.923 0.670  0.539 0.513  0.155 0.356  -0.229 0.199  -0.613 0.042  -0.834 -0.232  -1.194 -0.438  -1.117 -0.528  -0.702 -0.528  -0.288 -0.528  0.108 -0.465  0.491 -0.357  0.906 -0.357  1.294 -0.220  1.702 -0.187  1.687 -0.085  1.316 0.100  0.945 0.286  0.574 0.471  0.203 0.657  -0.170 0.837  -0.583 0.836  -0.583 0.421  -0.603 0.009  -0.669 -0.395  -0.757 -0.789  -0.839 -1.185  -0.752 -1.180  -0.588 -0.800  -0.423 -0.419  -0.258 -0.038  -0.093 0.342  0.072 0.723  0.237 1.104  0.184 0.880  0.270 0.478  0.270 0.064  0.270 -0.351  0.270 -0.766  0.249 -1.177  0.099 -1.563  0.099 -1.978
2#tos#f1#f1007061/|  0.025 1.629  -0.040 1.609  -0.102 1.583  -0.110 1.518  -0.110 1.445  -0.110 1.372  -0.104 1.300  -0.071 1.235  -0.065 1.163  -0.065 1.090  -0.065 1.017  -0.028 0.959  -0.020 0.889  -0.020 0.816  -0.020 0.743  -0.020 0.669  -0.020 0.596  -0.020 0.523  -0.004 0.453  0.019 0.383  0.025 0.311  0.025 0.238  0.027 0.165  0.033 0.092  0.040 0.019  0.047 -0.054  0.053 -0.127  0.060 -0.200  0.067 -0.272  0.073 -0.345  0.080 -0.418  0.086 -0.491  0.093 -0.564  0.100 -0.637  0.106 -0.710  0.113 -0.782  0.115 -0.855  0.115 -0.929  0.115 -1.002  0.083 -1.057  0.022 -1.098  -0.041 -1.136  -0.106 -1.169  -0.110 -1.239  -0.110 -1.312  -0.080 -1.367  -0.020 -1.403  -0.020 -1.476  -0.020 -1.549  -0.020 -1.622
2#tos#f1#f1007061/1  -0.025 1.483  0.046 1.483  0.103 1.498  0.103 1.526  0.103 1.454  0.103 1.383  0.103 1.311  0.103 1.240  0.103 1.169  0.103 1.097  0.103 1.026  0.103 0.954  0.103 0.883  0.103 0.812  0.103 0.740  0.103 0.669  0.103 0.597  0.103 0.526  0.103 0.454  0.103 0.383  0.095 0.313  0.063 0.250  0.032 0.186  -0.000 0.122  -0.028 0.057  -0.040 -0.014  -0.051 -0.084  -0.063 -0.155  -0.075 -0.225  -0.087 -0.296  -0.089 -0.367  -0.089 -0.438  -0.089 -0.510  -0.089 -0.581  -0.089 -0.653  -0.089 -0.724  -0.089 -0.795  -0.089 -0.867  -0.089 -0.938  -0.089 -1.010  -0.089 -1.081  -0.089 -1.152  -0.089 -1.224  -0.089 -1.295  -0.089 -1.367  -0.089 -1.438  -0.089 -1.509  -0.089 -1.581  -0.089 -1.652  -0.025 -1.660
2#tos#f1#f1007061/4  0.684 1.258  0.483 1.201  0.292 1.144  0.134 1.087  -0.041 0.990  -0.192 0.838  -0.373 0.725  -0.554 0.611  -0.746 0.515  -0.941 0.432  -1.094 0.282  -1.266 0.153  -1.440 0.048  -1.543 -0.135  -1.477 -0.283  -1.322 -0.382  -1.118 -0.398  -0.903 -0.398  -0.713 -0.472  -0.503 -0.514  -0.291 -0.549  -0.078 -0.569  0.136 -0.577  0.343 -0.626  0.553 -0.665  0.765 -0.683  0.967 -0.740  1.141 -0.781  1.243 -0.831  1.145 -0.640  1.046 -0.449  0.948 -0.258  0.849 -0.067  0.751 0.124  0.652 0.315  0.554 0.505  0.455 0.696  0.356 0.887  0.159 0.916  0.056 0.804  0.085 0.601  0.113 0.398  0.113 0.183  0.113 -0.032  0.113 -0.247  0.113 -0.461  0.061 -0.668  0.056 -0.882  0.056 -1.097  0.056 -1.311
2#tos#f1#f1007061/5  0.187 1.723  0.132 1.594  0.021 1.489  0.021 1.305  0.021 1.121  -0.025 0.956  -0.129 0.805  -0.145 0.626  -0.150 0.444  -0.201 0.281  -0.256 0.153  -0.132 0.061  0.021 -0.003  0.130 -0.132  0.266 -0.252  0.372 -0.402  0.515 -0.518  0.630 -0.644  0.630 -0.828  0.617 -1.006  0.520 -1.149  0.413 -1.267  0.229 -1.269  0.046 -1.269  -0.138 -1.269  -0.322 -1.269  -0.483 -1.212  -0.656 -1.152  -0.825 -1.080  -0.967 -0.979  -0.998 -0.824  -0.904 -0.666  -0.810 -0.508  -0.716 -0.350  -0.622 -0.192  -0.529 -0.034  -0.435 0.124  -0.341 0.282  -0.247 0.440  -0.153 0.599  -0.059 0.757  0.021 0.865  0.065 0.725  0.236 0.670  0.418 0.646  0.598 0.615  0.776 0.573  0.953 0.522  1.111 0.448  1.295 0.448
2#tos#f1#f1007061/6  0.992 1.452  1.091 1.452  0.953 1.452  0.815 1.452  0.713 1.387  0.635 1.275  0.497 1.275  0.372 1.245  0.275 1.148  0.177 1.050  0.099 0.938  0.015 0.829  -0.082 0.732  -0.180 0.634  -0.277 0.537  -0.374 0.440  -0.472 0.342  -0.569 0.245  -0.666 0.148  -0.739 0.035  -0.778 -0.096  -0.778 -0.234  -0.778 -0.371  -0.769 -0.505  -0.719 -0.622  -0.699 -0.752  -0.602 -0.849  -0.471 -0.893  -0.346 -0.948  -0.222 -1.009  -0.089 -1.026  0.049 -1.026  0.186 -1.026  0.324 -1.026  0.462 -1.026  0.597 -1.017  0.697 -0.941  0.683 -0.806  0.639 -0.676  0.526 -0.598  0.408 -0.528  0.285 -0.466  0.193 -0.373  0.092 -0.300  -0.041 -0.266  -0.167 -0.211  -0.300 -0.178  -0.435 -0.151  -0.563 -0.121  -0.660 -0.023
2#tos#f1#f1007061/7  0.332 1.156  0.235 1.140  0.141 1.113  0.059 1.058  -0.013 0.991  -0.106 0.975  -0.203 0.967  -0.299 0.943  -0.361 0.902  -0.460 0.902  -0.442 0.830  -0.343 0.830  -0.256 0.857  -0.161 0.866  -0.062 0.866  0.037 0.866  0.091 0.794  0.190 0.794  0.260 0.765  0.336 0.707  0.411 0.643  0.466 0.562  0.494 0.470  0.513 0.376  0.513 0.277  0.513 0.178  0.495 0.087  0.425 0.017  0.360 -0.056  0.316 -0.145  0.271 -0.233  0.233 -0.324  0.196 -0.416  0.154 -0.505  0.085 -0.576  0.015 -0.645  -0.041 -0.724  -0.072 -0.817  -0.105 -0.910  -0.175 -0.980  -0.245 -1.050  -0.290 -1.138  -0.334 -1.226  -0.368 -1.318  -0.392 -1.414  -0.436 -1.503  -0.475 -1.593  -0.500 -1.688  -0.500 -1.786  -0.500 -1.885
2#tos#f1#f1007061/A  -1.110 -0.893  -1.221 -1.007  -1.350 -1.058  -1.343 -0.883  -1.250 -0.734  -1.207 -0.563  -1.110 -0.426  -1.036 -0.266  -0.924 -0.132  -0.815 0.006  -0.717 0.153  -0.602 0.286  -0.490 0.421  -0.401 0.574  -0.305 0.718  -0.163 0.824  -0.104 0.975  0.024 1.024  0.129 1.158  0.289 1.216  0.466 1.216  0.606 1.128  0.704 0.983  0.807 0.905  0.857 0.760  0.903 0.611  0.909 0.436  0.950 0.269  0.950 0.092  0.950 -0.085  0.950 -0.261  0.950 -0.438  0.950 -0.615  0.950 -0.792  0.923 -0.941  0.779 -0.844  0.640 -0.735  0.501 -0.626  0.362 -0.517  0.222 -0.408  0.083 -0.299  -0.056 -0.190  -0.195 -0.081  -0.371 -0.078  -0.548 -0.078  -0.441 -0.078  -0.283 -0.156  -0.111 -0.174  0.066 -0.174  0.232 -0.222
2#tos#f1#f1007061/B  -0.211 1.328  -0.121 1.183  -0.183 0.934  -0.267 0.694  -0.297 0.444  -0.452 0.235  -0.563 0.005  -0.606 -0.251  -0.675 -0.501  -0.792 -0.734  -0.830 -0.985  -0.830 -1.245  -0.811 -1.358  -0.744 -1.106  -0.677 -0.855  -0.610 -0.604  -0.543 -0.352  -0.476 -0.101  -0.409 0.150  -0.342 0.401  -0.275 0.653  -0.208 0.904  -0.155 1.157  -0.009 1.272  0.251 1.272  0.441 1.174  0.649 1.103  0.872 0.981  1.027 0.803  1.027 0.543  0.858 0.405  0.688 0.315  0.479 0.232  0.238 0.202  -0.018 0.218  0.016 0.315  0.276 0.315  0.423 0.202  0.611 0.067  0.789 -0.122  0.915 -0.330  0.915 -0.590  0.897 -0.846  0.704 -0.989  0.459 -1.036  0.221 -1.130  -0.035 -1.149  -0.295 -1.149  -0.548 -1.093  -0.774 -0.980
2#tos#f1#f1007061/D  -0.452 0.958  -0.500 0.744  -0.500 0.517  -0.500 0.291  -0.500 0.065  -0.500 -0.161  -0.569 -0.365  -0.595 -0.588  -0.595 -0.814  -0.690 -0.942  -0.661 -0.718  -0.632 -0.493  -0.603 -0.269  -0.574 -0.045  -0.545 0.179  -0.516 0.404  -0.500 0.629  -0.472 0.843  -0.342 1.006  -0.115 1.006  0.111 1.006  0.337 1.006  0.563 1.006  0.720 0.911  0.884 0.768  1.110 0.768  1.244 0.593  1.357 0.433  1.479 0.251  1.497 0.027  1.497 -0.199  1.368 -0.375  1.204 -0.519  1.015 -0.632  0.879 -0.777  0.658 -0.826  0.453 -0.910  0.238 -0.957  0.017 -1.004  -0.205 -1.038  -0.347 -0.923  -0.416 -0.708  -0.484 -0.492  -0.553 -0.277  -0.622 -0.062  -0.694 0.150  -0.920 0.150  -0.900 0.150  -0.676 0.128  -0.452 0.103
2#tos#f1#f1007061/E  -0.686 0.973  -0.827 0.920  -0.595 0.920  -0.364 0.920  -0.133 0.928  0.082 1.014  0.307 1.044  0.526 1.117  0.755 1.133  0.982 1.177  1.212 1.186  1.130 1.153  0.903 1.103  0.677 1.054  0.450 1.005  0.224 0.956  0.052 0.859  -0.111 0.696  -0.304 0.600  -0.420 0.422  -0.420 0.190  -0.420 -0.041  -0.420 -0.273  -0.420 -0.505  -0.511 -0.709  -0.537 -0.935  -0.620 -1.145  -0.575 -1.061  -0.491 -0.845  -0.407 -0.629  -0.323 -0.413  -0.318 -0.252  -0.289 -0.252  -0.058 -0.252  0.173 -0.240  0.401 -0.199  0.593 -0.159  0.605 -0.205  0.409 -0.329  0.213 -0.453  0.017 -0.576  -0.179 -0.700  -0.313 -0.858  -0.473 -0.930  -0.432 -1.145  -0.259 -1.211  -0.049 -1.264  0.182 -1.264  0.414 -1.264  0.646 -1.264
2#tos#f1#f1007061/G  0.667 1.032  0.771 1.205  0.762 1.344  0.627 1.396  0.423 1.396  0.219 1.396  0.121 1.282  -0.069 1.206  -0.265 1.150  -0.424 1.033  -0.569 0.888  -0.725 0.772  -0.893 0.702  -1.014 0.537  -1.100 0.359  -1.100 0.155  -1.100 -0.049  -1.100 -0.253  -1.100 -0.457  -0.973 -0.569  -0.848 -0.724  -0.662 -0.801  -0.485 -0.890  -0.281 -0.890  -0.077 -0.890  0.127 -0.890  0.331 -0.890  0.535 -0.890  0.617 -0.837  0.477 -0.689  0.337 -0.540  0.197 -0.391  0.057 -0.243  -0.083 -0.094  -0.249 -0.007  -0.418 -0.059  -0.213 -0.059  -0.061 -0.111  0.143 -0.111  0.347 -0.111  0.551 -0.111  0.755 -0.111  0.959 -0.111  0.845 -0.059  0.759 -0.185  0.719 -0.380  0.716 -0.583  0.625 -0.766  0.563 -0.946  0.563 -1.150
2#tos#f1#f1007061/H  -0.749 1.097  -0.654 1.043  -0.654 0.893  -0.654 0.743  -0.654 0.593  -0.654 0.443  -0.654 0.293  -0.733 0.167  -0.773 0.025  -0.804 -0.122  -0.840 -0.268  -0.903 -0.403  -0.961 -0.541  -0.987 -0.687  -1.026 -0.830  -1.083 -0.967  -1.048 -0.990  -0.972 -0.861  -0.896 -0.731  -0.820 -0.602  -0.744 -0.473  -0.668 -0.344  -0.594 -0.214  -0.558 -0.072  -0.484 0.014  -0.342 0.048  -0.192 0.048  -0.042 0.048  0.108 0.048  0.258 0.048  0.407 0.048  0.557 0.048  0.707 0.048  0.857 0.048  0.968 0.115  0.989 0.262  1.032 0.406  1.075 0.549  1.111 0.694  1.111 0.778  1.111 0.628  1.111 0.478  1.111 0.329  1.111 0.179  1.111 0.029  1.111 -0.121  1.103 -0.270  1.067 -0.416  1.063 -0.565  1.063 -0.715
2#tos#f1#f1007061/I  -0.048 1.226  -0.167 1.202  -0.286 1.178  -0.250 1.118  -0.129 1.118  -0.008 1.118  0.113 1.118  0.222 1.065  0.343 1.065  0.464 1.065  0.585 1.065  0.705 1.063  0.636 1.011  0.515 1.011  0.393 1.011  0.272 1.011  0.167 0.995  0.167 0.874  0.148 0.757  0.113 0.644  0.113 0.523  0.113 0.402  0.113 0.280  0.113 0.159  0.113 0.038  0.113 -0.083  0.086 -0.200  0.059 -0.317  0.059 -0.438  0.055 -0.558  0.001 -0.667  -0.048 -0.776  -0.103 -0.875  -0.160 -0.979  -0.281 -0.979  -0.371 -1.011  -0.470 -1.033  -0.591 -1.033  -0.694 -1.015  -0.715 -0.979  -0.640 -1.025  -0.530 -1.061  -0.425 -1.099  -0.345 -1.141  -0.224 -1.141  -0.103 -1.141  0.019 -1.141  0.140 -1.141  0.261 -1.141  0.382 -1.141
2#tos#f1#f1007061/K  -0.549 1.590  -0.650 1.657  -0.549 1.484  -0.549 1.248  -0.505 1.016  -0.498 0.781  -0.498 0.545  -0.512 0.310  -0.549 0.078  -0.549 -0.158  -0.552 -0.394  -0.598 -0.625  -0.600 -0.861  -0.600 -1.097  -0.600 -1.333  -0.584 -1.524  -0.442 -1.336  -0.299 -1.148  -0.156 -0.960  -0.013 -0.772  0.130 -0.585  0.273 -0.397  0.416 -0.209  0.559 -0.021  0.701 0.166  0.844 0.354  0.987 0.542  1.130 0.730  1.212 0.832  0.984 0.787  0.811 0.680  0.588 0.623  0.358 0.569  0.132 0.511  -0.078 0.413  -0.310 0.372  -0.534 0.298  -0.751 0.261  -0.802 0.147  -0.650 0.063  -0.504 -0.027  -0.376 -0.169  -0.166 -0.262  0.056 -0.340  0.247 -0.470  0.471 -0.536  0.693 -0.615  0.913 -0.700  1.144 -0.735  1.372 -0.785
2#tos#f1#f1007061/N  -0.967 0.843  -0.967 0.860  -0.967 0.632  -0.967 0.404  -0.967 0.176  -0.967 -0.052  -0.967 -0.279  -0.983 -0.505  -1.008 -0.728  -1.008 -0.775  -1.001 -0.548  -0.990 -0.320  -0.979 -0.093  -0.968 0.135  -0.967 0.363  -1.049 0.564  -0.872 0.542  -0.665 0.458  -0.510 0.305  -0.342 0.151  -0.144 0.048  0.051 -0.063  0.197 -0.235  0.334 -0.417  0.516 -0.554  0.661 -0.710  0.745 -0.912  0.860 -1.106  0.905 -1.292  0.864 -1.148  0.783 -0.945  0.737 -0.724  0.701 -0.501  0.682 -0.283  0.579 -0.111  0.498 0.093  0.483 0.318  0.457 0.542  0.457 0.769  0.457 0.997  0.498 1.208  0.618 1.213  0.657 0.988  0.737 0.776  0.754 0.551  0.783 0.326  0.783 0.099  0.814 -0.126  0.823 -0.353  0.823 -0.581
2#tos#f1#f1007061/O  0.147 0.140  0.147 0.164  0.108 0.023  0.030 -0.101  0.009 -0.243  -0.029 -0.385  -0.083 -0.522  -0.109 -0.664  -0.109 -0.811  -0.109 -0.958  -0.109 -1.105  -0.030 -1.219  0.022 -1.354  0.162 -1.382  0.306 -1.396  0.453 -1.396  0.593 -1.365  0.672 -1.256  0.702 -1.122  0.702 -0.975  0.702 -0.828  0.702 -0.681  0.659 -0.544  0.586 -0.427  0.482 -0.323  0.393 -0.207  0.361 -0.070  0.253 -0.031  0.116 0.012  -0.005 0.056  -0.076 0.185  -0.147 0.313  -0.218 0.442  -0.289 0.571  -0.360 0.699  -0.431 0.828  -0.502 0.957  -0.573 1.085  -0.644 1.214  -0.770 1.249  -0.917 1.249  -0.890 1.177  -0.750 1.153  -0.607 1.121  -0.460 1.121  -0.313 1.121  -0.166 1.121  -0.019 1.121  0.128 1.121  0.275 1.121
2#tos#f1#f1007061/Q  -0.275 -0.815  -0.392 -0.944  -0.576 -0.918  -0.770 -0.901  -0.912 -0.764  -1.022 -0.623  -1.094 -0.465  -1.094 -0.254  -1.094 -0.044  -1.056 0.161  -0.935 0.332  -0.837 0.518  -0.712 0.687  -0.642 0.856  -0.480 0.981  -0.320 1.083  -0.145 1.169  0.022 1.212  0.233 1.212  0.443 1.212  0.644 1.193  0.791 1.058  0.954 0.932  1.059 0.782  1.062 0.574  1.062 0.363  1.062 0.153  1.058 -0.057  0.983 -0.248  0.854 -0.412  0.750 -0.594  0.633 -0.769  0.428 -0.812  0.287 -0.944  0.076 -0.944  -0.134 -0.944  -0.306 -0.882  -0.460 -0.746  -0.490 -0.543  -0.490 -0.332  -0.490 -0.122  -0.453 0.066  -0.302 0.177  -0.092 0.177  0.109 0.136  0.306 0.064  0.451 -0.071  0.633 -0.172  0.738 -0.349  0.933 -0.427
2#tos#f1#f1007061/R  -0.462 0.919  -0.367 0.895  -0.304 0.677  -0.264 0.448  -0.264 0.211  -0.264 -0.025  -0.264 -0.262  -0.264 -0.498  -0.264 -0.734  -0.264 -0.971  -0.264 -1.207  -0.264 -1.443  -0.343 -1.515  -0.422 -1.311  -0.478 -1.093  -0.501 -0.859  -0.501 -0.622  -0.501 -0.386  -0.501 -0.150  -0.501 0.087  -0.501 0.323  -0.501 0.559  -0.501 0.796  -0.501 1.032  -0.439 1.243  -0.327 1.394  -0.090 1.394  0.146 1.394  0.358 1.315  0.575 1.226  0.764 1.097  0.881 0.931  0.921 0.701  0.864 0.505  0.693 0.353  0.508 0.229  0.279 0.184  0.065 0.090  -0.171 0.090  -0.368 0.129  -0.222 0.029  -0.123 -0.163  0.075 -0.289  0.242 -0.456  0.390 -0.638  0.556 -0.800  0.718 -0.955  0.819 -1.133  0.996 -1.289  1.158 -1.451
