3#apb#apb38#app3876/S  -1.338 -0.810  -1.250 -0.779  -1.064 -0.704  -0.896 -0.586  -0.733 -0.460  -0.574 -0.331  -0.415 -0.201  -0.256 -0.071  -0.100 0.063  0.056 0.196  0.212 0.330  0.353 0.479  0.492 0.631  0.630 0.783  0.749 0.950  0.866 1.118  0.948 1.305  0.993 1.502  0.940 1.694  0.830 1.568  0.762 1.374  0.697 1.179  0.632 0.985  0.568 0.790  0.505 0.594  0.448 0.397  0.391 0.199  0.340 0.000  0.293 -0.200  0.248 -0.400  0.210 -0.602  0.171 -0.804  0.092 -0.985  -0.088 -1.029  -0.273 -0.944  -0.440 -0.825  -0.605 -0.702  -0.768 -0.578  -0.922 -0.443  -1.057 -0.288  -1.003 -0.334  -0.856 -0.473  -0.675 -0.554  -0.470 -0.575  -0.268 -0.545  -0.066 -0.508  0.133 -0.455  0.331 -0.400  0.519 -0.318  0.706 -0.233
3#apb#apb38#app3876/c  0.862 0.998  0.850 1.083  0.838 1.169  0.804 1.248  0.746 1.278  0.664 1.251  0.582 1.224  0.509 1.180  0.446 1.121  0.383 1.062  0.319 1.003  0.256 0.944  0.192 0.886  0.133 0.823  0.075 0.758  0.018 0.694  -0.040 0.629  -0.097 0.564  -0.154 0.500  -0.212 0.435  -0.267 0.368  -0.311 0.294  -0.356 0.220  -0.400 0.146  -0.445 0.071  -0.489 -0.003  -0.534 -0.077  -0.576 -0.152  -0.581 -0.238  -0.585 -0.324  -0.589 -0.411  -0.594 -0.497  -0.598 -0.584  -0.602 -0.670  -0.552 -0.737  -0.493 -0.801  -0.435 -0.865  -0.377 -0.929  -0.313 -0.984  -0.233 -1.019  -0.154 -1.053  -0.075 -1.088  0.004 -1.123  0.084 -1.157  0.169 -1.173  0.254 -1.186  0.340 -1.200  0.425 -1.213  0.511 -1.227  0.596 -1.240
3#apb#apb38#app3876/t  -1.075 -1.359  -0.909 -1.456  -0.749 -1.294  -0.618 -1.106  -0.481 -0.924  -0.336 -0.747  -0.198 -0.566  -0.079 -0.371  0.040 -0.176  0.166 0.015  0.298 0.201  0.429 0.388  0.533 0.591  0.632 0.797  0.722 1.006  0.796 1.222  0.858 1.442  0.868 1.649  0.745 1.460  0.646 1.254  0.541 1.051  0.434 0.850  0.341 0.641  0.260 0.428  0.180 0.214  0.116 -0.005  0.053 -0.225  0.012 -0.448  -0.005 -0.676  0.014 -0.903  0.092 -1.104  0.284 -1.194  0.510 -1.169  0.690 -1.094  0.532 -0.930  0.374 -0.765  0.216 -0.600  0.058 -0.435  -0.101 -0.271  -0.259 -0.106  -0.417 0.059  -0.575 0.223  -0.734 0.388  -0.892 0.553  -1.050 0.718  -1.028 0.644  -0.824 0.556  -0.597 0.525  -0.369 0.525  -0.141 0.525
3#apb#apb38#app3876/o  -0.036 0.321  -0.136 0.380  -0.284 0.329  -0.428 0.262  -0.540 0.150  -0.653 0.038  -0.757 -0.082  -0.858 -0.205  -0.958 -0.328  -1.026 -0.471  -1.093 -0.615  -1.129 -0.768  -1.152 -0.925  -1.064 -1.053  -0.915 -1.107  -0.766 -1.134  -0.618 -1.077  -0.470 -1.019  -0.334 -0.937  -0.201 -0.851  -0.080 -0.751  0.018 -0.626  0.108 -0.497  0.156 -0.345  0.196 -0.193  0.172 -0.036  0.124 0.112  0.048 0.252  -0.082 0.341  -0.222 0.412  -0.374 0.421  -0.463 0.309  -0.386 0.180  -0.246 0.106  -0.088 0.106  0.071 0.106  0.227 0.137  0.382 0.171  0.536 0.207  0.669 0.293  0.802 0.380  0.935 0.467  1.064 0.560  1.193 0.653  1.311 0.757  1.409 0.882  1.504 1.009  1.570 1.150  1.509 1.272  1.354 1.261
3#apb#apb38#app3876/r  -1.402 -1.176  -1.343 -1.274  -1.237 -1.208  -1.138 -1.131  -1.045 -1.046  -0.953 -0.960  -0.865 -0.871  -0.784 -0.774  -0.704 -0.678  -0.627 -0.579  -0.566 -0.469  -0.505 -0.359  -0.444 -0.249  -0.383 -0.139  -0.318 -0.032  -0.252 0.075  -0.187 0.183  -0.127 0.293  -0.075 0.407  -0.023 0.522  0.014 0.640  0.028 0.765  0.040 0.890  0.026 1.015  0.011 1.140  -0.006 1.264  0.036 1.231  0.149 1.174  0.253 1.104  0.356 1.033  0.458 0.959  0.560 0.885  0.657 0.806  0.741 0.713  0.800 0.607  0.827 0.484  0.826 0.361  0.797 0.239  0.764 0.119  0.697 0.012  0.630 -0.095  0.566 -0.203  0.504 -0.312  0.448 -0.424  0.403 -0.541  0.381 -0.663  0.396 -0.787  0.450 -0.898  0.527 -0.997  0.636 -1.057
3#apb#apb38#app3876/i  0.123 0.090  0.163 -0.001  0.163 -0.108  0.102 -0.197  0.041 -0.285  -0.020 -0.373  -0.072 -0.467  -0.125 -0.561  -0.178 -0.654  -0.239 -0.742  -0.306 -0.826  -0.372 -0.910  -0.436 -0.996  -0.497 -1.084  -0.558 -1.173  -0.626 -1.255  -0.686 -1.309  -0.639 -1.212  -0.592 -1.115  -0.546 -1.019  -0.499 -0.922  -0.452 -0.826  -0.405 -0.729  -0.358 -0.632  -0.312 -0.536  -0.265 -0.439  -0.218 -0.343  -0.171 -0.246  -0.125 -0.149  -0.078 -0.053  -0.031 0.044  0.016 0.140  0.062 0.237  0.109 0.334  0.156 0.430  0.203 0.527  0.249 0.623  0.296 0.720  0.343 0.817  0.390 0.913  0.437 1.010  0.483 1.107  0.530 1.203  0.577 1.300  0.624 1.396  0.670 1.493  0.717 1.590  0.764 1.686  0.811 1.783  0.779 1.720
3#apb#apb38#app3876/a  -0.167 0.221  -0.221 0.331  -0.293 0.431  -0.400 0.501  -0.528 0.475  -0.648 0.423  -0.757 0.348  -0.863 0.269  -0.960 0.179  -1.056 0.088  -1.139 -0.015  -1.219 -0.119  -1.239 -0.250  -1.237 -0.381  -1.167 -0.489  -1.040 -0.468  -0.915 -0.429  -0.795 -0.373  -0.695 -0.289  -0.604 -0.193  -0.515 -0.095  -0.429 0.006  -0.345 0.108  -0.270 0.215  -0.326 0.241  -0.402 0.133  -0.435 0.007  -0.432 -0.122  -0.394 -0.248  -0.283 -0.318  -0.165 -0.373  -0.034 -0.392  0.097 -0.408  0.226 -0.382  0.356 -0.356  0.486 -0.330  0.612 -0.295  0.732 -0.239  0.852 -0.182  0.971 -0.126  1.090 -0.068  1.199 0.008  1.307 0.083  1.416 0.159  1.524 0.234  1.626 0.318  1.727 0.404  1.828 0.490  1.918 0.587  2.008 0.684
3#apb#apb38#app3876/W  -0.247 1.503  -0.297 1.460  -0.359 1.315  -0.420 1.170  -0.478 1.025  -0.536 0.879  -0.582 0.729  -0.627 0.578  -0.671 0.427  -0.706 0.274  -0.741 0.121  -0.776 -0.032  -0.799 -0.187  -0.815 -0.343  -0.832 -0.499  -0.846 -0.656  -0.854 -0.811  -0.760 -0.925  -0.617 -0.886  -0.498 -0.786  -0.400 -0.663  -0.306 -0.538  -0.216 -0.409  -0.127 -0.280  -0.063 -0.139  -0.063 -0.259  -0.078 -0.416  -0.078 -0.572  -0.073 -0.729  -0.043 -0.882  0.024 -1.018  0.165 -1.074  0.307 -1.038  0.419 -0.927  0.511 -0.800  0.602 -0.672  0.678 -0.535  0.754 -0.397  0.815 -0.253  0.863 -0.104  0.909 0.046  0.932 0.201  0.956 0.357  0.959 0.513  0.947 0.669  0.921 0.824  0.885 0.976  0.825 1.120  0.752 1.260  0.683 1.385
3#apb#apb38#app3876/e  -1.611 -0.590  -1.537 -0.676  -1.416 -0.771  -1.272 -0.821  -1.115 -0.821  -0.962 -0.793  -0.811 -0.753  -0.674 -0.682  -0.548 -0.591  -0.421 -0.499  -0.304 -0.396  -0.193 -0.285  -0.083 -0.175  0.028 -0.064  0.126 0.058  0.221 0.182  0.315 0.307  0.409 0.432  0.497 0.561  0.585 0.691  0.664 0.824  0.694 0.977  0.716 1.130  0.666 1.278  0.537 1.354  0.401 1.300  0.265 1.221  0.145 1.122  0.025 1.021  -0.094 0.920  -0.185 0.796  -0.258 0.658  -0.330 0.519  -0.371 0.373  -0.371 0.216  -0.371 0.060  -0.319 -0.086  -0.259 -0.231  -0.174 -0.356  -0.050 -0.452  0.073 -0.548  0.206 -0.625  0.356 -0.668  0.507 -0.711  0.660 -0.740  0.816 -0.746  0.972 -0.753  1.128 -0.749  1.282 -0.722  1.436 -0.695
3#apb#apb38#app3876/n  -1.825 -0.451  -1.740 -0.455  -1.611 -0.370  -1.493 -0.271  -1.380 -0.165  -1.266 -0.061  -1.136 0.022  -1.006 0.105  -0.875 0.188  -0.750 0.279  -0.624 0.369  -0.493 0.449  -0.349 0.504  -0.213 0.471  -0.151 0.351  -0.151 0.197  -0.195 0.050  -0.246 -0.096  -0.315 -0.234  -0.391 -0.369  -0.477 -0.496  -0.574 -0.617  -0.648 -0.672  -0.545 -0.557  -0.448 -0.436  -0.348 -0.319  -0.233 -0.216  -0.118 -0.112  -0.004 -0.008  0.114 0.092  0.233 0.191  0.352 0.289  0.472 0.387  0.599 0.474  0.727 0.562  0.855 0.647  0.986 0.730  1.082 0.654  1.068 0.501  1.033 0.351  0.991 0.202  0.936 0.058  0.917 -0.093  0.929 -0.247  1.016 -0.358  1.165 -0.378  1.319 -0.378  1.461 -0.317  1.603 -0.255  1.745 -0.194
3#apb#apb38#app3876/d  -0.311 -0.335  -0.440 -0.273  -0.604 -0.340  -0.758 -0.426  -0.903 -0.527  -1.041 -0.638  -1.143 -0.782  -1.211 -0.942  -1.202 -1.110  -1.064 -1.152  -0.897 -1.100  -0.739 -1.018  -0.592 -0.923  -0.467 -0.798  -0.341 -0.673  -0.223 -0.542  -0.109 -0.406  0.004 -0.270  0.107 -0.126  0.209 0.019  0.304 0.169  0.383 0.327  0.462 0.485  0.508 0.656  0.554 0.828  0.574 1.002  0.574 1.179  0.565 1.356  0.546 1.532  0.486 1.693  0.390 1.573  0.327 1.407  0.271 1.239  0.218 1.070  0.170 0.900  0.123 0.729  0.091 0.555  0.068 0.380  0.045 0.204  0.032 0.027  0.025 -0.149  0.054 -0.324  0.118 -0.483  0.241 -0.606  0.402 -0.656  0.574 -0.617  0.746 -0.573  0.920 -0.541  0.968 -0.532  0.980 -0.470
3#apb#apb38#app3876/y  -0.985 0.511  -1.051 0.344  -0.861 0.384  -0.706 0.505  -0.540 0.611  -0.375 0.717  -0.211 0.826  -0.049 0.937  0.013 0.830  -0.072 0.654  0.013 0.577  0.178 0.683  0.348 0.782  0.508 0.896  0.661 1.019  0.803 1.070  0.810 0.873  0.810 0.677  0.791 0.482  0.761 0.287  0.729 0.093  0.667 -0.093  0.597 -0.276  0.499 -0.447  0.400 -0.616  0.277 -0.770  0.154 -0.923  0.022 -1.068  -0.115 -1.209  -0.256 -1.345  -0.428 -1.441  -0.605 -1.521  -0.791 -1.529  -0.905 -1.379  -0.939 -1.186  -0.896 -0.998  -0.834 -0.811  -0.741 -0.641  -0.624 -0.482  -0.508 -0.324  -0.367 -0.187  -0.220 -0.058  -0.072 0.072  0.084 0.190  0.249 0.298  0.413 0.406  0.578 0.513  0.754 0.601  0.930 0.689  1.105 0.777
