1c#apa#apa00#app0091/b  -0.260 1.578  -0.260 1.729  -0.232 1.852  -0.168 1.939  -0.207 1.813  -0.260 1.684  -0.260 1.533  -0.260 1.382  -0.260 1.231  -0.260 1.080  -0.260 0.929  -0.260 0.778  -0.260 0.627  -0.260 0.476  -0.260 0.326  -0.260 0.175  -0.260 0.024  -0.223 -0.123  -0.186 -0.269  -0.168 -0.418  -0.168 -0.569  -0.168 -0.720  -0.168 -0.871  -0.168 -1.022  -0.168 -1.156  -0.168 -1.005  -0.168 -0.854  -0.168 -0.703  -0.168 -0.552  -0.168 -0.401  -0.104 -0.277  -0.026 -0.149  0.057 -0.025  0.163 0.082  0.300 0.116  0.451 0.116  0.563 0.023  0.631 -0.112  0.654 -0.257  0.654 -0.408  0.654 -0.559  0.654 -0.710  0.610 -0.843  0.503 -0.949  0.370 -0.991  0.289 -1.109  0.193 -1.164  0.042 -1.164  -0.077 -1.132  -0.077 -0.981
1c#apa#apa00#app0091/h  -0.181 2.017  -0.266 1.932  -0.273 1.814  -0.294 1.698  -0.348 1.591  -0.364 1.474  -0.364 1.353  -0.364 1.232  -0.364 1.112  -0.364 0.991  -0.364 0.870  -0.364 0.750  -0.364 0.629  -0.364 0.508  -0.364 0.388  -0.321 0.277  -0.273 0.168  -0.273 0.047  -0.273 -0.073  -0.273 -0.194  -0.273 -0.315  -0.273 -0.435  -0.273 -0.556  -0.273 -0.677  -0.273 -0.798  -0.273 -0.918  -0.273 -1.039  -0.273 -1.052  -0.214 -0.956  -0.181 -0.849  -0.171 -0.738  -0.089 -0.700  -0.089 -0.579  -0.020 -0.486  0.065 -0.401  0.150 -0.316  0.256 -0.279  0.371 -0.273  0.405 -0.187  0.526 -0.187  0.646 -0.188  0.732 -0.273  0.738 -0.391  0.738 -0.512  0.738 -0.632  0.738 -0.753  0.769 -0.861  0.830 -0.956  0.830 -1.077  0.830 -1.198
1c#apa#apa00#app0091/a  -0.931 1.162  -0.782 1.162  -0.776 1.304  -0.640 1.318  -0.490 1.318  -0.341 1.318  -0.192 1.318  -0.043 1.318  0.107 1.318  0.228 1.250  0.316 1.137  0.316 0.988  0.316 0.839  0.316 0.690  0.316 0.540  0.212 0.434  0.106 0.329  0.004 0.222  0.004 0.073  -0.100 -0.034  -0.205 -0.139  -0.308 -0.246  -0.308 -0.395  -0.412 -0.501  -0.464 -0.629  -0.464 -0.778  -0.464 -0.928  -0.464 -1.077  -0.464 -1.226  -0.421 -1.333  -0.272 -1.333  -0.123 -1.333  0.026 -1.333  0.160 -1.317  0.169 -1.177  0.316 -1.175  0.316 -1.026  0.461 -1.021  0.472 -0.883  0.472 -0.734  0.472 -0.585  0.472 -0.435  0.472 -0.286  0.472 -0.137  0.472 0.012  0.407 0.135  0.316 0.246  0.316 0.395  0.316 0.545  0.316 0.694
1c#apa#apa00#app0091/r  -0.315 0.915  -0.315 0.774  -0.315 0.633  -0.434 0.612  -0.466 0.504  -0.466 0.363  -0.466 0.223  -0.466 0.082  -0.466 -0.058  -0.466 -0.199  -0.466 -0.340  -0.442 -0.470  -0.342 -0.569  -0.315 -0.698  -0.315 -0.839  -0.315 -0.980  -0.315 -1.120  -0.273 -1.243  -0.174 -1.343  -0.164 -1.479  -0.164 -1.389  -0.268 -1.353  -0.315 -1.259  -0.315 -1.118  -0.315 -0.978  -0.315 -0.837  -0.315 -0.697  -0.286 -0.568  -0.187 -0.469  -0.164 -0.338  -0.164 -0.197  -0.164 -0.057  -0.110 0.061  -0.012 0.162  -0.012 0.302  0.081 0.404  0.139 0.521  0.139 0.661  0.177 0.763  0.309 0.783  0.409 0.882  0.536 0.915  0.652 0.974  0.753 1.071  0.879 1.133  1.005 1.196  1.140 1.217  1.281 1.217  1.400 1.165  1.499 1.066
1c#apa#apa00#app0091/m  -0.998 1.022  -0.998 0.833  -0.998 0.644  -0.998 0.455  -0.998 0.265  -0.998 0.076  -0.998 -0.113  -0.998 -0.302  -0.977 -0.483  -0.875 -0.629  -0.875 -0.819  -0.875 -1.008  -0.875 -0.963  -0.875 -0.774  -0.874 -0.585  -0.751 -0.519  -0.751 -0.330  -0.699 -0.162  -0.628 -0.003  -0.504 0.063  -0.436 0.224  -0.303 0.358  -0.256 0.528  -0.133 0.593  -0.040 0.558  -0.009 0.382  -0.009 0.193  -0.009 0.003  -0.009 -0.186  0.104 -0.328  0.114 -0.513  0.197 -0.503  0.243 -0.333  0.377 -0.199  0.485 -0.055  0.557 0.105  0.609 0.273  0.733 0.338  0.820 0.491  0.980 0.542  1.060 0.651  1.249 0.651  1.351 0.564  1.351 0.375  1.351 0.186  1.351 -0.003  1.351 -0.193  1.395 -0.338  1.475 -0.447  1.598 -0.585
1c#apa#apa00#app0091/s  0.575 0.890  0.575 1.014  0.474 1.035  0.374 1.092  0.287 1.179  0.164 1.180  0.040 1.180  -0.004 1.101  -0.062 1.035  -0.185 1.035  -0.308 1.035  -0.432 1.035  -0.438 0.919  -0.533 0.890  -0.635 0.838  -0.722 0.751  -0.728 0.630  -0.634 0.601  -0.532 0.549  -0.445 0.462  -0.324 0.456  -0.293 0.363  -0.222 0.311  -0.113 0.276  -0.026 0.189  0.088 0.166  0.141 0.096  0.175 -0.013  0.263 -0.100  0.350 -0.187  0.437 -0.275  0.524 -0.362  0.575 -0.464  0.575 -0.587  0.575 -0.711  0.575 -0.834  0.575 -0.957  0.575 -1.081  0.509 -1.137  0.399 -1.169  0.311 -1.256  0.199 -1.282  0.075 -1.282  -0.048 -1.282  -0.171 -1.282  -0.295 -1.282  -0.418 -1.282  -0.511 -1.209  -0.605 -1.137  -0.728 -1.137
1c#apa#apa00#app0091/e  -0.548 -0.421  -0.397 -0.421  -0.246 -0.421  -0.187 -0.329  -0.125 -0.240  0.026 -0.240  0.176 -0.238  0.283 -0.131  0.404 -0.060  0.549 -0.046  0.656 0.061  0.715 0.187  0.741 0.327  0.848 0.434  0.896 0.565  0.896 0.716  0.896 0.867  0.896 1.018  0.792 1.126  0.674 1.203  0.523 1.203  0.372 1.203  0.221 1.203  0.070 1.203  -0.059 1.151  -0.166 1.044  -0.272 0.938  -0.379 0.831  -0.486 0.724  -0.548 0.599  -0.571 0.458  -0.678 0.351  -0.728 0.221  -0.728 0.070  -0.728 -0.080  -0.728 -0.231  -0.728 -0.382  -0.728 -0.533  -0.670 -0.660  -0.563 -0.766  -0.548 -0.911  -0.448 -0.962  -0.318 -1.012  -0.211 -1.118  -0.104 -1.225  0.002 -1.332  0.109 -1.438  0.233 -1.503  0.384 -1.503  0.535 -1.503
1c#apa#apa00#app0091/l  0.086 1.717  0.086 1.643  0.062 1.575  0.029 1.510  -0.003 1.444  -0.007 1.371  -0.007 1.298  -0.019 1.227  -0.052 1.161  -0.085 1.096  -0.100 1.026  -0.100 0.952  -0.100 0.879  -0.100 0.805  -0.100 0.732  -0.100 0.659  -0.100 0.585  -0.100 0.512  -0.100 0.438  -0.100 0.365  -0.100 0.291  -0.100 0.218  -0.100 0.144  -0.100 0.071  -0.100 -0.003  -0.088 -0.073  -0.055 -0.139  -0.022 -0.205  -0.007 -0.275  -0.007 -0.348  -0.007 -0.421  -0.007 -0.495  -0.007 -0.568  -0.007 -0.642  -0.007 -0.715  -0.007 -0.789  -0.007 -0.862  -0.007 -0.936  -0.007 -1.009  -0.007 -1.083  -0.007 -1.156  -0.007 -1.230  -0.007 -1.303  0.018 -1.352  0.091 -1.352  0.165 -1.352  0.238 -1.352  0.311 -1.352  0.385 -1.352  0.458 -1.352
1c#apa#apa00#app0091/l  0.017 1.827  0.017 1.746  0.017 1.666  0.017 1.585  0.017 1.504  0.017 1.423  0.017 1.342  0.017 1.261  0.017 1.181  0.017 1.100  0.017 1.019  0.017 0.938  0.017 0.857  0.017 0.776  0.004 0.698  -0.032 0.626  -0.068 0.554  -0.075 0.475  -0.075 0.394  -0.075 0.313  -0.075 0.232  -0.075 0.151  -0.075 0.070  -0.075 -0.011  -0.075 -0.091  -0.075 -0.172  -0.115 -0.237  -0.167 -0.296  -0.167 -0.377  -0.167 -0.458  -0.167 -0.538  -0.167 -0.619  -0.167 -0.700  -0.167 -0.781  -0.167 -0.862  -0.167 -0.943  -0.167 -1.024  -0.167 -1.104  -0.167 -1.185  -0.110 -1.209  -0.029 -1.209  0.052 -1.209  0.126 -1.191  0.183 -1.134  0.256 -1.117  0.337 -1.117  0.385 -1.083  0.407 -1.025  0.488 -1.025  0.569 -1.025
1c#apa#apa00#app0091/e  -0.120 -0.370  -0.023 -0.274  0.074 -0.177  0.170 -0.081  0.267 0.016  0.341 0.121  0.355 0.244  0.492 0.244  0.589 0.338  0.648 0.450  0.648 0.587  0.648 0.723  0.648 0.860  0.648 0.996  0.648 1.133  0.545 1.166  0.408 1.166  0.272 1.166  0.135 1.166  -0.001 1.166  -0.120 1.147  -0.121 1.012  -0.257 1.012  -0.358 0.927  -0.427 0.819  -0.449 0.705  -0.580 0.699  -0.580 0.563  -0.580 0.426  -0.580 0.290  -0.580 0.153  -0.580 0.017  -0.580 -0.120  -0.580 -0.256  -0.564 -0.386  -0.468 -0.483  -0.392 -0.594  -0.331 -0.716  -0.273 -0.839  -0.273 -0.975  -0.146 -0.985  -0.120 -1.095  -0.054 -1.204  0.034 -1.304  0.034 -1.441  0.166 -1.445  0.188 -1.560  0.285 -1.599  0.398 -1.656  0.495 -1.752
1c#apa#apa00#app0091/r  -0.410 1.426  -0.410 1.289  -0.410 1.153  -0.465 1.040  -0.562 0.943  -0.575 0.812  -0.575 0.676  -0.575 0.540  -0.575 0.403  -0.575 0.267  -0.575 0.131  -0.575 -0.006  -0.575 -0.142  -0.575 -0.278  -0.575 -0.415  -0.575 -0.551  -0.481 -0.648  -0.410 -0.755  -0.410 -0.892  -0.410 -1.028  -0.410 -1.164  -0.410 -1.301  -0.410 -1.322  -0.410 -1.186  -0.410 -1.049  -0.410 -0.913  -0.333 -0.808  -0.245 -0.709  -0.245 -0.572  -0.245 -0.436  -0.245 -0.300  -0.201 -0.181  -0.105 -0.085  -0.080 0.041  -0.008 0.106  0.116 0.136  0.212 0.232  0.309 0.329  0.405 0.425  0.537 0.436  0.674 0.436  0.810 0.436  0.946 0.436  1.083 0.436  1.219 0.436  1.355 0.436  1.492 0.436  1.628 0.436  1.764 0.436  1.901 0.436
1c#apa#apa00#app0091/i  -0.095 0.495  -0.095 0.374  -0.095 0.253  -0.053 0.175  0.064 0.172  0.064 0.051  0.064 -0.069  0.064 -0.190  0.064 -0.311  0.064 -0.431  0.064 -0.552  0.064 -0.672  0.064 -0.793  0.064 -0.914  0.064 -1.034  0.064 -1.155  0.064 -1.275  0.064 -1.396  0.064 -1.517  0.062 -1.524  0.056 -1.403  0.051 -1.283  0.045 -1.162  0.040 -1.042  0.034 -0.921  0.029 -0.801  0.023 -0.680  0.018 -0.560  0.012 -0.439  0.007 -0.319  0.001 -0.198  -0.004 -0.078  -0.010 0.043  -0.015 0.163  -0.020 0.283  -0.026 0.404  -0.031 0.524  -0.037 0.645  -0.042 0.765  -0.048 0.886  -0.053 1.006  -0.059 1.127  -0.064 1.247  -0.070 1.368  -0.075 1.488  -0.081 1.609  -0.086 1.729  -0.092 1.850  -0.095 1.970  -0.095 2.091
1c#apa#apa00#app0091/n  -0.918 1.389  -0.918 1.236  -0.859 1.096  -0.790 0.959  -0.743 0.817  -0.743 0.663  -0.743 0.510  -0.743 0.356  -0.743 0.203  -0.743 0.049  -0.743 -0.104  -0.743 -0.258  -0.743 -0.411  -0.743 -0.565  -0.743 -0.718  -0.743 -0.872  -0.608 -0.890  -0.567 -1.003  -0.567 -0.974  -0.567 -0.821  -0.520 -0.715  -0.392 -0.689  -0.392 -0.536  -0.392 -0.382  -0.296 -0.268  -0.217 -0.148  -0.203 0.000  -0.094 0.109  -0.041 0.240  0.015 0.337  0.134 0.372  0.143 0.522  0.252 0.630  0.381 0.688  0.535 0.688  0.688 0.688  0.835 0.682  0.835 0.528  0.933 0.415  1.011 0.294  1.011 0.141  1.011 -0.013  1.164 -0.013  1.186 -0.144  1.186 -0.298  1.186 -0.451  1.186 -0.605  1.186 -0.758  1.186 -0.912  1.186 -1.065
1c#apa#apa00#app0091/c  0.459 1.568  0.362 1.568  0.276 1.540  0.208 1.471  0.139 1.402  0.070 1.334  0.002 1.265  -0.067 1.196  -0.136 1.128  -0.205 1.059  -0.273 0.990  -0.312 0.909  -0.312 0.812  -0.312 0.715  -0.338 0.644  -0.435 0.644  -0.466 0.577  -0.466 0.480  -0.466 0.383  -0.466 0.286  -0.466 0.188  -0.466 0.091  -0.466 -0.006  -0.466 -0.103  -0.466 -0.200  -0.454 -0.293  -0.385 -0.361  -0.316 -0.430  -0.312 -0.525  -0.312 -0.622  -0.312 -0.720  -0.238 -0.743  -0.157 -0.760  -0.157 -0.857  -0.101 -0.897  -0.003 -0.897  0.065 -0.966  0.134 -1.035  0.224 -1.051  0.321 -1.051  0.419 -1.051  0.459 -0.994  0.459 -0.897  0.556 -0.897  0.653 -0.897  0.750 -0.897  0.824 -0.840  0.893 -0.772  0.978 -0.743  1.075 -0.743
1c#apa#apa00#app0091/e  0.030 -0.012  0.157 -0.012  0.285 -0.012  0.394 0.007  0.394 0.135  0.486 0.170  0.576 0.208  0.576 0.336  0.654 0.431  0.745 0.521  0.758 0.644  0.758 0.771  0.758 0.899  0.758 1.027  0.684 1.080  0.556 1.080  0.428 1.080  0.301 1.080  0.173 1.080  0.045 1.080  0.030 0.968  -0.022 0.873  -0.136 0.815  -0.250 0.758  -0.358 0.693  -0.448 0.602  -0.516 0.503  -0.516 0.375  -0.621 0.352  -0.698 0.302  -0.698 0.174  -0.698 0.046  -0.698 -0.081  -0.698 -0.209  -0.698 -0.337  -0.636 -0.438  -0.545 -0.528  -0.478 -0.635  -0.421 -0.749  -0.363 -0.863  -0.334 -0.984  -0.329 -1.109  -0.238 -1.200  -0.148 -1.290  -0.058 -1.380  0.033 -1.470  0.123 -1.561  0.213 -1.651  0.303 -1.741  0.394 -1.831
1c#apa#apa00#app0091/w  -1.058 0.777  -1.058 0.959  -1.058 1.052  -1.058 0.870  -1.058 0.689  -1.058 0.507  -1.058 0.326  -1.058 0.145  -1.058 -0.037  -1.040 -0.214  -0.959 -0.376  -0.899 -0.544  -0.850 -0.705  -0.739 -0.840  -0.693 -0.976  -0.532 -0.927  -0.420 -0.792  -0.374 -0.657  -0.261 -0.588  -0.261 -0.407  -0.181 -0.258  -0.102 -0.110  -0.102 0.071  -0.022 0.220  0.058 0.368  0.122 0.523  0.217 0.571  0.168 0.409  0.058 0.274  0.058 0.092  0.127 -0.020  0.217 -0.111  0.217 -0.293  0.217 -0.474  0.329 -0.609  0.457 -0.738  0.606 -0.816  0.760 -0.751  0.888 -0.623  1.014 -0.493  1.014 -0.312  1.048 -0.144  1.173 -0.015  1.173 0.167  1.173 0.348  1.173 0.530  1.173 0.711  1.173 0.892  1.173 1.074  1.173 1.255
1c#apa#apa00#app0091/i  -0.201 0.433  -0.201 0.313  -0.201 0.193  -0.277 0.104  -0.328 0.004  -0.328 -0.116  -0.354 -0.226  -0.439 -0.311  -0.454 -0.425  -0.454 -0.545  -0.454 -0.665  -0.454 -0.786  -0.402 -0.885  -0.328 -0.974  -0.328 -1.094  -0.325 -1.212  -0.205 -1.212  -0.085 -1.212  0.036 -1.212  0.156 -1.212  0.179 -1.114  0.270 -1.086  0.391 -1.086  0.432 -1.007  0.419 -0.887  0.399 -0.769  0.378 -0.650  0.357 -0.532  0.337 -0.413  0.316 -0.294  0.296 -0.176  0.275 -0.057  0.254 0.061  0.234 0.180  0.213 0.298  0.192 0.417  0.172 0.535  0.151 0.654  0.131 0.773  0.110 0.891  0.089 1.010  0.069 1.128  0.048 1.247  0.027 1.365  0.007 1.484  -0.014 1.603  -0.034 1.721  -0.055 1.840  -0.068 1.952  0.052 1.952
1c#apa#apa00#app0091/n  -0.570 1.241  -0.409 1.241  -0.398 1.390  -0.398 1.276  -0.398 1.115  -0.512 1.069  -0.570 0.965  -0.570 0.804  -0.570 0.644  -0.619 0.503  -0.732 0.389  -0.743 0.232  -0.743 0.071  -0.743 -0.090  -0.743 -0.251  -0.743 -0.411  -0.743 -0.572  -0.743 -0.733  -0.743 -0.894  -0.743 -1.055  -0.700 -1.173  -0.548 -1.151  -0.434 -1.038  -0.398 -0.892  -0.300 -0.828  -0.225 -0.742  -0.225 -0.582  -0.181 -0.439  -0.067 -0.325  -0.053 -0.170  0.039 -0.047  0.120 0.080  0.151 0.222  0.295 0.294  0.439 0.366  0.465 0.511  0.585 0.551  0.746 0.551  0.907 0.551  1.043 0.491  1.154 0.376  1.154 0.215  1.154 0.054  1.154 -0.107  1.154 -0.268  1.071 -0.394  0.982 -0.518  0.982 -0.679  0.982 -0.840  0.982 -1.001
