2#apb#apb35#app3588/O  -0.324 0.780  -0.430 0.658  -0.512 0.511  -0.592 0.362  -0.669 0.213  -0.734 0.057  -0.800 -0.098  -0.873 -0.251  -0.931 -0.408  -0.967 -0.573  -0.985 -0.740  -0.989 -0.908  -0.960 -1.074  -0.843 -1.187  -0.699 -1.273  -0.540 -1.312  -0.372 -1.303  -0.222 -1.227  -0.074 -1.147  0.066 -1.052  0.204 -0.956  0.320 -0.834  0.429 -0.706  0.532 -0.572  0.631 -0.436  0.712 -0.291  0.753 -0.127  0.794 0.036  0.840 0.198  0.892 0.359  0.919 0.522  0.901 0.689  0.853 0.844  0.742 0.971  0.630 1.097  0.518 1.223  0.406 1.347  0.239 1.325  0.105 1.226  -0.004 1.099  -0.086 0.953  -0.147 0.797  -0.137 0.628  -0.097 0.465  -0.040 0.308  0.049 0.164  0.156 0.038  0.295 -0.057  0.444 -0.136  0.598 -0.205
2#apb#apb35#app3588/i  -1.309 -0.870  -1.206 -0.767  -1.082 -0.691  -0.954 -0.621  -0.838 -0.535  -0.735 -0.432  -0.629 -0.332  -0.522 -0.233  -0.418 -0.130  -0.315 -0.027  -0.216 0.080  -0.130 0.196  -0.049 0.301  -0.148 0.279  -0.256 0.182  -0.325 0.056  -0.388 -0.075  -0.453 -0.204  -0.463 -0.350  -0.468 -0.496  -0.463 -0.640  -0.393 -0.767  -0.295 -0.876  -0.166 -0.936  -0.027 -0.976  0.119 -0.976  0.265 -0.976  0.408 -0.950  0.551 -0.920  0.639 -0.849  0.627 -0.704  0.615 -0.559  0.603 -0.413  0.591 -0.268  0.579 -0.123  0.567 0.023  0.555 0.168  0.543 0.313  0.531 0.459  0.519 0.604  0.507 0.749  0.495 0.895  0.483 1.040  0.471 1.185  0.459 1.331  0.447 1.476  0.435 1.621  0.423 1.767  0.411 1.912  0.403 2.058
2#apb#apb35#app3588/c  -1.813 -0.784  -1.653 -0.701  -1.494 -0.612  -1.338 -0.520  -1.185 -0.421  -1.038 -0.314  -0.889 -0.210  -0.738 -0.109  -0.590 -0.003  -0.457 0.120  -0.324 0.244  -0.191 0.368  -0.065 0.499  0.060 0.630  0.209 0.716  0.376 0.757  0.459 0.784  0.411 0.610  0.329 0.450  0.289 0.273  0.232 0.136  0.346 0.277  0.433 0.431  0.472 0.607  0.437 0.782  0.295 0.874  0.117 0.879  -0.055 0.822  -0.217 0.739  -0.363 0.634  -0.492 0.506  -0.573 0.345  -0.621 0.173  -0.621 -0.009  -0.549 -0.174  -0.460 -0.330  -0.325 -0.451  -0.186 -0.567  -0.009 -0.607  0.168 -0.647  0.347 -0.674  0.529 -0.674  0.711 -0.674  0.892 -0.672  1.073 -0.651  1.253 -0.631  1.434 -0.609  1.612 -0.573  1.790 -0.538  1.968 -0.502
2#apb#apb35#app3588/R  -0.211 0.832  -0.242 0.732  -0.290 0.545  -0.342 0.358  -0.396 0.172  -0.451 -0.013  -0.507 -0.199  -0.559 -0.385  -0.609 -0.572  -0.654 -0.760  -0.700 -0.948  -0.774 -1.127  -0.862 -1.271  -0.879 -1.082  -0.855 -0.891  -0.813 -0.702  -0.759 -0.516  -0.702 -0.331  -0.636 -0.149  -0.567 0.032  -0.482 0.206  -0.397 0.380  -0.304 0.549  -0.208 0.718  -0.102 0.878  0.026 1.023  0.159 1.164  0.305 1.291  0.471 1.379  0.657 1.382  0.823 1.291  0.935 1.135  0.973 0.952  0.948 0.761  0.894 0.575  0.817 0.398  0.725 0.228  0.607 0.075  0.485 -0.074  0.309 -0.146  0.115 -0.146  0.023 -0.238  0.074 -0.425  0.178 -0.587  0.292 -0.743  0.412 -0.895  0.542 -1.038  0.676 -1.178  0.842 -1.274  1.015 -1.361
2#apb#apb35#app3588/e  -1.091 -1.167  -0.977 -1.227  -0.850 -1.176  -0.728 -1.098  -0.596 -1.038  -0.498 -0.933  -0.409 -0.818  -0.304 -0.720  -0.184 -0.637  -0.079 -0.539  -0.000 -0.417  0.079 -0.294  0.162 -0.175  0.249 -0.057  0.334 0.061  0.396 0.192  0.459 0.324  0.521 0.456  0.579 0.590  0.637 0.723  0.695 0.857  0.747 0.993  0.796 1.131  0.813 1.273  0.790 1.412  0.674 1.497  0.556 1.414  0.439 1.328  0.326 1.235  0.217 1.140  0.126 1.026  0.035 0.912  -0.040 0.789  -0.101 0.656  -0.162 0.524  -0.223 0.391  -0.272 0.254  -0.320 0.117  -0.368 -0.021  -0.391 -0.165  -0.412 -0.309  -0.424 -0.453  -0.397 -0.596  -0.370 -0.739  -0.328 -0.876  -0.243 -0.995  -0.159 -1.113  -0.032 -1.182  0.100 -1.244  0.231 -1.307
2#apb#apb35#app3588/l  -1.027 -1.414  -0.906 -1.341  -0.806 -1.240  -0.718 -1.129  -0.630 -1.017  -0.530 -0.917  -0.430 -0.816  -0.335 -0.710  -0.240 -0.604  -0.146 -0.498  -0.076 -0.374  -0.005 -0.251  0.065 -0.127  0.146 -0.011  0.240 0.095  0.334 0.202  0.428 0.309  0.499 0.430  0.561 0.558  0.623 0.686  0.686 0.814  0.746 0.942  0.803 1.073  0.838 1.207  0.838 1.350  0.746 1.431  0.608 1.414  0.477 1.364  0.359 1.285  0.272 1.176  0.197 1.055  0.128 0.931  0.062 0.805  -0.004 0.679  -0.054 0.547  -0.097 0.411  -0.140 0.276  -0.190 0.143  -0.241 0.010  -0.292 -0.123  -0.323 -0.260  -0.344 -0.401  -0.365 -0.541  -0.370 -0.683  -0.365 -0.825  -0.359 -0.967  -0.305 -1.097  -0.244 -1.226  -0.126 -1.289  0.009 -1.334
2#apb#apb35#app3588/a  0.754 0.818  0.785 0.988  0.801 1.160  0.745 1.302  0.582 1.326  0.411 1.300  0.240 1.269  0.103 1.165  -0.029 1.053  -0.152 0.931  -0.275 0.808  -0.393 0.682  -0.511 0.555  -0.625 0.424  -0.729 0.286  -0.833 0.147  -0.916 -0.004  -0.980 -0.165  -1.045 -0.326  -1.097 -0.490  -1.142 -0.658  -1.148 -0.826  -1.092 -0.986  -0.970 -1.108  -0.804 -1.142  -0.644 -1.098  -0.491 -1.017  -0.344 -0.927  -0.209 -0.818  -0.075 -0.708  0.056 -0.595  0.183 -0.477  0.311 -0.359  0.415 -0.221  0.515 -0.080  0.602 0.070  0.676 0.227  0.750 0.383  0.801 0.548  0.701 0.426  0.593 0.291  0.500 0.145  0.423 -0.010  0.368 -0.172  0.351 -0.344  0.370 -0.516  0.434 -0.676  0.511 -0.831  0.677 -0.864  0.848 -0.888
2#apb#apb35#app3588/t  0.623 1.254  0.655 1.089  0.607 0.926  0.536 0.769  0.469 0.609  0.404 0.449  0.339 0.289  0.268 0.132  0.198 -0.026  0.127 -0.184  0.059 -0.343  -0.009 -0.501  -0.081 -0.658  -0.163 -0.810  -0.246 -0.962  -0.318 -1.119  -0.386 -1.278  -0.448 -1.439  -0.453 -1.493  -0.495 -1.326  -0.537 -1.158  -0.579 -0.991  -0.621 -0.823  -0.664 -0.656  -0.706 -0.488  -0.748 -0.321  -0.790 -0.153  -0.832 0.014  -0.875 0.182  -0.917 0.350  -0.959 0.517  -0.993 0.618  -0.955 0.464  -0.813 0.366  -0.655 0.307  -0.484 0.334  -0.313 0.356  -0.140 0.370  0.031 0.387  0.201 0.420  0.371 0.453  0.541 0.482  0.712 0.509  0.883 0.532  1.055 0.549  1.227 0.563  1.396 0.563  1.531 0.455  1.497 0.294  1.447 0.129
2#apb#apb35#app3588/i  -1.548 -0.891  -1.410 -0.865  -1.295 -0.776  -1.155 -0.733  -1.017 -0.682  -0.881 -0.626  -0.762 -0.541  -0.645 -0.452  -0.541 -0.348  -0.439 -0.243  -0.345 -0.129  -0.252 -0.016  -0.163 0.101  -0.075 0.219  0.021 0.330  0.115 0.423  -0.021 0.400  -0.114 0.286  -0.215 0.179  -0.308 0.067  -0.381 -0.061  -0.461 -0.184  -0.523 -0.314  -0.543 -0.459  -0.529 -0.601  -0.438 -0.717  -0.301 -0.766  -0.154 -0.777  -0.010 -0.764  0.132 -0.726  0.267 -0.773  0.347 -0.715  0.391 -0.575  0.434 -0.434  0.477 -0.294  0.520 -0.153  0.564 -0.013  0.607 0.128  0.650 0.268  0.693 0.409  0.736 0.549  0.780 0.690  0.823 0.830  0.866 0.971  0.909 1.111  0.953 1.252  0.996 1.392  1.039 1.533  1.082 1.673  1.125 1.814
2#apb#apb35#app3588/o  0.421 0.917  0.255 0.819  0.137 0.658  0.010 0.505  -0.131 0.364  -0.262 0.213  -0.392 0.060  -0.532 -0.082  -0.673 -0.224  -0.809 -0.370  -0.939 -0.521  -1.010 -0.708  -1.069 -0.898  -1.114 -1.093  -1.036 -1.267  -0.867 -1.369  -0.674 -1.421  -0.480 -1.381  -0.296 -1.307  -0.122 -1.208  0.030 -1.082  0.171 -0.940  0.293 -0.782  0.410 -0.620  0.495 -0.439  0.580 -0.258  0.658 -0.074  0.736 0.110  0.783 0.303  0.811 0.500  0.835 0.699  0.835 0.899  0.810 1.094  0.723 1.263  0.524 1.283  0.330 1.330  0.151 1.295  -0.015 1.183  -0.179 1.068  -0.277 0.897  -0.337 0.708  -0.347 0.511  -0.319 0.314  -0.227 0.139  -0.119 -0.029  0.060 -0.107  0.249 -0.173  0.443 -0.219  0.639 -0.260  0.835 -0.300
2#apb#apb35#app3588/n  -0.189 1.082  -0.177 0.926  -0.249 0.782  -0.326 0.640  -0.411 0.502  -0.496 0.364  -0.572 0.221  -0.648 0.078  -0.723 -0.065  -0.802 -0.206  -0.882 -0.347  -0.961 -0.488  -1.058 -0.617  -1.153 -0.747  -1.192 -0.904  -1.247 -1.056  -1.153 -0.986  -1.026 -0.887  -0.907 -0.777  -0.792 -0.663  -0.684 -0.543  -0.581 -0.418  -0.476 -0.295  -0.362 -0.180  -0.247 -0.066  -0.133 0.048  -0.018 0.163  0.096 0.277  0.211 0.391  0.330 0.501  0.449 0.611  0.569 0.719  0.692 0.824  0.816 0.928  0.953 1.010  1.090 1.003  1.091 0.846  1.055 0.688  0.987 0.541  0.919 0.394  0.857 0.245  0.797 0.095  0.761 -0.063  0.724 -0.221  0.719 -0.382  0.719 -0.544  0.750 -0.699  0.815 -0.847  0.957 -0.913  1.109 -0.969
2#apb#apb35#app3588/s  -1.574 -0.825  -1.454 -0.717  -1.363 -0.559  -1.249 -0.416  -1.128 -0.280  -0.998 -0.151  -0.868 -0.024  -0.735 0.102  -0.602 0.227  -0.481 0.364  -0.363 0.504  -0.242 0.640  -0.098 0.752  0.046 0.864  0.191 0.976  0.335 1.087  0.501 1.155  0.524 1.040  0.453 0.872  0.381 0.704  0.332 0.530  0.300 0.350  0.239 0.178  0.167 0.010  0.086 -0.153  0.010 -0.319  -0.086 -0.474  -0.210 -0.607  -0.358 -0.712  -0.532 -0.746  -0.686 -0.656  -0.826 -0.538  -0.894 -0.523  -0.715 -0.531  -0.533 -0.531  -0.350 -0.530  -0.168 -0.513  0.014 -0.495  0.189 -0.446  0.362 -0.389  0.534 -0.328  0.705 -0.262  0.875 -0.196  1.037 -0.114  1.186 -0.008  1.335 0.097  1.480 0.208  1.612 0.334  1.744 0.461  1.876 0.587
2#apb#apb35#app3588/C  0.789 0.665  0.716 0.615  0.641 0.495  0.573 0.372  0.516 0.243  0.462 0.113  0.405 -0.017  0.341 -0.142  0.403 -0.054  0.460 0.075  0.516 0.204  0.596 0.321  0.662 0.444  0.713 0.576  0.763 0.707  0.810 0.841  0.839 0.978  0.831 1.114  0.713 1.176  0.583 1.133  0.457 1.070  0.338 0.995  0.221 0.916  0.123 0.815  0.025 0.713  -0.073 0.612  -0.172 0.511  -0.270 0.409  -0.368 0.308  -0.454 0.196  -0.539 0.084  -0.624 -0.029  -0.709 -0.141  -0.785 -0.260  -0.859 -0.380  -0.934 -0.500  -0.991 -0.628  -1.043 -0.760  -1.077 -0.892  -1.041 -1.028  -0.962 -1.131  -0.839 -1.200  -0.707 -1.238  -0.566 -1.238  -0.425 -1.238  -0.285 -1.233  -0.148 -1.199  -0.011 -1.165  0.126 -1.131  0.263 -1.097
2#apb#apb35#app3588/o  0.104 0.810  0.036 0.747  -0.072 0.618  -0.179 0.487  -0.279 0.351  -0.377 0.214  -0.472 0.074  -0.565 -0.067  -0.657 -0.208  -0.744 -0.353  -0.831 -0.497  -0.899 -0.651  -0.961 -0.808  -1.009 -0.970  -1.010 -1.134  -0.941 -1.277  -0.796 -1.362  -0.639 -1.402  -0.487 -1.330  -0.336 -1.255  -0.187 -1.176  -0.048 -1.080  0.085 -0.977  0.199 -0.854  0.301 -0.720  0.399 -0.582  0.494 -0.443  0.578 -0.298  0.629 -0.137  0.681 0.023  0.734 0.183  0.791 0.342  0.848 0.501  0.883 0.665  0.900 0.833  0.869 0.999  0.788 1.138  0.659 1.245  0.504 1.306  0.341 1.313  0.192 1.244  0.089 1.111  0.011 0.962  -0.042 0.803  -0.065 0.636  -0.065 0.467  -0.023 0.308  0.049 0.155  0.187 0.064  0.334 -0.018
2#apb#apb35#app3588/o  -0.070 0.751  -0.213 0.662  -0.323 0.533  -0.430 0.402  -0.540 0.273  -0.652 0.146  -0.766 0.022  -0.863 -0.115  -0.939 -0.267  -1.009 -0.420  -1.073 -0.577  -1.124 -0.737  -1.144 -0.904  -1.110 -1.069  -0.982 -1.180  -0.821 -1.210  -0.652 -1.215  -0.483 -1.204  -0.321 -1.163  -0.165 -1.098  -0.012 -1.026  0.137 -0.946  0.266 -0.836  0.387 -0.719  0.493 -0.587  0.567 -0.436  0.631 -0.279  0.679 -0.117  0.720 0.047  0.754 0.212  0.788 0.378  0.827 0.543  0.870 0.707  0.869 0.866  0.797 1.020  0.724 1.172  0.599 1.244  0.429 1.242  0.263 1.215  0.110 1.146  0.013 1.012  -0.001 0.850  0.027 0.683  0.097 0.534  0.200 0.400  0.262 0.243  0.341 0.097  0.467 -0.016  0.612 -0.101  0.764 -0.177
2#apb#apb35#app3588/r  -1.564 -0.823  -1.494 -0.719  -1.415 -0.624  -1.314 -0.550  -1.214 -0.475  -1.120 -0.393  -1.025 -0.312  -0.932 -0.229  -0.851 -0.133  -0.770 -0.037  -0.690 0.058  -0.606 0.151  -0.508 0.228  -0.410 0.306  -0.312 0.383  -0.221 0.468  -0.141 0.565  -0.062 0.661  0.018 0.757  0.098 0.854  0.172 0.954  0.245 1.056  0.318 1.158  0.387 1.262  0.445 1.189  0.435 1.065  0.447 0.941  0.481 0.821  0.517 0.702  0.538 0.579  0.573 0.460  0.630 0.349  0.725 0.268  0.792 0.166  0.833 0.048  0.813 -0.071  0.757 -0.182  0.692 -0.288  0.604 -0.377  0.516 -0.465  0.427 -0.554  0.344 -0.646  0.269 -0.747  0.197 -0.848  0.197 -0.973  0.214 -1.089  0.318 -1.158  0.429 -1.213  0.548 -1.253  0.667 -1.292
2#apb#apb35#app3588/d  0.157 0.091  0.242 0.280  0.310 0.474  0.190 0.593  -0.015 0.569  -0.187 0.457  -0.352 0.332  -0.517 0.206  -0.653 0.052  -0.778 -0.114  -0.902 -0.280  -1.027 -0.446  -1.141 -0.619  -1.228 -0.804  -1.270 -1.006  -1.188 -1.189  -1.006 -1.220  -0.818 -1.145  -0.646 -1.027  -0.473 -0.913  -0.299 -0.800  -0.159 -0.648  -0.023 -0.491  0.106 -0.329  0.230 -0.163  0.355 0.003  0.468 0.177  0.581 0.351  0.694 0.525  0.805 0.701  0.915 0.877  1.010 1.060  1.087 1.253  1.088 1.455  0.939 1.422  0.786 1.282  0.653 1.123  0.528 0.957  0.425 0.778  0.328 0.595  0.232 0.411  0.142 0.224  0.052 0.037  -0.007 -0.162  -0.064 -0.362  -0.079 -0.567  -0.078 -0.774  0.039 -0.945  0.187 -1.085  0.361 -1.198
2#apb#apb35#app3588/i  -1.412 -1.134  -1.296 -1.051  -1.186 -0.961  -1.085 -0.860  -0.972 -0.774  -0.855 -0.692  -0.750 -0.597  -0.661 -0.485  -0.571 -0.374  -0.482 -0.262  -0.381 -0.162  -0.276 -0.065  -0.171 0.032  -0.069 0.131  0.025 0.239  0.119 0.346  0.213 0.454  0.306 0.563  0.387 0.680  0.467 0.798  0.548 0.916  0.631 1.032  0.717 1.146  0.823 1.237  0.919 1.335  0.892 1.385  0.808 1.271  0.726 1.154  0.647 1.035  0.570 0.915  0.498 0.791  0.426 0.668  0.357 0.543  0.288 0.418  0.215 0.296  0.129 0.182  0.044 0.067  -0.030 -0.054  -0.090 -0.184  -0.150 -0.313  -0.190 -0.450  -0.222 -0.589  -0.245 -0.729  -0.232 -0.871  -0.209 -1.008  -0.102 -1.102  0.009 -1.190  0.149 -1.216  0.289 -1.243  0.430 -1.269
2#apb#apb35#app3588/n  -0.094 0.990  -0.186 0.853  -0.254 0.704  -0.317 0.552  -0.383 0.402  -0.449 0.252  -0.516 0.101  -0.591 -0.045  -0.672 -0.188  -0.754 -0.330  -0.832 -0.475  -0.910 -0.620  -0.966 -0.772  -1.002 -0.933  -1.076 -1.080  -1.078 -1.133  -1.020 -0.979  -0.960 -0.826  -0.899 -0.674  -0.816 -0.532  -0.730 -0.392  -0.630 -0.261  -0.530 -0.131  -0.427 -0.003  -0.320 0.122  -0.213 0.247  -0.101 0.366  0.020 0.478  0.141 0.589  0.264 0.698  0.389 0.804  0.515 0.910  0.665 0.969  0.824 1.012  0.986 1.038  1.114 0.956  1.176 0.806  1.162 0.646  1.133 0.484  1.055 0.339  0.978 0.195  0.907 0.046  0.843 -0.105  0.780 -0.257  0.731 -0.414  0.682 -0.571  0.628 -0.726  0.567 -0.878  0.567 -1.037  0.599 -1.198
