2#tos#f2#f2044065/!  -0.172 -1.416  -0.256 -1.511  -0.256 -1.640  -0.202 -1.737  -0.172 -1.655  -0.231 -1.583  -0.237 -1.481  -0.213 -1.353  -0.189 -1.226  -0.165 -1.098  -0.142 -0.971  -0.118 -0.843  -0.094 -0.716  -0.070 -0.588  -0.046 -0.460  -0.023 -0.333  0.001 -0.205  0.025 -0.078  0.049 0.050  0.073 0.177  0.096 0.305  0.120 0.432  0.144 0.560  0.168 0.688  0.192 0.815  0.216 0.943  0.239 1.070  0.263 1.198  0.287 1.325  0.311 1.453  0.315 1.564  0.206 1.544  0.206 1.414  0.206 1.284  0.206 1.155  0.206 1.025  0.122 0.930  0.118 0.801  0.060 0.685  0.002 0.569  -0.004 0.441  -0.004 0.311  -0.004 0.181  -0.075 0.073  -0.088 -0.053  -0.145 -0.167  -0.212 -0.278  -0.214 -0.407  -0.242 -0.533  -0.256 -0.660
2#tos#f2#f2044065/[  0.677 1.254  0.592 1.254  0.507 1.254  0.422 1.254  0.337 1.254  0.256 1.238  0.176 1.215  0.096 1.196  0.020 1.158  -0.060 1.137  -0.145 1.137  -0.217 1.124  -0.197 1.060  -0.178 0.993  -0.178 0.908  -0.178 0.823  -0.178 0.738  -0.178 0.653  -0.178 0.569  -0.178 0.484  -0.178 0.399  -0.178 0.314  -0.178 0.229  -0.178 0.144  -0.178 0.059  -0.178 -0.026  -0.178 -0.111  -0.178 -0.196  -0.178 -0.281  -0.178 -0.366  -0.178 -0.451  -0.178 -0.535  -0.178 -0.620  -0.178 -0.705  -0.178 -0.790  -0.178 -0.875  -0.178 -0.960  -0.178 -1.045  -0.164 -1.116  -0.139 -1.176  -0.139 -1.261  -0.064 -1.271  0.020 -1.271  0.105 -1.271  0.190 -1.271  0.275 -1.271  0.360 -1.271  0.433 -1.242  0.514 -1.232  0.599 -1.232
2#tos#f2#f2044065/]  -0.539 1.062  -0.610 1.043  -0.606 0.956  -0.517 0.956  -0.444 1.004  -0.364 1.044  -0.279 1.062  -0.189 1.062  -0.099 1.062  -0.013 1.085  0.075 1.098  0.165 1.098  0.185 1.133  0.096 1.132  0.076 1.062  0.061 0.988  0.061 0.898  0.096 0.816  0.124 0.731  0.131 0.642  0.131 0.553  0.131 0.463  0.140 0.375  0.167 0.292  0.167 0.202  0.167 0.112  0.167 0.022  0.167 -0.067  0.167 -0.157  0.167 -0.247  0.167 -0.337  0.167 -0.427  0.167 -0.516  0.167 -0.606  0.167 -0.696  0.167 -0.786  0.167 -0.876  0.167 -0.965  0.167 -1.055  0.167 -1.145  0.167 -1.235  0.167 -1.324  0.167 -1.414  0.106 -1.443  0.016 -1.443  -0.074 -1.443  -0.164 -1.443  -0.254 -1.443  -0.343 -1.443  -0.433 -1.443
2#tos#f2#f2044065/^  -1.222 -0.944  -1.293 -1.015  -1.282 -1.027  -1.199 -0.974  -1.114 -0.940  -1.070 -0.850  -1.025 -0.761  -1.011 -0.664  -1.001 -0.572  -0.906 -0.540  -0.822 -0.491  -0.751 -0.421  -0.695 -0.344  -0.685 -0.249  -0.614 -0.178  -0.543 -0.107  -0.484 -0.032  -0.484 0.068  -0.484 0.168  -0.437 0.239  -0.354 0.292  -0.299 0.374  -0.273 0.468  -0.184 0.479  -0.168 0.563  -0.115 0.610  -0.043 0.637  0.005 0.690  0.104 0.690  0.204 0.690  0.304 0.690  0.404 0.690  0.412 0.598  0.495 0.569  0.583 0.523  0.667 0.467  0.728 0.401  0.728 0.301  0.796 0.268  0.896 0.268  0.939 0.212  0.939 0.112  1.028 0.083  1.108 0.023  1.188 -0.037  1.281 -0.061  1.366 -0.110  1.410 -0.200  1.455 -0.289  1.519 -0.365
2#tos#f2#f2044065/_  -1.061 -0.134  -1.141 -0.134  -1.221 -0.134  -1.299 -0.140  -1.371 -0.176  -1.434 -0.209  -1.354 -0.209  -1.274 -0.209  -1.212 -0.192  -1.190 -0.134  -1.110 -0.134  -1.030 -0.134  -0.950 -0.134  -0.871 -0.134  -0.791 -0.134  -0.711 -0.134  -0.631 -0.134  -0.551 -0.134  -0.471 -0.134  -0.458 -0.067  -0.458 0.012  -0.383 0.017  -0.303 0.017  -0.223 0.017  -0.143 0.017  -0.063 0.017  0.017 0.017  0.096 0.017  0.173 0.031  0.244 0.067  0.318 0.092  0.398 0.092  0.478 0.092  0.558 0.092  0.638 0.092  0.717 0.092  0.797 0.092  0.877 0.092  0.940 0.133  1.006 0.168  1.085 0.168  1.165 0.168  1.245 0.168  1.325 0.168  1.405 0.168  1.485 0.168  1.564 0.168  1.644 0.168  1.724 0.168  1.804 0.168
2#tos#f2#f2044065/`  -0.646 1.447  -0.735 1.447  -0.763 1.386  -0.763 1.297  -0.763 1.208  -0.763 1.119  -0.763 1.030  -0.730 0.961  -0.650 0.921  -0.570 0.882  -0.529 0.818  -0.529 0.729  -0.529 0.640  -0.454 0.626  -0.411 0.579  -0.411 0.490  -0.411 0.401  -0.332 0.392  -0.243 0.392  -0.177 0.368  -0.177 0.279  -0.177 0.190  -0.121 0.157  -0.060 0.129  -0.060 0.040  0.029 0.040  0.058 -0.021  0.058 -0.110  0.062 -0.196  0.146 -0.224  0.231 -0.252  0.315 -0.281  0.400 -0.309  0.410 -0.391  0.410 -0.480  0.425 -0.562  0.488 -0.625  0.527 -0.699  0.527 -0.788  0.527 -0.877  0.527 -0.966  0.527 -1.055  0.538 -1.133  0.627 -1.133  0.695 -1.184  0.758 -1.247  0.846 -1.250  0.879 -1.307  0.879 -1.396  0.879 -1.485
2#tos#f2#f2044065/{  0.204 1.481  0.168 1.539  0.087 1.552  -0.008 1.552  -0.083 1.506  -0.106 1.421  -0.173 1.355  -0.190 1.267  -0.190 1.173  -0.190 1.079  -0.180 0.986  -0.154 0.896  -0.091 0.841  -0.073 0.756  0.011 0.730  0.044 0.652  0.060 0.560  0.083 0.471  0.096 0.380  0.096 0.286  0.096 0.191  0.053 0.115  0.012 0.038  -0.066 -0.013  -0.150 -0.055  -0.173 -0.128  -0.220 -0.093  -0.126 -0.093  -0.032 -0.093  0.025 -0.131  0.025 -0.225  0.060 -0.283  0.060 -0.378  0.060 -0.472  0.054 -0.564  0.025 -0.646  0.007 -0.736  -0.011 -0.826  -0.029 -0.916  -0.047 -1.006  -0.047 -1.100  -0.047 -1.194  -0.047 -1.288  -0.010 -1.347  0.042 -1.416  0.094 -1.483  0.114 -1.559  0.194 -1.595  0.288 -1.595  0.382 -1.595
2#tos#f2#f2044065/~  -1.004 -0.316  -1.123 -0.352  -1.202 -0.410  -1.330 -0.410  -1.333 -0.285  -1.333 -0.157  -1.328 -0.034  -1.286 0.051  -1.286 0.179  -1.244 0.290  -1.133 0.319  -1.048 0.388  -0.978 0.461  -0.859 0.482  -0.778 0.529  -0.650 0.529  -0.522 0.529  -0.394 0.529  -0.313 0.482  -0.223 0.422  -0.206 0.298  -0.137 0.226  -0.112 0.109  -0.033 0.060  -0.018 -0.053  0.019 -0.165  0.029 -0.289  0.083 -0.363  0.183 -0.402  0.231 -0.518  0.346 -0.551  0.427 -0.598  0.554 -0.598  0.682 -0.598  0.810 -0.598  0.938 -0.598  0.972 -0.504  1.091 -0.466  1.156 -0.396  1.203 -0.316  1.203 -0.188  1.203 -0.060  1.203 0.068  1.203 0.196  1.203 0.324  1.203 0.452  1.109 0.486  1.034 0.567  0.955 0.623  0.827 0.623
2#tos#f2#f2044065/0  0.530 0.861  0.383 0.896  0.260 0.933  0.187 1.015  0.069 1.054  -0.078 1.092  -0.218 1.131  -0.374 1.131  -0.441 1.008  -0.472 0.865  -0.561 0.745  -0.626 0.655  -0.643 0.501  -0.665 0.349  -0.742 0.240  -0.780 0.123  -0.780 -0.033  -0.780 -0.189  -0.780 -0.346  -0.752 -0.497  -0.682 -0.636  -0.626 -0.775  -0.618 -0.929  -0.547 -1.068  -0.472 -1.171  -0.375 -1.259  -0.228 -1.298  -0.088 -1.337  0.060 -1.302  0.215 -1.298  0.323 -1.236  0.415 -1.118  0.492 -0.994  0.569 -0.885  0.649 -0.753  0.711 -0.616  0.762 -0.481  0.762 -0.325  0.762 -0.169  0.762 -0.013  0.757 0.142  0.723 0.293  0.711 0.437  0.607 0.490  0.523 0.591  0.403 0.637  0.371 0.787  0.227 0.839  0.108 0.937  -0.009 0.977
2#tos#f2#f2044065/1  -0.327 1.421  -0.378 1.336  -0.429 1.251  -0.344 1.283  -0.256 1.319  -0.189 1.376  -0.135 1.421  -0.052 1.437  -0.052 1.443  -0.052 1.344  -0.052 1.245  -0.052 1.146  -0.042 1.049  -0.017 0.954  -0.017 0.855  -0.013 0.756  0.024 0.664  0.052 0.571  0.052 0.472  0.052 0.373  0.052 0.274  0.052 0.174  0.052 0.075  0.052 -0.024  0.052 -0.123  0.052 -0.222  0.052 -0.321  0.052 -0.420  0.052 -0.519  0.052 -0.618  0.052 -0.717  0.036 -0.812  -0.017 -0.893  0.014 -0.955  -0.084 -0.967  -0.182 -0.979  -0.281 -0.989  -0.362 -1.007  -0.313 -1.057  -0.219 -1.077  -0.123 -1.092  -0.024 -1.092  0.075 -1.092  0.174 -1.092  0.259 -1.057  0.344 -1.023  0.443 -1.023  0.542 -1.023  0.641 -1.023  0.740 -1.023
2#tos#f2#f2044065/4  0.064 1.352  -0.048 1.240  -0.140 1.070  -0.212 0.880  -0.331 0.711  -0.434 0.536  -0.504 0.341  -0.693 0.268  -0.768 0.111  -0.794 -0.086  -0.931 -0.223  -0.994 -0.406  -0.787 -0.406  -0.583 -0.438  -0.377 -0.446  -0.180 -0.487  0.027 -0.487  0.230 -0.459  0.435 -0.446  0.642 -0.446  0.845 -0.439  0.963 -0.322  0.864 -0.140  0.764 0.042  0.665 0.223  0.566 0.405  0.467 0.587  0.368 0.769  0.268 0.951  0.169 1.133  0.070 1.315  -0.042 1.475  -0.058 1.283  -0.058 1.076  -0.058 0.869  -0.058 0.662  -0.014 0.468  0.057 0.276  0.064 0.070  0.064 -0.137  0.064 -0.344  0.064 -0.552  0.064 -0.759  0.064 -0.966  0.064 -1.173  0.056 -1.379  0.024 -1.583  0.024 -1.790  0.024 -1.997  0.024 -2.204
2#tos#f2#f2044065/6  0.736 1.877  0.693 1.785  0.682 1.661  0.588 1.605  0.522 1.490  0.429 1.393  0.390 1.267  0.349 1.152  0.243 1.067  0.171 0.966  0.076 0.871  -0.012 0.770  -0.073 0.649  -0.133 0.528  -0.206 0.415  -0.302 0.320  -0.383 0.212  -0.449 0.096  -0.486 -0.034  -0.513 -0.167  -0.564 -0.291  -0.625 -0.412  -0.694 -0.527  -0.736 -0.650  -0.736 -0.785  -0.736 -0.920  -0.675 -1.007  -0.595 -1.110  -0.460 -1.110  -0.325 -1.110  -0.189 -1.110  -0.054 -1.110  0.081 -1.110  0.198 -1.067  0.321 -1.015  0.431 -0.939  0.527 -0.844  0.581 -0.728  0.606 -0.598  0.577 -0.475  0.520 -0.364  0.471 -0.244  0.343 -0.234  0.294 -0.112  0.163 -0.079  0.046 -0.030  -0.070 0.015  -0.206 0.015  -0.341 0.015  -0.476 0.015
2#tos#f2#f2044065/7  0.094 1.169  0.064 1.048  0.001 0.984  -0.110 0.927  -0.185 0.830  -0.249 0.724  -0.300 0.619  -0.373 0.524  -0.449 0.446  -0.504 0.353  -0.547 0.321  -0.489 0.432  -0.430 0.543  -0.371 0.654  -0.312 0.765  -0.255 0.795  -0.129 0.795  -0.004 0.795  0.122 0.795  0.222 0.858  0.347 0.858  0.472 0.854  0.573 0.795  0.686 0.783  0.686 0.658  0.673 0.542  0.589 0.475  0.532 0.363  0.485 0.246  0.453 0.125  0.396 0.027  0.312 -0.047  0.312 -0.173  0.282 -0.294  0.239 -0.411  0.183 -0.524  0.119 -0.632  0.050 -0.736  0.016 -0.855  -0.012 -0.977  -0.069 -1.089  -0.150 -1.180  -0.218 -1.272  -0.224 -1.395  -0.299 -1.496  -0.332 -1.616  -0.411 -1.690  -0.436 -1.798  -0.492 -1.907  -0.561 -2.010
2#tos#f2#f2044065/8  0.926 0.252  0.891 0.342  0.855 0.504  0.784 0.630  0.723 0.776  0.686 0.937  0.611 1.059  0.513 1.186  0.401 1.303  0.242 1.322  0.108 1.358  -0.063 1.358  -0.197 1.322  -0.251 1.206  -0.251 1.035  -0.251 0.865  -0.220 0.698  -0.180 0.534  -0.143 0.375  -0.082 0.218  0.006 0.075  0.080 -0.076  0.106 -0.243  0.106 -0.414  0.106 -0.584  0.106 -0.755  0.106 -0.925  -0.004 -1.054  -0.101 -1.186  -0.229 -1.285  -0.367 -1.377  -0.534 -1.390  -0.705 -1.390  -0.831 -1.319  -0.929 -1.247  -0.929 -1.076  -0.891 -0.921  -0.811 -0.772  -0.684 -0.661  -0.555 -0.552  -0.423 -0.446  -0.285 -0.345  -0.149 -0.243  -0.042 -0.113  0.112 -0.042  0.273 0.002  0.407 0.089  0.528 0.210  0.650 0.328  0.784 0.430
2#tos#f2#f2044065/9  0.678 -0.071  0.678 0.024  0.714 0.176  0.714 0.344  0.714 0.511  0.700 0.677  0.660 0.837  0.641 1.001  0.509 1.080  0.407 1.203  0.240 1.203  0.072 1.203  -0.093 1.180  -0.256 1.154  -0.416 1.117  -0.510 1.004  -0.605 0.912  -0.657 0.754  -0.669 0.589  -0.669 0.421  -0.669 0.254  -0.633 0.092  -0.528 0.002  -0.398 -0.088  -0.258 -0.155  -0.101 -0.180  0.067 -0.180  0.218 -0.154  0.357 -0.108  0.483 -0.055  0.589 0.063  0.641 0.220  0.583 0.329  0.489 0.201  0.394 0.078  0.315 -0.067  0.199 -0.187  0.099 -0.321  0.086 -0.485  -0.012 -0.621  -0.104 -0.761  -0.190 -0.902  -0.287 -1.034  -0.340 -1.193  -0.438 -1.328  -0.505 -1.481  -0.618 -1.598  -0.702 -1.734  -0.775 -1.885  -0.815 -2.037
2#tos#f2#f2044065/A  0.554 1.449  0.427 1.290  0.276 1.103  0.176 0.859  -0.017 0.675  -0.158 0.450  -0.299 0.222  -0.445 -0.002  -0.574 -0.233  -0.744 -0.437  -0.876 -0.665  -1.033 -0.882  -1.168 -1.109  -1.136 -1.098  -1.004 -0.864  -0.872 -0.631  -0.739 -0.397  -0.607 -0.163  -0.475 0.071  -0.343 0.305  -0.211 0.539  -0.079 0.773  0.053 1.006  0.185 1.240  0.317 1.474  0.391 1.395  0.521 1.192  0.577 0.931  0.696 0.695  0.774 0.450  0.812 0.188  0.847 -0.078  0.924 -0.325  0.978 -0.587  1.010 -0.848  1.043 -1.084  0.978 -1.164  0.748 -1.024  0.519 -0.884  0.290 -0.744  0.061 -0.604  -0.168 -0.464  -0.397 -0.324  -0.627 -0.184  -0.815 -0.218  -0.608 -0.279  -0.339 -0.279  -0.071 -0.279  0.193 -0.246  0.456 -0.213
2#tos#f2#f2044065/F  0.135 1.236  -0.050 1.148  -0.085 0.908  -0.127 0.670  -0.161 0.429  -0.278 0.232  -0.308 -0.000  -0.438 -0.197  -0.499 -0.434  -0.536 -0.676  -0.605 -0.909  -0.641 -1.146  -0.715 -1.373  -0.715 -1.619  -0.691 -1.575  -0.651 -1.333  -0.612 -1.092  -0.572 -0.850  -0.532 -0.608  -0.492 -0.366  -0.453 -0.124  -0.413 0.118  -0.373 0.360  -0.333 0.602  -0.294 0.843  -0.178 1.015  0.067 1.015  0.312 1.015  0.557 1.011  0.798 0.978  1.043 0.978  1.288 0.978  1.475 0.959  1.275 0.818  1.074 0.677  0.874 0.536  0.673 0.395  0.473 0.254  0.273 0.113  0.072 -0.028  -0.128 -0.169  -0.329 -0.310  -0.524 -0.457  -0.537 -0.610  -0.292 -0.610  -0.047 -0.610  0.193 -0.574  0.438 -0.574  0.676 -0.543  0.910 -0.500
2#tos#f2#f2044065/G  0.760 0.679  0.628 0.772  0.540 0.966  0.529 1.187  0.425 1.310  0.246 1.407  0.021 1.407  -0.161 1.330  -0.373 1.256  -0.555 1.175  -0.708 1.030  -0.849 0.856  -0.922 0.656  -1.011 0.451  -1.093 0.248  -1.126 0.026  -1.126 -0.199  -1.069 -0.406  -0.990 -0.603  -0.836 -0.761  -0.653 -0.876  -0.428 -0.876  -0.203 -0.876  0.021 -0.859  0.188 -0.753  0.364 -0.644  0.519 -0.531  0.385 -0.368  0.225 -0.209  0.066 -0.050  -0.093 0.109  -0.242 0.095  -0.083 0.059  0.137 0.083  0.362 0.083  0.584 0.105  0.803 0.138  1.017 0.183  0.941 0.183  0.715 0.183  0.557 0.116  0.465 -0.043  0.430 -0.263  0.382 -0.482  0.330 -0.697  0.303 -0.913  0.210 -1.112  0.198 -1.335  0.135 -1.535  0.032 -1.704
2#tos#f2#f2044065/H  -0.572 0.909  -0.709 0.842  -0.709 0.668  -0.723 0.498  -0.783 0.335  -0.827 0.169  -0.895 0.013  -0.932 -0.157  -0.947 -0.329  -0.977 -0.499  -1.023 -0.665  -1.117 -0.799  -1.151 -0.967  -1.151 -0.942  -1.089 -0.780  -1.026 -0.618  -0.964 -0.456  -0.902 -0.294  -0.830 -0.146  -0.656 -0.146  -0.492 -0.115  -0.332 -0.057  -0.174 -0.010  0.000 -0.010  0.166 0.024  0.329 0.057  0.492 0.092  0.662 0.117  0.834 0.126  0.895 0.242  0.907 0.415  0.919 0.588  0.931 0.761  0.943 0.934  0.955 1.108  0.892 1.110  0.892 0.937  0.892 0.763  0.877 0.592  0.858 0.422  0.823 0.262  0.790 0.103  0.747 -0.061  0.669 -0.216  0.653 -0.386  0.652 -0.560  0.617 -0.729  0.551 -0.883  0.551 -1.056  0.483 -1.202
