2#apa#apa15#app1542/0  -0.112 0.018  -0.227 0.133  -0.311 0.260  -0.311 0.423  -0.311 0.585  -0.405 0.708  -0.514 0.799  -0.566 0.645  -0.617 0.491  -0.668 0.337  -0.720 0.183  -0.771 0.029  -0.822 -0.125  -0.874 -0.278  -0.925 -0.432  -0.976 -0.586  -1.028 -0.740  -1.079 -0.894  -1.037 -1.010  -0.892 -1.082  -0.747 -1.155  -0.589 -1.174  -0.439 -1.132  -0.299 -1.048  -0.160 -0.965  -0.021 -0.881  0.118 -0.798  0.257 -0.714  0.396 -0.631  0.522 -0.531  0.623 -0.404  0.724 -0.277  0.826 -0.151  0.927 -0.024  1.029 0.103  1.130 0.230  1.231 0.356  1.279 0.502  1.279 0.664  1.265 0.813  1.103 0.813  0.941 0.813  0.778 0.813  0.616 0.813  0.454 0.813  0.291 0.813  0.129 0.813  -0.021 0.759  -0.166 0.687  -0.311 0.614
2#apa#apa15#app1542/b  -0.730 1.808  -0.730 1.656  -0.730 1.503  -0.730 1.350  -0.730 1.197  -0.730 1.045  -0.684 0.911  -0.576 0.803  -0.560 0.657  -0.560 0.504  -0.560 0.352  -0.560 0.199  -0.560 0.046  -0.560 -0.106  -0.560 -0.259  -0.560 -0.412  -0.560 -0.564  -0.560 -0.432  -0.560 -0.279  -0.484 -0.158  -0.376 -0.050  -0.268 0.058  -0.160 0.166  -0.052 0.274  0.100 0.277  0.253 0.277  0.405 0.277  0.558 0.277  0.711 0.277  0.863 0.277  1.003 0.245  1.111 0.137  1.219 0.029  1.303 -0.083  1.235 -0.219  1.166 -0.356  1.072 -0.474  0.964 -0.582  0.857 -0.690  0.749 -0.798  0.641 -0.906  0.492 -0.915  0.339 -0.915  0.186 -0.915  0.033 -0.915  -0.119 -0.915  -0.272 -0.915  -0.425 -0.915  -0.577 -0.915  -0.730 -0.915
2#apa#apa15#app1542/e  -0.951 -0.791  -0.951 -0.632  -0.903 -0.521  -0.744 -0.521  -0.613 -0.453  -0.501 -0.340  -0.382 -0.237  -0.240 -0.166  -0.098 -0.094  0.045 -0.023  0.149 0.081  0.199 0.232  0.249 0.383  0.300 0.533  0.350 0.684  0.406 0.828  0.565 0.828  0.667 0.884  0.667 1.043  0.593 1.171  0.481 1.284  0.369 1.338  0.256 1.226  0.144 1.113  -0.009 1.097  -0.168 1.097  -0.327 1.097  -0.412 1.023  -0.412 0.864  -0.412 0.705  -0.412 0.546  -0.412 0.387  -0.412 0.228  -0.412 0.069  -0.412 -0.090  -0.412 -0.249  -0.412 -0.408  -0.379 -0.553  -0.267 -0.666  -0.154 -0.778  -0.042 -0.891  0.070 -1.003  0.183 -1.116  0.295 -1.228  0.412 -1.330  0.571 -1.330  0.730 -1.330  0.889 -1.330  1.048 -1.330  1.207 -1.330
2#apa#apa15#app1542/f  0.241 0.352  0.241 0.522  0.241 0.693  0.182 0.850  0.106 1.003  0.050 1.160  0.033 1.324  -0.088 1.444  -0.237 1.498  -0.408 1.498  -0.562 1.459  -0.683 1.338  -0.714 1.180  -0.714 1.010  -0.714 0.839  -0.714 0.668  -0.689 0.505  -0.595 0.363  -0.500 0.221  -0.405 0.079  -0.315 -0.065  -0.239 -0.218  -0.162 -0.371  -0.073 -0.516  0.022 -0.658  0.117 -0.800  0.212 -0.942  0.294 -1.091  0.370 -1.244  0.455 -1.390  0.575 -1.511  0.637 -1.455  0.661 -1.286  0.686 -1.117  0.710 -0.948  0.734 -0.780  0.758 -0.611  0.782 -0.442  0.806 -0.273  0.695 -0.221  0.534 -0.177  0.382 -0.101  0.228 -0.035  0.066 -0.089  -0.096 -0.142  -0.258 -0.196  -0.420 -0.250  -0.581 -0.304  -0.743 -0.358  -0.905 -0.412
2#apa#apa15#app1542/o  -0.111 0.720  -0.111 0.865  -0.139 0.942  -0.242 0.840  -0.344 0.737  -0.447 0.634  -0.550 0.532  -0.626 0.414  -0.661 0.273  -0.696 0.132  -0.731 -0.009  -0.767 -0.150  -0.802 -0.291  -0.837 -0.432  -0.862 -0.574  -0.862 -0.719  -0.862 -0.864  -0.862 -1.010  -0.862 -1.155  -0.848 -1.277  -0.718 -1.212  -0.588 -1.147  -0.458 -1.083  -0.329 -1.018  -0.199 -0.953  -0.069 -0.888  0.061 -0.823  0.180 -0.743  0.283 -0.640  0.386 -0.537  0.488 -0.435  0.591 -0.332  0.694 -0.229  0.797 -0.127  0.895 -0.021  0.941 0.116  0.987 0.254  1.033 0.392  1.079 0.530  1.125 0.668  1.079 0.784  0.976 0.886  0.865 0.971  0.720 0.971  0.578 0.950  0.441 0.904  0.303 0.858  0.165 0.812  0.027 0.766  -0.111 0.720
2#apa#apa15#app1542/r  -0.951 0.518  -0.951 0.401  -0.951 0.283  -0.951 0.165  -0.951 0.047  -0.951 -0.070  -0.887 -0.162  -0.804 -0.245  -0.721 -0.328  -0.637 -0.411  -0.554 -0.495  -0.471 -0.578  -0.388 -0.661  -0.304 -0.744  -0.221 -0.827  -0.138 -0.911  -0.055 -0.994  -0.026 -1.100  -0.026 -1.217  -0.026 -1.326  -0.026 -1.209  -0.026 -1.091  -0.026 -0.973  -0.026 -0.856  -0.026 -0.738  -0.026 -0.620  -0.026 -0.502  -0.026 -0.385  -0.026 -0.267  -0.026 -0.149  -0.026 -0.032  -0.026 0.086  -0.026 0.204  0.024 0.310  0.076 0.415  0.129 0.520  0.182 0.626  0.234 0.731  0.292 0.831  0.397 0.884  0.502 0.937  0.608 0.989  0.713 1.042  0.818 1.094  0.926 1.135  1.044 1.135  1.162 1.135  1.279 1.135  1.397 1.135  1.515 1.135
2#apa#apa15#app1542/e  -1.070 -0.543  -0.909 -0.543  -0.747 -0.543  -0.586 -0.543  -0.441 -0.527  -0.441 -0.366  -0.419 -0.218  -0.274 -0.146  -0.130 -0.073  0.014 -0.001  0.159 0.071  0.279 0.176  0.393 0.290  0.507 0.405  0.622 0.519  0.736 0.633  0.819 0.760  0.819 0.921  0.781 1.068  0.667 1.182  0.553 1.296  0.412 1.345  0.251 1.345  0.100 1.301  -0.045 1.228  -0.189 1.156  -0.333 1.084  -0.441 0.989  -0.441 0.828  -0.441 0.666  -0.441 0.505  -0.441 0.343  -0.441 0.182  -0.441 0.020  -0.441 -0.141  -0.441 -0.302  -0.441 -0.464  -0.441 -0.625  -0.441 -0.787  -0.377 -0.922  -0.263 -1.036  -0.149 -1.150  0.003 -1.173  0.165 -1.173  0.326 -1.173  0.488 -1.173  0.649 -1.173  0.810 -1.173  0.972 -1.173  1.133 -1.173
2#apa#apa15#app1542/'  1.118 0.911  1.035 0.911  0.952 0.911  0.869 0.911  0.786 0.911  0.704 0.911  0.621 0.911  0.538 0.911  0.455 0.911  0.373 0.911  0.290 0.911  0.207 0.911  0.124 0.911  0.041 0.911  -0.041 0.911  -0.124 0.911  -0.207 0.911  -0.235 0.855  -0.235 0.773  -0.235 0.690  -0.235 0.607  -0.235 0.524  -0.235 0.442  -0.235 0.359  -0.235 0.276  -0.235 0.193  -0.235 0.110  -0.235 0.028  -0.235 -0.055  -0.235 -0.138  -0.235 -0.221  -0.235 -0.304  -0.235 -0.386  -0.235 -0.469  -0.235 -0.552  -0.235 -0.635  -0.235 -0.717  -0.235 -0.800  -0.235 -0.883  -0.235 -0.966  -0.235 -1.049  -0.235 -1.131  -0.235 -1.214  -0.235 -1.297  -0.235 -1.380  -0.235 -1.463  -0.235 -1.545  -0.235 -1.628  -0.235 -1.711  -0.235 -1.794
2#apa#apa15#app1542/6  0.321 1.514  0.321 1.680  0.317 1.844  0.153 1.840  0.079 1.691  0.004 1.542  -0.105 1.418  -0.191 1.282  -0.232 1.121  -0.272 0.959  -0.312 0.797  -0.339 0.634  -0.371 0.477  -0.463 0.338  -0.555 0.200  -0.648 0.061  -0.726 -0.085  -0.801 -0.234  -0.834 -0.393  -0.834 -0.560  -0.834 -0.726  -0.738 -0.796  -0.572 -0.796  -0.405 -0.796  -0.246 -0.759  -0.091 -0.697  0.064 -0.635  0.218 -0.573  0.373 -0.511  0.531 -0.466  0.697 -0.466  0.837 -0.423  0.912 -0.274  0.981 -0.124  0.967 0.029  0.800 0.029  0.633 0.029  0.469 0.020  0.320 -0.054  0.171 -0.129  0.050 -0.242  -0.068 -0.360  -0.174 -0.482  -0.169 -0.648  -0.116 -0.806  -0.064 -0.964  -0.011 -1.122  0.152 -1.126  0.319 -1.126  0.486 -1.126
2#apa#apa15#app1542/  0.554 1.516  0.484 1.516  0.428 1.501  0.428 1.431  0.428 1.361  0.428 1.290  0.408 1.225  0.377 1.162  0.346 1.099  0.314 1.036  0.283 0.973  0.251 0.910  0.220 0.847  0.188 0.785  0.162 0.719  0.140 0.653  0.118 0.586  0.096 0.519  0.073 0.453  0.051 0.386  0.029 0.319  0.007 0.252  -0.016 0.186  -0.038 0.119  -0.060 0.052  -0.077 -0.015  -0.077 -0.086  -0.077 -0.156  -0.077 -0.226  -0.077 -0.297  -0.077 -0.367  -0.093 -0.435  -0.113 -0.502  -0.132 -0.570  -0.151 -0.638  -0.171 -0.705  -0.190 -0.773  -0.209 -0.841  -0.229 -0.908  -0.248 -0.976  -0.267 -1.043  -0.287 -1.111  -0.306 -1.179  -0.325 -1.246  -0.354 -1.310  -0.386 -1.373  -0.417 -1.436  -0.449 -1.499  -0.455 -1.567  -0.455 -1.638
2#apa#apa15#app1542/7  -1.002 0.481  -1.002 0.572  -1.002 0.662  -1.002 0.753  -0.990 0.831  -0.900 0.831  -0.810 0.831  -0.719 0.831  -0.629 0.831  -0.539 0.831  -0.448 0.831  -0.358 0.831  -0.268 0.831  -0.177 0.831  -0.087 0.831  0.003 0.831  0.094 0.831  0.184 0.831  0.274 0.831  0.365 0.831  0.395 0.771  0.395 0.681  0.395 0.591  0.395 0.500  0.395 0.410  0.395 0.320  0.395 0.229  0.395 0.139  0.395 0.049  0.395 -0.042  0.395 -0.132  0.395 -0.222  0.395 -0.313  0.393 -0.403  0.376 -0.491  0.358 -0.580  0.340 -0.669  0.322 -0.757  0.305 -0.846  0.287 -0.934  0.269 -1.023  0.252 -1.111  0.234 -1.200  0.210 -1.287  0.170 -1.367  0.129 -1.448  0.089 -1.529  0.049 -1.610  0.046 -1.700  0.046 -1.790
2#apa#apa15#app1542/  0.689 1.266  0.639 1.316  0.588 1.367  0.538 1.403  0.487 1.352  0.437 1.302  0.401 1.245  0.401 1.174  0.401 1.103  0.401 1.031  0.401 0.960  0.401 0.889  0.394 0.819  0.362 0.755  0.330 0.692  0.298 0.628  0.266 0.564  0.234 0.500  0.202 0.437  0.170 0.373  0.139 0.309  0.107 0.245  0.075 0.181  0.043 0.118  0.011 0.054  -0.021 -0.010  -0.049 -0.075  -0.075 -0.142  -0.102 -0.208  -0.128 -0.274  -0.155 -0.340  -0.181 -0.406  -0.208 -0.473  -0.234 -0.539  -0.261 -0.605  -0.287 -0.671  -0.314 -0.737  -0.345 -0.802  -0.377 -0.865  -0.408 -0.929  -0.440 -0.993  -0.468 -1.058  -0.485 -1.128  -0.502 -1.197  -0.519 -1.266  -0.537 -1.335  -0.554 -1.404  -0.571 -1.473  -0.589 -1.543  -0.606 -1.612
2#apa#apa15#app1542/8  0.427 0.756  0.427 0.911  0.494 1.050  0.563 1.188  0.513 1.307  0.404 1.416  0.295 1.525  0.164 1.500  0.026 1.431  -0.112 1.362  -0.251 1.293  -0.369 1.212  -0.369 1.057  -0.373 0.904  -0.422 0.757  -0.471 0.611  -0.520 0.464  -0.488 0.318  -0.439 0.171  -0.390 0.025  -0.330 -0.117  -0.261 -0.255  -0.174 -0.375  -0.036 -0.444  0.102 -0.514  0.240 -0.583  0.378 -0.652  0.458 -0.771  0.507 -0.918  0.556 -1.064  0.586 -1.214  0.533 -1.330  0.386 -1.379  0.240 -1.428  0.097 -1.460  -0.012 -1.351  -0.121 -1.242  -0.231 -1.133  -0.340 -1.023  -0.369 -0.881  -0.369 -0.727  -0.369 -0.572  -0.369 -0.418  -0.313 -0.282  -0.220 -0.159  -0.127 -0.035  -0.035 0.088  0.058 0.212  0.158 0.329  0.267 0.438
2#apa#apa15#app1542/9  -0.161 -1.659  -0.161 -1.530  -0.062 -1.501  0.067 -1.501  0.167 -1.462  0.207 -1.340  0.248 -1.218  0.288 -1.097  0.337 -0.978  0.394 -0.863  0.451 -0.748  0.509 -0.633  0.566 -0.519  0.624 -0.404  0.681 -0.289  0.738 -0.174  0.782 -0.056  0.782 0.072  0.782 0.200  0.782 0.329  0.782 0.457  0.782 0.585  0.770 0.706  0.656 0.764  0.541 0.821  0.423 0.872  0.302 0.913  0.180 0.954  0.058 0.994  -0.065 1.000  -0.190 0.968  -0.314 0.937  -0.439 0.906  -0.563 0.875  -0.673 0.818  -0.764 0.727  -0.854 0.636  -0.945 0.545  -1.036 0.455  -1.091 0.358  -1.033 0.243  -0.976 0.128  -0.885 0.056  -0.760 0.024  -0.636 -0.007  -0.511 -0.038  -0.387 -0.069  -0.261 -0.086  -0.132 -0.086  -0.004 -0.086
