3#apb#apb16#app1610/R  0.020 0.312  -0.157 0.416  -0.273 0.298  -0.310 0.089  -0.350 -0.120  -0.378 -0.330  -0.417 -0.538  -0.484 -0.739  -0.559 -0.938  -0.635 -1.136  -0.723 -1.329  -0.846 -1.278  -0.901 -1.074  -0.905 -0.862  -0.897 -0.650  -0.874 -0.439  -0.831 -0.232  -0.762 -0.032  -0.680 0.164  -0.585 0.354  -0.468 0.528  -0.321 0.681  -0.176 0.836  -0.037 0.996  0.105 1.153  0.289 1.260  0.474 1.363  0.677 1.427  0.868 1.374  1.021 1.232  1.099 1.043  1.112 0.834  1.052 0.634  0.921 0.467  0.765 0.322  0.591 0.203  0.405 0.101  0.218 0.002  0.015 -0.049  -0.196 -0.050  -0.376 0.013  -0.224 -0.123  -0.058 -0.255  0.106 -0.391  0.263 -0.533  0.416 -0.680  0.566 -0.831  0.691 -1.001  0.787 -1.190  0.960 -1.299
3#apb#apb16#app1610/g  0.101 1.234  -0.018 1.149  -0.134 1.061  -0.237 0.958  -0.341 0.856  -0.446 0.756  -0.552 0.655  -0.652 0.549  -0.745 0.438  -0.797 0.302  -0.755 0.168  -0.614 0.133  -0.468 0.133  -0.329 0.170  -0.191 0.219  -0.074 0.305  0.040 0.395  0.148 0.493  0.224 0.616  0.291 0.746  0.339 0.882  0.339 1.028  0.339 1.174  0.319 1.175  0.297 1.033  0.290 0.887  0.300 0.742  0.314 0.597  0.323 0.451  0.332 0.306  0.341 0.161  0.350 0.015  0.358 -0.130  0.366 -0.276  0.373 -0.422  0.381 -0.567  0.388 -0.713  0.389 -0.858  0.389 -1.004  0.388 -1.150  0.366 -1.294  0.323 -1.429  0.224 -1.533  0.094 -1.593  -0.051 -1.584  -0.191 -1.548  -0.328 -1.499  -0.465 -1.448  -0.601 -1.396  -0.737 -1.344
3#apb#apb16#app1610/K  0.195 2.025  0.185 1.924  0.166 1.717  0.143 1.510  0.105 1.306  0.050 1.106  -0.004 0.905  -0.068 0.707  -0.134 0.510  -0.200 0.313  -0.265 0.115  -0.331 -0.082  -0.397 -0.279  -0.464 -0.476  -0.532 -0.673  -0.600 -0.869  -0.674 -1.063  -0.752 -1.256  -0.744 -1.276  -0.642 -1.095  -0.546 -0.911  -0.454 -0.724  -0.366 -0.536  -0.278 -0.348  -0.169 -0.171  -0.057 0.005  0.058 0.177  0.194 0.335  0.330 0.492  0.498 0.614  0.669 0.731  0.861 0.813  1.012 0.850  0.907 0.693  0.751 0.556  0.582 0.438  0.398 0.342  0.219 0.237  0.044 0.123  -0.124 0.001  -0.286 -0.129  -0.378 -0.305  -0.317 -0.502  -0.242 -0.696  -0.120 -0.862  0.035 -0.999  0.187 -1.141  0.350 -1.266  0.529 -1.370  0.676 -1.517
3#apb#apb16#app1610/o  1.312 1.042  1.193 1.038  1.077 1.014  0.960 0.991  0.843 0.973  0.725 0.963  0.606 0.952  0.490 0.933  0.374 0.904  0.259 0.875  0.144 0.845  0.031 0.807  -0.081 0.770  -0.181 0.710  -0.273 0.634  -0.364 0.558  -0.455 0.482  -0.544 0.403  -0.628 0.319  -0.712 0.235  -0.796 0.151  -0.864 0.055  -0.921 -0.050  -0.977 -0.154  -1.033 -0.259  -1.056 -0.372  -1.056 -0.491  -0.995 -0.592  -0.932 -0.693  -0.854 -0.780  -0.758 -0.849  -0.658 -0.911  -0.540 -0.922  -0.422 -0.933  -0.304 -0.937  -0.190 -0.902  -0.077 -0.867  0.037 -0.832  0.151 -0.801  0.267 -0.776  0.383 -0.750  0.477 -0.677  0.571 -0.604  0.665 -0.531  0.725 -0.430  0.783 -0.326  0.838 -0.221  0.879 -0.109  0.919 0.003  0.960 0.114
3#apb#apb16#app1610/n  -1.068 0.473  -0.908 0.473  -0.793 0.566  -0.765 0.523  -0.768 0.367  -0.750 0.209  -0.735 0.050  -0.729 -0.109  -0.752 -0.267  -0.775 -0.425  -0.824 -0.576  -0.886 -0.723  -0.941 -0.873  -0.984 -1.026  -0.960 -1.132  -0.896 -0.989  -0.835 -0.842  -0.718 -0.734  -0.600 -0.626  -0.485 -0.516  -0.390 -0.388  -0.296 -0.259  -0.202 -0.130  -0.115 0.004  -0.031 0.140  0.053 0.275  0.137 0.411  0.227 0.543  0.327 0.667  0.428 0.791  0.529 0.915  0.650 1.016  0.782 1.105  0.918 1.189  1.030 1.139  1.074 0.986  1.052 0.831  1.017 0.675  0.981 0.519  0.944 0.364  0.907 0.209  0.857 0.057  0.806 -0.094  0.750 -0.243  0.673 -0.383  0.610 -0.528  0.576 -0.684  0.577 -0.842  0.592 -1.001  0.709 -1.103
3#apb#apb16#app1610/g  0.095 0.845  0.163 0.969  0.067 0.991  -0.079 0.951  -0.198 0.855  -0.309 0.751  -0.415 0.639  -0.514 0.523  -0.603 0.399  -0.675 0.265  -0.720 0.119  -0.677 -0.005  -0.530 -0.035  -0.377 -0.035  -0.244 0.040  -0.110 0.115  0.029 0.179  0.165 0.248  0.298 0.325  0.400 0.436  0.484 0.563  0.538 0.704  0.551 0.857  0.540 1.009  0.506 1.156  0.386 1.201  0.285 1.086  0.178 0.977  0.109 0.840  0.059 0.696  0.021 0.548  -0.003 0.396  -0.021 0.245  -0.027 0.092  -0.033 -0.061  -0.036 -0.214  -0.036 -0.367  -0.036 -0.520  -0.036 -0.673  -0.017 -0.825  0.003 -0.977  0.023 -1.129  0.053 -1.279  0.088 -1.428  0.122 -1.577  0.147 -1.728  0.171 -1.879  0.164 -2.031  0.101 -2.135  -0.052 -2.122
3#apb#apb16#app1610/B  0.185 0.675  0.240 0.798  0.281 1.016  0.240 1.117  0.178 0.877  0.066 0.651  -0.067 0.436  -0.187 0.214  -0.293 -0.015  -0.402 -0.244  -0.530 -0.462  -0.652 -0.683  -0.757 -0.913  -0.880 -1.134  -0.969 -1.018  -0.955 -0.767  -0.882 -0.525  -0.794 -0.288  -0.702 -0.053  -0.596 0.177  -0.491 0.407  -0.355 0.620  -0.216 0.831  -0.055 1.026  0.113 1.215  0.296 1.388  0.526 1.477  0.723 1.349  0.789 1.109  0.744 0.863  0.657 0.626  0.530 0.410  0.371 0.214  0.165 0.069  -0.047 -0.069  -0.283 -0.135  -0.184 0.012  0.065 -0.001  0.311 -0.058  0.543 -0.155  0.740 -0.312  0.869 -0.522  0.861 -0.768  0.727 -0.977  0.542 -1.147  0.337 -1.295  0.125 -1.432  -0.101 -1.547  -0.342 -1.619  -0.483 -1.439
3#apb#apb16#app1610/u  -0.491 0.929  -0.429 1.101  -0.329 1.250  -0.271 1.403  -0.295 1.279  -0.377 1.114  -0.441 0.941  -0.504 0.768  -0.567 0.594  -0.628 0.420  -0.689 0.246  -0.747 0.071  -0.794 -0.108  -0.841 -0.286  -0.887 -0.465  -0.904 -0.648  -0.904 -0.832  -0.904 -1.017  -0.879 -1.199  -0.730 -1.192  -0.589 -1.080  -0.470 -0.940  -0.350 -0.799  -0.216 -0.672  -0.081 -0.546  0.053 -0.419  0.183 -0.288  0.305 -0.150  0.427 -0.011  0.549 0.127  0.640 0.288  0.730 0.449  0.819 0.611  0.914 0.769  1.000 0.931  1.014 1.000  0.936 0.854  0.880 0.680  0.792 0.517  0.708 0.353  0.643 0.180  0.579 0.007  0.522 -0.168  0.472 -0.346  0.412 -0.520  0.341 -0.691  0.315 -0.868  0.333 -1.051  0.307 -1.234  0.443 -1.353
3#apb#apb16#app1610/e  -0.905 0.327  -0.914 0.203  -0.903 0.054  -0.844 -0.090  -0.774 -0.230  -0.642 -0.312  -0.489 -0.341  -0.335 -0.366  -0.180 -0.345  -0.026 -0.325  0.120 -0.276  0.254 -0.198  0.388 -0.118  0.516 -0.029  0.644 0.061  0.769 0.155  0.894 0.248  0.982 0.367  1.031 0.515  1.100 0.654  1.150 0.799  1.150 0.955  1.113 1.105  0.995 1.175  0.842 1.206  0.694 1.163  0.549 1.105  0.413 1.030  0.290 0.935  0.180 0.825  0.073 0.711  -0.028 0.592  -0.129 0.473  -0.220 0.347  -0.299 0.213  -0.378 0.078  -0.457 -0.057  -0.526 -0.196  -0.596 -0.336  -0.666 -0.476  -0.712 -0.625  -0.758 -0.774  -0.761 -0.928  -0.746 -1.083  -0.638 -1.195  -0.521 -1.297  -0.398 -1.393  -0.256 -1.435  -0.100 -1.435  0.056 -1.435
3#apb#apb16#app1610/n  -0.714 0.677  -0.768 0.577  -0.777 0.425  -0.811 0.275  -0.846 0.126  -0.872 -0.026  -0.897 -0.177  -0.924 -0.328  -0.951 -0.479  -0.970 -0.631  -0.992 -0.783  -0.983 -0.930  -0.930 -0.954  -0.839 -0.831  -0.770 -0.694  -0.699 -0.558  -0.616 -0.429  -0.533 -0.300  -0.452 -0.169  -0.378 -0.035  -0.304 0.099  -0.230 0.234  -0.150 0.364  -0.055 0.485  0.040 0.605  0.135 0.726  0.233 0.843  0.367 0.918  0.501 0.993  0.634 1.069  0.760 1.156  0.895 1.212  0.948 1.069  0.948 0.915  0.948 0.762  0.941 0.609  0.918 0.457  0.895 0.305  0.852 0.158  0.808 0.011  0.765 -0.137  0.703 -0.277  0.639 -0.416  0.577 -0.556  0.518 -0.698  0.463 -0.841  0.448 -0.994  0.446 -1.146  0.479 -1.291  0.599 -1.387
3#apb#apb16#app1610/o  0.922 0.725  0.860 0.847  0.755 0.933  0.615 0.933  0.492 0.995  0.362 1.043  0.223 1.051  0.090 1.029  -0.027 0.951  -0.139 0.867  -0.249 0.782  -0.351 0.687  -0.437 0.576  -0.523 0.466  -0.621 0.366  -0.720 0.267  -0.784 0.144  -0.841 0.016  -0.873 -0.120  -0.898 -0.257  -0.904 -0.395  -0.881 -0.533  -0.858 -0.672  -0.815 -0.804  -0.767 -0.936  -0.707 -1.061  -0.626 -1.175  -0.519 -1.258  -0.390 -1.313  -0.251 -1.317  -0.127 -1.276  -0.021 -1.184  0.084 -1.092  0.191 -1.001  0.283 -0.900  0.333 -0.769  0.384 -0.639  0.435 -0.508  0.487 -0.378  0.538 -0.248  0.558 -0.109  0.577 0.029  0.597 0.168  0.612 0.307  0.626 0.446  0.641 0.586  0.656 0.725  0.670 0.864  0.683 1.004  0.656 1.140
3#apb#apb16#app1610/s  0.573 0.537  0.672 0.579  0.746 0.644  0.776 0.748  0.782 0.855  0.753 0.954  0.693 1.043  0.596 1.089  0.494 1.121  0.387 1.131  0.279 1.141  0.177 1.108  0.076 1.071  -0.025 1.032  -0.124 0.989  -0.223 0.947  -0.320 0.900  -0.396 0.824  -0.466 0.743  -0.521 0.650  -0.538 0.544  -0.505 0.446  -0.451 0.353  -0.396 0.260  -0.340 0.168  -0.273 0.086  -0.191 0.015  -0.109 -0.056  -0.029 -0.127  0.052 -0.199  0.139 -0.263  0.226 -0.326  0.286 -0.416  0.331 -0.513  0.361 -0.616  0.337 -0.720  0.295 -0.818  0.231 -0.904  0.162 -0.986  0.074 -1.050  -0.013 -1.113  -0.104 -1.170  -0.205 -1.208  -0.306 -1.246  -0.407 -1.284  -0.508 -1.321  -0.610 -1.356  -0.712 -1.392  -0.814 -1.428  -0.916 -1.463
3#apb#apb16#app1610/A  0.758 1.086  0.620 1.264  0.465 1.055  0.326 0.836  0.201 0.609  0.074 0.381  -0.053 0.154  -0.182 -0.071  -0.312 -0.297  -0.446 -0.519  -0.605 -0.725  -0.760 -0.933  -0.910 -1.147  -1.124 -1.282  -1.066 -1.053  -0.971 -0.811  -0.848 -0.582  -0.723 -0.354  -0.594 -0.128  -0.465 0.098  -0.332 0.322  -0.192 0.540  -0.051 0.759  0.092 0.976  0.238 1.192  0.386 1.405  0.550 1.607  0.735 1.565  0.783 1.313  0.805 1.053  0.810 0.794  0.792 0.535  0.753 0.278  0.703 0.023  0.633 -0.228  0.533 -0.467  0.420 -0.701  0.297 -0.930  0.168 -1.156  0.005 -1.350  -0.149 -1.275  -0.170 -1.016  -0.192 -0.757  -0.213 -0.498  -0.235 -0.238  -0.257 0.021  -0.274 -0.037  -0.184 -0.280  -0.042 -0.495  0.203 -0.537
3#apb#apb16#app1610/i  0.212 0.060  0.212 -0.045  0.199 -0.148  0.173 -0.250  0.143 -0.350  0.096 -0.444  0.049 -0.538  0.002 -0.632  -0.036 -0.729  -0.074 -0.827  -0.116 -0.923  -0.166 -1.015  -0.216 -1.108  -0.267 -1.199  -0.322 -1.288  -0.389 -1.369  -0.434 -1.350  -0.406 -1.249  -0.379 -1.147  -0.352 -1.046  -0.324 -0.945  -0.297 -0.843  -0.269 -0.742  -0.242 -0.641  -0.215 -0.540  -0.187 -0.438  -0.160 -0.337  -0.132 -0.236  -0.105 -0.135  -0.078 -0.033  -0.050 0.068  -0.023 0.169  0.005 0.271  0.032 0.372  0.059 0.473  0.087 0.574  0.114 0.676  0.142 0.777  0.169 0.878  0.196 0.980  0.224 1.081  0.251 1.182  0.279 1.283  0.306 1.385  0.333 1.486  0.361 1.587  0.388 1.689  0.416 1.790  0.443 1.891  0.348 1.875
3#apb#apb16#app1610/r  -0.655 1.244  -0.543 1.325  -0.445 1.313  -0.347 1.215  -0.346 1.077  -0.346 0.938  -0.346 0.800  -0.346 0.662  -0.346 0.523  -0.335 0.385  -0.323 0.248  -0.310 0.110  -0.298 -0.028  -0.285 -0.166  -0.284 -0.304  -0.284 -0.443  -0.284 -0.581  -0.284 -0.719  -0.284 -0.858  -0.284 -0.996  -0.284 -1.135  -0.284 -1.273  -0.284 -1.411  -0.266 -1.548  -0.209 -1.599  -0.148 -1.475  -0.101 -1.345  -0.060 -1.213  -0.020 -1.081  0.016 -0.947  0.050 -0.813  0.083 -0.678  0.117 -0.544  0.144 -0.408  0.171 -0.273  0.198 -0.137  0.225 -0.001  0.257 0.133  0.294 0.267  0.331 0.400  0.368 0.533  0.410 0.665  0.463 0.793  0.517 0.920  0.579 1.043  0.656 1.158  0.780 1.177  0.908 1.125  0.993 1.018  1.073 0.905
3#apb#apb16#app1610/e  -0.691 0.127  -0.689 0.006  -0.644 -0.143  -0.628 -0.297  -0.622 -0.452  -0.521 -0.573  -0.401 -0.670  -0.258 -0.731  -0.101 -0.731  0.044 -0.681  0.185 -0.611  0.333 -0.559  0.482 -0.509  0.602 -0.408  0.720 -0.304  0.825 -0.187  0.930 -0.070  1.009 0.061  1.047 0.213  1.057 0.369  1.057 0.527  1.057 0.684  0.993 0.826  0.923 0.967  0.827 1.088  0.715 1.200  0.589 1.283  0.436 1.318  0.303 1.280  0.192 1.169  0.081 1.058  -0.031 0.947  -0.142 0.836  -0.244 0.717  -0.329 0.585  -0.414 0.453  -0.499 0.320  -0.555 0.173  -0.610 0.026  -0.665 -0.121  -0.709 -0.272  -0.742 -0.425  -0.775 -0.579  -0.787 -0.735  -0.787 -0.892  -0.728 -1.029  -0.631 -1.154  -0.526 -1.269  -0.402 -1.366  -0.278 -1.462
3#apb#apb16#app1610/s  0.567 1.341  0.486 1.309  0.406 1.276  0.325 1.244  0.244 1.214  0.158 1.204  0.072 1.193  -0.012 1.176  -0.088 1.134  -0.163 1.092  -0.239 1.050  -0.314 1.006  -0.389 0.962  -0.450 0.905  -0.489 0.828  -0.499 0.743  -0.499 0.657  -0.499 0.570  -0.495 0.484  -0.468 0.402  -0.440 0.319  -0.396 0.246  -0.347 0.173  -0.299 0.101  -0.251 0.029  -0.180 -0.019  -0.106 -0.064  -0.032 -0.110  0.030 -0.169  0.082 -0.238  0.134 -0.307  0.186 -0.377  0.232 -0.450  0.278 -0.523  0.324 -0.597  0.361 -0.675  0.389 -0.757  0.410 -0.840  0.410 -0.927  0.410 -1.014  0.381 -1.093  0.338 -1.168  0.295 -1.243  0.235 -1.304  0.169 -1.360  0.103 -1.417  0.030 -1.461  -0.052 -1.488  -0.134 -1.516  -0.217 -1.543
3#apb#apb16#app1610/S  0.983 0.924  1.017 1.038  0.936 1.136  0.816 1.155  0.688 1.133  0.562 1.098  0.436 1.061  0.313 1.018  0.189 0.975  0.069 0.925  -0.049 0.869  -0.167 0.812  -0.285 0.756  -0.403 0.700  -0.521 0.643  -0.639 0.587  -0.757 0.532  -0.874 0.473  -0.956 0.390  -0.859 0.310  -0.734 0.273  -0.608 0.236  -0.480 0.212  -0.351 0.189  -0.224 0.161  -0.101 0.117  0.022 0.072  0.145 0.028  0.261 -0.032  0.377 -0.093  0.487 -0.162  0.587 -0.246  0.677 -0.339  0.735 -0.456  0.724 -0.583  0.675 -0.698  0.583 -0.790  0.480 -0.869  0.366 -0.934  0.250 -0.993  0.127 -1.036  0.004 -1.079  -0.122 -1.117  -0.248 -1.151  -0.374 -1.186  -0.503 -1.208  -0.632 -1.227  -0.762 -1.240  -0.892 -1.240  -0.972 -1.143
3#apb#apb16#app1610/y  -0.672 0.684  -0.718 0.570  -0.724 0.444  -0.698 0.330  -0.611 0.241  -0.504 0.180  -0.378 0.180  -0.253 0.187  -0.134 0.229  -0.015 0.270  0.105 0.309  0.226 0.345  0.345 0.384  0.447 0.458  0.549 0.532  0.655 0.600  0.767 0.658  0.878 0.717  0.975 0.796  1.068 0.882  1.107 0.998  1.048 1.001  0.971 0.901  0.886 0.808  0.807 0.710  0.732 0.609  0.656 0.508  0.581 0.407  0.506 0.305  0.431 0.204  0.353 0.105  0.273 0.008  0.194 -0.090  0.114 -0.188  0.031 -0.283  -0.055 -0.375  -0.140 -0.467  -0.226 -0.560  -0.312 -0.652  -0.399 -0.743  -0.487 -0.834  -0.574 -0.925  -0.662 -1.015  -0.751 -1.104  -0.845 -1.189  -0.938 -1.273  -1.032 -1.358  -1.125 -1.443  -1.217 -1.528  -1.237 -1.532
