2#apb#apb10#app1038/P  -0.491 0.525  -0.308 0.450  -0.101 0.518  0.093 0.615  0.270 0.743  0.434 0.885  0.497 1.014  0.362 0.844  0.254 0.654  0.152 0.461  0.048 0.269  -0.061 0.079  -0.169 -0.110  -0.271 -0.303  -0.372 -0.497  -0.474 -0.690  -0.581 -0.880  -0.687 -1.071  -0.794 -1.262  -0.900 -1.452  -1.011 -1.641  -1.031 -1.699  -0.928 -1.506  -0.826 -1.313  -0.724 -1.120  -0.622 -0.927  -0.520 -0.734  -0.418 -0.541  -0.316 -0.348  -0.213 -0.155  -0.111 0.038  -0.009 0.231  0.093 0.424  0.195 0.617  0.297 0.810  0.274 0.990  0.464 1.010  0.679 1.048  0.897 1.066  1.112 1.037  1.226 0.869  1.166 0.665  1.043 0.487  0.890 0.332  0.722 0.192  0.542 0.070  0.355 -0.043  0.158 -0.137  -0.038 -0.234  -0.247 -0.283
2#apb#apb10#app1038/p  0.179 1.035  0.099 0.882  0.012 0.717  -0.044 0.539  -0.092 0.358  -0.160 0.185  -0.234 0.013  -0.313 -0.156  -0.394 -0.325  -0.474 -0.494  -0.552 -0.663  -0.631 -0.833  -0.716 -0.999  -0.803 -1.165  -0.879 -1.335  -0.946 -1.510  -0.922 -1.464  -0.859 -1.288  -0.796 -1.112  -0.733 -0.936  -0.670 -0.760  -0.607 -0.584  -0.544 -0.408  -0.481 -0.232  -0.418 -0.056  -0.355 0.120  -0.292 0.296  -0.229 0.472  -0.200 0.655  -0.142 0.832  -0.058 0.994  0.117 1.051  0.304 1.051  0.491 1.051  0.668 1.000  0.843 0.933  1.018 0.868  1.180 0.780  1.311 0.652  1.362 0.472  1.306 0.297  1.190 0.155  1.055 0.026  0.892 -0.065  0.717 -0.121  0.532 -0.149  0.347 -0.177  0.162 -0.200  -0.025 -0.200  -0.212 -0.200
2#apb#apb10#app1038/s  0.949 1.156  0.896 1.241  0.794 1.253  0.687 1.253  0.582 1.247  0.483 1.205  0.385 1.163  0.302 1.096  0.222 1.026  0.141 0.956  0.049 0.903  -0.048 0.860  -0.146 0.816  -0.217 0.741  -0.239 0.641  -0.197 0.547  -0.138 0.458  -0.062 0.385  0.027 0.326  0.115 0.267  0.204 0.208  0.291 0.146  0.372 0.076  0.452 0.005  0.533 -0.065  0.618 -0.129  0.660 -0.215  0.660 -0.322  0.627 -0.414  0.546 -0.483  0.464 -0.553  0.378 -0.615  0.287 -0.672  0.197 -0.729  0.107 -0.787  0.006 -0.818  -0.098 -0.839  -0.203 -0.860  -0.308 -0.881  -0.413 -0.899  -0.520 -0.899  -0.627 -0.899  -0.733 -0.899  -0.840 -0.899  -0.947 -0.896  -1.053 -0.885  -1.160 -0.875  -1.264 -0.855  -1.363 -0.816  -1.460 -0.771
2#apb#apb10#app1038/u  -0.773 0.592  -0.835 0.468  -0.903 0.347  -0.975 0.228  -1.048 0.110  -1.127 -0.004  -1.207 -0.117  -1.285 -0.232  -1.355 -0.351  -1.393 -0.484  -1.399 -0.618  -1.273 -0.675  -1.146 -0.729  -1.010 -0.699  -0.877 -0.664  -0.764 -0.583  -0.651 -0.503  -0.538 -0.422  -0.425 -0.341  -0.312 -0.261  -0.199 -0.180  -0.086 -0.099  0.027 -0.019  0.140 0.062  0.252 0.143  0.365 0.223  0.478 0.304  0.591 0.385  0.704 0.465  0.817 0.546  0.930 0.627  1.043 0.707  1.156 0.788  1.269 0.869  1.274 0.858  1.165 0.774  1.058 0.689  1.003 0.562  0.935 0.442  0.855 0.328  0.776 0.215  0.704 0.096  0.633 -0.023  0.592 -0.154  0.569 -0.291  0.541 -0.426  0.473 -0.546  0.417 -0.672  0.379 -0.806  0.434 -0.931
2#apb#apb10#app1038/i  -0.161 0.300  -0.203 0.201  -0.245 0.103  -0.287 0.003  -0.326 -0.096  -0.366 -0.196  -0.406 -0.295  -0.439 -0.397  -0.471 -0.500  -0.502 -0.602  -0.534 -0.705  -0.557 -0.809  -0.557 -0.916  -0.557 -1.023  -0.540 -1.129  -0.523 -1.235  -0.440 -1.296  -0.348 -1.352  -0.308 -1.261  -0.273 -1.160  -0.239 -1.059  -0.204 -0.957  -0.169 -0.856  -0.134 -0.754  -0.099 -0.653  -0.064 -0.551  -0.029 -0.450  0.006 -0.349  0.041 -0.247  0.076 -0.146  0.111 -0.044  0.146 0.057  0.181 0.159  0.216 0.260  0.251 0.362  0.286 0.463  0.321 0.564  0.355 0.666  0.390 0.767  0.425 0.869  0.460 0.970  0.495 1.072  0.530 1.173  0.565 1.274  0.600 1.376  0.635 1.477  0.670 1.579  0.705 1.680  0.740 1.782  0.775 1.883
2#apb#apb10#app1038/t  0.613 1.820  0.620 1.701  0.556 1.552  0.467 1.411  0.385 1.266  0.304 1.120  0.213 0.980  0.122 0.840  0.032 0.701  -0.059 0.561  -0.150 0.421  -0.241 0.281  -0.332 0.141  -0.423 0.002  -0.509 -0.141  -0.591 -0.286  -0.675 -0.430  -0.765 -0.571  -0.810 -0.729  -0.850 -0.891  -0.844 -1.054  -0.716 -1.160  -0.568 -1.235  -0.405 -1.252  -0.239 -1.264  -0.074 -1.257  0.079 -1.194  0.218 -1.104  0.186 -0.984  0.082 -0.854  -0.023 -0.724  -0.127 -0.594  -0.232 -0.464  -0.336 -0.334  -0.441 -0.204  -0.545 -0.074  -0.602 0.075  -0.471 0.168  -0.308 0.186  -0.142 0.195  0.024 0.210  0.190 0.231  0.354 0.255  0.518 0.286  0.683 0.309  0.849 0.322  1.007 0.373  1.167 0.420  1.330 0.453  1.480 0.520
2#apb#apb10#app1038/f  1.153 1.155  1.081 1.264  1.029 1.384  0.940 1.475  0.820 1.480  0.711 1.408  0.610 1.325  0.511 1.238  0.416 1.149  0.333 1.048  0.267 0.937  0.227 0.812  0.189 0.687  0.154 0.561  0.119 0.435  0.085 0.309  0.050 0.183  0.016 0.056  -0.019 -0.070  -0.055 -0.195  -0.091 -0.321  -0.127 -0.447  -0.166 -0.572  -0.205 -0.697  -0.245 -0.821  -0.290 -0.944  -0.335 -1.067  -0.381 -1.189  -0.429 -1.311  -0.475 -1.434  -0.508 -1.523  -0.498 -1.392  -0.487 -1.262  -0.477 -1.131  -0.467 -1.001  -0.456 -0.871  -0.446 -0.740  -0.436 -0.610  -0.426 -0.479  -0.415 -0.349  -0.405 -0.218  -0.395 -0.088  -0.384 0.042  -0.382 0.159  -0.270 0.227  -0.150 0.273  -0.019 0.280  0.112 0.282  0.243 0.282  0.374 0.282
2#apb#apb10#app1038/r  0.013 1.205  -0.020 1.072  -0.029 0.937  -0.029 0.800  -0.029 0.663  -0.054 0.530  -0.094 0.399  -0.135 0.268  -0.175 0.137  -0.207 0.005  -0.226 -0.131  -0.246 -0.266  -0.265 -0.402  -0.284 -0.537  -0.307 -0.672  -0.329 -0.808  -0.352 -0.943  -0.373 -1.078  -0.390 -1.214  -0.407 -1.349  -0.395 -1.485  -0.373 -1.620  -0.348 -1.529  -0.322 -1.394  -0.297 -1.260  -0.272 -1.125  -0.246 -0.991  -0.221 -0.856  -0.196 -0.722  -0.170 -0.587  -0.145 -0.453  -0.119 -0.318  -0.094 -0.184  -0.069 -0.049  -0.043 0.085  -0.018 0.220  0.007 0.354  0.033 0.489  0.059 0.623  0.092 0.756  0.177 0.859  0.274 0.956  0.376 1.045  0.503 1.095  0.631 1.146  0.758 1.197  0.890 1.233  1.022 1.266  1.155 1.299  1.288 1.333
2#apb#apb10#app1038/o  0.189 0.337  0.230 0.462  0.272 0.586  0.270 0.712  0.236 0.839  0.144 0.932  0.018 0.906  -0.109 0.874  -0.237 0.843  -0.356 0.789  -0.473 0.730  -0.591 0.671  -0.708 0.613  -0.809 0.532  -0.896 0.434  -0.983 0.336  -1.070 0.238  -1.158 0.139  -1.200 0.016  -1.242 -0.109  -1.222 -0.228  -1.157 -0.342  -1.092 -0.455  -0.997 -0.533  -0.872 -0.574  -0.748 -0.616  -0.623 -0.657  -0.493 -0.671  -0.362 -0.681  -0.231 -0.691  -0.100 -0.701  0.031 -0.711  0.161 -0.702  0.292 -0.692  0.423 -0.682  0.554 -0.672  0.685 -0.662  0.806 -0.611  0.927 -0.560  1.046 -0.506  1.151 -0.427  1.238 -0.339  1.238 -0.208  1.238 -0.076  1.219 0.052  1.183 0.178  1.147 0.305  1.084 0.418  1.011 0.528  0.938 0.637
2#apb#apb10#app1038/m  -1.146 0.335  -1.146 0.175  -1.189 0.021  -1.236 -0.132  -1.284 -0.285  -1.348 -0.432  -1.450 -0.549  -1.368 -0.518  -1.256 -0.408  -1.178 -0.269  -1.074 -0.147  -0.977 -0.019  -0.876 0.104  -0.755 0.210  -0.627 0.306  -0.494 0.395  -0.366 0.491  -0.239 0.590  -0.103 0.673  0.031 0.596  0.108 0.490  0.085 0.331  0.039 0.178  -0.008 0.025  -0.047 -0.131  -0.135 -0.265  -0.188 -0.415  -0.231 -0.568  -0.176 -0.614  -0.040 -0.533  0.082 -0.449  0.145 -0.306  0.217 -0.180  0.288 -0.037  0.390 0.084  0.532 0.158  0.646 0.271  0.775 0.360  0.925 0.417  1.064 0.497  1.219 0.518  1.379 0.518  1.396 0.368  1.409 0.209  1.389 0.050  1.354 -0.106  1.336 -0.265  1.341 -0.425  1.371 -0.582  1.415 -0.736
2#apb#apb10#app1038/c  0.780 0.636  0.855 0.691  0.862 0.588  0.889 0.547  0.904 0.654  0.916 0.761  0.894 0.866  0.832 0.954  0.762 1.037  0.668 1.074  0.560 1.064  0.457 1.030  0.353 0.995  0.251 0.958  0.162 0.895  0.073 0.832  -0.016 0.769  -0.105 0.706  -0.194 0.643  -0.273 0.568  -0.350 0.491  -0.427 0.413  -0.504 0.336  -0.582 0.259  -0.646 0.171  -0.709 0.083  -0.773 -0.006  -0.836 -0.095  -0.877 -0.194  -0.903 -0.300  -0.930 -0.406  -0.916 -0.507  -0.864 -0.602  -0.811 -0.698  -0.744 -0.779  -0.649 -0.834  -0.555 -0.889  -0.461 -0.944  -0.354 -0.960  -0.246 -0.972  -0.137 -0.984  -0.029 -0.996  0.080 -1.004  0.189 -1.004  0.298 -1.004  0.407 -1.004  0.515 -0.996  0.622 -0.971  0.728 -0.947  0.834 -0.922
2#apb#apb10#app1038/l  -0.230 0.370  -0.187 0.377  -0.095 0.410  -0.011 0.461  0.071 0.515  0.154 0.568  0.235 0.624  0.312 0.685  0.388 0.749  0.462 0.813  0.536 0.879  0.602 0.950  0.654 1.034  0.696 1.123  0.717 1.212  0.722 1.137  0.682 1.046  0.640 0.957  0.598 0.868  0.549 0.783  0.497 0.699  0.445 0.616  0.392 0.532  0.341 0.448  0.291 0.363  0.241 0.278  0.191 0.193  0.140 0.109  0.088 0.025  0.034 -0.057  -0.020 -0.140  -0.074 -0.222  -0.129 -0.304  -0.183 -0.387  -0.235 -0.470  -0.286 -0.554  -0.338 -0.638  -0.389 -0.722  -0.441 -0.807  -0.492 -0.891  -0.543 -0.975  -0.593 -1.060  -0.643 -1.145  -0.693 -1.230  -0.741 -1.316  -0.784 -1.405  -0.826 -1.494  -0.869 -1.582  -0.915 -1.670  -0.962 -1.756
2#apb#apb10#app1038/e  -0.499 -0.547  -0.457 -0.422  -0.399 -0.312  -0.286 -0.247  -0.172 -0.182  -0.073 -0.096  0.026 -0.010  0.124 0.076  0.239 0.139  0.354 0.202  0.469 0.265  0.573 0.342  0.666 0.434  0.759 0.527  0.846 0.624  0.931 0.724  1.009 0.827  1.027 0.956  1.036 1.085  0.956 1.179  0.825 1.179  0.698 1.168  0.595 1.087  0.491 1.007  0.388 0.926  0.291 0.838  0.195 0.748  0.099 0.659  0.003 0.570  -0.092 0.481  -0.174 0.380  -0.245 0.270  -0.316 0.160  -0.387 0.050  -0.458 -0.060  -0.530 -0.170  -0.578 -0.292  -0.624 -0.415  -0.670 -0.537  -0.716 -0.660  -0.756 -0.784  -0.756 -0.915  -0.756 -1.046  -0.754 -1.176  -0.700 -1.296  -0.647 -1.415  -0.574 -1.514  -0.451 -1.559  -0.328 -1.604  -0.205 -1.648
2#apb#apb10#app1038/a  1.168 -0.100  1.135 0.028  1.085 0.153  1.042 0.281  0.999 0.408  0.965 0.538  0.919 0.664  0.859 0.784  0.784 0.896  0.710 1.008  0.597 1.048  0.462 1.048  0.328 1.047  0.210 0.983  0.092 0.918  -0.026 0.854  -0.144 0.789  -0.252 0.709  -0.358 0.626  -0.464 0.543  -0.570 0.461  -0.676 0.378  -0.782 0.296  -0.889 0.213  -0.975 0.115  -1.036 -0.006  -1.096 -0.126  -1.156 -0.246  -1.187 -0.376  -1.210 -0.508  -1.143 -0.613  -1.048 -0.708  -0.918 -0.717  -0.783 -0.717  -0.649 -0.717  -0.517 -0.697  -0.386 -0.665  -0.256 -0.632  -0.125 -0.599  0.004 -0.561  0.131 -0.519  0.259 -0.476  0.388 -0.438  0.517 -0.414  0.610 -0.498  0.652 -0.626  0.683 -0.755  0.683 -0.890  0.683 -1.024  0.683 -1.159
2#apb#apb10#app1038/n  -0.252 0.750  -0.336 0.624  -0.440 0.513  -0.556 0.414  -0.632 0.284  -0.701 0.148  -0.773 0.014  -0.846 -0.120  -0.920 -0.253  -1.001 -0.383  -1.074 -0.516  -1.136 -0.655  -1.191 -0.797  -1.239 -0.942  -1.205 -0.905  -1.129 -0.774  -1.052 -0.642  -0.975 -0.510  -0.898 -0.378  -0.821 -0.247  -0.744 -0.115  -0.668 0.017  -0.618 0.042  -0.465 0.042  -0.313 0.049  -0.161 0.060  -0.009 0.070  0.134 0.119  0.276 0.176  0.418 0.233  0.558 0.293  0.697 0.354  0.837 0.415  0.966 0.492  1.074 0.600  1.182 0.708  1.316 0.750  1.372 0.806  1.346 0.657  1.290 0.518  1.188 0.405  1.086 0.292  1.014 0.160  0.961 0.017  0.907 -0.126  0.845 -0.264  0.763 -0.393  0.681 -0.521  0.638 -0.666  0.604 -0.815
2#apb#apb10#app1038/e  -0.598 -0.076  -0.469 -0.118  -0.330 -0.101  -0.191 -0.083  -0.067 -0.028  0.048 0.052  0.163 0.132  0.277 0.213  0.383 0.304  0.482 0.403  0.581 0.502  0.694 0.584  0.810 0.662  0.906 0.758  0.969 0.883  1.002 1.001  0.885 1.078  0.773 1.162  0.652 1.212  0.514 1.189  0.376 1.164  0.239 1.137  0.144 1.050  0.075 0.928  0.005 0.807  -0.088 0.702  -0.181 0.598  -0.275 0.494  -0.369 0.390  -0.441 0.272  -0.495 0.143  -0.549 0.014  -0.603 -0.116  -0.654 -0.246  -0.694 -0.380  -0.734 -0.514  -0.775 -0.648  -0.783 -0.787  -0.783 -0.927  -0.729 -1.038  -0.612 -1.116  -0.494 -1.190  -0.361 -1.235  -0.228 -1.279  -0.095 -1.323  0.044 -1.325  0.184 -1.325  0.324 -1.325  0.464 -1.325  0.605 -1.325
2#apb#apb10#app1038/r  -0.386 0.668  -0.415 0.562  -0.399 0.451  -0.399 0.337  -0.425 0.221  -0.451 0.106  -0.475 -0.009  -0.498 -0.125  -0.521 -0.241  -0.546 -0.356  -0.579 -0.469  -0.611 -0.583  -0.631 -0.699  -0.647 -0.816  -0.670 -0.932  -0.698 -1.046  -0.721 -1.162  -0.727 -1.240  -0.694 -1.127  -0.660 -1.014  -0.627 -0.901  -0.594 -0.788  -0.561 -0.674  -0.527 -0.561  -0.494 -0.448  -0.461 -0.335  -0.427 -0.221  -0.394 -0.108  -0.361 0.005  -0.325 0.117  -0.243 0.167  -0.129 0.190  -0.018 0.231  0.093 0.271  0.204 0.311  0.309 0.364  0.413 0.420  0.516 0.477  0.620 0.533  0.728 0.582  0.837 0.625  0.947 0.669  1.057 0.711  1.171 0.740  1.286 0.768  1.400 0.797  1.515 0.826  1.627 0.864  1.739 0.901  1.851 0.938
2#apb#apb10#app1038/s  0.715 1.246  0.600 1.229  0.491 1.182  0.382 1.136  0.264 1.132  0.146 1.132  0.030 1.117  -0.081 1.076  -0.192 1.034  -0.300 0.986  -0.406 0.933  -0.512 0.880  -0.615 0.854  -0.615 0.736  -0.596 0.631  -0.483 0.595  -0.370 0.561  -0.256 0.527  -0.143 0.492  -0.046 0.427  0.048 0.354  0.141 0.282  0.235 0.209  0.330 0.138  0.424 0.067  0.519 -0.004  0.609 -0.081  0.699 -0.158  0.789 -0.235  0.834 -0.344  0.847 -0.449  0.770 -0.539  0.692 -0.629  0.606 -0.707  0.499 -0.756  0.391 -0.806  0.284 -0.856  0.176 -0.905  0.063 -0.940  -0.051 -0.969  -0.166 -0.997  -0.281 -1.026  -0.396 -1.055  -0.512 -1.072  -0.631 -1.072  -0.749 -1.072  -0.868 -1.072  -0.986 -1.072  -1.105 -1.072  -1.223 -1.072
2#apb#apb10#app1038/o  0.121 0.525  0.061 0.649  0.017 0.780  -0.086 0.863  -0.214 0.873  -0.348 0.842  -0.483 0.811  -0.600 0.740  -0.715 0.663  -0.830 0.586  -0.938 0.503  -1.023 0.394  -1.107 0.284  -1.191 0.175  -1.244 0.048  -1.291 -0.081  -1.292 -0.210  -1.241 -0.339  -1.171 -0.449  -1.047 -0.511  -0.924 -0.573  -0.800 -0.631  -0.662 -0.647  -0.525 -0.662  -0.388 -0.677  -0.251 -0.679  -0.115 -0.657  0.022 -0.636  0.158 -0.614  0.294 -0.591  0.430 -0.566  0.566 -0.542  0.701 -0.517  0.837 -0.492  0.968 -0.449  1.098 -0.402  1.228 -0.356  1.318 -0.255  1.401 -0.145  1.394 -0.015  1.364 0.120  1.248 0.187  1.124 0.249  1.001 0.311  0.867 0.334  0.729 0.342  0.591 0.350  0.454 0.356  0.316 0.356  0.178 0.356
