2#apa#apa13#app1334/!  0.044 1.736  0.044 1.662  0.044 1.588  0.044 1.514  0.044 1.441  0.044 1.367  0.044 1.293  0.044 1.219  0.044 1.145  0.044 1.071  0.044 0.997  0.044 0.923  0.044 0.849  0.044 0.775  0.044 0.701  0.044 0.628  0.044 0.554  0.044 0.480  0.044 0.406  0.044 0.332  0.024 0.266  -0.028 0.214  -0.067 0.156  -0.067 0.083  -0.067 0.009  -0.067 -0.065  -0.067 -0.139  -0.067 -0.213  -0.053 -0.272  0.021 -0.272  0.039 -0.323  0.033 -0.397  0.026 -0.470  0.019 -0.544  0.013 -0.617  0.006 -0.691  -0.001 -0.765  -0.007 -0.838  -0.014 -0.912  -0.021 -0.985  -0.027 -1.059  -0.034 -1.133  -0.041 -1.206  -0.048 -1.280  -0.054 -1.354  -0.061 -1.427  -0.067 -1.501  -0.067 -1.575  -0.067 -1.649  -0.067 -1.722
2#apa#apa13#app1334/~  -0.928 -0.333  -0.928 -0.444  -0.967 -0.517  -1.079 -0.517  -1.035 -0.517  -0.928 -0.512  -0.928 -0.401  -0.928 -0.289  -0.928 -0.178  -0.928 -0.066  -0.928 0.046  -0.928 0.157  -0.928 0.269  -0.928 0.380  -0.867 0.466  -0.788 0.545  -0.744 0.639  -0.744 0.750  -0.656 0.773  -0.544 0.773  -0.432 0.773  -0.321 0.773  -0.209 0.773  -0.098 0.773  0.008 0.759  0.087 0.680  0.166 0.601  0.178 0.494  0.178 0.383  0.178 0.271  0.220 0.177  0.299 0.098  0.362 0.013  0.362 -0.099  0.406 -0.192  0.485 -0.271  0.546 -0.357  0.546 -0.469  0.609 -0.517  0.721 -0.517  0.832 -0.517  0.944 -0.517  1.056 -0.517  1.167 -0.517  1.279 -0.517  1.390 -0.517  1.502 -0.517  1.613 -0.517  1.725 -0.517  1.837 -0.517
2#apa#apa13#app1334/  -1.661 -0.295  -1.589 -0.295  -1.517 -0.295  -1.445 -0.295  -1.373 -0.295  -1.301 -0.295  -1.229 -0.295  -1.157 -0.295  -1.085 -0.295  -1.013 -0.295  -0.941 -0.295  -0.890 -0.246  -0.839 -0.195  -0.788 -0.145  -0.737 -0.094  -0.681 -0.055  -0.609 -0.055  -0.538 -0.055  -0.466 -0.055  -0.394 -0.055  -0.322 -0.055  -0.250 -0.055  -0.182 -0.037  -0.118 -0.005  -0.053 0.027  0.011 0.059  0.075 0.091  0.140 0.124  0.204 0.156  0.269 0.186  0.341 0.186  0.413 0.186  0.485 0.186  0.556 0.186  0.628 0.186  0.700 0.186  0.772 0.186  0.844 0.186  0.916 0.186  0.988 0.186  1.060 0.186  1.132 0.186  1.204 0.186  1.276 0.186  1.348 0.186  1.420 0.186  1.492 0.186  1.563 0.186  1.635 0.186  1.707 0.186
2#apa#apa13#app1334/_  -1.549 0.256  -1.549 0.185  -1.549 0.114  -1.485 0.107  -1.414 0.107  -1.343 0.107  -1.272 0.107  -1.201 0.107  -1.130 0.107  -1.059 0.107  -0.988 0.107  -0.928 0.080  -0.878 0.030  -0.828 -0.020  -0.765 -0.042  -0.694 -0.042  -0.623 -0.042  -0.552 -0.042  -0.481 -0.042  -0.410 -0.042  -0.339 -0.042  -0.268 -0.042  -0.197 -0.042  -0.126 -0.042  -0.055 -0.042  0.016 -0.042  0.087 -0.042  0.158 -0.042  0.229 -0.042  0.299 -0.042  0.370 -0.042  0.441 -0.042  0.512 -0.042  0.583 -0.042  0.654 -0.042  0.725 -0.042  0.796 -0.042  0.867 -0.042  0.938 -0.042  1.009 -0.042  1.080 -0.042  1.151 -0.042  1.222 -0.042  1.293 -0.042  1.364 -0.042  1.435 -0.042  1.506 -0.042  1.577 -0.042  1.648 -0.042  1.719 -0.042
2#apa#apa13#app1334/+  0.117 1.947  0.117 1.782  0.117 1.616  0.117 1.450  0.117 1.284  0.117 1.118  0.117 0.952  0.117 0.787  0.117 0.621  0.117 0.455  0.117 0.289  0.011 0.167  -0.106 0.050  -0.122 -0.109  -0.122 -0.275  -0.122 -0.441  -0.122 -0.607  -0.122 -0.773  -0.122 -0.939  -0.122 -1.104  -0.122 -1.270  -0.122 -1.436  -0.122 -1.602  -0.167 -1.524  -0.225 -1.369  -0.283 -1.214  -0.341 -1.059  -0.400 -0.903  -0.458 -0.748  -0.516 -0.593  -0.574 -0.437  -0.632 -0.282  -0.691 -0.127  -0.749 0.028  -0.807 0.184  -0.769 0.272  -0.603 0.272  -0.437 0.272  -0.272 0.272  -0.106 0.272  0.060 0.272  0.226 0.272  0.392 0.272  0.558 0.272  0.723 0.272  0.889 0.272  1.055 0.272  1.221 0.272  1.387 0.272  1.553 0.272
2#apa#apa13#app1334/=  -0.953 0.881  -0.803 0.881  -0.653 0.881  -0.503 0.881  -0.497 1.025  -0.355 1.033  -0.206 1.033  -0.056 1.033  0.094 1.033  0.111 0.900  0.242 0.881  0.392 0.881  0.541 0.881  0.655 0.793  0.778 0.729  0.928 0.729  1.062 0.690  1.168 0.584  1.054 0.505  0.926 0.428  0.797 0.351  0.669 0.274  0.540 0.197  0.412 0.120  0.283 0.043  0.155 -0.034  0.027 -0.112  -0.102 -0.189  -0.230 -0.266  -0.359 -0.343  -0.487 -0.420  -0.616 -0.497  -0.744 -0.574  -0.873 -0.651  -1.001 -0.728  -1.075 -0.790  -0.953 -0.817  -0.927 -0.942  -0.777 -0.942  -0.628 -0.942  -0.478 -0.942  -0.328 -0.942  -0.178 -0.942  -0.028 -0.942  0.121 -0.942  0.271 -0.942  0.421 -0.942  0.571 -0.942  0.721 -0.942  0.871 -0.942
2#apa#apa13#app1334/[  1.061 0.920  0.948 0.920  0.835 0.920  0.723 0.920  0.610 0.920  0.512 0.955  0.427 1.022  0.315 1.022  0.202 1.022  0.089 1.022  -0.023 1.022  -0.136 1.022  -0.249 1.022  -0.336 0.961  -0.431 0.920  -0.544 0.920  -0.510 0.920  -0.481 0.836  -0.387 0.817  -0.378 0.714  -0.371 0.604  -0.291 0.524  -0.275 0.418  -0.275 0.306  -0.270 0.195  -0.190 0.116  -0.172 0.010  -0.172 -0.102  -0.174 -0.214  -0.225 -0.315  -0.275 -0.416  -0.275 -0.529  -0.275 -0.641  -0.275 -0.754  -0.303 -0.855  -0.378 -0.937  -0.378 -1.049  -0.378 -1.162  -0.341 -1.238  -0.242 -1.206  -0.159 -1.136  -0.046 -1.136  0.067 -1.136  0.179 -1.136  0.292 -1.136  0.405 -1.136  0.517 -1.136  0.630 -1.136  0.650 -1.228  0.752 -1.238
2#apa#apa13#app1334/]  -0.961 0.995  -0.843 0.995  -0.725 0.995  -0.608 0.995  -0.490 0.995  -0.372 0.995  -0.254 0.995  -0.136 0.995  -0.019 0.995  0.099 0.995  0.217 0.995  0.335 0.995  0.452 0.995  0.570 0.995  0.688 0.995  0.711 0.900  0.707 0.786  0.606 0.769  0.575 0.682  0.502 0.638  0.461 0.537  0.397 0.446  0.397 0.328  0.359 0.226  0.293 0.136  0.293 0.018  0.293 -0.100  0.293 -0.218  0.293 -0.335  0.293 -0.453  0.293 -0.571  0.293 -0.689  0.293 -0.807  0.293 -0.924  0.293 -1.042  0.227 -1.094  0.109 -1.094  -0.009 -1.094  -0.022 -0.990  -0.125 -0.975  -0.153 -0.885  -0.271 -0.885  -0.389 -0.885  -0.487 -0.933  -0.581 -0.990  -0.699 -0.990  -0.752 -1.054  -0.830 -1.094  -0.947 -1.094  -0.961 -1.198
2#apa#apa13#app1334/{  1.349 1.287  1.214 1.392  1.140 1.287  0.962 1.287  0.784 1.287  0.640 1.205  0.471 1.183  0.327 1.100  0.158 1.078  0.084 0.974  -0.094 0.974  -0.256 0.903  -0.395 0.796  -0.448 0.640  -0.531 0.496  -0.531 0.318  -0.427 0.243  -0.292 0.139  -0.218 0.035  -0.040 0.034  0.138 0.034  0.316 0.034  0.409 0.119  0.250 0.139  0.072 0.139  -0.106 0.139  -0.265 0.091  -0.419 0.034  -0.554 -0.070  -0.635 -0.167  -0.569 -0.279  -0.390 -0.279  -0.212 -0.279  -0.034 -0.279  0.040 -0.174  0.182 -0.261  0.091 -0.383  -0.064 -0.439  -0.190 -0.565  -0.280 -0.717  -0.406 -0.801  -0.426 -0.959  -0.426 -1.137  -0.426 -1.315  -0.360 -1.427  -0.218 -1.463  -0.109 -1.533  0.060 -1.590  0.231 -1.636  0.409 -1.636
2#apa#apa13#app1334/}  -0.632 1.367  -0.522 1.266  -0.370 1.266  -0.218 1.266  -0.066 1.266  0.086 1.266  0.220 1.224  0.347 1.164  0.483 1.148  0.483 0.996  0.400 0.879  0.258 0.849  0.122 0.781  -0.024 0.759  -0.134 0.658  -0.286 0.658  -0.337 0.556  -0.488 0.556  -0.608 0.479  -0.614 0.354  -0.530 0.286  -0.412 0.253  -0.260 0.253  -0.108 0.253  0.044 0.253  0.161 0.169  0.305 0.151  0.382 0.076  0.364 -0.069  0.247 -0.153  0.119 -0.212  0.012 -0.319  -0.125 -0.355  -0.125 -0.507  -0.054 -0.629  0.086 -0.659  0.179 -0.718  0.256 -0.838  0.382 -0.878  0.429 -1.011  0.483 -1.140  0.458 -1.267  0.382 -1.342  0.256 -1.368  0.179 -1.444  0.053 -1.470  -0.099 -1.470  -0.248 -1.480  -0.384 -1.548  -0.530 -1.571
2#apa#apa13#app1334/\\  -0.527 1.418  -0.527 1.341  -0.535 1.270  -0.612 1.270  -0.675 1.255  -0.675 1.178  -0.675 1.100  -0.675 1.022  -0.675 0.944  -0.675 0.866  -0.638 0.826  -0.561 0.826  -0.527 0.781  -0.527 0.703  -0.491 0.641  -0.436 0.586  -0.381 0.531  -0.326 0.476  -0.271 0.421  -0.231 0.359  -0.231 0.282  -0.210 0.212  -0.155 0.157  -0.100 0.102  -0.045 0.047  0.010 -0.008  0.065 -0.063  0.065 -0.140  0.070 -0.216  0.125 -0.271  0.180 -0.326  0.213 -0.390  0.213 -0.468  0.240 -0.534  0.295 -0.589  0.350 -0.644  0.405 -0.699  0.460 -0.754  0.510 -0.812  0.510 -0.889  0.520 -0.963  0.575 -1.018  0.630 -1.073  0.685 -1.128  0.740 -1.183  0.795 -1.238  0.869 -1.248  0.947 -1.248  0.954 -1.319  0.954 -1.396
2#apa#apa13#app1334/,  -0.272 1.404  -0.199 1.404  -0.126 1.404  -0.053 1.404  0.020 1.404  0.093 1.404  0.115 1.354  0.115 1.281  0.115 1.208  0.115 1.135  0.115 1.062  0.115 0.989  0.115 0.916  0.115 0.843  0.115 0.770  0.115 0.697  0.115 0.624  0.115 0.551  0.115 0.478  0.115 0.405  0.115 0.332  0.115 0.259  0.115 0.186  0.115 0.113  0.115 0.040  0.115 -0.033  0.115 -0.106  0.115 -0.179  0.115 -0.252  0.115 -0.325  0.115 -0.398  0.115 -0.471  0.110 -0.543  0.077 -0.608  0.045 -0.674  0.012 -0.739  -0.021 -0.804  -0.053 -0.870  -0.086 -0.935  -0.119 -1.000  -0.151 -1.065  -0.184 -1.131  -0.216 -1.196  -0.249 -1.261  -0.272 -1.329  -0.272 -1.402  -0.272 -1.475  -0.272 -1.548  -0.272 -1.621  -0.272 -1.694
2#apa#apa13#app1334/  1.151 1.122  1.151 1.050  1.136 0.992  1.064 0.992  1.021 0.963  1.021 0.891  0.977 0.862  0.905 0.862  0.849 0.821  0.798 0.770  0.747 0.719  0.696 0.667  0.645 0.616  0.594 0.565  0.542 0.514  0.491 0.463  0.440 0.412  0.389 0.360  0.338 0.309  0.287 0.258  0.234 0.209  0.169 0.176  0.105 0.144  0.040 0.112  -0.022 0.077  -0.054 0.012  -0.087 -0.053  -0.119 -0.117  -0.153 -0.181  -0.204 -0.232  -0.255 -0.284  -0.313 -0.325  -0.378 -0.357  -0.443 -0.390  -0.507 -0.422  -0.565 -0.464  -0.616 -0.515  -0.668 -0.566  -0.719 -0.617  -0.770 -0.669  -0.821 -0.720  -0.872 -0.771  -0.923 -0.822  -0.930 -0.892  -0.934 -0.962  -0.985 -1.014  -1.036 -1.065  -1.087 -1.116  -1.139 -1.167  -1.190 -1.218
2#apa#apa13#app1334/?  -0.535 0.886  -0.422 0.891  -0.340 0.973  -0.233 0.995  -0.117 0.995  -0.030 1.065  0.070 1.104  0.186 1.104  0.302 1.104  0.418 1.104  0.534 1.104  0.621 1.036  0.703 0.954  0.771 0.866  0.771 0.750  0.746 0.644  0.664 0.562  0.659 0.448  0.577 0.367  0.472 0.342  0.444 0.254  0.349 0.233  0.233 0.233  0.226 0.124  0.110 0.124  -0.006 0.124  -0.122 0.124  -0.238 0.124  -0.318 0.161  -0.318 0.190  -0.318 0.074  -0.318 -0.042  -0.318 -0.158  -0.318 -0.274  -0.318 -0.389  -0.318 -0.505  -0.318 -0.621  -0.318 -0.737  -0.424 -0.746  -0.427 -0.860  -0.423 -0.976  -0.391 -1.087  -0.360 -1.198  -0.328 -1.310  -0.296 -1.421  -0.264 -1.533  -0.232 -1.644  -0.209 -1.757  -0.182 -1.862  -0.100 -1.944
2#apa#apa13#app1334/'  -0.163 1.787  -0.163 1.708  -0.163 1.629  -0.163 1.551  -0.163 1.472  -0.163 1.393  -0.163 1.314  -0.163 1.236  -0.163 1.157  -0.163 1.078  -0.163 0.999  -0.163 0.921  -0.163 0.842  -0.163 0.763  -0.163 0.684  -0.163 0.606  -0.163 0.527  -0.163 0.448  -0.163 0.369  -0.163 0.291  -0.163 0.212  -0.163 0.133  -0.163 0.054  -0.163 -0.025  -0.163 -0.103  -0.163 -0.182  -0.163 -0.261  -0.163 -0.340  -0.163 -0.418  -0.163 -0.497  -0.163 -0.576  -0.163 -0.655  -0.102 -0.673  -0.023 -0.673  0.055 -0.673  0.134 -0.673  0.213 -0.673  0.247 -0.717  0.247 -0.796  0.247 -0.875  0.247 -0.953  0.247 -1.032  0.267 -1.103  0.323 -1.158  0.379 -1.214  0.434 -1.270  0.490 -1.325  0.546 -1.381  0.601 -1.437  0.657 -1.493
2#apa#apa13#app1334/\"  -1.706 0.713  -1.507 0.713  -1.327 0.669  -1.187 0.529  -1.047 0.389  -1.036 0.195  -1.003 0.010  -0.863 -0.130  -0.722 -0.270  -0.533 -0.291  -0.366 -0.324  -0.366 -0.522  -0.300 -0.693  -0.160 -0.833  -0.014 -0.961  0.184 -0.961  0.303 -1.040  0.303 -1.239  0.444 -1.296  0.636 -1.292  0.567 -1.106  0.497 -0.920  0.427 -0.735  0.358 -0.549  0.288 -0.363  0.219 -0.177  0.149 0.008  0.079 0.194  0.010 0.380  -0.060 0.566  -0.130 0.751  -0.199 0.937  -0.269 1.123  -0.339 1.309  -0.282 1.298  -0.142 1.158  -0.002 1.018  0.139 0.878  0.279 0.737  0.303 0.549  0.331 0.378  0.529 0.378  0.638 0.289  0.638 0.090  0.789 0.043  0.973 0.028  0.973 -0.170  1.027 -0.346  1.167 -0.486  1.308 -0.626
2#apa#apa13#app1334/<  1.113 1.052  1.221 1.052  1.194 1.052  1.085 1.052  0.977 1.052  0.896 0.984  0.819 0.907  0.713 0.903  0.604 0.903  0.495 0.903  0.387 0.903  0.305 0.839  0.228 0.762  0.123 0.754  0.031 0.714  -0.046 0.637  -0.078 0.542  -0.101 0.456  -0.209 0.456  -0.291 0.392  -0.368 0.315  -0.473 0.308  -0.525 0.250  -0.541 0.159  -0.650 0.159  -0.673 0.074  -0.718 0.010  -0.822 0.005  -0.822 -0.103  -0.822 -0.212  -0.822 -0.320  -0.822 -0.429  -0.722 -0.437  -0.673 -0.497  -0.659 -0.600  -0.583 -0.676  -0.498 -0.734  -0.389 -0.734  -0.309 -0.801  -0.232 -0.878  -0.126 -0.883  -0.035 -0.926  0.042 -1.003  0.119 -1.080  0.195 -1.157  0.294 -1.181  0.402 -1.181  0.511 -1.181  0.590 -1.253  0.666 -1.330
2#apa#apa13#app1334/|  0.131 1.653  0.081 1.603  0.031 1.554  -0.019 1.504  -0.027 1.437  -0.027 1.367  -0.027 1.296  -0.027 1.226  -0.027 1.156  -0.027 1.085  -0.027 1.015  -0.027 0.944  -0.027 0.874  -0.027 0.804  -0.027 0.733  -0.027 0.663  -0.027 0.592  -0.027 0.522  -0.027 0.452  -0.027 0.381  -0.027 0.311  -0.027 0.241  -0.027 0.170  -0.027 0.100  -0.027 0.029  -0.027 -0.041  -0.027 -0.111  -0.027 -0.182  -0.027 -0.252  -0.027 -0.323  -0.027 -0.393  -0.027 -0.463  -0.027 -0.534  -0.027 -0.604  -0.027 -0.675  -0.027 -0.745  -0.027 -0.815  -0.027 -0.886  -0.027 -0.956  -0.027 -1.026  -0.027 -1.097  -0.027 -1.167  0.006 -1.224  0.055 -1.274  0.105 -1.323  0.131 -1.383  0.131 -1.454  0.131 -1.524  0.131 -1.595  0.131 -1.665
2#apa#apa13#app1334/>  -0.853 1.440  -0.748 1.440  -0.699 1.385  -0.692 1.285  -0.587 1.285  -0.500 1.242  -0.426 1.167  -0.336 1.131  -0.234 1.127  -0.234 1.022  -0.192 0.934  -0.118 0.860  -0.080 0.770  -0.078 0.667  0.027 0.667  0.075 0.609  0.083 0.512  0.188 0.512  0.275 0.467  0.349 0.393  0.385 0.302  0.385 0.197  0.385 0.092  0.446 0.048  0.539 0.036  0.539 -0.069  0.539 -0.174  0.557 -0.262  0.662 -0.262  0.694 -0.335  0.694 -0.440  0.694 -0.546  0.615 -0.571  0.518 -0.593  0.444 -0.667  0.363 -0.726  0.258 -0.726  0.175 -0.781  0.101 -0.855  0.006 -0.881  -0.093 -0.894  -0.168 -0.969  -0.245 -1.036  -0.350 -1.036  -0.436 -1.083  -0.510 -1.157  -0.544 -1.248  -0.550 -1.351  -0.624 -1.425  -0.699 -1.500
