2#apa#apa13#app1371/P  0.133 0.455  0.029 0.517  -0.033 0.347  -0.033 0.150  -0.033 -0.046  -0.033 -0.242  -0.005 -0.432  0.050 -0.615  0.050 -0.812  0.050 -1.008  0.050 -1.204  0.050 -1.401  0.050 -1.597  0.112 -1.656  0.035 -1.476  -0.043 -1.295  -0.120 -1.115  -0.197 -0.934  -0.275 -0.754  -0.352 -0.573  -0.429 -0.393  -0.507 -0.212  -0.584 -0.032  -0.661 0.148  -0.739 0.329  -0.816 0.509  -0.864 0.696  -0.947 0.809  -0.864 0.971  -0.772 1.129  -0.607 1.203  -0.445 1.286  -0.248 1.286  -0.052 1.286  0.134 1.244  0.316 1.170  0.493 1.093  0.646 0.972  0.808 0.861  0.946 0.723  0.964 0.534  0.964 0.337  0.964 0.141  0.854 -0.015  0.748 -0.177  0.590 -0.293  0.424 -0.397  0.242 -0.459  0.071 -0.521  -0.116 -0.542
2#apa#apa13#app1371/l  -0.275 1.648  -0.225 1.598  -0.175 1.548  -0.156 1.485  -0.156 1.414  -0.156 1.344  -0.156 1.273  -0.156 1.202  -0.138 1.136  -0.106 1.072  -0.075 1.009  -0.043 0.946  -0.037 0.876  -0.037 0.806  -0.037 0.735  -0.037 0.664  -0.037 0.593  -0.037 0.523  -0.037 0.452  -0.037 0.381  -0.037 0.310  -0.037 0.240  -0.037 0.169  -0.037 0.098  -0.037 0.027  -0.037 -0.043  -0.037 -0.114  -0.037 -0.185  -0.037 -0.256  -0.006 -0.319  0.026 -0.382  0.058 -0.446  0.082 -0.511  0.082 -0.581  0.082 -0.652  0.082 -0.723  0.082 -0.794  0.082 -0.864  0.082 -0.935  0.082 -1.006  0.082 -1.077  0.108 -1.141  0.139 -1.205  0.171 -1.268  0.201 -1.332  0.201 -1.402  0.201 -1.473  0.201 -1.544  0.201 -1.615  0.201 -1.685
2#apa#apa13#app1371/a  0.499 0.481  0.683 0.532  0.765 0.704  0.632 0.776  0.632 0.981  0.499 1.053  0.387 1.146  0.181 1.146  -0.024 1.146  -0.229 1.146  -0.434 1.144  -0.579 0.999  -0.724 0.854  -0.869 0.709  -0.996 0.550  -1.088 0.367  -1.179 0.183  -1.230 -0.010  -1.230 -0.215  -1.157 -0.390  -0.989 -0.504  -0.802 -0.583  -0.597 -0.583  -0.392 -0.583  -0.186 -0.583  0.013 -0.560  0.197 -0.468  0.389 -0.427  0.499 -0.268  0.585 -0.098  0.632 0.088  0.632 0.293  0.499 0.365  0.410 0.481  0.204 0.481  0.029 0.410  -0.116 0.265  -0.166 0.080  -0.166 -0.125  -0.166 -0.331  -0.127 -0.527  -0.036 -0.710  0.014 -0.896  0.175 -1.019  0.358 -1.111  0.544 -1.160  0.713 -1.248  0.916 -1.257  1.099 -1.348  1.297 -1.381
2#apa#apa13#app1371/s  0.946 0.652  0.946 0.800  0.888 0.923  0.762 0.972  0.615 0.972  0.467 0.972  0.320 0.972  0.173 0.972  0.026 0.972  -0.109 0.923  -0.243 0.865  -0.390 0.865  -0.537 0.865  -0.674 0.841  -0.787 0.759  -0.927 0.727  -1.058 0.661  -1.075 0.525  -1.013 0.440  -0.866 0.440  -0.761 0.338  -0.657 0.234  -0.527 0.166  -0.391 0.120  -0.244 0.120  -0.110 0.063  0.019 -0.006  0.141 -0.088  0.264 -0.169  0.392 -0.241  0.524 -0.305  0.658 -0.336  0.774 -0.411  0.921 -0.411  0.946 -0.534  0.946 -0.681  0.877 -0.799  0.746 -0.837  0.613 -0.897  0.481 -0.963  0.350 -1.029  0.208 -1.050  0.061 -1.050  -0.086 -1.050  -0.234 -1.050  -0.381 -1.050  -0.528 -1.050  -0.675 -1.050  -0.822 -1.050  -0.969 -1.050
2#apa#apa13#app1371/s  0.614 1.128  0.731 1.128  0.600 1.128  0.470 1.128  0.342 1.116  0.224 1.057  0.106 1.004  -0.025 1.004  -0.156 1.004  -0.287 1.004  -0.417 1.004  -0.535 0.972  -0.627 0.879  -0.569 0.762  -0.510 0.645  -0.388 0.631  -0.293 0.545  -0.200 0.452  -0.098 0.383  0.029 0.365  0.146 0.306  0.259 0.242  0.351 0.149  0.444 0.056  0.536 -0.036  0.635 -0.114  0.758 -0.133  0.850 -0.226  0.862 -0.352  0.862 -0.483  0.862 -0.614  0.852 -0.734  0.721 -0.734  0.590 -0.734  0.459 -0.734  0.328 -0.734  0.202 -0.754  0.085 -0.813  -0.035 -0.859  -0.166 -0.859  -0.297 -0.859  -0.428 -0.859  -0.559 -0.859  -0.690 -0.859  -0.821 -0.859  -0.951 -0.859  -1.058 -0.917  -1.162 -0.983  -1.280 -1.014  -1.372 -1.107
2#apa#apa13#app1371/p  0.151 0.288  0.151 0.114  0.151 -0.059  0.151 -0.233  0.151 -0.406  0.151 -0.579  0.115 -0.744  0.045 -0.901  0.045 -1.075  0.045 -1.248  0.045 -1.421  0.045 -1.595  0.035 -1.712  -0.019 -1.547  -0.074 -1.383  -0.129 -1.218  -0.184 -1.054  -0.239 -0.889  -0.294 -0.725  -0.348 -0.560  -0.403 -0.396  -0.458 -0.231  -0.513 -0.067  -0.568 0.098  -0.623 0.262  -0.678 0.427  -0.732 0.591  -0.787 0.756  -0.842 0.920  -0.897 1.085  -0.801 1.141  -0.628 1.141  -0.454 1.141  -0.281 1.141  -0.108 1.141  0.060 1.126  0.195 1.034  0.367 1.032  0.495 0.916  0.650 0.838  0.780 0.726  0.934 0.679  1.005 0.535  1.005 0.361  0.934 0.217  0.780 0.170  0.646 0.074  0.473 0.074  0.306 0.045  0.151 -0.032
2#apa#apa13#app1371/l  -0.072 1.708  -0.072 1.637  -0.072 1.567  -0.072 1.497  -0.072 1.426  -0.072 1.356  -0.072 1.285  -0.072 1.215  -0.072 1.144  -0.072 1.074  -0.072 1.004  -0.072 0.933  -0.072 0.863  -0.072 0.792  -0.072 0.722  -0.072 0.651  -0.072 0.581  -0.072 0.511  -0.072 0.440  -0.072 0.370  -0.072 0.299  -0.072 0.229  -0.072 0.158  -0.072 0.088  -0.072 0.018  -0.072 -0.053  -0.072 -0.123  -0.072 -0.194  -0.068 -0.263  -0.036 -0.326  -0.005 -0.389  0.027 -0.452  0.044 -0.519  0.044 -0.589  0.044 -0.659  0.044 -0.730  0.044 -0.800  0.044 -0.871  0.044 -0.941  0.072 -1.005  0.104 -1.068  0.135 -1.131  0.159 -1.196  0.159 -1.266  0.159 -1.336  0.159 -1.407  0.159 -1.477  0.175 -1.541  0.225 -1.591  0.275 -1.641
2#apa#apa13#app1371/a  -0.026 1.069  -0.179 1.069  -0.332 1.069  -0.485 1.069  -0.608 0.996  -0.716 0.888  -0.833 0.792  -0.970 0.724  -1.094 0.637  -1.172 0.516  -1.172 0.363  -1.172 0.210  -1.172 0.057  -1.172 -0.096  -1.172 -0.249  -1.172 -0.402  -1.088 -0.503  -0.951 -0.571  -0.802 -0.588  -0.649 -0.588  -0.496 -0.588  -0.343 -0.588  -0.190 -0.588  -0.036 -0.588  0.102 -0.524  0.240 -0.461  0.382 -0.435  0.490 -0.327  0.599 -0.219  0.612 -0.071  0.612 0.082  0.612 0.235  0.612 0.388  0.612 0.541  0.476 0.559  0.357 0.525  0.357 0.372  0.357 0.219  0.435 0.098  0.484 -0.035  0.593 -0.078  0.672 -0.199  0.741 -0.335  0.849 -0.444  0.958 -0.552  1.096 -0.588  1.249 -0.588  1.376 -0.673  1.504 -0.758  1.631 -0.843
2#apa#apa13#app1371/t  0.236 1.860  0.236 1.682  0.236 1.505  0.236 1.328  0.236 1.150  0.236 0.973  0.236 0.796  0.236 0.618  0.236 0.441  0.236 0.263  0.236 0.086  0.236 -0.091  0.236 -0.269  0.279 -0.439  0.335 -0.607  0.350 -0.782  0.350 -0.960  0.451 -1.095  0.464 -1.267  0.464 -1.444  0.521 -1.565  0.499 -1.475  0.381 -1.343  0.263 -1.210  0.145 -1.078  0.027 -0.945  -0.090 -0.812  -0.208 -0.680  -0.326 -0.547  -0.444 -0.415  -0.562 -0.282  -0.680 -0.150  -0.797 -0.017  -0.915 0.116  -1.033 0.248  -1.151 0.381  -1.220 0.476  -1.061 0.397  -0.889 0.376  -0.712 0.376  -0.534 0.376  -0.357 0.376  -0.179 0.376  -0.002 0.376  0.158 0.451  0.326 0.490  0.503 0.490  0.680 0.490  0.858 0.490  1.035 0.490
2#apa#apa13#app1371/e  -1.126 -0.317  -1.089 -0.464  -0.906 -0.464  -0.723 -0.464  -0.539 -0.464  -0.356 -0.464  -0.173 -0.464  0.010 -0.464  0.150 -0.358  0.316 -0.317  0.452 -0.202  0.581 -0.073  0.744 -0.025  0.776 0.127  0.806 0.298  0.922 0.433  0.922 0.616  0.829 0.707  0.776 0.836  0.658 0.971  0.486 0.999  0.313 1.023  0.180 1.145  -0.003 1.145  -0.186 1.145  -0.369 1.145  -0.506 1.034  -0.636 0.904  -0.765 0.775  -0.833 0.620  -0.957 0.560  -0.980 0.400  -0.980 0.217  -0.980 0.033  -0.980 -0.150  -0.865 -0.285  -0.736 -0.415  -0.573 -0.464  -0.434 -0.571  -0.273 -0.650  -0.100 -0.708  0.076 -0.756  0.259 -0.756  0.442 -0.756  0.625 -0.756  0.805 -0.771  0.969 -0.853  1.140 -0.902  1.324 -0.902  1.507 -0.902
2#apa#apa13#app1371/s  0.927 0.676  0.871 0.790  0.701 0.790  0.578 0.904  0.407 0.904  0.237 0.901  0.085 0.825  -0.077 0.790  -0.247 0.790  -0.413 0.761  -0.575 0.707  -0.740 0.676  -0.910 0.676  -1.060 0.626  -1.204 0.562  -1.143 0.466  -0.987 0.402  -0.826 0.348  -0.658 0.334  -0.494 0.304  -0.342 0.227  -0.174 0.220  -0.013 0.177  0.140 0.106  0.311 0.106  0.480 0.101  0.632 0.025  0.767 -0.076  0.907 -0.169  1.061 -0.236  1.209 -0.290  1.269 -0.436  1.269 -0.606  1.185 -0.692  1.056 -0.792  0.892 -0.806  0.721 -0.806  0.551 -0.806  0.380 -0.806  0.226 -0.741  0.067 -0.692  -0.104 -0.692  -0.274 -0.692  -0.444 -0.692  -0.615 -0.692  -0.785 -0.692  -0.956 -0.692  -1.126 -0.692  -1.296 -0.692  -1.467 -0.692
2#apa#apa13#app1371/w  -1.318 0.414  -1.318 0.550  -1.241 0.522  -1.241 0.386  -1.241 0.250  -1.241 0.113  -1.241 -0.023  -1.213 -0.148  -1.165 -0.264  -1.089 -0.369  -1.008 -0.424  -0.872 -0.424  -0.736 -0.424  -0.603 -0.410  -0.481 -0.349  -0.376 -0.272  -0.265 -0.211  -0.174 -0.112  -0.174 0.024  -0.174 0.160  -0.174 0.297  -0.270 0.338  -0.327 0.258  -0.327 0.122  -0.327 -0.014  -0.327 -0.151  -0.316 -0.283  -0.212 -0.368  -0.092 -0.431  0.016 -0.501  0.152 -0.501  0.288 -0.501  0.425 -0.501  0.561 -0.501  0.694 -0.486  0.816 -0.425  0.917 -0.336  1.039 -0.275  1.161 -0.214  1.265 -0.128  1.329 -0.008  1.350 0.123  1.350 0.259  1.350 0.396  1.274 0.500  1.242 0.629  1.181 0.751  1.120 0.873  1.044 0.986  0.969 1.100
2#apa#apa13#app1371/e  0.263 0.401  0.259 0.507  0.183 0.583  0.161 0.682  0.078 0.707  -0.004 0.769  -0.095 0.809  -0.203 0.809  -0.310 0.809  -0.418 0.809  -0.526 0.809  -0.633 0.809  -0.715 0.747  -0.806 0.707  -0.897 0.667  -0.979 0.605  -1.061 0.579  -1.061 0.471  -1.061 0.364  -1.061 0.256  -1.039 0.154  -0.991 0.057  -0.934 -0.032  -0.857 -0.108  -0.781 -0.184  -0.692 -0.242  -0.595 -0.290  -0.495 -0.326  -0.390 -0.352  -0.286 -0.378  -0.181 -0.405  -0.082 -0.445  0.014 -0.493  0.116 -0.516  0.224 -0.516  0.324 -0.546  0.421 -0.595  0.523 -0.617  0.631 -0.617  0.738 -0.617  0.846 -0.617  0.954 -0.617  1.061 -0.617  1.169 -0.617  1.277 -0.617  1.384 -0.617  1.480 -0.569  1.577 -0.521  1.683 -0.516  1.791 -0.516
2#apa#apa13#app1371/r  -0.490 0.408  -0.354 0.408  -0.343 0.283  -0.343 0.148  -0.343 0.012  -0.343 -0.124  -0.343 -0.260  -0.343 -0.395  -0.343 -0.531  -0.343 -0.667  -0.343 -0.803  -0.343 -0.939  -0.343 -1.074  -0.343 -1.210  -0.343 -1.346  -0.212 -1.350  -0.197 -1.471  -0.087 -1.497  -0.050 -1.398  -0.050 -1.262  -0.050 -1.126  -0.050 -0.990  -0.050 -0.854  -0.050 -0.719  -0.050 -0.583  -0.050 -0.447  -0.054 -0.312  -0.097 -0.183  -0.140 -0.054  -0.183 0.074  -0.197 0.208  -0.197 0.344  -0.197 0.480  -0.197 0.615  -0.197 0.751  -0.197 0.887  -0.197 1.023  -0.179 1.141  -0.044 1.141  0.092 1.141  0.228 1.141  0.364 1.141  0.500 1.141  0.625 1.097  0.746 1.036  0.872 0.995  1.008 0.995  1.144 0.995  1.280 0.995  1.415 0.995
2#apa#apa13#app1371/e  -0.368 -0.089  -0.333 0.011  -0.219 0.060  -0.124 0.156  -0.028 0.251  0.031 0.362  0.118 0.410  0.131 0.532  0.131 0.667  0.065 0.775  0.031 0.895  -0.091 0.909  -0.225 0.909  -0.351 0.868  -0.471 0.807  -0.566 0.711  -0.662 0.616  -0.757 0.520  -0.875 0.456  -0.999 0.410  -1.067 0.343  -1.068 0.209  -1.164 0.114  -1.167 -0.020  -1.167 -0.155  -1.095 -0.260  -0.972 -0.289  -0.875 -0.381  -0.757 -0.444  -0.632 -0.488  -0.497 -0.488  -0.362 -0.488  -0.227 -0.488  -0.092 -0.488  0.043 -0.488  0.177 -0.488  0.312 -0.488  0.447 -0.488  0.582 -0.488  0.717 -0.488  0.852 -0.488  0.987 -0.488  1.122 -0.488  1.250 -0.448  1.378 -0.405  1.511 -0.388  1.644 -0.380  1.764 -0.320  1.892 -0.289  2.027 -0.289
