3#apb#apb21#app2179/A  0.190 0.055  0.321 0.103  0.451 0.230  0.548 0.383  0.644 0.538  0.721 0.701  0.764 0.877  0.788 1.058  0.810 1.238  0.753 1.405  0.598 1.482  0.420 1.456  0.258 1.374  0.115 1.261  -0.018 1.137  -0.135 0.997  -0.250 0.856  -0.365 0.714  -0.466 0.563  -0.562 0.408  -0.657 0.252  -0.750 0.095  -0.843 -0.062  -0.918 -0.228  -0.993 -0.394  -1.042 -0.570  -1.083 -0.746  -1.021 -0.917  -0.942 -1.073  -0.771 -1.133  -0.591 -1.106  -0.418 -1.048  -0.264 -0.957  -0.132 -0.831  -0.013 -0.694  0.063 -0.528  0.140 -0.363  0.218 -0.198  0.300 -0.035  0.398 0.118  0.434 0.137  0.398 -0.042  0.364 -0.221  0.330 -0.400  0.301 -0.580  0.274 -0.760  0.270 -0.940  0.297 -1.120  0.446 -1.218  0.621 -1.272
3#apb#apb21#app2179/e  -1.362 -0.266  -1.325 -0.368  -1.198 -0.324  -1.083 -0.248  -0.979 -0.157  -0.865 -0.081  -0.742 -0.020  -0.619 0.043  -0.502 0.117  -0.386 0.191  -0.278 0.276  -0.174 0.368  -0.074 0.462  0.024 0.560  0.099 0.675  0.145 0.805  0.185 0.937  0.172 1.072  0.118 1.184  -0.015 1.162  -0.142 1.107  -0.233 1.003  -0.325 0.900  -0.383 0.777  -0.433 0.648  -0.476 0.517  -0.498 0.381  -0.519 0.244  -0.541 0.108  -0.507 -0.021  -0.448 -0.146  -0.390 -0.271  -0.318 -0.384  -0.202 -0.459  -0.086 -0.534  0.030 -0.609  0.154 -0.665  0.287 -0.702  0.421 -0.738  0.554 -0.774  0.688 -0.796  0.825 -0.781  0.963 -0.765  1.100 -0.750  1.237 -0.735  1.371 -0.707  1.496 -0.648  1.620 -0.588  1.745 -0.529  1.870 -0.470
3#apb#apb21#app2179/C  0.186 1.077  0.186 0.948  0.129 0.832  0.052 0.729  -0.023 0.624  -0.061 0.505  0.031 0.504  0.124 0.593  0.210 0.688  0.286 0.792  0.364 0.895  0.404 1.010  0.387 1.137  0.272 1.178  0.157 1.128  0.048 1.059  -0.051 0.977  -0.151 0.895  -0.242 0.805  -0.331 0.711  -0.420 0.618  -0.498 0.516  -0.563 0.405  -0.629 0.294  -0.694 0.182  -0.735 0.062  -0.766 -0.064  -0.796 -0.189  -0.826 -0.314  -0.802 -0.439  -0.769 -0.564  -0.736 -0.688  -0.676 -0.794  -0.570 -0.867  -0.463 -0.939  -0.356 -1.012  -0.229 -1.024  -0.100 -1.034  0.028 -1.043  0.157 -1.052  0.285 -1.051  0.412 -1.028  0.539 -1.004  0.665 -0.981  0.792 -0.957  0.916 -0.923  1.035 -0.873  1.154 -0.824  1.273 -0.774  1.392 -0.725
3#apb#apb21#app2179/l  -1.270 -0.953  -1.178 -0.953  -1.044 -0.873  -0.910 -0.793  -0.787 -0.696  -0.670 -0.593  -0.566 -0.476  -0.463 -0.358  -0.356 -0.244  -0.245 -0.134  -0.135 -0.023  -0.030 0.093  0.072 0.212  0.173 0.331  0.268 0.455  0.357 0.584  0.445 0.713  0.531 0.844  0.615 0.975  0.683 1.116  0.738 1.261  0.726 1.412  0.604 1.482  0.456 1.443  0.331 1.352  0.223 1.240  0.126 1.117  0.037 0.989  -0.036 0.851  -0.109 0.713  -0.166 0.567  -0.217 0.419  -0.268 0.272  -0.307 0.121  -0.332 -0.034  -0.357 -0.188  -0.363 -0.343  -0.344 -0.498  -0.325 -0.653  -0.272 -0.797  -0.190 -0.929  -0.089 -1.038  0.062 -1.078  0.213 -1.118  0.367 -1.096  0.521 -1.068  0.670 -1.028  0.804 -0.947  0.937 -0.866  1.071 -0.784
3#apb#apb21#app2179/e  -1.521 -1.014  -1.476 -1.112  -1.363 -1.006  -1.224 -0.937  -1.098 -0.847  -0.983 -0.743  -0.868 -0.638  -0.752 -0.534  -0.632 -0.434  -0.513 -0.335  -0.393 -0.235  -0.273 -0.136  -0.153 -0.037  -0.032 0.061  0.085 0.163  0.195 0.273  0.305 0.383  0.415 0.494  0.497 0.626  0.580 0.758  0.646 0.898  0.709 1.041  0.790 1.172  0.842 1.311  0.700 1.332  0.561 1.263  0.427 1.185  0.317 1.075  0.207 0.965  0.097 0.855  0.009 0.727  -0.077 0.597  -0.164 0.467  -0.250 0.338  -0.294 0.190  -0.326 0.038  -0.359 -0.114  -0.340 -0.260  -0.271 -0.399  -0.201 -0.538  -0.059 -0.594  0.089 -0.643  0.236 -0.692  0.384 -0.741  0.536 -0.752  0.690 -0.733  0.844 -0.713  0.999 -0.694  1.153 -0.675  1.308 -0.655
3#apb#apb21#app2179/v  -1.328 -0.815  -1.242 -0.881  -1.193 -0.762  -1.099 -0.668  -1.035 -0.556  -0.998 -0.429  -0.904 -0.335  -0.819 -0.235  -0.760 -0.116  -0.700 0.002  -0.646 0.124  -0.592 0.245  -0.527 0.360  -0.468 0.478  -0.426 0.604  -0.369 0.574  -0.402 0.451  -0.459 0.332  -0.503 0.207  -0.530 0.077  -0.533 -0.056  -0.534 -0.188  -0.553 -0.320  -0.550 -0.451  -0.521 -0.577  -0.415 -0.655  -0.301 -0.724  -0.183 -0.680  -0.064 -0.621  0.042 -0.541  0.148 -0.461  0.242 -0.368  0.336 -0.274  0.403 -0.160  0.467 -0.044  0.537 0.069  0.607 0.182  0.659 0.303  0.673 0.433  0.683 0.446  0.810 0.477  0.934 0.524  1.066 0.538  1.198 0.548  1.330 0.561  1.461 0.582  1.592 0.604  1.710 0.660  1.822 0.731  1.934 0.803
3#apb#apb21#app2179/e  -1.297 -0.839  -1.286 -0.914  -1.143 -0.872  -1.026 -0.762  -0.905 -0.655  -0.784 -0.549  -0.669 -0.437  -0.555 -0.323  -0.441 -0.209  -0.330 -0.092  -0.221 0.026  -0.112 0.144  -0.003 0.262  0.096 0.388  0.184 0.524  0.271 0.659  0.358 0.795  0.450 0.926  0.547 1.055  0.632 1.190  0.676 1.345  0.650 1.456  0.495 1.442  0.381 1.329  0.267 1.215  0.177 1.082  0.093 0.945  0.009 0.808  -0.070 0.668  -0.132 0.519  -0.193 0.370  -0.254 0.221  -0.315 0.073  -0.373 -0.078  -0.431 -0.228  -0.489 -0.378  -0.451 -0.521  -0.370 -0.660  -0.289 -0.799  -0.172 -0.880  -0.012 -0.890  0.149 -0.899  0.310 -0.909  0.469 -0.898  0.626 -0.863  0.783 -0.828  0.940 -0.793  1.097 -0.758  1.254 -0.723  1.412 -0.688
3#apb#apb21#app2179/l  -0.968 -1.315  -0.878 -1.260  -0.789 -1.142  -0.702 -1.024  -0.617 -0.903  -0.527 -0.786  -0.437 -0.669  -0.342 -0.556  -0.245 -0.445  -0.148 -0.333  -0.066 -0.211  0.011 -0.085  0.088 0.041  0.165 0.167  0.258 0.282  0.351 0.397  0.443 0.512  0.528 0.632  0.613 0.753  0.698 0.874  0.782 0.995  0.866 1.117  0.912 1.257  0.927 1.402  0.827 1.424  0.697 1.353  0.578 1.267  0.467 1.170  0.356 1.072  0.252 0.968  0.159 0.854  0.065 0.739  -0.028 0.625  -0.108 0.502  -0.168 0.367  -0.228 0.233  -0.289 0.098  -0.349 -0.037  -0.377 -0.182  -0.404 -0.327  -0.431 -0.472  -0.458 -0.617  -0.460 -0.762  -0.431 -0.907  -0.403 -1.052  -0.313 -1.151  -0.182 -1.221  -0.044 -1.240  0.102 -1.216  0.247 -1.191
3#apb#apb21#app2179/a  -0.247 -0.358  -0.078 -0.257  0.021 -0.085  0.093 0.097  0.162 0.281  0.260 0.453  0.324 0.640  0.358 0.831  0.266 1.005  0.070 1.007  -0.124 0.987  -0.306 0.909  -0.489 0.835  -0.670 0.757  -0.817 0.624  -0.964 0.492  -1.098 0.347  -1.229 0.198  -1.340 0.034  -1.448 -0.131  -1.526 -0.313  -1.421 -0.441  -1.241 -0.511  -1.046 -0.544  -0.853 -0.541  -0.662 -0.487  -0.472 -0.432  -0.288 -0.361  -0.104 -0.287  0.075 -0.206  0.215 -0.066  0.334 0.088  0.417 0.268  0.448 0.448  0.308 0.470  0.197 0.308  0.128 0.129  0.128 -0.069  0.157 -0.264  0.196 -0.458  0.374 -0.543  0.553 -0.626  0.742 -0.656  0.939 -0.637  1.136 -0.618  1.333 -0.600  1.519 -0.536  1.704 -0.465  1.889 -0.395  2.074 -0.324
3#apb#apb21#app2179/n  -1.488 -0.497  -1.503 -0.454  -1.447 -0.361  -1.374 -0.281  -1.300 -0.201  -1.229 -0.119  -1.155 -0.040  -1.072 0.031  -0.991 0.102  -0.914 0.179  -0.833 0.250  -0.728 0.271  -0.636 0.271  -0.592 0.191  -0.592 0.082  -0.600 -0.025  -0.621 -0.132  -0.643 -0.238  -0.598 -0.211  -0.508 -0.151  -0.447 -0.063  -0.395 0.032  -0.333 0.120  -0.256 0.197  -0.179 0.274  -0.103 0.350  -0.026 0.421  0.039 0.334  0.068 0.230  0.092 0.124  0.148 0.035  0.219 -0.048  0.295 -0.125  0.377 -0.196  0.459 -0.267  0.567 -0.267  0.676 -0.267  0.785 -0.267  0.885 -0.226  0.984 -0.182  1.084 -0.139  1.183 -0.095  1.279 -0.044  1.373 0.010  1.468 0.063  1.563 0.116  1.646 0.183  1.719 0.263  1.792 0.344  1.866 0.424
3#apb#apb21#app2179/d  -0.474 -0.386  -0.321 -0.242  -0.230 -0.043  -0.144 0.158  -0.059 0.354  -0.135 0.463  -0.349 0.422  -0.552 0.349  -0.722 0.211  -0.868 0.050  -1.005 -0.121  -1.141 -0.291  -1.217 -0.496  -1.254 -0.711  -1.237 -0.928  -1.072 -1.049  -0.860 -0.996  -0.665 -0.899  -0.474 -0.793  -0.306 -0.656  -0.151 -0.502  0.001 -0.345  0.145 -0.181  0.290 -0.017  0.413 0.164  0.532 0.347  0.639 0.536  0.726 0.737  0.812 0.938  0.904 1.136  0.997 1.334  1.040 1.544  0.868 1.492  0.711 1.341  0.567 1.177  0.433 1.005  0.318 0.819  0.203 0.633  0.125 0.431  0.061 0.222  -0.004 0.013  -0.013 -0.204  -0.013 -0.423  0.009 -0.636  0.112 -0.829  0.257 -0.975  0.459 -1.058  0.667 -1.079  0.881 -1.032  1.094 -0.986
3#apb#apb21#app2179/D  -0.197 0.471  -0.161 0.653  -0.205 0.550  -0.293 0.381  -0.379 0.211  -0.458 0.037  -0.545 -0.133  -0.632 -0.302  -0.700 -0.481  -0.773 -0.657  -0.855 -0.829  -0.939 -1.001  -0.965 -1.031  -0.878 -0.863  -0.787 -0.695  -0.703 -0.524  -0.621 -0.351  -0.531 -0.183  -0.469 -0.085  -0.488 -0.275  -0.479 -0.464  -0.445 -0.651  -0.351 -0.815  -0.237 -0.967  -0.102 -1.102  0.080 -1.158  0.254 -1.095  0.404 -0.981  0.539 -0.846  0.626 -0.678  0.702 -0.503  0.770 -0.325  0.827 -0.143  0.883 0.040  0.931 0.224  0.960 0.413  0.989 0.602  1.004 0.791  0.989 0.981  0.952 1.166  0.855 1.320  0.679 1.389  0.489 1.389  0.306 1.339  0.134 1.262  -0.007 1.133  -0.094 0.964  -0.101 0.777  -0.042 0.602  0.062 0.442
3#apb#apb21#app2179/e  -1.017 -0.841  -0.889 -0.854  -0.744 -0.789  -0.609 -0.699  -0.480 -0.602  -0.361 -0.493  -0.241 -0.384  -0.127 -0.269  -0.022 -0.146  0.084 -0.023  0.189 0.100  0.269 0.239  0.337 0.386  0.405 0.533  0.465 0.683  0.509 0.839  0.554 0.994  0.578 1.153  0.578 1.315  0.496 1.438  0.362 1.478  0.214 1.413  0.080 1.326  -0.029 1.207  -0.139 1.088  -0.249 0.969  -0.335 0.833  -0.416 0.693  -0.498 0.553  -0.579 0.413  -0.641 0.265  -0.679 0.107  -0.716 -0.050  -0.753 -0.208  -0.700 -0.358  -0.637 -0.508  -0.555 -0.641  -0.423 -0.735  -0.291 -0.829  -0.159 -0.923  -0.002 -0.938  0.160 -0.938  0.322 -0.938  0.484 -0.938  0.644 -0.929  0.800 -0.885  0.956 -0.842  1.112 -0.798  1.268 -0.754  1.424 -0.711
3#apb#apb21#app2179/t  -0.860 -1.259  -0.708 -1.045  -0.583 -0.814  -0.459 -0.582  -0.323 -0.358  -0.174 -0.141  -0.019 0.071  0.121 0.292  0.228 0.532  0.338 0.771  0.451 1.008  0.584 1.235  0.643 1.490  0.619 1.550  0.478 1.329  0.360 1.094  0.250 0.855  0.147 0.613  0.056 0.367  -0.027 0.118  -0.097 -0.135  -0.126 -0.396  -0.155 -0.657  -0.111 -0.916  -0.053 -1.170  0.099 -1.384  0.318 -1.504  0.565 -1.498  0.806 -1.393  0.970 -1.189  0.955 -1.000  0.754 -0.831  0.554 -0.661  0.353 -0.492  0.152 -0.322  -0.049 -0.153  -0.250 0.017  -0.451 0.186  -0.652 0.356  -0.852 0.525  -1.053 0.695  -1.286 0.623  -1.102 0.514  -0.844 0.479  -0.581 0.479  -0.318 0.479  -0.057 0.499  0.203 0.536  0.463 0.573  0.723 0.611
3#apb#apb21#app2179/r  -1.447 -0.778  -1.400 -0.729  -1.355 -0.626  -1.293 -0.532  -1.229 -0.438  -1.166 -0.344  -1.104 -0.248  -1.050 -0.149  -0.996 -0.049  -0.936 0.048  -0.869 0.139  -0.803 0.231  -0.733 0.321  -0.658 0.406  -0.583 0.492  -0.541 0.597  -0.463 0.677  -0.375 0.748  -0.265 0.776  -0.169 0.766  -0.088 0.685  -0.008 0.605  0.019 0.507  0.003 0.394  -0.022 0.284  -0.046 0.173  -0.069 0.061  -0.091 -0.050  -0.109 -0.162  -0.123 -0.274  -0.078 -0.378  -0.010 -0.448  0.103 -0.448  0.217 -0.448  0.331 -0.448  0.439 -0.423  0.543 -0.378  0.647 -0.333  0.752 -0.288  0.856 -0.242  0.960 -0.197  1.061 -0.145  1.161 -0.092  1.262 -0.039  1.362 0.014  1.463 0.066  1.568 0.109  1.673 0.152  1.778 0.195  1.883 0.239
3#apb#apb21#app2179/o  -0.094 0.307  -0.025 0.450  0.070 0.584  0.156 0.723  0.237 0.828  0.111 0.722  -0.021 0.623  -0.152 0.524  -0.248 0.394  -0.330 0.251  -0.425 0.118  -0.541 0.002  -0.613 -0.144  -0.671 -0.298  -0.742 -0.445  -0.845 -0.573  -0.903 -0.718  -0.903 -0.882  -0.922 -1.046  -0.949 -1.208  -0.817 -1.297  -0.672 -1.376  -0.519 -1.437  -0.371 -1.403  -0.223 -1.329  -0.142 -1.195  -0.074 -1.045  0.017 -0.908  0.097 -0.768  0.097 -0.603  0.099 -0.438  0.115 -0.274  0.131 -0.110  0.149 0.053  0.172 0.216  0.188 0.379  0.161 0.542  0.086 0.669  -0.016 0.783  0.074 0.723  0.222 0.649  0.379 0.680  0.537 0.725  0.695 0.770  0.854 0.815  1.008 0.871  1.161 0.932  1.314 0.994  1.467 1.055  1.620 1.116
3#apb#apb21#app2179/i  -1.095 -0.890  -1.042 -0.898  -0.970 -0.792  -0.893 -0.689  -0.812 -0.589  -0.732 -0.488  -0.662 -0.380  -0.593 -0.272  -0.511 -0.173  -0.433 -0.072  -0.397 0.052  -0.356 0.163  -0.452 0.115  -0.509 0.005  -0.540 -0.120  -0.573 -0.244  -0.618 -0.364  -0.611 -0.492  -0.581 -0.614  -0.510 -0.721  -0.414 -0.800  -0.297 -0.852  -0.170 -0.871  -0.042 -0.889  0.081 -0.853  0.205 -0.818  0.323 -0.767  0.438 -0.709  0.545 -0.639  0.554 -0.550  0.532 -0.441  0.539 -0.313  0.546 -0.184  0.553 -0.056  0.559 0.073  0.566 0.201  0.573 0.330  0.580 0.458  0.586 0.587  0.593 0.715  0.600 0.844  0.607 0.973  0.613 1.101  0.620 1.230  0.627 1.358  0.634 1.487  0.640 1.615  0.647 1.744  0.583 1.769  0.465 1.717
3#apb#apb21#app2179/t  -1.102 -1.359  -0.929 -1.190  -0.811 -0.965  -0.697 -0.738  -0.591 -0.507  -0.487 -0.276  -0.382 -0.045  -0.274 0.185  -0.166 0.415  -0.065 0.648  0.033 0.882  0.134 1.115  0.243 1.344  0.361 1.569  0.485 1.599  0.378 1.373  0.265 1.147  0.165 0.913  0.043 0.691  -0.062 0.461  -0.136 0.218  -0.190 -0.029  -0.209 -0.282  -0.204 -0.534  -0.158 -0.784  -0.048 -1.008  0.093 -1.217  0.314 -1.343  0.563 -1.359  0.792 -1.274  1.000 -1.130  1.169 -0.940  1.245 -0.765  1.028 -0.634  0.811 -0.502  0.594 -0.371  0.377 -0.239  0.159 -0.107  -0.058 0.024  -0.275 0.156  -0.492 0.287  -0.709 0.419  -0.942 0.362  -0.918 0.357  -0.675 0.430  -0.431 0.502  -0.186 0.565  0.065 0.604  0.316 0.644  0.567 0.684
