2#tos#f2#f2032060/!  0.638 1.540  0.638 1.465  0.590 1.438  0.590 1.362  0.530 1.346  0.493 1.308  0.493 1.233  0.479 1.160  0.455 1.089  0.432 1.017  0.408 0.946  0.384 0.874  0.360 0.803  0.328 0.735  0.286 0.673  0.243 0.610  0.198 0.550  0.153 0.490  0.108 0.430  0.066 0.367  0.024 0.304  0.009 0.234  0.009 0.158  0.009 0.083  0.009 0.008  0.003 -0.066  -0.039 -0.129  -0.081 -0.191  -0.088 -0.264  -0.088 -0.340  -0.088 -0.415  -0.132 -0.459  -0.203 -0.483  -0.233 -0.537  -0.249 -0.605  -0.281 -0.667  -0.296 -0.740  -0.316 -0.813  -0.336 -0.886  -0.356 -0.959  -0.375 -1.031  -0.395 -1.104  -0.415 -1.177  -0.427 -1.250  -0.437 -1.315  -0.512 -1.315  -0.588 -1.315  -0.663 -1.315  -0.669 -1.385  -0.669 -1.460
2#tos#f2#f2032060/^  -0.850 -0.600  -0.880 -0.712  -0.986 -0.782  -1.092 -0.853  -1.038 -0.875  -1.033 -0.752  -1.033 -0.624  -1.022 -0.508  -0.895 -0.508  -0.850 -0.425  -0.850 -0.298  -0.787 -0.233  -0.727 -0.140  -0.687 -0.019  -0.638 0.099  -0.581 0.213  -0.568 0.338  -0.527 0.459  -0.487 0.580  -0.369 0.593  -0.241 0.593  -0.207 0.687  -0.207 0.814  -0.207 0.942  -0.130 1.037  -0.024 1.067  0.012 1.108  0.090 1.009  0.147 0.895  0.229 0.799  0.255 0.683  0.361 0.612  0.467 0.541  0.527 0.445  0.527 0.318  0.639 0.288  0.709 0.182  0.780 0.076  0.802 -0.045  0.802 -0.173  0.802 -0.300  0.875 -0.398  0.894 -0.517  0.894 -0.645  0.894 -0.772  1.010 -0.784  1.138 -0.784  1.264 -0.787  1.354 -0.877  1.445 -0.967
2#tos#f2#f2032060/`  0.087 1.657  0.087 1.583  0.087 1.508  0.087 1.434  0.074 1.366  0.021 1.313  -0.031 1.261  -0.083 1.209  -0.136 1.156  -0.188 1.104  -0.191 1.031  -0.191 0.957  -0.191 0.883  -0.191 0.809  -0.191 0.735  -0.191 0.661  -0.191 0.587  -0.191 0.513  -0.191 0.439  -0.191 0.365  -0.191 0.291  -0.191 0.216  -0.191 0.142  -0.191 0.068  -0.191 -0.006  -0.142 -0.059  -0.089 -0.112  -0.037 -0.164  0.016 -0.216  0.068 -0.269  0.087 -0.335  0.087 -0.409  0.087 -0.483  0.087 -0.557  0.087 -0.631  0.087 -0.705  0.087 -0.779  0.087 -0.853  0.087 -0.927  0.087 -1.001  0.087 -1.076  0.100 -1.147  0.133 -1.213  0.166 -1.279  0.199 -1.345  0.232 -1.412  0.265 -1.478  0.298 -1.544  0.331 -1.610  0.365 -1.676
2#tos#f2#f2032060/{  0.328 1.574  0.241 1.573  0.163 1.534  0.077 1.532  0.074 1.448  0.031 1.404  -0.001 1.330  -0.011 1.247  -0.011 1.160  -0.035 1.078  -0.053 0.994  -0.053 0.907  -0.053 0.820  -0.053 0.733  -0.035 0.650  0.012 0.578  0.031 0.500  0.051 0.432  0.074 0.368  0.074 0.281  0.074 0.194  0.074 0.108  0.001 0.094  -0.086 0.094  -0.138 0.058  -0.175 0.009  -0.262 0.009  -0.223 -0.033  -0.222 -0.120  -0.181 -0.181  -0.138 -0.241  -0.138 -0.328  -0.095 -0.398  -0.073 -0.481  -0.036 -0.558  0.001 -0.632  0.023 -0.717  0.031 -0.802  0.031 -0.889  0.031 -0.976  0.031 -1.063  0.031 -1.150  0.031 -1.237  0.031 -1.324  0.031 -1.411  0.031 -1.498  0.074 -1.567  0.074 -1.654  0.114 -1.724  0.201 -1.725
2#tos#f2#f2032060/|  0.177 1.670  0.113 1.627  0.049 1.584  -0.015 1.542  -0.052 1.484  -0.052 1.407  -0.052 1.330  -0.052 1.253  -0.052 1.176  -0.052 1.099  -0.052 1.022  -0.052 0.945  -0.052 0.868  -0.052 0.791  -0.052 0.714  -0.052 0.637  -0.052 0.560  -0.052 0.483  -0.052 0.406  -0.052 0.329  -0.012 0.293  0.024 0.252  0.024 0.175  0.024 0.098  0.024 0.021  0.024 -0.056  0.024 -0.133  0.024 -0.210  0.004 -0.282  -0.030 -0.351  -0.052 -0.423  -0.043 -0.499  -0.019 -0.572  0.005 -0.645  0.030 -0.718  0.054 -0.791  0.078 -0.864  0.103 -0.937  0.127 -1.010  0.151 -1.083  0.176 -1.156  0.105 -1.160  0.028 -1.160  -0.049 -1.160  -0.052 -1.234  -0.052 -1.311  -0.052 -1.388  -0.052 -1.465  -0.052 -1.542  -0.052 -1.619
2#tos#f2#f2032060/}  -0.430 1.417  -0.525 1.369  -0.620 1.321  -0.652 1.285  -0.554 1.265  -0.448 1.265  -0.362 1.215  -0.263 1.199  -0.187 1.124  -0.095 1.072  0.009 1.063  0.066 0.982  0.138 0.907  0.239 0.874  0.277 0.795  0.296 0.700  0.378 0.645  0.387 0.540  0.429 0.444  0.429 0.337  0.412 0.238  0.337 0.163  0.262 0.087  0.227 -0.005  0.164 -0.048  0.075 -0.066  0.010 -0.132  -0.092 -0.150  -0.177 -0.171  -0.100 -0.200  0.006 -0.200  0.025 -0.288  0.068 -0.352  0.109 -0.436  0.176 -0.485  0.138 -0.554  0.032 -0.554  0.025 -0.653  0.025 -0.759  0.021 -0.865  -0.026 -0.960  -0.026 -1.067  -0.026 -1.173  -0.026 -1.279  -0.026 -1.386  -0.026 -1.492  -0.026 -1.599  -0.026 -1.705  -0.026 -1.811  -0.026 -1.918
2#tos#f2#f2032060/0  -0.263 1.098  -0.395 1.098  -0.526 1.095  -0.619 1.002  -0.653 0.884  -0.653 0.752  -0.693 0.629  -0.736 0.505  -0.768 0.377  -0.783 0.247  -0.783 0.114  -0.783 -0.018  -0.783 -0.150  -0.783 -0.282  -0.783 -0.414  -0.783 -0.546  -0.783 -0.678  -0.719 -0.784  -0.619 -0.867  -0.505 -0.933  -0.393 -0.980  -0.268 -1.010  -0.144 -1.045  -0.012 -1.045  0.120 -1.045  0.252 -1.045  0.384 -1.045  0.517 -1.045  0.629 -0.998  0.722 -0.904  0.776 -0.794  0.776 -0.662  0.776 -0.530  0.776 -0.398  0.776 -0.266  0.776 -0.134  0.776 -0.002  0.776 0.130  0.736 0.250  0.662 0.360  0.646 0.487  0.646 0.619  0.646 0.751  0.601 0.839  0.502 0.918  0.409 1.011  0.296 1.059  0.189 1.132  0.064 1.163  -0.003 1.098
2#tos#f2#f2032060/1  0.308 1.544  0.258 1.594  0.246 1.552  0.246 1.480  0.246 1.409  0.246 1.338  0.246 1.267  0.246 1.195  0.225 1.129  0.193 1.065  0.161 1.002  0.130 0.938  0.121 0.869  0.121 0.797  0.121 0.726  0.121 0.655  0.121 0.584  0.121 0.512  0.121 0.441  0.121 0.370  0.121 0.299  0.117 0.228  0.085 0.165  0.053 0.101  0.021 0.037  -0.007 -0.028  -0.024 -0.097  -0.042 -0.166  -0.059 -0.235  -0.065 -0.306  -0.065 -0.377  -0.065 -0.448  -0.065 -0.519  -0.074 -0.589  -0.106 -0.652  -0.138 -0.716  -0.169 -0.780  -0.198 -0.845  -0.220 -0.913  -0.243 -0.980  -0.252 -1.050  -0.252 -1.121  -0.252 -1.193  -0.252 -1.264  -0.252 -1.335  -0.252 -1.406  -0.252 -1.478  -0.252 -1.549  -0.252 -1.620  -0.314 -1.629
2#tos#f2#f2032060/3  0.258 1.520  0.260 1.415  0.351 1.375  0.448 1.335  0.542 1.289  0.629 1.230  0.715 1.168  0.730 1.067  0.730 0.960  0.672 0.876  0.638 0.774  0.566 0.724  0.506 0.635  0.468 0.540  0.468 0.433  0.390 0.367  0.300 0.309  0.206 0.261  0.149 0.210  0.043 0.210  -0.064 0.210  -0.151 0.210  -0.044 0.210  0.048 0.195  0.097 0.109  0.169 0.058  0.203 -0.043  0.258 -0.128  0.284 -0.210  0.310 -0.290  0.310 -0.397  0.258 -0.482  0.212 -0.570  0.132 -0.640  0.038 -0.689  -0.048 -0.754  -0.133 -0.818  -0.230 -0.850  -0.319 -0.909  -0.416 -0.944  -0.523 -0.944  -0.629 -0.953  -0.734 -0.974  -0.839 -0.995  -0.945 -0.996  -1.052 -0.996  -1.159 -0.996  -1.263 -1.014  -1.365 -1.048  -1.472 -1.048
2#tos#f2#f2032060/6  0.635 1.467  0.635 1.602  0.535 1.637  0.436 1.579  0.375 1.459  0.279 1.374  0.158 1.314  0.124 1.199  0.040 1.099  -0.046 1.000  -0.046 0.865  -0.091 0.753  -0.199 0.672  -0.292 0.578  -0.352 0.457  -0.413 0.336  -0.473 0.216  -0.533 0.095  -0.588 -0.029  -0.638 -0.154  -0.670 -0.283  -0.670 -0.418  -0.670 -0.553  -0.670 -0.688  -0.670 -0.823  -0.670 -0.958  -0.613 -1.057  -0.485 -1.086  -0.401 -1.169  -0.285 -1.199  -0.150 -1.199  -0.015 -1.199  0.120 -1.199  0.241 -1.140  0.360 -1.077  0.455 -0.981  0.519 -0.863  0.613 -0.767  0.635 -0.641  0.635 -0.506  0.635 -0.371  0.610 -0.242  0.578 -0.114  0.507 -0.017  0.393 0.054  0.264 0.097  0.149 0.165  0.030 0.219  -0.105 0.219  -0.216 0.276
2#tos#f2#f2032060/7  -0.423 0.897  -0.509 0.793  -0.595 0.690  -0.655 0.577  -0.655 0.442  -0.744 0.344  -0.839 0.249  -0.901 0.140  -0.877 0.173  -0.788 0.275  -0.700 0.377  -0.612 0.479  -0.524 0.581  -0.435 0.682  -0.347 0.784  -0.386 0.730  -0.330 0.711  -0.195 0.711  -0.061 0.711  0.068 0.751  0.201 0.757  0.336 0.757  0.471 0.757  0.605 0.757  0.740 0.757  0.832 0.714  0.878 0.626  0.808 0.548  0.739 0.442  0.708 0.329  0.599 0.273  0.589 0.142  0.502 0.039  0.422 -0.068  0.375 -0.194  0.327 -0.320  0.277 -0.445  0.183 -0.542  0.135 -0.656  0.135 -0.791  0.089 -0.915  0.042 -1.038  0.042 -1.173  0.042 -1.308  0.042 -1.442  0.042 -1.577  0.042 -1.712  0.042 -1.847  0.085 -1.938  0.181 -2.031
2#tos#f2#f2032060/8  0.452 0.423  0.536 0.553  0.605 0.692  0.608 0.847  0.608 1.002  0.558 1.136  0.440 1.237  0.315 1.321  0.177 1.361  0.037 1.399  -0.118 1.399  -0.274 1.399  -0.329 1.299  -0.246 1.188  -0.187 1.061  -0.081 0.948  -0.017 0.813  0.036 0.670  0.100 0.530  0.100 0.375  0.100 0.220  0.100 0.064  0.100 -0.091  0.100 -0.246  0.092 -0.400  0.061 -0.553  0.061 -0.708  0.024 -0.858  -0.014 -1.009  -0.017 -1.164  -0.051 -1.315  -0.095 -1.430  -0.191 -1.489  -0.298 -1.567  -0.454 -1.567  -0.505 -1.448  -0.524 -1.297  -0.524 -1.142  -0.524 -0.986  -0.524 -0.831  -0.481 -0.690  -0.393 -0.563  -0.320 -0.427  -0.211 -0.317  -0.101 -0.207  0.013 -0.103  0.136 -0.009  0.246 0.101  0.380 0.152  0.491 0.228
2#tos#f2#f2032060/A  -0.991 -0.594  -1.106 -0.732  -1.187 -0.893  -1.208 -1.053  -1.102 -0.935  -0.998 -0.788  -0.872 -0.658  -0.816 -0.490  -0.720 -0.339  -0.611 -0.194  -0.507 -0.047  -0.414 0.109  -0.308 0.255  -0.214 0.409  -0.133 0.571  -0.014 0.705  0.062 0.866  0.065 1.046  0.174 1.159  0.336 1.240  0.367 1.414  0.449 1.564  0.534 1.645  0.587 1.483  0.616 1.309  0.616 1.128  0.616 0.947  0.616 0.766  0.616 0.585  0.549 0.420  0.499 0.247  0.478 0.068  0.470 -0.111  0.432 -0.286  0.432 -0.467  0.432 -0.648  0.432 -0.829  0.432 -1.010  0.432 -1.191  0.397 -1.201  0.327 -1.034  0.257 -0.867  0.187 -0.700  0.117 -0.533  0.017 -0.410  -0.118 -0.456  -0.299 -0.456  -0.150 -0.375  0.021 -0.319  0.202 -0.319
2#tos#f2#f2032060/D  0.173 1.347  0.173 1.347  0.021 1.234  -0.043 1.055  -0.121 0.882  -0.215 0.715  -0.288 0.538  -0.348 0.356  -0.452 0.195  -0.572 0.046  -0.656 -0.121  -0.706 -0.303  -0.821 -0.457  -0.921 -0.620  -0.975 -0.797  -1.023 -0.981  -1.066 -1.168  -1.001 -1.134  -0.893 -0.976  -0.785 -0.818  -0.677 -0.659  -0.568 -0.501  -0.460 -0.342  -0.352 -0.184  -0.244 -0.026  -0.136 0.133  -0.028 0.291  0.081 0.450  0.189 0.608  0.269 0.775  0.375 0.917  0.567 0.917  0.759 0.917  0.951 0.917  1.097 0.859  1.133 0.672  1.178 0.490  1.178 0.298  1.137 0.116  1.032 -0.042  0.987 -0.215  0.889 -0.377  0.735 -0.492  0.563 -0.573  0.403 -0.672  0.237 -0.761  0.065 -0.845  -0.105 -0.930  -0.287 -0.991  -0.449 -1.092
2#tos#f2#f2032060/E  -0.125 1.386  -0.254 1.295  -0.132 1.172  0.088 1.172  0.307 1.172  0.524 1.188  0.739 1.215  0.594 1.259  0.381 1.313  0.168 1.366  -0.044 1.419  -0.168 1.334  -0.211 1.157  -0.254 0.948  -0.272 0.731  -0.310 0.517  -0.395 0.318  -0.425 0.108  -0.425 -0.112  -0.425 -0.331  -0.425 -0.550  -0.457 -0.765  -0.468 -0.982  -0.505 -1.120  -0.449 -0.908  -0.392 -0.696  -0.336 -0.484  -0.279 -0.272  -0.223 -0.060  -0.168 0.137  -0.026 0.059  0.193 0.059  0.413 0.059  0.578 0.042  0.401 -0.088  0.223 -0.217  0.046 -0.346  -0.132 -0.475  -0.309 -0.604  -0.345 -0.806  -0.488 -0.968  -0.455 -1.054  -0.235 -1.054  -0.016 -1.054  0.204 -1.054  0.423 -1.054  0.643 -1.054  0.858 -1.082  1.075 -1.097  1.287 -1.139
2#tos#f2#f2032060/F  -0.084 1.177  -0.205 1.057  -0.189 1.009  -0.023 0.987  0.124 0.911  0.294 0.911  0.455 0.873  0.625 0.873  0.795 0.873  0.965 0.873  0.830 0.919  0.667 0.970  0.505 1.020  0.342 1.071  0.180 1.121  0.018 1.172  -0.122 1.191  -0.160 1.059  -0.209 0.900  -0.274 0.757  -0.274 0.587  -0.299 0.421  -0.312 0.253  -0.312 0.083  -0.312 -0.087  -0.312 -0.258  -0.312 -0.428  -0.312 -0.598  -0.312 -0.768  -0.312 -0.938  -0.312 -1.108  -0.312 -1.278  -0.312 -1.448  -0.312 -1.618  -0.312 -1.631  -0.312 -1.461  -0.312 -1.291  -0.312 -1.120  -0.312 -0.950  -0.312 -0.780  -0.312 -0.610  -0.312 -0.440  -0.278 -0.456  -0.135 -0.520  0.030 -0.532  0.201 -0.532  0.371 -0.532  0.536 -0.544  0.695 -0.570  0.865 -0.570
2#tos#f2#f2032060/G  0.512 1.322  0.596 1.446  0.427 1.450  0.253 1.450  0.128 1.369  0.011 1.264  -0.161 1.236  -0.315 1.171  -0.444 1.053  -0.567 0.929  -0.690 0.806  -0.784 0.661  -0.887 0.523  -0.960 0.367  -0.990 0.198  -1.024 0.027  -1.033 -0.146  -1.033 -0.320  -0.940 -0.458  -0.861 -0.609  -0.704 -0.652  -0.586 -0.749  -0.434 -0.823  -0.260 -0.823  -0.088 -0.809  0.073 -0.742  0.244 -0.705  0.367 -0.599  0.426 -0.446  0.426 -0.271  0.341 -0.130  0.224 -0.001  0.106 0.129  -0.015 0.249  -0.172 0.209  -0.107 0.163  0.045 0.090  0.196 0.011  0.349 -0.051  0.512 -0.099  0.640 -0.145  0.726 -0.267  0.855 -0.312  0.855 -0.487  0.812 -0.654  0.769 -0.819  0.769 -0.993  0.769 -1.168  0.812 -1.335  0.812 -1.510
2#tos#f2#f2032060/H  -0.632 1.324  -0.593 1.350  -0.612 1.189  -0.632 1.030  -0.643 0.863  -0.671 0.700  -0.671 0.531  -0.746 0.384  -0.787 0.227  -0.807 0.061  -0.853 -0.100  -0.904 -0.259  -0.904 -0.427  -0.904 -0.595  -0.904 -0.763  -0.943 -0.925  -0.922 -0.999  -0.851 -0.846  -0.780 -0.694  -0.709 -0.541  -0.638 -0.388  -0.568 -0.236  -0.497 -0.083  -0.467 0.043  -0.357 0.004  -0.189 0.004  -0.021 0.004  0.147 0.004  0.316 0.004  0.484 0.004  0.643 0.043  0.657 0.157  0.721 0.313  0.784 0.469  0.848 0.624  0.912 0.780  0.960 0.856  0.960 0.687  0.960 0.519  0.960 0.351  0.960 0.183  0.960 0.015  0.960 -0.154  0.938 -0.320  0.908 -0.486  0.875 -0.651  0.842 -0.816  0.804 -0.979  0.804 -1.147  0.804 -1.316
2#tos#f2#f2032060/I  -0.035 1.362  -0.138 1.348  -0.185 1.270  -0.269 1.236  -0.374 1.218  -0.337 1.213  -0.239 1.193  -0.164 1.118  -0.089 1.043  0.010 1.026  0.116 1.026  0.218 1.011  0.319 0.989  0.362 1.026  0.256 1.026  0.226 0.950  0.194 0.852  0.147 0.757  0.114 0.658  0.085 0.559  0.039 0.464  0.039 0.358  0.023 0.254  -0.006 0.152  -0.054 0.057  -0.105 -0.035  -0.160 -0.126  -0.185 -0.225  -0.185 -0.331  -0.185 -0.437  -0.209 -0.539  -0.222 -0.643  -0.222 -0.749  -0.222 -0.856  -0.222 -0.962  -0.259 -1.052  -0.259 -1.158  -0.344 -1.150  -0.370 -1.136  -0.264 -1.136  -0.157 -1.136  -0.051 -1.136  0.055 -1.136  0.161 -1.136  0.267 -1.136  0.369 -1.159  0.473 -1.174  0.576 -1.191  0.679 -1.211  0.785 -1.211
