1b#apb#apb32#app3252/A  -0.161 1.665  -0.169 1.542  -0.239 1.317  -0.272 1.084  -0.303 0.850  -0.332 0.616  -0.365 0.383  -0.409 0.151  -0.466 -0.077  -0.520 -0.307  -0.569 -0.537  -0.604 -0.770  -0.689 -0.987  -0.725 -1.220  -0.709 -1.342  -0.587 -1.146  -0.519 -0.920  -0.450 -0.695  -0.408 -0.464  -0.376 -0.230  -0.347 0.004  -0.315 0.237  -0.277 0.469  -0.186 0.687  -0.137 0.916  -0.094 1.147  0.022 1.348  0.146 1.499  0.295 1.319  0.383 1.101  0.462 0.879  0.539 0.656  0.612 0.432  0.653 0.200  0.700 -0.031  0.764 -0.258  0.810 -0.488  0.852 -0.720  0.882 -0.953  0.959 -1.168  0.973 -1.209  0.778 -1.078  0.582 -0.946  0.387 -0.814  0.191 -0.683  -0.004 -0.551  -0.200 -0.420  -0.347 -0.241  -0.223 -0.122  0.013 -0.122
1b#apb#apb32#app3252/L  -0.192 1.583  -0.175 1.677  -0.192 1.623  -0.192 1.522  -0.216 1.424  -0.243 1.327  -0.271 1.230  -0.297 1.132  -0.315 1.033  -0.332 0.933  -0.350 0.834  -0.368 0.734  -0.389 0.635  -0.410 0.537  -0.432 0.438  -0.454 0.340  -0.475 0.241  -0.481 0.140  -0.486 0.039  -0.492 -0.062  -0.498 -0.163  -0.500 -0.264  -0.500 -0.365  -0.500 -0.466  -0.500 -0.567  -0.500 -0.668  -0.500 -0.769  -0.457 -0.860  -0.448 -0.959  -0.380 -0.963  -0.282 -0.973  -0.195 -0.923  -0.106 -0.873  -0.014 -0.832  0.078 -0.791  0.170 -0.749  0.262 -0.707  0.354 -0.665  0.445 -0.622  0.526 -0.561  0.605 -0.499  0.686 -0.440  0.784 -0.415  0.882 -0.391  0.980 -0.366  1.077 -0.338  1.174 -0.308  1.272 -0.288  1.373 -0.288  1.474 -0.288
1b#apb#apb32#app3252/M  -0.765 0.871  -0.767 0.733  -0.864 0.615  -0.904 0.460  -0.943 0.305  -0.982 0.149  -0.998 -0.010  -1.019 -0.168  -1.019 -0.329  -1.019 -0.489  -0.980 -0.597  -0.980 -0.757  -0.963 -0.800  -0.849 -0.697  -0.843 -0.538  -0.778 -0.393  -0.731 -0.240  -0.693 -0.085  -0.663 0.072  -0.627 0.228  -0.579 0.381  -0.520 0.529  -0.492 0.667  -0.395 0.606  -0.309 0.487  -0.223 0.352  -0.140 0.215  -0.059 0.077  0.026 -0.058  0.149 -0.155  0.277 -0.221  0.412 -0.145  0.545 -0.056  0.652 0.062  0.732 0.200  0.809 0.340  0.895 0.475  0.974 0.606  1.063 0.621  1.131 0.479  1.171 0.324  1.222 0.172  1.223 0.013  1.215 -0.147  1.204 -0.307  1.220 -0.466  1.239 -0.625  1.242 -0.785  1.325 -0.913  1.379 -1.059
1b#apb#apb32#app3252/N  -0.734 0.846  -0.769 0.970  -0.805 0.797  -0.805 0.617  -0.805 0.437  -0.805 0.257  -0.805 0.077  -0.805 -0.103  -0.803 -0.283  -0.789 -0.462  -0.760 -0.640  -0.751 -0.819  -0.725 -0.682  -0.716 -0.503  -0.716 -0.323  -0.716 -0.143  -0.716 0.037  -0.716 0.217  -0.693 0.396  -0.663 0.573  -0.606 0.742  -0.516 0.687  -0.424 0.532  -0.341 0.373  -0.267 0.209  -0.189 0.047  -0.101 -0.110  -0.009 -0.264  0.096 -0.410  0.202 -0.556  0.313 -0.697  0.422 -0.841  0.524 -0.989  0.662 -1.101  0.830 -1.151  0.988 -1.088  1.046 -0.920  1.068 -0.743  1.068 -0.563  1.059 -0.384  1.046 -0.204  1.032 -0.025  0.997 0.152  0.961 0.328  0.926 0.505  0.902 0.683  0.877 0.861  0.856 1.040  0.837 1.219  0.836 1.399
1b#apb#apb32#app3252/O  -0.406 1.002  -0.327 1.054  -0.337 1.047  -0.380 0.923  -0.455 0.814  -0.518 0.701  -0.565 0.579  -0.646 0.475  -0.694 0.357  -0.730 0.235  -0.811 0.131  -0.863 0.010  -0.912 -0.113  -0.952 -0.238  -0.964 -0.369  -0.948 -0.499  -0.907 -0.624  -0.827 -0.729  -0.723 -0.808  -0.623 -0.893  -0.508 -0.946  -0.379 -0.970  -0.247 -0.970  -0.115 -0.970  0.017 -0.970  0.149 -0.970  0.281 -0.970  0.407 -0.943  0.525 -0.884  0.645 -0.829  0.767 -0.780  0.853 -0.684  0.930 -0.577  0.957 -0.451  0.968 -0.320  0.961 -0.188  0.952 -0.056  0.920 0.070  0.866 0.190  0.813 0.311  0.748 0.426  0.675 0.535  0.602 0.645  0.527 0.754  0.448 0.859  0.369 0.965  0.280 1.061  0.168 1.130  0.056 1.199  -0.048 1.281
1b#apb#apb32#app3252/P  -0.107 0.400  -0.244 0.381  -0.307 0.219  -0.363 0.055  -0.406 -0.113  -0.443 -0.283  -0.470 -0.454  -0.489 -0.626  -0.489 -0.800  -0.464 -0.971  -0.439 -1.143  -0.409 -1.312  -0.314 -1.455  -0.255 -1.598  -0.244 -1.574  -0.267 -1.402  -0.301 -1.232  -0.345 -1.064  -0.391 -0.896  -0.438 -0.729  -0.474 -0.560  -0.489 -0.387  -0.505 -0.214  -0.511 -0.041  -0.511 0.133  -0.511 0.307  -0.494 0.479  -0.473 0.652  -0.415 0.814  -0.342 0.971  -0.234 1.107  -0.101 1.207  0.066 1.250  0.240 1.250  0.405 1.218  0.561 1.140  0.698 1.035  0.831 0.923  0.961 0.808  1.089 0.691  1.173 0.540  1.238 0.381  1.202 0.235  1.053 0.150  0.887 0.099  0.716 0.081  0.542 0.081  0.368 0.081  0.195 0.081  0.021 0.081
1b#apb#apb32#app3252/Q  -0.017 0.963  -0.154 1.044  -0.333 0.959  -0.493 0.834  -0.655 0.713  -0.777 0.556  -0.880 0.381  -0.964 0.198  -1.013 0.003  -1.025 -0.200  -0.990 -0.399  -0.901 -0.575  -0.773 -0.732  -0.604 -0.842  -0.425 -0.935  -0.233 -1.000  -0.036 -1.038  0.167 -1.038  0.354 -0.975  0.534 -0.881  0.696 -0.759  0.819 -0.608  0.889 -0.417  0.902 -0.218  0.893 -0.015  0.829 0.176  0.754 0.364  0.662 0.544  0.557 0.718  0.446 0.886  0.299 1.026  0.152 1.166  -0.016 1.278  -0.198 1.355  -0.319 1.304  -0.266 1.108  -0.214 0.912  -0.161 0.717  -0.108 0.521  -0.055 0.325  -0.002 0.129  0.051 -0.067  0.104 -0.262  0.165 -0.456  0.212 -0.653  0.272 -0.846  0.346 -1.035  0.422 -1.223  0.499 -1.411  0.589 -1.593
1b#apb#apb32#app3252/R  -0.655 1.031  -0.655 0.816  -0.655 0.600  -0.648 0.384  -0.629 0.169  -0.618 -0.046  -0.618 -0.262  -0.618 -0.478  -0.612 -0.693  -0.582 -0.907  -0.589 -1.120  -0.643 -0.999  -0.710 -0.794  -0.752 -0.582  -0.773 -0.368  -0.782 -0.152  -0.782 0.064  -0.767 0.277  -0.704 0.484  -0.629 0.684  -0.508 0.863  -0.371 1.026  -0.193 1.149  0.007 1.204  0.223 1.214  0.439 1.214  0.599 1.071  0.722 0.896  0.828 0.708  0.870 0.497  0.885 0.285  0.845 0.073  0.706 -0.090  0.504 -0.143  0.290 -0.142  0.080 -0.102  -0.110 0.000  -0.269 0.144  -0.189 0.162  -0.051 -0.003  0.094 -0.163  0.242 -0.320  0.394 -0.474  0.546 -0.626  0.705 -0.772  0.873 -0.907  1.044 -1.040  1.221 -1.164  1.400 -1.284  1.593 -1.380
1b#apb#apb32#app3252/S  0.718 0.972  0.611 1.040  0.503 1.112  0.364 1.112  0.227 1.109  0.089 1.097  -0.047 1.073  -0.181 1.041  -0.312 0.998  -0.441 0.950  -0.570 0.901  -0.700 0.853  -0.829 0.804  -0.945 0.731  -1.057 0.650  -1.125 0.533  -1.161 0.403  -1.161 0.265  -1.063 0.173  -0.956 0.086  -0.829 0.036  -0.698 -0.008  -0.567 -0.052  -0.434 -0.090  -0.301 -0.126  -0.168 -0.162  -0.034 -0.198  0.100 -0.231  0.234 -0.263  0.368 -0.295  0.502 -0.328  0.633 -0.372  0.764 -0.415  0.895 -0.459  1.016 -0.524  1.136 -0.594  1.187 -0.707  1.125 -0.831  1.002 -0.882  0.870 -0.922  0.733 -0.926  0.595 -0.926  0.457 -0.926  0.319 -0.910  0.182 -0.893  0.045 -0.877  -0.087 -0.844  -0.212 -0.785  -0.337 -0.726  -0.461 -0.666
1b#apb#apb32#app3252/T  0.511 0.804  0.416 0.733  0.341 0.583  0.288 0.424  0.243 0.263  0.200 0.101  0.176 -0.066  0.153 -0.232  0.133 -0.398  0.159 -0.564  0.185 -0.730  0.218 -0.894  0.264 -1.055  0.314 -1.216  0.375 -1.372  0.416 -1.532  0.512 -1.591  0.594 -1.463  0.492 -1.330  0.391 -1.196  0.289 -1.062  0.187 -0.929  0.086 -0.795  -0.016 -0.661  -0.117 -0.528  -0.219 -0.394  -0.320 -0.260  -0.422 -0.127  -0.524 0.007  -0.625 0.141  -0.727 0.274  -0.828 0.408  -0.930 0.542  -1.032 0.675  -1.133 0.809  -1.156 0.928  -1.000 0.971  -0.832 0.971  -0.664 0.966  -0.498 0.946  -0.331 0.926  -0.164 0.906  0.000 0.873  0.163 0.832  0.326 0.791  0.489 0.751  0.654 0.722  0.820 0.702  0.987 0.682  1.154 0.662
1b#apb#apb32#app3252/U  -0.793 1.038  -0.848 1.062  -0.892 0.961  -0.908 0.851  -0.909 0.741  -0.909 0.630  -0.907 0.519  -0.894 0.409  -0.881 0.298  -0.863 0.189  -0.827 0.084  -0.790 -0.020  -0.752 -0.125  -0.706 -0.226  -0.660 -0.327  -0.614 -0.428  -0.568 -0.529  -0.517 -0.627  -0.466 -0.725  -0.414 -0.823  -0.342 -0.904  -0.251 -0.967  -0.156 -1.024  -0.054 -1.069  0.053 -1.075  0.164 -1.064  0.251 -0.998  0.337 -0.927  0.417 -0.851  0.492 -0.769  0.562 -0.684  0.603 -0.581  0.644 -0.478  0.681 -0.373  0.709 -0.266  0.737 -0.159  0.766 -0.051  0.777 0.059  0.787 0.169  0.797 0.280  0.806 0.391  0.795 0.501  0.785 0.611  0.774 0.722  0.755 0.831  0.722 0.936  0.688 1.042  0.651 1.147  0.610 1.250  0.556 1.346
1b#apb#apb32#app3252/V  -0.863 1.039  -0.840 1.118  -0.839 1.109  -0.840 1.040  -0.821 0.912  -0.781 0.787  -0.747 0.660  -0.708 0.535  -0.660 0.413  -0.609 0.292  -0.556 0.173  -0.505 0.052  -0.454 -0.069  -0.400 -0.188  -0.336 -0.303  -0.275 -0.418  -0.216 -0.536  -0.158 -0.653  -0.102 -0.772  -0.056 -0.894  -0.008 -1.016  0.051 -1.131  0.051 -1.262  0.118 -1.371  0.141 -1.445  0.231 -1.437  0.262 -1.325  0.274 -1.195  0.279 -1.065  0.265 -0.934  0.262 -0.803  0.262 -0.672  0.262 -0.541  0.273 -0.411  0.288 -0.281  0.304 -0.150  0.314 -0.020  0.321 0.111  0.329 0.242  0.358 0.369  0.400 0.493  0.435 0.619  0.458 0.748  0.493 0.874  0.546 0.993  0.602 1.112  0.670 1.224  0.738 1.335  0.848 1.366  0.941 1.273
1b#apb#apb32#app3252/W  -1.005 0.634  -1.020 0.789  -1.005 0.821  -0.998 0.784  -0.975 0.724  -0.970 0.713  -0.949 0.692  -0.964 0.711  -0.945 0.679  -0.953 0.700  -0.909 0.668  -0.852 0.524  -0.807 0.369  -0.719 0.236  -0.673 0.091  -0.599 -0.058  -0.540 -0.213  -0.475 -0.361  -0.465 -0.523  -0.450 -0.688  -0.393 -0.830  -0.343 -0.842  -0.277 -0.689  -0.258 -0.526  -0.240 -0.362  -0.238 -0.196  -0.197 -0.035  -0.119 0.079  0.037 0.072  0.137 -0.059  0.226 -0.199  0.327 -0.331  0.430 -0.462  0.550 -0.576  0.670 -0.691  0.778 -0.815  0.885 -0.941  1.021 -0.978  1.064 -0.818  1.097 -0.655  1.111 -0.490  1.111 -0.323  1.111 -0.157  1.111 0.010  1.111 0.176  1.111 0.343  1.098 0.509  1.081 0.674  1.100 0.839  1.171 0.979
1b#apb#apb32#app3252/X  -1.229 0.784  -1.298 0.959  -1.198 0.891  -1.103 0.732  -0.990 0.581  -0.877 0.430  -0.764 0.279  -0.646 0.132  -0.526 -0.014  -0.405 -0.159  -0.283 -0.303  -0.158 -0.444  -0.032 -0.585  0.105 -0.714  0.245 -0.841  0.404 -0.942  0.552 -1.055  0.686 -1.185  0.812 -1.318  0.853 -1.404  0.746 -1.310  0.718 -1.123  0.691 -0.936  0.663 -0.749  0.635 -0.563  0.608 -0.376  0.580 -0.189  0.553 -0.002  0.525 0.184  0.497 0.371  0.470 0.558  0.442 0.745  0.415 0.931  0.387 1.118  0.359 1.305  0.337 1.468  0.362 1.281  0.308 1.100  0.230 0.930  0.137 0.765  0.043 0.602  -0.057 0.442  -0.157 0.282  -0.249 0.117  -0.337 -0.050  -0.427 -0.216  -0.523 -0.379  -0.618 -0.542  -0.704 -0.710  -0.782 -0.882
1b#apb#apb32#app3252/Y  -1.222 0.635  -1.300 0.703  -1.228 0.611  -1.156 0.474  -1.069 0.347  -0.967 0.230  -0.870 0.109  -0.771 -0.009  -0.661 -0.119  -0.548 -0.224  -0.424 -0.317  -0.302 -0.412  -0.170 -0.481  -0.015 -0.481  0.099 -0.383  0.190 -0.258  0.273 -0.127  0.343 0.011  0.413 0.149  0.473 0.292  0.522 0.439  0.569 0.586  0.609 0.736  0.654 0.884  0.743 1.011  0.810 1.147  0.873 1.280  0.914 1.232  0.843 1.095  0.800 0.946  0.751 0.800  0.686 0.659  0.619 0.519  0.550 0.381  0.481 0.242  0.399 0.110  0.316 -0.021  0.234 -0.152  0.159 -0.288  0.087 -0.425  0.016 -0.563  -0.056 -0.700  -0.128 -0.837  -0.200 -0.974  -0.271 -1.112  -0.336 -1.253  -0.402 -1.393  -0.428 -1.546  -0.449 -1.699  -0.449 -1.854
1b#apb#apb32#app3252/Z  -0.925 0.756  -1.064 0.924  -0.906 1.017  -0.686 1.082  -0.463 1.134  -0.243 1.197  -0.020 1.235  0.209 1.237  0.437 1.254  0.666 1.257  0.890 1.247  0.889 1.035  0.720 0.884  0.561 0.721  0.413 0.547  0.251 0.385  0.064 0.253  -0.121 0.120  -0.276 -0.049  -0.446 -0.201  -0.626 -0.343  -0.782 -0.511  -0.948 -0.667  -0.970 -0.850  -0.770 -0.891  -0.547 -0.870  -0.321 -0.895  -0.093 -0.866  0.135 -0.848  0.363 -0.835  0.588 -0.790  0.815 -0.769  1.044 -0.769  1.272 -0.784  1.318 -0.785  1.099 -0.718  0.881 -0.650  0.662 -0.583  0.443 -0.515  0.224 -0.448  0.005 -0.380  -0.214 -0.313  -0.433 -0.245  -0.652 -0.178  -0.870 -0.110  -0.770 -0.050  -0.542 -0.062  -0.315 -0.091  -0.086 -0.104  0.143 -0.115
