3#apa#apa15#app1520/!  0.155 1.573  0.083 1.573  0.010 1.573  -0.009 1.520  -0.009 1.447  -0.009 1.375  -0.009 1.303  -0.009 1.230  -0.009 1.158  -0.009 1.085  -0.009 1.013  -0.009 0.941  -0.009 0.868  -0.009 0.796  -0.009 0.723  -0.009 0.651  -0.009 0.579  -0.009 0.506  -0.009 0.434  -0.009 0.362  -0.009 0.289  -0.009 0.217  -0.009 0.144  0.008 0.079  0.059 0.028  0.110 -0.024  0.153 -0.077  0.139 -0.148  0.125 -0.219  0.111 -0.290  0.096 -0.361  0.082 -0.432  0.068 -0.503  0.054 -0.574  0.040 -0.645  0.025 -0.716  0.011 -0.787  -0.003 -0.858  -0.017 -0.929  -0.031 -1.000  -0.046 -1.071  -0.060 -1.142  -0.074 -1.213  -0.088 -1.284  -0.102 -1.355  -0.117 -1.426  -0.131 -1.497  -0.145 -1.568  -0.159 -1.639  -0.173 -1.710
3#apa#apa15#app1520/~  -1.291 -0.852  -1.291 -0.739  -1.291 -0.626  -1.291 -0.513  -1.270 -0.406  -1.220 -0.305  -1.169 -0.204  -1.119 -0.103  -1.056 -0.010  -0.976 0.069  -0.896 0.149  -0.887 0.258  -0.880 0.368  -0.800 0.448  -0.720 0.528  -0.640 0.608  -0.560 0.687  -0.479 0.765  -0.367 0.765  -0.254 0.765  -0.141 0.765  -0.028 0.765  0.085 0.765  0.123 0.690  0.123 0.577  0.123 0.464  0.130 0.354  0.210 0.274  0.289 0.194  0.325 0.096  0.325 -0.016  0.325 -0.129  0.325 -0.242  0.325 -0.355  0.340 -0.462  0.419 -0.542  0.499 -0.622  0.601 -0.650  0.713 -0.650  0.798 -0.582  0.878 -0.502  0.968 -0.448  1.081 -0.448  1.176 -0.405  1.256 -0.325  1.336 -0.246  1.387 -0.145  1.437 -0.044  1.488 0.057  1.538 0.158
3#apa#apa15#app1520/  1.698 0.000  1.628 0.000  1.559 0.000  1.490 0.000  1.421 0.000  1.351 0.000  1.282 0.000  1.213 0.000  1.143 0.000  1.074 0.000  1.005 0.000  0.936 0.000  0.866 0.000  0.797 0.000  0.728 0.000  0.658 0.000  0.589 0.000  0.520 0.000  0.450 0.000  0.381 0.000  0.312 0.000  0.243 0.000  0.173 0.000  0.104 0.000  0.035 0.000  -0.035 0.000  -0.104 0.000  -0.173 0.000  -0.243 0.000  -0.312 0.000  -0.381 0.000  -0.450 0.000  -0.520 0.000  -0.589 0.000  -0.658 0.000  -0.728 0.000  -0.797 0.000  -0.866 0.000  -0.936 0.000  -1.005 0.000  -1.074 0.000  -1.143 0.000  -1.213 0.000  -1.282 0.000  -1.351 0.000  -1.421 0.000  -1.490 0.000  -1.559 0.000  -1.628 0.000  -1.698 0.000
3#apa#apa15#app1520/_  1.434 -0.020  1.434 0.052  1.434 0.124  1.434 0.195  1.404 0.193  1.353 0.143  1.303 0.092  1.252 0.041  1.201 -0.009  1.134 -0.020  1.062 -0.020  0.991 -0.020  0.919 -0.020  0.847 -0.020  0.776 -0.020  0.704 -0.020  0.633 -0.020  0.561 -0.020  0.489 -0.020  0.418 -0.020  0.346 -0.020  0.274 -0.020  0.203 -0.020  0.131 -0.020  0.059 -0.020  -0.012 -0.020  -0.084 -0.020  -0.156 -0.020  -0.227 -0.020  -0.299 -0.020  -0.370 -0.020  -0.442 -0.020  -0.514 -0.020  -0.585 -0.020  -0.657 -0.020  -0.729 -0.020  -0.800 -0.020  -0.872 -0.020  -0.944 -0.020  -1.015 -0.020  -1.087 -0.020  -1.158 -0.020  -1.230 -0.020  -1.302 -0.020  -1.373 -0.020  -1.445 -0.020  -1.517 -0.020  -1.588 -0.020  -1.660 -0.020  -1.732 -0.020
3#apa#apa15#app1520/+  -0.613 1.058  -0.613 0.897  -0.613 0.736  -0.613 0.576  -0.585 0.420  -0.534 0.268  -0.483 0.115  -0.432 -0.037  -0.382 -0.189  -0.331 -0.341  -0.280 -0.494  -0.229 -0.646  -0.179 -0.798  -0.128 -0.951  -0.077 -1.103  0.043 -1.159  0.204 -1.159  0.364 -1.159  0.511 -1.134  0.593 -0.996  0.676 -0.859  0.758 -0.721  0.841 -0.583  0.923 -0.446  1.006 -0.308  1.089 -0.170  1.171 -0.033  1.254 0.105  1.308 0.226  1.147 0.226  0.987 0.226  0.826 0.226  0.773 0.333  0.773 0.494  0.622 0.503  0.461 0.503  0.301 0.503  0.140 0.503  -0.020 0.503  -0.181 0.503  -0.341 0.503  -0.502 0.503  -0.662 0.503  -0.823 0.503  -0.984 0.503  -1.144 0.503  -1.290 0.442  -1.434 0.370  -1.577 0.298  -1.721 0.226
3#apa#apa15#app1520/=  1.619 -1.032  1.514 -0.927  1.410 -0.823  1.305 -0.718  1.200 -0.613  1.096 -0.509  0.960 -0.480  0.811 -0.480  0.663 -0.480  0.515 -0.480  0.367 -0.480  0.219 -0.480  0.071 -0.480  -0.077 -0.480  -0.225 -0.480  -0.373 -0.480  -0.521 -0.480  -0.669 -0.480  -0.817 -0.480  -0.965 -0.480  -1.113 -0.480  -1.261 -0.480  -1.409 -0.480  -1.303 -0.407  -1.177 -0.328  -1.052 -0.250  -0.926 -0.171  -0.801 -0.093  -0.675 -0.014  -0.550 0.064  -0.424 0.143  -0.298 0.221  -0.173 0.300  -0.047 0.378  0.078 0.457  0.204 0.535  0.329 0.614  0.455 0.692  0.581 0.770  0.706 0.849  0.742 0.902  0.594 0.902  0.445 0.902  0.297 0.902  0.149 0.902  0.001 0.902  -0.147 0.902  -0.295 0.902  -0.443 0.902  -0.591 0.902
3#apa#apa15#app1520/[  0.911 0.934  0.911 1.028  0.860 1.071  0.766 1.071  0.672 1.071  0.578 1.071  0.484 1.071  0.390 1.071  0.297 1.071  0.203 1.071  0.109 1.071  0.015 1.071  -0.079 1.071  -0.173 1.071  -0.242 1.011  -0.308 0.945  -0.319 0.856  -0.319 0.762  -0.319 0.668  -0.319 0.574  -0.319 0.480  -0.319 0.386  -0.319 0.292  -0.319 0.199  -0.319 0.105  -0.319 0.011  -0.319 -0.083  -0.319 -0.177  -0.319 -0.271  -0.319 -0.365  -0.319 -0.459  -0.319 -0.552  -0.319 -0.646  -0.319 -0.740  -0.319 -0.834  -0.319 -0.928  -0.319 -1.022  -0.319 -1.116  -0.319 -1.209  -0.269 -1.253  -0.176 -1.250  -0.092 -1.208  -0.008 -1.166  0.076 -1.124  0.168 -1.116  0.262 -1.116  0.356 -1.116  0.450 -1.116  0.544 -1.116  0.637 -1.116
3#apa#apa15#app1520/]  -0.778 0.900  -0.778 0.990  -0.774 1.075  -0.684 1.075  -0.594 1.075  -0.504 1.075  -0.414 1.075  -0.324 1.075  -0.234 1.075  -0.144 1.075  -0.054 1.075  0.036 1.075  0.126 1.075  0.216 1.075  0.272 1.042  0.272 0.952  0.272 0.862  0.272 0.772  0.272 0.682  0.272 0.592  0.272 0.502  0.272 0.412  0.272 0.322  0.272 0.232  0.272 0.142  0.272 0.052  0.272 -0.038  0.272 -0.127  0.272 -0.217  0.272 -0.307  0.272 -0.397  0.272 -0.487  0.272 -0.577  0.272 -0.667  0.272 -0.757  0.272 -0.847  0.272 -0.937  0.272 -1.027  0.272 -1.117  0.268 -1.202  0.178 -1.202  0.088 -1.202  -0.002 -1.202  -0.091 -1.206  -0.177 -1.235  -0.262 -1.263  -0.347 -1.292  -0.433 -1.320  -0.518 -1.349  -0.603 -1.377
3#apa#apa15#app1520/{  0.595 1.532  0.496 1.532  0.396 1.532  0.312 1.496  0.242 1.426  0.171 1.355  0.101 1.285  0.002 1.285  -0.056 1.218  -0.101 1.129  -0.145 1.040  -0.146 0.941  -0.146 0.841  -0.111 0.756  -0.041 0.686  0.029 0.616  0.100 0.545  0.101 0.446  0.101 0.347  0.052 0.297  -0.022 0.272  -0.021 0.173  0.078 0.173  0.101 0.097  0.049 0.050  -0.022 0.022  -0.022 -0.078  -0.022 -0.177  -0.022 -0.277  0.017 -0.360  0.087 -0.430  0.022 -0.444  -0.022 -0.500  -0.050 -0.582  -0.139 -0.626  -0.228 -0.671  -0.307 -0.729  -0.377 -0.799  -0.393 -0.892  -0.393 -0.992  -0.372 -1.083  -0.302 -1.153  -0.232 -1.223  -0.162 -1.294  -0.077 -1.344  0.012 -1.388  0.101 -1.433  0.171 -1.503  0.249 -1.556  0.348 -1.556
3#apa#apa15#app1520/}  -0.368 1.219  -0.368 1.317  -0.303 1.350  -0.205 1.350  -0.107 1.350  -0.009 1.350  0.026 1.288  0.056 1.219  0.154 1.219  0.252 1.219  0.289 1.158  0.289 1.060  0.289 0.962  0.225 0.891  0.156 0.821  0.112 0.733  0.068 0.645  0.026 0.557  0.026 0.459  -0.022 0.381  -0.091 0.312  -0.105 0.220  -0.105 0.121  -0.097 0.027  -0.027 -0.042  0.049 -0.096  0.147 -0.096  0.158 -0.183  0.104 -0.227  0.012 -0.242  -0.057 -0.311  -0.135 -0.359  -0.233 -0.359  -0.236 -0.454  -0.193 -0.534  -0.124 -0.603  -0.105 -0.694  -0.105 -0.792  -0.105 -0.890  -0.105 -0.988  -0.056 -1.065  0.014 -1.135  0.026 -1.228  0.059 -1.312  0.129 -1.381  0.158 -1.467  0.158 -1.565  0.158 -1.663  0.096 -1.736  0.026 -1.805
3#apa#apa15#app1520/\\  -0.715 1.194  -0.788 1.194  -0.860 1.194  -0.882 1.194  -0.809 1.194  -0.737 1.194  -0.679 1.158  -0.627 1.107  -0.576 1.055  -0.524 1.004  -0.491 0.939  -0.458 0.874  -0.426 0.809  -0.393 0.744  -0.361 0.679  -0.328 0.614  -0.296 0.549  -0.263 0.484  -0.231 0.419  -0.198 0.353  -0.165 0.288  -0.132 0.224  -0.088 0.166  -0.044 0.108  -0.001 0.049  0.043 -0.009  0.087 -0.067  0.130 -0.125  0.174 -0.184  0.218 -0.242  0.261 -0.300  0.305 -0.358  0.349 -0.417  0.392 -0.475  0.436 -0.533  0.442 -0.604  0.442 -0.676  0.442 -0.749  0.442 -0.822  0.442 -0.895  0.465 -0.961  0.505 -1.021  0.546 -1.082  0.586 -1.143  0.626 -1.203  0.667 -1.264  0.707 -1.324  0.747 -1.385  0.788 -1.445  0.828 -1.506
3#apa#apa15#app1520/,  0.560 1.526  0.509 1.475  0.458 1.424  0.407 1.374  0.357 1.323  0.306 1.272  0.255 1.221  0.205 1.171  0.154 1.120  0.103 1.069  0.052 1.019  0.002 0.968  -0.049 0.917  -0.090 0.862  -0.090 0.790  -0.090 0.719  -0.090 0.647  -0.090 0.575  -0.090 0.503  -0.090 0.432  -0.090 0.360  -0.090 0.288  -0.090 0.216  -0.090 0.145  -0.090 0.073  -0.090 0.001  -0.090 -0.070  -0.090 -0.142  -0.090 -0.214  -0.090 -0.286  -0.090 -0.357  -0.090 -0.429  -0.090 -0.501  -0.090 -0.573  -0.090 -0.644  -0.090 -0.716  -0.090 -0.788  -0.090 -0.860  -0.090 -0.931  -0.090 -1.003  -0.090 -1.075  -0.090 -1.147  -0.090 -1.218  -0.090 -1.290  -0.090 -1.362  -0.090 -1.434  -0.090 -1.505  -0.090 -1.577  -0.090 -1.649  -0.090 -1.720
3#apa#apa15#app1520/  0.937 0.970  0.937 1.042  0.937 1.114  0.914 1.163  0.842 1.163  0.770 1.163  0.712 1.130  0.661 1.079  0.610 1.028  0.559 0.977  0.508 0.926  0.458 0.875  0.407 0.825  0.357 0.773  0.317 0.713  0.277 0.653  0.237 0.593  0.197 0.533  0.157 0.474  0.117 0.414  0.077 0.354  0.037 0.294  -0.003 0.234  -0.039 0.172  -0.072 0.108  -0.104 0.044  -0.136 -0.021  -0.168 -0.085  -0.200 -0.149  -0.228 -0.216  -0.251 -0.284  -0.274 -0.352  -0.297 -0.420  -0.319 -0.489  -0.342 -0.557  -0.365 -0.625  -0.388 -0.693  -0.410 -0.762  -0.442 -0.826  -0.474 -0.890  -0.507 -0.955  -0.539 -1.019  -0.571 -1.084  -0.603 -1.148  -0.635 -1.212  -0.668 -1.277  -0.700 -1.341  -0.732 -1.405  -0.764 -1.470  -0.796 -1.534
3#apa#apa15#app1520/?  -0.456 1.021  -0.456 1.113  -0.423 1.173  -0.331 1.173  -0.245 1.144  -0.163 1.103  -0.080 1.061  0.003 1.021  0.095 1.021  0.188 1.021  0.280 1.021  0.353 0.973  0.419 0.908  0.484 0.843  0.549 0.777  0.604 0.716  0.512 0.716  0.458 0.677  0.458 0.585  0.458 0.492  0.448 0.406  0.365 0.365  0.283 0.324  0.200 0.282  0.113 0.259  0.020 0.259  0.001 0.186  0.001 0.093  0.001 0.001  0.001 -0.092  0.001 -0.184  0.001 -0.277  -0.004 -0.368  -0.031 -0.457  -0.057 -0.545  -0.084 -0.634  -0.111 -0.723  -0.137 -0.811  -0.164 -0.900  -0.190 -0.988  -0.217 -1.077  -0.243 -1.166  -0.270 -1.254  -0.297 -1.343  -0.323 -1.431  -0.350 -1.520  -0.376 -1.609  -0.403 -1.697  -0.430 -1.786  -0.456 -1.874
3#apa#apa15#app1520/'  1.118 0.911  1.035 0.911  0.952 0.911  0.869 0.911  0.786 0.911  0.704 0.911  0.621 0.911  0.538 0.911  0.455 0.911  0.373 0.911  0.290 0.911  0.207 0.911  0.124 0.911  0.041 0.911  -0.041 0.911  -0.124 0.911  -0.207 0.911  -0.235 0.855  -0.235 0.773  -0.235 0.690  -0.235 0.607  -0.235 0.524  -0.235 0.442  -0.235 0.359  -0.235 0.276  -0.235 0.193  -0.235 0.110  -0.235 0.028  -0.235 -0.055  -0.235 -0.138  -0.235 -0.221  -0.235 -0.304  -0.235 -0.386  -0.235 -0.469  -0.235 -0.552  -0.235 -0.635  -0.235 -0.717  -0.235 -0.800  -0.235 -0.883  -0.235 -0.966  -0.235 -1.049  -0.235 -1.131  -0.235 -1.214  -0.235 -1.297  -0.235 -1.380  -0.235 -1.463  -0.235 -1.545  -0.235 -1.628  -0.235 -1.711  -0.235 -1.794
3#apa#apa15#app1520/\"  -0.715 1.173  -0.715 1.035  -0.715 0.896  -0.715 0.757  -0.715 0.618  -0.715 0.479  -0.715 0.340  -0.715 0.201  -0.715 0.063  -0.715 -0.076  -0.715 -0.215  -0.715 -0.354  -0.715 -0.493  -0.715 -0.632  -0.715 -0.771  -0.715 -0.909  -0.715 -1.048  -0.715 -1.187  -0.659 -1.270  -0.521 -1.270  -0.382 -1.270  -0.279 -1.211  -0.217 -1.087  -0.155 -0.963  -0.093 -0.839  -0.031 -0.715  0.032 -0.590  0.094 -0.466  0.156 -0.342  0.218 -0.218  0.280 -0.094  0.342 0.031  0.404 0.155  0.466 0.279  0.528 0.403  0.590 0.527  0.652 0.652  0.715 0.776  0.777 0.900  0.839 1.024  0.901 1.148  0.913 1.063  0.913 0.924  0.913 0.785  0.913 0.646  0.913 0.507  0.913 0.368  0.913 0.229  0.913 0.091  0.913 -0.048
3#apa#apa15#app1520/<  0.818 1.543  0.818 1.437  0.818 1.332  0.728 1.282  0.633 1.235  0.539 1.187  0.444 1.140  0.358 1.082  0.283 1.008  0.208 0.933  0.134 0.859  0.059 0.784  -0.015 0.709  -0.090 0.635  -0.165 0.560  -0.239 0.486  -0.314 0.411  -0.388 0.336  -0.463 0.262  -0.538 0.187  -0.612 0.113  -0.687 0.038  -0.790 0.032  -0.896 0.032  -0.908 -0.060  -0.908 -0.166  -0.820 -0.183  -0.715 -0.183  -0.693 -0.267  -0.693 -0.372  -0.614 -0.399  -0.508 -0.399  -0.403 -0.399  -0.297 -0.399  -0.212 -0.448  -0.137 -0.523  -0.063 -0.597  0.012 -0.672  0.086 -0.747  0.161 -0.821  0.263 -0.831  0.368 -0.831  0.448 -0.892  0.523 -0.967  0.597 -1.042  0.672 -1.116  0.746 -1.191  0.818 -1.267  0.818 -1.372  0.818 -1.478
3#apa#apa15#app1520/|  0.026 1.515  -0.047 1.515  -0.119 1.515  -0.167 1.490  -0.167 1.418  -0.167 1.346  -0.167 1.273  -0.167 1.201  -0.166 1.129  -0.115 1.078  -0.064 1.027  -0.013 0.976  0.026 0.920  0.026 0.847  0.026 0.775  0.026 0.703  0.026 0.631  0.026 0.558  0.026 0.486  0.026 0.414  0.026 0.342  0.026 0.269  0.026 0.197  0.026 0.125  0.026 0.053  0.026 -0.020  0.026 -0.092  0.026 -0.164  0.026 -0.236  0.026 -0.309  0.026 -0.381  0.026 -0.453  0.026 -0.525  0.026 -0.597  0.026 -0.670  0.026 -0.742  0.026 -0.814  0.026 -0.886  0.026 -0.959  0.026 -1.031  0.026 -1.103  0.026 -1.175  0.026 -1.248  0.026 -1.320  0.026 -1.392  0.026 -1.464  0.026 -1.537  0.073 -1.561  0.146 -1.561  0.218 -1.561
3#apa#apa15#app1520/>  -1.203 1.164  -1.132 1.093  -1.061 1.022  -0.989 0.950  -0.902 0.919  -0.801 0.919  -0.701 0.913  -0.611 0.868  -0.521 0.823  -0.431 0.778  -0.341 0.733  -0.250 0.688  -0.157 0.652  -0.061 0.620  0.035 0.588  0.130 0.556  0.226 0.524  0.322 0.492  0.417 0.460  0.513 0.429  0.614 0.428  0.714 0.428  0.799 0.389  0.870 0.318  0.942 0.247  0.998 0.175  0.927 0.104  0.856 0.033  0.785 -0.039  0.713 -0.110  0.642 -0.181  0.571 -0.252  0.499 -0.324  0.428 -0.395  0.357 -0.466  0.286 -0.537  0.214 -0.609  0.143 -0.680  0.072 -0.751  0.001 -0.823  -0.071 -0.894  -0.142 -0.965  -0.213 -1.036  -0.285 -1.108  -0.356 -1.179  -0.427 -1.250  -0.498 -1.322  -0.570 -1.393  -0.641 -1.464  -0.712 -1.535
