1b#apa#apa15#app1510/Q  0.044 0.456  0.044 0.692  0.044 0.927  -0.181 0.938  -0.355 0.821  -0.485 0.625  -0.608 0.426  -0.683 0.202  -0.757 -0.021  -0.832 -0.245  -0.906 -0.468  -0.981 -0.692  -1.055 -0.915  -1.080 -1.147  -1.009 -1.296  -0.778 -1.249  -0.547 -1.203  -0.316 -1.157  -0.109 -1.048  0.093 -0.927  0.295 -0.806  0.497 -0.685  0.638 -0.499  0.769 -0.303  0.889 -0.101  0.995 0.110  1.100 0.320  1.130 0.531  1.025 0.742  0.869 0.916  0.642 0.938  0.406 0.938  0.171 0.938  -0.065 0.938  -0.287 0.869  -0.506 0.782  -0.725 0.694  -0.894 0.609  -0.668 0.545  -0.441 0.480  -0.215 0.415  0.012 0.351  0.205 0.260  0.254 0.036  0.359 -0.174  0.488 -0.371  0.619 -0.567  0.767 -0.749  0.957 -0.883  1.168 -0.989
1b#apa#apa15#app1510/O  -0.050 0.916  -0.213 0.916  -0.261 1.030  -0.327 1.126  -0.458 1.112  -0.343 0.998  -0.214 0.916  -0.052 0.916  0.039 0.781  0.129 0.646  0.219 0.511  0.309 0.376  0.414 0.255  0.549 0.165  0.685 0.075  0.820 -0.015  0.955 -0.105  1.002 -0.243  1.002 -0.405  1.002 -0.568  1.002 -0.731  1.002 -0.893  1.002 -1.056  0.972 -1.188  0.809 -1.188  0.647 -1.188  0.484 -1.188  0.327 -1.166  0.181 -1.094  0.036 -1.021  -0.103 -0.938  -0.233 -0.841  -0.363 -0.743  -0.493 -0.646  -0.623 -0.548  -0.753 -0.451  -0.883 -0.353  -0.940 -0.203  -0.991 -0.049  -1.042 0.105  -1.094 0.260  -1.006 0.381  -0.891 0.496  -0.776 0.611  -0.652 0.705  -0.490 0.705  -0.327 0.705  -0.165 0.705  -0.002 0.705  0.160 0.705
1b#apa#apa15#app1510/T  -0.134 0.051  -0.269 0.051  -0.246 -0.063  -0.203 -0.191  -0.160 -0.320  -0.134 -0.451  -0.134 -0.586  -0.134 -0.722  -0.129 -0.855  -0.033 -0.950  0.017 -1.065  0.017 -1.201  0.017 -1.336  0.031 -1.436  0.127 -1.340  0.197 -1.228  0.249 -1.103  0.301 -0.978  0.353 -0.853  0.405 -0.728  0.457 -0.603  0.510 -0.478  0.562 -0.353  0.614 -0.228  0.666 -0.103  0.718 0.022  0.770 0.147  0.822 0.272  0.874 0.396  0.918 0.523  0.912 0.654  0.783 0.697  0.655 0.740  0.527 0.782  0.395 0.802  0.259 0.802  0.124 0.802  -0.011 0.802  -0.147 0.802  -0.282 0.802  -0.417 0.802  -0.553 0.802  -0.688 0.802  -0.823 0.802  -0.959 0.802  -1.094 0.802  -1.229 0.802  -1.365 0.802  -1.500 0.802  -1.635 0.802
1b#apa#apa15#app1510/H  -0.918 1.140  -0.820 0.944  -0.722 0.747  -0.718 0.529  -0.718 0.309  -0.718 0.089  -0.718 -0.130  -0.734 -0.348  -0.778 -0.563  -0.821 -0.779  -0.864 -0.994  -0.907 -1.209  -0.918 -1.428  -0.791 -1.340  -0.672 -1.160  -0.585 -0.958  -0.499 -0.756  -0.412 -0.554  -0.326 -0.352  -0.239 -0.151  -0.153 0.051  -0.066 0.253  0.020 0.455  0.107 0.657  0.193 0.859  0.280 1.061  0.366 1.262  0.453 1.464  0.547 1.420  0.645 1.223  0.686 1.014  0.686 0.794  0.686 0.574  0.686 0.355  0.686 0.135  0.686 -0.084  0.686 -0.304  0.728 -0.506  0.884 -0.662  1.039 -0.817  1.088 -0.715  1.088 -0.495  0.930 -0.360  0.748 -0.238  0.565 -0.116  0.361 -0.063  0.142 -0.063  -0.078 -0.063  -0.297 -0.063  -0.517 -0.063
1b#apa#apa15#app1510/O  -0.260 0.780  -0.260 0.920  -0.203 1.003  -0.063 1.003  0.044 0.923  0.142 0.824  0.256 0.745  0.381 0.683  0.506 0.620  0.631 0.558  0.709 0.442  0.786 0.325  0.864 0.209  0.941 0.093  1.019 -0.024  1.077 -0.146  1.077 -0.286  1.077 -0.426  1.077 -0.565  1.077 -0.705  1.019 -0.809  0.894 -0.871  0.769 -0.934  0.644 -0.996  0.509 -0.972  0.374 -0.938  0.238 -0.904  0.102 -0.870  -0.033 -0.836  -0.169 -0.802  -0.301 -0.759  -0.426 -0.696  -0.551 -0.634  -0.676 -0.571  -0.781 -0.481  -0.880 -0.382  -0.979 -0.283  -1.078 -0.184  -1.151 -0.075  -1.151 0.065  -1.151 0.205  -1.142 0.339  -1.017 0.401  -0.892 0.464  -0.767 0.526  -0.655 0.607  -0.556 0.706  -0.457 0.805  -0.358 0.904  -0.260 1.003
1b#apa#apa15#app1510/W  -1.250 0.719  -1.156 0.624  -1.081 0.521  -1.081 0.387  -1.081 0.253  -1.081 0.119  -1.081 -0.015  -1.081 -0.149  -1.081 -0.283  -1.081 -0.417  -1.081 -0.551  -1.033 -0.618  -0.906 -0.576  -0.779 -0.533  -0.652 -0.491  -0.538 -0.428  -0.443 -0.334  -0.348 -0.239  -0.253 -0.144  -0.236 -0.018  -0.236 0.116  -0.236 0.173  -0.236 0.039  -0.236 -0.095  -0.236 -0.229  -0.206 -0.356  -0.146 -0.476  -0.086 -0.596  0.020 -0.605  0.147 -0.563  0.274 -0.520  0.401 -0.478  0.533 -0.465  0.667 -0.465  0.791 -0.447  0.865 -0.335  0.939 -0.224  1.014 -0.112  1.088 -0.001  1.143 0.120  1.185 0.247  1.228 0.374  1.270 0.501  1.286 0.633  1.252 0.753  1.158 0.847  1.063 0.942  0.968 1.037  0.874 1.131  0.779 1.226
1b#apa#apa15#app1510/T  0.094 0.241  -0.065 0.241  -0.219 0.235  -0.219 0.076  -0.219 -0.083  -0.219 -0.242  -0.224 -0.400  -0.274 -0.551  -0.325 -0.702  -0.375 -0.853  -0.375 -1.012  -0.375 -1.171  -0.375 -1.330  -0.364 -1.479  -0.212 -1.467  -0.130 -1.330  -0.048 -1.194  0.034 -1.057  0.116 -0.921  0.198 -0.785  0.279 -0.648  0.361 -0.512  0.443 -0.375  0.525 -0.239  0.607 -0.102  0.689 0.034  0.771 0.170  0.852 0.307  0.934 0.443  1.016 0.580  1.098 0.716  1.180 0.853  1.049 0.831  0.894 0.793  0.740 0.754  0.586 0.715  0.427 0.710  0.268 0.710  0.109 0.710  -0.050 0.710  -0.209 0.710  -0.368 0.710  -0.527 0.710  -0.686 0.710  -0.845 0.709  -1.001 0.678  -1.157 0.647  -1.313 0.616  -1.469 0.585  -1.625 0.553
1b#apa#apa15#app1510/O  -0.069 1.149  0.043 1.093  0.156 1.036  0.268 0.980  0.377 0.919  0.433 0.807  0.490 0.694  0.546 0.582  0.602 0.469  0.659 0.356  0.715 0.244  0.771 0.131  0.815 0.015  0.815 -0.111  0.815 -0.236  0.815 -0.362  0.815 -0.488  0.815 -0.614  0.815 -0.740  0.815 -0.866  0.815 -0.992  0.759 -1.062  0.633 -1.062  0.510 -1.041  0.388 -1.011  0.265 -0.980  0.143 -0.949  0.021 -0.919  -0.101 -0.888  -0.223 -0.858  -0.322 -0.794  -0.392 -0.689  -0.462 -0.584  -0.531 -0.480  -0.601 -0.375  -0.671 -0.270  -0.739 -0.164  -0.796 -0.052  -0.852 0.061  -0.908 0.174  -0.954 0.289  -0.954 0.415  -0.954 0.541  -0.954 0.667  -0.954 0.793  -0.954 0.918  -0.850 0.980  -0.737 1.036  -0.624 1.093  -0.512 1.149
1b#apa#apa15#app1510/W  -0.928 0.881  -0.983 0.770  -1.038 0.660  -1.071 0.544  -1.071 0.420  -1.071 0.297  -1.071 0.173  -1.071 0.050  -1.071 -0.074  -1.071 -0.198  -1.071 -0.321  -1.071 -0.445  -1.054 -0.558  -0.943 -0.613  -0.833 -0.668  -0.715 -0.692  -0.606 -0.657  -0.518 -0.569  -0.431 -0.482  -0.346 -0.392  -0.278 -0.290  -0.209 -0.187  -0.141 -0.084  -0.072 0.019  -0.070 0.142  -0.070 0.066  -0.070 -0.057  -0.070 -0.181  -0.040 -0.292  0.047 -0.380  0.160 -0.406  0.283 -0.406  0.407 -0.406  0.530 -0.406  0.653 -0.402  0.755 -0.333  0.858 -0.265  0.961 -0.196  1.064 -0.127  1.153 -0.042  1.218 0.055  1.218 0.178  1.218 0.302  1.218 0.425  1.218 0.549  1.218 0.673  1.218 0.796  1.218 0.920  1.218 1.043  1.218 1.167
1b#apa#apa15#app1510/A  -0.693 -1.106  -0.853 -1.106  -0.924 -1.016  -0.924 -0.856  -0.924 -0.695  -0.889 -0.540  -0.838 -0.388  -0.788 -0.236  -0.737 -0.084  -0.693 0.069  -0.693 0.230  -0.693 0.390  -0.693 0.551  -0.693 0.711  -0.693 0.871  -0.651 1.014  -0.538 1.128  -0.409 1.204  -0.248 1.204  -0.088 1.204  0.051 1.153  0.165 1.039  0.268 0.917  0.357 0.784  0.446 0.650  0.535 0.517  0.624 0.384  0.713 0.250  0.802 0.117  0.891 -0.017  0.980 -0.150  1.069 -0.284  1.159 -0.417  1.272 -0.530  1.386 -0.643  1.273 -0.531  1.160 -0.418  1.001 -0.413  0.841 -0.413  0.680 -0.413  0.520 -0.413  0.360 -0.413  0.199 -0.413  0.039 -0.413  -0.122 -0.413  -0.282 -0.413  -0.442 -0.413  -0.603 -0.413  -0.763 -0.413  -0.924 -0.413
1b#apa#apa15#app1510/L  -0.119 1.586  -0.215 1.586  -0.303 1.578  -0.303 1.482  -0.303 1.386  -0.303 1.291  -0.310 1.196  -0.341 1.106  -0.371 1.015  -0.401 0.924  -0.431 0.834  -0.462 0.743  -0.486 0.651  -0.486 0.555  -0.486 0.460  -0.486 0.364  -0.486 0.269  -0.486 0.173  -0.486 0.077  -0.486 -0.018  -0.486 -0.114  -0.486 -0.210  -0.486 -0.305  -0.486 -0.401  -0.486 -0.497  -0.486 -0.592  -0.486 -0.688  -0.486 -0.784  -0.427 -0.738  -0.360 -0.670  -0.288 -0.613  -0.192 -0.613  -0.096 -0.613  -0.001 -0.613  0.095 -0.613  0.191 -0.613  0.286 -0.613  0.382 -0.613  0.478 -0.613  0.573 -0.613  0.669 -0.613  0.765 -0.613  0.860 -0.613  0.956 -0.613  1.051 -0.613  1.147 -0.613  1.243 -0.613  1.338 -0.613  1.434 -0.613  1.530 -0.613
1b#apa#apa15#app1510/T  -0.358 0.784  -0.358 0.632  -0.300 0.493  -0.232 0.357  -0.183 0.216  -0.183 0.064  -0.183 -0.089  -0.183 -0.241  -0.183 -0.394  -0.183 -0.546  -0.146 -0.689  -0.078 -0.826  -0.010 -0.962  -0.008 -1.114  -0.008 -1.266  -0.008 -1.419  -0.008 -1.571  0.012 -1.608  0.063 -1.464  0.114 -1.321  0.165 -1.177  0.217 -1.034  0.268 -0.890  0.319 -0.747  0.370 -0.603  0.422 -0.460  0.473 -0.316  0.524 -0.173  0.575 -0.029  0.627 0.114  0.678 0.258  0.729 0.401  0.780 0.545  0.831 0.688  0.821 0.807  0.684 0.875  0.548 0.943  0.400 0.959  0.247 0.959  0.095 0.959  -0.058 0.959  -0.210 0.959  -0.362 0.959  -0.515 0.959  -0.663 0.926  -0.811 0.889  -0.959 0.852  -1.106 0.816  -1.255 0.784  -1.407 0.784
1b#apa#apa15#app1510/Z  -0.956 0.940  -0.862 1.034  -0.762 1.115  -0.629 1.115  -0.497 1.115  -0.364 1.115  -0.231 1.115  -0.098 1.115  0.035 1.115  0.168 1.115  0.301 1.115  0.434 1.115  0.530 1.026  0.607 0.932  0.513 0.838  0.441 0.735  0.441 0.602  0.319 0.591  0.210 0.534  0.116 0.440  0.092 0.318  0.051 0.201  -0.043 0.108  -0.137 0.014  -0.231 -0.080  -0.288 -0.197  -0.330 -0.323  -0.372 -0.449  -0.414 -0.575  -0.485 -0.683  -0.579 -0.777  -0.700 -0.805  -0.781 -0.857  -0.771 -0.980  -0.638 -0.980  -0.505 -0.980  -0.373 -0.980  -0.242 -0.972  -0.123 -0.913  -0.004 -0.853  0.118 -0.805  0.251 -0.805  0.383 -0.805  0.516 -0.805  0.649 -0.805  0.782 -0.805  0.915 -0.805  1.048 -0.805  1.181 -0.805  1.313 -0.805
