3#apb#apb02#app0254/S  0.511 1.217  0.511 1.267  0.401 1.322  0.270 1.315  0.140 1.296  0.012 1.267  -0.113 1.230  -0.235 1.182  -0.350 1.119  -0.455 1.040  -0.555 0.955  -0.640 0.856  -0.689 0.736  -0.717 0.625  -0.653 0.511  -0.552 0.428  -0.438 0.365  -0.317 0.315  -0.188 0.290  -0.058 0.272  0.071 0.247  0.199 0.221  0.326 0.186  0.452 0.150  0.565 0.084  0.668 0.004  0.755 -0.094  0.825 -0.204  0.873 -0.326  0.865 -0.455  0.832 -0.582  0.779 -0.701  0.704 -0.808  0.630 -0.917  0.543 -1.010  0.427 -1.071  0.322 -1.150  0.196 -1.166  0.065 -1.166  -0.064 -1.159  -0.182 -1.100  -0.299 -1.042  -0.417 -0.983  -0.524 -0.908  -0.627 -0.827  -0.743 -0.767  -0.810 -0.657  -0.864 -0.538  -0.788 -0.454  -0.663 -0.413
3#apb#apb02#app0254/o  -0.113 0.044  -0.104 0.177  -0.143 0.329  -0.178 0.482  -0.223 0.601  -0.356 0.552  -0.503 0.496  -0.642 0.423  -0.775 0.338  -0.893 0.235  -0.988 0.112  -1.050 -0.031  -1.081 -0.185  -1.069 -0.342  -1.026 -0.490  -0.955 -0.631  -0.860 -0.756  -0.751 -0.867  -0.619 -0.951  -0.475 -1.007  -0.320 -1.036  -0.165 -1.053  -0.010 -1.025  0.145 -0.998  0.299 -0.968  0.453 -0.937  0.597 -0.877  0.736 -0.803  0.865 -0.717  0.970 -0.599  1.054 -0.468  1.124 -0.327  1.148 -0.171  1.162 -0.016  1.137 0.139  1.099 0.292  1.050 0.441  0.967 0.573  0.867 0.693  0.733 0.776  0.586 0.830  0.434 0.868  0.278 0.890  0.122 0.905  -0.035 0.905  -0.191 0.890  -0.346 0.861  -0.501 0.835  -0.658 0.819  -0.797 0.750
3#apb#apb02#app0254/n  -1.051 0.376  -1.082 0.487  -1.065 0.363  -1.014 0.230  -0.962 0.098  -0.911 -0.035  -0.863 -0.168  -0.809 -0.300  -0.755 -0.431  -0.713 -0.567  -0.675 -0.704  -0.620 -0.835  -0.589 -0.973  -0.552 -1.066  -0.560 -0.928  -0.542 -0.787  -0.519 -0.647  -0.506 -0.506  -0.488 -0.365  -0.453 -0.227  -0.422 -0.088  -0.396 0.051  -0.359 0.188  -0.314 0.323  -0.265 0.456  -0.212 0.588  -0.149 0.716  -0.080 0.840  0.012 0.948  0.116 1.044  0.230 1.128  0.360 1.163  0.476 1.096  0.544 0.971  0.608 0.844  0.663 0.713  0.718 0.582  0.774 0.451  0.830 0.320  0.883 0.188  0.935 0.056  0.981 -0.078  1.015 -0.216  1.044 -0.355  1.065 -0.496  1.090 -0.636  1.118 -0.775  1.139 -0.916  1.159 -1.056  1.167 -1.065
3#apb#apb02#app0254/U  -0.589 0.963  -0.571 1.085  -0.554 1.207  -0.536 1.327  -0.604 1.282  -0.619 1.160  -0.625 1.037  -0.625 0.914  -0.625 0.791  -0.625 0.668  -0.622 0.545  -0.616 0.422  -0.609 0.299  -0.598 0.177  -0.586 0.054  -0.573 -0.068  -0.554 -0.190  -0.533 -0.311  -0.512 -0.432  -0.487 -0.553  -0.462 -0.673  -0.427 -0.790  -0.369 -0.898  -0.308 -1.005  -0.231 -1.101  -0.147 -1.188  -0.037 -1.243  0.085 -1.248  0.205 -1.225  0.316 -1.177  0.403 -1.090  0.487 -1.001  0.548 -0.895  0.609 -0.788  0.640 -0.670  0.659 -0.549  0.678 -0.427  0.686 -0.304  0.692 -0.181  0.698 -0.058  0.692 0.064  0.685 0.187  0.684 0.310  0.698 0.432  0.711 0.555  0.716 0.677  0.716 0.800  0.706 0.923  0.688 1.044  0.644 1.144
3#apb#apb02#app0254/r  -0.702 0.223  -0.702 0.359  -0.727 0.494  -0.767 0.624  -0.804 0.728  -0.834 0.634  -0.845 0.499  -0.809 0.367  -0.773 0.236  -0.728 0.107  -0.679 -0.021  -0.630 -0.149  -0.573 -0.273  -0.512 -0.395  -0.451 -0.517  -0.381 -0.635  -0.307 -0.750  -0.234 -0.865  -0.177 -0.989  -0.121 -1.114  -0.067 -1.240  -0.010 -1.364  0.070 -1.468  0.059 -1.331  0.046 -1.195  0.041 -1.059  0.041 -0.922  0.041 -0.785  0.041 -0.649  0.041 -0.512  0.041 -0.375  0.041 -0.238  0.050 -0.102  0.071 0.033  0.092 0.168  0.116 0.302  0.143 0.437  0.180 0.567  0.234 0.693  0.324 0.792  0.428 0.881  0.549 0.941  0.677 0.989  0.812 0.995  0.949 0.995  1.086 0.995  1.223 0.995  1.359 0.995  1.496 0.995  1.585 0.906
3#apb#apb02#app0254/b  -0.826 1.312  -0.845 1.464  -0.845 1.619  -0.810 1.652  -0.769 1.503  -0.734 1.352  -0.716 1.199  -0.698 1.045  -0.680 0.891  -0.661 0.738  -0.628 0.587  -0.592 0.436  -0.555 0.286  -0.516 0.137  -0.477 -0.013  -0.437 -0.163  -0.398 -0.312  -0.350 -0.459  -0.294 -0.603  -0.234 -0.746  -0.182 -0.881  -0.187 -0.733  -0.214 -0.581  -0.232 -0.428  -0.225 -0.273  -0.182 -0.129  -0.095 -0.002  0.021 0.101  0.140 0.200  0.263 0.291  0.417 0.303  0.571 0.308  0.721 0.284  0.862 0.221  0.978 0.119  1.035 -0.024  1.071 -0.174  1.078 -0.327  1.053 -0.479  0.999 -0.624  0.933 -0.762  0.835 -0.882  0.750 -1.007  0.613 -1.067  0.458 -1.067  0.318 -1.022  0.191 -0.933  0.075 -0.831  -0.027 -0.720  0.029 -0.807
3#apb#apb02#app0254/a  -0.170 0.204  -0.100 0.366  -0.017 0.520  0.046 0.685  0.017 0.856  -0.102 0.982  -0.267 0.974  -0.427 0.898  -0.587 0.822  -0.712 0.697  -0.831 0.566  -0.935 0.423  -1.025 0.271  -1.099 0.110  -1.140 -0.060  -1.154 -0.236  -1.146 -0.413  -1.124 -0.588  -1.059 -0.752  -0.938 -0.873  -0.783 -0.958  -0.622 -0.968  -0.457 -0.901  -0.326 -0.783  -0.203 -0.658  -0.118 -0.502  -0.049 -0.340  0.003 -0.170  0.043 0.002  0.076 0.176  0.094 0.352  0.094 0.529  0.111 0.705  0.107 0.818  0.132 0.670  0.178 0.500  0.243 0.335  0.295 0.166  0.360 0.003  0.469 -0.137  0.602 -0.252  0.745 -0.356  0.901 -0.440  1.060 -0.518  1.234 -0.550  1.408 -0.547  1.582 -0.518  1.751 -0.491  1.867 -0.366  1.972 -0.253
3#apb#apb02#app0254/n  -1.246 -0.031  -1.230 0.112  -1.237 0.254  -1.229 0.395  -1.222 0.528  -1.149 0.469  -1.088 0.340  -1.036 0.206  -0.963 0.085  -0.875 -0.028  -0.790 -0.143  -0.710 -0.263  -0.630 -0.381  -0.546 -0.497  -0.461 -0.613  -0.375 -0.727  -0.294 -0.846  -0.217 -0.966  -0.221 -0.896  -0.228 -0.754  -0.228 -0.610  -0.228 -0.467  -0.228 -0.324  -0.228 -0.181  -0.228 -0.037  -0.225 0.106  -0.212 0.249  -0.178 0.387  -0.135 0.524  -0.080 0.651  0.033 0.739  0.147 0.826  0.264 0.904  0.407 0.904  0.546 0.879  0.675 0.818  0.788 0.730  0.873 0.619  0.941 0.493  1.000 0.362  1.048 0.228  1.090 0.091  1.118 -0.050  1.148 -0.190  1.193 -0.326  1.235 -0.463  1.266 -0.603  1.268 -0.746  1.323 -0.875  1.351 -0.883
3#apb#apb02#app0254/V  -1.035 0.760  -1.035 0.884  -1.035 1.009  -0.991 0.984  -0.936 0.872  -0.877 0.762  -0.815 0.654  -0.761 0.542  -0.713 0.426  -0.666 0.311  -0.620 0.195  -0.573 0.079  -0.529 -0.037  -0.486 -0.155  -0.444 -0.272  -0.394 -0.386  -0.341 -0.499  -0.289 -0.613  -0.239 -0.727  -0.187 -0.840  -0.121 -0.947  -0.052 -1.050  0.032 -1.142  0.103 -1.244  0.185 -1.335  0.258 -1.382  0.277 -1.259  0.301 -1.136  0.330 -1.015  0.352 -0.892  0.363 -0.768  0.374 -0.644  0.388 -0.520  0.407 -0.396  0.426 -0.273  0.446 -0.150  0.466 -0.027  0.487 0.096  0.509 0.219  0.542 0.339  0.575 0.460  0.607 0.580  0.637 0.701  0.668 0.822  0.703 0.942  0.732 1.064  0.753 1.186  0.767 1.310  0.745 1.313  0.706 1.195
3#apb#apb02#app0254/o  0.158 0.404  0.089 0.544  0.051 0.691  -0.088 0.753  -0.229 0.715  -0.373 0.649  -0.500 0.561  -0.599 0.438  -0.701 0.317  -0.807 0.198  -0.876 0.057  -0.937 -0.089  -0.966 -0.245  -0.984 -0.401  -0.960 -0.558  -0.929 -0.713  -0.879 -0.863  -0.794 -0.988  -0.664 -1.079  -0.517 -1.128  -0.361 -1.158  -0.205 -1.171  -0.048 -1.150  0.107 -1.123  0.249 -1.052  0.391 -0.981  0.522 -0.893  0.644 -0.792  0.760 -0.685  0.861 -0.563  0.961 -0.440  1.008 -0.289  1.053 -0.137  1.064 0.022  1.074 0.180  1.050 0.336  1.018 0.490  0.937 0.626  0.838 0.748  0.714 0.845  0.565 0.900  0.412 0.931  0.254 0.931  0.097 0.919  -0.054 0.871  -0.205 0.823  -0.351 0.764  -0.488 0.684  -0.625 0.603  -0.736 0.495
3#apb#apb02#app0254/g  -0.321 0.847  -0.265 1.031  -0.388 1.181  -0.557 1.197  -0.712 1.077  -0.836 0.929  -0.920 0.755  -0.967 0.566  -0.916 0.394  -0.734 0.349  -0.542 0.367  -0.355 0.418  -0.184 0.514  -0.048 0.652  0.078 0.801  0.181 0.967  0.164 1.156  0.117 1.093  0.115 0.898  0.141 0.704  0.192 0.515  0.259 0.332  0.334 0.152  0.405 -0.031  0.465 -0.216  0.516 -0.405  0.550 -0.597  0.570 -0.792  0.584 -0.987  0.592 -1.182  0.581 -1.377  0.561 -1.571  0.485 -1.748  0.315 -1.774  0.178 -1.640  0.075 -1.474  -0.023 -1.305  -0.118 -1.134  -0.210 -0.962  -0.289 -0.784  -0.334 -0.597  -0.315 -0.404  -0.238 -0.224  -0.151 -0.049  -0.018 0.090  0.134 0.212  0.288 0.332  0.430 0.466  0.564 0.608  0.565 0.650
3#apb#apb02#app0254/e  -0.778 0.013  -0.803 0.109  -0.704 0.099  -0.549 0.070  -0.396 0.024  -0.239 -0.005  -0.080 0.004  0.077 0.033  0.227 0.087  0.384 0.115  0.522 0.187  0.655 0.275  0.773 0.375  0.852 0.513  0.878 0.667  0.854 0.825  0.800 0.973  0.695 1.092  0.555 1.166  0.399 1.166  0.242 1.136  0.089 1.090  -0.060 1.031  -0.204 0.960  -0.345 0.885  -0.476 0.793  -0.598 0.690  -0.704 0.570  -0.794 0.438  -0.868 0.297  -0.903 0.141  -0.908 -0.019  -0.875 -0.176  -0.815 -0.323  -0.749 -0.469  -0.690 -0.617  -0.612 -0.757  -0.507 -0.876  -0.381 -0.973  -0.234 -1.036  -0.085 -1.092  0.075 -1.102  0.235 -1.112  0.395 -1.103  0.555 -1.094  0.713 -1.074  0.871 -1.045  1.029 -1.019  1.186 -0.995  1.298 -0.939
3#apb#apb02#app0254/l  -0.211 0.761  -0.211 0.844  -0.211 0.926  -0.211 1.008  -0.223 1.089  -0.239 1.170  -0.250 1.251  -0.258 1.333  -0.261 1.415  -0.245 1.349  -0.207 1.278  -0.190 1.197  -0.173 1.117  -0.156 1.036  -0.140 0.956  -0.126 0.874  -0.113 0.793  -0.099 0.712  -0.086 0.631  -0.072 0.550  -0.059 0.469  -0.046 0.387  -0.033 0.306  -0.020 0.225  -0.008 0.144  0.004 0.062  0.016 -0.019  0.029 -0.101  0.041 -0.182  0.053 -0.263  0.064 -0.345  0.074 -0.426  0.085 -0.508  0.096 -0.590  0.106 -0.671  0.119 -0.752  0.132 -0.834  0.145 -0.915  0.157 -0.996  0.172 -1.077  0.186 -1.158  0.200 -1.239  0.215 -1.320  0.232 -1.401  0.246 -1.482  0.258 -1.563  0.252 -1.618  0.285 -1.548  0.322 -1.474  0.359 -1.401
