3#apb#apb16#app1606/a  0.447 0.280  0.447 0.477  0.475 0.669  0.508 0.860  0.466 1.044  0.316 1.165  0.120 1.165  -0.077 1.165  -0.255 1.104  -0.419 0.995  -0.553 0.852  -0.684 0.705  -0.799 0.546  -0.915 0.387  -0.994 0.208  -1.070 0.026  -1.143 -0.156  -1.195 -0.341  -1.171 -0.536  -1.110 -0.723  -1.017 -0.892  -0.878 -1.028  -0.707 -1.123  -0.513 -1.106  -0.329 -1.037  -0.218 -0.878  -0.113 -0.712  0.004 -0.554  0.122 -0.397  0.225 -0.230  0.317 -0.056  0.409 0.117  0.491 0.296  0.567 0.477  0.627 0.664  0.651 0.855  0.594 0.944  0.569 0.749  0.569 0.553  0.546 0.358  0.514 0.164  0.497 -0.031  0.483 -0.227  0.467 -0.423  0.451 -0.619  0.480 -0.812  0.537 -0.999  0.628 -1.173  0.729 -1.340  0.905 -1.428
3#apb#apb16#app1606/l  -0.248 1.212  -0.248 1.284  -0.248 1.357  -0.248 1.429  -0.218 1.471  -0.179 1.420  -0.151 1.354  -0.128 1.286  -0.118 1.214  -0.109 1.142  -0.099 1.070  -0.089 0.999  -0.078 0.927  -0.065 0.856  -0.051 0.785  -0.038 0.714  -0.024 0.643  -0.011 0.572  0.003 0.501  0.012 0.429  0.015 0.357  0.019 0.284  0.022 0.212  0.025 0.140  0.028 0.067  0.031 -0.005  0.034 -0.077  0.040 -0.149  0.047 -0.221  0.053 -0.294  0.059 -0.366  0.065 -0.438  0.072 -0.510  0.078 -0.582  0.082 -0.654  0.082 -0.727  0.082 -0.799  0.082 -0.871  0.082 -0.944  0.082 -1.016  0.083 -1.088  0.087 -1.161  0.091 -1.233  0.095 -1.305  0.100 -1.378  0.104 -1.450  0.126 -1.517  0.158 -1.582  0.191 -1.647  0.223 -1.711
3#apb#apb16#app1606/m  -1.058 1.084  -0.972 0.865  -0.936 0.633  -0.920 0.398  -0.920 0.162  -0.915 -0.074  -0.899 -0.310  -0.877 -0.545  -0.845 -0.778  -0.840 -0.872  -0.845 -0.642  -0.824 -0.407  -0.797 -0.174  -0.727 0.052  -0.669 0.280  -0.618 0.511  -0.543 0.733  -0.430 0.938  -0.272 1.057  -0.099 0.903  -0.026 0.686  -0.008 0.451  -0.008 0.215  -0.023 -0.020  -0.067 -0.252  -0.107 -0.484  -0.143 -0.717  -0.146 -0.953  -0.112 -1.075  -0.056 -0.848  0.028 -0.631  0.147 -0.427  0.253 -0.217  0.359 -0.006  0.460 0.208  0.561 0.421  0.660 0.635  0.759 0.849  0.819 1.077  0.959 0.921  0.959 0.685  0.979 0.451  1.009 0.216  1.014 -0.019  1.019 -0.255  1.036 -0.491  1.065 -0.725  1.106 -0.956  1.194 -1.176  1.318 -1.375
3#apb#apb16#app1606/n  -0.592 1.457  -0.592 1.286  -0.592 1.115  -0.599 0.944  -0.625 0.775  -0.651 0.606  -0.641 0.436  -0.619 0.267  -0.596 0.097  -0.592 -0.074  -0.592 -0.245  -0.592 -0.416  -0.592 -0.587  -0.592 -0.758  -0.592 -0.930  -0.592 -1.101  -0.543 -1.260  -0.521 -1.364  -0.497 -1.195  -0.448 -1.031  -0.394 -0.869  -0.341 -0.706  -0.291 -0.543  -0.241 -0.379  -0.193 -0.214  -0.148 -0.050  -0.102 0.115  -0.054 0.280  0.009 0.439  0.073 0.597  0.136 0.756  0.182 0.921  0.227 1.086  0.269 1.225  0.411 1.168  0.510 1.029  0.583 0.875  0.647 0.716  0.691 0.551  0.724 0.383  0.754 0.215  0.782 0.046  0.816 -0.122  0.861 -0.287  0.903 -0.452  0.917 -0.623  0.931 -0.793  0.962 -0.962  0.998 -1.129  1.034 -1.296
3#apb#apb16#app1606/o  0.205 0.604  0.134 0.712  0.032 0.781  -0.074 0.847  -0.202 0.860  -0.317 0.824  -0.408 0.732  -0.498 0.639  -0.585 0.542  -0.671 0.446  -0.752 0.345  -0.832 0.243  -0.900 0.133  -0.958 0.017  -1.002 -0.103  -1.015 -0.232  -1.023 -0.361  -1.023 -0.490  -1.004 -0.616  -0.952 -0.734  -0.880 -0.839  -0.783 -0.925  -0.676 -0.991  -0.549 -1.016  -0.422 -1.042  -0.298 -1.043  -0.182 -0.985  -0.066 -0.927  0.049 -0.867  0.159 -0.799  0.269 -0.731  0.377 -0.660  0.472 -0.572  0.568 -0.484  0.663 -0.397  0.744 -0.295  0.824 -0.194  0.904 -0.092  0.970 0.018  1.020 0.138  1.070 0.258  1.092 0.385  1.078 0.509  1.030 0.630  0.971 0.744  0.893 0.848  0.805 0.940  0.699 1.016  0.583 1.070  0.461 1.116
3#apb#apb16#app1606/p  -0.267 0.508  -0.237 0.470  -0.191 0.320  -0.163 0.165  -0.155 0.009  -0.146 -0.148  -0.126 -0.304  -0.104 -0.460  -0.083 -0.615  -0.065 -0.772  -0.046 -0.928  -0.041 -1.084  -0.041 -1.242  -0.062 -1.395  -0.112 -1.544  -0.181 -1.685  -0.269 -1.652  -0.314 -1.501  -0.334 -1.345  -0.350 -1.189  -0.353 -1.032  -0.353 -0.875  -0.353 -0.718  -0.353 -0.561  -0.353 -0.404  -0.353 -0.247  -0.345 -0.090  -0.327 0.066  -0.310 0.223  -0.293 0.379  -0.269 0.534  -0.239 0.688  -0.210 0.843  -0.152 0.987  -0.075 1.124  0.006 1.258  0.097 1.384  0.237 1.454  0.392 1.477  0.521 1.396  0.613 1.271  0.694 1.137  0.764 0.996  0.805 0.850  0.794 0.693  0.744 0.545  0.662 0.413  0.557 0.296  0.437 0.196  0.306 0.109
3#apb#apb16#app1606/q  -0.096 0.627  -0.015 0.769  0.022 0.927  -0.006 1.082  -0.135 1.093  -0.263 0.991  -0.401 0.903  -0.523 0.796  -0.634 0.675  -0.741 0.551  -0.834 0.416  -0.928 0.282  -0.967 0.124  -0.987 -0.038  -0.963 -0.192  -0.839 -0.295  -0.680 -0.335  -0.519 -0.308  -0.369 -0.255  -0.242 -0.151  -0.114 -0.048  0.015 0.052  0.125 0.172  0.219 0.306  0.293 0.451  0.362 0.600  0.434 0.748  0.480 0.904  0.506 1.065  0.458 1.066  0.458 0.902  0.458 0.738  0.458 0.574  0.458 0.410  0.458 0.246  0.449 0.083  0.433 -0.080  0.417 -0.244  0.405 -0.407  0.397 -0.571  0.389 -0.734  0.366 -0.896  0.335 -1.057  0.305 -1.219  0.280 -1.381  0.262 -1.543  0.244 -1.706  0.241 -1.870  0.241 -2.034  0.289 -2.190
3#apb#apb16#app1606/r  -0.675 0.929  -0.721 1.063  -0.741 1.134  -0.792 1.010  -0.832 0.870  -0.790 0.736  -0.731 0.603  -0.672 0.469  -0.623 0.332  -0.574 0.195  -0.525 0.058  -0.476 -0.079  -0.410 -0.209  -0.340 -0.337  -0.270 -0.465  -0.194 -0.588  -0.103 -0.702  -0.012 -0.816  0.079 -0.929  0.163 -1.048  0.244 -1.169  0.325 -1.291  0.405 -1.412  0.395 -1.440  0.284 -1.389  0.185 -1.283  0.128 -1.149  0.070 -1.015  0.005 -0.884  -0.060 -0.754  -0.113 -0.619  -0.148 -0.478  -0.180 -0.336  -0.180 -0.191  -0.165 -0.047  -0.125 0.093  -0.070 0.226  0.014 0.345  0.099 0.463  0.159 0.595  0.217 0.729  0.332 0.804  0.462 0.866  0.576 0.957  0.703 1.011  0.848 1.018  0.992 1.042  1.136 1.043  1.281 1.027  1.426 1.011
3#apb#apb16#app1606/s  0.720 0.898  0.720 1.025  0.777 1.127  0.777 1.196  0.725 1.271  0.607 1.239  0.497 1.176  0.380 1.129  0.260 1.089  0.155 1.025  0.061 0.940  -0.033 0.855  -0.129 0.774  -0.240 0.713  -0.351 0.653  -0.462 0.592  -0.573 0.532  -0.684 0.471  -0.777 0.390  -0.850 0.287  -0.854 0.179  -0.763 0.109  -0.641 0.078  -0.516 0.057  -0.391 0.042  -0.265 0.048  -0.139 0.060  -0.015 0.055  0.105 0.015  0.224 -0.027  0.339 -0.078  0.455 -0.130  0.536 -0.226  0.589 -0.337  0.597 -0.461  0.572 -0.585  0.546 -0.708  0.456 -0.797  0.368 -0.887  0.289 -0.986  0.210 -1.085  0.123 -1.172  0.003 -1.212  -0.117 -1.251  -0.240 -1.278  -0.364 -1.304  -0.488 -1.331  -0.610 -1.361  -0.733 -1.391  -0.856 -1.422
3#apb#apb16#app1606/t  0.285 1.527  0.286 1.658  0.310 1.489  0.323 1.319  0.336 1.148  0.334 0.978  0.325 0.807  0.317 0.637  0.309 0.466  0.301 0.295  0.294 0.125  0.286 -0.046  0.285 -0.217  0.285 -0.388  0.285 -0.558  0.285 -0.729  0.285 -0.900  0.285 -1.071  0.285 -1.242  0.285 -1.412  0.274 -1.583  0.235 -1.730  0.206 -1.623  0.133 -1.469  0.060 -1.314  -0.013 -1.160  -0.086 -1.006  -0.159 -0.851  -0.232 -0.697  -0.305 -0.542  -0.378 -0.388  -0.451 -0.234  -0.524 -0.079  -0.597 0.075  -0.670 0.230  -0.743 0.384  -0.817 0.538  -0.890 0.693  -0.963 0.847  -0.819 0.775  -0.654 0.735  -0.501 0.658  -0.348 0.582  -0.185 0.539  -0.016 0.519  0.154 0.499  0.323 0.472  0.491 0.444  0.660 0.415  0.828 0.387
3#apb#apb16#app1606/u  -0.877 1.352  -0.876 1.445  -0.862 1.363  -0.882 1.209  -0.897 1.055  -0.913 0.901  -0.928 0.747  -0.938 0.592  -0.938 0.438  -0.938 0.283  -0.904 0.132  -0.869 -0.019  -0.831 -0.169  -0.787 -0.318  -0.735 -0.463  -0.666 -0.602  -0.593 -0.737  -0.460 -0.817  -0.310 -0.852  -0.157 -0.832  -0.035 -0.748  0.075 -0.639  0.178 -0.525  0.252 -0.389  0.327 -0.253  0.403 -0.118  0.482 0.016  0.560 0.149  0.585 0.302  0.606 0.455  0.632 0.608  0.681 0.754  0.717 0.904  0.698 0.913  0.657 0.764  0.620 0.613  0.596 0.460  0.573 0.307  0.549 0.154  0.526 0.001  0.502 -0.152  0.502 -0.307  0.502 -0.462  0.517 -0.616  0.538 -0.769  0.560 -0.923  0.592 -1.074  0.626 -1.225  0.656 -1.377  0.686 -1.529
3#apb#apb16#app1606/v  -1.146 0.399  -1.163 0.491  -1.183 0.583  -1.142 0.612  -1.113 0.522  -1.083 0.433  -1.048 0.346  -1.011 0.259  -0.975 0.172  -0.944 0.083  -0.914 -0.006  -0.884 -0.096  -0.853 -0.184  -0.796 -0.259  -0.738 -0.334  -0.681 -0.408  -0.623 -0.483  -0.564 -0.556  -0.506 -0.630  -0.443 -0.699  -0.361 -0.745  -0.278 -0.790  -0.193 -0.827  -0.099 -0.827  -0.019 -0.792  0.047 -0.725  0.114 -0.659  0.182 -0.594  0.252 -0.530  0.322 -0.467  0.391 -0.404  0.442 -0.325  0.494 -0.246  0.545 -0.166  0.596 -0.087  0.649 -0.010  0.708 0.064  0.768 0.137  0.827 0.210  0.886 0.283  0.941 0.359  0.988 0.441  1.034 0.523  1.080 0.605  1.126 0.687  1.175 0.768  1.224 0.848  1.273 0.928  1.323 1.009  1.372 1.089
3#apb#apb16#app1606/w  -1.086 0.778  -1.112 0.855  -1.055 0.805  -1.015 0.647  -0.981 0.488  -0.966 0.325  -0.959 0.162  -0.959 -0.001  -0.959 -0.164  -0.941 -0.326  -0.933 -0.489  -0.920 -0.649  -0.832 -0.786  -0.717 -0.898  -0.575 -0.886  -0.478 -0.763  -0.395 -0.623  -0.312 -0.482  -0.239 -0.336  -0.170 -0.188  -0.110 -0.037  -0.069 0.121  -0.030 0.277  0.037 0.412  -0.014 0.287  -0.014 0.124  -0.039 -0.036  -0.058 -0.196  -0.023 -0.356  0.018 -0.514  0.061 -0.671  0.150 -0.808  0.237 -0.926  0.388 -0.866  0.516 -0.773  0.616 -0.644  0.699 -0.504  0.772 -0.358  0.822 -0.203  0.870 -0.047  0.909 0.111  0.947 0.270  0.985 0.428  1.029 0.585  1.074 0.742  1.108 0.902  1.138 1.062  1.168 1.223  1.200 1.383  1.212 1.545
3#apb#apb16#app1606/x  -1.198 0.703  -1.231 0.801  -1.119 0.675  -1.000 0.549  -0.862 0.440  -0.732 0.320  -0.601 0.203  -0.456 0.103  -0.311 0.003  -0.167 -0.100  -0.024 -0.202  0.106 -0.322  0.230 -0.446  0.355 -0.571  0.480 -0.696  0.604 -0.820  0.763 -0.895  0.842 -1.048  0.848 -0.954  0.846 -0.778  0.844 -0.602  0.842 -0.425  0.841 -0.249  0.839 -0.073  0.837 0.104  0.835 0.280  0.834 0.456  0.832 0.632  0.830 0.809  0.828 0.985  0.826 1.161  0.713 1.166  0.592 1.045  0.490 0.902  0.376 0.768  0.248 0.647  0.120 0.526  -0.008 0.404  -0.132 0.280  -0.257 0.155  -0.382 0.030  -0.491 -0.108  -0.597 -0.249  -0.703 -0.390  -0.812 -0.528  -0.924 -0.664  -1.036 -0.800  -1.151 -0.934  -1.268 -1.066  -1.338 -1.228
3#apb#apb16#app1606/y  -0.431 0.921  -0.425 0.787  -0.408 0.653  -0.371 0.524  -0.338 0.393  -0.317 0.260  -0.277 0.134  -0.216 0.013  -0.134 -0.089  -0.011 -0.107  0.107 -0.043  0.218 0.033  0.323 0.118  0.413 0.218  0.498 0.322  0.575 0.433  0.653 0.542  0.738 0.647  0.801 0.764  0.849 0.890  0.881 1.020  0.921 1.148  0.877 1.159  0.795 1.053  0.718 0.942  0.642 0.831  0.569 0.718  0.496 0.605  0.420 0.493  0.343 0.383  0.267 0.272  0.190 0.162  0.119 0.047  0.048 -0.067  -0.024 -0.182  -0.095 -0.296  -0.168 -0.409  -0.245 -0.520  -0.321 -0.630  -0.398 -0.741  -0.474 -0.852  -0.552 -0.962  -0.630 -1.072  -0.707 -1.182  -0.785 -1.292  -0.867 -1.399  -0.949 -1.506  -1.031 -1.613  -1.114 -1.719  -1.175 -1.805
3#apb#apb16#app1606/z  -0.605 0.807  -0.586 0.876  -0.454 0.876  -0.321 0.876  -0.188 0.876  -0.056 0.876  0.077 0.876  0.209 0.876  0.337 0.839  0.465 0.807  0.597 0.807  0.730 0.807  0.855 0.765  0.980 0.720  1.109 0.692  1.239 0.665  1.278 0.647  1.173 0.565  1.065 0.488  0.952 0.419  0.837 0.353  0.722 0.287  0.606 0.223  0.490 0.158  0.374 0.094  0.257 0.032  0.139 -0.028  0.020 -0.087  -0.099 -0.146  -0.210 -0.218  -0.322 -0.290  -0.433 -0.362  -0.546 -0.430  -0.662 -0.495  -0.777 -0.560  -0.886 -0.635  -0.980 -0.729  -1.073 -0.822  -1.174 -0.905  -1.128 -0.991  -0.995 -0.991  -0.862 -0.991  -0.730 -0.991  -0.597 -0.991  -0.465 -0.982  -0.335 -0.958  -0.205 -0.933  -0.073 -0.923  0.059 -0.923  0.192 -0.923
