2#tos#t2#t2051065/!  -0.001 1.694  -0.001 1.619  -0.044 1.588  -0.044 1.513  -0.044 1.439  -0.044 1.364  -0.030 1.304  -0.001 1.258  -0.001 1.183  -0.001 1.109  -0.001 1.034  -0.001 0.959  -0.001 0.885  -0.001 0.810  -0.001 0.735  -0.001 0.661  -0.001 0.586  -0.001 0.511  -0.001 0.436  -0.001 0.362  -0.001 0.287  -0.001 0.212  -0.001 0.138  -0.001 0.063  -0.001 -0.012  -0.001 -0.086  -0.001 -0.161  -0.001 -0.236  0.042 -0.267  0.042 -0.342  0.042 -0.416  0.042 -0.491  0.086 -0.522  0.080 -0.597  0.067 -0.670  0.055 -0.744  0.043 -0.818  0.031 -0.891  0.018 -0.965  0.006 -1.039  -0.029 -1.095  -0.088 -1.134  -0.088 -1.208  -0.088 -1.283  -0.028 -1.298  -0.001 -1.346  -0.001 -1.421  -0.001 -1.495  -0.001 -1.570  -0.001 -1.645
2#tos#t2#t2051065/@  0.324 0.270  0.243 0.268  0.142 0.512  -0.133 0.553  -0.359 0.421  -0.539 0.249  -0.606 -0.022  -0.606 -0.313  -0.525 -0.557  -0.363 -0.634  -0.165 -0.440  -0.007 -0.223  0.075 0.003  0.122 0.112  0.122 -0.179  0.203 -0.413  0.324 -0.583  0.538 -0.660  0.526 -0.534  0.439 -0.741  0.689 -0.782  0.850 -0.651  0.978 -0.454  1.093 -0.224  1.115 0.060  1.173 0.334  1.173 0.625  1.046 0.836  0.931 1.012  0.756 1.160  0.475 1.200  0.224 1.240  -0.027 1.281  -0.318 1.281  -0.519 1.160  -0.710 1.015  -0.889 0.828  -1.010 0.628  -1.091 0.370  -1.172 0.112  -1.172 -0.179  -1.172 -0.470  -1.091 -0.704  -0.928 -0.863  -0.687 -0.984  -0.436 -1.024  -0.145 -1.024  0.146 -1.024  0.397 -0.984  0.567 -0.863
2#tos#t2#t2051065/[  0.552 1.293  0.531 1.245  0.527 1.196  0.431 1.196  0.336 1.196  0.290 1.143  0.197 1.120  0.104 1.100  0.022 1.087  -0.038 1.052  -0.116 1.010  -0.208 1.003  -0.268 0.967  -0.351 0.955  -0.412 0.922  -0.412 0.826  -0.364 0.779  -0.316 0.732  -0.316 0.637  -0.316 0.542  -0.297 0.454  -0.268 0.371  -0.268 0.276  -0.268 0.180  -0.268 0.085  -0.268 -0.010  -0.268 -0.105  -0.268 -0.201  -0.268 -0.296  -0.268 -0.391  -0.268 -0.486  -0.268 -0.582  -0.268 -0.677  -0.268 -0.772  -0.268 -0.868  -0.268 -0.963  -0.252 -1.054  -0.197 -1.120  -0.102 -1.120  -0.010 -1.141  0.081 -1.168  0.176 -1.168  0.272 -1.168  0.367 -1.168  0.462 -1.168  0.557 -1.168  0.653 -1.168  0.748 -1.168  0.795 -1.120  0.890 -1.120
2#tos#t2#t2051065/]  -0.824 1.229  -0.824 1.128  -0.783 1.052  -0.686 1.033  -0.585 1.033  -0.483 1.033  -0.382 1.033  -0.280 1.033  -0.188 0.994  -0.087 0.994  -0.025 0.955  0.076 0.955  0.178 0.955  0.279 0.955  0.381 0.955  0.432 0.905  0.432 0.804  0.432 0.702  0.432 0.601  0.471 0.539  0.471 0.437  0.471 0.336  0.471 0.235  0.505 0.141  0.511 0.041  0.511 -0.060  0.511 -0.162  0.511 -0.263  0.511 -0.364  0.511 -0.466  0.511 -0.567  0.525 -0.654  0.550 -0.730  0.451 -0.733  0.366 -0.772  0.292 -0.817  0.213 -0.866  0.115 -0.890  0.017 -0.915  -0.083 -0.929  -0.184 -0.929  -0.271 -0.965  -0.348 -1.030  -0.432 -1.086  -0.531 -1.111  -0.630 -1.125  -0.732 -1.125  -0.828 -1.153  -0.928 -1.164  -1.020 -1.204
2#tos#t2#t2051065/^  -1.018 -0.462  -1.053 -0.566  -1.087 -0.669  -1.122 -0.772  -1.191 -0.822  -1.161 -0.804  -1.133 -0.701  -1.114 -0.597  -1.076 -0.497  -1.014 -0.421  -0.923 -0.361  -0.904 -0.262  -0.824 -0.233  -0.766 -0.163  -0.731 -0.061  -0.622 -0.061  -0.596 0.041  -0.575 0.148  -0.539 0.247  -0.476 0.335  -0.428 0.432  -0.379 0.530  -0.330 0.627  -0.254 0.704  -0.176 0.781  -0.075 0.800  0.025 0.784  0.085 0.693  0.159 0.628  0.268 0.628  0.301 0.552  0.368 0.491  0.471 0.456  0.501 0.357  0.561 0.266  0.647 0.214  0.754 0.193  0.861 0.172  0.875 0.074  0.906 -0.003  1.015 -0.003  1.067 -0.061  1.104 -0.132  1.112 -0.235  1.218 -0.261  1.324 -0.288  1.420 -0.319  1.448 -0.417  1.512 -0.462  1.563 -0.520
2#tos#t2#t2051065/_  -1.022 0.370  -1.102 0.370  -1.182 0.370  -1.197 0.306  -1.254 0.283  -1.334 0.283  -1.344 0.254  -1.287 0.197  -1.285 0.118  -1.216 0.107  -1.136 0.107  -1.056 0.107  -0.976 0.107  -0.896 0.107  -0.816 0.107  -0.749 0.087  -0.713 0.016  -0.677 -0.056  -0.605 -0.068  -0.525 -0.068  -0.445 -0.068  -0.365 -0.068  -0.285 -0.068  -0.205 -0.068  -0.125 -0.068  -0.045 -0.068  0.035 -0.068  0.115 -0.068  0.195 -0.068  0.275 -0.068  0.354 -0.068  0.434 -0.068  0.514 -0.068  0.594 -0.068  0.674 -0.068  0.754 -0.068  0.834 -0.068  0.908 -0.074  0.908 -0.154  0.986 -0.156  1.066 -0.156  1.146 -0.156  1.226 -0.156  1.306 -0.156  1.386 -0.156  1.466 -0.156  1.546 -0.156  1.626 -0.156  1.706 -0.156  1.786 -0.156
2#tos#t2#t2051065/`  -0.205 1.742  -0.233 1.660  -0.260 1.578  -0.287 1.495  -0.315 1.413  -0.342 1.331  -0.370 1.249  -0.397 1.167  -0.424 1.084  -0.452 1.002  -0.479 0.920  -0.507 0.838  -0.522 0.754  -0.522 0.667  -0.522 0.580  -0.522 0.494  -0.492 0.414  -0.453 0.337  -0.414 0.259  -0.376 0.182  -0.337 0.104  -0.298 0.027  -0.259 -0.051  -0.221 -0.128  -0.205 -0.211  -0.205 -0.298  -0.205 -0.385  -0.205 -0.471  -0.123 -0.476  -0.037 -0.476  0.050 -0.476  0.112 -0.501  0.112 -0.588  0.112 -0.674  0.112 -0.761  0.166 -0.793  0.253 -0.793  0.339 -0.793  0.426 -0.793  0.513 -0.793  0.599 -0.793  0.686 -0.793  0.746 -0.821  0.746 -0.907  0.746 -0.994  0.746 -1.081  0.802 -1.110  0.889 -1.110  0.976 -1.110  1.062 -1.110
2#tos#t2#t2051065/{  0.227 1.377  0.153 1.335  0.078 1.377  0.046 1.461  -0.070 1.461  -0.149 1.424  -0.215 1.355  -0.286 1.294  -0.358 1.251  -0.358 1.135  -0.358 1.019  -0.316 0.945  -0.274 0.855  -0.205 0.792  -0.135 0.707  -0.082 0.625  -0.024 0.567  0.019 0.478  0.069 0.389  0.114 0.291  0.143 0.204  0.143 0.088  0.117 -0.002  0.060 -0.085  -0.056 -0.085  -0.153 -0.131  -0.253 -0.169  -0.347 -0.169  -0.315 -0.085  -0.199 -0.085  -0.100 -0.127  -0.026 -0.169  0.018 -0.272  0.018 -0.388  0.018 -0.504  0.018 -0.620  0.018 -0.736  0.018 -0.852  0.018 -0.968  0.018 -1.084  -0.024 -1.158  -0.024 -1.274  0.018 -1.348  0.101 -1.380  0.208 -1.422  0.307 -1.461  0.422 -1.464  0.538 -1.464  0.654 -1.464  0.770 -1.464
2#tos#t2#t2051065/|  0.091 1.675  0.023 1.640  -0.010 1.585  -0.061 1.559  -0.061 1.483  -0.061 1.407  -0.061 1.330  -0.061 1.254  -0.061 1.178  -0.061 1.101  -0.061 1.025  -0.061 0.949  -0.061 0.872  -0.061 0.796  -0.061 0.720  -0.061 0.643  -0.074 0.569  -0.098 0.497  -0.112 0.423  -0.112 0.346  -0.112 0.270  -0.112 0.194  -0.102 0.119  -0.080 0.046  -0.057 -0.027  -0.034 -0.100  -0.011 -0.173  0.011 -0.245  0.034 -0.318  0.057 -0.391  0.080 -0.464  0.102 -0.537  0.125 -0.610  0.122 -0.664  0.046 -0.664  0.040 -0.734  -0.005 -0.765  0.010 -0.816  0.040 -0.862  0.040 -0.938  0.073 -1.001  0.091 -1.070  0.091 -1.146  0.091 -1.222  0.091 -1.299  0.091 -1.375  0.091 -1.451  0.091 -1.527  0.091 -1.604  0.091 -1.680
2#tos#t2#t2051065/0  0.570 1.139  0.428 1.126  0.313 1.058  0.180 0.997  0.049 0.972  -0.029 0.864  -0.141 0.786  -0.175 0.654  -0.313 0.588  -0.424 0.478  -0.534 0.367  -0.666 0.320  -0.704 0.169  -0.742 0.033  -0.843 -0.075  -0.852 -0.229  -0.925 -0.356  -0.947 -0.502  -0.947 -0.659  -0.947 -0.815  -0.896 -0.950  -0.805 -1.041  -0.708 -1.136  -0.568 -1.152  -0.443 -1.184  -0.287 -1.184  -0.131 -1.184  0.025 -1.184  0.143 -1.090  0.217 -0.985  0.306 -0.899  0.428 -0.865  0.429 -0.709  0.559 -0.622  0.570 -0.472  0.657 -0.342  0.665 -0.189  0.795 -0.102  0.841 0.044  0.855 0.198  0.855 0.354  0.835 0.508  0.807 0.661  0.681 0.749  0.646 0.893  0.525 0.950  0.369 0.950  0.216 0.979  0.110 1.045  -0.046 1.045
2#tos#t2#t2051065/1  -0.091 1.665  -0.091 1.594  -0.091 1.524  -0.053 1.491  -0.033 1.440  -0.033 1.370  -0.033 1.299  -0.033 1.228  -0.033 1.158  -0.033 1.087  -0.033 1.016  -0.033 0.946  -0.033 0.875  -0.033 0.804  -0.033 0.734  -0.033 0.663  -0.033 0.592  -0.033 0.522  -0.033 0.451  -0.033 0.380  -0.033 0.310  -0.033 0.239  -0.033 0.168  -0.033 0.098  -0.033 0.027  -0.022 -0.041  0.010 -0.104  0.025 -0.171  0.025 -0.242  0.025 -0.313  0.025 -0.383  0.025 -0.454  0.025 -0.525  0.025 -0.595  0.025 -0.666  0.025 -0.737  0.025 -0.807  0.025 -0.878  0.025 -0.949  0.025 -1.019  0.025 -1.090  0.025 -1.161  0.025 -1.232  0.025 -1.302  0.038 -1.367  0.083 -1.419  0.083 -1.490  0.083 -1.561  0.128 -1.586  0.199 -1.586
2#tos#t2#t2051065/6  0.564 1.776  0.503 1.689  0.390 1.602  0.260 1.585  0.241 1.439  0.169 1.341  0.086 1.277  0.030 1.142  -0.057 1.025  -0.141 0.905  -0.218 0.778  -0.349 0.724  -0.384 0.582  -0.479 0.471  -0.490 0.327  -0.579 0.209  -0.640 0.076  -0.687 -0.064  -0.710 -0.207  -0.783 -0.330  -0.783 -0.478  -0.783 -0.626  -0.773 -0.772  -0.739 -0.915  -0.642 -0.971  -0.561 -1.091  -0.413 -1.091  -0.265 -1.091  -0.117 -1.091  0.030 -1.091  0.169 -1.050  0.306 -1.004  0.390 -0.940  0.515 -0.917  0.564 -0.818  0.615 -0.692  0.749 -0.657  0.781 -0.541  0.844 -0.419  0.855 -0.284  0.824 -0.143  0.694 -0.089  0.597 -0.005  0.470 0.045  0.337 0.082  0.189 0.082  0.041 0.082  -0.106 0.082  -0.250 0.066  -0.262 -0.005
2#tos#t2#t2051065/9  0.713 0.520  0.633 0.438  0.560 0.315  0.549 0.466  0.549 0.627  0.549 0.789  0.549 0.951  0.430 1.049  0.344 1.158  0.216 1.216  0.054 1.216  -0.107 1.216  -0.265 1.198  -0.406 1.119  -0.539 1.029  -0.669 0.935  -0.740 0.806  -0.803 0.676  -0.886 0.574  -0.926 0.441  -0.967 0.296  -0.967 0.134  -0.967 -0.028  -0.926 -0.180  -0.889 -0.319  -0.794 -0.432  -0.679 -0.546  -0.551 -0.628  -0.389 -0.628  -0.228 -0.628  -0.079 -0.573  -0.007 -0.455  0.137 -0.383  0.233 -0.276  0.331 -0.149  0.422 -0.018  0.426 0.142  0.426 -0.002  0.426 -0.164  0.414 -0.323  0.385 -0.478  0.385 -0.640  0.392 -0.799  0.426 -0.947  0.426 -1.108  0.488 -1.232  0.508 -1.381  0.590 -1.509  0.590 -1.671  0.631 -1.816
2#tos#t2#t2051065/A  -0.708 -0.595  -0.833 -0.721  -0.955 -0.730  -0.955 -0.504  -0.873 -0.303  -0.873 -0.078  -0.780 0.126  -0.684 0.330  -0.564 0.507  -0.468 0.705  -0.415 0.916  -0.255 1.064  -0.203 1.269  -0.034 1.412  0.142 1.506  0.286 1.423  0.404 1.261  0.515 1.073  0.622 0.905  0.652 0.686  0.796 0.532  0.835 0.319  0.931 0.118  0.940 -0.105  0.969 -0.324  1.068 -0.527  1.117 -0.743  1.146 -0.962  1.146 -1.048  1.045 -0.865  0.839 -0.779  0.626 -0.705  0.412 -0.631  0.199 -0.557  -0.014 -0.483  -0.228 -0.409  -0.441 -0.335  -0.654 -0.261  -0.867 -0.187  -1.003 -0.226  -1.225 -0.265  -1.077 -0.224  -0.851 -0.224  -0.635 -0.183  -0.409 -0.183  -0.184 -0.183  0.042 -0.183  0.268 -0.183  0.494 -0.183  0.693 -0.265
2#tos#t2#t2051065/D  -0.032 1.103  -0.128 0.991  -0.184 0.805  -0.225 0.613  -0.225 0.404  -0.267 0.202  -0.274 -0.006  -0.274 -0.215  -0.274 -0.424  -0.274 -0.633  -0.274 -0.842  -0.274 -1.051  -0.274 -1.083  -0.296 -0.875  -0.326 -0.668  -0.356 -0.462  -0.386 -0.255  -0.417 -0.048  -0.447 0.159  -0.477 0.366  -0.508 0.572  -0.538 0.779  -0.592 0.958  -0.781 1.006  -0.815 1.103  -0.606 1.103  -0.397 1.103  -0.188 1.103  0.009 1.055  0.218 1.052  0.415 0.995  0.589 0.910  0.773 0.831  0.895 0.661  0.936 0.469  0.985 0.280  0.985 0.071  0.985 -0.138  0.985 -0.347  0.936 -0.544  0.872 -0.695  0.735 -0.826  0.598 -0.966  0.452 -1.098  0.271 -1.135  0.078 -1.214  -0.110 -1.268  -0.319 -1.268  -0.520 -1.317  -0.661 -1.317
2#tos#t2#t2051065/F  -0.514 0.964  -0.707 0.964  -0.653 0.867  -0.471 0.821  -0.278 0.819  -0.085 0.819  0.108 0.819  0.301 0.819  0.494 0.819  0.687 0.819  0.880 0.819  1.074 0.819  1.267 0.819  1.103 0.819  0.909 0.819  0.716 0.819  0.523 0.819  0.330 0.819  0.137 0.819  -0.056 0.819  -0.249 0.819  -0.369 0.708  -0.369 0.515  -0.369 0.321  -0.403 0.134  -0.417 -0.057  -0.417 -0.250  -0.417 -0.443  -0.417 -0.636  -0.417 -0.830  -0.417 -1.023  -0.417 -1.216  -0.417 -1.409  -0.417 -1.602  -0.417 -1.711  -0.407 -1.518  -0.386 -1.326  -0.364 -1.134  -0.343 -0.942  -0.322 -0.750  -0.301 -0.558  -0.279 -0.366  -0.320 -0.373  -0.156 -0.413  0.024 -0.443  0.218 -0.443  0.411 -0.443  0.604 -0.443  0.797 -0.443  0.990 -0.443
2#tos#t2#t2051065/H  -0.763 1.138  -0.800 0.995  -0.763 0.818  -0.763 0.626  -0.763 0.434  -0.763 0.242  -0.766 0.051  -0.808 -0.123  -0.808 -0.315  -0.808 -0.507  -0.808 -0.699  -0.808 -0.891  -0.808 -1.082  -0.808 -1.238  -0.782 -1.048  -0.752 -0.859  -0.722 -0.669  -0.691 -0.480  -0.661 -0.290  -0.631 -0.101  -0.800 -0.082  -0.625 -0.082  -0.433 -0.082  -0.241 -0.082  -0.049 -0.082  0.143 -0.082  0.335 -0.082  0.527 -0.082  0.616 0.043  0.653 0.231  0.689 0.420  0.726 0.608  0.762 0.797  0.799 0.985  0.835 1.173  0.819 1.319  0.773 1.173  0.773 0.981  0.773 0.790  0.728 0.605  0.728 0.413  0.728 0.221  0.728 0.029  0.728 -0.163  0.728 -0.355  0.728 -0.547  0.750 -0.735  0.773 -0.923  0.773 -1.115  0.818 -1.301
2#tos#t2#t2051065/K  -0.304 1.416  -0.530 1.416  -0.583 1.243  -0.583 1.017  -0.583 0.791  -0.583 0.565  -0.648 0.354  -0.676 0.135  -0.676 -0.091  -0.676 -0.317  -0.688 -0.542  -0.722 -0.764  -0.722 -0.990  -0.722 -1.216  -0.676 -1.264  -0.593 -1.063  -0.470 -0.873  -0.347 -0.684  -0.225 -0.494  -0.102 -0.304  0.021 -0.115  0.144 0.075  0.267 0.265  0.390 0.455  0.513 0.644  0.636 0.834  0.759 1.024  0.882 1.213  0.953 1.227  0.857 1.062  0.720 0.907  0.527 0.798  0.412 0.604  0.208 0.530  0.126 0.345  -0.087 0.304  -0.193 0.131  -0.390 0.023  -0.504 -0.027  -0.394 -0.172  -0.282 -0.364  -0.080 -0.437  0.059 -0.612  0.248 -0.719  0.449 -0.821  0.629 -0.938  0.804 -1.069  1.010 -1.119  1.192 -1.190  1.232 -1.190
