2#app#app37#app3795/s  0.148 1.544  0.041 1.508  -0.066 1.472  -0.172 1.437  -0.282 1.420  -0.381 1.387  -0.460 1.307  -0.471 1.200  -0.471 1.087  -0.420 0.996  -0.348 0.914  -0.348 0.801  -0.236 0.801  -0.153 0.730  -0.100 0.639  -0.074 0.553  0.034 0.543  0.114 0.463  0.212 0.429  0.309 0.392  0.388 0.312  0.395 0.203  0.460 0.117  0.519 0.029  0.531 -0.078  0.611 -0.158  0.643 -0.257  0.643 -0.369  0.643 -0.482  0.643 -0.594  0.622 -0.685  0.519 -0.695  0.519 -0.807  0.409 -0.809  0.395 -0.908  0.333 -0.995  0.247 -1.057  0.134 -1.057  0.022 -1.057  -0.090 -1.057  -0.203 -1.057  -0.315 -1.057  -0.428 -1.057  -0.540 -1.057  -0.595 -1.000  -0.641 -0.933  -0.719 -0.899  -0.719 -0.786  -0.708 -0.685  -0.595 -0.685
2#app#app37#app3795/i  -0.052 0.524  -0.052 0.402  -0.052 0.281  -0.052 0.160  -0.052 0.038  -0.052 -0.083  -0.052 -0.204  -0.052 -0.326  -0.052 -0.447  -0.052 -0.568  -0.052 -0.689  -0.052 -0.811  -0.052 -0.932  -0.052 -1.053  -0.052 -1.175  -0.052 -1.296  -0.031 -1.397  0.076 -1.411  0.076 -1.517  0.076 -1.396  0.076 -1.275  -0.006 -1.187  -0.050 -1.085  -0.044 -0.964  -0.039 -0.843  -0.034 -0.721  -0.029 -0.600  -0.023 -0.479  -0.018 -0.358  -0.013 -0.237  -0.008 -0.115  -0.002 0.006  0.003 0.127  0.008 0.248  0.014 0.370  0.019 0.491  0.024 0.612  0.029 0.733  0.035 0.854  0.040 0.976  0.045 1.097  0.050 1.218  0.056 1.339  0.061 1.460  0.066 1.582  0.072 1.703  0.076 1.784  0.076 1.689  0.076 1.797  0.076 1.676
2#app#app37#app3795/m  -0.999 0.999  -0.999 0.755  -0.999 0.512  -0.999 0.269  -0.999 0.025  -0.999 -0.218  -0.999 -0.462  -0.999 -0.705  -0.999 -0.948  -0.883 -1.076  -0.802 -0.891  -0.767 -0.662  -0.727 -0.428  -0.651 -0.203  -0.651 0.041  -0.535 0.236  -0.419 0.431  -0.419 0.675  -0.394 0.908  -0.188 0.999  -0.071 0.872  -0.071 0.629  -0.071 0.386  -0.026 0.187  -0.032 0.033  -0.071 -0.201  -0.071 -0.445  -0.071 -0.688  -0.071 -0.782  -0.071 -0.538  0.045 -0.343  0.161 -0.147  0.260 0.055  0.277 0.291  0.393 0.487  0.508 0.682  0.621 0.879  0.814 0.999  1.058 0.999  1.088 0.786  1.088 0.542  1.088 0.299  1.088 0.056  1.088 -0.188  1.088 -0.431  1.053 -0.660  0.972 -0.870  1.072 -1.072  1.088 -1.100  1.204 -0.972
2#app#app37#app3795/.  0.000 1.664  0.000 1.525  0.000 1.387  0.000 1.248  0.000 1.109  0.000 0.971  0.000 0.832  0.000 0.693  0.000 0.555  0.000 0.416  0.000 0.277  0.000 0.139  0.000 -0.000  0.000 -0.139  0.000 -0.277  0.000 -0.416  0.000 -0.555  0.000 -0.693  0.000 -0.832  0.000 -0.971  0.000 -1.109  0.000 -1.248  0.000 -1.387  0.000 -1.525  0.000 -1.664  0.000 -1.664  0.000 -1.525  0.000 -1.387  0.000 -1.248  0.000 -1.109  0.000 -0.971  0.000 -0.832  0.000 -0.693  0.000 -0.555  0.000 -0.416  0.000 -0.277  0.000 -0.139  0.000 -0.000  0.000 0.139  0.000 0.277  0.000 0.416  0.000 0.555  0.000 0.693  0.000 0.832  0.000 0.971  0.000 1.109  0.000 1.248  0.000 1.387  0.000 1.525  0.000 1.664
2#app#app37#app3795/\"  -0.559 1.953  -0.559 1.822  -0.559 1.690  -0.559 1.559  -0.559 1.427  -0.559 1.296  -0.559 1.164  -0.559 1.033  -0.559 0.901  -0.559 0.770  -0.559 0.638  -0.559 0.507  -0.559 0.375  -0.559 0.244  -0.559 0.112  -0.559 -0.019  -0.559 -0.151  -0.559 -0.282  -0.559 -0.414  -0.559 -0.545  -0.559 -0.677  -0.559 -0.808  -0.546 -0.913  -0.443 -0.830  -0.340 -0.748  -0.238 -0.666  -0.135 -0.584  -0.032 -0.502  0.070 -0.420  0.173 -0.338  0.276 -0.255  0.378 -0.173  0.481 -0.091  0.584 -0.009  0.687 0.073  0.789 0.155  0.879 0.211  0.879 0.080  0.879 -0.052  0.879 -0.183  0.879 -0.315  0.879 -0.446  0.879 -0.578  0.805 -0.635  0.674 -0.635  0.592 -0.685  0.592 -0.816  0.592 -0.948  0.592 -1.079  0.592 -1.211
2#app#app37#app3795/N  -0.368 0.947  -0.368 1.098  -0.368 0.859  -0.368 0.621  -0.403 0.391  -0.465 0.167  -0.465 -0.071  -0.465 -0.309  -0.490 -0.537  -0.562 -0.746  -0.562 -0.984  -0.562 -1.222  -0.562 -1.315  -0.562 -1.077  -0.562 -0.839  -0.515 -0.612  -0.465 -0.385  -0.465 -0.147  -0.561 0.069  -0.478 0.278  -0.562 0.482  -0.562 0.720  -0.562 0.958  -0.507 0.947  -0.367 0.848  -0.270 0.650  -0.205 0.427  -0.142 0.203  -0.076 -0.019  0.019 -0.218  0.119 -0.433  0.119 -0.671  0.262 -0.850  0.410 -1.027  0.530 -1.215  0.640 -1.388  0.702 -1.212  0.702 -0.974  0.702 -0.736  0.702 -0.497  0.702 -0.259  0.702 -0.021  0.768 0.202  0.800 0.433  0.800 0.671  0.800 0.909  0.800 1.148  0.800 1.386  0.800 1.624  0.994 1.725
2#app#app37#app3795/o  -0.137 0.952  -0.202 0.822  -0.267 0.692  -0.369 0.589  -0.399 0.455  -0.452 0.322  -0.517 0.192  -0.530 0.049  -0.530 -0.097  -0.530 -0.242  -0.530 -0.388  -0.530 -0.534  -0.530 -0.679  -0.530 -0.825  -0.530 -0.971  -0.530 -1.116  -0.530 -1.262  -0.399 -1.277  -0.296 -1.380  -0.162 -1.408  -0.016 -1.408  0.090 -1.312  0.193 -1.209  0.296 -1.106  0.399 -1.003  0.502 -0.900  0.519 -0.762  0.580 -0.630  0.645 -0.500  0.650 -0.356  0.650 -0.210  0.650 -0.064  0.650 0.081  0.650 0.227  0.650 0.373  0.650 0.518  0.650 0.664  0.650 0.810  0.555 0.916  0.425 0.952  0.311 1.029  0.257 1.153  0.173 1.215  0.028 1.215  -0.118 1.215  -0.264 1.215  -0.368 1.114  -0.501 1.084  -0.530 0.967  -0.530 0.821
2#app#app37#app3795/p  -0.199 1.315  -0.199 1.108  -0.199 0.901  -0.199 0.693  -0.199 0.486  -0.199 0.279  -0.199 0.072  -0.270 -0.119  -0.299 -0.319  -0.299 -0.527  -0.299 -0.734  -0.299 -0.941  -0.199 -1.107  -0.199 -1.315  -0.199 -1.522  -0.136 -1.666  -0.100 -1.496  -0.100 -1.647  -0.126 -1.480  -0.156 -1.275  -0.185 -1.070  -0.214 -0.865  -0.244 -0.660  -0.273 -0.454  -0.302 -0.249  -0.332 -0.044  -0.361 0.161  -0.390 0.366  -0.419 0.572  -0.449 0.777  -0.478 0.982  -0.434 1.148  -0.242 1.216  -0.035 1.216  0.172 1.216  0.380 1.216  0.587 1.216  0.753 1.116  0.912 0.999  0.993 0.826  0.993 0.619  0.945 0.423  0.800 0.321  0.704 0.141  0.555 0.003  0.375 -0.098  0.228 -0.245  0.133 -0.374  -0.000 -0.506  -0.100 -0.672
2#app#app37#app3795/i  0.019 0.787  0.019 0.657  0.019 0.528  0.019 0.398  0.019 0.268  -0.009 0.151  -0.101 0.059  -0.132 -0.057  -0.132 -0.187  -0.132 -0.316  -0.132 -0.446  -0.132 -0.575  -0.043 -0.668  0.019 -0.772  0.019 -0.901  0.019 -1.031  0.019 -1.160  0.019 -1.290  0.019 -1.419  0.019 -1.549  0.019 -1.604  0.019 -1.475  0.019 -1.345  0.019 -1.216  0.019 -1.086  0.019 -0.957  0.019 -0.827  0.019 -0.698  0.019 -0.568  0.019 -0.438  0.019 -0.309  0.019 -0.179  0.019 -0.050  0.019 0.080  0.019 0.209  0.019 0.339  0.019 0.468  0.019 0.598  0.019 0.727  0.019 0.857  0.019 0.987  0.019 1.116  0.019 1.246  0.019 1.375  0.019 1.505  0.019 1.634  0.019 1.764  0.019 1.804  0.019 1.719  0.019 1.849
2#app#app37#app3795/n  -0.669 0.860  -0.669 0.692  -0.669 0.524  -0.669 0.356  -0.669 0.188  -0.669 0.020  -0.669 -0.148  -0.669 -0.316  -0.669 -0.484  -0.669 -0.652  -0.669 -0.820  -0.669 -0.988  -0.669 -1.156  -0.669 -1.324  -0.669 -1.169  -0.629 -1.017  -0.532 -0.889  -0.532 -0.721  -0.532 -0.553  -0.532 -0.385  -0.519 -0.223  -0.400 -0.104  -0.395 0.062  -0.356 0.214  -0.238 0.333  -0.121 0.452  -0.106 0.617  -0.031 0.767  0.061 0.905  0.153 1.035  0.202 1.183  0.334 1.270  0.502 1.270  0.563 1.164  0.700 1.133  0.723 0.974  0.837 0.853  0.837 0.685  0.837 0.517  0.837 0.349  0.837 0.181  0.837 0.013  0.837 -0.155  0.837 -0.322  0.837 -0.490  0.837 -0.658  0.837 -0.826  0.837 -0.994  0.837 -1.162  0.837 -1.057
2#app#app37#app3795/k  -0.310 1.986  -0.310 2.011  -0.310 1.786  -0.332 1.566  -0.433 1.365  -0.435 1.141  -0.435 0.916  -0.435 0.691  -0.435 0.466  -0.435 0.241  -0.435 0.016  -0.435 -0.209  -0.435 -0.434  -0.435 -0.659  -0.435 -0.884  -0.435 -1.109  -0.435 -1.334  -0.435 -1.461  -0.435 -1.236  -0.367 -1.031  -0.245 -0.842  -0.123 -0.654  -0.001 -0.465  0.122 -0.276  0.244 -0.087  0.366 0.102  0.488 0.291  0.610 0.480  0.733 0.668  0.855 0.857  0.869 0.987  0.782 0.830  0.595 0.738  0.478 0.564  0.341 0.389  0.182 0.230  0.023 0.071  -0.137 -0.088  -0.310 -0.168  -0.442 -0.261  -0.452 -0.261  -0.279 -0.386  -0.060 -0.392  0.046 -0.511  0.210 -0.657  0.369 -0.816  0.564 -0.887  0.666 -1.011  0.839 -1.135  0.814 -1.135
2#app#app37#app3795/!  0.106 1.748  0.106 1.669  0.058 1.610  0.016 1.549  0.016 1.470  0.016 1.391  0.016 1.311  0.016 1.232  -0.022 1.169  -0.075 1.112  -0.075 1.033  -0.075 0.954  -0.075 0.874  -0.075 0.795  -0.075 0.716  -0.075 0.637  -0.075 0.558  -0.075 0.479  -0.075 0.400  -0.075 0.321  -0.075 0.242  -0.075 0.163  -0.075 0.084  -0.075 0.005  -0.075 -0.074  -0.075 -0.154  -0.075 -0.233  -0.075 -0.312  -0.075 -0.391  -0.075 -0.372  -0.037 -0.331  0.018 -0.357  0.023 -0.436  0.029 -0.514  0.035 -0.593  0.040 -0.672  0.046 -0.751  0.051 -0.830  0.057 -0.909  0.063 -0.988  0.068 -1.067  0.074 -1.145  0.080 -1.224  0.085 -1.303  0.091 -1.382  0.097 -1.461  0.102 -1.540  0.106 -1.573  0.106 -1.494  0.106 -1.415
