3#apa#apa00#app0035/!  0.007 1.170  0.019 1.242  0.073 1.297  0.128 1.351  0.140 1.423  0.182 1.465  0.128 1.411  0.128 1.334  0.128 1.257  0.105 1.185  0.070 1.116  0.050 1.042  0.032 0.967  0.013 0.892  0.007 0.816  0.007 0.739  -0.001 0.663  -0.026 0.590  -0.050 0.517  -0.053 0.441  -0.053 0.364  -0.053 0.287  -0.053 0.210  -0.076 0.136  -0.101 0.063  -0.114 -0.012  -0.114 -0.089  -0.114 -0.166  -0.114 -0.243  -0.114 -0.320  -0.114 -0.397  -0.114 -0.474  -0.114 -0.551  -0.114 -0.628  -0.084 -0.698  -0.053 -0.768  -0.053 -0.845  -0.011 -0.879  0.012 -0.938  0.019 -1.015  0.026 -1.092  0.033 -1.168  0.040 -1.245  0.047 -1.322  0.054 -1.399  0.061 -1.475  0.067 -1.552  0.040 -1.602  0.007 -1.559  0.067 -1.542
3#apa#apa00#app0035/~  -1.494 -0.481  -1.494 -0.375  -1.410 -0.353  -1.365 -0.292  -1.348 -0.190  -1.301 -0.095  -1.253 -0.001  -1.168 0.033  -1.076 0.065  -1.001 0.140  -0.904 0.161  -0.851 0.215  -0.820 0.290  -0.714 0.290  -0.608 0.290  -0.529 0.355  -0.450 0.419  -0.344 0.419  -0.238 0.419  -0.208 0.342  -0.208 0.236  -0.208 0.131  -0.208 0.025  -0.208 -0.081  -0.208 -0.187  -0.160 -0.273  -0.085 -0.348  -0.080 -0.452  -0.003 -0.481  0.103 -0.481  0.208 -0.481  0.314 -0.481  0.420 -0.481  0.499 -0.416  0.579 -0.353  0.685 -0.353  0.762 -0.282  0.836 -0.207  0.911 -0.133  0.986 -0.058  1.061 0.017  1.136 0.092  1.211 0.167  1.286 0.242  1.361 0.317  1.435 0.392  1.462 0.486  1.508 0.547  1.591 0.570  1.591 0.676
3#apa#apa00#app0035/  -1.495 -0.245  -1.444 -0.297  -1.392 -0.349  -1.341 -0.400  -1.327 -0.361  -1.327 -0.288  -1.297 -0.245  -1.224 -0.245  -1.151 -0.245  -1.078 -0.245  -1.005 -0.245  -0.949 -0.205  -0.897 -0.154  -0.846 -0.102  -0.783 -0.077  -0.710 -0.077  -0.637 -0.077  -0.564 -0.077  -0.492 -0.077  -0.419 -0.077  -0.346 -0.077  -0.274 -0.069  -0.202 -0.054  -0.131 -0.040  -0.059 -0.026  0.012 -0.011  0.084 0.003  0.155 0.017  0.227 0.032  0.298 0.046  0.370 0.060  0.441 0.074  0.513 0.089  0.580 0.117  0.645 0.149  0.710 0.182  0.775 0.215  0.841 0.247  0.910 0.261  0.983 0.261  1.056 0.261  1.129 0.261  1.202 0.261  1.275 0.261  1.348 0.261  1.421 0.261  1.494 0.261  1.567 0.261  1.639 0.261  1.712 0.261
3#apa#apa00#app0035/_  -1.750 -0.079  -1.676 -0.079  -1.602 -0.079  -1.528 -0.079  -1.454 -0.079  -1.380 -0.079  -1.307 -0.079  -1.234 -0.072  -1.168 -0.039  -1.102 -0.006  -1.031 0.005  -0.957 0.005  -0.883 0.005  -0.810 0.005  -0.736 0.005  -0.662 0.005  -0.588 0.005  -0.514 0.005  -0.440 0.005  -0.366 0.005  -0.293 0.005  -0.219 0.005  -0.145 0.005  -0.071 0.005  0.003 0.005  0.077 0.005  0.150 0.005  0.224 0.005  0.298 0.005  0.372 0.005  0.446 0.005  0.520 0.005  0.593 0.005  0.667 0.005  0.741 0.005  0.815 0.005  0.889 0.005  0.963 0.005  1.036 0.005  1.110 0.005  1.184 0.005  1.258 0.005  1.332 0.005  1.406 0.005  1.430 0.054  1.391 0.089  1.317 0.089  1.243 0.089  1.189 0.089  1.263 0.089
3#apa#apa00#app0035/+  0.359 1.649  0.359 1.476  0.318 1.321  0.216 1.190  0.216 1.018  0.216 0.845  0.216 0.672  0.113 0.542  0.072 0.386  0.072 0.214  0.050 0.050  -0.071 -0.072  -0.071 -0.245  -0.071 -0.417  -0.071 -0.590  -0.071 -0.763  -0.071 -0.935  -0.071 -1.108  -0.071 -1.281  -0.071 -1.453  -0.138 -1.403  -0.234 -1.260  -0.330 -1.116  -0.426 -0.972  -0.521 -0.829  -0.617 -0.685  -0.713 -0.541  -0.809 -0.398  -0.905 -0.254  -1.000 -0.110  -1.096 0.033  -1.192 0.177  -1.091 0.216  -0.919 0.216  -0.746 0.216  -0.573 0.216  -0.401 0.216  -0.232 0.247  -0.064 0.289  0.103 0.331  0.272 0.359  0.445 0.359  0.618 0.359  0.790 0.359  0.960 0.345  1.114 0.268  1.275 0.216  1.447 0.216  1.620 0.216  1.792 0.216
3#apa#apa00#app0035/=  -1.245 -0.785  -1.126 -0.666  -0.973 -0.628  -0.805 -0.628  -0.636 -0.628  -0.484 -0.561  -0.333 -0.486  -0.168 -0.471  -0.000 -0.471  0.168 -0.471  0.337 -0.471  0.505 -0.471  0.670 -0.456  0.820 -0.380  0.973 -0.314  1.141 -0.314  1.310 -0.314  1.478 -0.314  1.646 -0.314  1.665 -0.294  1.503 -0.252  1.340 -0.209  1.177 -0.166  1.014 -0.123  0.851 -0.080  0.689 -0.037  0.526 0.005  0.363 0.048  0.200 0.091  0.037 0.134  -0.126 0.177  -0.288 0.220  -0.451 0.263  -0.614 0.305  -0.777 0.348  -0.940 0.391  -1.102 0.434  -1.266 0.471  -1.402 0.504  -1.358 0.628  -1.190 0.628  -1.021 0.628  -0.853 0.628  -0.685 0.628  -0.516 0.628  -0.348 0.628  -0.180 0.628  -0.011 0.628  0.157 0.628  0.326 0.628
3#apa#apa00#app0035/[  0.531 1.292  0.594 1.230  0.580 1.292  0.491 1.292  0.403 1.292  0.315 1.292  0.239 1.263  0.165 1.227  0.077 1.227  0.005 1.211  -0.034 1.161  -0.104 1.118  -0.127 1.039  -0.118 0.954  -0.061 0.890  -0.040 0.810  0.005 0.740  0.005 0.652  0.005 0.564  0.005 0.475  0.005 0.387  0.005 0.299  0.005 0.210  -0.011 0.125  -0.039 0.041  -0.061 -0.044  -0.061 -0.132  -0.061 -0.220  -0.061 -0.309  -0.081 -0.392  -0.120 -0.471  -0.127 -0.558  -0.127 -0.646  -0.164 -0.719  -0.193 -0.796  -0.193 -0.884  -0.193 -0.972  -0.193 -1.061  -0.259 -1.083  -0.259 -1.171  -0.259 -1.260  -0.325 -1.282  -0.296 -1.341  -0.222 -1.305  -0.146 -1.276  -0.058 -1.276  0.023 -1.257  0.091 -1.210  0.180 -1.210  0.268 -1.210
3#apa#apa00#app0035/]  -0.462 1.135  -0.402 1.195  -0.319 1.200  -0.234 1.200  -0.149 1.200  -0.064 1.200  0.021 1.200  0.106 1.200  0.191 1.200  0.228 1.200  0.187 1.156  0.123 1.135  0.122 1.051  0.122 0.966  0.181 0.940  0.187 0.861  0.187 0.776  0.187 0.691  0.187 0.606  0.187 0.521  0.187 0.436  0.185 0.351  0.147 0.275  0.122 0.196  0.122 0.111  0.120 0.027  0.082 -0.049  0.057 -0.129  0.057 -0.214  0.054 -0.297  -0.006 -0.357  -0.008 -0.442  -0.008 -0.527  -0.049 -0.595  -0.073 -0.670  -0.073 -0.755  -0.073 -0.840  -0.073 -0.925  -0.073 -1.010  -0.073 -1.095  -0.073 -1.180  -0.073 -1.265  -0.073 -1.350  -0.036 -1.398  -0.008 -1.455  -0.073 -1.475  -0.104 -1.528  -0.189 -1.528  -0.253 -1.477  -0.332 -1.463
3#apa#apa00#app0035/{  0.618 1.480  0.493 1.480  0.369 1.480  0.245 1.480  0.121 1.480  0.035 1.442  -0.044 1.397  -0.132 1.312  -0.132 1.188  -0.132 1.063  -0.091 0.980  -0.048 0.899  0.040 0.814  0.150 0.781  0.253 0.731  0.291 0.640  0.368 0.548  0.368 0.424  0.353 0.314  0.285 0.259  0.216 0.163  0.182 0.065  0.075 0.022  -0.032 -0.019  -0.124 -0.095  -0.237 -0.123  -0.335 -0.185  -0.381 -0.263  -0.263 -0.268  -0.139 -0.268  -0.015 -0.268  0.088 -0.321  0.199 -0.352  0.163 -0.435  0.118 -0.514  0.035 -0.555  -0.020 -0.656  -0.108 -0.744  -0.196 -0.832  -0.284 -0.920  -0.371 -1.007  -0.459 -1.095  -0.465 -1.217  -0.465 -1.341  -0.384 -1.432  -0.272 -1.461  -0.171 -1.517  -0.047 -1.517  0.077 -1.517  0.201 -1.517
3#apa#apa00#app0035/}  -0.566 1.197  -0.533 1.276  -0.487 1.342  -0.387 1.355  -0.290 1.318  -0.195 1.276  -0.082 1.276  0.030 1.276  0.143 1.276  0.228 1.249  0.288 1.197  0.308 1.103  0.341 1.004  0.387 0.911  0.386 0.799  0.308 0.719  0.283 0.616  0.204 0.537  0.149 0.447  0.100 0.354  0.001 0.323  -0.026 0.228  -0.105 0.148  -0.185 0.069  -0.248 -0.018  -0.248 -0.130  -0.185 -0.217  -0.080 -0.233  0.020 -0.264  0.113 -0.313  0.095 -0.367  -0.008 -0.392  -0.088 -0.470  -0.169 -0.502  -0.169 -0.615  -0.151 -0.710  -0.090 -0.761  -0.010 -0.794  0.027 -0.869  0.119 -0.919  0.149 -1.019  0.228 -1.052  0.228 -1.165  0.187 -1.268  0.149 -1.371  0.107 -1.466  0.010 -1.504  -0.023 -1.583  -0.090 -1.630  -0.169 -1.663
3#apa#apa00#app0035/\\  -0.724 1.133  -0.724 1.207  -0.724 1.281  -0.686 1.317  -0.631 1.299  -0.631 1.225  -0.579 1.173  -0.522 1.133  -0.448 1.133  -0.447 1.060  -0.423 0.992  -0.390 0.926  -0.357 0.860  -0.324 0.794  -0.291 0.728  -0.258 0.662  -0.225 0.596  -0.192 0.530  -0.159 0.464  -0.126 0.398  -0.093 0.332  -0.060 0.266  -0.027 0.200  0.006 0.134  0.032 0.065  0.055 -0.005  0.078 -0.075  0.102 -0.145  0.105 -0.219  0.105 -0.292  0.120 -0.362  0.161 -0.423  0.201 -0.485  0.242 -0.546  0.283 -0.607  0.290 -0.679  0.290 -0.753  0.308 -0.819  0.360 -0.872  0.412 -0.924  0.464 -0.976  0.501 -1.039  0.534 -1.105  0.566 -1.172  0.566 -1.245  0.566 -1.319  0.594 -1.382  0.646 -1.434  0.698 -1.486  0.750 -1.538
3#apa#apa00#app0035/,  0.157 1.435  0.157 1.347  0.157 1.259  0.157 1.171  0.190 1.104  0.269 1.065  0.347 1.025  0.426 0.986  0.505 0.947  0.583 0.908  0.662 0.868  0.740 0.829  0.757 0.780  0.695 0.718  0.633 0.655  0.571 0.593  0.509 0.531  0.437 0.493  0.349 0.493  0.261 0.493  0.173 0.493  0.157 0.422  0.157 0.334  0.157 0.246  0.142 0.164  0.080 0.102  0.018 0.040  -0.045 -0.022  -0.107 -0.084  -0.157 -0.151  -0.157 -0.239  -0.157 -0.327  -0.157 -0.415  -0.195 -0.487  -0.258 -0.549  -0.320 -0.611  -0.382 -0.673  -0.444 -0.735  -0.471 -0.812  -0.471 -0.900  -0.471 -0.988  -0.471 -1.075  -0.510 -1.154  -0.549 -1.233  -0.589 -1.311  -0.628 -1.390  -0.667 -1.468  -0.706 -1.547  -0.746 -1.626  -0.785 -1.704
3#apa#apa00#app0035/  0.582 1.427  0.582 1.354  0.637 1.337  0.671 1.299  0.650 1.248  0.582 1.244  0.582 1.172  0.539 1.117  0.492 1.064  0.492 0.992  0.492 0.920  0.466 0.856  0.423 0.798  0.379 0.741  0.336 0.683  0.293 0.625  0.249 0.567  0.211 0.506  0.178 0.442  0.146 0.377  0.120 0.310  0.097 0.241  0.074 0.173  0.052 0.104  0.007 0.049  -0.044 -0.002  -0.095 -0.053  -0.139 -0.109  -0.161 -0.178  -0.184 -0.246  -0.207 -0.315  -0.233 -0.382  -0.266 -0.446  -0.298 -0.511  -0.325 -0.578  -0.347 -0.647  -0.370 -0.715  -0.393 -0.784  -0.423 -0.850  -0.455 -0.914  -0.487 -0.979  -0.489 -1.051  -0.489 -1.123  -0.504 -1.191  -0.537 -1.256  -0.569 -1.321  -0.579 -1.391  -0.579 -1.463  -0.579 -1.535  -0.579 -1.608
3#apa#apa00#app0035/?  -0.592 0.441  -0.592 0.576  -0.592 0.711  -0.577 0.840  -0.516 0.949  -0.418 0.999  -0.322 1.095  -0.204 1.136  -0.099 1.208  0.010 1.273  0.140 1.285  0.275 1.285  0.410 1.285  0.482 1.222  0.559 1.164  0.486 1.059  0.445 0.941  0.404 0.823  0.300 0.748  0.213 0.669  0.139 0.558  0.044 0.462  -0.052 0.367  -0.093 0.249  -0.132 0.130  -0.132 -0.005  -0.132 -0.141  -0.106 -0.250  0.004 -0.310  0.132 -0.327  0.268 -0.327  0.403 -0.327  0.326 -0.433  0.245 -0.541  0.164 -0.649  0.083 -0.757  0.002 -0.865  -0.079 -0.973  -0.160 -1.081  -0.241 -1.190  -0.285 -1.310  -0.331 -1.356  -0.215 -1.401  -0.111 -1.478  0.024 -1.478  0.099 -1.418  0.175 -1.360  0.159 -1.231  0.048 -1.171  -0.055 -1.094
3#apa#apa00#app0035/'  0.119 1.480  0.119 1.400  0.119 1.319  0.119 1.239  0.119 1.159  0.157 1.117  0.237 1.117  0.318 1.117  0.398 1.117  0.478 1.117  0.428 1.063  0.371 1.006  0.315 0.949  0.258 0.892  0.201 0.835  0.144 0.778  0.119 0.709  0.119 0.628  0.119 0.548  0.119 0.468  0.119 0.387  0.119 0.307  0.119 0.226  0.119 0.146  0.119 0.066  0.090 -0.003  0.033 -0.060  -0.023 -0.116  -0.080 -0.173  -0.137 -0.230  -0.194 -0.287  -0.245 -0.346  -0.245 -0.427  -0.245 -0.507  -0.245 -0.587  -0.245 -0.668  -0.245 -0.748  -0.245 -0.828  -0.245 -0.909  -0.245 -0.989  -0.245 -1.069  -0.245 -1.150  -0.245 -1.230  -0.245 -1.310  -0.245 -1.391  -0.245 -1.471  -0.245 -1.552  -0.245 -1.632  -0.245 -1.712  -0.245 -1.793
3#apa#apa00#app0035/<  0.412 1.019  0.502 1.109  0.616 1.142  0.743 1.142  0.780 1.233  0.780 1.170  0.710 1.071  0.610 0.995  0.496 0.938  0.412 0.863  0.373 0.774  0.246 0.774  0.132 0.740  0.042 0.650  -0.048 0.560  -0.138 0.469  -0.239 0.405  -0.354 0.376  -0.444 0.286  -0.534 0.196  -0.647 0.160  -0.774 0.160  -0.877 0.099  -0.967 0.009  -1.057 -0.081  -1.062 -0.207  -1.182 -0.209  -1.062 -0.216  -1.050 -0.332  -0.922 -0.332  -0.795 -0.332  -0.667 -0.332  -0.549 -0.353  -0.459 -0.443  -0.336 -0.454  -0.208 -0.454  -0.116 -0.540  -0.012 -0.611  0.102 -0.668  0.222 -0.700  0.331 -0.742  0.426 -0.823  0.548 -0.836  0.638 -0.926  0.757 -0.946  0.780 -1.050  0.889 -1.068  0.903 -1.182  1.021 -1.191  1.026 -1.314
3#apa#apa00#app0035/|  -0.112 1.389  -0.112 1.460  -0.090 1.509  -0.020 1.509  0.007 1.465  0.007 1.394  0.007 1.323  0.007 1.252  0.007 1.182  0.007 1.111  0.007 1.040  0.007 0.969  0.007 0.899  0.007 0.828  0.007 0.757  0.007 0.686  0.007 0.616  0.007 0.545  0.007 0.474  0.007 0.403  0.007 0.332  0.007 0.262  0.007 0.191  0.007 0.120  0.007 0.049  0.007 -0.021  0.007 -0.092  0.007 -0.163  0.007 -0.234  0.007 -0.304  0.007 -0.375  0.007 -0.446  0.007 -0.517  0.007 -0.588  0.007 -0.658  0.007 -0.729  0.007 -0.800  0.007 -0.871  0.007 -0.941  0.007 -1.012  0.007 -1.083  0.007 -1.154  0.007 -1.224  0.007 -1.295  0.007 -1.366  0.007 -1.437  0.007 -1.507  0.007 -1.578  0.007 -1.649  0.007 -1.720
3#apa#apa00#app0035/>  -0.932 1.226  -1.038 1.226  -1.049 1.132  -0.967 1.109  -0.882 1.059  -0.804 0.992  -0.698 0.992  -0.623 0.917  -0.535 0.874  -0.429 0.874  -0.330 0.859  -0.255 0.784  -0.164 0.736  -0.063 0.702  0.037 0.669  0.134 0.629  0.209 0.555  0.295 0.495  0.389 0.448  0.485 0.405  0.591 0.405  0.593 0.301  0.658 0.223  0.742 0.170  0.828 0.150  0.828 0.044  0.828 -0.062  0.828 -0.168  0.828 -0.273  0.747 -0.299  0.710 -0.368  0.653 -0.416  0.593 -0.462  0.569 -0.558  0.494 -0.633  0.396 -0.651  0.290 -0.651  0.201 -0.691  0.126 -0.766  0.051 -0.841  -0.036 -0.886  -0.139 -0.899  -0.233 -0.947  -0.328 -0.994  -0.406 -1.064  -0.481 -1.138  -0.556 -1.213  -0.631 -1.288  -0.709 -1.355  -0.815 -1.355
3#apa#apa00#app0035/\"  -0.845 1.004  -0.662 1.004  -0.620 0.864  -0.620 0.681  -0.620 0.498  -0.620 0.316  -0.620 0.133  -0.620 -0.050  -0.620 -0.233  -0.620 -0.415  -0.600 -0.590  -0.471 -0.719  -0.395 -0.871  -0.395 -1.053  -0.395 -1.236  -0.395 -1.419  -0.395 -1.602  -0.370 -1.610  -0.320 -1.434  -0.270 -1.259  -0.220 -1.083  -0.169 -0.907  -0.119 -0.731  -0.069 -0.556  -0.019 -0.380  0.031 -0.204  0.082 -0.029  0.132 0.147  0.182 0.323  0.232 0.499  0.282 0.674  0.333 0.850  0.383 1.026  0.433 1.201  0.483 1.377  0.608 1.454  0.687 1.412  0.558 1.282  0.505 1.122  0.505 0.939  0.505 0.756  0.505 0.573  0.505 0.391  0.505 0.208  0.505 0.025  0.505 -0.158  0.505 -0.340  0.631 -0.471  0.730 -0.613  0.730 -0.796
