1b#app#app40#app4073/Q  -0.061 0.491  0.130 0.539  0.130 0.779  0.130 1.018  -0.063 1.064  -0.287 1.028  -0.457 0.859  -0.626 0.690  -0.671 0.491  -0.885 0.430  -1.016 0.245  -1.016 0.006  -1.016 -0.234  -1.016 -0.473  -0.959 -0.656  -0.751 -0.730  -0.560 -0.847  -0.320 -0.847  -0.081 -0.847  0.159 -0.847  0.322 -0.770  0.446 -0.656  0.635 -0.533  0.704 -0.322  0.704 -0.083  0.704 0.156  0.704 0.396  0.704 0.635  0.702 0.873  0.477 0.908  0.308 1.078  0.139 1.247  -0.097 1.255  -0.312 1.195  -0.430 1.012  -0.372 0.780  -0.314 0.547  -0.255 0.315  -0.197 0.083  -0.139 -0.149  -0.081 -0.382  -0.061 -0.618  0.130 -0.667  0.190 -0.847  0.398 -0.923  0.513 -1.115  0.601 -1.317  0.798 -1.420  1.038 -1.420  1.277 -1.420
1b#app#app40#app4073/O  -0.314 0.862  -0.314 0.730  -0.314 0.598  -0.437 0.588  -0.569 0.588  -0.668 0.508  -0.761 0.415  -0.855 0.321  -0.862 0.192  -0.862 0.060  -0.975 0.041  -1.107 0.041  -1.135 -0.063  -1.135 -0.195  -1.135 -0.327  -1.135 -0.459  -1.075 -0.567  -0.982 -0.660  -0.888 -0.754  -0.767 -0.780  -0.635 -0.780  -0.503 -0.780  -0.371 -0.780  -0.239 -0.780  -0.107 -0.780  0.026 -0.780  0.158 -0.780  0.273 -0.740  0.367 -0.647  0.460 -0.553  0.573 -0.507  0.705 -0.507  0.821 -0.467  0.914 -0.373  1.007 -0.280  1.054 -0.167  1.054 -0.035  1.054 0.097  1.054 0.229  1.054 0.362  1.054 0.494  1.054 0.626  1.054 0.758  1.026 0.862  0.894 0.862  0.762 0.862  0.630 0.862  0.497 0.862  0.365 0.862  0.233 0.862
1b#app#app40#app4073/T  0.469 0.632  0.469 0.472  0.469 0.313  0.469 0.154  0.469 -0.006  0.469 -0.165  0.469 -0.325  0.469 -0.484  0.469 -0.644  0.469 -0.803  0.469 -0.963  0.469 -1.122  0.469 -1.281  0.469 -1.441  0.569 -1.501  0.728 -1.501  0.711 -1.406  0.622 -1.273  0.534 -1.141  0.445 -1.008  0.357 -0.875  0.268 -0.743  0.180 -0.610  0.091 -0.477  0.003 -0.345  -0.086 -0.212  -0.174 -0.079  -0.262 0.053  -0.351 0.186  -0.439 0.319  -0.528 0.451  -0.616 0.584  -0.705 0.717  -0.793 0.849  -0.882 0.982  -0.970 1.115  -1.054 1.234  -1.054 1.074  -1.033 0.937  -0.873 0.937  -0.724 0.911  -0.611 0.798  -0.499 0.686  -0.361 0.632  -0.202 0.632  -0.043 0.632  0.117 0.632  0.244 0.711  0.356 0.824  0.469 0.937
1b#app#app40#app4073/H  -0.726 0.357  -0.726 0.613  -0.726 0.383  -0.726 0.127  -0.726 -0.128  -0.726 -0.384  -0.726 -0.640  -0.726 -0.896  -0.726 -1.152  -0.668 -1.116  -0.569 -0.880  -0.471 -0.644  -0.373 -0.408  -0.274 -0.171  -0.176 0.065  -0.077 0.301  0.021 0.537  0.119 0.773  0.218 1.009  0.316 1.245  0.414 1.481  0.513 1.717  0.611 1.954  0.618 1.732  0.618 1.476  0.468 1.282  0.349 1.076  0.349 0.820  0.349 0.564  0.349 0.309  0.349 0.053  0.349 -0.203  0.349 -0.459  0.349 -0.715  0.349 -0.970  0.588 -0.987  0.618 -1.213  0.618 -1.469  0.507 -1.358  0.365 -1.145  0.223 -0.932  0.081 -0.720  -0.060 -0.507  -0.202 -0.294  -0.344 -0.081  -0.405 0.088  -0.188 0.049  -0.162 -0.181  0.093 -0.181  0.349 -0.181
1b#app#app40#app4073/O  0.176 1.458  0.176 1.345  0.176 1.232  0.158 1.136  0.044 1.136  -0.069 1.136  -0.172 1.111  -0.252 1.031  -0.332 0.951  -0.412 0.871  -0.468 0.781  -0.468 0.667  -0.468 0.554  -0.520 0.493  -0.633 0.493  -0.747 0.493  -0.790 0.423  -0.790 0.310  -0.790 0.196  -0.790 0.083  -0.790 -0.030  -0.790 -0.144  -0.790 -0.257  -0.790 -0.370  -0.783 -0.481  -0.703 -0.561  -0.623 -0.641  -0.543 -0.721  -0.460 -0.795  -0.347 -0.795  -0.234 -0.795  -0.121 -0.795  -0.007 -0.795  0.106 -0.795  0.219 -0.795  0.333 -0.795  0.446 -0.795  0.559 -0.795  0.673 -0.795  0.786 -0.795  0.876 -0.739  0.956 -0.659  1.036 -0.579  1.116 -0.499  1.142 -0.396  1.142 -0.283  1.142 -0.169  1.142 -0.056  1.142 0.057  1.142 0.171
1b#app#app40#app4073/W  -1.273 0.680  -1.273 0.499  -1.273 0.319  -1.273 0.138  -1.273 -0.042  -1.273 -0.223  -1.273 -0.403  -1.273 -0.584  -1.273 -0.765  -1.131 -0.803  -0.950 -0.803  -0.770 -0.803  -0.616 -0.739  -0.488 -0.611  -0.383 -0.474  -0.383 -0.294  -0.315 -0.142  -0.187 -0.014  -0.086 0.125  -0.086 0.305  -0.086 0.486  -0.086 0.666  0.081 0.680  0.210 0.731  0.210 0.911  0.210 0.861  0.210 0.680  0.030 0.680  -0.086 0.616  -0.086 0.435  -0.086 0.254  -0.074 0.087  0.107 0.087  0.210 0.009  0.210 -0.171  0.352 -0.210  0.507 -0.236  0.507 -0.416  0.597 -0.507  0.777 -0.507  0.958 -0.507  1.100 -0.468  1.100 -0.287  1.203 -0.210  1.383 -0.210  1.396 -0.042  1.396 0.138  1.396 0.319  1.512 0.383  1.693 0.383
1b#app#app40#app4073/T  0.588 0.972  0.588 0.812  0.588 0.652  0.459 0.621  0.298 0.621  0.237 0.522  0.237 0.362  0.189 0.221  0.075 0.108  -0.038 -0.005  -0.114 -0.134  -0.114 -0.294  -0.114 -0.455  -0.114 -0.615  -0.114 -0.775  -0.114 -0.936  -0.114 -1.096  0.006 -1.136  0.166 -1.136  0.237 -1.226  0.237 -1.386  0.296 -1.487  0.456 -1.487  0.576 -1.462  0.504 -1.318  0.432 -1.175  0.361 -1.032  0.289 -0.888  0.217 -0.745  0.145 -0.601  0.074 -0.458  0.002 -0.315  -0.070 -0.171  -0.141 -0.028  -0.213 0.116  -0.285 0.259  -0.356 0.402  -0.428 0.546  -0.500 0.689  -0.572 0.833  -0.643 0.976  -0.715 1.119  -0.787 1.263  -0.725 1.324  -0.565 1.324  -0.404 1.324  -0.244 1.324  -0.084 1.324  0.077 1.324  0.237 1.324
1b#app#app40#app4073/O  0.606 1.328  0.487 1.328  0.368 1.328  0.272 1.272  0.188 1.187  0.104 1.103  0.006 1.051  -0.113 1.051  -0.230 1.046  -0.314 0.962  -0.398 0.878  -0.483 0.794  -0.567 0.709  -0.651 0.625  -0.735 0.541  -0.779 0.440  -0.779 0.321  -0.779 0.201  -0.779 0.082  -0.779 -0.037  -0.779 -0.156  -0.779 -0.275  -0.779 -0.394  -0.779 -0.514  -0.757 -0.611  -0.638 -0.611  -0.519 -0.611  -0.502 -0.713  -0.502 -0.832  -0.439 -0.888  -0.320 -0.888  -0.200 -0.888  -0.081 -0.888  0.038 -0.888  0.157 -0.888  0.276 -0.888  0.376 -0.842  0.460 -0.757  0.544 -0.673  0.638 -0.611  0.757 -0.611  0.876 -0.611  0.883 -0.499  0.883 -0.380  0.935 -0.282  1.019 -0.198  1.104 -0.114  1.161 -0.018  1.161 0.101  1.161 0.220
1b#app#app40#app4073/W  -1.076 0.984  -1.076 0.837  -1.076 0.690  -1.076 0.542  -1.209 0.528  -1.303 0.476  -1.303 0.329  -1.303 0.181  -1.276 0.045  -1.172 -0.059  -1.076 -0.166  -1.076 -0.313  -0.998 -0.383  -0.851 -0.383  -0.704 -0.383  -0.557 -0.383  -0.409 -0.383  -0.392 -0.254  -0.343 -0.155  -0.196 -0.155  -0.164 -0.040  -0.129 0.073  0.018 0.073  0.064 0.174  0.064 0.321  0.064 0.468  0.064 0.441  0.064 0.294  0.064 0.147  0.064 -0.001  0.064 -0.148  0.163 -0.254  0.267 -0.358  0.292 -0.495  0.323 -0.611  0.470 -0.611  0.618 -0.611  0.765 -0.611  0.912 -0.611  1.035 -0.552  1.139 -0.448  1.204 -0.327  1.204 -0.180  1.290 -0.069  1.394 0.035  1.431 0.167  1.431 0.315  1.431 0.462  1.431 0.609  1.431 0.756
1b#app#app40#app4073/A  -0.728 0.716  -0.728 0.458  -0.728 0.199  -0.728 -0.059  -0.765 -0.302  -0.948 -0.485  -1.055 -0.699  -1.055 -0.958  -1.055 -1.216  -1.055 -1.018  -0.895 -0.919  -0.728 -0.828  -0.712 -0.576  -0.529 -0.393  -0.401 -0.188  -0.395 0.068  -0.212 0.251  -0.074 0.453  -0.074 0.711  -0.074 0.970  0.057 1.174  0.240 1.357  0.253 1.610  0.424 1.698  0.581 1.596  0.581 1.337  0.581 1.079  0.581 0.820  0.581 0.562  0.581 0.303  0.581 0.044  0.581 -0.214  0.581 -0.473  0.581 -0.731  0.630 -0.969  0.813 -1.152  0.819 -1.158  0.636 -0.975  0.454 -0.792  0.271 -0.609  0.088 -0.427  -0.095 -0.244  -0.278 -0.061  -0.316 0.062  -0.058 0.062  0.201 0.062  0.459 0.062  0.718 0.062  0.908 -0.006  0.908 -0.265
1b#app#app40#app4073/L  0.007 1.784  0.007 1.696  0.007 1.609  0.007 1.521  0.007 1.433  0.007 1.346  0.007 1.258  0.007 1.170  0.007 1.083  0.007 0.995  0.007 0.907  0.007 0.820  0.007 0.732  0.007 0.644  0.007 0.557  -0.027 0.503  -0.115 0.503  -0.203 0.503  -0.290 0.503  -0.313 0.439  -0.313 0.351  -0.313 0.263  -0.313 0.175  -0.313 0.088  -0.313 0.000  -0.313 -0.088  -0.313 -0.175  -0.313 -0.263  -0.313 -0.351  -0.313 -0.438  -0.313 -0.526  -0.313 -0.614  -0.313 -0.701  -0.306 -0.786  -0.244 -0.848  -0.182 -0.910  -0.120 -0.972  -0.058 -1.034  0.004 -1.096  0.091 -1.098  0.179 -1.098  0.266 -1.098  0.354 -1.098  0.442 -1.098  0.529 -1.098  0.617 -1.098  0.705 -1.098  0.792 -1.098  0.880 -1.098  0.968 -1.098
1b#app#app40#app4073/T  0.217 0.753  0.217 0.595  0.217 0.436  0.217 0.278  0.217 0.120  0.217 -0.038  0.217 -0.197  0.217 -0.355  0.217 -0.513  0.217 -0.671  0.217 -0.830  0.217 -0.988  0.217 -1.146  0.217 -1.304  0.217 -1.463  0.207 -1.583  0.128 -1.446  0.050 -1.308  -0.029 -1.171  -0.107 -1.034  -0.186 -0.896  -0.264 -0.759  -0.343 -0.621  -0.421 -0.484  -0.500 -0.347  -0.578 -0.209  -0.657 -0.072  -0.735 0.066  -0.814 0.203  -0.892 0.340  -0.971 0.478  -1.049 0.615  -1.128 0.753  -0.970 0.753  -0.812 0.753  -0.654 0.753  -0.495 0.753  -0.337 0.753  -0.179 0.753  -0.021 0.753  0.138 0.753  0.296 0.753  0.454 0.753  0.612 0.753  0.771 0.753  0.929 0.753  1.087 0.753  1.245 0.753  1.404 0.753  1.562 0.753
1b#app#app40#app4073/Z  -0.510 1.652  -0.294 1.652  -0.078 1.652  0.138 1.652  0.354 1.652  0.438 1.521  0.438 1.305  0.438 1.089  0.335 0.916  0.182 0.764  0.122 0.573  0.100 0.366  -0.052 0.213  -0.205 0.061  -0.358 -0.092  -0.510 -0.245  -0.510 -0.461  -0.510 -0.677  -0.510 -0.893  -0.510 -1.109  -0.378 -1.192  -0.162 -1.192  0.054 -1.192  0.270 -1.192  0.486 -1.192  0.702 -1.192  0.917 -1.192  1.022 -1.152  0.857 -1.014  0.691 -0.876  0.525 -0.738  0.359 -0.599  0.193 -0.461  0.027 -0.323  -0.138 -0.185  -0.304 -0.047  -0.470 0.092  -0.636 0.230  -0.802 0.368  -0.826 0.203  -0.741 0.072  -0.525 0.072  -0.510 0.272  -0.439 0.317  -0.286 0.165  -0.109 0.072  0.107 0.072  0.323 0.072  0.539 0.072  0.755 0.072
