3#apb#apb12#app1230/A  -0.780 0.864  -0.738 0.763  -0.632 0.538  -0.584 0.293  -0.536 0.049  -0.489 -0.196  -0.441 -0.441  -0.394 -0.686  -0.346 -0.931  -0.298 -1.175  -0.264 -1.418  -0.396 -1.241  -0.499 -1.015  -0.582 -0.780  -0.644 -0.540  -0.670 -0.292  -0.695 -0.044  -0.708 0.205  -0.707 0.454  -0.693 0.703  -0.663 0.951  -0.585 1.186  -0.487 1.415  -0.329 1.588  -0.097 1.609  0.103 1.470  0.256 1.273  0.379 1.056  0.466 0.824  0.539 0.585  0.607 0.345  0.659 0.102  0.680 -0.146  0.744 -0.385  0.820 -0.622  0.864 -0.868  0.918 -1.111  0.988 -1.056  0.969 -0.866  0.751 -0.745  0.533 -0.624  0.315 -0.503  0.097 -0.381  -0.121 -0.259  -0.161 -0.074  0.074 -0.022  0.322 0.002  0.570 0.026  0.819 0.050  1.067 0.067
3#apb#apb12#app1230/f  0.001 -1.461  0.089 -1.644  0.072 -1.529  0.003 -1.317  -0.066 -1.105  -0.134 -0.893  -0.208 -0.683  -0.281 -0.472  -0.330 -0.255  -0.380 -0.038  -0.434 0.179  -0.477 0.397  -0.487 0.619  -0.487 0.842  -0.388 1.025  -0.188 1.118  0.035 1.120  0.251 1.068  0.465 1.004  0.681 0.952  0.899 0.904  1.112 0.838  1.334 0.836  1.557 0.836  1.450 0.759  1.250 0.661  1.050 0.563  0.850 0.465  0.650 0.367  0.450 0.269  0.249 0.171  0.049 0.073  -0.151 -0.025  -0.351 -0.123  -0.420 -0.241  -0.274 -0.298  -0.496 -0.270  -0.717 -0.242  -0.938 -0.214  -1.159 -0.186  -1.347 -0.174  -1.169 -0.305  -0.968 -0.401  -0.756 -0.462  -0.536 -0.495  -0.314 -0.494  -0.092 -0.478  0.130 -0.457  0.350 -0.420  0.570 -0.384
3#apb#apb12#app1230/o  -0.859 -0.083  -0.952 0.041  -0.970 0.118  -0.917 0.250  -0.781 0.323  -0.644 0.396  -0.507 0.469  -0.371 0.542  -0.234 0.614  -0.098 0.687  0.039 0.760  0.176 0.833  0.312 0.906  0.449 0.979  0.584 0.914  0.719 0.839  0.828 0.730  0.930 0.614  1.004 0.484  1.035 0.332  1.074 0.183  1.132 0.039  1.181 -0.106  1.181 -0.261  1.158 -0.412  1.112 -0.558  0.988 -0.651  0.864 -0.744  0.748 -0.847  0.633 -0.950  0.496 -1.013  0.345 -1.046  0.191 -1.056  0.037 -1.056  -0.110 -1.022  -0.249 -0.953  -0.363 -0.853  -0.466 -0.737  -0.565 -0.618  -0.648 -0.487  -0.731 -0.357  -0.810 -0.224  -0.887 -0.090  -0.957 0.049  -0.985 0.197  -1.003 0.349  -0.965 0.489  -0.851 0.590  -0.715 0.664  -0.577 0.733
3#apb#apb12#app1230/r  -0.792 0.218  -0.723 0.362  -0.568 0.230  -0.518 0.032  -0.514 -0.173  -0.533 -0.380  -0.551 -0.586  -0.569 -0.792  -0.588 -0.998  -0.606 -1.205  -0.513 -1.099  -0.556 -0.897  -0.598 -0.694  -0.641 -0.491  -0.683 -0.288  -0.725 -0.086  -0.768 0.117  -0.810 0.320  -0.852 0.522  -0.941 0.704  -0.881 0.792  -0.688 0.868  -0.495 0.944  -0.302 1.019  -0.110 1.095  0.083 1.171  0.276 1.247  0.469 1.322  0.616 1.178  0.749 1.020  0.777 0.817  0.771 0.612  0.742 0.407  0.667 0.216  0.573 0.031  0.455 -0.139  0.323 -0.297  0.176 -0.443  0.018 -0.576  -0.026 -0.427  0.086 -0.267  0.286 -0.222  0.478 -0.246  0.653 -0.356  0.840 -0.444  1.018 -0.550  1.166 -0.688  1.269 -0.865  1.432 -0.990  1.628 -1.045
3#apb#apb12#app1230/n  -1.166 0.197  -1.128 0.154  -1.107 0.053  -1.085 -0.048  -1.058 -0.148  -1.019 -0.244  -0.981 -0.340  -0.958 -0.441  -0.941 -0.543  -0.924 -0.645  -0.919 -0.568  -0.912 -0.464  -0.904 -0.361  -0.895 -0.258  -0.862 -0.160  -0.829 -0.062  -0.794 0.035  -0.736 0.122  -0.679 0.208  -0.613 0.287  -0.539 0.360  -0.466 0.433  -0.380 0.487  -0.284 0.526  -0.188 0.564  -0.095 0.611  -0.003 0.657  0.099 0.649  0.201 0.631  0.301 0.604  0.401 0.577  0.492 0.532  0.577 0.473  0.662 0.413  0.748 0.355  0.834 0.298  0.919 0.239  0.992 0.165  1.065 0.092  1.118 0.004  1.164 -0.089  1.195 -0.187  1.217 -0.288  1.229 -0.390  1.229 -0.494  1.229 -0.598  1.229 -0.701  1.207 -0.800  1.180 -0.897  1.180 -1.000
3#apb#apb12#app1230/i  0.129 -0.179  0.144 -0.272  0.158 -0.366  0.172 -0.460  0.187 -0.554  0.201 -0.647  0.216 -0.741  0.231 -0.835  0.247 -0.928  0.260 -1.022  0.268 -1.117  0.276 -1.211  0.280 -1.306  0.280 -1.401  0.261 -1.317  0.241 -1.224  0.221 -1.131  0.202 -1.038  0.182 -0.946  0.162 -0.853  0.142 -0.760  0.123 -0.667  0.103 -0.575  0.083 -0.482  0.063 -0.389  0.044 -0.296  0.024 -0.204  0.004 -0.111  -0.016 -0.018  -0.035 0.075  -0.055 0.167  -0.075 0.260  -0.095 0.353  -0.114 0.446  -0.134 0.539  -0.154 0.631  -0.174 0.724  -0.193 0.817  -0.213 0.910  -0.233 1.002  -0.253 1.095  -0.272 1.188  -0.292 1.281  -0.312 1.373  -0.332 1.466  -0.351 1.559  -0.371 1.652  -0.391 1.744  -0.411 1.837  -0.430 1.930
3#apb#apb12#app1230/a  -1.252 -0.157  -1.214 -0.348  -1.154 -0.531  -1.072 -0.705  -0.977 -0.855  -0.915 -0.678  -0.859 -0.492  -0.803 -0.306  -0.747 -0.121  -0.691 0.065  -0.635 0.250  -0.579 0.436  -0.523 0.622  -0.467 0.807  -0.412 0.993  -0.356 1.179  -0.261 1.338  -0.086 1.392  0.095 1.333  0.259 1.232  0.403 1.103  0.490 0.930  0.575 0.756  0.657 0.580  0.739 0.405  0.807 0.223  0.875 0.042  0.961 -0.132  1.053 -0.302  1.117 -0.485  1.174 -0.670  1.228 -0.856  1.302 -1.008  1.128 -0.924  0.954 -0.839  0.779 -0.754  0.605 -0.669  0.431 -0.584  0.257 -0.499  0.082 -0.414  -0.092 -0.329  -0.266 -0.244  -0.440 -0.159  -0.615 -0.074  -0.731 -0.003  -0.548 -0.063  -0.358 -0.091  -0.164 -0.106  0.028 -0.132  0.220 -0.157
3#apb#apb12#app1230/U  -1.086 1.203  -1.081 1.274  -1.062 1.127  -1.042 0.980  -1.023 0.833  -1.003 0.687  -0.984 0.540  -0.964 0.393  -0.945 0.247  -0.925 0.100  -0.906 -0.047  -0.887 -0.194  -0.867 -0.340  -0.846 -0.487  -0.814 -0.631  -0.742 -0.760  -0.643 -0.868  -0.502 -0.890  -0.358 -0.856  -0.219 -0.808  -0.102 -0.717  0.000 -0.612  0.110 -0.514  0.208 -0.407  0.289 -0.283  0.323 -0.140  0.347 0.006  0.369 0.152  0.390 0.299  0.401 0.446  0.406 0.594  0.412 0.742  0.416 0.888  0.424 0.975  0.474 0.837  0.517 0.696  0.562 0.555  0.613 0.416  0.659 0.275  0.703 0.134  0.729 -0.012  0.747 -0.158  0.782 -0.302  0.824 -0.444  0.873 -0.583  0.928 -0.721  0.983 -0.858  1.054 -0.988  1.175 -0.940  1.280 -0.836
3#apb#apb12#app1230/t  -0.019 1.292  0.012 1.265  0.083 1.089  0.121 0.902  0.157 0.716  0.194 0.529  0.230 0.343  0.267 0.156  0.303 -0.031  0.340 -0.217  0.376 -0.404  0.413 -0.590  0.450 -0.777  0.486 -0.963  0.523 -1.150  0.559 -1.337  0.584 -1.524  0.673 -1.409  0.744 -1.233  0.667 -1.097  0.516 -0.981  0.365 -0.865  0.215 -0.749  0.064 -0.633  -0.087 -0.517  -0.237 -0.401  -0.388 -0.285  -0.539 -0.169  -0.689 -0.054  -0.840 0.062  -0.991 0.178  -1.141 0.294  -1.296 0.398  -1.484 0.374  -1.460 0.374  -1.271 0.387  -1.081 0.402  -0.892 0.417  -0.702 0.432  -0.513 0.447  -0.323 0.462  -0.133 0.477  0.056 0.492  0.246 0.507  0.435 0.522  0.625 0.537  0.814 0.552  1.004 0.567  1.193 0.582  1.371 0.636
3#apb#apb12#app1230/a  0.229 0.529  0.194 0.653  0.107 0.746  -0.001 0.813  -0.118 0.866  -0.242 0.895  -0.361 0.882  -0.456 0.796  -0.551 0.710  -0.647 0.623  -0.742 0.537  -0.837 0.451  -0.933 0.364  -1.028 0.278  -1.123 0.192  -1.218 0.106  -1.314 0.019  -1.291 -0.092  -1.231 -0.205  -1.154 -0.307  -1.051 -0.384  -0.940 -0.449  -0.823 -0.501  -0.701 -0.541  -0.576 -0.517  -0.451 -0.488  -0.328 -0.451  -0.205 -0.413  -0.099 -0.340  0.007 -0.267  0.120 -0.208  0.227 -0.143  0.298 -0.036  0.354 0.079  0.361 0.206  0.392 0.090  0.450 -0.025  0.525 -0.129  0.608 -0.226  0.704 -0.310  0.822 -0.362  0.944 -0.400  1.069 -0.431  1.197 -0.431  1.326 -0.428  1.454 -0.418  1.581 -0.400  1.706 -0.371  1.821 -0.320  1.924 -0.243
3#apb#apb12#app1230/h  -1.110 1.401  -1.051 1.335  -0.992 1.270  -0.940 1.201  -0.901 1.122  -0.862 1.044  -0.822 0.965  -0.792 0.883  -0.764 0.800  -0.737 0.717  -0.709 0.634  -0.681 0.551  -0.653 0.467  -0.626 0.384  -0.598 0.301  -0.576 0.216  -0.558 0.130  -0.540 0.045  -0.522 -0.041  -0.479 -0.116  -0.429 -0.188  -0.378 -0.259  -0.328 -0.331  -0.277 -0.403  -0.226 -0.474  -0.176 -0.546  -0.125 -0.617  -0.064 -0.629  0.009 -0.580  0.078 -0.526  0.148 -0.472  0.217 -0.420  0.288 -0.367  0.366 -0.328  0.446 -0.293  0.519 -0.244  0.592 -0.201  0.680 -0.201  0.762 -0.230  0.844 -0.262  0.925 -0.297  0.994 -0.349  1.060 -0.407  1.118 -0.472  1.172 -0.541  1.225 -0.611  1.276 -0.682  1.340 -0.741  1.389 -0.811  1.467 -0.827
3#apb#apb12#app1230/N  -0.642 0.335  -0.656 0.190  -0.632 0.046  -0.609 -0.099  -0.595 -0.245  -0.581 -0.391  -0.565 -0.537  -0.534 -0.678  -0.465 -0.808  -0.397 -0.938  -0.328 -1.068  -0.341 -1.082  -0.405 -0.949  -0.461 -0.814  -0.515 -0.677  -0.568 -0.540  -0.592 -0.396  -0.615 -0.251  -0.649 -0.108  -0.674 0.036  -0.682 0.183  -0.685 0.329  -0.684 0.476  -0.657 0.621  -0.605 0.758  -0.542 0.890  -0.457 1.007  -0.344 1.100  -0.221 1.179  -0.082 1.217  0.058 1.188  0.188 1.124  0.301 1.030  0.397 0.920  0.486 0.803  0.572 0.684  0.655 0.563  0.719 0.432  0.775 0.296  0.827 0.159  0.874 0.020  0.920 -0.120  0.967 -0.259  1.013 -0.398  1.062 -0.537  1.106 -0.676  1.124 -0.822  1.163 -0.962  1.226 -1.094  1.351 -1.134
3#apb#apb12#app1230/e  -1.012 0.010  -0.959 -0.045  -0.815 -0.111  -0.669 -0.123  -0.520 -0.070  -0.370 -0.018  -0.220 0.034  -0.070 0.087  0.079 0.139  0.229 0.192  0.379 0.244  0.528 0.296  0.645 0.388  0.722 0.527  0.723 0.685  0.631 0.814  0.567 0.958  0.480 1.086  0.351 1.176  0.204 1.226  0.046 1.220  -0.110 1.194  -0.254 1.130  -0.381 1.035  -0.485 0.917  -0.578 0.788  -0.660 0.655  -0.701 0.502  -0.726 0.346  -0.738 0.187  -0.741 0.029  -0.737 -0.129  -0.711 -0.286  -0.677 -0.441  -0.614 -0.583  -0.521 -0.713  -0.429 -0.842  -0.296 -0.927  -0.154 -0.996  -0.005 -1.049  0.153 -1.049  0.312 -1.049  0.470 -1.041  0.625 -1.010  0.781 -0.983  0.938 -0.955  1.089 -0.910  1.243 -0.871  1.399 -0.841  1.556 -0.824
3#apb#apb12#app1230/w  -1.572 0.606  -1.518 0.530  -1.459 0.459  -1.411 0.379  -1.367 0.297  -1.325 0.214  -1.287 0.129  -1.251 0.043  -1.216 -0.043  -1.158 -0.081  -1.068 -0.057  -0.978 -0.033  -0.888 -0.009  -0.798 0.014  -0.708 0.038  -0.618 0.062  -0.526 0.069  -0.441 0.049  -0.371 -0.013  -0.302 -0.075  -0.236 -0.141  -0.170 -0.207  -0.094 -0.259  -0.015 -0.309  0.063 -0.359  0.142 -0.409  0.220 -0.459  0.307 -0.491  0.395 -0.521  0.486 -0.538  0.579 -0.538  0.671 -0.535  0.758 -0.503  0.846 -0.471  0.918 -0.414  0.988 -0.353  1.043 -0.278  1.095 -0.201  1.118 -0.113  1.131 -0.020  1.144 0.072  1.130 0.164  1.115 0.256  1.091 0.345  1.057 0.431  1.013 0.512  0.957 0.587  0.899 0.660  0.840 0.731  0.769 0.784
3#apb#apb12#app1230/Y  -1.472 0.495  -1.530 0.642  -1.508 0.689  -1.408 0.567  -1.308 0.444  -1.207 0.322  -1.107 0.200  -1.007 0.077  -0.907 -0.045  -0.807 -0.168  -0.706 -0.290  -0.606 -0.413  -0.486 -0.504  -0.333 -0.543  -0.187 -0.605  -0.041 -0.576  0.091 -0.494  0.209 -0.388  0.313 -0.268  0.415 -0.148  0.504 -0.017  0.592 0.115  0.681 0.246  0.771 0.376  0.854 0.510  0.933 0.647  1.007 0.787  1.075 0.930  1.145 1.072  1.139 1.041  1.031 0.926  0.923 0.810  0.815 0.695  0.707 0.579  0.599 0.464  0.490 0.348  0.382 0.232  0.274 0.117  0.166 0.001  0.058 -0.114  -0.050 -0.230  -0.158 -0.345  -0.190 -0.491  -0.166 -0.648  -0.128 -0.801  -0.075 -0.950  -0.022 -1.099  0.032 -1.248  0.079 -1.399  0.126 -1.550
3#apb#apb12#app1230/o  -1.204 0.126  -1.270 0.243  -1.301 0.374  -1.275 0.507  -1.221 0.607  -1.085 0.601  -0.949 0.595  -0.813 0.589  -0.677 0.583  -0.541 0.577  -0.406 0.570  -0.270 0.564  -0.134 0.558  0.002 0.552  0.138 0.546  0.274 0.539  0.410 0.533  0.545 0.527  0.681 0.521  0.817 0.515  0.926 0.453  1.017 0.351  1.102 0.246  1.180 0.134  1.244 0.017  1.270 -0.117  1.267 -0.249  1.232 -0.380  1.205 -0.513  1.146 -0.622  1.026 -0.688  0.905 -0.746  0.769 -0.758  0.634 -0.768  0.498 -0.768  0.362 -0.768  0.228 -0.751  0.097 -0.716  -0.035 -0.681  -0.161 -0.632  -0.286 -0.578  -0.411 -0.524  -0.519 -0.441  -0.626 -0.358  -0.733 -0.274  -0.836 -0.184  -0.942 -0.100  -1.060 -0.033  -1.137 0.069  -1.083 0.150
3#apb#apb12#app1230/r  -0.930 0.283  -0.868 0.150  -0.839 -0.006  -0.799 -0.159  -0.752 -0.311  -0.861 -0.204  -0.973 -0.092  -1.086 0.021  -1.198 0.133  -1.310 0.245  -1.342 0.388  -1.268 0.521  -1.143 0.618  -1.007 0.698  -0.861 0.761  -0.712 0.785  -0.558 0.747  -0.404 0.709  -0.249 0.671  -0.095 0.633  0.059 0.595  0.213 0.557  0.368 0.519  0.522 0.481  0.580 0.388  0.537 0.235  0.505 0.080  0.419 -0.052  0.311 -0.168  0.198 -0.280  0.055 -0.330  -0.102 -0.328  -0.223 -0.226  -0.273 -0.088  -0.167 0.004  -0.009 0.000  0.123 -0.088  0.270 -0.144  0.419 -0.196  0.556 -0.276  0.693 -0.356  0.831 -0.436  0.976 -0.500  1.115 -0.575  1.242 -0.670  1.360 -0.775  1.481 -0.876  1.604 -0.972  1.718 -1.066  1.875 -1.050
3#apb#apb12#app1230/k  -1.405 0.951  -1.351 0.799  -1.298 0.647  -1.265 0.490  -1.233 0.332  -1.194 0.176  -1.148 0.022  -1.102 -0.132  -1.056 -0.286  -1.012 -0.441  -0.978 -0.598  -0.892 -0.629  -0.756 -0.543  -0.620 -0.457  -0.518 -0.340  -0.446 -0.196  -0.347 -0.071  -0.239 0.048  -0.126 0.162  -0.009 0.272  0.137 0.340  0.285 0.402  0.436 0.457  0.587 0.512  0.743 0.553  0.899 0.591  1.053 0.637  1.214 0.637  1.362 0.691  1.465 0.623  1.341 0.527  1.195 0.461  1.048 0.395  0.901 0.329  0.755 0.263  0.608 0.197  0.461 0.130  0.315 0.064  0.168 -0.002  0.022 -0.068  -0.094 -0.154  -0.094 -0.315  -0.023 -0.456  0.062 -0.593  0.146 -0.729  0.231 -0.866  0.316 -1.003  0.401 -1.139  0.486 -1.276  0.571 -1.413
