3#app#app34#app3462/f  -0.051 2.128  -0.161 2.018  -0.189 1.873  -0.189 1.717  -0.189 1.561  -0.189 1.405  -0.189 1.249  -0.189 1.094  -0.128 0.963  -0.051 0.839  -0.051 0.683  -0.051 0.527  -0.051 0.371  -0.051 0.215  -0.051 0.059  0.058 -0.051  0.087 -0.196  0.087 -0.351  0.087 -0.507  0.087 -0.663  0.087 -0.819  0.134 -0.956  0.225 -1.074  0.225 -1.230  0.225 -1.386  0.225 -1.542  0.225 -1.499  0.107 -1.460  0.087 -1.325  0.012 -1.188  -0.063 -1.052  -0.139 -0.915  -0.215 -0.779  -0.291 -0.643  -0.366 -0.507  -0.442 -0.370  -0.518 -0.234  -0.593 -0.098  -0.467 -0.080  -0.356 0.029  -0.213 0.058  -0.057 0.058  0.087 0.070  0.117 0.196  0.273 0.196  0.429 0.196  0.501 0.280  0.603 0.334  0.759 0.334  0.777 0.472
3#app#app34#app3462/i  -0.398 0.385  -0.398 0.267  -0.373 0.174  -0.255 0.174  -0.188 0.124  -0.188 0.006  -0.188 -0.112  -0.188 -0.229  -0.188 -0.347  -0.188 -0.465  -0.188 -0.583  -0.188 -0.700  -0.188 -0.818  -0.188 -0.936  -0.188 -1.054  -0.188 -1.172  -0.188 -1.289  -0.110 -1.375  -0.027 -1.458  0.025 -1.460  0.032 -1.343  0.039 -1.225  0.046 -1.107  0.053 -0.990  0.060 -0.872  0.067 -0.755  0.074 -0.637  0.081 -0.520  0.088 -0.402  0.095 -0.284  0.101 -0.167  0.108 -0.049  0.115 0.068  0.122 0.186  0.129 0.303  0.136 0.421  0.143 0.539  0.150 0.656  0.157 0.774  0.164 0.891  0.171 1.009  0.177 1.126  0.184 1.244  0.191 1.362  0.198 1.479  0.205 1.597  0.212 1.714  0.219 1.832  0.226 1.949  0.233 2.067
3#app#app34#app3462/v  -1.122 1.085  -0.985 1.085  -0.885 1.122  -0.885 1.259  -0.885 1.248  -0.885 1.111  -0.885 0.974  -0.874 0.847  -0.737 0.847  -0.647 0.800  -0.647 0.663  -0.610 0.535  -0.549 0.413  -0.487 0.290  -0.426 0.167  -0.410 0.034  -0.410 -0.103  -0.410 -0.240  -0.383 -0.366  -0.286 -0.463  -0.189 -0.560  -0.173 -0.690  -0.159 -0.814  -0.022 -0.814  0.065 -0.864  0.065 -1.001  0.065 -1.138  0.065 -1.275  0.065 -1.164  0.088 -1.051  0.225 -1.051  0.302 -0.991  0.302 -0.854  0.302 -0.716  0.302 -0.579  0.436 -0.576  0.539 -0.543  0.539 -0.406  0.571 -0.276  0.632 -0.153  0.693 -0.031  0.755 0.092  0.776 0.224  0.776 0.361  0.901 0.373  1.014 0.398  1.014 0.535  1.057 0.654  1.154 0.751  1.251 0.847
3#app#app34#app3462/e  -0.938 -0.267  -0.750 -0.267  -0.562 -0.267  -0.526 -0.114  -0.392 -0.060  -0.204 -0.060  -0.045 0.009  0.088 0.142  0.275 0.146  0.463 0.146  0.651 0.146  0.710 0.274  0.821 0.352  1.009 0.352  1.197 0.352  1.328 0.409  1.328 0.597  1.307 0.764  1.120 0.766  0.987 0.899  0.829 0.970  0.640 0.970  0.452 0.970  0.274 0.946  0.141 0.813  -0.026 0.764  -0.185 0.693  -0.318 0.560  -0.505 0.558  -0.526 0.391  -0.675 0.352  -0.863 0.352  -0.938 0.239  -0.938 0.050  -0.993 -0.115  -1.126 -0.248  -1.144 -0.428  -1.001 -0.473  -0.938 -0.598  -0.862 -0.755  -0.728 -0.885  -0.540 -0.885  -0.370 -0.963  -0.202 -1.047  -0.024 -1.091  0.164 -1.091  0.352 -1.091  0.540 -1.091  0.728 -1.091  0.916 -1.091
3#app#app34#app3462/r  -0.168 0.420  -0.168 0.557  -0.168 0.481  -0.168 0.344  -0.168 0.207  -0.168 0.070  -0.168 -0.067  -0.168 -0.204  -0.168 -0.341  -0.168 -0.478  -0.168 -0.615  -0.168 -0.753  -0.168 -0.890  -0.168 -1.027  -0.168 -1.164  -0.168 -1.301  -0.154 -1.424  -0.017 -1.424  -0.121 -1.424  -0.168 -1.334  -0.168 -1.196  -0.197 -1.088  -0.334 -1.088  -0.336 -0.953  -0.336 -0.816  -0.336 -0.679  -0.336 -0.542  -0.336 -0.405  -0.336 -0.268  -0.336 -0.131  -0.336 0.006  -0.336 0.144  -0.336 0.281  -0.336 0.418  -0.336 0.555  -0.262 0.661  -0.164 0.755  -0.027 0.755  0.078 0.833  0.175 0.930  0.271 1.027  0.382 1.090  0.519 1.090  0.657 1.090  0.757 1.178  0.861 1.258  0.998 1.258  1.097 1.350  1.203 1.426  1.340 1.426
3#app#app34#app3462/w  -1.302 1.003  -1.204 1.003  -1.302 0.927  -1.302 0.754  -1.194 0.626  -1.166 0.464  -1.166 0.291  -1.092 0.192  -0.981 0.092  -0.904 -0.063  -0.896 -0.234  -0.838 -0.349  -0.761 -0.445  -0.627 -0.484  -0.625 -0.656  -0.551 -0.755  -0.490 -0.642  -0.475 -0.484  -0.355 -0.432  -0.355 -0.258  -0.355 -0.085  -0.333 0.079  -0.220 0.205  -0.220 0.378  -0.157 0.525  -0.014 0.597  0.159 0.597  0.197 0.462  0.321 0.413  0.321 0.240  0.321 0.067  0.436 -0.058  0.456 -0.223  0.490 -0.382  0.592 -0.513  0.658 -0.620  0.727 -0.724  0.867 -0.760  0.990 -0.882  1.024 -0.755  1.132 -0.690  1.132 -0.517  1.132 -0.344  1.132 -0.171  1.132 0.002  1.132 0.176  1.132 0.349  1.132 0.522  1.132 0.695  1.132 0.868
3#app#app34#app3462/h  -0.629 2.029  -0.629 1.880  -0.629 1.731  -0.629 1.583  -0.550 1.466  -0.508 1.335  -0.508 1.186  -0.502 1.038  -0.466 0.894  -0.430 0.749  -0.394 0.605  -0.387 0.457  -0.387 0.308  -0.363 0.165  -0.296 0.032  -0.266 -0.110  -0.266 -0.259  -0.266 -0.408  -0.266 -0.556  -0.215 -0.684  -0.145 -0.804  -0.145 -0.953  -0.145 -1.102  -0.145 -1.227  -0.184 -1.118  -0.266 -1.050  -0.266 -0.901  -0.266 -0.753  -0.266 -0.604  -0.266 -0.455  -0.205 -0.331  -0.145 -0.207  -0.145 -0.059  -0.061 0.056  -0.024 0.189  0.100 0.214  0.249 0.214  0.398 0.214  0.547 0.214  0.662 0.133  0.702 0.001  0.822 -0.028  0.842 -0.168  0.944 -0.275  0.944 -0.424  0.944 -0.572  0.944 -0.721  1.026 -0.836  1.065 -0.969  1.065 -1.118
3#app#app34#app3462/i  -0.130 -0.030  -0.024 -0.030  0.078 -0.034  0.078 -0.140  0.078 -0.247  0.078 -0.353  0.078 -0.459  0.078 -0.565  0.078 -0.671  0.078 -0.778  0.078 -0.884  0.078 -0.990  0.078 -1.096  0.078 -1.202  0.078 -1.308  0.078 -1.415  0.075 -1.449  0.069 -1.343  0.063 -1.237  0.057 -1.131  0.051 -1.025  0.044 -0.919  0.038 -0.813  0.032 -0.707  0.026 -0.601  0.019 -0.495  0.013 -0.389  0.007 -0.283  0.001 -0.177  -0.006 -0.071  -0.012 0.035  -0.018 0.141  -0.024 0.247  -0.031 0.353  -0.037 0.459  -0.043 0.565  -0.049 0.671  -0.055 0.777  -0.062 0.883  -0.068 0.989  -0.074 1.095  -0.080 1.201  -0.087 1.307  -0.093 1.413  -0.099 1.519  -0.105 1.625  -0.112 1.731  -0.118 1.837  -0.124 1.943  -0.130 2.049
3#app#app34#app3462/l  -0.063 1.708  -0.063 1.637  -0.063 1.566  -0.063 1.495  -0.063 1.425  -0.063 1.354  -0.063 1.283  -0.063 1.212  -0.063 1.142  -0.063 1.071  -0.063 1.000  -0.063 0.929  -0.063 0.859  -0.063 0.788  -0.063 0.717  -0.063 0.646  -0.063 0.575  -0.063 0.505  -0.063 0.434  -0.063 0.363  -0.063 0.292  -0.063 0.222  -0.063 0.151  -0.063 0.080  -0.063 0.009  -0.019 -0.043  0.031 -0.093  0.068 -0.149  0.068 -0.219  0.068 -0.290  0.068 -0.361  0.068 -0.432  0.068 -0.503  0.068 -0.573  0.068 -0.644  0.068 -0.715  0.068 -0.786  0.068 -0.856  0.068 -0.927  0.068 -0.998  0.068 -1.069  0.068 -1.140  0.068 -1.210  0.068 -1.281  0.068 -1.352  0.068 -1.423  0.068 -1.493  0.068 -1.564  0.068 -1.635  0.068 -1.706
3#app#app34#app3462/e  -0.974 -0.443  -0.805 -0.426  -0.805 -0.239  -0.752 -0.105  -0.566 -0.105  -0.405 -0.043  -0.262 0.064  -0.130 0.118  -0.058 0.233  0.129 0.233  0.284 0.308  0.432 0.402  0.546 0.474  0.637 0.571  0.823 0.571  0.884 0.696  0.884 0.883  0.884 1.070  0.758 1.204  0.589 1.247  0.402 1.247  0.377 1.085  0.198 1.078  0.039 1.049  -0.007 0.909  -0.175 0.863  -0.298 0.728  -0.328 0.571  -0.467 0.524  -0.513 0.356  -0.636 0.220  -0.658 0.042  -0.790 -0.090  -0.805 -0.270  -0.805 -0.456  -0.805 -0.643  -0.805 -0.830  -0.739 -0.950  -0.552 -0.950  -0.396 -1.022  -0.249 -1.119  -0.062 -1.119  0.124 -1.119  0.300 -1.073  0.467 -0.990  0.645 -0.950  0.831 -0.950  1.018 -0.950  1.205 -0.950  1.391 -0.950
3#app#app34#app3462/d  -0.021 -0.256  -0.116 -0.148  -0.236 -0.067  -0.439 -0.067  -0.546 -0.161  -0.749 -0.161  -0.856 -0.256  -0.967 -0.403  -0.967 -0.605  -0.967 -0.807  -0.902 -0.983  -0.731 -1.059  -0.553 -1.125  -0.369 -1.201  -0.179 -1.171  -0.004 -1.107  0.104 -1.012  0.263 -0.969  0.357 -0.861  0.357 -0.659  0.452 -0.496  0.452 -0.294  0.452 -0.091  0.531 0.092  0.546 0.291  0.546 0.493  0.546 0.695  0.546 0.897  0.546 1.100  0.546 1.302  0.452 1.465  0.420 1.635  0.312 1.730  0.205 1.635  0.097 1.541  0.073 1.362  -0.021 1.255  -0.021 1.052  -0.021 0.850  -0.021 0.648  -0.021 0.446  -0.021 0.243  -0.021 0.041  0.046 -0.133  0.073 -0.324  0.073 -0.526  0.073 -0.728  0.168 -0.892  0.249 -1.012  0.263 -1.201
3#app#app34#app3462/r  -0.397 0.743  -0.397 0.604  -0.397 0.466  -0.397 0.328  -0.397 0.190  -0.397 0.051  -0.287 0.023  -0.157 0.015  -0.157 -0.124  -0.157 -0.262  -0.157 -0.400  -0.157 -0.538  -0.157 -0.677  -0.157 -0.815  -0.157 -0.953  -0.157 -1.091  -0.157 -1.230  -0.157 -1.368  -0.157 -1.506  -0.157 -1.644  -0.157 -1.529  -0.157 -1.391  -0.157 -1.253  -0.157 -1.115  -0.157 -0.976  -0.157 -0.838  -0.157 -0.700  -0.157 -0.562  -0.157 -0.423  -0.157 -0.285  -0.108 -0.167  -0.010 -0.070  0.083 0.030  0.083 0.168  0.083 0.307  0.083 0.445  0.083 0.583  0.083 0.721  0.083 0.860  0.094 0.993  0.192 1.091  0.289 1.189  0.323 1.313  0.323 1.452  0.450 1.462  0.589 1.462  0.727 1.462  0.847 1.418  0.944 1.320  1.042 1.222
3#app#app34#app3462/i  -0.004 0.216  -0.004 0.107  -0.004 -0.003  -0.004 -0.113  -0.004 -0.222  -0.004 -0.332  -0.004 -0.441  -0.004 -0.551  -0.004 -0.660  -0.004 -0.770  -0.004 -0.879  -0.004 -0.989  -0.004 -1.099  -0.004 -1.208  -0.004 -1.318  -0.004 -1.427  -0.004 -1.505  -0.004 -1.395  -0.004 -1.285  -0.004 -1.176  -0.004 -1.066  -0.004 -0.957  -0.004 -0.847  -0.004 -0.738  -0.004 -0.628  -0.004 -0.519  -0.004 -0.409  -0.004 -0.299  -0.004 -0.190  -0.004 -0.080  -0.004 0.029  -0.004 0.139  -0.004 0.248  -0.004 0.358  -0.004 0.467  -0.004 0.577  -0.004 0.687  -0.004 0.796  -0.004 0.906  -0.004 1.015  -0.004 1.125  -0.004 1.234  -0.004 1.344  -0.004 1.454  -0.004 1.563  -0.004 1.673  -0.004 1.782  0.093 1.795  0.105 1.795  -0.004 1.795
3#app#app34#app3462/n  -0.898 0.603  -0.898 0.449  -0.898 0.295  -0.898 0.141  -0.898 -0.012  -0.898 -0.166  -0.898 -0.320  -0.898 -0.474  -0.898 -0.628  -0.893 -0.777  -0.739 -0.777  -0.701 -0.892  -0.701 -1.046  -0.701 -1.142  -0.701 -0.988  -0.701 -0.834  -0.701 -0.681  -0.663 -0.542  -0.555 -0.433  -0.504 -0.301  -0.504 -0.147  -0.504 0.007  -0.398 0.117  -0.307 0.233  -0.307 0.386  -0.172 0.406  -0.109 0.497  -0.061 0.603  0.091 0.606  0.200 0.715  0.318 0.800  0.472 0.800  0.482 0.944  0.583 0.997  0.679 0.939  0.693 0.800  0.847 0.800  0.876 0.675  0.957 0.603  1.073 0.564  1.073 0.410  1.073 0.257  1.073 0.103  1.073 -0.051  1.073 -0.205  1.073 -0.359  1.073 -0.512  1.073 -0.666  1.073 -0.820  1.073 -0.974
3#app#app34#app3462/k  -0.553 2.267  -0.553 2.093  -0.553 1.918  -0.553 1.743  -0.553 1.569  -0.553 1.394  -0.553 1.219  -0.553 1.045  -0.553 0.870  -0.553 0.695  -0.440 0.568  -0.431 0.397  -0.431 0.222  -0.431 0.047  -0.431 -0.127  -0.431 -0.302  -0.431 -0.477  -0.431 -0.651  -0.431 -0.826  -0.431 -1.001  -0.338 -0.915  -0.228 -0.780  -0.117 -0.644  -0.006 -0.509  0.104 -0.374  0.215 -0.239  0.325 -0.104  0.436 0.032  0.547 0.167  0.657 0.302  0.631 0.192  0.545 0.103  0.445 -0.030  0.301 -0.074  0.227 -0.174  0.089 -0.264  -0.034 -0.387  -0.196 -0.418  -0.248 -0.418  -0.073 -0.418  0.102 -0.418  0.248 -0.487  0.400 -0.540  0.545 -0.570  0.604 -0.720  0.752 -0.784  0.800 -0.917  0.928 -1.028  1.034 -1.098  1.156 -1.150
3#app#app34#app3462/i  -0.262 0.450  -0.141 0.450  -0.058 0.413  -0.058 0.292  -0.058 0.172  -0.058 0.051  -0.058 -0.069  -0.058 -0.189  -0.058 -0.310  -0.058 -0.430  -0.058 -0.551  -0.058 -0.671  -0.058 -0.792  -0.058 -0.912  -0.058 -1.033  -0.058 -1.153  -0.058 -1.274  -0.058 -1.394  -0.058 -1.515  -0.055 -1.531  -0.049 -1.411  -0.042 -1.291  -0.035 -1.170  -0.029 -1.050  -0.022 -0.930  -0.015 -0.810  -0.009 -0.689  -0.002 -0.569  0.005 -0.449  0.011 -0.328  0.018 -0.208  0.025 -0.088  0.032 0.032  0.038 0.153  0.045 0.273  0.052 0.393  0.058 0.514  0.065 0.634  0.072 0.754  0.078 0.874  0.085 0.995  0.092 1.115  0.098 1.235  0.105 1.356  0.112 1.476  0.118 1.596  0.125 1.716  0.132 1.837  0.138 1.957  0.145 2.077
3#app#app34#app3462/n  -0.831 1.102  -0.831 0.953  -0.716 0.919  -0.648 0.838  -0.648 0.689  -0.648 0.540  -0.648 0.390  -0.648 0.241  -0.648 0.092  -0.648 -0.057  -0.648 -0.206  -0.648 -0.355  -0.648 -0.504  -0.648 -0.653  -0.648 -0.802  -0.648 -0.951  -0.653 -1.095  -0.802 -1.095  -0.711 -1.095  -0.648 -1.009  -0.648 -0.860  -0.635 -0.716  -0.530 -0.610  -0.465 -0.488  -0.465 -0.339  -0.465 -0.190  -0.367 -0.082  -0.261 0.024  -0.156 0.129  -0.051 0.235  0.055 0.340  0.160 0.445  0.266 0.551  0.267 0.699  0.380 0.736  0.529 0.736  0.678 0.736  0.824 0.728  0.929 0.623  1.000 0.503  1.015 0.370  1.164 0.370  1.183 0.239  1.183 0.090  1.227 -0.041  1.332 -0.146  1.366 -0.282  1.366 -0.431  1.366 -0.580  1.366 -0.729
3#app#app34#app3462/g  0.046 0.960  -0.030 1.131  -0.143 1.232  -0.334 1.244  -0.442 1.149  -0.645 1.149  -0.754 1.055  -0.862 0.960  -0.898 0.794  -0.898 0.591  -0.761 0.445  -0.580 0.393  -0.377 0.393  -0.174 0.393  -0.048 0.470  0.046 0.578  0.148 0.684  0.235 0.850  0.235 0.678  0.235 0.475  0.235 0.272  0.235 0.069  0.235 -0.134  0.235 -0.337  0.235 -0.539  0.235 -0.742  0.235 -0.945  0.235 -1.148  0.235 -1.351  0.128 -1.509  0.046 -1.678  -0.110 -1.780  -0.237 -1.705  -0.237 -1.502  -0.331 -1.338  -0.331 -1.135  -0.331 -0.932  -0.237 -0.769  -0.182 -0.575  -0.143 -0.378  -0.010 -0.230  0.067 -0.059  0.235 0.019  0.342 0.122  0.502 0.243  0.692 0.299  0.800 0.393  0.964 0.488  1.072 0.582  1.180 0.677
