2#app#app18#app1850/!  -0.185 1.790  -0.185 1.921  -0.281 1.956  -0.351 1.895  -0.351 1.764  -0.351 1.633  -0.351 1.502  -0.351 1.371  -0.351 1.240  -0.351 1.110  -0.351 0.979  -0.351 0.848  -0.351 0.717  -0.351 0.586  -0.351 0.455  -0.351 0.324  -0.351 0.193  -0.351 0.062  -0.351 -0.068  -0.351 -0.199  -0.351 -0.330  -0.257 -0.367  -0.185 -0.308  -0.168 -0.218  -0.076 -0.311  0.017 -0.403  0.109 -0.496  0.202 -0.588  0.295 -0.681  0.387 -0.773  0.477 -0.865  0.346 -0.865  0.312 -0.767  0.312 -0.636  0.340 -0.533  0.471 -0.533  0.478 -0.656  0.478 -0.787  0.425 -0.865  0.312 -0.883  0.312 -1.014  0.198 -1.031  0.147 -0.951  0.147 -0.821  0.156 -0.699  0.287 -0.699  0.418 -0.699  0.408 -0.699  0.312 -0.734  0.312 -0.865
2#app#app18#app1850/~  -1.432 -0.190  -1.432 -0.094  -1.432 0.003  -1.432 0.099  -1.432 0.195  -1.354 0.213  -1.257 0.213  -1.161 0.213  -1.065 0.213  -1.029 0.274  -1.029 0.370  -0.977 0.415  -0.881 0.415  -0.784 0.415  -0.688 0.415  -0.591 0.415  -0.495 0.415  -0.399 0.415  -0.302 0.415  -0.222 0.399  -0.222 0.303  -0.215 0.213  -0.118 0.213  -0.022 0.213  -0.020 0.119  -0.020 0.022  -0.020 -0.074  -0.020 -0.170  0.057 -0.190  0.153 -0.190  0.230 -0.238  0.298 -0.306  0.366 -0.374  0.455 -0.392  0.551 -0.392  0.648 -0.392  0.744 -0.392  0.841 -0.392  0.937 -0.392  1.033 -0.392  1.130 -0.392  1.190 -0.356  1.190 -0.260  1.217 -0.190  1.314 -0.190  1.410 -0.190  1.506 -0.190  1.594 -0.181  1.594 -0.085  1.594 0.011
2#app#app18#app1850/  -1.020 0.109  -1.103 0.109  -1.186 0.109  -1.269 0.109  -1.283 0.177  -1.283 0.260  -1.283 0.343  -1.230 0.372  -1.148 0.372  -1.065 0.372  -1.020 0.334  -1.020 0.251  -1.020 0.168  -0.997 0.109  -0.914 0.109  -0.831 0.109  -0.749 0.109  -0.666 0.109  -0.583 0.109  -0.501 0.109  -0.418 0.109  -0.335 0.109  -0.252 0.109  -0.188 0.066  -0.129 0.007  -0.071 -0.051  -0.012 -0.110  0.052 -0.154  0.135 -0.154  0.218 -0.154  0.301 -0.154  0.383 -0.154  0.466 -0.154  0.549 -0.154  0.631 -0.154  0.714 -0.154  0.797 -0.154  0.880 -0.154  0.962 -0.154  1.045 -0.154  1.128 -0.154  1.211 -0.154  1.293 -0.154  1.376 -0.154  1.459 -0.154  1.541 -0.154  1.609 -0.169  1.609 -0.251  1.609 -0.334  1.609 -0.417
2#app#app18#app1850/_  -1.289 0.233  -1.366 0.233  -1.444 0.233  -1.492 0.233  -1.415 0.233  -1.337 0.233  -1.260 0.233  -1.182 0.233  -1.105 0.233  -1.027 0.233  -0.950 0.233  -0.872 0.233  -0.853 0.175  -0.853 0.098  -0.853 0.020  -0.780 0.015  -0.703 0.015  -0.625 0.015  -0.548 0.015  -0.470 0.015  -0.393 0.015  -0.315 0.015  -0.238 0.015  -0.160 0.015  -0.083 0.015  -0.006 0.015  0.072 0.015  0.149 0.015  0.227 0.015  0.304 0.015  0.382 0.015  0.458 0.012  0.513 -0.043  0.568 -0.097  0.623 -0.152  0.679 -0.203  0.757 -0.203  0.834 -0.203  0.912 -0.203  0.989 -0.203  1.066 -0.203  1.144 -0.203  1.221 -0.203  1.299 -0.203  1.376 -0.203  1.454 -0.203  1.531 -0.203  1.609 -0.203  1.686 -0.203  1.764 -0.203
2#app#app18#app1850/+  -0.141 1.380  0.040 1.380  -0.003 1.473  -0.132 1.602  -0.141 1.443  -0.141 1.261  -0.141 1.080  -0.141 0.898  -0.141 0.716  -0.141 0.534  -0.141 0.352  -0.141 0.171  -0.141 -0.011  -0.141 -0.193  -0.141 -0.375  -0.141 -0.557  -0.141 -0.738  -0.141 -0.920  -0.141 -1.102  -0.141 -1.284  -0.175 -1.340  -0.265 -1.182  -0.355 -1.024  -0.445 -0.866  -0.535 -0.708  -0.626 -0.551  -0.716 -0.393  -0.806 -0.235  -0.896 -0.077  -0.986 0.081  -1.049 0.222  -0.867 0.222  -0.685 0.222  -0.503 0.222  -0.373 0.171  -0.371 -0.009  -0.190 -0.009  -0.008 -0.009  0.174 -0.009  0.356 -0.009  0.538 -0.009  0.719 -0.009  0.785 -0.126  0.851 -0.241  1.033 -0.241  1.215 -0.241  1.397 -0.241  1.579 -0.241  1.760 -0.241  1.942 -0.241
2#app#app18#app1850/=  -1.315 0.526  -1.315 0.689  -1.261 0.799  -1.097 0.799  -0.934 0.799  -0.770 0.799  -0.606 0.799  -0.443 0.799  -0.279 0.799  -0.116 0.799  0.048 0.799  0.211 0.799  0.375 0.799  0.539 0.799  0.702 0.799  0.866 0.799  0.982 0.686  1.098 0.570  1.052 0.481  0.905 0.407  0.759 0.334  0.613 0.261  0.467 0.188  0.320 0.115  0.174 0.042  0.028 -0.032  -0.119 -0.105  -0.265 -0.178  -0.411 -0.251  -0.558 -0.324  -0.704 -0.397  -0.850 -0.470  -0.996 -0.544  -0.929 -0.566  -0.765 -0.566  -0.602 -0.566  -0.496 -0.624  -0.496 -0.787  -0.384 -0.839  -0.220 -0.839  -0.057 -0.839  0.107 -0.839  0.270 -0.839  0.434 -0.839  0.597 -0.839  0.761 -0.839  0.925 -0.839  1.088 -0.839  1.252 -0.839  1.415 -0.839
2#app#app18#app1850/[  0.911 0.980  0.911 1.092  0.862 1.154  0.750 1.154  0.736 1.056  0.701 0.980  0.589 0.980  0.477 0.980  0.365 0.980  0.253 0.980  0.142 0.980  0.030 0.980  -0.082 0.980  -0.135 0.922  -0.135 0.810  -0.243 0.806  -0.310 0.761  -0.310 0.649  -0.310 0.537  -0.341 0.457  -0.453 0.457  -0.484 0.376  -0.484 0.264  -0.484 0.153  -0.532 0.061  -0.611 -0.019  -0.659 -0.111  -0.659 -0.222  -0.659 -0.334  -0.659 -0.446  -0.659 -0.558  -0.659 -0.670  -0.659 -0.781  -0.659 -0.893  -0.592 -0.938  -0.480 -0.938  -0.368 -0.938  -0.256 -0.938  -0.145 -0.938  -0.033 -0.938  0.079 -0.938  0.191 -0.938  0.303 -0.938  0.414 -0.938  0.526 -0.938  0.638 -0.938  0.736 -0.951  0.736 -1.063  0.799 -1.112  0.911 -1.112
2#app#app18#app1850/]  -1.138 1.222  -1.022 1.222  -0.906 1.222  -0.790 1.222  -0.703 1.152  -0.621 1.070  -0.518 1.041  -0.402 1.041  -0.286 1.041  -0.170 1.041  -0.054 1.041  0.030 0.964  0.112 0.882  0.218 0.859  0.334 0.859  0.450 0.859  0.498 0.791  0.498 0.675  0.498 0.559  0.498 0.443  0.498 0.327  0.498 0.211  0.498 0.096  0.498 -0.020  0.498 -0.136  0.498 -0.252  0.498 -0.368  0.498 -0.484  0.498 -0.600  0.498 -0.716  0.553 -0.777  0.669 -0.777  0.576 -0.777  0.498 -0.816  0.498 -0.932  0.410 -0.959  0.294 -0.959  0.178 -0.959  0.062 -0.959  -0.052 -0.954  -0.134 -0.872  -0.216 -0.790  -0.326 -0.777  -0.442 -0.777  -0.558 -0.777  -0.674 -0.777  -0.774 -0.793  -0.774 -0.909  -0.708 -0.959  -0.592 -0.959
2#app#app18#app1850/{  0.499 1.159  0.493 1.335  0.322 1.347  0.304 1.512  0.122 1.512  -0.031 1.482  -0.067 1.335  -0.237 1.306  -0.366 1.177  -0.384 1.001  -0.384 0.819  -0.215 0.805  -0.208 0.630  -0.031 0.624  -0.031 0.442  -0.031 0.259  -0.031 0.076  -0.059 -0.078  -0.208 -0.112  -0.248 -0.255  -0.430 -0.255  -0.613 -0.255  -0.779 -0.213  -0.908 -0.084  -0.914 0.096  -0.911 -0.078  -0.729 -0.078  -0.546 -0.078  -0.363 -0.078  -0.181 -0.078  -0.031 -0.045  0.008 0.099  0.146 0.054  0.197 -0.078  0.322 -0.135  0.260 -0.255  0.146 -0.323  0.146 -0.506  0.089 -0.665  -0.031 -0.798  -0.031 -0.981  -0.013 -1.156  0.116 -1.285  0.287 -1.314  0.469 -1.314  0.652 -1.314  0.834 -1.314  1.017 -1.314  1.200 -1.314  1.382 -1.314
2#app#app18#app1850/}  -0.713 1.443  -0.713 1.274  -0.656 1.443  -0.429 1.443  -0.203 1.443  0.023 1.443  0.249 1.443  0.473 1.441  0.473 1.215  0.473 0.989  0.473 0.762  0.357 0.652  0.275 0.508  0.102 0.455  -0.120 0.451  -0.152 0.257  -0.378 0.257  -0.515 0.168  -0.515 -0.058  -0.368 -0.138  -0.142 -0.138  -0.126 0.060  -0.342 0.084  -0.502 0.244  -0.505 0.060  -0.279 0.060  -0.053 0.060  0.145 -0.008  0.317 -0.138  0.543 -0.138  0.572 -0.138  0.346 -0.138  0.165 -0.028  -0.025 0.060  -0.120 -0.072  -0.120 -0.298  0.068 -0.336  0.097 -0.533  0.275 -0.581  0.352 -0.731  0.473 -0.835  0.473 -1.062  0.473 -1.288  0.473 -1.514  0.318 -1.676  0.110 -1.719  -0.059 -1.582  -0.260 -1.521  -0.486 -1.521  -0.317 -1.521
2#app#app18#app1850/\\  -0.609 1.057  -0.609 0.961  -0.609 0.866  -0.594 0.785  -0.498 0.785  -0.403 0.785  -0.338 0.816  -0.338 0.911  -0.338 1.006  -0.383 1.057  -0.479 1.057  -0.574 1.057  -0.609 0.996  -0.609 0.901  -0.609 0.805  -0.534 0.785  -0.438 0.785  -0.343 0.785  -0.338 0.695  -0.338 0.599  -0.330 0.507  -0.263 0.439  -0.195 0.372  -0.128 0.304  -0.060 0.237  0.007 0.169  0.075 0.102  0.142 0.034  0.205 -0.035  0.205 -0.131  0.205 -0.226  0.220 -0.315  0.288 -0.383  0.355 -0.450  0.423 -0.518  0.476 -0.591  0.476 -0.687  0.476 -0.782  0.476 -0.878  0.476 -0.973  0.476 -1.069  0.476 -1.164  0.476 -1.260  0.476 -1.355  0.542 -1.385  0.637 -1.385  0.732 -1.385  0.748 -1.466  0.748 -1.561  0.748 -1.657
2#app#app18#app1850/,  -0.723 0.315  -0.723 0.450  -0.723 0.584  -0.723 0.718  -0.656 0.785  -0.522 0.785  -0.388 0.785  -0.254 0.785  -0.119 0.785  0.015 0.785  0.149 0.785  0.283 0.785  0.417 0.785  0.552 0.785  0.686 0.785  0.552 0.785  0.417 0.785  0.283 0.785  0.149 0.785  0.015 0.785  -0.119 0.785  -0.254 0.785  -0.119 0.785  0.015 0.785  0.149 0.785  0.216 0.718  0.216 0.584  0.216 0.450  0.216 0.315  0.216 0.181  0.216 0.047  0.216 -0.087  0.216 -0.221  0.216 -0.356  0.216 -0.490  0.216 -0.624  0.216 -0.758  0.216 -0.893  0.216 -1.027  0.216 -1.161  0.216 -1.295  0.216 -1.429  0.216 -1.564  0.082 -1.564  -0.052 -1.564  -0.187 -1.564  -0.321 -1.564  -0.455 -1.564  -0.589 -1.564  -0.723 -1.564
2#app#app18#app1850/  0.690 1.162  0.690 1.242  0.690 1.323  0.690 1.404  0.690 1.331  0.690 1.250  0.690 1.169  0.638 1.110  0.581 1.053  0.524 0.996  0.467 0.939  0.444 0.868  0.444 0.787  0.444 0.707  0.413 0.639  0.356 0.582  0.299 0.525  0.242 0.468  0.198 0.405  0.198 0.325  0.198 0.244  0.188 0.168  0.131 0.111  0.074 0.054  0.016 -0.004  -0.041 -0.061  -0.048 -0.138  -0.048 -0.219  -0.048 -0.299  -0.114 -0.314  -0.195 -0.314  -0.275 -0.314  -0.294 -0.376  -0.294 -0.457  -0.294 -0.537  -0.335 -0.601  -0.392 -0.658  -0.449 -0.715  -0.506 -0.772  -0.540 -0.839  -0.540 -0.920  -0.540 -1.000  -0.561 -1.072  -0.618 -1.129  -0.675 -1.186  -0.732 -1.243  -0.786 -1.302  -0.786 -1.382  -0.786 -1.463  -0.786 -1.544
2#app#app18#app1850/?  -0.446 0.932  -0.446 1.077  -0.446 1.222  -0.381 1.302  -0.237 1.302  -0.092 1.302  0.053 1.302  0.197 1.302  0.327 1.266  0.430 1.164  0.555 1.117  0.661 1.078  0.661 0.934  0.661 0.789  0.557 0.748  0.476 0.684  0.453 0.563  0.308 0.563  0.292 0.435  0.203 0.379  0.059 0.379  -0.086 0.379  -0.231 0.379  -0.262 0.265  -0.336 0.194  -0.446 0.160  -0.446 0.016  -0.446 -0.129  -0.446 -0.274  -0.387 -0.359  -0.242 -0.359  -0.098 -0.359  -0.077 -0.483  -0.077 -0.628  -0.077 -0.773  -0.077 -0.917  -0.077 -1.062  -0.077 -1.207  -0.147 -1.282  -0.232 -1.282  -0.087 -1.282  -0.077 -1.147  0.017 -1.097  0.162 -1.097  0.292 -1.112  0.292 -1.257  0.172 -1.282  0.028 -1.282  -0.117 -1.282  -0.262 -1.282
2#app#app18#app1850/'  0.448 0.431  0.448 0.535  0.448 0.639  0.448 0.743  0.448 0.847  0.448 0.951  0.448 1.055  0.448 1.159  0.448 1.263  0.448 1.348  0.448 1.244  0.448 1.140  0.448 1.036  0.448 0.932  0.382 0.894  0.278 0.894  0.174 0.894  0.070 0.894  -0.016 0.875  -0.016 0.771  -0.016 0.667  -0.016 0.563  -0.016 0.459  -0.016 0.355  -0.016 0.251  -0.016 0.147  -0.016 0.043  -0.016 -0.061  -0.016 -0.165  -0.016 -0.269  -0.016 -0.373  -0.016 -0.477  -0.016 -0.581  -0.016 -0.685  -0.016 -0.789  -0.016 -0.893  -0.053 -0.959  -0.157 -0.959  -0.261 -0.959  -0.365 -0.959  -0.469 -0.959  -0.479 -1.053  -0.479 -1.157  -0.479 -1.261  -0.479 -1.365  -0.526 -1.422  -0.630 -1.422  -0.734 -1.422  -0.838 -1.422  -0.942 -1.422
2#app#app18#app1850/\"  -0.792 0.403  -0.611 0.403  -0.430 0.403  -0.354 0.507  -0.354 0.689  -0.382 0.841  -0.563 0.841  -0.744 0.841  -0.792 0.708  -0.792 0.527  -0.792 0.346  -0.792 0.165  -0.792 -0.016  -0.906 -0.150  -1.034 -0.278  -1.162 -0.406  -1.231 -0.559  -1.231 -0.740  -1.223 -0.913  -1.042 -0.913  -0.861 -0.913  -0.704 -0.843  -0.563 -0.730  -0.422 -0.617  -0.280 -0.503  -0.139 -0.390  0.003 -0.277  0.144 -0.164  0.286 -0.051  0.427 0.062  0.568 0.175  0.710 0.289  0.851 0.402  0.993 0.515  1.134 0.628  1.276 0.741  1.386 0.827  1.258 0.699  1.130 0.571  1.002 0.443  0.962 0.278  0.962 0.097  0.962 -0.084  0.962 -0.265  0.962 -0.446  0.809 -0.474  0.628 -0.474  0.524 -0.551  0.524 -0.732  0.524 -0.913
2#app#app18#app1850/<  0.771 0.824  0.897 0.824  1.023 0.824  0.959 0.824  0.832 0.824  0.771 0.888  0.771 1.015  0.737 1.107  0.611 1.107  0.487 1.105  0.487 0.979  0.487 0.852  0.389 0.824  0.263 0.824  0.204 0.757  0.204 0.631  0.167 0.541  0.041 0.541  -0.085 0.541  -0.211 0.541  -0.338 0.541  -0.363 0.440  -0.363 0.314  -0.433 0.257  -0.559 0.257  -0.647 0.218  -0.647 0.092  -0.652 -0.032  -0.742 -0.121  -0.831 -0.211  -0.920 -0.300  -0.930 -0.422  -0.930 -0.548  -0.873 -0.651  -0.784 -0.740  -0.694 -0.829  -0.588 -0.877  -0.461 -0.877  -0.335 -0.877  -0.209 -0.877  -0.083 -0.877  -0.080 -1.001  -0.080 -1.127  0.013 -1.160  0.139 -1.160  0.265 -1.160  0.392 -1.160  0.518 -1.160  0.644 -1.160  0.771 -1.160
2#app#app18#app1850/|  0.369 1.148  0.369 1.062  0.369 0.976  0.369 1.037  0.369 1.123  0.308 1.148  0.222 1.148  0.184 1.197  0.184 1.283  0.184 1.298  0.184 1.212  0.184 1.125  0.184 1.039  0.184 0.953  0.184 0.867  0.184 0.780  0.184 0.694  0.184 0.608  0.184 0.521  0.184 0.435  0.125 0.408  0.039 0.408  -0.001 0.361  -0.001 0.275  -0.001 0.189  -0.001 0.103  -0.001 0.016  -0.001 -0.070  -0.001 -0.156  -0.001 -0.243  -0.001 -0.329  -0.059 -0.391  -0.120 -0.452  -0.181 -0.513  -0.187 -0.597  -0.187 -0.684  -0.187 -0.770  -0.187 -0.856  -0.187 -0.942  -0.187 -1.029  -0.216 -1.103  -0.277 -1.164  -0.338 -1.225  -0.372 -1.297  -0.372 -1.383  -0.372 -1.470  -0.372 -1.556  -0.372 -1.642  -0.372 -1.728  -0.372 -1.815
2#app#app18#app1850/>  -0.409 1.589  -0.283 1.589  -0.156 1.589  -0.138 1.481  -0.138 1.355  -0.138 1.228  -0.138 1.102  -0.067 1.046  0.060 1.046  0.134 0.994  0.134 0.868  0.134 0.741  0.134 0.615  0.149 0.503  0.276 0.503  0.402 0.503  0.405 0.380  0.405 0.254  0.479 0.158  0.569 0.068  0.658 -0.021  0.677 -0.140  0.677 -0.266  0.759 -0.311  0.885 -0.311  0.948 -0.374  0.948 -0.501  0.904 -0.582  0.777 -0.582  0.651 -0.582  0.524 -0.582  0.398 -0.582  0.271 -0.582  0.145 -0.582  0.018 -0.582  -0.108 -0.582  -0.235 -0.582  -0.361 -0.582  -0.488 -0.582  -0.614 -0.582  -0.723 -0.625  -0.813 -0.714  -0.902 -0.804  -1.008 -0.854  -1.134 -0.854  -1.187 -0.854  -1.060 -0.854  -0.934 -0.854  -0.807 -0.854  -0.681 -0.854
