2#tos#f2#f2051059/\"  -0.778 0.239  -0.908 0.229  -0.908 0.090  -0.908 -0.049  -0.908 -0.189  -0.908 -0.328  -0.908 -0.468  -0.908 -0.607  -0.908 -0.747  -0.908 -0.886  -0.908 -1.026  -0.908 -1.165  -0.908 -1.305  -0.840 -1.229  -0.760 -1.115  -0.680 -1.001  -0.600 -0.887  -0.520 -0.772  -0.440 -0.658  -0.361 -0.544  -0.281 -0.430  -0.201 -0.315  -0.121 -0.201  -0.041 -0.087  0.039 0.027  0.119 0.142  0.199 0.256  0.279 0.370  0.359 0.485  0.439 0.599  0.519 0.713  0.599 0.827  0.679 0.942  0.759 1.056  0.839 1.170  0.917 1.278  0.917 1.139  0.917 0.999  0.917 0.860  0.878 0.760  0.787 0.711  0.787 0.572  0.787 0.433  0.711 0.369  0.657 0.284  0.657 0.145  0.657 0.005  0.657 -0.134  0.657 -0.274  0.787 -0.283
2#tos#f2#f2051059/^  -0.728 -0.498  -0.821 -0.560  -0.915 -0.623  -0.989 -0.702  -1.039 -0.803  -1.045 -0.716  -1.045 -0.604  -1.045 -0.491  -1.045 -0.379  -0.972 -0.339  -0.966 -0.233  -0.966 -0.120  -0.882 -0.060  -0.798 0.005  -0.763 0.112  -0.727 0.218  -0.676 0.319  -0.613 0.410  -0.569 0.504  -0.566 0.615  -0.487 0.695  -0.407 0.775  -0.326 0.850  -0.214 0.850  -0.101 0.850  -0.014 0.825  0.044 0.771  0.145 0.759  0.190 0.692  0.224 0.613  0.247 0.510  0.326 0.431  0.410 0.356  0.504 0.294  0.597 0.231  0.620 0.131  0.658 0.048  0.767 0.021  0.876 -0.007  0.959 -0.066  1.010 -0.166  1.022 -0.276  1.058 -0.383  1.093 -0.489  1.119 -0.585  1.226 -0.620  1.333 -0.656  1.384 -0.756  1.413 -0.861  1.493 -0.894
2#tos#f2#f2051059/`  -0.159 1.877  -0.159 1.785  -0.159 1.692  -0.159 1.600  -0.159 1.507  -0.159 1.415  -0.159 1.322  -0.159 1.230  -0.159 1.137  -0.159 1.045  -0.159 0.952  -0.159 0.860  -0.159 0.767  -0.159 0.675  -0.159 0.583  -0.162 0.491  -0.191 0.403  -0.220 0.315  -0.250 0.227  -0.279 0.140  -0.308 0.052  -0.337 -0.036  -0.367 -0.124  -0.396 -0.211  -0.425 -0.299  -0.454 -0.387  -0.484 -0.475  -0.472 -0.533  -0.379 -0.533  -0.287 -0.533  -0.194 -0.533  -0.102 -0.533  -0.009 -0.533  0.083 -0.533  0.175 -0.533  0.268 -0.533  0.360 -0.533  0.453 -0.533  0.530 -0.548  0.530 -0.641  0.530 -0.733  0.530 -0.826  0.530 -0.918  0.530 -1.011  0.530 -1.103  0.530 -1.196  0.530 -1.288  0.530 -1.381  0.530 -1.473  0.530 -1.566
2#tos#f2#f2051059/}  0.002 1.700  -0.079 1.685  -0.079 1.590  -0.036 1.537  0.042 1.520  0.042 1.425  0.083 1.370  0.083 1.275  0.116 1.187  0.123 1.093  0.123 0.998  0.075 0.922  0.008 0.855  -0.046 0.777  -0.079 0.691  -0.079 0.596  -0.090 0.503  -0.133 0.417  -0.160 0.329  -0.189 0.238  -0.201 0.144  -0.201 0.049  -0.201 -0.047  -0.201 -0.142  -0.201 -0.237  -0.113 -0.245  -0.018 -0.245  0.078 -0.245  0.173 -0.245  0.204 -0.181  0.164 -0.202  0.118 -0.256  0.067 -0.334  0.002 -0.388  -0.024 -0.473  -0.039 -0.562  -0.039 -0.658  -0.039 -0.753  -0.039 -0.849  -0.039 -0.944  -0.039 -1.040  -0.039 -1.135  -0.039 -1.230  -0.039 -1.326  -0.002 -1.413  0.072 -1.460  0.137 -1.503  0.175 -1.582  0.271 -1.582  0.326 -1.622
2#tos#f2#f2051059/2  -0.386 1.525  -0.460 1.480  -0.431 1.356  -0.292 1.341  -0.175 1.253  -0.073 1.172  0.018 1.072  0.111 0.953  0.232 0.891  0.249 0.755  0.385 0.700  0.422 0.553  0.430 0.402  0.430 0.249  0.430 0.096  0.321 0.008  0.206 -0.079  0.112 -0.198  -0.020 -0.264  -0.139 -0.338  -0.266 -0.378  -0.419 -0.378  -0.567 -0.412  -0.719 -0.424  -0.871 -0.424  -0.986 -0.514  -1.139 -0.514  -1.247 -0.469  -1.337 -0.407  -1.214 -0.378  -1.064 -0.394  -0.916 -0.424  -0.764 -0.428  -0.613 -0.454  -0.462 -0.469  -0.309 -0.469  -0.157 -0.469  -0.004 -0.469  0.149 -0.469  0.301 -0.469  0.454 -0.469  0.607 -0.469  0.759 -0.469  0.912 -0.469  1.042 -0.393  1.190 -0.378  1.342 -0.378  1.495 -0.378  1.647 -0.378  1.789 -0.333
2#tos#f2#f2051059/4  0.013 1.233  0.079 1.299  -0.051 1.169  -0.183 1.005  -0.344 0.874  -0.453 0.710  -0.626 0.594  -0.775 0.445  -0.940 0.317  -1.069 0.151  -1.157 -0.021  -1.322 -0.147  -1.414 -0.294  -1.291 -0.412  -1.142 -0.531  -0.936 -0.551  -0.725 -0.551  -0.514 -0.551  -0.304 -0.551  -0.093 -0.551  0.111 -0.504  0.315 -0.462  0.522 -0.441  0.719 -0.373  0.930 -0.373  1.139 -0.367  1.341 -0.328  1.366 -0.245  1.225 -0.089  1.084 0.068  0.943 0.225  0.802 0.382  0.661 0.539  0.519 0.695  0.378 0.852  0.237 1.009  0.072 1.055  0.058 0.857  0.058 0.647  0.058 0.436  0.058 0.225  0.058 0.014  0.058 -0.197  0.058 -0.408  0.058 -0.619  0.058 -0.830  0.058 -1.041  0.102 -1.244  0.102 -1.455  0.102 -1.666
2#tos#f2#f2051059/8  0.425 0.560  0.303 0.449  0.108 0.412  -0.102 0.412  -0.275 0.450  -0.471 0.486  -0.532 0.666  -0.569 0.839  -0.559 1.043  -0.433 1.170  -0.314 1.296  -0.115 1.349  0.092 1.370  0.303 1.370  0.498 1.296  0.535 1.101  0.535 0.891  0.499 0.689  0.360 0.564  0.242 0.413  0.057 0.387  0.146 0.213  0.077 0.155  -0.090 0.111  -0.160 -0.029  -0.277 -0.159  -0.427 -0.292  -0.560 -0.453  -0.680 -0.621  -0.729 -0.822  -0.790 -1.014  -0.790 -1.225  -0.783 -1.428  -0.621 -1.513  -0.432 -1.575  -0.221 -1.575  -0.056 -1.496  0.111 -1.374  0.278 -1.263  0.416 -1.106  0.528 -0.934  0.646 -0.764  0.719 -0.571  0.719 -0.361  0.719 -0.150  0.663 0.047  0.497 0.158  0.330 0.228  0.194 0.302  -0.017 0.302
2#tos#f2#f2051059/C  0.390 1.396  0.333 1.329  0.323 1.213  0.323 1.089  0.323 0.964  0.323 0.840  0.323 0.715  0.323 0.797  0.323 0.921  0.239 0.961  0.126 0.931  0.020 0.890  -0.063 0.810  -0.183 0.776  -0.288 0.718  -0.362 0.618  -0.431 0.514  -0.523 0.431  -0.613 0.350  -0.666 0.252  -0.757 0.170  -0.813 0.059  -0.901 -0.029  -0.914 -0.149  -0.914 -0.273  -0.914 -0.398  -0.947 -0.515  -0.947 -0.639  -0.898 -0.723  -0.799 -0.797  -0.712 -0.845  -0.587 -0.845  -0.463 -0.845  -0.338 -0.845  -0.214 -0.845  -0.089 -0.845  0.034 -0.833  0.155 -0.803  0.274 -0.769  0.386 -0.713  0.505 -0.678  0.625 -0.644  0.736 -0.588  0.859 -0.577  0.983 -0.577  1.056 -0.481  1.177 -0.457  1.288 -0.415  1.391 -0.344  1.494 -0.276
2#tos#f2#f2051059/D  -0.243 1.087  -0.447 1.087  -0.508 1.138  -0.502 0.941  -0.502 0.737  -0.502 0.534  -0.481 0.333  -0.426 0.137  -0.398 -0.062  -0.398 -0.265  -0.398 -0.469  -0.398 -0.673  -0.398 -0.876  -0.398 -1.080  -0.345 -1.139  -0.335 -0.936  -0.325 -0.733  -0.316 -0.530  -0.306 -0.326  -0.296 -0.123  -0.286 0.080  -0.277 0.283  -0.267 0.487  -0.257 0.690  -0.248 0.893  -0.357 0.983  -0.443 1.087  -0.261 1.138  -0.057 1.138  0.142 1.113  0.341 1.087  0.474 0.970  0.643 0.857  0.808 0.742  0.933 0.586  1.044 0.418  1.047 0.216  1.047 0.013  1.047 -0.191  0.950 -0.354  0.836 -0.522  0.719 -0.688  0.575 -0.832  0.413 -0.954  0.260 -1.086  0.101 -1.184  -0.022 -1.318  -0.171 -1.392  -0.310 -1.495  -0.502 -1.547
2#tos#f2#f2051059/G  0.256 1.809  0.089 1.852  -0.090 1.844  -0.165 1.677  -0.275 1.528  -0.364 1.367  -0.422 1.192  -0.501 1.025  -0.517 0.843  -0.592 0.685  -0.698 0.535  -0.757 0.360  -0.815 0.184  -0.853 0.003  -0.889 -0.178  -0.904 -0.362  -0.904 -0.547  -0.904 -0.732  -0.861 -0.907  -0.711 -0.946  -0.531 -0.984  -0.346 -0.984  -0.166 -0.973  -0.045 -0.846  0.136 -0.809  0.314 -0.769  0.436 -0.667  0.578 -0.597  0.570 -0.482  0.439 -0.351  0.309 -0.220  0.178 -0.089  0.047 0.041  -0.112 0.054  -0.094 0.004  0.091 0.004  0.276 0.004  0.425 0.090  0.594 0.128  0.772 0.139  0.876 0.219  0.762 0.166  0.600 0.091  0.600 -0.094  0.600 -0.279  0.643 -0.454  0.700 -0.625  0.729 -0.803  0.729 -0.988  0.772 -1.156
2#tos#f2#f2051059/J  -0.235 1.142  -0.288 1.055  -0.410 1.037  -0.367 1.003  -0.242 1.003  -0.118 1.003  0.007 1.003  0.132 1.003  0.257 1.003  0.382 1.003  0.506 1.003  0.631 1.003  0.719 0.999  0.598 0.972  0.476 0.944  0.352 0.933  0.286 0.875  0.216 0.819  0.247 0.725  0.286 0.619  0.300 0.496  0.321 0.374  0.321 0.249  0.324 0.125  0.355 0.005  0.355 -0.120  0.355 -0.245  0.355 -0.369  0.355 -0.494  0.355 -0.619  0.321 -0.738  0.321 -0.863  0.295 -0.984  0.251 -1.099  0.216 -1.215  0.136 -1.266  0.021 -1.290  -0.103 -1.290  -0.220 -1.255  -0.323 -1.219  -0.412 -1.137  -0.505 -1.055  -0.593 -0.967  -0.687 -0.885  -0.785 -0.809  -0.856 -0.708  -0.916 -0.599  -0.965 -0.489  -1.030 -0.391  -0.999 -0.283
2#tos#f2#f2051059/M  -0.620 1.005  -0.581 0.828  -0.602 0.618  -0.658 0.416  -0.658 0.201  -0.701 -0.004  -0.735 -0.211  -0.735 -0.426  -0.735 -0.642  -0.787 -0.841  -0.812 -1.049  -0.812 -1.264  -0.786 -1.125  -0.754 -0.913  -0.723 -0.700  -0.691 -0.487  -0.660 -0.274  -0.628 -0.061  -0.597 0.152  -0.565 0.364  -0.534 0.577  -0.518 0.765  -0.658 0.643  -0.637 0.435  -0.564 0.240  -0.493 0.045  -0.404 -0.145  -0.347 -0.341  -0.175 -0.417  0.041 -0.417  0.200 -0.324  0.327 -0.150  0.452 0.025  0.596 0.184  0.648 0.377  0.717 0.574  0.845 0.744  0.879 0.951  0.956 1.134  0.994 1.006  0.994 0.791  0.996 0.576  1.053 0.369  1.072 0.157  1.148 -0.043  1.171 -0.255  1.214 -0.465  1.225 -0.679  1.302 -0.871  1.340 -1.071
2#tos#f2#f2051059/P  -0.229 1.420  -0.178 1.301  -0.207 1.092  -0.288 0.894  -0.314 0.677  -0.314 0.459  -0.314 0.240  -0.314 0.021  -0.314 -0.198  -0.314 -0.417  -0.314 -0.635  -0.314 -0.854  -0.314 -1.073  -0.314 -1.292  -0.296 -1.508  -0.229 -1.706  -0.171 -1.876  -0.138 -1.724  -0.131 -1.505  -0.125 -1.287  -0.118 -1.068  -0.111 -0.849  -0.104 -0.630  -0.097 -0.412  -0.090 -0.193  -0.084 0.026  -0.077 0.244  -0.070 0.463  -0.063 0.682  -0.135 0.824  -0.354 0.824  -0.442 0.954  -0.316 1.121  -0.097 1.122  0.122 1.122  0.340 1.122  0.558 1.117  0.729 1.019  0.868 0.877  1.007 0.733  1.007 0.514  0.975 0.301  0.805 0.186  0.677 0.009  0.505 -0.101  0.320 -0.213  0.125 -0.306  -0.051 -0.436  -0.251 -0.497  -0.442 -0.583
2#tos#f2#f2051059/Q  0.743 0.975  0.520 0.903  0.327 0.975  0.062 0.975  -0.176 0.884  -0.429 0.831  -0.607 0.701  -0.757 0.487  -0.957 0.328  -1.127 0.126  -1.218 -0.109  -1.267 -0.357  -1.267 -0.622  -1.195 -0.843  -1.021 -0.963  -0.786 -1.035  -0.521 -1.035  -0.295 -0.914  -0.061 -0.792  0.140 -0.626  0.373 -0.503  0.529 -0.298  0.705 -0.104  0.811 0.134  0.923 0.341  0.923 0.606  0.767 0.772  0.563 0.923  0.326 0.975  0.061 0.975  -0.189 0.940  -0.232 0.683  -0.324 0.435  -0.416 0.186  -0.508 -0.062  -0.621 -0.275  -0.800 -0.244  -0.635 -0.073  -0.422 0.033  -0.160 0.042  0.105 0.042  0.320 -0.052  0.438 -0.280  0.528 -0.526  0.671 -0.723  0.795 -0.891  1.060 -0.891  1.249 -0.814  1.447 -0.705  1.605 -0.533
2#tos#f2#f2051059/S  0.881 0.887  0.666 0.894  0.623 1.099  0.442 1.207  0.279 1.316  0.056 1.316  -0.166 1.316  -0.388 1.316  -0.567 1.273  -0.622 1.107  -0.622 0.884  -0.579 0.680  -0.479 0.493  -0.284 0.387  -0.126 0.238  0.001 0.056  0.129 -0.122  0.303 -0.259  0.418 -0.436  0.495 -0.617  0.537 -0.822  0.427 -0.959  0.241 -1.045  0.019 -1.045  -0.203 -1.045  -0.425 -1.045  -0.610 -0.949  -0.738 -0.816  -0.794 -0.775  -0.794 -0.997  -0.794 -1.219  -0.751 -1.431  -0.640 -1.357  -0.529 -1.165  -0.418 -0.973  -0.306 -0.780  -0.195 -0.588  -0.084 -0.396  0.028 -0.204  0.139 -0.012  0.250 0.181  0.361 0.373  0.473 0.565  0.584 0.757  0.695 0.950  0.703 0.778  0.649 0.563  0.623 0.344  0.598 0.132  0.494 -0.058
2#tos#f2#f2051059/T  -1.274 0.242  -1.406 0.199  -1.547 0.199  -1.549 0.212  -1.433 0.285  -1.292 0.285  -1.150 0.285  -1.009 0.285  -0.869 0.295  -0.730 0.319  -0.594 0.355  -0.457 0.388  -0.318 0.413  -0.177 0.413  -0.037 0.426  0.099 0.456  0.240 0.456  0.379 0.467  0.510 0.519  0.647 0.542  0.774 0.577  0.894 0.628  1.035 0.628  1.177 0.628  1.192 0.606  1.059 0.558  0.926 0.511  0.793 0.463  0.660 0.416  0.527 0.368  0.394 0.321  0.261 0.273  0.128 0.226  -0.002 0.171  -0.118 0.102  -0.032 0.046  -0.015 -0.091  0.011 -0.226  0.040 -0.359  0.096 -0.483  0.099 -0.623  0.143 -0.758  0.177 -0.895  0.182 -1.035  0.194 -1.175  0.225 -1.312  0.255 -1.447  0.268 -1.585  0.311 -1.716  0.311 -1.857
2#tos#f2#f2051059/X  0.125 1.484  0.312 1.484  0.450 1.533  0.448 1.368  0.396 1.188  0.333 1.013  0.246 0.847  0.149 0.686  0.053 0.525  -0.043 0.364  -0.136 0.201  -0.230 0.039  -0.324 -0.121  -0.354 -0.306  -0.407 -0.485  -0.475 -0.660  -0.516 -0.841  -0.596 -0.985  -0.664 -1.137  -0.653 -1.034  -0.639 -0.847  -0.624 -0.660  -0.610 -0.473  -0.596 -0.286  -0.581 -0.099  -0.567 0.088  -0.552 0.275  -0.538 0.462  -0.524 0.649  -0.559 0.793  -0.664 0.876  -0.602 0.872  -0.493 0.721  -0.360 0.588  -0.251 0.441  -0.147 0.295  -0.015 0.170  0.038 -0.007  0.170 -0.140  0.330 -0.228  0.417 -0.379  0.490 -0.538  0.660 -0.580  0.783 -0.720  0.869 -0.883  1.012 -0.928  1.132 -1.041  1.290 -1.130  1.416 -1.228  1.604 -1.228
2#tos#f2#f2051059/Z  -0.143 1.424  -0.259 1.424  -0.160 1.412  -0.051 1.383  0.065 1.382  0.169 1.330  0.278 1.300  0.371 1.262  0.456 1.197  0.518 1.124  0.518 1.008  0.518 0.892  0.518 0.776  0.448 0.707  0.396 0.603  0.315 0.520  0.233 0.438  0.151 0.356  0.062 0.281  -0.030 0.212  -0.100 0.119  -0.180 0.037  -0.277 -0.028  -0.370 -0.097  -0.459 -0.171  -0.559 -0.228  -0.658 -0.288  -0.740 -0.370  -0.765 -0.474  -0.881 -0.474  -0.885 -0.586  -0.869 -0.696  -0.763 -0.721  -0.688 -0.763  -0.582 -0.807  -0.470 -0.836  -0.363 -0.879  -0.251 -0.897  -0.154 -0.961  -0.040 -0.969  0.076 -0.969  0.192 -0.969  0.308 -0.969  0.425 -0.969  0.510 -0.894  0.623 -0.886  0.735 -0.875  0.821 -0.804  0.938 -0.804  1.054 -0.804
