2#apa#apa01#app0159/I  -0.230 1.428  -0.230 1.500  -0.230 1.554  -0.230 1.481  -0.216 1.414  -0.164 1.362  -0.113 1.311  -0.093 1.246  -0.093 1.173  -0.093 1.100  -0.093 1.027  -0.093 0.954  -0.093 0.881  -0.093 0.808  -0.093 0.735  -0.093 0.662  -0.093 0.589  -0.093 0.516  -0.072 0.452  -0.020 0.401  0.031 0.349  0.043 0.281  0.043 0.208  0.043 0.135  0.043 0.062  0.043 -0.011  0.043 -0.084  0.043 -0.157  0.043 -0.230  0.043 -0.303  0.043 -0.375  0.043 -0.448  0.043 -0.521  0.043 -0.594  0.043 -0.667  0.043 -0.740  0.043 -0.813  0.043 -0.886  0.043 -0.959  0.048 -1.030  0.100 -1.081  0.152 -1.133  0.179 -1.194  0.179 -1.267  0.179 -1.340  0.179 -1.413  0.179 -1.486  0.179 -1.559  0.179 -1.632  0.179 -1.705
2#apa#apa01#app0159/o  -0.498 0.909  -0.633 0.909  -0.769 0.909  -0.881 0.886  -0.881 0.751  -0.881 0.615  -0.881 0.480  -0.881 0.344  -0.881 0.209  -0.881 0.073  -0.881 -0.062  -0.881 -0.198  -0.815 -0.306  -0.719 -0.402  -0.689 -0.525  -0.652 -0.623  -0.516 -0.623  -0.498 -0.740  -0.437 -0.814  -0.306 -0.819  -0.306 -0.954  -0.222 -1.006  -0.087 -1.006  0.049 -1.006  0.184 -1.006  0.320 -1.006  0.455 -1.006  0.460 -0.875  0.535 -0.814  0.652 -0.796  0.652 -0.660  0.721 -0.554  0.817 -0.458  0.843 -0.333  0.843 -0.198  0.843 -0.062  0.843 0.073  0.843 0.209  0.843 0.344  0.843 0.480  0.843 0.615  0.820 0.741  0.724 0.837  0.628 0.933  0.533 1.028  0.427 1.101  0.292 1.101  0.156 1.101  0.021 1.101  -0.115 1.101
2#apa#apa01#app0159/u  -1.343 0.914  -1.343 0.766  -1.343 0.618  -1.343 0.470  -1.343 0.322  -1.328 0.180  -1.223 0.075  -1.163 -0.048  -1.163 -0.196  -1.163 -0.344  -1.059 -0.449  -0.954 -0.554  -0.850 -0.658  -0.721 -0.705  -0.573 -0.705  -0.430 -0.693  -0.326 -0.588  -0.204 -0.526  -0.083 -0.498  -0.083 -0.350  0.061 -0.346  0.097 -0.234  0.177 -0.166  0.277 -0.118  0.277 0.030  0.277 0.178  0.277 0.326  0.348 0.445  0.452 0.550  0.457 0.696  0.457 0.844  0.457 0.992  0.457 1.048  0.457 0.900  0.457 0.752  0.457 0.604  0.457 0.456  0.457 0.308  0.481 0.170  0.586 0.065  0.637 -0.062  0.668 -0.197  0.773 -0.302  0.877 -0.406  0.982 -0.511  1.124 -0.526  1.272 -0.526  1.356 -0.589  1.388 -0.705  1.536 -0.705
2#apa#apa01#app0159/r  -0.677 0.686  -0.677 0.538  -0.624 0.412  -0.519 0.307  -0.456 0.185  -0.456 0.037  -0.456 -0.112  -0.456 -0.260  -0.456 -0.408  -0.320 -0.420  -0.235 -0.483  -0.235 -0.632  -0.235 -0.780  -0.235 -0.928  -0.235 -1.076  -0.235 -1.225  -0.167 -1.305  -0.019 -1.305  -0.013 -1.448  -0.013 -1.457  -0.013 -1.308  -0.013 -1.160  -0.064 -1.033  -0.169 -0.928  -0.235 -0.807  -0.235 -0.659  -0.235 -0.511  -0.235 -0.363  -0.235 -0.214  -0.235 -0.066  -0.235 0.082  -0.235 0.230  -0.100 0.244  -0.013 0.306  -0.013 0.454  -0.013 0.602  -0.013 0.750  -0.013 0.898  0.126 0.907  0.208 0.974  0.208 1.122  0.349 1.128  0.498 1.128  0.646 1.128  0.794 1.128  0.942 1.128  1.091 1.128  1.239 1.128  1.387 1.128  1.535 1.128
2#apa#apa01#app0159/F  -0.759 0.913  -0.624 0.824  -0.605 0.605  -0.505 0.405  -0.489 0.185  -0.389 0.003  -0.353 -0.206  -0.353 -0.430  -0.353 -0.654  -0.353 -0.878  -0.353 -1.101  -0.353 -1.325  -0.324 -1.520  -0.218 -1.637  -0.222 -1.449  -0.233 -1.225  -0.244 -1.002  -0.255 -0.778  -0.267 -0.555  -0.278 -0.331  -0.289 -0.108  -0.300 0.116  -0.311 0.339  -0.322 0.562  -0.334 0.786  -0.345 1.009  -0.304 1.183  -0.080 1.183  0.144 1.183  0.367 1.183  0.552 1.278  0.759 1.318  0.982 1.318  1.093 1.258  0.969 1.072  0.844 0.885  0.720 0.699  0.596 0.513  0.472 0.327  0.348 0.141  0.224 -0.045  0.100 -0.232  -0.024 -0.418  -0.148 -0.604  -0.121 -0.709  -0.032 -0.844  0.192 -0.844  0.415 -0.844  0.639 -0.844  0.728 -0.709
2#apa#apa01#app0159/r  -0.607 0.388  -0.607 0.246  -0.577 0.117  -0.477 0.017  -0.376 -0.083  -0.367 -0.221  -0.354 -0.360  -0.290 -0.487  -0.227 -0.614  -0.163 -0.741  -0.084 -0.857  0.016 -0.957  0.114 -1.058  0.114 -1.200  0.114 -1.342  0.114 -1.484  0.114 -1.448  0.114 -1.306  0.114 -1.164  0.081 -1.055  -0.061 -1.055  -0.126 -0.979  -0.126 -0.837  -0.126 -0.695  -0.141 -0.559  -0.241 -0.459  -0.342 -0.359  -0.367 -0.227  -0.367 -0.085  -0.367 0.057  -0.367 0.198  -0.367 0.340  -0.367 0.482  -0.367 0.624  -0.230 0.629  -0.126 0.667  -0.126 0.809  -0.045 0.870  0.097 0.870  0.114 0.994  0.140 1.110  0.282 1.110  0.424 1.110  0.566 1.110  0.675 1.189  0.775 1.290  0.892 1.351  1.034 1.351  1.175 1.351  1.317 1.351
2#apa#apa01#app0159/i  -0.256 0.002  -0.256 -0.103  -0.256 -0.208  -0.188 -0.286  -0.114 -0.360  -0.039 -0.435  -0.035 -0.538  -0.035 -0.644  0.028 -0.723  0.103 -0.797  0.177 -0.872  0.186 -0.973  0.186 -1.079  0.186 -1.184  0.186 -1.289  0.259 -1.322  0.364 -1.322  0.406 -1.258  0.406 -1.153  0.392 -1.050  0.363 -0.949  0.334 -0.847  0.305 -0.746  0.276 -0.645  0.247 -0.544  0.218 -0.442  0.189 -0.341  0.160 -0.240  0.131 -0.138  0.102 -0.037  0.074 0.064  0.045 0.165  0.016 0.267  -0.013 0.368  -0.042 0.469  -0.071 0.570  -0.100 0.672  -0.129 0.773  -0.158 0.874  -0.187 0.975  -0.216 1.077  -0.245 1.178  -0.274 1.279  -0.303 1.380  -0.332 1.482  -0.360 1.583  -0.389 1.684  -0.418 1.786  -0.447 1.887  -0.476 1.988
2#apa#apa01#app0159/e  -0.603 -0.014  -0.443 -0.014  -0.393 0.097  -0.332 0.196  -0.184 0.209  -0.184 0.369  -0.060 0.406  0.100 0.406  0.236 0.431  0.236 0.591  0.372 0.616  0.446 0.703  0.472 0.852  0.586 0.965  0.593 1.035  0.433 1.035  0.272 1.035  0.112 1.035  -0.049 1.035  -0.184 1.010  -0.184 0.849  -0.320 0.825  -0.393 0.738  -0.431 0.616  -0.592 0.616  -0.752 0.616  -0.813 0.516  -0.813 0.355  -0.813 0.195  -0.813 0.034  -0.813 -0.126  -0.813 -0.287  -0.799 -0.433  -0.639 -0.433  -0.515 -0.522  -0.401 -0.635  -0.288 -0.749  -0.174 -0.862  -0.061 -0.976  0.063 -1.063  0.224 -1.063  0.384 -1.063  0.545 -1.063  0.705 -1.063  0.866 -1.063  0.979 -1.176  1.100 -1.272  1.260 -1.272  1.381 -1.176  1.494 -1.063
2#apa#apa01#app0159/n  -1.010 0.045  -0.860 0.045  -0.824 -0.068  -0.824 -0.217  -0.824 -0.367  -0.819 -0.510  -0.670 -0.510  -0.639 -0.629  -0.639 -0.778  -0.639 -0.928  -0.639 -1.055  -0.639 -0.906  -0.639 -0.757  -0.639 -0.607  -0.639 -0.458  -0.639 -0.309  -0.639 -0.160  -0.639 -0.011  -0.639 0.139  -0.639 0.288  -0.624 0.431  -0.518 0.536  -0.454 0.659  -0.454 0.808  -0.454 0.957  -0.319 0.971  -0.198 1.042  -0.093 1.147  0.052 1.156  0.172 1.086  0.278 0.980  0.383 0.875  0.489 0.769  0.594 0.664  0.657 0.540  0.682 0.416  0.831 0.416  0.842 0.278  0.842 0.129  0.842 -0.021  0.872 -0.140  1.022 -0.140  1.028 -0.283  1.028 -0.432  1.028 -0.582  1.028 -0.731  1.028 -0.880  1.133 -0.986  1.213 -1.030  1.213 -0.881
2#apa#apa01#app0159/d  -0.014 -0.154  -0.095 -0.035  -0.295 -0.035  -0.376 0.083  -0.575 0.083  -0.724 0.032  -0.852 -0.045  -0.961 -0.200  -0.970 -0.391  -1.079 -0.481  -1.079 -0.680  -0.985 -0.841  -0.927 -1.017  -0.786 -1.158  -0.612 -1.220  -0.412 -1.220  -0.213 -1.220  -0.013 -1.220  0.163 -1.162  0.223 -0.987  0.342 -0.837  0.342 -0.637  0.342 -0.437  0.342 -0.238  0.342 -0.038  0.342 0.162  0.342 0.361  0.255 0.525  0.223 0.712  0.223 0.911  0.223 1.111  0.223 1.311  0.223 1.510  0.223 1.710  0.105 1.691  0.105 1.491  0.105 1.291  0.105 1.092  0.223 1.011  0.223 0.811  0.252 0.618  0.341 0.439  0.342 0.240  0.456 0.087  0.547 -0.090  0.579 -0.282  0.643 -0.455  0.784 -0.596  0.853 -0.746  0.934 -0.864
2#apa#apa01#app0159/,  -0.999 1.126  -0.912 1.126  -0.825 1.126  -0.739 1.126  -0.672 1.106  -0.672 1.020  -0.672 0.933  -0.672 0.846  -0.632 0.799  -0.545 0.799  -0.458 0.799  -0.372 0.799  -0.285 0.799  -0.198 0.799  -0.111 0.799  -0.025 0.799  -0.018 0.719  -0.018 0.633  -0.018 0.546  -0.005 0.472  0.082 0.472  0.169 0.472  0.256 0.472  0.309 0.439  0.309 0.352  0.309 0.266  0.309 0.179  0.309 0.092  0.309 0.005  0.309 -0.081  0.309 -0.168  0.309 -0.255  0.309 -0.342  0.309 -0.428  0.309 -0.515  0.309 -0.602  0.309 -0.689  0.309 -0.775  0.309 -0.862  0.309 -0.949  0.309 -1.036  0.309 -1.122  0.309 -1.209  0.309 -1.296  0.309 -1.383  0.309 -1.469  0.309 -1.556  0.309 -1.643  0.309 -1.730  0.309 -1.816
2#apa#apa01#app0159/\"  -1.296 0.475  -1.162 0.475  -1.094 0.410  -1.094 0.276  -1.094 0.142  -1.032 0.069  -0.899 0.069  -0.891 -0.057  -0.891 -0.190  -0.891 -0.324  -0.805 -0.422  -0.710 -0.517  -0.689 -0.641  -0.689 -0.775  -0.689 -0.909  -0.689 -1.043  -0.658 -1.146  -0.524 -1.146  -0.440 -1.062  -0.376 -0.944  -0.312 -0.827  -0.248 -0.709  -0.184 -0.592  -0.120 -0.475  -0.056 -0.357  0.008 -0.240  0.072 -0.122  0.136 -0.005  0.200 0.112  0.264 0.230  0.328 0.347  0.392 0.465  0.456 0.582  0.520 0.700  0.585 0.817  0.649 0.934  0.713 1.052  0.729 0.983  0.760 0.880  0.893 0.880  0.932 0.784  0.932 0.650  0.932 0.517  0.996 0.410  1.091 0.315  1.134 0.199  1.134 0.066  1.134 -0.068  1.203 -0.133  1.337 -0.133
