2#app#app08#app0886/B  -0.794 1.569  -0.755 1.335  -0.679 1.107  -0.572 0.892  -0.561 0.654  -0.486 0.444  -0.444 0.221  -0.412 -0.012  -0.327 -0.232  -0.327 -0.473  -0.327 -0.713  -0.327 -0.954  -0.327 -1.194  -0.327 -1.435  -0.327 -1.259  -0.327 -1.019  -0.327 -0.778  -0.327 -0.538  -0.380 -0.310  -0.444 -0.084  -0.339 0.051  -0.327 0.280  -0.327 0.521  -0.318 0.752  -0.116 0.846  -0.002 0.985  0.210 0.916  0.134 0.746  0.023 0.551  -0.184 0.518  -0.327 0.420  -0.444 0.506  -0.327 0.630  -0.126 0.719  0.100 0.752  0.341 0.752  0.555 0.688  0.759 0.600  0.929 0.430  1.074 0.250  1.074 0.009  1.074 -0.231  1.074 -0.472  0.958 -0.664  0.943 -0.898  0.773 -1.068  0.607 -1.240  0.491 -1.409  0.374 -1.577  0.140 -1.584
2#app#app08#app0886/t  0.150 1.948  0.150 1.786  0.150 1.624  0.150 1.462  0.150 1.300  0.150 1.138  0.205 0.989  0.277 0.844  0.291 0.685  0.291 0.523  0.305 0.364  0.378 0.219  0.432 0.070  0.432 -0.092  0.432 -0.254  0.504 -0.387  0.574 -0.520  0.574 -0.682  0.574 -0.844  0.663 -0.969  0.715 -1.109  0.715 -1.272  0.715 -1.434  0.602 -1.349  0.479 -1.243  0.356 -1.138  0.233 -1.032  0.109 -0.927  -0.014 -0.821  -0.137 -0.716  -0.260 -0.610  -0.383 -0.505  -0.506 -0.400  -0.629 -0.294  -0.752 -0.189  -0.875 -0.083  -0.998 0.022  -1.121 0.128  -1.244 0.233  -1.130 0.251  -0.968 0.251  -0.806 0.251  -0.644 0.251  -0.481 0.251  -0.348 0.319  -0.216 0.392  -0.054 0.392  0.108 0.392  0.270 0.392  0.432 0.392
2#app#app08#app0886/h  -0.912 1.925  -0.912 1.787  -0.849 1.675  -0.818 1.549  -0.756 1.426  -0.725 1.295  -0.675 1.168  -0.618 1.043  -0.575 0.911  -0.528 0.781  -0.466 0.658  -0.444 0.525  -0.416 0.398  -0.350 0.287  -0.350 0.149  -0.350 0.011  -0.312 -0.119  -0.257 -0.244  -0.257 -0.382  -0.184 -0.490  -0.163 -0.620  -0.163 -0.758  -0.158 -0.895  -0.096 -1.019  -0.014 -1.128  0.024 -1.250  0.024 -1.131  0.024 -0.993  0.024 -0.855  0.024 -0.717  0.024 -0.578  0.024 -0.440  0.105 -0.336  0.118 -0.202  0.168 -0.085  0.212 0.035  0.240 0.145  0.305 0.218  0.416 0.222  0.522 0.145  0.586 0.071  0.670 -0.032  0.768 -0.130  0.866 -0.228  0.961 -0.326  0.961 -0.465  1.026 -0.576  1.055 -0.702  1.055 -0.841  1.148 -0.885
2#app#app08#app0886/a  0.185 0.840  0.185 1.004  0.024 1.007  -0.140 1.007  -0.304 1.007  -0.452 0.939  -0.599 0.866  -0.725 0.765  -0.818 0.640  -0.839 0.485  -0.955 0.369  -0.985 0.217  -1.069 0.088  -1.152 -0.042  -1.152 -0.206  -1.152 -0.370  -1.125 -0.523  -1.009 -0.639  -0.985 -0.792  -0.859 -0.831  -0.731 -0.917  -0.600 -0.998  -0.436 -0.998  -0.316 -0.954  -0.275 -0.831  -0.123 -0.804  -0.007 -0.688  0.109 -0.572  0.225 -0.456  0.341 -0.340  0.418 -0.196  0.492 -0.050  0.519 0.108  0.519 0.272  0.519 0.436  0.519 0.600  0.519 0.764  0.519 0.753  0.519 0.589  0.519 0.425  0.554 0.269  0.627 0.122  0.709 -0.018  0.825 -0.134  0.964 -0.218  1.111 -0.291  1.266 -0.329  1.408 -0.383  1.524 -0.496  1.688 -0.496
2#app#app08#app0886/t  -0.681 2.032  -0.681 1.883  -0.681 1.733  -0.681 1.584  -0.681 1.435  -0.681 1.286  -0.643 1.145  -0.576 1.012  -0.509 0.878  -0.442 0.745  -0.411 0.603  -0.411 0.454  -0.335 0.336  -0.229 0.231  -0.141 0.118  -0.124 -0.027  -0.057 -0.161  -0.007 -0.298  0.029 -0.433  0.132 -0.540  0.199 -0.673  0.263 -0.808  0.272 -0.955  0.339 -1.088  0.398 -1.223  0.376 -1.319  0.270 -1.213  0.165 -1.108  0.059 -1.002  -0.046 -0.897  -0.152 -0.791  -0.257 -0.685  -0.363 -0.580  -0.469 -0.474  -0.546 -0.357  -0.493 -0.262  -0.343 -0.262  -0.194 -0.262  -0.045 -0.262  0.072 -0.183  0.198 -0.127  0.347 -0.127  0.486 -0.083  0.620 -0.016  0.753 0.051  0.887 0.117  1.030 0.143  1.179 0.143  1.328 0.143  1.478 0.143
2#app#app08#app0886/d  0.566 -0.135  0.483 0.048  0.329 0.202  0.150 0.323  -0.058 0.365  -0.264 0.336  -0.418 0.182  -0.609 0.078  -0.769 -0.068  -0.836 -0.259  -0.935 -0.435  -0.936 -0.653  -0.936 -0.871  -0.936 -1.090  -0.807 -1.237  -0.589 -1.237  -0.370 -1.237  -0.206 -1.108  -0.030 -0.984  0.145 -0.858  0.250 -0.668  0.266 -0.454  0.266 -0.236  0.266 -0.018  0.266 0.201  0.266 0.419  0.266 0.637  0.266 0.855  0.200 1.062  0.131 1.269  0.066 1.477  0.046 1.687  -0.135 1.763  -0.221 1.581  -0.235 1.369  -0.235 1.151  -0.235 0.932  -0.235 0.714  -0.204 0.504  -0.106 0.308  -0.009 0.113  0.089 -0.082  0.198 -0.268  0.321 -0.445  0.470 -0.588  0.645 -0.715  0.812 -0.837  0.988 -0.944  1.195 -1.013  1.367 -1.137
2#app#app08#app0886/i  -0.056 0.151  -0.056 0.043  -0.056 -0.066  -0.056 -0.174  -0.056 -0.283  -0.056 -0.391  -0.056 -0.500  -0.056 -0.608  -0.056 -0.717  0.010 -0.798  0.055 -0.888  0.055 -0.997  0.055 -1.105  0.094 -1.174  0.165 -1.212  0.201 -1.284  0.275 -1.318  0.270 -1.363  0.253 -1.256  0.236 -1.149  0.219 -1.042  0.202 -0.935  0.185 -0.827  0.168 -0.720  0.150 -0.613  0.133 -0.506  0.116 -0.399  0.099 -0.292  0.082 -0.185  0.065 -0.078  0.048 0.030  0.030 0.137  0.013 0.244  -0.004 0.351  -0.021 0.458  -0.038 0.565  -0.055 0.672  -0.072 0.779  -0.090 0.886  -0.107 0.994  -0.124 1.101  -0.141 1.208  -0.158 1.315  -0.207 1.406  -0.277 1.486  -0.277 1.594  -0.277 1.703  -0.277 1.811  -0.277 1.920  -0.277 2.028
2#app#app08#app0886/s  0.676 1.134  0.556 1.134  0.436 1.134  0.316 1.134  0.196 1.134  0.076 1.134  -0.044 1.134  -0.164 1.134  -0.284 1.134  -0.402 1.129  -0.487 1.044  -0.581 0.981  -0.701 0.981  -0.787 0.897  -0.856 0.806  -0.856 0.686  -0.856 0.566  -0.802 0.468  -0.717 0.383  -0.703 0.269  -0.643 0.186  -0.536 0.132  -0.428 0.078  -0.312 0.062  -0.192 0.062  -0.077 0.049  0.008 -0.036  0.063 -0.133  0.063 -0.253  0.063 -0.373  0.063 -0.493  0.124 -0.563  0.242 -0.587  0.360 -0.610  0.477 -0.634  0.595 -0.657  0.713 -0.681  0.829 -0.705  0.829 -0.826  0.829 -0.946  0.790 -1.050  0.706 -1.134  0.598 -1.164  0.477 -1.164  0.357 -1.164  0.237 -1.164  0.117 -1.164  -0.003 -1.164  -0.123 -1.164  -0.243 -1.164
2#app#app08#app0886/a  0.314 1.106  0.158 1.106  0.001 1.106  -0.100 1.051  -0.103 0.896  -0.214 0.785  -0.332 0.692  -0.489 0.692  -0.607 0.600  -0.718 0.489  -0.829 0.378  -0.936 0.265  -1.006 0.125  -1.076 -0.015  -1.137 -0.158  -1.137 -0.314  -1.137 -0.471  -1.137 -0.628  -1.137 -0.784  -1.137 -0.941  -1.006 -0.966  -0.849 -0.966  -0.692 -0.966  -0.536 -0.966  -0.419 -0.870  -0.308 -0.760  -0.152 -0.759  -0.006 -0.712  0.134 -0.642  0.274 -0.572  0.364 -0.452  0.434 -0.312  0.504 -0.172  0.605 -0.054  0.716 0.057  0.826 0.168  0.936 0.279  0.936 0.435  0.936 0.592  0.880 0.692  0.729 0.686  0.729 0.529  0.729 0.373  0.729 0.216  0.736 0.063  0.847 -0.048  0.967 -0.137  1.123 -0.137  1.240 -0.234  1.351 -0.344
2#app#app08#app0886/s  0.503 1.063  0.366 1.063  0.230 1.063  0.093 1.063  -0.043 1.063  -0.179 1.063  -0.316 1.063  -0.452 1.063  -0.575 1.030  -0.671 0.934  -0.799 0.914  -0.936 0.914  -0.990 0.831  -0.990 0.695  -0.990 0.559  -0.946 0.466  -0.810 0.466  -0.691 0.448  -0.686 0.317  -0.550 0.317  -0.413 0.317  -0.311 0.235  -0.207 0.149  -0.085 0.088  0.037 0.027  0.172 0.018  0.297 -0.028  0.419 -0.089  0.533 -0.161  0.629 -0.258  0.745 -0.327  0.867 -0.388  0.981 -0.460  1.078 -0.557  1.100 -0.684  1.007 -0.728  0.950 -0.808  0.883 -0.877  0.747 -0.877  0.623 -0.906  0.526 -1.003  0.400 -1.026  0.263 -1.026  0.127 -1.026  -0.009 -1.026  -0.146 -1.026  -0.282 -1.026  -0.419 -1.026  -0.542 -1.014  -0.542 -0.877
2#app#app08#app0886/t  0.113 1.790  0.094 1.922  -0.057 1.922  -0.150 1.864  -0.150 1.713  -0.150 1.561  -0.150 1.410  -0.150 1.259  -0.150 1.107  -0.150 0.956  -0.150 0.804  -0.150 0.653  -0.105 0.512  -0.037 0.377  -0.018 0.230  -0.018 0.079  0.048 -0.057  0.113 -0.193  0.124 -0.342  0.192 -0.477  0.267 -0.607  0.375 -0.714  0.384 -0.862  0.452 -0.997  0.509 -1.135  0.509 -1.287  0.458 -1.340  0.334 -1.254  0.210 -1.167  0.086 -1.080  -0.038 -0.993  -0.162 -0.906  -0.286 -0.820  -0.410 -0.733  -0.534 -0.646  -0.658 -0.559  -0.782 -0.472  -0.810 -0.336  -0.714 -0.224  -0.577 -0.189  -0.426 -0.189  -0.289 -0.126  -0.154 -0.059  -0.003 -0.057  0.148 -0.057  0.300 -0.057  0.451 -0.057  0.602 -0.057  0.754 -0.057  0.905 -0.057
2#app#app08#app0886/e  -0.876 0.004  -0.723 0.004  -0.570 0.004  -0.418 0.004  -0.281 0.073  -0.144 0.141  0.006 0.157  0.124 0.240  0.248 0.310  0.385 0.349  0.493 0.457  0.644 0.462  0.797 0.462  0.907 0.566  1.015 0.674  1.109 0.788  1.095 0.935  0.987 1.043  0.847 1.073  0.694 1.073  0.541 1.073  0.388 1.073  0.267 0.995  0.150 0.899  0.013 0.831  -0.121 0.759  -0.230 0.651  -0.338 0.543  -0.436 0.427  -0.504 0.290  -0.574 0.154  -0.682 0.046  -0.790 -0.062  -0.876 -0.180  -0.876 -0.333  -0.876 -0.486  -0.854 -0.629  -0.746 -0.738  -0.638 -0.846  -0.571 -0.971  -0.512 -1.065  -0.359 -1.065  -0.212 -1.092  -0.076 -1.160  0.063 -1.226  0.208 -1.274  0.353 -1.322  0.498 -1.371  0.651 -1.371  0.804 -1.371
2#app#app08#app0886/r  -0.626 0.182  -0.761 0.182  -0.632 0.182  -0.626 0.052  -0.626 -0.083  -0.538 -0.182  -0.459 -0.290  -0.398 -0.411  -0.349 -0.535  -0.333 -0.664  -0.238 -0.760  -0.211 -0.884  -0.211 -1.019  -0.146 -1.128  -0.072 -1.233  -0.072 -1.369  -0.072 -1.453  -0.072 -1.318  -0.086 -1.188  -0.182 -1.092  -0.211 -0.969  -0.211 -0.833  -0.211 -0.698  -0.271 -0.588  -0.349 -0.484  -0.349 -0.349  -0.349 -0.213  -0.349 -0.078  -0.349 0.058  -0.349 0.193  -0.349 0.328  -0.345 0.462  -0.250 0.558  -0.211 0.677  -0.211 0.813  -0.136 0.874  -0.022 0.925  0.077 1.012  0.213 1.012  0.348 1.012  0.484 1.012  0.619 1.012  0.755 1.012  0.890 1.012  1.026 1.012  1.124 0.923  1.239 0.874  1.375 0.874  1.493 0.831  1.588 0.735
2#app#app08#app0886/s  0.408 1.044  0.328 1.124  0.226 1.150  0.113 1.150  -0.000 1.150  -0.113 1.150  -0.197 1.079  -0.296 1.044  -0.409 1.044  -0.522 1.044  -0.635 1.044  -0.722 0.980  -0.817 0.937  -0.872 0.879  -0.872 0.766  -0.822 0.673  -0.765 0.584  -0.737 0.482  -0.657 0.402  -0.577 0.322  -0.497 0.242  -0.410 0.172  -0.308 0.122  -0.207 0.071  -0.106 0.021  -0.005 -0.030  0.096 -0.081  0.198 -0.131  0.299 -0.182  0.400 -0.232  0.501 -0.283  0.602 -0.334  0.686 -0.408  0.766 -0.488  0.835 -0.573  0.835 -0.686  0.835 -0.799  0.809 -0.902  0.729 -0.982  0.621 -0.988  0.610 -1.090  0.499 -1.098  0.398 -1.148  0.296 -1.196  0.183 -1.196  0.070 -1.196  -0.043 -1.196  -0.157 -1.196  -0.259 -1.170  -0.339 -1.090
2#app#app08#app0886/t  -0.476 2.115  -0.405 1.972  -0.334 1.830  -0.233 1.710  -0.153 1.584  -0.153 1.425  -0.135 1.271  -0.064 1.128  0.007 0.986  0.008 0.828  0.008 0.669  0.115 0.554  0.170 0.418  0.170 0.259  0.170 0.100  0.170 -0.059  0.202 -0.210  0.273 -0.352  0.331 -0.497  0.350 -0.648  0.462 -0.761  0.492 -0.907  0.492 -1.066  0.492 -1.225  0.492 -1.384  0.413 -1.366  0.295 -1.261  0.176 -1.155  0.057 -1.050  -0.062 -0.944  -0.180 -0.839  -0.299 -0.733  -0.418 -0.628  -0.537 -0.522  -0.655 -0.416  -0.774 -0.311  -0.893 -0.205  -0.892 -0.145  -0.733 -0.145  -0.581 -0.117  -0.439 -0.046  -0.294 0.016  -0.135 0.016  0.023 0.016  0.182 0.016  0.341 0.016  0.500 0.016  0.659 0.016  0.818 0.016  0.977 0.016
2#app#app08#app0886/r  -0.191 0.911  -0.191 0.772  -0.299 0.741  -0.361 0.663  -0.361 0.524  -0.361 0.384  -0.361 0.244  -0.361 0.105  -0.361 -0.035  -0.361 -0.174  -0.361 -0.314  -0.361 -0.454  -0.361 -0.593  -0.285 -0.701  -0.191 -0.802  -0.191 -0.941  -0.191 -1.081  -0.191 -1.220  -0.154 -1.345  -0.055 -1.443  -0.020 -1.568  -0.020 -1.590  -0.020 -1.451  -0.020 -1.311  -0.020 -1.171  -0.020 -1.032  -0.020 -0.892  -0.020 -0.753  -0.020 -0.613  -0.020 -0.474  -0.020 -0.334  -0.020 -0.194  -0.020 -0.055  -0.020 0.085  -0.020 0.224  -0.020 0.364  0.054 0.473  0.151 0.572  0.151 0.712  0.151 0.852  0.151 0.991  0.200 1.082  0.321 1.100  0.321 1.239  0.448 1.253  0.559 1.320  0.658 1.419  0.796 1.423  0.905 1.495  1.004 1.594
2#app#app08#app0886/u  -0.913 1.626  -0.913 1.465  -0.913 1.304  -0.913 1.144  -0.913 0.983  -0.913 0.822  -0.913 0.661  -0.913 0.500  -0.913 0.339  -0.906 0.182  -0.792 0.068  -0.770 -0.084  -0.769 -0.244  -0.697 -0.388  -0.624 -0.532  -0.510 -0.645  -0.482 -0.795  -0.482 -0.955  -0.372 -1.071  -0.259 -1.184  -0.124 -1.248  -0.051 -1.160  0.023 -1.030  0.155 -0.961  0.272 -0.889  0.344 -0.745  0.380 -0.593  0.380 -0.432  0.380 -0.271  0.439 -0.124  0.511 0.019  0.524 0.177  0.524 0.338  0.524 0.499  0.524 0.660  0.524 0.821  0.524 0.981  0.524 0.960  0.524 0.799  0.612 0.675  0.667 0.537  0.667 0.376  0.667 0.216  0.667 0.055  0.667 -0.106  0.679 -0.264  0.750 -0.408  0.811 -0.555  0.841 -0.703  0.955 -0.817
2#app#app08#app0886/c  1.097 0.569  1.097 0.662  1.097 0.755  1.097 0.848  1.097 0.942  1.018 0.956  0.925 0.956  0.832 0.956  0.739 0.956  0.646 0.956  0.553 0.956  0.460 0.956  0.391 0.896  0.326 0.830  0.243 0.788  0.160 0.746  0.077 0.704  0.008 0.642  -0.058 0.576  -0.139 0.532  -0.222 0.490  -0.306 0.449  -0.375 0.388  -0.441 0.322  -0.476 0.237  -0.506 0.149  -0.535 0.061  -0.565 -0.028  -0.610 -0.106  -0.676 -0.172  -0.710 -0.251  -0.710 -0.344  -0.710 -0.437  -0.710 -0.530  -0.696 -0.620  -0.654 -0.703  -0.612 -0.786  -0.559 -0.850  -0.466 -0.850  -0.452 -0.929  -0.421 -1.010  -0.355 -1.075  -0.276 -1.108  -0.186 -1.116  -0.120 -1.182  -0.050 -1.237  0.043 -1.237  0.136 -1.237  0.229 -1.237  0.323 -1.237
2#app#app08#app0886/k  -0.711 1.871  -0.823 1.801  -0.823 1.618  -0.823 1.435  -0.823 1.252  -0.781 1.077  -0.724 0.903  -0.647 0.738  -0.599 0.566  -0.599 0.384  -0.524 0.232  -0.429 0.078  -0.376 -0.092  -0.366 -0.272  -0.284 -0.436  -0.252 -0.611  -0.171 -0.774  -0.152 -0.953  -0.081 -1.106  0.023 -1.038  0.116 -0.880  0.208 -0.723  0.301 -0.565  0.394 -0.408  0.486 -0.250  0.579 -0.093  0.671 0.065  0.764 0.222  0.857 0.380  0.949 0.537  1.042 0.694  0.997 0.834  0.867 0.768  0.738 0.639  0.609 0.509  0.480 0.380  0.336 0.272  0.178 0.185  0.096 0.021  -0.019 -0.118  -0.148 -0.248  -0.198 -0.409  -0.264 -0.565  -0.264 -0.747  -0.264 -0.930  -0.208 -1.090  -0.049 -1.146  0.083 -1.269  0.224 -1.369  0.406 -1.369
