1c#app#app13#app1399/b  -0.297 -0.611  -0.297 -0.400  -0.266 -0.220  -0.166 -0.109  -0.105 0.041  -0.036 0.182  0.056 0.301  0.216 0.423  0.403 0.383  0.552 0.234  0.616 0.050  0.746 -0.107  0.746 -0.318  0.746 -0.528  0.746 -0.739  0.653 -0.928  0.558 -1.117  0.485 -1.310  0.395 -1.483  0.225 -1.547  0.120 -1.654  -0.075 -1.615  -0.166 -1.443  -0.217 -1.240  -0.284 -1.040  -0.297 -0.831  -0.297 -0.621  -0.297 -0.410  -0.287 -0.201  -0.193 -0.013  -0.166 0.192  -0.166 0.403  -0.166 0.613  -0.166 0.824  -0.130 1.026  -0.036 1.215  -0.036 1.426  -0.036 1.637  -0.036 1.847  -0.166 1.727  -0.206 1.525  -0.297 1.336  -0.297 1.125  -0.297 0.914  -0.297 0.704  -0.297 0.493  -0.297 0.282  -0.297 0.071  -0.297 -0.140  -0.297 -0.350
1c#app#app13#app1399/l  -0.089 1.707  -0.089 1.636  -0.089 1.566  -0.089 1.495  -0.089 1.425  -0.089 1.355  -0.089 1.284  -0.089 1.214  -0.089 1.143  -0.089 1.073  -0.089 1.002  -0.089 0.932  -0.089 0.862  -0.089 0.791  -0.089 0.721  -0.089 0.650  -0.089 0.580  -0.089 0.510  -0.089 0.439  -0.089 0.369  -0.089 0.298  -0.089 0.228  -0.089 0.157  -0.089 0.087  -0.089 0.017  -0.089 -0.054  -0.067 -0.121  -0.045 -0.188  -0.023 -0.254  -0.001 -0.321  0.022 -0.388  0.044 -0.455  0.066 -0.522  0.087 -0.589  0.087 -0.659  0.087 -0.730  0.087 -0.800  0.087 -0.870  0.087 -0.941  0.087 -1.011  0.087 -1.082  0.087 -1.152  0.087 -1.222  0.089 -1.292  0.139 -1.342  0.189 -1.392  0.239 -1.441  0.264 -1.502  0.264 -1.572  0.264 -1.642
1c#app#app13#app1399/s  -0.305 0.755  -0.207 0.755  -0.109 0.755  -0.011 0.755  0.022 0.819  0.022 0.917  0.022 1.015  -0.008 1.082  -0.106 1.082  -0.204 1.082  -0.302 1.082  -0.400 1.082  -0.498 1.082  -0.595 1.082  -0.632 1.020  -0.632 0.923  -0.632 0.825  -0.632 0.727  -0.632 0.629  -0.632 0.531  -0.632 0.433  -0.567 0.363  -0.498 0.293  -0.428 0.224  -0.359 0.155  -0.290 0.086  -0.221 0.017  -0.152 -0.052  -0.083 -0.122  -0.013 -0.191  0.056 -0.260  0.125 -0.329  0.194 -0.398  0.263 -0.467  0.333 -0.537  0.402 -0.606  0.471 -0.675  0.540 -0.744  0.609 -0.813  0.676 -0.883  0.676 -0.981  0.676 -1.079  0.676 -1.177  0.676 -1.275  0.676 -1.372  0.676 -1.470  0.643 -1.534  0.545 -1.534  0.447 -1.534  0.349 -1.534
1c#app#app13#app1399/w  -1.074 0.901  -0.945 0.901  -0.909 0.901  -1.038 0.901  -1.074 0.808  -1.074 0.679  -1.074 0.551  -1.074 0.422  -1.074 0.294  -1.074 0.165  -1.052 0.058  -0.924 0.058  -0.863 -0.010  -0.863 -0.138  -0.863 -0.267  -0.840 -0.340  -0.749 -0.249  -0.658 -0.159  -0.567 -0.068  -0.477 0.023  -0.442 0.137  -0.442 0.266  -0.316 0.269  -0.200 0.238  -0.109 0.147  -0.020 0.056  -0.020 -0.073  0.014 -0.187  0.105 -0.278  0.196 -0.369  0.287 -0.460  0.378 -0.551  0.469 -0.642  0.560 -0.732  0.667 -0.784  0.795 -0.784  0.822 -0.683  0.842 -0.574  0.970 -0.574  1.033 -0.508  1.033 -0.379  1.112 -0.284  1.203 -0.193  1.244 -0.081  1.244 0.047  1.244 0.176  1.279 0.269  1.408 0.269  1.454 0.351  1.454 0.479
1c#app#app13#app1399/a  -0.166 0.694  -0.166 0.465  -0.185 0.255  -0.385 0.226  -0.413 0.009  -0.575 -0.154  -0.605 -0.370  -0.743 -0.542  -0.825 -0.737  -0.825 -0.967  -0.825 -0.928  -0.825 -0.699  -0.716 -0.515  -0.605 -0.332  -0.548 -0.127  -0.386 0.036  -0.385 0.265  -0.372 0.488  -0.210 0.650  -0.166 0.861  -0.166 1.090  -0.034 1.265  0.054 1.458  0.168 1.573  0.273 1.696  0.368 1.698  0.493 1.521  0.493 1.291  0.493 1.062  0.493 0.833  0.493 0.604  0.493 0.375  0.493 0.146  0.493 -0.084  0.493 -0.313  0.493 -0.542  0.493 -0.771  0.493 -1.000  0.611 -1.180  0.712 -1.368  0.712 -1.406  0.607 -1.282  0.412 -1.201  0.273 -1.029  0.273 -0.800  0.221 -0.623  0.010 -0.579  -0.152 -0.417  -0.166 -0.193  -0.166 -0.403
1c#app#app13#app1399/x  -1.606 0.426  -1.482 0.302  -1.359 0.179  -1.218 0.096  -1.043 0.096  -0.945 0.018  -0.945 -0.157  -0.848 -0.235  -0.673 -0.235  -0.532 -0.318  -0.408 -0.442  -0.284 -0.565  -0.109 -0.565  0.060 -0.579  0.184 -0.703  0.308 -0.827  0.432 -0.951  0.556 -1.075  0.680 -1.199  0.726 -1.091  0.751 -0.917  0.776 -0.744  0.800 -0.571  0.825 -0.397  0.850 -0.224  0.875 -0.050  0.900 0.123  0.924 0.296  0.949 0.470  0.974 0.643  0.999 0.817  1.023 0.990  0.960 1.087  0.785 1.087  0.638 1.019  0.515 0.895  0.391 0.771  0.222 0.757  0.046 0.757  0.046 0.582  0.027 0.426  -0.149 0.426  -0.312 0.399  -0.436 0.275  -0.560 0.151  -0.684 0.027  -0.808 -0.097  -0.931 -0.221  -0.945 -0.390  -0.945 -0.565
1c#app#app13#app1399/m  -1.100 0.767  -0.889 0.767  -0.838 0.607  -0.838 0.396  -0.838 0.185  -0.838 -0.025  -0.838 -0.236  -0.838 -0.447  -0.955 -0.541  -1.100 -0.607  -1.100 -0.818  -1.100 -1.029  -0.924 -1.064  -0.838 -0.940  -0.786 -0.751  -0.637 -0.602  -0.576 -0.416  -0.576 -0.205  -0.576 0.006  -0.576 0.217  -0.446 0.374  -0.314 0.530  -0.314 0.741  -0.130 0.767  -0.053 0.633  0.006 0.447  0.155 0.298  0.209 0.109  0.209 -0.102  0.209 -0.312  0.209 -0.523  0.209 -0.734  0.209 -0.661  0.274 -0.476  0.423 -0.327  0.471 -0.136  0.471 0.075  0.500 0.273  0.649 0.422  0.732 0.599  0.775 0.767  0.985 0.767  1.196 0.767  1.256 0.616  1.327 0.434  1.476 0.285  1.517 0.091  1.517 -0.119  1.517 -0.330  1.517 -0.541
1c#app#app13#app1399/e  -0.727 -0.381  -0.585 -0.381  -0.443 -0.381  -0.301 -0.381  -0.159 -0.381  -0.017 -0.381  0.099 -0.318  0.199 -0.218  0.300 -0.118  0.400 -0.017  0.500 0.083  0.601 0.184  0.701 0.284  0.798 0.386  0.798 0.527  0.798 0.669  0.798 0.811  0.798 0.953  0.798 1.095  0.705 1.144  0.563 1.144  0.421 1.144  0.279 1.144  0.137 1.144  -0.005 1.144  -0.147 1.144  -0.289 1.144  -0.345 1.058  -0.345 0.916  -0.345 0.774  -0.345 0.633  -0.345 0.491  -0.345 0.349  -0.345 0.207  -0.345 0.065  -0.345 -0.077  -0.345 -0.219  -0.345 -0.361  -0.345 -0.503  -0.345 -0.645  -0.345 -0.787  -0.345 -0.929  -0.345 -1.071  -0.345 -1.212  -0.345 -1.354  -0.345 -1.496  -0.265 -1.605  -0.165 -1.705  -0.065 -1.806  0.036 -1.906
1c#app#app13#app1399/r  -0.317 -1.759  -0.317 -1.678  -0.317 -1.597  -0.317 -1.517  -0.317 -1.436  -0.317 -1.356  -0.317 -1.275  -0.317 -1.194  -0.317 -1.114  -0.317 -1.033  -0.317 -0.953  -0.317 -0.872  -0.317 -0.792  -0.317 -0.711  -0.317 -0.630  -0.317 -0.550  -0.317 -0.469  -0.317 -0.389  -0.317 -0.308  -0.317 -0.227  -0.317 -0.147  -0.317 -0.066  -0.287 0.002  -0.230 0.059  -0.173 0.116  -0.116 0.173  -0.059 0.230  -0.002 0.287  0.029 0.355  0.029 0.435  0.029 0.516  0.029 0.596  0.029 0.677  0.029 0.757  0.029 0.838  0.029 0.919  0.029 0.999  0.100 1.009  0.180 1.009  0.261 1.009  0.341 1.009  0.422 1.009  0.503 1.009  0.583 1.009  0.664 1.009  0.744 1.009  0.825 1.009  0.906 1.009  0.986 1.009  1.067 1.009
1c#app#app13#app1399/c  0.884 1.246  0.775 1.246  0.666 1.246  0.557 1.246  0.448 1.246  0.339 1.246  0.230 1.246  0.171 1.195  0.171 1.086  0.171 0.977  0.150 0.890  0.041 0.890  -0.068 0.890  -0.177 0.890  -0.185 0.788  -0.185 0.679  -0.185 0.570  -0.257 0.534  -0.366 0.534  -0.475 0.534  -0.541 0.491  -0.541 0.382  -0.541 0.273  -0.541 0.164  -0.541 0.055  -0.541 -0.055  -0.541 -0.164  -0.541 -0.273  -0.541 -0.382  -0.541 -0.491  -0.475 -0.534  -0.366 -0.534  -0.257 -0.534  -0.185 -0.570  -0.185 -0.679  -0.185 -0.788  -0.177 -0.890  -0.068 -0.890  0.041 -0.890  0.150 -0.890  0.171 -0.977  0.171 -1.086  0.171 -1.195  0.230 -1.246  0.339 -1.246  0.448 -1.246  0.557 -1.246  0.666 -1.246  0.775 -1.246  0.884 -1.246
1c#app#app13#app1399/i  0.000 -0.531  0.000 -0.617  0.000 -0.703  0.000 -0.788  0.000 -0.874  0.000 -0.960  0.000 -1.045  0.000 -1.131  0.000 -1.216  0.000 -1.302  0.000 -1.388  0.000 -1.356  0.000 -1.270  0.000 -1.185  0.000 -1.099  0.000 -1.014  0.000 -0.928  0.000 -0.842  0.000 -0.757  0.000 -0.671  0.000 -0.586  0.000 -0.500  0.000 -0.414  0.000 -0.329  0.000 -0.243  0.000 -0.157  0.000 -0.072  0.000 0.014  0.000 0.099  0.000 0.185  0.000 0.271  0.000 0.356  0.000 0.442  0.000 0.527  0.000 0.613  0.000 0.699  0.000 0.784  0.000 0.870  0.000 0.956  0.000 1.041  0.000 1.127  0.000 1.212  0.000 1.298  0.000 1.384  0.000 1.469  0.000 1.555  0.000 1.640  0.000 1.726  0.000 1.812  0.000 1.897
1c#app#app13#app1399/f  0.492 -1.267  0.328 -1.267  0.179 -1.229  0.063 -1.113  -0.053 -0.997  -0.215 -0.992  -0.379 -0.992  -0.544 -0.992  -0.550 -0.911  -0.455 -0.777  -0.359 -0.643  -0.264 -0.510  -0.168 -0.376  -0.073 -0.242  0.023 -0.109  0.118 0.025  0.214 0.159  0.309 0.292  0.405 0.426  0.500 0.559  0.596 0.693  0.691 0.827  0.744 0.957  0.628 1.073  0.512 1.189  0.492 1.345  0.466 1.484  0.302 1.484  0.138 1.484  -0.026 1.484  -0.152 1.390  -0.268 1.274  -0.333 1.136  -0.333 0.972  -0.333 0.808  -0.333 0.643  -0.333 0.479  -0.333 0.315  -0.333 0.151  -0.333 -0.014  -0.325 -0.175  -0.209 -0.291  -0.093 -0.407  -0.058 -0.557  -0.058 -0.721  -0.058 -0.885  -0.058 -1.049  -0.058 -1.214  -0.058 -1.378  -0.058 -1.542
1c#app#app13#app1399/u  -0.921 1.420  -0.921 1.320  -0.921 1.219  -0.921 1.119  -0.921 1.018  -0.921 0.918  -0.921 0.817  -0.921 0.717  -0.921 0.616  -0.921 0.516  -0.921 0.415  -0.873 0.334  -0.802 0.263  -0.731 0.192  -0.660 0.121  -0.589 0.050  -0.576 -0.045  -0.576 -0.146  -0.576 -0.246  -0.538 -0.309  -0.438 -0.309  -0.337 -0.309  -0.236 -0.309  -0.230 -0.403  -0.230 -0.503  -0.230 -0.604  -0.180 -0.655  -0.080 -0.655  0.021 -0.655  0.122 -0.655  0.222 -0.655  0.323 -0.655  0.423 -0.655  0.524 -0.655  0.624 -0.655  0.725 -0.655  0.808 -0.638  0.808 -0.537  0.808 -0.437  0.808 -0.336  0.860 -0.257  0.931 -0.186  1.002 -0.115  1.073 -0.044  1.144 0.027  1.216 0.098  1.287 0.169  1.358 0.240  1.429 0.312  1.500 0.383
1c#app#app13#app1399/l  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.935  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.935  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
