2#ceb#Bouzy/F  0.435 0.472  0.457 0.425  0.401 0.255  0.340 0.086  0.277 -0.082  0.212 -0.249  0.146 -0.416  0.072 -0.580  -0.011 -0.739  -0.104 -0.892  -0.210 -1.037  -0.337 -1.163  -0.488 -1.259  -0.662 -1.297  -0.835 -1.261  -0.971 -1.146  -1.058 -0.991  -1.105 -0.818  -1.119 -0.640  -1.053 -0.481  -0.894 -0.402  -0.726 -0.338  -0.549 -0.320  -0.369 -0.313  -0.190 -0.306  -0.011 -0.297  0.168 -0.291  0.347 -0.275  0.523 -0.243  0.518 -0.195  0.353 -0.131  0.200 -0.036  0.048 0.058  -0.105 0.152  -0.258 0.246  -0.411 0.341  -0.444 0.485  -0.374 0.650  -0.256 0.785  -0.120 0.902  0.029 1.001  0.194 1.070  0.367 1.114  0.545 1.141  0.724 1.154  0.903 1.157  1.083 1.157  1.262 1.162  1.440 1.177  1.616 1.210
2#ceb#Bouzy/p  0.116 0.942  0.048 0.760  -0.010 0.574  -0.077 0.391  -0.143 0.208  -0.207 0.024  -0.272 -0.159  -0.338 -0.343  -0.407 -0.525  -0.483 -0.704  -0.561 -0.883  -0.641 -1.060  -0.727 -1.235  -0.816 -1.409  -0.897 -1.586  -0.892 -1.506  -0.829 -1.322  -0.761 -1.139  -0.693 -0.957  -0.626 -0.774  -0.559 -0.591  -0.493 -0.408  -0.417 -0.228  -0.338 -0.050  -0.259 0.128  -0.173 0.302  -0.084 0.476  0.004 0.650  0.105 0.816  0.210 0.980  0.322 1.139  0.457 1.280  0.611 1.393  0.788 1.401  0.925 1.268  1.012 1.095  1.066 0.909  1.074 0.714  1.055 0.521  1.011 0.332  0.932 0.154  0.817 -0.001  0.682 -0.140  0.526 -0.257  0.346 -0.332  0.157 -0.373  -0.034 -0.353  -0.164 -0.231  -0.192 -0.042  -0.170 0.151
2#ceb#Bouzy/e  -0.392 0.078  -0.276 -0.009  -0.133 -0.033  0.011 -0.007  0.137 0.064  0.245 0.163  0.345 0.272  0.423 0.397  0.496 0.525  0.551 0.662  0.602 0.800  0.640 0.942  0.671 1.086  0.689 1.233  0.654 1.374  0.515 1.398  0.394 1.314  0.276 1.226  0.157 1.139  0.052 1.035  -0.053 0.931  -0.157 0.827  -0.248 0.711  -0.338 0.594  -0.428 0.477  -0.513 0.357  -0.591 0.232  -0.668 0.106  -0.745 -0.020  -0.788 -0.160  -0.827 -0.302  -0.865 -0.445  -0.871 -0.592  -0.877 -0.739  -0.819 -0.871  -0.744 -0.998  -0.623 -1.081  -0.499 -1.160  -0.357 -1.199  -0.210 -1.201  -0.062 -1.201  0.081 -1.172  0.220 -1.124  0.359 -1.075  0.483 -0.995  0.606 -0.914  0.727 -0.831  0.822 -0.718  0.917 -0.605  1.012 -0.492
2#ceb#Bouzy/f  0.827 1.018  0.895 1.121  0.951 1.232  0.980 1.353  0.924 1.447  0.801 1.442  0.686 1.395  0.581 1.328  0.485 1.249  0.402 1.158  0.336 1.053  0.288 0.938  0.246 0.821  0.215 0.700  0.185 0.580  0.155 0.459  0.126 0.338  0.098 0.216  0.069 0.095  0.035 -0.024  -0.000 -0.144  -0.039 -0.262  -0.081 -0.379  -0.124 -0.496  -0.172 -0.611  -0.221 -0.725  -0.274 -0.838  -0.328 -0.950  -0.385 -1.061  -0.445 -1.169  -0.516 -1.272  -0.595 -1.368  -0.700 -1.413  -0.717 -1.296  -0.697 -1.173  -0.668 -1.052  -0.638 -0.931  -0.603 -0.811  -0.569 -0.692  -0.513 -0.582  -0.442 -0.480  -0.371 -0.378  -0.300 -0.276  -0.229 -0.174  -0.158 -0.072  -0.087 0.031  -0.016 0.133  0.076 0.183  0.200 0.169  0.324 0.169
2#ceb#Bouzy/r  -0.558 -0.048  -0.439 -0.031  -0.321 -0.013  -0.204 0.014  -0.086 0.030  -0.100 -0.055  -0.162 -0.157  -0.220 -0.262  -0.273 -0.370  -0.322 -0.479  -0.371 -0.589  -0.414 -0.700  -0.458 -0.812  -0.505 -0.922  -0.553 -1.032  -0.599 -1.143  -0.649 -1.252  -0.721 -1.320  -0.725 -1.202  -0.692 -1.087  -0.657 -0.973  -0.619 -0.859  -0.580 -0.746  -0.529 -0.637  -0.479 -0.528  -0.428 -0.419  -0.374 -0.312  -0.320 -0.205  -0.265 -0.099  -0.210 0.008  -0.146 0.109  -0.077 0.207  -0.009 0.306  0.060 0.404  0.132 0.500  0.211 0.590  0.291 0.679  0.371 0.769  0.455 0.853  0.550 0.927  0.644 1.001  0.741 1.071  0.851 1.119  0.961 1.166  1.075 1.201  1.194 1.209  1.304 1.174  1.379 1.087  1.414 0.974  1.432 0.855
2#ceb#Bouzy/u  -0.711 0.990  -0.801 0.869  -0.875 0.723  -0.960 0.584  -1.041 0.443  -1.114 0.297  -1.187 0.151  -1.260 0.005  -1.308 -0.151  -1.345 -0.310  -1.329 -0.469  -1.249 -0.603  -1.114 -0.687  -0.957 -0.723  -0.794 -0.715  -0.637 -0.679  -0.482 -0.628  -0.336 -0.557  -0.193 -0.477  -0.058 -0.387  0.070 -0.286  0.196 -0.183  0.306 -0.063  0.417 0.057  0.518 0.184  0.610 0.319  0.701 0.454  0.783 0.595  0.862 0.738  0.934 0.884  1.001 1.033  1.044 1.151  0.974 1.004  0.901 0.858  0.838 0.708  0.769 0.560  0.694 0.416  0.619 0.270  0.546 0.125  0.475 -0.022  0.407 -0.170  0.345 -0.321  0.293 -0.475  0.256 -0.634  0.243 -0.794  0.308 -0.936  0.460 -0.926  0.599 -0.842  0.728 -0.741  0.853 -0.637
2#ceb#Bouzy/i  -0.289 0.017  -0.313 -0.080  -0.338 -0.177  -0.362 -0.274  -0.395 -0.368  -0.428 -0.463  -0.469 -0.554  -0.511 -0.645  -0.548 -0.738  -0.583 -0.831  -0.618 -0.925  -0.653 -1.019  -0.670 -1.117  -0.671 -1.216  -0.607 -1.267  -0.526 -1.215  -0.455 -1.144  -0.400 -1.061  -0.342 -0.979  -0.285 -0.897  -0.232 -0.812  -0.184 -0.725  -0.136 -0.637  -0.090 -0.548  -0.054 -0.455  -0.019 -0.361  0.017 -0.268  0.052 -0.174  0.088 -0.081  0.124 0.013  0.159 0.106  0.195 0.200  0.230 0.293  0.266 0.387  0.302 0.480  0.337 0.574  0.373 0.667  0.408 0.761  0.444 0.854  0.480 0.948  0.515 1.041  0.551 1.135  0.586 1.228  0.622 1.321  0.658 1.415  0.693 1.508  0.729 1.602  0.735 1.582  0.778 1.491  0.835 1.409
2#ceb#Bouzy/t  0.777 1.873  0.788 1.776  0.775 1.653  0.744 1.531  0.706 1.412  0.666 1.293  0.626 1.175  0.584 1.057  0.542 0.938  0.500 0.821  0.451 0.705  0.403 0.590  0.354 0.474  0.305 0.359  0.252 0.245  0.200 0.131  0.147 0.018  0.095 -0.096  0.045 -0.211  -0.004 -0.326  -0.054 -0.441  -0.105 -0.556  -0.158 -0.669  -0.211 -0.783  -0.264 -0.896  -0.316 -1.010  -0.370 -1.123  -0.423 -1.237  -0.490 -1.342  -0.576 -1.430  -0.645 -1.375  -0.642 -1.250  -0.630 -1.125  -0.613 -1.001  -0.589 -0.878  -0.564 -0.755  -0.520 -0.638  -0.475 -0.521  -0.429 -0.405  -0.383 -0.288  -0.337 -0.171  -0.292 -0.055  -0.246 0.062  -0.200 0.179  -0.155 0.295  -0.103 0.404  0.022 0.404  0.147 0.402  0.272 0.393  0.397 0.392
2#ceb#Bouzy/s  -0.807 0.432  -0.623 0.432  -0.440 0.432  -0.284 0.523  -0.131 0.623  0.022 0.723  0.176 0.823  0.329 0.923  0.482 1.023  0.636 1.124  0.789 1.224  0.781 1.368  0.614 1.321  0.455 1.230  0.302 1.129  0.160 1.015  0.023 0.893  -0.106 0.763  -0.231 0.629  -0.352 0.492  -0.440 0.332  -0.486 0.156  -0.389 0.015  -0.214 -0.034  -0.033 -0.058  0.149 -0.077  0.332 -0.095  0.511 -0.131  0.683 -0.191  0.827 -0.295  0.903 -0.456  0.898 -0.634  0.830 -0.803  0.730 -0.956  0.595 -1.080  0.441 -1.178  0.275 -1.254  0.100 -1.306  -0.081 -1.335  -0.263 -1.345  -0.439 -1.298  -0.600 -1.214  -0.732 -1.091  -0.817 -0.933  -0.856 -0.756  -0.832 -0.574  -0.808 -0.393  -0.751 -0.219  -0.693 -0.045  -0.635 0.129
2#ceb#Bouzy/O  -0.358 0.555  -0.447 0.450  -0.506 0.322  -0.555 0.190  -0.601 0.057  -0.646 -0.076  -0.690 -0.210  -0.726 -0.347  -0.759 -0.483  -0.782 -0.622  -0.801 -0.762  -0.810 -0.902  -0.795 -1.041  -0.753 -1.174  -0.666 -1.280  -0.539 -1.329  -0.399 -1.315  -0.267 -1.267  -0.143 -1.201  -0.026 -1.124  0.077 -1.029  0.172 -0.925  0.261 -0.816  0.340 -0.699  0.418 -0.582  0.480 -0.456  0.535 -0.326  0.591 -0.196  0.633 -0.062  0.668 0.074  0.704 0.210  0.732 0.348  0.755 0.487  0.777 0.626  0.789 0.767  0.792 0.907  0.785 1.047  0.745 1.182  0.660 1.284  0.532 1.318  0.396 1.290  0.274 1.219  0.162 1.136  0.060 1.038  -0.034 0.934  -0.113 0.817  -0.182 0.696  -0.225 0.561  -0.253 0.424  -0.263 0.284
2#ceb#Bouzy/n  -0.376 0.829  -0.432 0.676  -0.486 0.523  -0.532 0.366  -0.577 0.210  -0.613 0.051  -0.648 -0.109  -0.684 -0.268  -0.721 -0.426  -0.756 -0.586  -0.785 -0.746  -0.817 -0.906  -0.861 -1.063  -0.909 -1.218  -0.920 -1.264  -0.863 -1.111  -0.800 -0.961  -0.738 -0.810  -0.675 -0.660  -0.607 -0.511  -0.536 -0.365  -0.465 -0.218  -0.391 -0.073  -0.309 0.068  -0.228 0.209  -0.147 0.351  -0.051 0.483  0.044 0.615  0.140 0.747  0.252 0.865  0.367 0.980  0.487 1.090  0.627 1.172  0.777 1.224  0.922 1.196  1.012 1.064  1.032 0.902  1.027 0.740  1.012 0.577  0.978 0.418  0.938 0.260  0.892 0.104  0.840 -0.050  0.786 -0.204  0.725 -0.355  0.664 -0.506  0.602 -0.657  0.539 -0.808  0.559 -0.946  0.706 -0.901
2#ceb#Bouzy/e  -0.699 0.461  -0.674 0.292  -0.623 0.129  -0.540 -0.021  -0.429 -0.145  -0.271 -0.209  -0.101 -0.213  0.063 -0.165  0.217 -0.088  0.330 0.037  0.430 0.177  0.507 0.329  0.570 0.489  0.622 0.653  0.671 0.817  0.696 0.986  0.711 1.157  0.675 1.325  0.559 1.436  0.402 1.396  0.252 1.315  0.126 1.199  0.008 1.075  -0.106 0.946  -0.212 0.811  -0.319 0.677  -0.415 0.535  -0.500 0.386  -0.585 0.237  -0.665 0.085  -0.737 -0.071  -0.809 -0.227  -0.850 -0.392  -0.879 -0.561  -0.873 -0.729  -0.834 -0.897  -0.724 -1.024  -0.582 -1.114  -0.421 -1.174  -0.250 -1.179  -0.080 -1.172  0.088 -1.134  0.251 -1.084  0.410 -1.019  0.559 -0.933  0.704 -0.841  0.852 -0.754  1.002 -0.672  1.158 -0.601  1.315 -0.530
2#ceb#Bouzy/h  0.040 1.892  0.063 1.720  0.047 1.547  0.019 1.377  -0.021 1.208  -0.066 1.041  -0.118 0.876  -0.170 0.711  -0.229 0.548  -0.290 0.385  -0.351 0.223  -0.417 0.063  -0.485 -0.096  -0.553 -0.256  -0.621 -0.415  -0.688 -0.575  -0.758 -0.733  -0.831 -0.891  -0.900 -1.050  -0.959 -1.212  -0.904 -1.200  -0.813 -1.053  -0.720 -0.906  -0.627 -0.760  -0.539 -0.611  -0.450 -0.462  -0.355 -0.318  -0.259 -0.173  -0.163 -0.029  -0.056 0.107  0.051 0.243  0.160 0.378  0.280 0.503  0.400 0.628  0.543 0.725  0.698 0.795  0.845 0.759  0.909 0.605  0.914 0.433  0.892 0.261  0.853 0.092  0.809 -0.075  0.753 -0.239  0.697 -0.403  0.643 -0.568  0.578 -0.728  0.518 -0.891  0.473 -1.058  0.496 -1.206  0.663 -1.212
2#ceb#Bouzy/a  0.371 0.065  0.434 0.252  0.481 0.443  0.504 0.638  0.525 0.834  0.539 1.030  0.503 1.223  0.379 1.364  0.190 1.360  0.012 1.282  -0.151 1.170  -0.297 1.039  -0.440 0.903  -0.572 0.757  -0.695 0.604  -0.818 0.449  -0.932 0.288  -1.029 0.117  -1.125 -0.055  -1.195 -0.239  -1.253 -0.427  -1.264 -0.624  -1.181 -0.792  -1.030 -0.914  -0.847 -0.975  -0.655 -0.966  -0.468 -0.904  -0.302 -0.796  -0.153 -0.669  -0.018 -0.526  0.092 -0.363  0.198 -0.196  0.289 -0.022  0.380 0.153  0.464 0.331  0.548 0.510  0.607 0.606  0.562 0.414  0.521 0.221  0.473 0.030  0.427 -0.162  0.384 -0.354  0.364 -0.550  0.366 -0.747  0.409 -0.937  0.535 -1.083  0.725 -1.112  0.897 -1.015  1.051 -0.893  1.198 -0.762
2#ceb#Bouzy/l  0.347 1.663  0.340 1.594  0.333 1.525  0.322 1.456  0.312 1.387  0.301 1.319  0.290 1.250  0.280 1.181  0.270 1.112  0.260 1.043  0.250 0.975  0.240 0.906  0.231 0.837  0.215 0.769  0.200 0.701  0.184 0.634  0.168 0.566  0.152 0.498  0.137 0.430  0.121 0.362  0.106 0.295  0.090 0.227  0.075 0.159  0.059 0.091  0.042 0.024  0.024 -0.044  0.007 -0.111  -0.011 -0.178  -0.029 -0.245  -0.047 -0.313  -0.065 -0.380  -0.083 -0.447  -0.103 -0.514  -0.123 -0.580  -0.143 -0.647  -0.163 -0.713  -0.183 -0.780  -0.203 -0.847  -0.225 -0.913  -0.247 -0.978  -0.270 -1.044  -0.293 -1.110  -0.316 -1.176  -0.341 -1.241  -0.367 -1.305  -0.394 -1.369  -0.420 -1.434  -0.445 -1.498  -0.470 -1.564  -0.415 -1.574
2#ceb#Bouzy/f  0.775 1.355  0.791 1.472  0.767 1.583  0.677 1.650  0.568 1.623  0.477 1.550  0.404 1.458  0.343 1.358  0.291 1.253  0.250 1.142  0.216 1.030  0.191 0.915  0.168 0.800  0.146 0.684  0.125 0.568  0.103 0.453  0.081 0.337  0.059 0.222  0.037 0.106  0.015 -0.009  -0.009 -0.125  -0.034 -0.240  -0.059 -0.355  -0.092 -0.467  -0.125 -0.580  -0.161 -0.692  -0.200 -0.803  -0.240 -0.914  -0.284 -1.023  -0.331 -1.131  -0.384 -1.236  -0.439 -1.339  -0.514 -1.429  -0.549 -1.346  -0.530 -1.230  -0.511 -1.113  -0.492 -0.997  -0.457 -0.885  -0.418 -0.774  -0.379 -0.663  -0.340 -0.552  -0.301 -0.441  -0.262 -0.330  -0.223 -0.219  -0.151 -0.146  -0.034 -0.130  0.083 -0.118  0.199 -0.105  0.316 -0.089  0.433 -0.077
2#ceb#Bouzy/p  -0.090 0.629  -0.152 0.460  -0.192 0.281  -0.239 0.105  -0.291 -0.070  -0.345 -0.245  -0.403 -0.418  -0.463 -0.591  -0.528 -0.761  -0.599 -0.929  -0.672 -1.097  -0.747 -1.263  -0.832 -1.425  -0.903 -1.539  -0.852 -1.364  -0.792 -1.192  -0.730 -1.020  -0.665 -0.849  -0.601 -0.678  -0.537 -0.507  -0.473 -0.336  -0.406 -0.166  -0.339 0.004  -0.272 0.174  -0.194 0.339  -0.116 0.505  -0.038 0.670  0.058 0.825  0.155 0.980  0.259 1.130  0.378 1.268  0.519 1.377  0.690 1.419  0.852 1.349  0.965 1.208  1.040 1.043  1.071 0.862  1.074 0.681  1.058 0.499  1.007 0.324  0.936 0.157  0.845 -0.002  0.719 -0.133  0.576 -0.244  0.416 -0.330  0.238 -0.375  0.056 -0.372  -0.108 -0.298  -0.169 -0.132  -0.163 0.047
2#ceb#Bouzy/o  -0.059 0.941  -0.140 0.837  -0.221 0.734  -0.299 0.628  -0.367 0.515  -0.434 0.402  -0.498 0.288  -0.562 0.173  -0.625 0.057  -0.680 -0.062  -0.726 -0.185  -0.769 -0.310  -0.810 -0.435  -0.836 -0.563  -0.863 -0.692  -0.856 -0.823  -0.840 -0.952  -0.754 -1.052  -0.658 -1.137  -0.535 -1.185  -0.409 -1.205  -0.278 -1.193  -0.149 -1.172  -0.026 -1.124  0.096 -1.076  0.202 -0.998  0.306 -0.918  0.398 -0.826  0.471 -0.717  0.521 -0.595  0.570 -0.474  0.609 -0.349  0.632 -0.219  0.655 -0.090  0.675 0.040  0.682 0.171  0.689 0.303  0.696 0.434  0.689 0.565  0.670 0.695  0.650 0.825  0.626 0.954  0.591 1.081  0.555 1.207  0.475 1.309  0.373 1.376  0.247 1.361  0.150 1.273  0.100 1.155  0.065 1.028
2#ceb#Bouzy/u  -0.361 0.937  -0.401 0.831  -0.434 0.723  -0.473 0.616  -0.516 0.511  -0.559 0.406  -0.607 0.302  -0.656 0.200  -0.702 0.096  -0.741 -0.011  -0.779 -0.118  -0.814 -0.226  -0.844 -0.336  -0.874 -0.446  -0.884 -0.558  -0.884 -0.672  -0.852 -0.777  -0.791 -0.872  -0.713 -0.952  -0.618 -1.015  -0.510 -1.041  -0.397 -1.049  -0.283 -1.055  -0.176 -1.032  -0.077 -0.977  0.023 -0.922  0.111 -0.850  0.198 -0.778  0.279 -0.699  0.344 -0.606  0.410 -0.513  0.467 -0.415  0.509 -0.309  0.551 -0.204  0.592 -0.098  0.620 0.013  0.649 0.123  0.677 0.233  0.704 0.343  0.724 0.455  0.744 0.567  0.765 0.679  0.784 0.791  0.796 0.904  0.808 1.017  0.820 1.130  0.831 1.244  0.842 1.357  0.850 1.470  0.850 1.584
