2#app#app14#app1491/S  0.550 1.115  0.550 1.237  0.448 1.258  0.326 1.258  0.203 1.258  0.080 1.258  -0.025 1.241  -0.025 1.119  -0.144 1.115  -0.238 1.046  -0.325 0.959  -0.411 0.872  -0.498 0.786  -0.585 0.699  -0.671 0.612  -0.758 0.525  -0.845 0.439  -0.826 0.396  -0.715 0.367  -0.628 0.280  -0.517 0.252  -0.413 0.208  -0.326 0.122  -0.209 0.108  -0.086 0.108  0.036 0.108  0.147 0.080  0.234 -0.007  0.344 -0.036  0.449 -0.079  0.536 -0.165  0.623 -0.252  0.694 -0.345  0.694 -0.468  0.694 -0.591  0.694 -0.713  0.612 -0.754  0.550 -0.815  0.522 -0.926  0.435 -1.013  0.349 -1.099  0.262 -1.186  0.175 -1.273  0.076 -1.329  -0.047 -1.329  -0.169 -1.329  -0.292 -1.329  -0.414 -1.329  -0.513 -1.272  -0.600 -1.186
2#app#app14#app1491/h  -0.059 2.155  -0.059 2.012  -0.059 1.869  -0.059 1.726  -0.059 1.583  -0.059 1.440  -0.060 1.298  -0.161 1.196  -0.230 1.082  -0.230 0.939  -0.230 0.796  -0.230 0.653  -0.303 0.541  -0.401 0.438  -0.401 0.296  -0.401 0.153  -0.401 0.010  -0.401 -0.133  -0.401 -0.276  -0.401 -0.419  -0.401 -0.562  -0.401 -0.705  -0.466 -0.821  -0.567 -0.922  -0.573 -1.063  -0.466 -1.099  -0.401 -1.020  -0.366 -0.892  -0.265 -0.791  -0.164 -0.690  -0.063 -0.589  -0.059 -0.447  0.051 -0.414  0.112 -0.333  0.150 -0.205  0.251 -0.104  0.284 0.025  0.352 0.100  0.455 0.060  0.466 -0.071  0.609 -0.071  0.626 -0.198  0.626 -0.340  0.626 -0.483  0.626 -0.626  0.626 -0.769  0.626 -0.912  0.716 -1.018  0.797 -1.127  0.797 -1.270
2#app#app14#app1491/e  -0.459 0.123  -0.459 -0.032  -0.443 -0.171  -0.288 -0.171  -0.133 -0.171  0.022 -0.171  0.129 -0.123  0.129 0.032  0.193 0.123  0.348 0.123  0.423 0.203  0.423 0.358  0.518 0.417  0.673 0.417  0.717 0.529  0.717 0.684  0.717 0.838  0.717 0.993  0.717 1.148  0.712 1.299  0.557 1.299  0.402 1.299  0.248 1.299  0.103 1.273  -0.006 1.164  -0.116 1.054  -0.225 0.944  -0.335 0.835  -0.444 0.725  -0.459 0.577  -0.459 0.422  -0.459 0.267  -0.459 0.112  -0.459 -0.043  -0.459 -0.198  -0.459 -0.353  -0.459 -0.508  -0.459 -0.663  -0.459 -0.818  -0.459 -0.972  -0.459 -1.127  -0.459 -1.282  -0.368 -1.346  -0.213 -1.346  -0.058 -1.346  0.097 -1.346  0.129 -1.469  0.129 -1.624  0.268 -1.640  0.423 -1.640
2#app#app14#app1491/d  0.047 -0.454  0.182 -0.454  0.047 -0.391  -0.047 -0.287  -0.245 -0.287  -0.397 -0.398  -0.572 -0.454  -0.620 -0.604  -0.748 -0.749  -0.787 -0.931  -0.787 -1.129  -0.748 -1.288  -0.550 -1.288  -0.352 -1.288  -0.287 -1.155  -0.171 -1.005  -0.031 -0.865  0.086 -0.708  0.175 -0.531  0.213 -0.342  0.314 -0.186  0.380 -0.015  0.380 0.183  0.380 0.381  0.380 0.579  0.352 0.770  0.263 0.947  0.213 1.133  0.161 1.319  0.072 1.496  0.047 1.688  -0.120 1.719  -0.120 1.844  -0.120 1.646  -0.120 1.448  -0.120 1.250  -0.120 1.052  0.016 0.911  0.047 0.725  0.047 0.527  0.063 0.332  0.125 0.144  0.188 -0.044  0.213 -0.238  0.318 -0.392  0.380 -0.565  0.380 -0.763  0.503 -0.910  0.547 -1.090  0.547 -1.288
2#app#app14#app1491/t  1.371 -0.043  1.211 -0.043  1.050 -0.043  0.890 -0.043  0.730 -0.043  0.569 -0.043  0.409 -0.043  0.248 -0.043  0.088 -0.043  -0.073 -0.043  -0.233 -0.043  -0.393 -0.043  -0.554 -0.043  -0.714 -0.043  -0.875 -0.043  -0.934 0.010  -0.846 0.144  -0.757 0.277  -0.668 0.411  -0.579 0.544  -0.490 0.678  -0.401 0.811  -0.312 0.945  -0.223 1.078  -0.134 1.212  -0.045 1.345  0.044 1.479  0.070 1.404  0.070 1.244  0.070 1.083  0.070 0.923  0.070 0.763  0.070 0.602  0.070 0.442  0.070 0.281  0.070 0.121  0.070 -0.039  0.070 -0.200  0.070 -0.360  0.070 -0.521  0.070 -0.681  0.070 -0.841  0.070 -1.002  0.070 -1.162  0.070 -1.323  0.070 -1.483  0.070 -1.643  0.070 -1.804  0.070 -1.964  0.070 -2.125
2#app#app14#app1491/h  0.016 2.028  0.016 1.885  0.016 1.742  0.016 1.599  0.016 1.456  -0.015 1.320  -0.079 1.192  -0.143 1.064  -0.146 0.922  -0.229 0.813  -0.307 0.702  -0.307 0.559  -0.307 0.416  -0.369 0.288  -0.433 0.160  -0.469 0.025  -0.469 -0.118  -0.487 -0.253  -0.589 -0.354  -0.631 -0.480  -0.631 -0.623  -0.631 -0.766  -0.631 -0.909  -0.631 -1.052  -0.631 -1.195  -0.631 -1.071  -0.515 -1.043  -0.469 -0.946  -0.469 -0.803  -0.427 -0.677  -0.326 -0.576  -0.225 -0.475  -0.123 -0.374  -0.022 -0.273  0.105 -0.235  0.177 -0.164  0.229 -0.073  0.339 -0.040  0.354 0.089  0.497 0.089  0.599 -0.010  0.716 -0.073  0.824 -0.108  0.836 -0.247  0.937 -0.348  0.986 -0.471  1.041 -0.558  1.147 -0.595  1.166 -0.720  1.309 -0.720
2#app#app14#app1491/e  -1.070 -0.854  -0.901 -0.854  -0.732 -0.854  -0.563 -0.854  -0.393 -0.854  -0.346 -0.732  -0.346 -0.563  -0.248 -0.491  -0.079 -0.491  0.069 -0.439  0.189 -0.319  0.308 -0.200  0.428 -0.080  0.548 0.040  0.667 0.159  0.787 0.279  0.907 0.399  1.026 0.518  1.103 0.656  1.103 0.825  1.103 0.994  1.103 1.164  1.092 1.314  0.940 1.238  0.789 1.163  0.637 1.087  0.486 1.011  0.329 0.958  0.160 0.958  -0.002 0.940  -0.121 0.820  -0.241 0.700  -0.346 0.574  -0.346 0.405  -0.346 0.236  -0.512 0.233  -0.681 0.233  -0.708 0.091  -0.708 -0.079  -0.708 -0.248  -0.708 -0.417  -0.708 -0.586  -0.708 -0.756  -0.637 -0.854  -0.468 -0.854  -0.346 -0.901  -0.346 -1.070  -0.322 -1.216  -0.153 -1.216  0.016 -1.216
2#app#app14#app1491/h  -0.216 1.807  -0.113 1.704  -0.131 1.651  -0.216 1.591  -0.216 1.445  -0.216 1.300  -0.230 1.158  -0.294 1.028  -0.359 0.898  -0.372 0.755  -0.372 0.610  -0.372 0.465  -0.434 0.345  -0.527 0.239  -0.527 0.093  -0.527 -0.052  -0.527 -0.197  -0.527 -0.343  -0.580 -0.476  -0.645 -0.606  -0.683 -0.742  -0.683 -0.887  -0.683 -1.033  -0.653 -1.148  -0.527 -1.129  -0.521 -0.986  -0.418 -0.884  -0.372 -0.757  -0.302 -0.682  -0.216 -0.622  -0.167 -0.526  -0.061 -0.487  -0.040 -0.350  0.063 -0.247  0.165 -0.145  0.268 -0.042  0.371 0.061  0.474 0.164  0.583 0.251  0.728 0.251  0.873 0.251  0.976 0.148  1.028 0.024  1.028 -0.121  1.028 -0.266  1.028 -0.412  1.028 -0.557  1.028 -0.702  1.028 -0.848  1.028 -0.993
2#app#app14#app1491/o  -0.364 0.085  -0.190 0.085  -0.015 0.085  0.001 0.244  0.001 0.419  0.144 0.451  0.318 0.451  0.367 0.577  0.367 0.752  0.477 0.817  0.652 0.817  0.827 0.817  1.001 0.817  1.099 0.739  1.099 0.564  1.099 0.390  1.099 0.215  1.099 0.040  1.099 -0.135  1.070 -0.281  0.895 -0.281  0.733 -0.293  0.733 -0.468  0.733 -0.643  0.562 -0.646  0.387 -0.646  0.367 -0.801  0.367 -0.976  0.228 -1.012  0.054 -1.012  -0.121 -1.012  -0.296 -1.012  -0.440 -0.937  -0.563 -0.813  -0.687 -0.690  -0.844 -0.646  -1.018 -0.646  -1.096 -0.549  -1.096 -0.374  -1.096 -0.199  -1.096 -0.025  -1.096 0.150  -1.096 0.325  -1.096 0.500  -1.096 0.674  -1.064 0.817  -0.889 0.817  -0.714 0.817  -0.539 0.817  -0.364 0.817
2#app#app14#app1491/m  -0.767 0.755  -0.767 0.544  -0.902 0.469  -1.053 0.409  -1.053 0.198  -1.053 -0.012  -1.137 -0.188  -1.286 -0.337  -1.339 -0.526  -1.339 -0.736  -1.339 -0.947  -1.201 -0.824  -1.052 -0.675  -0.903 -0.526  -0.767 -0.372  -0.767 -0.161  -0.658 0.005  -0.509 0.154  -0.481 0.352  -0.386 0.469  -0.194 0.488  -0.194 0.698  -0.040 0.755  0.092 0.676  0.092 0.466  0.092 0.255  0.092 0.044  0.092 -0.166  0.092 -0.377  0.290 -0.390  0.378 -0.268  0.425 -0.104  0.636 -0.104  0.664 0.078  0.771 0.183  0.950 0.213  0.950 0.424  1.117 0.469  1.237 0.559  1.226 0.744  1.077 0.595  0.950 0.437  0.950 0.226  0.950 0.016  0.950 -0.195  0.950 -0.406  0.950 -0.616  0.950 -0.827  1.026 -0.962  1.237 -0.962
2#app#app14#app1491/u  -0.790 1.374  -0.790 1.257  -0.790 1.140  -0.790 1.023  -0.790 0.906  -0.790 0.789  -0.790 0.672  -0.790 0.555  -0.790 0.438  -0.790 0.321  -0.790 0.204  -0.790 0.087  -0.790 -0.030  -0.790 -0.147  -0.790 -0.264  -0.790 -0.381  -0.790 -0.498  -0.750 -0.599  -0.668 -0.682  -0.585 -0.765  -0.502 -0.847  -0.419 -0.930  -0.309 -0.946  -0.192 -0.946  -0.075 -0.946  -0.016 -0.888  -0.016 -0.771  -0.016 -0.654  0.006 -0.559  0.123 -0.559  0.241 -0.559  0.358 -0.559  0.444 -0.486  0.527 -0.403  0.610 -0.320  0.692 -0.237  0.757 -0.147  0.757 -0.030  0.757 0.087  0.757 0.204  0.864 0.214  0.981 0.214  1.098 0.214  1.144 0.285  1.144 0.402  1.144 0.519  1.144 0.637  1.144 0.754  1.144 0.871  1.144 0.988
2#app#app14#app1491/n  -0.636 1.067  -0.636 0.911  -0.636 0.755  -0.636 0.600  -0.636 0.444  -0.636 0.289  -0.665 0.145  -0.775 0.035  -0.885 -0.075  -0.933 -0.211  -0.933 -0.366  -1.005 -0.492  -1.115 -0.602  -1.225 -0.712  -1.081 -0.716  -0.933 -0.709  -0.933 -0.553  -0.911 -0.419  -0.755 -0.419  -0.636 -0.383  -0.636 -0.228  -0.600 -0.087  -0.490 0.023  -0.380 0.133  -0.242 0.175  -0.086 0.175  -0.041 0.285  -0.041 0.441  0.083 0.472  0.239 0.472  0.394 0.472  0.550 0.472  0.553 0.625  0.564 0.770  0.720 0.770  0.850 0.745  0.850 0.589  0.850 0.433  0.850 0.278  0.888 0.138  0.998 0.028  1.108 -0.082  1.147 -0.221  1.147 -0.377  1.147 -0.533  1.147 -0.688  1.147 -0.844  1.147 -0.999  1.289 -1.014  1.445 -1.014
2#app#app14#app1491/c  0.924 0.778  0.924 0.895  0.924 1.012  0.924 1.129  0.903 1.225  0.786 1.225  0.669 1.225  0.552 1.225  0.447 1.195  0.365 1.112  0.282 1.029  0.199 0.947  0.116 0.864  0.034 0.781  0.030 0.665  0.030 0.548  0.030 0.431  0.014 0.331  -0.103 0.331  -0.220 0.331  -0.337 0.331  -0.417 0.293  -0.417 0.176  -0.417 0.059  -0.417 -0.058  -0.475 -0.116  -0.592 -0.116  -0.709 -0.116  -0.826 -0.116  -0.864 -0.196  -0.864 -0.313  -0.864 -0.430  -0.864 -0.547  -0.793 -0.635  -0.710 -0.717  -0.627 -0.800  -0.544 -0.883  -0.462 -0.966  -0.363 -1.011  -0.246 -1.011  -0.129 -1.011  -0.012 -1.011  0.105 -1.011  0.222 -1.011  0.339 -1.011  0.456 -1.011  0.573 -1.011  0.690 -1.011  0.807 -1.011  0.924 -1.011
2#app#app14#app1491/u  -0.616 1.170  -0.616 1.060  -0.616 0.951  -0.616 0.841  -0.616 0.731  -0.616 0.622  -0.710 0.606  -0.820 0.606  -0.897 0.574  -0.897 0.465  -0.897 0.355  -0.897 0.246  -0.897 0.136  -0.897 0.026  -0.897 -0.083  -0.897 -0.193  -0.852 -0.284  -0.775 -0.361  -0.697 -0.439  -0.620 -0.516  -0.616 -0.624  -0.616 -0.734  -0.574 -0.802  -0.464 -0.802  -0.355 -0.802  -0.245 -0.802  -0.136 -0.802  -0.034 -0.783  0.044 -0.706  0.121 -0.628  0.199 -0.550  0.296 -0.520  0.406 -0.520  0.514 -0.517  0.591 -0.440  0.669 -0.362  0.746 -0.285  0.824 -0.207  0.901 -0.130  0.979 -0.052  1.057 0.025  1.074 0.128  1.074 0.237  1.090 0.341  1.167 0.418  1.245 0.496  1.322 0.573  1.356 0.669  1.356 0.779  1.356 0.888
2#app#app14#app1491/l  0.232 1.677  0.232 1.605  0.232 1.532  0.232 1.460  0.232 1.387  0.232 1.315  0.232 1.243  0.232 1.170  0.232 1.098  0.232 1.026  0.226 0.956  0.175 0.905  0.124 0.853  0.072 0.802  0.053 0.738  0.053 0.666  0.053 0.593  0.053 0.521  0.053 0.448  0.053 0.376  0.053 0.304  0.042 0.236  -0.009 0.185  -0.060 0.133  -0.111 0.082  -0.126 0.016  -0.126 -0.056  -0.126 -0.129  -0.126 -0.201  -0.126 -0.273  -0.126 -0.346  -0.126 -0.418  -0.126 -0.491  -0.126 -0.563  -0.126 -0.635  -0.126 -0.708  -0.126 -0.780  -0.126 -0.852  -0.126 -0.925  -0.126 -0.997  -0.126 -1.070  -0.126 -1.142  -0.126 -1.214  -0.126 -1.287  -0.126 -1.359  -0.126 -1.431  -0.126 -1.504  -0.126 -1.576  -0.126 -1.648  -0.126 -1.721
2#app#app14#app1491/u  -0.998 0.400  -0.998 0.300  -0.998 0.200  -0.998 0.100  -0.998 -0.001  -0.998 -0.101  -0.998 -0.201  -0.998 -0.301  -0.998 -0.402  -0.998 -0.502  -0.928 -0.533  -0.828 -0.533  -0.765 -0.570  -0.765 -0.670  -0.760 -0.766  -0.660 -0.766  -0.560 -0.766  -0.460 -0.766  -0.359 -0.766  -0.259 -0.766  -0.159 -0.766  -0.065 -0.759  -0.065 -0.659  -0.065 -0.559  0.009 -0.533  0.109 -0.533  0.198 -0.503  0.268 -0.432  0.339 -0.362  0.410 -0.291  0.481 -0.220  0.552 -0.149  0.623 -0.078  0.635 0.017  0.635 0.118  0.658 0.213  0.702 0.302  0.747 0.392  0.792 0.482  0.837 0.571  0.868 0.664  0.868 0.765  0.868 0.865  0.868 0.965  0.868 1.065  0.868 1.166  0.868 1.266  0.868 1.366  0.868 1.467  0.868 1.567
2#app#app14#app1491/s  0.496 1.692  0.496 1.587  0.496 1.481  0.496 1.376  0.496 1.270  0.496 1.165  0.496 1.059  0.455 0.995  0.350 0.995  0.244 0.995  0.141 0.989  0.067 0.914  -0.008 0.840  -0.082 0.765  -0.157 0.691  -0.201 0.603  -0.201 0.498  -0.201 0.392  -0.212 0.298  -0.317 0.298  -0.423 0.298  -0.528 0.298  -0.549 0.214  -0.549 0.108  -0.549 0.003  -0.496 -0.050  -0.391 -0.050  -0.285 -0.050  -0.201 -0.071  -0.201 -0.176  -0.201 -0.282  -0.201 -0.387  -0.107 -0.399  -0.001 -0.399  0.104 -0.399  0.148 -0.460  0.148 -0.566  0.148 -0.671  0.148 -0.777  0.148 -0.882  0.148 -0.988  0.148 -1.093  0.148 -1.198  0.148 -1.304  0.148 -1.409  0.098 -1.494  0.023 -1.569  -0.051 -1.643  -0.126 -1.718  -0.201 -1.792
2#app#app14#app1491/.  0.000 1.664  0.000 1.525  0.000 1.387  0.000 1.248  0.000 1.109  0.000 0.971  0.000 0.832  0.000 0.693  0.000 0.555  0.000 0.416  0.000 0.277  0.000 0.139  0.000 -0.000  0.000 -0.139  0.000 -0.277  0.000 -0.416  0.000 -0.555  0.000 -0.693  0.000 -0.832  0.000 -0.971  0.000 -1.109  0.000 -1.248  0.000 -1.387  0.000 -1.525  0.000 -1.664  0.000 -1.664  0.000 -1.525  0.000 -1.387  0.000 -1.248  0.000 -1.109  0.000 -0.971  0.000 -0.832  0.000 -0.693  0.000 -0.555  0.000 -0.416  0.000 -0.277  0.000 -0.139  0.000 -0.000  0.000 0.139  0.000 0.277  0.000 0.416  0.000 0.555  0.000 0.693  0.000 0.832  0.000 0.971  0.000 1.109  0.000 1.248  0.000 1.387  0.000 1.525  0.000 1.664
2#app#app14#app1491/\"  -0.402 1.465  -0.402 1.268  -0.402 1.071  -0.402 0.874  -0.402 0.677  -0.402 0.480  -0.402 0.284  -0.402 0.087  -0.402 -0.110  -0.402 -0.307  -0.402 -0.504  -0.402 -0.701  -0.402 -0.898  -0.402 -1.094  -0.402 -1.291  -0.402 -1.488  -0.402 -1.685  -0.378 -1.592  -0.346 -1.398  -0.314 -1.204  -0.281 -1.009  -0.249 -0.815  -0.217 -0.621  -0.184 -0.427  -0.152 -0.233  -0.119 -0.039  -0.087 0.156  -0.055 0.350  -0.022 0.544  0.010 0.738  0.042 0.932  0.075 1.127  0.107 1.321  0.131 1.414  0.131 1.217  0.131 1.020  0.239 0.931  0.436 0.931  0.633 0.931  0.665 0.766  0.665 0.569  0.665 0.372  0.665 0.175  0.665 -0.021  0.665 -0.218  0.665 -0.415  0.665 -0.612  0.665 -0.809  0.665 -1.006  0.665 -1.203
