2#apb#apb22#app2214/S  0.943 1.186  0.810 1.179  0.678 1.173  0.547 1.154  0.416 1.132  0.285 1.110  0.158 1.075  0.032 1.034  -0.094 0.993  -0.219 0.948  -0.339 0.893  -0.460 0.838  -0.581 0.784  -0.693 0.713  -0.803 0.639  -0.877 0.535  -0.888 0.413  -0.831 0.296  -0.710 0.242  -0.590 0.187  -0.462 0.155  -0.331 0.138  -0.199 0.122  -0.068 0.106  0.064 0.090  0.195 0.075  0.327 0.059  0.453 0.020  0.577 -0.027  0.698 -0.078  0.803 -0.160  0.880 -0.257  0.896 -0.389  0.856 -0.508  0.785 -0.620  0.701 -0.720  0.593 -0.796  0.485 -0.873  0.371 -0.938  0.245 -0.978  0.118 -1.019  -0.008 -1.060  -0.138 -1.083  -0.269 -1.106  -0.399 -1.129  -0.531 -1.140  -0.663 -1.135  -0.796 -1.130  -0.922 -1.096  -1.045 -1.047
2#apb#apb22#app2214/c  1.283 1.078  1.207 1.078  1.131 1.078  1.054 1.078  0.980 1.071  0.912 1.034  0.845 0.998  0.778 0.962  0.711 0.926  0.643 0.890  0.576 0.853  0.511 0.815  0.453 0.765  0.395 0.715  0.337 0.665  0.280 0.615  0.222 0.565  0.164 0.515  0.107 0.465  0.049 0.415  -0.009 0.365  -0.056 0.305  -0.099 0.242  -0.143 0.179  -0.186 0.116  -0.229 0.053  -0.272 -0.009  -0.316 -0.072  -0.359 -0.135  -0.402 -0.198  -0.442 -0.263  -0.478 -0.331  -0.514 -0.398  -0.551 -0.465  -0.587 -0.532  -0.623 -0.600  -0.659 -0.667  -0.678 -0.738  -0.678 -0.815  -0.678 -0.891  -0.678 -0.967  -0.678 -1.044  -0.661 -1.109  -0.591 -1.139  -0.521 -1.169  -0.450 -1.199  -0.380 -1.229  -0.310 -1.259  -0.240 -1.289  -0.170 -1.320
2#apb#apb22#app2214/t  0.863 1.726  0.776 1.604  0.699 1.474  0.623 1.344  0.548 1.213  0.488 1.075  0.428 0.936  0.368 0.798  0.308 0.660  0.258 0.518  0.211 0.375  0.163 0.232  0.115 0.089  0.069 -0.055  0.025 -0.199  -0.019 -0.343  -0.063 -0.487  -0.107 -0.631  -0.144 -0.777  -0.170 -0.926  -0.195 -1.074  -0.221 -1.223  -0.236 -1.373  -0.245 -1.523  -0.241 -1.673  -0.196 -1.650  -0.183 -1.505  -0.200 -1.355  -0.216 -1.205  -0.233 -1.055  -0.250 -0.906  -0.267 -0.756  -0.283 -0.606  -0.300 -0.456  -0.317 -0.307  -0.334 -0.157  -0.351 -0.007  -0.367 0.143  -0.384 0.293  -0.401 0.442  -0.418 0.592  -0.434 0.742  -0.409 0.822  -0.274 0.766  -0.123 0.758  0.027 0.750  0.177 0.740  0.328 0.730  0.478 0.720  0.629 0.710
2#apb#apb22#app2214/o  -0.468 0.977  -0.545 0.900  -0.623 0.822  -0.676 0.727  -0.728 0.630  -0.780 0.534  -0.822 0.434  -0.847 0.327  -0.872 0.220  -0.897 0.113  -0.921 0.007  -0.932 -0.102  -0.944 -0.211  -0.955 -0.320  -0.967 -0.429  -0.942 -0.530  -0.881 -0.621  -0.821 -0.712  -0.760 -0.803  -0.653 -0.828  -0.547 -0.853  -0.440 -0.878  -0.333 -0.904  -0.233 -0.873  -0.134 -0.826  -0.035 -0.779  0.064 -0.732  0.163 -0.685  0.261 -0.635  0.346 -0.567  0.432 -0.498  0.517 -0.430  0.603 -0.361  0.688 -0.293  0.774 -0.224  0.822 -0.127  0.867 -0.027  0.912 0.073  0.957 0.173  1.002 0.273  1.029 0.378  1.043 0.486  1.058 0.595  1.072 0.704  1.031 0.804  0.986 0.904  0.941 1.004  0.834 1.030  0.728 1.057  0.622 1.083
2#apb#apb22#app2214/r  -0.404 0.696  -0.379 0.541  -0.435 0.370  -0.498 0.200  -0.560 0.030  -0.620 -0.141  -0.679 -0.312  -0.741 -0.482  -0.805 -0.651  -0.874 -0.818  -0.977 -0.967  -1.080 -1.116  -1.179 -1.169  -1.123 -0.997  -1.037 -0.838  -0.948 -0.680  -0.836 -0.538  -0.724 -0.396  -0.612 -0.254  -0.491 -0.120  -0.366 0.011  -0.241 0.143  -0.117 0.274  0.006 0.408  0.127 0.542  0.249 0.676  0.371 0.809  0.510 0.924  0.657 1.030  0.804 1.136  0.962 1.222  1.131 1.279  1.191 1.158  1.191 0.977  1.118 0.814  1.032 0.655  0.939 0.500  0.843 0.347  0.743 0.196  0.621 0.062  0.499 -0.072  0.371 -0.200  0.235 -0.318  0.068 -0.367  0.064 -0.405  0.181 -0.543  0.293 -0.685  0.403 -0.829  0.506 -0.978  0.609 -1.126
2#apb#apb22#app2214/i  -0.267 0.208  -0.197 0.135  -0.180 0.029  -0.169 -0.077  -0.189 -0.182  -0.209 -0.288  -0.230 -0.393  -0.272 -0.491  -0.320 -0.587  -0.368 -0.683  -0.416 -0.779  -0.469 -0.872  -0.524 -0.964  -0.578 -1.057  -0.627 -1.152  -0.675 -1.248  -0.727 -1.272  -0.673 -1.179  -0.618 -1.087  -0.563 -0.995  -0.509 -0.902  -0.454 -0.810  -0.399 -0.718  -0.345 -0.625  -0.290 -0.533  -0.236 -0.441  -0.181 -0.348  -0.126 -0.256  -0.072 -0.164  -0.017 -0.071  0.038 0.021  0.092 0.113  0.147 0.206  0.202 0.298  0.256 0.390  0.311 0.483  0.366 0.575  0.420 0.667  0.475 0.760  0.530 0.852  0.584 0.944  0.639 1.036  0.694 1.129  0.748 1.221  0.803 1.313  0.857 1.406  0.912 1.498  0.967 1.590  0.948 1.641  0.912 1.658
2#apb#apb22#app2214/a  -1.724 -0.949  -1.633 -0.839  -1.510 -0.754  -1.403 -0.648  -1.296 -0.541  -1.190 -0.435  -1.083 -0.328  -0.977 -0.222  -0.870 -0.115  -0.758 -0.015  -0.644 0.084  -0.530 0.183  -0.417 0.282  -0.305 0.383  -0.193 0.484  -0.081 0.585  0.032 0.684  0.149 0.779  0.266 0.873  0.383 0.968  0.514 1.043  0.647 1.113  0.779 1.185  0.902 1.200  0.953 1.068  0.952 0.919  0.916 0.773  0.879 0.627  0.830 0.485  0.774 0.345  0.718 0.205  0.673 0.061  0.629 -0.083  0.585 -0.227  0.545 -0.372  0.505 -0.518  0.465 -0.663  0.433 -0.810  0.400 -0.957  0.353 -1.100  0.283 -1.013  0.210 -0.882  0.137 -0.750  0.063 -0.619  -0.010 -0.487  -0.083 -0.355  -0.157 -0.224  -0.186 -0.122  -0.037 -0.139  0.113 -0.157
2#apb#apb22#app2214/W  -0.753 1.280  -0.753 1.287  -0.754 1.150  -0.758 1.014  -0.763 0.877  -0.774 0.741  -0.798 0.606  -0.821 0.471  -0.842 0.336  -0.858 0.200  -0.874 0.064  -0.887 -0.072  -0.893 -0.209  -0.895 -0.345  -0.885 -0.482  -0.790 -0.534  -0.680 -0.454  -0.589 -0.352  -0.501 -0.247  -0.419 -0.137  -0.337 -0.028  -0.260 0.085  -0.168 0.186  -0.142 0.061  -0.142 -0.076  -0.157 -0.212  -0.174 -0.348  -0.190 -0.483  -0.190 -0.620  -0.190 -0.757  -0.126 -0.874  -0.005 -0.891  0.125 -0.860  0.238 -0.782  0.350 -0.704  0.458 -0.620  0.559 -0.528  0.661 -0.437  0.762 -0.345  0.858 -0.248  0.953 -0.149  1.048 -0.051  1.139 0.052  1.225 0.158  1.312 0.264  1.395 0.372  1.476 0.483  1.555 0.594  1.620 0.715  1.633 0.848
2#apb#apb22#app2214/e  -0.554 -0.192  -0.542 -0.128  -0.407 -0.119  -0.274 -0.087  -0.142 -0.056  -0.012 -0.014  0.115 0.035  0.242 0.085  0.369 0.135  0.489 0.198  0.606 0.268  0.724 0.337  0.841 0.406  0.946 0.492  1.046 0.585  1.146 0.678  1.243 0.773  1.243 0.885  1.167 0.977  1.033 0.954  0.898 0.932  0.766 0.902  0.637 0.857  0.508 0.812  0.379 0.768  0.251 0.722  0.134 0.652  0.017 0.582  -0.100 0.512  -0.217 0.441  -0.324 0.358  -0.420 0.262  -0.517 0.166  -0.613 0.069  -0.700 -0.034  -0.760 -0.156  -0.821 -0.278  -0.882 -0.400  -0.917 -0.528  -0.917 -0.665  -0.917 -0.801  -0.917 -0.937  -0.848 -1.050  -0.765 -1.159  -0.683 -1.267  -0.576 -1.337  -0.442 -1.365  -0.309 -1.394  -0.176 -1.423  -0.042 -1.451
2#apb#apb22#app2214/n  -0.514 0.969  -0.554 0.828  -0.600 0.690  -0.645 0.551  -0.689 0.411  -0.732 0.272  -0.779 0.134  -0.827 -0.004  -0.875 -0.142  -0.928 -0.278  -0.993 -0.409  -1.058 -0.539  -1.128 -0.667  -1.206 -0.791  -1.222 -0.805  -1.128 -0.693  -1.035 -0.581  -0.925 -0.485  -0.814 -0.390  -0.702 -0.296  -0.591 -0.201  -0.475 -0.112  -0.358 -0.025  -0.241 0.061  -0.123 0.148  -0.005 0.235  0.113 0.320  0.232 0.404  0.351 0.489  0.470 0.574  0.602 0.636  0.734 0.699  0.866 0.761  1.007 0.792  1.150 0.799  1.253 0.696  1.268 0.564  1.246 0.419  1.205 0.280  1.150 0.145  1.096 0.009  1.037 -0.124  0.954 -0.243  0.870 -0.363  0.786 -0.483  0.703 -0.603  0.622 -0.724  0.541 -0.846  0.471 -0.973  0.420 -1.110
2#apb#apb22#app2214/d  0.485 1.868  0.554 1.790  0.581 1.675  0.609 1.561  0.627 1.444  0.625 1.327  0.605 1.211  0.597 1.093  0.590 0.976  0.571 0.860  0.548 0.744  0.522 0.629  0.489 0.516  0.456 0.402  0.424 0.289  0.398 0.174  0.372 0.059  0.346 -0.056  0.319 -0.171  0.289 -0.285  0.259 -0.399  0.228 -0.513  0.195 -0.626  0.152 -0.736  0.109 -0.846  0.064 -0.954  -0.008 -1.048  -0.081 -1.140  -0.187 -1.193  -0.304 -1.197  -0.419 -1.188  -0.521 -1.128  -0.623 -1.068  -0.698 -0.981  -0.760 -0.881  -0.807 -0.775  -0.819 -0.658  -0.831 -0.541  -0.804 -0.426  -0.773 -0.313  -0.740 -0.200  -0.673 -0.103  -0.606 -0.005  -0.521 0.073  -0.424 0.140  -0.314 0.160  -0.196 0.153  -0.081 0.129  0.032 0.095  0.145 0.061
2#apb#apb22#app2214/y  -1.137 0.875  -1.169 0.823  -1.159 0.687  -1.122 0.558  -1.067 0.433  -0.996 0.320  -0.897 0.227  -0.797 0.134  -0.680 0.067  -0.556 0.009  -0.428 -0.028  -0.292 -0.028  -0.158 -0.017  -0.033 0.036  0.092 0.090  0.213 0.151  0.324 0.231  0.434 0.311  0.537 0.399  0.631 0.498  0.724 0.597  0.817 0.697  0.910 0.797  1.001 0.898  1.062 1.020  1.007 0.988  0.914 0.889  0.821 0.790  0.730 0.688  0.658 0.573  0.586 0.457  0.514 0.341  0.442 0.225  0.376 0.107  0.310 -0.013  0.245 -0.132  0.180 -0.252  0.115 -0.372  0.056 -0.495  -0.002 -0.618  -0.060 -0.741  -0.118 -0.864  -0.176 -0.987  -0.234 -1.111  -0.292 -1.234  -0.349 -1.358  -0.407 -1.481  -0.465 -1.604  -0.523 -1.728  -0.582 -1.851
