2#tos#f2#f2016063/!  -0.006 1.648  -0.038 1.584  -0.085 1.543  -0.111 1.498  -0.111 1.426  -0.111 1.354  -0.111 1.282  -0.111 1.210  -0.111 1.139  -0.111 1.067  -0.111 0.995  -0.111 0.923  -0.111 0.851  -0.111 0.779  -0.111 0.708  -0.111 0.636  -0.088 0.574  -0.038 0.523  0.013 0.472  0.046 0.414  0.046 0.342  0.046 0.270  0.046 0.198  0.046 0.127  0.046 0.055  0.046 -0.017  0.046 -0.089  0.046 -0.161  0.046 -0.232  0.046 -0.304  0.046 -0.376  0.046 -0.448  0.046 -0.520  0.046 -0.592  0.046 -0.663  0.096 -0.715  0.097 -0.785  0.090 -0.857  0.083 -0.928  0.076 -0.999  0.069 -1.071  0.062 -1.142  0.054 -1.214  0.047 -1.285  0.046 -1.357  0.046 -1.429  0.046 -1.501  0.046 -1.573  0.046 -1.644  0.046 -1.716
2#tos#f2#f2016063/`  -1.047 0.739  -1.132 0.739  -1.217 0.739  -1.302 0.739  -1.312 0.664  -1.284 0.607  -1.199 0.607  -1.114 0.607  -1.030 0.607  -0.945 0.607  -0.860 0.607  -0.779 0.600  -0.742 0.524  -0.704 0.448  -0.666 0.372  -0.599 0.342  -0.514 0.342  -0.429 0.342  -0.345 0.342  -0.260 0.342  -0.254 0.263  -0.222 0.210  -0.137 0.210  -0.053 0.210  0.020 0.190  0.058 0.114  0.096 0.039  0.134 -0.037  0.172 -0.113  0.210 -0.189  0.248 -0.265  0.298 -0.327  0.378 -0.353  0.459 -0.380  0.539 -0.407  0.620 -0.434  0.702 -0.451  0.787 -0.451  0.872 -0.451  0.936 -0.472  0.936 -0.557  0.936 -0.642  0.946 -0.719  1.027 -0.746  1.107 -0.772  1.187 -0.799  1.268 -0.826  1.344 -0.860  1.404 -0.920  1.464 -0.980
2#tos#f2#f2016063/{  0.446 1.179  0.365 1.206  0.282 1.220  0.279 1.304  0.202 1.342  0.158 1.383  0.082 1.345  -0.003 1.343  -0.047 1.300  -0.085 1.224  -0.144 1.163  -0.169 1.087  -0.169 1.002  -0.169 0.916  -0.150 0.834  -0.128 0.752  -0.128 0.667  -0.128 0.581  -0.128 0.496  -0.120 0.411  -0.100 0.329  -0.087 0.245  -0.087 0.159  -0.087 0.074  -0.087 -0.012  -0.087 -0.097  -0.087 -0.182  -0.063 -0.262  -0.046 -0.344  -0.056 -0.337  -0.128 -0.324  -0.111 -0.337  -0.053 -0.388  -0.006 -0.459  -0.005 -0.545  -0.005 -0.630  -0.005 -0.715  -0.001 -0.800  0.026 -0.881  0.053 -0.962  0.077 -1.044  0.077 -1.129  0.077 -1.215  0.077 -1.300  0.077 -1.386  0.077 -1.471  0.077 -1.557  0.077 -1.642  0.077 -1.727  0.077 -1.813
2#tos#f2#f2016063/|  -0.169 1.256  -0.219 1.287  -0.219 1.367  -0.219 1.446  -0.266 1.503  -0.219 1.471  -0.219 1.391  -0.187 1.324  -0.168 1.252  -0.143 1.177  -0.120 1.101  -0.120 1.021  -0.120 0.941  -0.120 0.861  -0.120 0.782  -0.120 0.702  -0.120 0.622  -0.087 0.550  -0.070 0.474  -0.038 0.402  -0.021 0.326  -0.021 0.246  -0.020 0.167  0.016 0.096  0.052 0.024  0.083 -0.049  0.101 -0.126  0.119 -0.204  0.136 -0.282  0.154 -0.360  0.172 -0.437  0.190 -0.515  0.208 -0.593  0.226 -0.670  0.226 -0.750  0.214 -0.818  0.135 -0.818  0.055 -0.818  0.028 -0.872  0.028 -0.951  0.028 -1.031  0.028 -1.111  0.028 -1.191  0.028 -1.270  0.062 -1.329  0.127 -1.369  0.127 -1.449  0.138 -1.525  0.182 -1.592  0.226 -1.658
2#tos#f2#f2016063/~  -1.044 -0.122  -1.081 -0.234  -1.139 -0.319  -1.257 -0.319  -1.307 -0.388  -1.307 -0.395  -1.307 -0.276  -1.307 -0.157  -1.232 -0.107  -1.166 -0.009  -1.110 0.093  -1.107 0.210  -1.019 0.290  -0.921 0.356  -0.817 0.405  -0.698 0.405  -0.581 0.408  -0.497 0.491  -0.397 0.537  -0.278 0.537  -0.160 0.537  -0.056 0.521  -0.056 0.403  -0.056 0.284  -0.056 0.165  -0.030 0.063  0.076 0.009  0.113 -0.103  0.155 -0.214  0.208 -0.320  0.314 -0.373  0.405 -0.410  0.405 -0.529  0.470 -0.582  0.589 -0.582  0.707 -0.582  0.823 -0.571  0.929 -0.517  1.017 -0.438  1.115 -0.372  1.195 -0.296  1.195 -0.177  1.215 -0.062  1.252 0.051  1.260 0.168  1.260 0.287  1.307 0.386  1.326 0.497  1.326 0.616  1.326 0.734
2#tos#f2#f2016063/0  0.477 -0.814  0.433 -0.953  0.407 -1.077  0.257 -1.077  0.107 -1.077  -0.043 -1.077  -0.193 -1.077  -0.323 -1.011  -0.467 -0.989  -0.548 -0.885  -0.641 -0.769  -0.719 -0.642  -0.773 -0.504  -0.850 -0.391  -0.882 -0.261  -0.882 -0.111  -0.882 0.039  -0.882 0.189  -0.882 0.339  -0.840 0.477  -0.783 0.610  -0.716 0.744  -0.611 0.849  -0.494 0.943  -0.367 1.022  -0.259 1.124  -0.141 1.203  0.009 1.203  0.159 1.203  0.309 1.203  0.455 1.181  0.565 1.122  0.604 0.988  0.725 0.904  0.809 0.783  0.828 0.641  0.872 0.510  0.872 0.360  0.872 0.210  0.839 0.064  0.765 -0.062  0.684 -0.188  0.609 -0.313  0.526 -0.403  0.433 -0.507  0.342 -0.618  0.220 -0.701  0.127 -0.777  0.013 -0.814  -0.137 -0.814
2#tos#f2#f2016063/1  0.138 1.452  0.068 1.452  0.066 1.521  -0.001 1.524  -0.006 1.458  -0.006 1.387  -0.006 1.317  -0.006 1.246  -0.006 1.176  -0.006 1.105  -0.006 1.035  -0.006 0.964  -0.006 0.894  -0.006 0.823  -0.006 0.752  -0.006 0.682  -0.006 0.611  -0.006 0.541  -0.006 0.470  -0.006 0.400  -0.006 0.329  -0.006 0.259  -0.006 0.188  -0.006 0.118  -0.006 0.047  -0.006 -0.024  -0.006 -0.094  -0.006 -0.165  -0.006 -0.235  -0.006 -0.306  -0.006 -0.376  -0.006 -0.447  -0.006 -0.517  -0.006 -0.588  -0.006 -0.658  -0.006 -0.729  -0.006 -0.800  -0.006 -0.870  -0.006 -0.941  -0.006 -1.011  -0.006 -1.082  -0.006 -1.152  -0.006 -1.223  -0.006 -1.293  -0.006 -1.364  -0.006 -1.434  -0.006 -1.505  -0.006 -1.575  -0.006 -1.646  -0.006 -1.717
2#tos#f2#f2016063/3  -0.560 0.977  -0.699 0.977  -0.734 1.081  -0.666 1.152  -0.528 1.152  -0.389 1.152  -0.250 1.152  -0.111 1.152  0.028 1.152  0.167 1.152  0.306 1.152  0.428 1.135  0.525 1.093  0.603 1.032  0.603 0.893  0.603 0.754  0.603 0.615  0.528 0.514  0.417 0.431  0.334 0.323  0.237 0.230  0.127 0.147  0.050 0.032  -0.066 -0.011  -0.199 -0.034  -0.327 -0.072  -0.386 -0.153  -0.279 -0.186  -0.141 -0.186  -0.002 -0.186  0.137 -0.186  0.252 -0.244  0.385 -0.258  0.437 -0.377  0.487 -0.504  0.487 -0.643  0.487 -0.782  0.449 -0.883  0.340 -0.961  0.224 -1.039  0.149 -1.116  0.011 -1.116  -0.119 -1.157  -0.224 -1.245  -0.286 -1.348  -0.425 -1.348  -0.564 -1.348  -0.703 -1.348  -0.837 -1.370  -0.909 -1.348
2#tos#f2#f2016063/5  -0.009 1.075  0.117 1.201  0.082 1.091  0.072 0.915  0.006 0.749  -0.051 0.600  -0.099 0.451  -0.099 0.273  -0.079 0.103  -0.017 -0.050  0.082 -0.134  0.151 -0.262  0.294 -0.361  0.357 -0.511  0.444 -0.602  0.444 -0.781  0.444 -0.959  0.323 -1.050  0.245 -1.199  0.081 -1.267  -0.070 -1.343  -0.225 -1.417  -0.358 -1.462  -0.537 -1.462  -0.670 -1.417  -0.734 -1.268  -0.708 -1.093  -0.663 -0.920  -0.618 -0.748  -0.573 -0.575  -0.528 -0.402  -0.483 -0.230  -0.438 -0.057  -0.393 0.115  -0.348 0.288  -0.303 0.460  -0.258 0.633  -0.213 0.806  -0.277 0.893  -0.377 0.893  -0.199 0.893  -0.020 0.893  0.158 0.893  0.336 0.893  0.515 0.893  0.693 0.893  0.871 0.893  1.050 0.893  1.228 0.893  1.350 0.984
2#tos#f2#f2016063/7  -0.222 0.829  -0.356 0.829  -0.439 0.778  -0.520 0.688  -0.618 0.599  -0.667 0.475  -0.726 0.355  -0.786 0.239  -0.873 0.192  -0.873 0.058  -0.796 0.146  -0.714 0.252  -0.632 0.358  -0.576 0.469  -0.609 0.599  -0.558 0.710  -0.437 0.743  -0.303 0.743  -0.169 0.743  -0.041 0.768  0.089 0.786  0.223 0.786  0.357 0.786  0.491 0.786  0.621 0.765  0.752 0.743  0.879 0.713  0.907 0.597  0.873 0.468  0.831 0.341  0.749 0.238  0.655 0.143  0.573 0.037  0.494 -0.071  0.429 -0.186  0.429 -0.320  0.394 -0.448  0.352 -0.575  0.296 -0.697  0.256 -0.821  0.252 -0.954  0.158 -1.048  0.076 -1.150  0.043 -1.280  0.011 -1.410  -0.005 -1.543  -0.005 -1.677  -0.084 -1.731  -0.091 -1.858  -0.091 -1.992
2#tos#f2#f2016063/9  0.271 -0.298  0.319 -0.433  0.480 -0.373  0.631 -0.290  0.723 -0.164  0.763 -0.021  0.821 0.104  0.852 0.255  0.852 0.438  0.852 0.621  0.807 0.793  0.747 0.939  0.702 1.088  0.555 1.145  0.396 1.186  0.228 1.222  0.045 1.222  -0.133 1.199  -0.303 1.135  -0.458 1.038  -0.625 0.967  -0.767 0.854  -0.896 0.725  -1.009 0.584  -1.026 0.405  -1.100 0.253  -1.115 0.077  -1.115 -0.106  -1.115 -0.289  -1.008 -0.414  -0.876 -0.477  -0.693 -0.477  -0.510 -0.477  -0.327 -0.477  -0.145 -0.477  0.031 -0.433  0.181 -0.400  0.307 -0.343  0.462 -0.305  0.539 -0.172  0.533 -0.277  0.423 -0.424  0.316 -0.571  0.285 -0.748  0.181 -0.892  0.118 -1.053  0.018 -1.206  -0.042 -1.374  -0.087 -1.546  -0.087 -1.729
2#tos#f2#f2016063/C  0.929 1.155  0.830 1.155  0.730 1.155  0.631 1.155  0.551 1.203  0.467 1.254  0.378 1.275  0.290 1.231  0.193 1.221  0.118 1.181  0.073 1.092  0.005 1.021  -0.019 0.924  -0.043 0.828  -0.086 0.746  -0.175 0.702  -0.237 0.627  -0.292 0.544  -0.347 0.461  -0.402 0.379  -0.456 0.296  -0.469 0.199  -0.506 0.106  -0.543 0.014  -0.580 -0.078  -0.588 -0.176  -0.588 -0.275  -0.588 -0.375  -0.588 -0.474  -0.588 -0.574  -0.588 -0.673  -0.588 -0.772  -0.588 -0.872  -0.574 -0.956  -0.474 -0.956  -0.375 -0.956  -0.276 -0.956  -0.176 -0.956  -0.077 -0.956  0.023 -0.956  0.122 -0.956  0.221 -0.956  0.321 -0.956  0.419 -0.951  0.514 -0.919  0.608 -0.888  0.702 -0.856  0.796 -0.825  0.896 -0.825  0.995 -0.825
2#tos#f2#f2016063/G  -0.256 1.266  -0.402 1.362  -0.614 1.315  -0.753 1.123  -0.859 0.912  -0.973 0.731  -1.074 0.518  -1.207 0.317  -1.212 0.077  -1.241 -0.160  -1.259 -0.398  -1.259 -0.639  -1.135 -0.792  -0.916 -0.889  -0.685 -0.932  -0.444 -0.932  -0.202 -0.932  0.036 -0.914  0.257 -0.819  0.473 -0.711  0.689 -0.603  0.857 -0.447  0.854 -0.302  0.653 -0.168  0.453 -0.034  0.252 0.099  0.051 0.233  -0.167 0.311  -0.362 0.224  -0.543 0.137  -0.319 0.119  -0.116 0.212  0.103 0.271  0.304 0.392  0.520 0.454  0.699 0.573  0.930 0.642  1.123 0.693  0.991 0.693  0.750 0.693  0.573 0.551  0.413 0.424  0.503 0.220  0.552 -0.011  0.604 -0.232  0.604 -0.474  0.604 -0.715  0.700 -0.927  0.700 -1.168  0.748 -1.362
2#tos#f2#f2016063/H  -0.928 1.119  -1.031 0.978  -1.022 0.848  -0.977 0.678  -0.902 0.517  -0.835 0.360  -0.805 0.186  -0.763 0.013  -0.721 -0.160  -0.694 -0.334  -0.656 -0.503  -0.600 -0.668  -0.600 -0.847  -0.600 -1.025  -0.600 -1.149  -0.600 -0.971  -0.600 -0.792  -0.600 -0.614  -0.600 -0.436  -0.600 -0.257  -0.714 -0.193  -0.730 -0.146  -0.645 -0.052  -0.518 0.012  -0.346 0.041  -0.189 0.104  -0.037 0.182  0.128 0.242  0.282 0.315  0.427 0.415  0.594 0.475  0.754 0.555  0.808 0.723  0.859 0.894  0.869 1.054  0.711 1.058  0.758 0.927  0.758 0.749  0.758 0.570  0.841 0.426  0.851 0.252  0.851 0.074  0.898 -0.097  0.898 -0.275  0.913 -0.449  0.992 -0.603  0.992 -0.782  0.992 -0.960  0.992 -1.138  0.992 -1.317
2#tos#f2#f2016063/I  0.030 1.377  -0.041 1.377  -0.097 1.394  -0.097 1.465  -0.082 1.475  -0.050 1.411  -0.033 1.343  -0.033 1.272  -0.033 1.200  -0.033 1.129  -0.033 1.057  -0.033 0.985  -0.033 0.914  -0.033 0.842  -0.033 0.771  -0.033 0.699  -0.033 0.627  -0.033 0.556  -0.033 0.484  -0.022 0.413  -0.012 0.342  -0.002 0.272  0.008 0.201  0.018 0.130  0.028 0.059  0.030 -0.013  0.030 -0.084  0.030 -0.156  0.030 -0.227  0.030 -0.299  0.030 -0.371  0.030 -0.442  0.030 -0.514  0.030 -0.585  0.030 -0.657  0.030 -0.729  0.030 -0.800  0.030 -0.872  0.030 -0.943  0.030 -1.015  0.030 -1.087  0.030 -1.158  0.030 -1.230  0.030 -1.301  0.030 -1.373  0.030 -1.445  0.030 -1.516  0.030 -1.588  0.030 -1.660  0.030 -1.731
2#tos#f2#f2016063/J  -0.364 0.821  -0.432 0.742  -0.482 0.654  -0.456 0.654  -0.415 0.737  -0.293 0.752  -0.175 0.779  -0.069 0.824  0.030 0.899  0.137 0.963  0.251 1.012  0.355 1.076  0.471 1.113  0.596 1.113  0.650 1.084  0.562 0.995  0.474 0.907  0.385 0.821  0.260 0.821  0.180 0.862  0.220 0.778  0.260 0.659  0.278 0.539  0.304 0.420  0.304 0.295  0.304 0.170  0.324 0.049  0.345 -0.072  0.369 -0.194  0.387 -0.317  0.387 -0.442  0.387 -0.567  0.387 -0.691  0.387 -0.816  0.387 -0.941  0.300 -1.003  0.232 -1.088  0.171 -1.183  0.046 -1.183  -0.079 -1.183  -0.204 -1.183  -0.328 -1.183  -0.453 -1.181  -0.557 -1.115  -0.670 -1.067  -0.794 -1.058  -0.919 -1.058  -1.043 -1.058  -1.153 -1.021  -1.241 -0.933
2#tos#f2#f2016063/K  -0.423 1.423  -0.643 1.423  -0.636 1.303  -0.623 1.089  -0.583 0.885  -0.583 0.665  -0.583 0.445  -0.583 0.225  -0.583 0.005  -0.583 -0.215  -0.583 -0.435  -0.583 -0.656  -0.583 -0.876  -0.583 -1.096  -0.583 -1.316  -0.583 -1.536  -0.571 -1.496  -0.466 -1.302  -0.361 -1.109  -0.257 -0.915  -0.152 -0.722  -0.047 -0.528  0.058 -0.335  0.163 -0.141  0.268 0.052  0.372 0.246  0.477 0.440  0.582 0.633  0.687 0.827  0.792 1.020  0.864 1.213  0.871 1.262  0.678 1.218  0.541 1.050  0.451 0.853  0.370 0.668  0.205 0.531  0.123 0.327  -0.023 0.165  -0.151 -0.014  -0.269 -0.181  -0.302 -0.235  -0.094 -0.275  0.106 -0.341  0.255 -0.475  0.438 -0.576  0.640 -0.660  0.824 -0.780  1.015 -0.876  1.235 -0.876
2#tos#f2#f2016063/L  -0.173 1.413  -0.261 1.413  -0.315 1.448  -0.315 1.536  -0.362 1.532  -0.362 1.443  -0.362 1.355  -0.362 1.267  -0.362 1.178  -0.362 1.090  -0.326 1.010  -0.315 0.924  -0.315 0.836  -0.315 0.747  -0.315 0.659  -0.301 0.572  -0.286 0.484  -0.272 0.397  -0.268 0.309  -0.268 0.221  -0.268 0.132  -0.268 0.044  -0.268 -0.045  -0.268 -0.133  -0.268 -0.221  -0.268 -0.310  -0.268 -0.398  -0.268 -0.487  -0.256 -0.574  -0.234 -0.660  -0.220 -0.746  -0.203 -0.828  -0.141 -0.890  -0.078 -0.953  0.001 -0.992  0.087 -1.000  0.176 -1.000  0.264 -1.000  0.353 -1.000  0.428 -0.967  0.509 -0.939  0.595 -0.922  0.680 -0.902  0.708 -0.818  0.757 -0.763  0.845 -0.763  0.934 -0.763  0.998 -0.716  1.051 -0.645  1.104 -0.574
2#tos#f2#f2016063/P  -0.018 0.751  -0.130 0.849  -0.264 0.716  -0.290 0.511  -0.348 0.309  -0.366 0.103  -0.444 -0.092  -0.460 -0.298  -0.472 -0.505  -0.549 -0.699  -0.558 -0.907  -0.581 -1.111  -0.657 -1.302  -0.657 -1.512  -0.590 -1.654  -0.537 -1.478  -0.512 -1.270  -0.487 -1.062  -0.462 -0.854  -0.437 -0.647  -0.412 -0.439  -0.388 -0.231  -0.363 -0.023  -0.338 0.185  -0.313 0.393  -0.288 0.600  -0.272 0.800  -0.460 0.821  -0.289 0.873  -0.130 0.996  0.079 0.996  0.285 1.027  0.493 1.045  0.702 1.045  0.912 1.045  1.121 1.045  1.270 0.947  1.307 0.775  1.307 0.566  1.152 0.431  1.020 0.275  0.908 0.101  0.813 -0.084  0.615 -0.144  0.424 -0.230  0.257 -0.356  0.140 -0.514  -0.065 -0.525  -0.257 -0.596  -0.411 -0.673
