3#apb#apb41#app4138/W  -1.093 0.736  -1.093 0.691  -1.099 0.505  -1.104 0.319  -1.099 0.133  -1.095 -0.053  -1.093 -0.239  -1.093 -0.425  -1.084 -0.610  -1.046 -0.793  -0.935 -0.931  -0.758 -0.955  -0.615 -0.842  -0.482 -0.713  -0.382 -0.556  -0.283 -0.399  -0.203 -0.231  -0.126 -0.061  -0.075 0.116  -0.041 0.299  -0.021 0.484  -0.015 0.670  -0.023 0.855  -0.029 0.832  -0.016 0.647  -0.006 0.461  0.003 0.275  0.011 0.089  0.004 -0.097  -0.004 -0.283  -0.011 -0.469  0.016 -0.653  0.047 -0.836  0.193 -0.951  0.377 -0.965  0.537 -0.885  0.682 -0.771  0.783 -0.614  0.882 -0.457  0.941 -0.281  1.000 -0.104  1.031 0.079  1.056 0.264  1.065 0.449  1.056 0.635  1.047 0.821  1.035 1.006  1.022 1.192  1.043 1.377  1.092 1.242
3#apb#apb41#app4138/n  -0.823 0.676  -0.767 0.733  -0.814 0.593  -0.850 0.450  -0.884 0.307  -0.913 0.163  -0.927 0.016  -0.942 -0.131  -0.960 -0.277  -0.986 -0.422  -1.011 -0.567  -1.028 -0.713  -1.039 -0.860  -0.971 -0.918  -0.854 -0.830  -0.745 -0.731  -0.644 -0.625  -0.561 -0.503  -0.477 -0.382  -0.400 -0.257  -0.328 -0.128  -0.257 0.002  -0.187 0.131  -0.118 0.261  -0.050 0.392  0.018 0.522  0.100 0.645  0.188 0.763  0.277 0.881  0.380 0.984  0.490 1.083  0.628 1.108  0.731 1.033  0.800 0.903  0.860 0.769  0.904 0.629  0.949 0.488  0.966 0.345  0.954 0.198  0.943 0.051  0.932 -0.096  0.904 -0.241  0.869 -0.383  0.833 -0.526  0.798 -0.670  0.787 -0.817  0.774 -0.963  0.755 -1.109  0.812 -1.052  0.885 -0.924
3#apb#apb41#app4138/n  -0.771 0.842  -0.689 0.945  -0.673 0.783  -0.681 0.620  -0.689 0.457  -0.714 0.296  -0.743 0.135  -0.773 -0.026  -0.812 -0.184  -0.852 -0.342  -0.894 -0.500  -0.939 -0.657  -0.977 -0.815  -0.956 -0.942  -0.860 -0.812  -0.767 -0.678  -0.674 -0.543  -0.587 -0.406  -0.504 -0.265  -0.421 -0.125  -0.346 0.020  -0.285 0.171  -0.223 0.322  -0.162 0.473  -0.082 0.616  0.001 0.756  0.084 0.897  0.195 1.014  0.319 1.119  0.462 1.193  0.594 1.169  0.693 1.039  0.736 0.882  0.780 0.725  0.787 0.563  0.781 0.400  0.775 0.237  0.758 0.075  0.731 -0.086  0.704 -0.247  0.677 -0.408  0.660 -0.570  0.645 -0.733  0.632 -0.895  0.632 -1.058  0.632 -1.222  0.754 -1.204  0.881 -1.102  1.015 -1.009  1.153 -0.921
3#apb#apb41#app4138/e  -0.537 -0.165  -0.554 -0.190  -0.436 -0.273  -0.290 -0.297  -0.143 -0.260  0.004 -0.221  0.141 -0.155  0.279 -0.090  0.416 -0.024  0.544 0.058  0.671 0.141  0.799 0.224  0.914 0.322  1.026 0.425  1.118 0.543  1.181 0.681  1.165 0.827  1.117 0.966  0.988 1.048  0.852 1.109  0.702 1.137  0.554 1.149  0.410 1.101  0.265 1.053  0.129 0.992  0.016 0.890  -0.097 0.788  -0.210 0.686  -0.314 0.575  -0.406 0.455  -0.499 0.334  -0.592 0.213  -0.684 0.092  -0.760 -0.039  -0.837 -0.171  -0.914 -0.302  -0.970 -0.440  -0.987 -0.591  -1.004 -0.742  -0.947 -0.882  -0.863 -1.001  -0.729 -1.072  -0.595 -1.142  -0.442 -1.142  -0.290 -1.142  -0.138 -1.142  0.012 -1.121  0.162 -1.094  0.312 -1.067  0.461 -1.041
3#apb#apb41#app4138/s  0.958 0.704  0.928 0.846  0.838 0.958  0.726 1.049  0.584 1.082  0.441 1.105  0.296 1.097  0.150 1.089  0.014 1.042  -0.119 0.982  -0.251 0.922  -0.387 0.869  -0.524 0.819  -0.661 0.769  -0.779 0.684  -0.895 0.596  -0.974 0.476  -0.950 0.344  -0.844 0.255  -0.715 0.186  -0.581 0.133  -0.438 0.108  -0.294 0.083  -0.151 0.058  -0.007 0.034  0.137 0.010  0.281 -0.014  0.423 -0.044  0.566 -0.075  0.706 -0.112  0.842 -0.164  0.960 -0.238  1.011 -0.367  0.969 -0.507  0.870 -0.605  0.752 -0.690  0.628 -0.766  0.495 -0.826  0.362 -0.885  0.226 -0.935  0.083 -0.965  -0.059 -0.994  -0.202 -1.024  -0.347 -1.039  -0.492 -1.052  -0.637 -1.065  -0.782 -1.047  -0.926 -1.029  -1.059 -0.972  -1.174 -0.885
3#apb#apb41#app4138/s  0.760 0.759  0.833 0.887  0.885 0.975  0.741 1.007  0.597 1.039  0.454 1.047  0.311 1.010  0.169 0.973  0.026 0.936  -0.118 0.909  -0.263 0.884  -0.408 0.859  -0.550 0.820  -0.687 0.767  -0.824 0.714  -0.940 0.628  -1.045 0.524  -1.074 0.394  -0.983 0.278  -0.866 0.206  -0.722 0.175  -0.578 0.145  -0.434 0.112  -0.291 0.078  -0.148 0.043  -0.005 0.009  0.142 -0.000  0.289 -0.007  0.436 -0.014  0.578 -0.048  0.718 -0.095  0.856 -0.146  0.990 -0.206  0.997 -0.349  0.950 -0.479  0.855 -0.592  0.760 -0.704  0.623 -0.757  0.486 -0.811  0.350 -0.867  0.220 -0.936  0.090 -1.005  -0.040 -1.074  -0.170 -1.144  -0.303 -1.199  -0.451 -1.199  -0.598 -1.199  -0.742 -1.182  -0.876 -1.121  -1.003 -1.048
3#apb#apb41#app4138/e  -0.519 -0.150  -0.624 -0.056  -0.631 -0.066  -0.477 -0.122  -0.319 -0.146  -0.156 -0.139  0.007 -0.131  0.168 -0.109  0.327 -0.071  0.485 -0.033  0.644 0.005  0.800 0.051  0.956 0.100  1.112 0.150  1.228 0.260  1.337 0.381  1.319 0.537  1.250 0.676  1.129 0.787  1.007 0.892  0.848 0.932  0.690 0.971  0.531 1.006  0.369 0.989  0.207 0.972  0.050 0.936  -0.093 0.857  -0.236 0.778  -0.378 0.699  -0.497 0.587  -0.616 0.476  -0.735 0.364  -0.834 0.235  -0.921 0.097  -1.008 -0.041  -1.075 -0.187  -1.109 -0.346  -1.112 -0.502  -1.044 -0.651  -0.958 -0.783  -0.816 -0.863  -0.674 -0.943  -0.521 -0.991  -0.360 -1.016  -0.198 -1.041  -0.037 -1.066  0.126 -1.072  0.289 -1.072  0.452 -1.072  0.615 -1.072
3#apb#apb41#app4138/e  -0.861 0.339  -0.950 0.375  -0.920 0.241  -0.780 0.153  -0.627 0.086  -0.460 0.060  -0.294 0.034  -0.127 0.040  0.041 0.056  0.208 0.074  0.369 0.125  0.529 0.176  0.690 0.225  0.853 0.268  0.978 0.351  1.021 0.512  0.945 0.662  0.829 0.778  0.693 0.877  0.556 0.975  0.395 1.023  0.233 1.069  0.070 1.057  -0.092 1.014  -0.249 0.959  -0.384 0.858  -0.518 0.757  -0.646 0.649  -0.729 0.503  -0.813 0.356  -0.889 0.207  -0.930 0.044  -0.971 -0.120  -0.935 -0.274  -0.857 -0.423  -0.764 -0.560  -0.632 -0.665  -0.501 -0.770  -0.365 -0.867  -0.202 -0.908  -0.038 -0.949  0.125 -0.990  0.290 -1.020  0.457 -1.043  0.624 -1.065  0.791 -1.087  0.958 -1.072  1.125 -1.051  1.292 -1.029  1.459 -1.008
3#apb#apb41#app4138/K  -0.653 1.038  -0.685 1.246  -0.686 1.047  -0.730 0.839  -0.770 0.629  -0.818 0.422  -0.863 0.213  -0.877 0.001  -0.892 -0.212  -0.876 -0.425  -0.847 -0.635  -0.772 -0.834  -0.627 -0.988  -0.553 -1.034  -0.704 -0.883  -0.806 -0.704  -0.769 -0.503  -0.623 -0.348  -0.458 -0.212  -0.294 -0.077  -0.122 0.050  0.050 0.176  0.221 0.303  0.390 0.433  0.560 0.562  0.729 0.692  0.898 0.823  1.060 0.960  1.198 1.122  1.097 1.083  0.938 0.940  0.779 0.798  0.621 0.656  0.462 0.513  0.303 0.371  0.145 0.228  -0.014 0.086  -0.173 -0.057  -0.331 -0.199  -0.390 -0.188  -0.253 -0.351  -0.080 -0.476  0.096 -0.596  0.277 -0.708  0.469 -0.800  0.668 -0.874  0.870 -0.943  1.073 -1.008  1.282 -1.052  1.480 -1.127
3#apb#apb41#app4138/a  0.363 0.644  0.222 0.737  0.074 0.818  -0.083 0.862  -0.251 0.862  -0.418 0.848  -0.583 0.813  -0.738 0.753  -0.885 0.671  -1.033 0.589  -1.155 0.475  -1.274 0.356  -1.358 0.215  -1.408 0.054  -1.392 -0.109  -1.351 -0.271  -1.200 -0.346  -1.050 -0.421  -0.881 -0.414  -0.713 -0.407  -0.545 -0.400  -0.381 -0.362  -0.218 -0.322  -0.054 -0.281  0.098 -0.211  0.245 -0.129  0.391 -0.046  0.524 0.057  0.611 0.193  0.624 0.352  0.561 0.508  0.444 0.629  0.325 0.715  0.247 0.571  0.197 0.410  0.205 0.244  0.225 0.077  0.253 -0.089  0.286 -0.254  0.319 -0.419  0.427 -0.548  0.536 -0.677  0.675 -0.769  0.822 -0.852  0.977 -0.904  1.145 -0.914  1.313 -0.913  1.477 -0.878  1.628 -0.815  1.755 -0.704
3#apb#apb41#app4138/n  -0.743 0.567  -0.750 0.514  -0.825 0.365  -0.894 0.212  -0.952 0.055  -1.010 -0.102  -1.059 -0.263  -1.094 -0.426  -1.051 -0.537  -0.937 -0.413  -0.840 -0.278  -0.761 -0.130  -0.716 0.030  -0.682 0.194  -0.650 0.358  -0.622 0.524  -0.593 0.689  -0.535 0.846  -0.477 1.002  -0.473 0.834  -0.461 0.667  -0.442 0.501  -0.419 0.335  -0.396 0.169  -0.370 0.003  -0.345 -0.163  -0.307 -0.324  -0.232 -0.474  -0.157 -0.624  -0.035 -0.732  0.105 -0.825  0.262 -0.872  0.428 -0.898  0.592 -0.891  0.755 -0.852  0.917 -0.810  1.067 -0.735  1.213 -0.656  1.295 -0.510  1.377 -0.364  1.369 -0.197  1.355 -0.031  1.269 0.112  1.183 0.256  1.097 0.400  1.013 0.545  0.929 0.690  0.848 0.837  0.848 0.781  0.905 0.624
3#apb#apb41#app4138/s  0.867 0.141  0.867 0.300  0.867 0.459  0.831 0.613  0.787 0.766  0.691 0.892  0.547 0.951  0.395 0.997  0.235 0.997  0.076 0.997  -0.082 0.981  -0.237 0.947  -0.393 0.912  -0.547 0.873  -0.702 0.835  -0.843 0.763  -0.965 0.668  -1.005 0.522  -0.929 0.390  -0.779 0.336  -0.629 0.283  -0.475 0.241  -0.321 0.202  -0.166 0.164  -0.010 0.132  0.148 0.110  0.305 0.089  0.462 0.060  0.616 0.022  0.767 -0.026  0.904 -0.108  1.004 -0.226  1.013 -0.373  0.956 -0.518  0.838 -0.625  0.716 -0.727  0.574 -0.798  0.431 -0.869  0.282 -0.922  0.126 -0.952  -0.031 -0.981  -0.188 -1.008  -0.345 -1.033  -0.502 -1.058  -0.659 -1.030  -0.816 -1.003  -0.968 -0.957  -1.118 -0.901  -1.258 -0.832  -1.338 -0.694
3#apb#apb41#app4138/a  0.203 0.101  0.237 0.272  0.202 0.437  0.098 0.576  -0.035 0.687  -0.189 0.761  -0.355 0.811  -0.528 0.811  -0.691 0.768  -0.844 0.685  -0.982 0.581  -1.115 0.470  -1.239 0.349  -1.350 0.219  -1.401 0.053  -1.415 -0.117  -1.356 -0.264  -1.211 -0.359  -1.040 -0.393  -0.870 -0.416  -0.697 -0.395  -0.528 -0.362  -0.367 -0.298  -0.209 -0.227  -0.058 -0.141  0.072 -0.033  0.169 0.112  0.227 0.272  0.263 0.442  0.254 0.615  0.260 0.786  0.220 0.686  0.193 0.515  0.173 0.342  0.154 0.170  0.137 -0.003  0.122 -0.176  0.183 -0.338  0.244 -0.501  0.376 -0.613  0.513 -0.716  0.683 -0.752  0.853 -0.788  1.025 -0.789  1.199 -0.780  1.367 -0.746  1.529 -0.685  1.692 -0.625  1.855 -0.564  1.977 -0.441
3#apb#apb41#app4138/s  0.725 0.529  0.792 0.648  0.830 0.777  0.761 0.886  0.659 0.972  0.537 1.033  0.409 1.076  0.276 1.107  0.143 1.123  0.009 1.096  -0.125 1.069  -0.256 1.035  -0.386 0.994  -0.517 0.953  -0.624 0.870  -0.729 0.783  -0.818 0.680  -0.895 0.571  -0.883 0.438  -0.807 0.325  -0.699 0.249  -0.577 0.188  -0.452 0.135  -0.321 0.097  -0.189 0.060  -0.057 0.028  0.077 0.003  0.211 -0.021  0.343 -0.054  0.473 -0.097  0.602 -0.140  0.702 -0.231  0.784 -0.334  0.805 -0.469  0.788 -0.598  0.723 -0.718  0.638 -0.819  0.528 -0.900  0.418 -0.981  0.296 -1.042  0.174 -1.103  0.048 -1.151  -0.087 -1.170  -0.222 -1.188  -0.357 -1.195  -0.493 -1.179  -0.628 -1.162  -0.758 -1.122  -0.883 -1.071  -0.986 -0.982
3#apb#apb41#app4138/O  0.307 0.342  0.186 0.467  0.024 0.525  -0.147 0.484  -0.309 0.415  -0.465 0.334  -0.617 0.246  -0.755 0.138  -0.889 0.025  -0.997 -0.114  -1.090 -0.260  -1.135 -0.430  -1.138 -0.601  -1.098 -0.772  -0.966 -0.874  -0.813 -0.962  -0.642 -0.982  -0.466 -0.986  -0.290 -0.990  -0.118 -0.955  0.054 -0.919  0.226 -0.883  0.387 -0.812  0.546 -0.738  0.705 -0.664  0.849 -0.562  0.991 -0.460  1.130 -0.353  1.251 -0.225  1.342 -0.080  1.378 0.088  1.318 0.253  1.223 0.398  1.111 0.534  0.985 0.655  0.853 0.772  0.704 0.860  0.540 0.924  0.371 0.959  0.195 0.959  0.023 0.944  -0.137 0.871  -0.297 0.798  -0.429 0.685  -0.553 0.561  -0.642 0.415  -0.693 0.247  -0.714 0.078  -0.671 -0.093  -0.629 -0.263
3#apb#apb41#app4138/r  -0.478 -0.037  -0.449 0.091  -0.423 0.219  -0.385 0.343  -0.334 0.392  -0.321 0.261  -0.342 0.133  -0.367 0.004  -0.393 -0.124  -0.429 -0.250  -0.476 -0.372  -0.524 -0.494  -0.572 -0.616  -0.617 -0.739  -0.657 -0.864  -0.696 -0.988  -0.730 -1.115  -0.750 -1.244  -0.743 -1.372  -0.665 -1.276  -0.594 -1.166  -0.526 -1.054  -0.457 -0.942  -0.405 -0.823  -0.357 -0.701  -0.310 -0.579  -0.263 -0.456  -0.217 -0.333  -0.172 -0.211  -0.126 -0.088  -0.076 0.033  -0.023 0.153  0.030 0.273  0.083 0.392  0.148 0.506  0.219 0.616  0.291 0.725  0.362 0.835  0.462 0.919  0.564 1.001  0.675 1.066  0.802 1.098  0.928 1.120  1.047 1.064  1.166 1.009  1.265 0.925  1.361 0.835  1.431 0.725  1.496 0.611  1.549 0.492
3#apb#apb41#app4138/e  -0.870 0.001  -0.830 -0.115  -0.683 -0.189  -0.518 -0.206  -0.353 -0.224  -0.193 -0.180  -0.033 -0.133  0.125 -0.085  0.279 -0.021  0.432 0.043  0.582 0.114  0.716 0.211  0.851 0.308  0.962 0.429  1.064 0.561  1.120 0.716  1.062 0.851  0.945 0.968  0.798 1.045  0.651 1.123  0.490 1.144  0.324 1.144  0.160 1.133  -0.000 1.089  -0.160 1.044  -0.304 0.973  -0.411 0.847  -0.519 0.720  -0.609 0.583  -0.666 0.427  -0.723 0.271  -0.781 0.115  -0.820 -0.046  -0.854 -0.208  -0.888 -0.371  -0.890 -0.533  -0.846 -0.693  -0.803 -0.853  -0.680 -0.955  -0.540 -1.046  -0.387 -1.094  -0.221 -1.108  -0.055 -1.122  0.108 -1.097  0.270 -1.063  0.433 -1.029  0.590 -0.978  0.741 -0.908  0.891 -0.838  1.042 -0.768
3#apb#apb41#app4138/g  0.763 0.870  0.657 1.034  0.494 1.130  0.305 1.151  0.112 1.120  -0.062 1.029  -0.231 0.933  -0.373 0.798  -0.508 0.657  -0.601 0.485  -0.664 0.303  -0.646 0.121  -0.511 -0.012  -0.316 -0.012  -0.125 0.020  0.058 0.088  0.230 0.179  0.390 0.293  0.546 0.411  0.699 0.533  0.834 0.674  0.942 0.834  0.999 1.021  0.949 0.974  0.861 0.799  0.770 0.626  0.674 0.455  0.578 0.284  0.491 0.108  0.406 -0.068  0.320 -0.244  0.241 -0.423  0.163 -0.603  0.086 -0.783  -0.004 -0.957  -0.102 -1.126  -0.200 -1.296  -0.326 -1.446  -0.460 -1.588  -0.623 -1.649  -0.747 -1.511  -0.808 -1.330  -0.825 -1.135  -0.807 -0.940  -0.782 -0.746  -0.736 -0.556  -0.680 -0.369  -0.605 -0.190  -0.492 -0.030  -0.333 0.082
