3#apa#apa13#app1388/T  0.091 0.820  0.160 0.682  0.170 0.530  0.170 0.376  0.170 0.222  0.170 0.067  0.170 -0.087  0.170 -0.241  0.170 -0.396  0.170 -0.550  0.170 -0.705  0.170 -0.859  0.170 -1.013  0.169 -1.167  0.091 -1.289  0.091 -1.444  0.091 -1.598  0.046 -1.545  -0.017 -1.404  -0.080 -1.263  -0.143 -1.122  -0.206 -0.981  -0.270 -0.840  -0.333 -0.699  -0.396 -0.559  -0.459 -0.418  -0.522 -0.277  -0.585 -0.136  -0.648 0.005  -0.712 0.146  -0.775 0.287  -0.838 0.427  -0.901 0.568  -0.890 0.661  -0.815 0.741  -0.661 0.741  -0.507 0.741  -0.352 0.741  -0.199 0.750  -0.053 0.799  0.098 0.820  0.251 0.837  0.402 0.867  0.553 0.897  0.708 0.900  0.862 0.900  1.003 0.958  1.149 0.992  1.288 1.059  1.442 1.059
3#apa#apa13#app1388/d  0.148 1.982  0.172 1.855  0.250 1.752  0.250 1.616  0.279 1.484  0.322 1.355  0.352 1.224  0.352 1.088  0.352 0.952  0.371 0.820  0.431 0.699  0.454 0.568  0.454 0.432  0.454 0.296  0.454 0.160  0.454 0.024  0.454 -0.113  0.454 -0.249  0.443 -0.357  0.352 -0.259  0.311 -0.164  0.197 -0.111  0.100 -0.015  0.045 0.098  -0.020 0.207  -0.141 0.244  -0.277 0.244  -0.398 0.209  -0.507 0.142  -0.601 0.075  -0.662 -0.046  -0.754 -0.146  -0.776 -0.274  -0.837 -0.395  -0.874 -0.522  -0.874 -0.659  -0.862 -0.790  -0.766 -0.886  -0.670 -0.982  -0.544 -1.006  -0.440 -1.084  -0.304 -1.084  -0.168 -1.084  -0.032 -1.084  0.104 -1.084  0.241 -1.084  0.374 -1.073  0.496 -1.012  0.625 -0.982  0.761 -0.982
3#apa#apa13#app1388/p  -0.202 0.733  -0.202 0.546  -0.284 0.393  -0.288 0.208  -0.288 0.021  -0.306 -0.162  -0.373 -0.333  -0.373 -0.520  -0.373 -0.707  -0.373 -0.894  -0.373 -1.081  -0.373 -1.268  -0.344 -1.443  -0.288 -1.606  -0.202 -1.756  -0.225 -1.571  -0.248 -1.385  -0.271 -1.200  -0.294 -1.014  -0.318 -0.829  -0.341 -0.643  -0.364 -0.458  -0.387 -0.272  -0.410 -0.087  -0.434 0.099  -0.457 0.284  -0.480 0.470  -0.503 0.655  -0.526 0.841  -0.545 1.027  -0.408 1.077  -0.221 1.077  -0.034 1.077  0.153 1.077  0.340 1.077  0.527 1.077  0.714 1.077  0.893 1.044  1.068 0.991  1.172 0.858  1.172 0.671  1.172 0.484  1.046 0.349  0.898 0.236  0.743 0.132  0.576 0.049  0.425 -0.040  0.255 -0.112  0.071 -0.125  -0.116 -0.125
3#apa#apa13#app1388/o  -0.485 0.501  -0.613 0.489  -0.636 0.373  -0.741 0.338  -0.788 0.245  -0.869 0.187  -0.939 0.118  -0.996 0.035  -0.996 -0.105  -0.996 -0.244  -0.996 -0.384  -0.905 -0.486  -0.869 -0.610  -0.798 -0.720  -0.682 -0.778  -0.563 -0.828  -0.455 -0.905  -0.316 -0.905  -0.176 -0.905  -0.036 -0.905  0.103 -0.905  0.243 -0.905  0.372 -0.861  0.497 -0.798  0.632 -0.778  0.741 -0.703  0.839 -0.604  0.938 -0.505  1.037 -0.407  1.136 -0.308  1.177 -0.186  1.177 -0.046  1.177 0.094  1.177 0.233  1.050 0.245  0.951 0.344  0.834 0.417  0.709 0.480  0.575 0.501  0.452 0.558  0.336 0.636  0.220 0.713  0.100 0.784  -0.025 0.847  -0.140 0.923  -0.241 1.019  -0.366 1.081  -0.491 1.144  -0.616 1.206  -0.741 1.269
3#apa#apa13#app1388/s  1.318 0.971  1.169 0.971  1.019 0.971  0.870 0.971  0.721 0.971  0.612 0.875  0.486 0.819  0.336 0.819  0.187 0.819  0.038 0.819  -0.111 0.819  -0.245 0.781  -0.350 0.675  -0.496 0.666  -0.606 0.572  -0.731 0.514  -0.880 0.514  -1.029 0.514  -1.122 0.457  -1.068 0.361  -0.933 0.325  -0.828 0.220  -0.683 0.209  -0.534 0.209  -0.385 0.209  -0.236 0.209  -0.122 0.124  -0.000 0.056  0.149 0.056  0.293 0.035  0.427 -0.032  0.556 -0.101  0.557 -0.249  0.707 -0.249  0.708 -0.396  0.708 -0.546  0.708 -0.695  0.708 -0.844  0.613 -0.954  0.487 -1.011  0.345 -1.040  0.211 -1.107  0.075 -1.163  -0.074 -1.163  -0.223 -1.163  -0.372 -1.163  -0.521 -1.163  -0.671 -1.163  -0.820 -1.163  -0.969 -1.163
3#apa#apa13#app1388/e  -0.762 -0.274  -0.604 -0.274  -0.446 -0.274  -0.289 -0.273  -0.177 -0.161  -0.065 -0.049  0.056 0.040  0.204 0.063  0.316 0.175  0.428 0.287  0.495 0.417  0.540 0.556  0.652 0.668  0.652 0.826  0.652 0.984  0.650 1.140  0.492 1.139  0.336 1.113  0.180 1.087  0.024 1.061  -0.132 1.035  -0.288 1.009  -0.443 0.983  -0.556 0.874  -0.668 0.762  -0.780 0.650  -0.892 0.538  -0.919 0.392  -0.919 0.234  -0.919 0.076  -0.919 -0.082  -0.919 -0.240  -0.919 -0.398  -0.831 -0.520  -0.708 -0.616  -0.566 -0.686  -0.422 -0.746  -0.267 -0.758  -0.126 -0.828  0.016 -0.899  0.173 -0.903  0.331 -0.903  0.489 -0.903  0.647 -0.903  0.805 -0.903  0.963 -0.903  1.121 -0.903  1.279 -0.903  1.437 -0.903  1.595 -0.903
3#apa#apa13#app1388/d  0.174 1.853  0.294 1.765  0.349 1.665  0.349 1.509  0.349 1.353  0.349 1.197  0.349 1.041  0.349 0.885  0.349 0.729  0.349 0.573  0.349 0.417  0.349 0.261  0.349 0.105  0.395 -0.032  0.437 -0.171  0.492 -0.304  0.524 -0.227  0.524 -0.071  0.524 0.085  0.425 0.200  0.301 0.276  0.179 0.359  0.025 0.364  -0.131 0.364  -0.285 0.354  -0.424 0.284  -0.578 0.276  -0.699 0.192  -0.770 0.053  -0.890 -0.037  -1.016 -0.125  -1.126 -0.236  -1.140 -0.386  -1.140 -0.542  -1.071 -0.669  -0.960 -0.779  -0.839 -0.862  -0.685 -0.871  -0.545 -0.941  -0.391 -0.950  -0.235 -0.950  -0.079 -0.950  0.077 -0.950  0.233 -0.950  0.389 -0.950  0.533 -0.902  0.680 -0.862  0.835 -0.850  0.986 -0.813  1.137 -0.775
3#apa#apa13#app1388/a  0.094 0.067  0.145 0.192  0.218 0.294  0.218 0.470  0.218 0.645  0.126 0.783  0.001 0.907  -0.161 0.940  -0.337 0.940  -0.513 0.940  -0.689 0.940  -0.839 0.879  -0.980 0.777  -1.137 0.698  -1.265 0.579  -1.301 0.418  -1.403 0.284  -1.403 0.108  -1.396 -0.065  -1.274 -0.191  -1.195 -0.348  -1.071 -0.432  -0.934 -0.526  -0.771 -0.557  -0.595 -0.557  -0.420 -0.557  -0.244 -0.557  -0.068 -0.557  0.108 -0.557  0.284 -0.557  0.460 -0.557  0.586 -0.438  0.747 -0.402  0.871 -0.278  0.996 -0.153  1.091 -0.017  1.091 0.159  0.990 0.293  0.824 0.316  0.648 0.316  0.592 0.196  0.592 0.020  0.592 -0.156  0.592 -0.332  0.646 -0.485  0.770 -0.610  0.895 -0.734  1.041 -0.806  1.216 -0.806  1.341 -0.931
3#apa#apa13#app1388/l  -0.068 1.704  -0.068 1.634  -0.068 1.564  -0.068 1.494  -0.068 1.424  -0.068 1.354  -0.068 1.284  -0.068 1.214  -0.068 1.144  -0.068 1.073  -0.068 1.003  -0.068 0.933  -0.068 0.863  -0.068 0.793  -0.068 0.723  -0.068 0.653  -0.068 0.583  -0.068 0.513  -0.068 0.443  -0.068 0.373  -0.068 0.302  -0.068 0.232  -0.068 0.162  -0.068 0.092  -0.068 0.022  -0.068 -0.048  -0.068 -0.118  -0.068 -0.188  -0.047 -0.255  -0.024 -0.321  -0.002 -0.388  0.020 -0.454  0.037 -0.522  0.037 -0.592  0.037 -0.662  0.037 -0.732  0.037 -0.802  0.037 -0.872  0.044 -0.940  0.075 -1.003  0.107 -1.066  0.138 -1.129  0.142 -1.198  0.142 -1.268  0.142 -1.338  0.142 -1.408  0.154 -1.475  0.185 -1.538  0.216 -1.601  0.248 -1.663
3#apa#apa13#app1388/o  -0.617 0.589  -0.745 0.589  -0.830 0.545  -0.876 0.437  -0.936 0.333  -0.982 0.224  -1.042 0.122  -1.042 -0.006  -1.042 -0.134  -1.042 -0.262  -1.001 -0.384  -0.961 -0.505  -0.901 -0.615  -0.830 -0.713  -0.781 -0.792  -0.653 -0.792  -0.552 -0.857  -0.441 -0.898  -0.313 -0.898  -0.185 -0.898  -0.057 -0.898  0.066 -0.875  0.180 -0.818  0.282 -0.743  0.386 -0.686  0.514 -0.686  0.615 -0.622  0.706 -0.531  0.796 -0.441  0.881 -0.346  0.938 -0.231  1.019 -0.155  1.082 -0.091  1.082 0.037  1.082 0.165  1.082 0.293  1.051 0.408  0.960 0.499  0.870 0.589  0.755 0.646  0.644 0.708  0.554 0.799  0.448 0.870  0.341 0.941  0.235 1.012  0.107 1.014  -0.021 1.014  -0.149 1.014  -0.277 1.014  -0.405 1.014
3#apa#apa13#app1388/n  -1.168 0.502  -1.168 0.351  -1.168 0.199  -1.168 0.048  -1.082 -0.068  -1.006 -0.188  -1.006 -0.340  -1.006 -0.491  -1.006 -0.643  -1.003 -0.793  -0.896 -0.900  -0.765 -0.951  -0.683 -0.882  -0.683 -0.730  -0.648 -0.593  -0.541 -0.486  -0.522 -0.343  -0.441 -0.225  -0.360 -0.107  -0.341 0.037  -0.234 0.144  -0.199 0.281  -0.134 0.406  -0.027 0.513  0.081 0.620  0.124 0.753  0.204 0.825  0.335 0.875  0.442 0.982  0.592 0.987  0.609 1.121  0.733 1.148  0.770 1.034  0.770 0.882  0.770 0.731  0.770 0.579  0.718 0.450  0.611 0.343  0.609 0.192  0.609 0.040  0.609 -0.111  0.609 -0.263  0.609 -0.414  0.708 -0.467  0.770 -0.556  0.826 -0.684  0.933 -0.791  1.040 -0.898  1.148 -1.006  1.255 -1.113
3#apa#apa13#app1388/g  0.414 0.830  0.329 0.916  0.279 1.015  0.212 1.108  0.151 1.167  0.044 1.200  -0.062 1.235  -0.182 1.235  -0.275 1.167  -0.327 1.099  -0.327 0.979  -0.327 0.859  -0.310 0.746  -0.215 0.673  -0.111 0.615  -0.013 0.561  0.107 0.561  0.228 0.561  0.348 0.562  0.440 0.628  0.469 0.696  0.414 0.631  0.346 0.578  0.279 0.525  0.279 0.404  0.279 0.284  0.279 0.164  0.279 0.043  0.279 -0.077  0.279 -0.198  0.279 -0.318  0.279 -0.438  0.279 -0.559  0.279 -0.679  0.279 -0.799  0.279 -0.920  0.279 -1.040  0.253 -1.149  0.168 -1.234  0.057 -1.258  -0.063 -1.258  -0.184 -1.258  -0.304 -1.258  -0.424 -1.258  -0.545 -1.258  -0.665 -1.258  -0.783 -1.241  -0.897 -1.203  -1.015 -1.190  -1.136 -1.190
3#apa#apa13#app1388/s  0.922 1.231  0.817 1.126  0.681 1.094  0.533 1.094  0.384 1.094  0.275 0.997  0.143 0.956  -0.005 0.956  -0.121 0.876  -0.246 0.818  -0.372 0.763  -0.486 0.681  -0.635 0.681  -0.730 0.627  -0.665 0.543  -0.592 0.467  -0.505 0.405  -0.356 0.405  -0.207 0.405  -0.094 0.320  0.033 0.268  0.182 0.268  0.320 0.224  0.454 0.158  0.596 0.130  0.647 0.032  0.744 -0.056  0.877 -0.123  0.922 -0.244  0.922 -0.393  0.922 -0.541  0.922 -0.690  0.784 -0.701  0.767 -0.833  0.619 -0.833  0.470 -0.833  0.321 -0.833  0.172 -0.833  0.024 -0.833  -0.125 -0.833  -0.274 -0.833  -0.423 -0.833  -0.571 -0.833  -0.720 -0.833  -0.869 -0.833  -1.018 -0.833  -1.166 -0.833  -1.305 -0.809  -1.410 -0.703  -1.556 -0.696
3#apa#apa13#app1388/i  0.007 0.040  0.007 -0.064  0.070 -0.142  0.126 -0.223  0.126 -0.328  0.126 -0.432  0.126 -0.537  0.126 -0.641  0.126 -0.745  0.126 -0.850  0.145 -0.949  0.192 -1.043  0.238 -1.136  0.245 -1.239  0.319 -1.269  0.364 -1.329  0.353 -1.345  0.327 -1.244  0.301 -1.143  0.274 -1.042  0.248 -0.941  0.222 -0.840  0.196 -0.739  0.170 -0.638  0.143 -0.537  0.117 -0.436  0.091 -0.335  0.065 -0.234  0.039 -0.133  0.012 -0.032  -0.014 0.069  -0.040 0.170  -0.066 0.271  -0.092 0.372  -0.118 0.473  -0.145 0.574  -0.171 0.675  -0.197 0.776  -0.223 0.878  -0.249 0.979  -0.276 1.080  -0.302 1.181  -0.328 1.282  -0.354 1.383  -0.380 1.484  -0.407 1.585  -0.433 1.686  -0.459 1.787  -0.424 1.871  -0.350 1.945
3#apa#apa13#app1388/d  0.269 1.852  0.348 1.750  0.403 1.638  0.437 1.516  0.497 1.395  0.507 1.263  0.546 1.137  0.586 1.012  0.586 0.877  0.586 0.743  0.586 0.608  0.586 0.473  0.586 0.338  0.586 0.204  0.586 0.069  0.546 -0.056  0.507 -0.182  0.507 -0.316  0.507 -0.293  0.468 -0.175  0.373 -0.079  0.334 0.039  0.239 0.134  0.124 0.184  -0.010 0.184  -0.145 0.184  -0.280 0.184  -0.415 0.184  -0.532 0.127  -0.644 0.052  -0.745 -0.036  -0.824 -0.145  -0.899 -0.257  -0.988 -0.358  -1.082 -0.453  -1.082 -0.588  -1.058 -0.713  -0.963 -0.808  -0.853 -0.884  -0.731 -0.939  -0.603 -0.982  -0.473 -1.008  -0.338 -1.008  -0.203 -1.008  -0.068 -1.008  0.066 -1.008  0.201 -1.008  0.329 -0.978  0.452 -0.928  0.586 -0.928
3#apa#apa13#app1388/e  0.133 -0.070  0.151 0.047  0.250 0.083  0.288 0.202  0.366 0.305  0.397 0.428  0.483 0.527  0.483 0.662  0.448 0.783  0.352 0.878  0.257 0.974  0.125 0.981  -0.010 0.981  -0.132 0.949  -0.232 0.864  -0.367 0.864  -0.497 0.841  -0.618 0.781  -0.727 0.705  -0.823 0.609  -0.919 0.514  -1.014 0.418  -1.068 0.297  -1.111 0.169  -1.152 0.040  -1.152 -0.095  -1.133 -0.225  -1.072 -0.346  -0.983 -0.421  -0.848 -0.421  -0.739 -0.483  -0.626 -0.537  -0.491 -0.537  -0.361 -0.567  -0.233 -0.610  -0.105 -0.653  0.030 -0.654  0.165 -0.654  0.301 -0.654  0.436 -0.654  0.571 -0.654  0.706 -0.654  0.841 -0.654  0.976 -0.654  1.111 -0.654  1.246 -0.654  1.381 -0.654  1.511 -0.623  1.640 -0.580  1.768 -0.537
3#apa#apa13#app1388/a  0.965 0.116  0.933 0.280  0.832 0.415  0.776 0.569  0.631 0.646  0.567 0.759  0.455 0.890  0.287 0.911  0.110 0.911  -0.068 0.911  -0.237 0.864  -0.405 0.808  -0.578 0.779  -0.755 0.779  -0.881 0.656  -1.037 0.573  -1.176 0.475  -1.255 0.316  -1.391 0.248  -1.422 0.102  -1.422 -0.075  -1.422 -0.252  -1.318 -0.386  -1.152 -0.415  -0.975 -0.415  -0.798 -0.415  -0.621 -0.415  -0.444 -0.415  -0.266 -0.415  -0.090 -0.412  0.068 -0.332  0.234 -0.282  0.411 -0.282  0.582 -0.267  0.707 -0.142  0.832 -0.016  0.832 0.161  0.742 0.248  0.698 0.116  0.567 0.069  0.502 -0.081  0.434 -0.230  0.434 -0.407  0.434 -0.585  0.492 -0.738  0.618 -0.863  0.727 -1.000  0.806 -1.158  0.939 -1.263  1.097 -1.343
