2#tos#t2#t2004060/!  0.408 1.456  0.363 1.414  0.323 1.462  0.372 1.505  0.408 1.505  0.408 1.417  0.342 1.371  0.323 1.302  0.323 1.214  0.323 1.126  0.268 1.061  0.238 0.986  0.204 0.912  0.196 0.828  0.170 0.751  0.153 0.670  0.153 0.582  0.153 0.494  0.132 0.415  0.070 0.353  0.038 0.278  0.026 0.195  0.012 0.111  -0.017 0.030  -0.017 -0.058  -0.017 -0.146  -0.046 -0.216  -0.120 -0.262  -0.155 -0.329  -0.187 -0.300  -0.187 -0.387  -0.187 -0.475  -0.187 -0.563  -0.187 -0.651  -0.187 -0.739  -0.187 -0.827  -0.187 -0.914  -0.187 -1.002  -0.187 -1.090  -0.228 -1.136  -0.307 -1.175  -0.314 -1.258  -0.328 -1.292  -0.357 -1.281  -0.357 -1.193  -0.283 -1.179  -0.229 -1.145  -0.229 -1.215  -0.229 -1.303  -0.314 -1.306
2#tos#t2#t2004060/5  -0.490 1.191  -0.600 1.095  -0.600 0.890  -0.600 0.685  -0.600 0.480  -0.600 0.275  -0.600 0.070  -0.538 -0.062  -0.381 0.014  -0.332 0.199  -0.152 0.259  -0.002 0.314  0.173 0.247  0.318 0.150  0.441 0.068  0.557 -0.026  0.624 -0.215  0.661 -0.412  0.661 -0.617  0.661 -0.822  0.661 -1.027  0.661 -1.232  0.504 -1.314  0.387 -1.458  0.334 -1.630  0.135 -1.658  -0.070 -1.658  -0.121 -1.491  -0.147 -1.288  -0.173 -1.085  -0.199 -0.881  -0.225 -0.678  -0.251 -0.475  -0.277 -0.271  -0.303 -0.068  -0.329 0.136  -0.355 0.339  -0.381 0.542  -0.407 0.746  -0.433 0.949  -0.618 0.972  -0.487 0.972  -0.282 0.972  -0.076 0.972  0.129 0.972  0.334 0.972  0.539 0.972  0.744 0.972  0.949 0.972  1.154 0.972
2#tos#t2#t2004060/8  0.713 0.751  0.557 0.708  0.557 0.576  0.557 0.775  0.473 0.939  0.401 1.109  0.280 1.237  0.107 1.324  -0.092 1.324  -0.291 1.324  -0.490 1.324  -0.642 1.277  -0.747 1.152  -0.747 0.952  -0.698 0.761  -0.590 0.627  -0.528 0.487  -0.344 0.413  -0.225 0.278  -0.131 0.146  0.036 0.096  0.052 -0.094  0.223 -0.188  0.306 -0.311  0.395 -0.490  0.453 -0.675  0.453 -0.874  0.505 -1.022  0.505 -1.221  0.380 -1.335  0.193 -1.387  -0.007 -1.387  -0.206 -1.387  -0.403 -1.376  -0.592 -1.333  -0.747 -1.219  -0.747 -1.020  -0.700 -0.829  -0.642 -0.639  -0.532 -0.525  -0.403 -0.408  -0.258 -0.325  -0.116 -0.185  0.072 -0.135  0.205 -0.026  0.390 0.048  0.585 0.073  0.628 0.229  0.827 0.229  1.026 0.229
2#tos#t2#t2004060/9  0.238 0.240  0.203 0.057  0.247 0.023  0.385 0.129  0.480 0.240  0.570 0.355  0.570 0.560  0.472 0.724  0.356 0.892  0.238 0.985  0.129 1.122  -0.074 1.124  -0.224 1.179  -0.428 1.176  -0.611 1.124  -0.650 0.958  -0.732 0.817  -0.868 0.733  -0.918 0.534  -0.922 0.329  -0.977 0.137  -0.977 -0.068  -0.962 -0.257  -0.757 -0.257  -0.663 -0.368  -0.462 -0.343  -0.273 -0.264  -0.094 -0.166  0.089 -0.092  0.236 0.034  0.349 0.201  0.404 0.351  0.404 0.556  0.459 0.705  0.404 0.619  0.349 0.470  0.349 0.265  0.349 0.060  0.349 -0.145  0.307 -0.340  0.294 -0.542  0.294 -0.747  0.294 -0.952  0.294 -1.157  0.294 -1.362  0.294 -1.567  0.275 -1.770  0.199 -1.954  0.183 -2.152  0.238 -2.192
2#tos#t2#t2004060/A  -0.717 -0.784  -0.833 -0.970  -0.971 -1.143  -1.053 -1.275  -1.049 -1.055  -0.997 -0.846  -0.868 -0.668  -0.773 -0.474  -0.773 -0.253  -0.654 -0.074  -0.546 0.118  -0.468 0.324  -0.395 0.531  -0.251 0.635  -0.214 0.851  -0.177 1.061  -0.026 1.212  0.010 1.411  0.031 1.629  0.120 1.678  0.174 1.510  0.227 1.342  0.290 1.184  0.329 0.987  0.402 0.811  0.458 0.603  0.500 0.388  0.566 0.177  0.681 0.003  0.681 -0.218  0.774 -0.382  0.862 -0.573  0.969 -0.751  1.066 -0.944  0.989 -1.011  0.802 -0.893  0.615 -0.775  0.428 -0.657  0.241 -0.540  0.054 -0.422  -0.133 -0.304  -0.320 -0.186  -0.517 -0.132  -0.589 -0.168  -0.368 -0.168  -0.147 -0.168  0.074 -0.168  0.295 -0.168  0.516 -0.168  0.681 -0.112
2#tos#t2#t2004060/B  -0.259 1.533  -0.268 1.550  -0.259 1.280  -0.259 1.007  -0.259 0.735  -0.293 0.466  -0.314 0.196  -0.356 -0.073  -0.370 -0.344  -0.370 -0.616  -0.370 -0.889  -0.370 -1.161  -0.426 -1.411  -0.432 -1.168  -0.438 -0.896  -0.444 -0.623  -0.451 -0.351  -0.457 -0.079  -0.463 0.194  -0.469 0.466  -0.475 0.739  -0.481 1.011  -0.452 1.254  -0.179 1.254  0.092 1.248  0.353 1.170  0.579 1.056  0.756 0.919  0.858 0.747  0.813 0.498  0.614 0.320  0.454 0.137  0.188 0.110  -0.077 0.081  -0.327 0.026  -0.142 0.026  0.131 0.026  0.403 0.026  0.676 0.026  0.810 -0.198  0.948 -0.365  0.969 -0.616  0.806 -0.809  0.709 -1.004  0.467 -1.095  0.246 -1.146  0.020 -1.258  -0.239 -1.314  -0.489 -1.370  -0.705 -1.314
2#tos#t2#t2004060/E  -0.327 1.425  -0.382 1.135  -0.382 0.823  -0.382 0.511  -0.382 0.198  -0.434 -0.108  -0.493 -0.410  -0.493 -0.723  -0.493 -1.035  -0.438 -1.338  -0.438 -1.246  -0.438 -0.933  -0.438 -0.621  -0.438 -0.309  -0.438 0.004  -0.438 0.316  -0.438 0.628  -0.438 0.940  -0.652 1.038  -0.597 1.204  -0.284 1.204  0.028 1.204  0.340 1.204  0.653 1.204  0.933 1.093  0.998 1.016  0.741 0.837  0.485 0.659  0.228 0.481  -0.028 0.302  -0.303 0.162  -0.531 0.039  -0.400 -0.012  -0.087 -0.012  0.225 -0.012  0.482 0.044  0.794 0.044  1.107 0.044  0.900 -0.157  0.643 -0.334  0.387 -0.512  0.130 -0.690  -0.127 -0.868  -0.327 -1.075  -0.452 -1.227  -0.140 -1.227  0.172 -1.227  0.485 -1.227  0.797 -1.227  1.109 -1.227
2#tos#t2#t2004060/M  -0.522 1.188  -0.645 1.097  -0.645 0.884  -0.645 0.671  -0.645 0.457  -0.686 0.249  -0.714 0.040  -0.727 -0.171  -0.751 -0.381  -0.768 -0.593  -0.768 -0.806  -0.768 -1.019  -0.850 -1.182  -0.820 -0.980  -0.789 -0.769  -0.758 -0.558  -0.727 -0.347  -0.696 -0.136  -0.666 0.075  -0.635 0.286  -0.604 0.498  -0.573 0.709  -0.686 0.758  -0.604 0.596  -0.522 0.409  -0.440 0.229  -0.354 0.037  -0.195 -0.102  -0.113 -0.273  0.051 -0.354  0.240 -0.409  0.296 -0.252  0.427 -0.106  0.555 0.040  0.701 0.163  0.747 0.356  0.883 0.465  0.992 0.640  0.992 0.854  1.115 0.858  1.115 0.645  1.115 0.431  1.115 0.218  1.115 0.005  1.115 -0.208  1.115 -0.422  1.156 -0.628  1.156 -0.842  1.156 -1.055  1.156 -1.268
2#tos#t2#t2004060/O  -0.415 1.049  -0.550 1.037  -0.550 0.889  -0.641 0.778  -0.686 0.649  -0.729 0.511  -0.776 0.371  -0.776 0.223  -0.776 0.076  -0.776 -0.072  -0.776 -0.220  -0.748 -0.361  -0.731 -0.505  -0.686 -0.642  -0.686 -0.790  -0.572 -0.877  -0.519 -0.982  -0.415 -1.052  -0.305 -1.136  -0.168 -1.162  -0.020 -1.162  0.128 -1.162  0.275 -1.162  0.374 -1.094  0.516 -1.053  0.623 -0.989  0.704 -0.873  0.797 -0.769  0.803 -0.622  0.875 -0.504  0.894 -0.364  0.894 -0.216  0.889 -0.069  0.848 0.069  0.848 0.217  0.786 0.316  0.720 0.448  0.713 0.594  0.614 0.643  0.556 0.733  0.457 0.793  0.317 0.823  0.259 0.914  0.111 0.914  0.036 0.987  -0.094 1.004  -0.242 1.004  -0.390 1.004  -0.460 0.926  -0.550 0.869
2#tos#t2#t2004060/P  -0.139 1.288  -0.304 1.226  -0.304 0.999  -0.304 0.771  -0.304 0.544  -0.304 0.317  -0.304 0.090  -0.286 -0.134  -0.249 -0.355  -0.249 -0.582  -0.249 -0.810  -0.249 -1.037  -0.235 -1.260  -0.194 -1.478  -0.139 -1.682  -0.147 -1.761  -0.170 -1.535  -0.193 -1.310  -0.216 -1.084  -0.239 -0.858  -0.262 -0.632  -0.285 -0.406  -0.308 -0.180  -0.331 0.046  -0.355 0.272  -0.378 0.498  -0.401 0.724  -0.514 0.850  -0.523 1.068  -0.320 1.124  -0.115 1.179  0.112 1.179  0.339 1.179  0.509 1.087  0.683 1.026  0.788 0.905  0.948 0.795  1.063 0.640  1.121 0.427  1.121 0.200  1.071 0.003  0.924 -0.140  0.712 -0.191  0.532 -0.311  0.311 -0.366  0.090 -0.410  -0.138 -0.410  -0.356 -0.465  -0.570 -0.520  -0.687 -0.520
2#tos#t2#t2004060/Q  0.373 -0.415  0.295 -0.585  0.175 -0.712  -0.030 -0.754  -0.277 -0.754  -0.516 -0.711  -0.724 -0.607  -0.896 -0.450  -1.039 -0.288  -1.072 -0.071  -1.108 0.161  -1.108 0.408  -1.108 0.655  -0.981 0.840  -0.850 0.981  -0.772 1.151  -0.560 1.248  -0.396 1.381  -0.166 1.404  0.081 1.404  0.317 1.376  0.518 1.284  0.635 1.083  0.773 0.897  0.845 0.703  0.881 0.478  0.881 0.231  0.799 0.010  0.712 -0.183  0.581 -0.377  0.522 -0.595  0.316 -0.726  0.165 -0.839  -0.082 -0.839  -0.287 -0.745  -0.427 -0.614  -0.516 -0.431  -0.516 -0.184  -0.460 0.008  -0.307 0.133  -0.060 0.135  0.131 0.070  0.250 -0.084  0.342 -0.278  0.426 -0.500  0.542 -0.630  0.617 -0.818  0.785 -0.966  1.032 -0.966  1.262 -0.923
2#tos#t2#t2004060/T  0.252 0.740  0.113 0.705  0.113 0.531  0.113 0.357  0.113 0.183  0.204 0.047  0.205 -0.127  0.205 -0.300  0.252 -0.455  0.252 -0.629  0.252 -0.803  0.295 -0.967  0.298 -1.140  0.298 -1.314  0.298 -1.488  0.298 -1.662  0.197 -1.556  0.121 -1.400  0.044 -1.244  -0.032 -1.088  -0.109 -0.932  -0.186 -0.776  -0.262 -0.620  -0.339 -0.463  -0.416 -0.307  -0.492 -0.151  -0.569 0.005  -0.646 0.161  -0.722 0.317  -0.799 0.473  -0.876 0.629  -0.952 0.786  -1.068 0.879  -1.137 0.773  -0.996 0.740  -0.822 0.740  -0.648 0.740  -0.475 0.740  -0.301 0.739  -0.134 0.694  0.040 0.694  0.214 0.694  0.385 0.672  0.556 0.647  0.730 0.647  0.904 0.647  1.077 0.647  1.246 0.607  1.408 0.590  1.501 0.601
2#tos#t2#t2004060/V  -0.734 1.265  -0.862 1.265  -0.916 1.192  -0.916 1.064  -0.905 0.939  -0.843 0.828  -0.753 0.738  -0.663 0.648  -0.613 0.541  -0.612 0.413  -0.572 0.292  -0.531 0.171  -0.491 0.050  -0.487 -0.077  -0.416 -0.183  -0.370 -0.296  -0.370 -0.424  -0.370 -0.552  -0.369 -0.679  -0.298 -0.785  -0.249 -0.898  -0.208 -1.001  -0.127 -1.078  -0.127 -1.206  -0.028 -1.273  0.055 -1.326  0.116 -1.296  0.197 -1.202  0.237 -1.091  0.237 -0.963  0.244 -0.837  0.285 -0.716  0.298 -0.590  0.298 -0.462  0.386 -0.390  0.419 -0.282  0.473 -0.171  0.540 -0.064  0.564 0.060  0.603 0.182  0.634 0.306  0.662 0.430  0.662 0.558  0.724 0.660  0.803 0.758  0.844 0.876  0.844 1.004  0.844 1.131  0.898 1.205  0.965 1.265
2#tos#t2#t2004060/a  0.369 0.187  0.369 -0.032  0.369 -0.252  0.512 -0.298  0.649 -0.177  0.655 0.040  0.655 0.259  0.655 0.479  0.586 0.682  0.441 0.758  0.369 0.961  0.248 1.105  0.046 1.153  -0.159 1.187  -0.378 1.187  -0.567 1.112  -0.771 1.044  -0.957 0.933  -0.988 0.726  -1.014 0.518  -1.131 0.346  -1.189 0.141  -1.202 -0.076  -1.202 -0.295  -1.202 -0.514  -1.202 -0.734  -1.103 -0.912  -0.902 -0.956  -0.682 -0.956  -0.468 -0.925  -0.327 -0.813  -0.123 -0.791  -0.059 -0.582  0.078 -0.436  0.155 -0.258  0.299 -0.098  0.369 0.105  0.369 0.325  0.369 0.544  0.441 0.539  0.441 0.320  0.441 0.100  0.455 -0.113  0.584 -0.279  0.661 -0.468  0.727 -0.672  0.859 -0.813  1.017 -0.961  1.138 -1.099  1.298 -1.242
2#tos#t2#t2004060/b  -0.183 2.125  -0.306 2.018  -0.306 1.823  -0.306 1.629  -0.306 1.435  -0.306 1.241  -0.306 1.047  -0.306 0.853  -0.306 0.659  -0.306 0.465  -0.306 0.271  -0.306 0.076  -0.306 -0.118  -0.306 -0.312  -0.306 -0.506  -0.306 -0.700  -0.306 -0.894  -0.306 -1.088  -0.306 -1.099  -0.306 -0.905  -0.306 -0.711  -0.306 -0.517  -0.306 -0.323  -0.306 -0.128  -0.457 -0.085  -0.551 0.014  -0.530 0.203  -0.403 0.341  -0.251 0.461  -0.074 0.528  0.120 0.528  0.314 0.528  0.508 0.528  0.691 0.507  0.799 0.345  0.944 0.278  0.984 0.090  0.984 -0.104  0.984 -0.298  0.877 -0.420  0.730 -0.541  0.677 -0.706  0.660 -0.884  0.469 -0.895  0.291 -0.971  0.185 -1.090  0.031 -1.129  -0.102 -1.191  -0.296 -1.191  -0.367 -1.191
2#tos#t2#t2004060/c  0.435 0.722  0.315 0.662  0.292 0.534  0.259 0.404  0.289 0.384  0.371 0.447  0.417 0.553  0.499 0.636  0.499 0.771  0.460 0.889  0.341 0.945  0.243 1.009  0.142 1.042  0.007 1.042  -0.121 1.006  -0.251 0.978  -0.386 0.978  -0.463 0.883  -0.553 0.805  -0.591 0.694  -0.679 0.614  -0.759 0.514  -0.783 0.385  -0.844 0.276  -0.911 0.169  -0.911 0.035  -0.911 -0.100  -0.911 -0.234  -0.911 -0.369  -0.905 -0.499  -0.785 -0.559  -0.719 -0.628  -0.667 -0.741  -0.537 -0.753  -0.403 -0.753  -0.273 -0.777  -0.148 -0.827  -0.023 -0.877  0.110 -0.881  0.245 -0.881  0.379 -0.881  0.514 -0.881  0.648 -0.881  0.782 -0.881  0.917 -0.881  1.051 -0.881  1.186 -0.881  1.256 -0.817  1.332 -0.759  1.461 -0.753
2#tos#t2#t2004060/h  -0.332 1.782  -0.378 1.885  -0.417 1.900  -0.383 1.759  -0.354 1.613  -0.332 1.467  -0.332 1.318  -0.332 1.168  -0.332 1.019  -0.332 0.870  -0.332 0.720  -0.332 0.571  -0.332 0.422  -0.332 0.273  -0.332 0.123  -0.332 -0.026  -0.332 -0.175  -0.345 -0.322  -0.383 -0.465  -0.383 -0.615  -0.383 -0.764  -0.374 -0.910  -0.332 -1.041  -0.383 -1.139  -0.383 -1.029  -0.383 -0.879  -0.383 -0.730  -0.333 -0.593  -0.332 -0.444  -0.231 -0.336  -0.125 -0.261  -0.078 -0.131  -0.022 -0.005  0.068 0.099  0.187 0.186  0.316 0.234  0.404 0.163  0.486 0.039  0.545 -0.056  0.545 -0.206  0.545 -0.355  0.562 -0.488  0.625 -0.595  0.648 -0.739  0.700 -0.837  0.786 -0.900  0.906 -0.929  1.033 -0.952  1.128 -0.893  1.216 -0.797
2#tos#t2#t2004060/i  0.117 -0.024  0.005 -0.024  -0.022 -0.108  -0.022 -0.220  -0.022 -0.331  -0.022 -0.443  -0.022 -0.554  -0.022 -0.666  -0.022 -0.777  -0.022 -0.889  -0.022 -1.000  -0.022 -1.112  -0.022 -1.223  -0.022 -1.335  -0.022 -1.446  -0.021 -1.532  -0.019 -1.421  -0.016 -1.309  -0.013 -1.198  -0.011 -1.086  -0.008 -0.975  -0.006 -0.863  -0.003 -0.752  -0.000 -0.640  0.002 -0.529  0.005 -0.417  0.008 -0.306  0.010 -0.194  0.013 -0.083  0.016 0.029  0.018 0.140  0.021 0.252  0.024 0.363  0.026 0.474  0.029 0.586  0.032 0.697  0.034 0.809  0.037 0.920  0.040 1.032  0.042 1.143  0.045 1.255  0.047 1.366  0.047 1.478  0.025 1.567  -0.087 1.567  -0.091 1.674  -0.022 1.694  -0.022 1.582  -0.022 1.471  -0.022 1.359
2#tos#t2#t2004060/k  -0.425 2.275  -0.425 2.064  -0.425 1.854  -0.425 1.643  -0.425 1.433  -0.425 1.222  -0.425 1.011  -0.425 0.801  -0.425 0.590  -0.425 0.379  -0.425 0.169  -0.483 -0.018  -0.483 -0.229  -0.483 -0.439  -0.483 -0.650  -0.483 -0.860  -0.483 -1.071  -0.483 -1.282  -0.426 -1.301  -0.309 -1.126  -0.192 -0.951  -0.075 -0.776  0.042 -0.600  0.159 -0.425  0.275 -0.250  0.392 -0.075  0.509 0.101  0.626 0.276  0.743 0.451  0.860 0.627  0.912 0.705  0.776 0.579  0.633 0.439  0.467 0.318  0.289 0.240  0.101 0.165  -0.057 0.027  -0.230 -0.048  -0.370 -0.197  -0.483 -0.315  -0.425 -0.352  -0.288 -0.441  -0.124 -0.516  0.073 -0.574  0.246 -0.664  0.422 -0.749  0.609 -0.807  0.806 -0.865  1.016 -0.865  1.086 -0.923
