2#tos#f1#f1036063/\"  0.356 1.490  0.282 1.560  0.282 1.410  0.351 1.296  0.476 1.213  0.503 1.076  0.503 0.926  0.503 0.775  0.503 0.625  0.517 0.476  0.553 0.330  0.601 0.188  0.668 0.053  0.724 -0.084  0.724 -0.235  0.724 -0.385  0.759 -0.530  0.824 -0.648  0.924 -0.628  0.814 -0.525  0.705 -0.421  0.595 -0.318  0.485 -0.215  0.376 -0.112  0.266 -0.009  0.156 0.095  0.047 0.198  -0.063 0.301  -0.173 0.404  -0.282 0.507  -0.423 0.531  -0.574 0.531  -0.724 0.531  -0.875 0.531  -0.897 0.403  -0.897 0.253  -0.897 0.102  -0.887 -0.047  -0.862 -0.196  -0.837 -0.344  -0.824 -0.494  -0.824 -0.644  -0.769 -0.784  -0.713 -0.924  -0.648 -1.059  -0.564 -1.184  -0.490 -1.315  -0.423 -1.450  -0.340 -1.573  -0.234 -1.680
2#tos#f1#f1036063/[  -0.357 0.993  -0.465 0.993  -0.572 0.993  -0.470 0.993  -0.363 0.993  -0.255 0.993  -0.148 0.993  -0.041 0.993  0.067 0.993  0.174 0.993  0.281 0.993  0.389 0.993  0.442 0.993  0.335 0.993  0.239 0.956  0.147 0.906  0.039 0.906  -0.066 0.899  -0.165 0.863  -0.204 0.778  -0.227 0.676  -0.227 0.569  -0.227 0.461  -0.227 0.354  -0.227 0.247  -0.227 0.139  -0.227 0.032  -0.227 -0.075  -0.227 -0.183  -0.227 -0.290  -0.227 -0.398  -0.227 -0.505  -0.227 -0.612  -0.227 -0.720  -0.227 -0.827  -0.227 -0.934  -0.183 -0.998  -0.145 -1.090  -0.127 -1.182  -0.019 -1.182  0.044 -1.226  0.152 -1.226  0.254 -1.255  0.356 -1.289  0.460 -1.313  0.567 -1.313  0.675 -1.313  0.779 -1.289  0.861 -1.246  0.948 -1.226
2#tos#f1#f1036063/]  -0.683 1.041  -0.778 1.041  -0.874 1.041  -0.878 0.997  -0.782 0.997  -0.689 0.977  -0.596 0.954  -0.501 0.953  -0.406 0.949  -0.315 0.918  -0.221 0.910  -0.125 0.910  -0.034 0.892  0.055 0.866  0.151 0.866  0.247 0.866  0.342 0.866  0.438 0.866  0.456 0.788  0.456 0.692  0.389 0.624  0.368 0.538  0.368 0.442  0.368 0.346  0.368 0.251  0.362 0.157  0.309 0.077  0.280 -0.009  0.280 -0.105  0.280 -0.201  0.280 -0.296  0.280 -0.392  0.280 -0.487  0.280 -0.583  0.280 -0.678  0.280 -0.774  0.280 -0.870  0.280 -0.965  0.280 -1.061  0.280 -1.156  0.238 -1.234  0.143 -1.236  0.054 -1.247  0.001 -1.327  -0.074 -1.367  -0.169 -1.367  -0.265 -1.367  -0.360 -1.367  -0.456 -1.367  -0.551 -1.367
2#tos#f1#f1036063/^  -0.830 -0.195  -0.830 -0.303  -0.835 -0.409  -0.926 -0.469  -1.016 -0.530  -1.040 -0.625  -1.040 -0.734  -1.040 -0.843  -0.985 -0.896  -0.970 -0.803  -0.926 -0.712  -0.849 -0.635  -0.772 -0.559  -0.695 -0.482  -0.658 -0.381  -0.623 -0.278  -0.596 -0.172  -0.570 -0.067  -0.541 0.038  -0.507 0.141  -0.470 0.243  -0.422 0.340  -0.365 0.433  -0.304 0.523  -0.268 0.621  -0.268 0.730  -0.268 0.838  -0.185 0.845  -0.103 0.775  -0.005 0.727  0.092 0.678  0.189 0.630  0.286 0.581  0.384 0.532  0.478 0.478  0.568 0.418  0.656 0.355  0.733 0.278  0.810 0.201  0.899 0.145  1.004 0.119  1.110 0.093  1.181 0.018  1.241 -0.073  1.309 -0.157  1.399 -0.212  1.502 -0.247  1.608 -0.265  1.690 -0.328  1.767 -0.405
2#tos#f1#f1036063/_  0.178 0.539  0.141 0.429  0.104 0.319  0.057 0.216  -0.025 0.134  -0.107 0.052  -0.210 0.001  -0.318 -0.040  -0.427 -0.080  -0.536 -0.121  -0.644 -0.162  -0.753 -0.203  -0.861 -0.243  -0.972 -0.272  -1.088 -0.272  -1.204 -0.272  -1.320 -0.272  -1.436 -0.272  -1.440 -0.374  -1.324 -0.374  -1.208 -0.374  -1.091 -0.374  -0.982 -0.345  -0.878 -0.293  -0.771 -0.250  -0.661 -0.214  -0.551 -0.177  -0.441 -0.140  -0.331 -0.103  -0.220 -0.068  -0.105 -0.054  0.010 -0.040  0.125 -0.025  0.240 -0.011  0.355 0.004  0.471 0.018  0.586 0.033  0.697 0.065  0.809 0.097  0.920 0.128  1.032 0.160  1.143 0.192  1.255 0.224  1.363 0.265  1.470 0.311  1.577 0.356  1.683 0.402  1.790 0.448  1.897 0.494  2.003 0.539
2#tos#f1#f1036063/{  0.412 1.469  0.351 1.530  0.261 1.569  0.180 1.545  0.092 1.514  0.080 1.414  0.080 1.308  0.080 1.202  0.080 1.096  0.080 0.991  0.080 0.885  0.068 0.782  0.033 0.683  0.014 0.580  -0.009 0.483  -0.073 0.400  -0.086 0.298  -0.144 0.216  -0.185 0.127  -0.264 0.075  -0.303 0.009  -0.409 0.009  -0.484 0.039  -0.484 0.145  -0.454 0.238  -0.363 0.274  -0.257 0.274  -0.162 0.250  -0.087 0.175  -0.053 0.075  -0.027 -0.027  0.022 -0.119  0.047 -0.218  0.047 -0.323  0.047 -0.429  0.047 -0.535  0.047 -0.640  0.047 -0.746  0.047 -0.852  0.047 -0.958  0.047 -1.063  0.047 -1.169  0.047 -1.275  0.047 -1.381  0.047 -1.486  0.103 -1.575  0.186 -1.638  0.247 -1.719  0.340 -1.751  0.445 -1.751
2#tos#f1#f1036063/}  -0.338 1.261  -0.433 1.261  -0.456 1.332  -0.379 1.350  -0.285 1.350  -0.190 1.350  -0.121 1.316  -0.095 1.226  -0.033 1.155  0.018 1.076  0.077 1.002  0.107 0.917  0.137 0.829  0.137 0.735  0.137 0.640  0.137 0.545  0.137 0.450  0.148 0.360  0.199 0.282  0.264 0.252  0.359 0.252  0.396 0.312  0.331 0.341  0.236 0.341  0.141 0.341  0.073 0.277  0.032 0.198  -0.011 0.116  -0.031 0.025  -0.066 -0.063  -0.071 -0.157  -0.071 -0.252  -0.071 -0.347  -0.071 -0.442  -0.071 -0.537  -0.071 -0.632  -0.071 -0.727  -0.018 -0.806  0.009 -0.896  0.018 -0.990  0.018 -1.085  0.018 -1.179  0.018 -1.274  0.018 -1.369  0.018 -1.464  0.005 -1.556  -0.038 -1.640  -0.041 -1.735  -0.064 -1.827  -0.100 -1.914
2#tos#f1#f1036063/1  0.392 1.066  0.453 1.107  0.514 1.149  0.547 1.215  0.554 1.288  0.542 1.350  0.499 1.307  0.476 1.236  0.432 1.177  0.386 1.119  0.339 1.061  0.301 0.999  0.275 0.930  0.249 0.860  0.223 0.791  0.197 0.722  0.177 0.651  0.159 0.579  0.141 0.507  0.123 0.435  0.104 0.364  0.080 0.293  0.057 0.223  0.033 0.153  0.010 0.083  -0.013 0.012  -0.041 -0.056  -0.068 -0.125  -0.096 -0.194  -0.123 -0.263  -0.151 -0.332  -0.179 -0.400  -0.208 -0.468  -0.237 -0.536  -0.266 -0.604  -0.295 -0.672  -0.307 -0.745  -0.317 -0.819  -0.328 -0.892  -0.339 -0.965  -0.359 -1.036  -0.380 -1.108  -0.400 -1.179  -0.420 -1.250  -0.438 -1.322  -0.456 -1.394  -0.459 -1.468  -0.459 -1.542  -0.459 -1.616  -0.459 -1.690
2#tos#f1#f1036063/2  0.083 1.309  -0.033 1.309  -0.148 1.309  -0.087 1.309  0.010 1.263  0.122 1.235  0.236 1.223  0.350 1.210  0.462 1.182  0.504 1.078  0.599 1.051  0.681 0.969  0.728 0.873  0.744 0.761  0.771 0.652  0.771 0.537  0.771 0.421  0.688 0.350  0.592 0.286  0.497 0.221  0.407 0.149  0.317 0.077  0.216 0.021  0.113 -0.031  0.013 -0.089  -0.077 -0.161  -0.167 -0.233  -0.266 -0.292  -0.366 -0.349  -0.467 -0.406  -0.573 -0.450  -0.680 -0.493  -0.780 -0.551  -0.879 -0.610  -0.986 -0.653  -1.016 -0.713  -0.911 -0.754  -0.801 -0.791  -0.688 -0.801  -0.584 -0.853  -0.479 -0.899  -0.368 -0.928  -0.257 -0.936  -0.193 -1.032  -0.093 -1.078  0.019 -1.100  0.134 -1.103  0.244 -1.140  0.357 -1.164  0.470 -1.186
2#tos#f1#f1036063/4  -0.000 1.308  -0.118 1.277  -0.204 1.111  -0.322 0.980  -0.361 0.805  -0.510 0.688  -0.647 0.564  -0.756 0.410  -0.891 0.275  -1.038 0.155  -1.177 0.024  -1.355 -0.039  -1.276 -0.084  -1.086 -0.084  -0.895 -0.084  -0.705 -0.084  -0.514 -0.084  -0.323 -0.084  -0.133 -0.084  0.058 -0.084  0.239 -0.140  0.427 -0.156  0.604 -0.226  0.791 -0.263  0.968 -0.319  1.139 -0.321  1.105 -0.133  1.070 0.054  1.035 0.241  1.001 0.429  0.966 0.616  0.963 0.807  0.820 0.898  0.636 0.894  0.545 0.740  0.479 0.562  0.387 0.395  0.319 0.219  0.264 0.036  0.172 -0.129  0.091 -0.298  0.049 -0.484  -0.009 -0.665  -0.076 -0.844  -0.142 -1.022  -0.209 -1.201  -0.276 -1.379  -0.286 -1.568  -0.391 -1.723  -0.429 -1.905
2#tos#f1#f1036063/5  0.324 1.246  0.357 1.399  0.308 1.334  0.233 1.192  0.181 1.041  0.109 0.898  0.038 0.755  -0.022 0.605  -0.063 0.453  -0.085 0.297  -0.096 0.139  -0.096 -0.022  -0.009 -0.133  0.086 -0.261  0.167 -0.392  0.248 -0.530  0.329 -0.669  0.357 -0.823  0.357 -0.983  0.340 -1.139  0.239 -1.263  0.104 -1.339  -0.057 -1.339  -0.217 -1.330  -0.375 -1.303  -0.529 -1.264  -0.656 -1.166  -0.785 -1.070  -0.903 -0.968  -0.932 -0.884  -0.814 -0.780  -0.732 -0.642  -0.650 -0.504  -0.568 -0.365  -0.486 -0.227  -0.404 -0.089  -0.322 0.049  -0.240 0.188  -0.158 0.326  -0.076 0.464  0.005 0.602  0.087 0.741  0.169 0.879  0.273 0.955  0.426 0.987  0.586 0.987  0.747 0.987  0.908 0.987  1.068 0.987  1.229 0.987
2#tos#f1#f1036063/6  0.429 0.974  0.470 1.100  0.483 1.235  0.495 1.370  0.503 1.505  0.540 1.625  0.427 1.601  0.346 1.493  0.250 1.399  0.146 1.312  0.062 1.209  -0.004 1.091  -0.070 0.973  -0.132 0.853  -0.192 0.732  -0.253 0.611  -0.304 0.486  -0.351 0.359  -0.397 0.232  -0.429 0.101  -0.442 -0.033  -0.456 -0.168  -0.460 -0.303  -0.460 -0.438  -0.460 -0.574  -0.460 -0.709  -0.460 -0.844  -0.443 -0.974  -0.362 -1.082  -0.313 -1.207  -0.179 -1.210  -0.044 -1.210  0.091 -1.210  0.226 -1.210  0.358 -1.204  0.418 -1.083  0.507 -0.982  0.577 -0.868  0.577 -0.732  0.570 -0.598  0.505 -0.489  0.381 -0.436  0.253 -0.396  0.122 -0.368  -0.006 -0.325  -0.141 -0.322  -0.276 -0.322  -0.411 -0.322  -0.547 -0.322  -0.682 -0.322
2#tos#f1#f1036063/7  -0.364 0.772  -0.462 0.798  -0.560 0.761  -0.581 0.640  -0.614 0.520  -0.674 0.412  -0.679 0.289  -0.761 0.247  -0.810 0.323  -0.810 0.447  -0.820 0.562  -0.782 0.616  -0.669 0.667  -0.545 0.667  -0.420 0.667  -0.301 0.697  -0.180 0.720  -0.056 0.720  0.069 0.720  0.193 0.720  0.318 0.720  0.442 0.720  0.566 0.720  0.691 0.720  0.815 0.720  0.922 0.702  0.918 0.578  0.869 0.465  0.806 0.357  0.750 0.246  0.682 0.142  0.610 0.041  0.565 -0.075  0.518 -0.190  0.454 -0.297  0.390 -0.403  0.326 -0.510  0.262 -0.617  0.196 -0.722  0.125 -0.824  0.053 -0.926  -0.005 -1.036  -0.056 -1.149  -0.105 -1.263  -0.132 -1.385  -0.164 -1.504  -0.220 -1.616  -0.248 -1.735  -0.259 -1.859  -0.259 -1.983
2#tos#f1#f1036063/9  0.224 0.329  0.224 0.198  0.236 0.142  0.286 0.221  0.369 0.286  0.419 0.406  0.504 0.500  0.583 0.596  0.618 0.722  0.629 0.851  0.629 0.981  0.537 1.045  0.414 1.076  0.283 1.076  0.153 1.076  0.023 1.076  -0.108 1.076  -0.236 1.063  -0.365 1.045  -0.419 0.932  -0.493 0.826  -0.524 0.701  -0.524 0.570  -0.478 0.456  -0.418 0.348  -0.296 0.329  -0.165 0.329  -0.035 0.329  0.088 0.360  0.193 0.334  0.193 0.204  0.193 0.073  0.186 -0.055  0.126 -0.168  0.104 -0.297  0.087 -0.426  0.071 -0.555  -0.001 -0.661  -0.069 -0.770  -0.111 -0.894  -0.134 -1.022  -0.158 -1.149  -0.225 -1.261  -0.273 -1.381  -0.311 -1.506  -0.337 -1.634  -0.368 -1.760  -0.427 -1.877  -0.437 -2.005  -0.461 -2.133
2#tos#f1#f1036063/A  0.330 1.293  0.199 1.331  0.065 1.107  -0.036 0.867  -0.166 0.641  -0.321 0.431  -0.457 0.211  -0.564 -0.027  -0.661 -0.270  -0.775 -0.505  -0.886 -0.741  -1.006 -0.973  -1.057 -1.225  -1.110 -1.328  -0.992 -1.097  -0.884 -0.859  -0.776 -0.621  -0.668 -0.384  -0.560 -0.146  -0.452 0.092  -0.344 0.330  -0.236 0.567  -0.128 0.805  -0.020 1.043  0.088 1.281  0.135 1.500  0.327 1.399  0.418 1.167  0.547 0.942  0.646 0.705  0.705 0.451  0.774 0.199  0.835 -0.055  0.894 -0.306  0.973 -0.553  1.032 -0.807  1.039 -1.067  0.950 -1.160  0.760 -0.980  0.570 -0.801  0.380 -0.621  0.191 -0.442  0.001 -0.262  -0.229 -0.183  -0.490 -0.183  -0.330 -0.153  -0.069 -0.153  0.192 -0.153  0.453 -0.153  0.714 -0.153
2#tos#f1#f1036063/E  -0.882 0.919  -0.893 0.967  -0.666 1.049  -0.426 1.094  -0.188 1.135  0.057 1.135  0.298 1.174  0.538 1.217  0.771 1.258  0.891 1.304  0.647 1.304  0.402 1.304  0.193 1.199  0.077 1.002  0.018 0.765  -0.068 0.539  -0.112 0.306  -0.141 0.065  -0.214 -0.168  -0.297 -0.397  -0.389 -0.623  -0.489 -0.846  -0.566 -1.077  -0.639 -1.310  -0.690 -1.548  -0.674 -1.406  -0.622 -1.167  -0.569 -0.929  -0.517 -0.690  -0.464 -0.451  -0.411 -0.213  -0.246 -0.051  -0.028 0.057  0.206 0.112  0.443 0.148  0.684 0.172  0.905 0.148  0.778 0.038  0.574 -0.095  0.369 -0.229  0.164 -0.362  -0.040 -0.496  -0.184 -0.671  -0.324 -0.858  -0.140 -0.911  0.105 -0.911  0.340 -0.855  0.571 -0.778  0.803 -0.702  1.044 -0.670
2#tos#f1#f1036063/F  -0.328 0.933  -0.480 0.895  -0.496 0.906  -0.349 0.948  -0.201 1.004  -0.047 1.047  0.109 1.078  0.265 1.106  0.419 1.147  0.576 1.167  0.735 1.167  0.895 1.167  0.760 1.206  0.601 1.206  0.479 1.110  0.389 0.979  0.330 0.831  0.273 0.683  0.235 0.528  0.182 0.380  0.108 0.239  0.046 0.092  0.002 -0.061  -0.031 -0.216  -0.090 -0.364  -0.153 -0.511  -0.196 -0.664  -0.245 -0.815  -0.311 -0.960  -0.362 -1.111  -0.413 -1.262  -0.484 -1.403  -0.543 -1.544  -0.601 -1.638  -0.582 -1.482  -0.545 -1.327  -0.505 -1.173  -0.464 -1.019  -0.424 -0.865  -0.384 -0.711  -0.343 -0.557  -0.303 -0.402  -0.241 -0.276  -0.084 -0.252  0.074 -0.237  0.233 -0.231  0.386 -0.198  0.544 -0.184  0.702 -0.179  0.862 -0.179
2#tos#f1#f1036063/G  0.318 0.866  0.365 1.056  0.362 1.256  0.340 1.454  0.193 1.545  -0.008 1.545  -0.173 1.431  -0.324 1.299  -0.452 1.145  -0.567 0.981  -0.668 0.807  -0.756 0.627  -0.838 0.444  -0.909 0.256  -0.972 0.066  -0.990 -0.134  -0.993 -0.334  -0.993 -0.535  -0.993 -0.736  -0.993 -0.937  -0.864 -1.090  -0.668 -1.101  -0.467 -1.101  -0.266 -1.100  -0.086 -1.010  0.078 -0.898  0.244 -0.804  0.365 -0.650  0.508 -0.510  0.617 -0.350  0.712 -0.178  0.661 0.002  0.468 0.056  0.274 0.110  0.081 0.163  -0.087 0.163  0.114 0.163  0.315 0.163  0.516 0.163  0.717 0.163  0.917 0.163  0.829 0.163  0.690 0.064  0.669 -0.132  0.587 -0.311  0.535 -0.504  0.462 -0.690  0.435 -0.885  0.353 -1.066  0.341 -1.265
2#tos#f1#f1036063/H  -0.086 1.055  -0.086 1.246  -0.254 1.270  -0.361 1.124  -0.435 0.948  -0.499 0.768  -0.541 0.581  -0.624 0.409  -0.689 0.230  -0.740 0.045  -0.777 -0.143  -0.838 -0.324  -0.901 -0.504  -0.946 -0.688  -0.953 -0.879  -0.973 -1.068  -0.961 -1.041  -0.939 -0.850  -0.918 -0.660  -0.896 -0.470  -0.874 -0.280  -0.853 -0.089  -0.771 0.033  -0.580 0.033  -0.388 0.033  -0.197 0.033  -0.005 0.033  0.184 0.061  0.368 0.113  0.559 0.114  0.742 0.166  0.932 0.180  1.119 0.221  1.108 0.375  1.057 0.560  1.016 0.746  1.033 0.921  0.976 0.773  0.920 0.593  0.856 0.414  0.819 0.226  0.783 0.039  0.718 -0.141  0.676 -0.327  0.635 -0.514  0.593 -0.701  0.550 -0.888  0.505 -1.073  0.483 -1.260  0.452 -1.445
