2#apa#apa15#app1573/T  -0.488 0.483  -0.488 0.328  -0.488 0.174  -0.453 0.024  -0.416 -0.125  -0.378 -0.275  -0.341 -0.425  -0.329 -0.578  -0.329 -0.732  -0.306 -0.883  -0.268 -1.033  -0.231 -1.182  -0.193 -1.332  -0.170 -1.484  -0.146 -1.535  -0.077 -1.397  -0.008 -1.259  0.061 -1.121  0.130 -0.983  0.199 -0.845  0.268 -0.707  0.337 -0.569  0.406 -0.431  0.475 -0.293  0.544 -0.155  0.613 -0.017  0.682 0.121  0.751 0.259  0.820 0.397  0.889 0.535  0.958 0.673  1.027 0.811  1.096 0.949  0.959 0.959  0.812 0.916  0.665 0.867  0.519 0.818  0.368 0.800  0.213 0.800  0.059 0.800  -0.095 0.800  -0.248 0.785  -0.399 0.755  -0.550 0.725  -0.702 0.694  -0.853 0.664  -1.003 0.629  -1.149 0.580  -1.295 0.531  -1.442 0.483
2#apa#apa15#app1573/d  -0.100 2.031  -0.038 1.908  0.023 1.785  0.090 1.665  0.187 1.568  0.252 1.458  0.252 1.320  0.252 1.183  0.278 1.048  0.311 0.915  0.345 0.781  0.378 0.648  0.411 0.515  0.428 0.379  0.428 0.242  0.428 0.104  0.428 -0.033  0.428 -0.171  0.428 -0.308  0.428 -0.446  0.428 -0.583  0.508 -0.688  0.604 -0.783  0.604 -0.645  0.604 -0.508  0.560 -0.388  0.463 -0.291  0.366 -0.194  0.268 -0.097  0.138 -0.080  0.000 -0.080  -0.137 -0.080  -0.275 -0.080  -0.398 -0.142  -0.521 -0.203  -0.646 -0.256  -0.783 -0.256  -0.856 -0.362  -0.917 -0.485  -0.979 -0.608  -0.918 -0.731  -0.856 -0.853  -0.785 -0.960  -0.647 -0.960  -0.544 -1.043  -0.445 -1.134  -0.315 -1.090  -0.185 -1.047  -0.054 -1.003  0.076 -0.960
2#apa#apa15#app1573/p  -0.441 0.341  -0.441 0.190  -0.441 0.039  -0.441 -0.112  -0.441 -0.263  -0.441 -0.415  -0.441 -0.566  -0.441 -0.717  -0.441 -0.868  -0.441 -1.019  -0.441 -1.170  -0.441 -1.322  -0.441 -1.473  -0.441 -1.589  -0.441 -1.438  -0.441 -1.287  -0.441 -1.136  -0.441 -0.984  -0.441 -0.833  -0.441 -0.682  -0.441 -0.531  -0.441 -0.380  -0.441 -0.229  -0.441 -0.077  -0.441 0.074  -0.441 0.225  -0.430 0.374  -0.383 0.518  -0.335 0.661  -0.281 0.801  -0.174 0.908  -0.067 1.015  0.052 1.091  0.204 1.091  0.355 1.091  0.506 1.091  0.657 1.091  0.800 1.062  0.926 0.978  1.051 0.895  1.177 0.811  1.207 0.675  1.207 0.524  1.109 0.426  0.983 0.342  0.857 0.258  0.726 0.192  0.578 0.177  0.443 0.109  0.308 0.042
2#apa#apa15#app1573/o  -0.281 0.852  -0.281 0.987  -0.281 1.122  -0.159 1.135  -0.024 1.135  -0.075 1.058  -0.171 0.963  -0.266 0.867  -0.332 0.750  -0.392 0.630  -0.453 0.509  -0.513 0.388  -0.573 0.268  -0.634 0.147  -0.694 0.026  -0.754 -0.094  -0.815 -0.215  -0.846 -0.342  -0.846 -0.477  -0.846 -0.612  -0.846 -0.747  -0.846 -0.882  -0.846 -1.017  -0.822 -1.127  -0.687 -1.127  -0.553 -1.122  -0.433 -1.062  -0.312 -1.001  -0.191 -0.941  -0.071 -0.881  0.050 -0.820  0.171 -0.760  0.291 -0.700  0.412 -0.639  0.533 -0.579  0.621 -0.482  0.696 -0.369  0.770 -0.257  0.845 -0.145  0.920 -0.032  0.995 0.080  1.070 0.192  1.133 0.308  1.133 0.443  1.127 0.575  1.032 0.671  0.936 0.766  0.837 0.852  0.702 0.852  0.567 0.852
2#apa#apa15#app1573/s  0.190 1.178  0.190 1.297  0.177 1.383  0.093 1.299  0.009 1.215  -0.093 1.178  -0.211 1.178  -0.245 1.094  -0.245 0.976  -0.348 0.961  -0.467 0.961  -0.585 0.961  -0.680 0.938  -0.680 0.820  -0.680 0.702  -0.680 0.584  -0.680 0.465  -0.680 0.347  -0.609 0.273  -0.503 0.220  -0.397 0.167  -0.292 0.115  -0.179 0.091  -0.061 0.091  0.053 0.064  0.165 0.027  0.277 -0.010  0.389 -0.048  0.501 -0.085  0.613 -0.122  0.700 -0.201  0.783 -0.285  0.842 -0.379  0.842 -0.497  0.818 -0.609  0.765 -0.715  0.712 -0.820  0.660 -0.926  0.587 -1.008  0.474 -1.046  0.362 -1.083  0.250 -1.121  0.138 -1.158  0.026 -1.195  -0.089 -1.213  -0.207 -1.213  -0.325 -1.213  -0.444 -1.213  -0.562 -1.213  -0.680 -1.213
2#apa#apa15#app1573/e  -1.662 -0.522  -1.549 -0.635  -1.437 -0.748  -1.324 -0.821  -1.211 -0.708  -1.099 -0.596  -0.976 -0.497  -0.833 -0.426  -0.691 -0.355  -0.548 -0.284  -0.406 -0.213  -0.256 -0.160  -0.104 -0.109  0.047 -0.059  0.198 -0.009  0.349 0.042  0.500 0.092  0.565 0.205  0.565 0.364  0.630 0.496  0.742 0.609  0.855 0.722  0.883 0.869  0.883 1.029  0.764 1.068  0.604 1.068  0.445 1.068  0.286 1.068  0.127 1.068  -0.033 1.068  -0.157 0.983  -0.269 0.870  -0.382 0.758  -0.389 0.601  -0.389 0.442  -0.323 0.299  -0.251 0.156  -0.180 0.014  -0.109 -0.129  -0.018 -0.257  0.094 -0.370  0.207 -0.483  0.320 -0.595  0.432 -0.708  0.545 -0.821  0.658 -0.933  0.770 -1.046  0.883 -1.158  1.042 -1.159  1.201 -1.159
2#apa#apa15#app1573/d  0.310 2.073  0.310 1.906  0.310 1.740  0.310 1.573  0.310 1.407  0.310 1.240  0.310 1.074  0.310 0.907  0.310 0.741  0.310 0.574  0.310 0.408  0.310 0.241  0.310 0.075  0.310 -0.092  0.322 -0.255  0.396 -0.404  0.471 -0.553  0.475 -0.719  0.475 -0.885  0.475 -1.052  0.638 -1.055  0.600 -0.896  0.559 -0.734  0.519 -0.573  0.479 -0.411  0.427 -0.253  0.374 -0.095  0.322 0.063  0.310 0.228  0.192 0.321  0.043 0.396  -0.106 0.470  -0.255 0.544  -0.392 0.547  -0.510 0.429  -0.628 0.312  -0.745 0.194  -0.852 0.069  -0.904 -0.089  -0.957 -0.247  -1.004 -0.405  -0.951 -0.563  -0.899 -0.721  -0.846 -0.879  -0.733 -1.000  -0.616 -1.117  -0.493 -1.213  -0.335 -1.161  -0.177 -1.108  -0.019 -1.055
2#apa#apa15#app1573/a  0.665 -0.002  0.665 0.154  0.665 0.310  0.665 0.466  0.665 0.622  0.653 0.776  0.583 0.915  0.513 1.055  0.443 1.194  0.324 1.254  0.168 1.254  0.012 1.254  -0.144 1.254  -0.300 1.254  -0.404 1.157  -0.491 1.027  -0.577 0.897  -0.664 0.768  -0.750 0.638  -0.837 0.508  -0.842 0.353  -0.842 0.197  -0.842 0.041  -0.842 -0.115  -0.842 -0.271  -0.842 -0.427  -0.842 -0.583  -0.842 -0.739  -0.842 -0.895  -0.797 -1.006  -0.641 -1.006  -0.485 -1.006  -0.329 -1.006  -0.173 -1.006  -0.017 -1.006  0.139 -1.006  0.236 -0.896  0.323 -0.766  0.409 -0.636  0.496 -0.506  0.582 -0.376  0.665 -0.245  0.665 -0.089  0.665 -0.070  0.665 -0.226  0.665 -0.382  0.665 -0.538  0.665 -0.694  0.665 -0.850  0.665 -1.006
2#apa#apa15#app1573/l  0.224 1.629  0.174 1.579  0.125 1.530  0.075 1.481  0.026 1.431  0.017 1.365  0.017 1.295  0.017 1.225  0.017 1.155  0.017 1.085  0.017 1.015  0.017 0.945  0.017 0.875  0.017 0.805  0.017 0.736  0.017 0.666  0.017 0.596  0.017 0.526  0.017 0.456  0.017 0.386  0.017 0.316  0.017 0.246  0.017 0.176  0.017 0.106  0.017 0.036  0.017 -0.034  0.017 -0.104  0.017 -0.174  0.017 -0.244  0.017 -0.314  0.017 -0.384  0.017 -0.454  0.017 -0.523  0.017 -0.593  0.017 -0.663  0.017 -0.733  0.017 -0.803  0.013 -0.873  -0.004 -0.941  -0.021 -1.008  -0.038 -1.076  -0.055 -1.144  -0.072 -1.212  -0.089 -1.280  -0.106 -1.348  -0.123 -1.416  -0.140 -1.483  -0.157 -1.551  -0.174 -1.619  -0.191 -1.687
2#apa#apa15#app1573/o  -1.046 0.399  -0.894 0.399  -0.742 0.399  -0.591 0.399  -0.439 0.399  -0.391 0.504  -0.391 0.655  -0.391 0.807  -0.391 0.959  -0.391 0.997  -0.391 0.845  -0.391 0.693  -0.391 0.541  -0.391 0.389  -0.391 0.238  -0.391 0.086  -0.453 -0.051  -0.521 -0.187  -0.589 -0.323  -0.657 -0.459  -0.719 -0.596  -0.719 -0.748  -0.719 -0.900  -0.719 -1.051  -0.719 -1.203  -0.601 -1.237  -0.449 -1.237  -0.313 -1.185  -0.187 -1.101  -0.061 -1.017  0.066 -0.932  0.192 -0.848  0.318 -0.764  0.445 -0.680  0.571 -0.596  0.648 -0.468  0.716 -0.332  0.784 -0.196  0.852 -0.060  0.919 0.075  0.987 0.211  1.055 0.347  1.123 0.483  1.191 0.618  1.223 0.748  1.116 0.856  1.008 0.963  0.894 1.054  0.742 1.054  0.590 1.054
2#apa#apa15#app1573/n  -0.615 -0.333  -0.726 -0.333  -0.836 -0.333  -0.859 -0.421  -0.859 -0.532  -0.859 -0.643  -0.859 -0.754  -0.859 -0.865  -0.859 -0.975  -0.859 -1.047  -0.859 -0.936  -0.859 -0.825  -0.859 -0.714  -0.859 -0.604  -0.832 -0.497  -0.797 -0.392  -0.762 -0.287  -0.727 -0.182  -0.692 -0.077  -0.657 0.028  -0.622 0.133  -0.553 0.217  -0.475 0.296  -0.396 0.374  -0.304 0.433  -0.205 0.482  -0.106 0.532  -0.007 0.581  0.092 0.631  0.176 0.702  0.254 0.780  0.333 0.859  0.431 0.888  0.542 0.888  0.639 0.855  0.718 0.777  0.796 0.699  0.874 0.620  0.953 0.542  1.031 0.464  1.095 0.380  1.095 0.269  1.095 0.158  1.129 0.053  1.164 -0.052  1.199 -0.157  1.234 -0.262  1.269 -0.368  1.304 -0.473  1.339 -0.578
2#apa#apa15#app1573/g  -0.420 0.628  -0.324 0.676  -0.228 0.724  -0.132 0.772  -0.125 0.874  -0.084 0.964  -0.008 1.040  -0.022 1.116  -0.098 1.191  -0.187 1.187  -0.283 1.139  -0.378 1.091  -0.463 1.027  -0.539 0.952  -0.567 0.856  -0.549 0.757  -0.473 0.681  -0.388 0.628  -0.281 0.628  -0.174 0.628  -0.067 0.628  0.035 0.615  0.111 0.540  0.187 0.464  0.263 0.388  0.338 0.313  0.414 0.237  0.465 0.151  0.465 0.044  0.465 -0.063  0.465 -0.170  0.465 -0.277  0.465 -0.385  0.465 -0.492  0.465 -0.599  0.465 -0.706  0.465 -0.813  0.425 -0.908  0.365 -0.997  0.306 -1.086  0.246 -1.175  0.187 -1.264  0.106 -1.332  0.017 -1.391  -0.072 -1.451  -0.161 -1.510  -0.250 -1.570  -0.353 -1.584  -0.460 -1.584  -0.567 -1.584
2#apa#apa15#app1573/s  -0.149 1.304  -0.245 1.255  -0.342 1.207  -0.439 1.159  -0.535 1.110  -0.628 1.056  -0.704 0.980  -0.781 0.904  -0.857 0.827  -0.934 0.751  -1.010 0.674  -1.065 0.603  -0.962 0.569  -0.860 0.535  -0.757 0.501  -0.655 0.466  -0.552 0.432  -0.450 0.398  -0.347 0.364  -0.244 0.330  -0.142 0.296  -0.039 0.261  0.063 0.227  0.166 0.193  0.268 0.159  0.367 0.117  0.464 0.069  0.561 0.021  0.657 -0.028  0.754 -0.076  0.836 -0.145  0.912 -0.221  0.989 -0.298  0.978 -0.388  0.930 -0.485  0.881 -0.582  0.833 -0.678  0.785 -0.775  0.711 -0.854  0.635 -0.930  0.559 -1.006  0.458 -1.040  0.353 -1.066  0.248 -1.092  0.143 -1.118  0.039 -1.145  -0.066 -1.171  -0.171 -1.197  -0.276 -1.223  -0.381 -1.249
2#apa#apa15#app1573/i  -0.123 0.461  -0.086 0.351  -0.050 0.242  -0.013 0.132  0.023 0.022  0.060 -0.088  0.078 -0.201  0.078 -0.317  0.078 -0.433  0.078 -0.549  0.078 -0.664  0.078 -0.780  0.078 -0.896  0.078 -1.012  0.078 -1.128  0.078 -1.244  0.078 -1.360  0.078 -1.475  0.076 -1.513  0.070 -1.398  0.063 -1.282  0.057 -1.166  0.050 -1.051  0.044 -0.935  0.038 -0.819  0.031 -0.704  0.025 -0.588  0.018 -0.472  0.012 -0.357  0.005 -0.241  -0.001 -0.125  -0.007 -0.010  -0.014 0.106  -0.020 0.222  -0.027 0.337  -0.033 0.453  -0.040 0.569  -0.046 0.684  -0.052 0.800  -0.059 0.916  -0.065 1.031  -0.072 1.147  -0.078 1.263  -0.085 1.378  -0.091 1.494  -0.097 1.610  -0.104 1.725  -0.110 1.841  -0.117 1.957  -0.123 2.072
2#apa#apa15#app1573/d  0.537 1.929  0.416 1.809  0.390 1.665  0.444 1.503  0.498 1.341  0.537 1.177  0.537 1.006  0.537 0.835  0.537 0.664  0.537 0.494  0.537 0.323  0.533 0.152  0.500 -0.015  0.466 -0.183  0.433 -0.350  0.399 -0.518  0.366 -0.685  0.360 -0.856  0.360 -1.026  0.360 -0.934  0.360 -0.763  0.360 -0.592  0.360 -0.421  0.360 -0.250  0.360 -0.080  0.360 0.091  0.294 0.234  0.173 0.355  0.052 0.476  -0.100 0.520  -0.271 0.520  -0.442 0.520  -0.613 0.520  -0.758 0.458  -0.877 0.336  -0.953 0.183  -1.029 0.030  -1.049 -0.136  -1.049 -0.307  -1.049 -0.477  -0.999 -0.637  -0.923 -0.789  -0.815 -0.904  -0.650 -0.945  -0.484 -0.986  -0.318 -1.028  -0.152 -1.065  0.019 -1.065  0.190 -1.065  0.360 -1.065
2#apa#apa15#app1573/e  -1.288 -0.456  -1.145 -0.456  -1.002 -0.456  -0.859 -0.456  -0.734 -0.412  -0.633 -0.311  -0.532 -0.210  -0.407 -0.143  -0.279 -0.079  -0.151 -0.015  -0.023 0.049  0.047 0.171  0.111 0.299  0.174 0.427  0.238 0.555  0.336 0.658  0.437 0.759  0.499 0.876  0.499 1.019  0.499 1.162  0.499 1.305  0.383 1.332  0.240 1.332  0.097 1.332  -0.011 1.298  -0.011 1.155  -0.040 1.019  -0.104 0.891  -0.168 0.763  -0.232 0.635  -0.267 0.500  -0.267 0.357  -0.267 0.214  -0.267 0.071  -0.267 -0.072  -0.260 -0.213  -0.196 -0.341  -0.132 -0.469  -0.069 -0.597  -0.001 -0.722  0.100 -0.823  0.201 -0.924  0.303 -1.025  0.404 -1.126  0.505 -1.227  0.606 -1.328  0.707 -1.429  0.808 -1.530  0.909 -1.632  1.010 -1.733
2#apa#apa15#app1573/a  0.832 0.245  0.832 0.407  0.832 0.568  0.832 0.729  0.832 0.890  0.735 1.012  0.621 1.126  0.465 1.138  0.303 1.138  0.142 1.138  -0.019 1.138  -0.145 1.053  -0.259 0.939  -0.373 0.825  -0.488 0.710  -0.602 0.596  -0.716 0.482  -0.830 0.368  -0.944 0.254  -0.989 0.101  -1.028 -0.055  -1.067 -0.212  -1.106 -0.368  -1.145 -0.525  -1.176 -0.682  -1.176 -0.844  -1.041 -0.870  -0.880 -0.870  -0.719 -0.867  -0.566 -0.816  -0.413 -0.765  -0.260 -0.714  -0.107 -0.663  0.019 -0.568  0.133 -0.454  0.247 -0.340  0.361 -0.226  0.475 -0.112  0.589 0.003  0.609 0.156  0.609 0.174  0.609 0.012  0.609 -0.149  0.609 -0.310  0.609 -0.472  0.609 -0.633  0.713 -0.751  0.827 -0.865  0.941 -0.979  1.055 -1.093
