3#app#app25#app2576/!  0.392 1.820  0.392 1.723  0.392 1.626  0.392 1.529  0.392 1.432  0.392 1.335  0.392 1.238  0.357 1.177  0.260 1.177  0.231 1.108  0.226 1.016  0.129 1.016  0.071 0.978  0.071 0.881  0.071 0.784  0.071 0.687  0.071 0.590  0.071 0.493  0.071 0.396  0.019 0.321  -0.050 0.252  -0.096 0.172  -0.110 0.076  -0.123 -0.020  -0.137 -0.116  -0.151 -0.212  -0.164 -0.308  -0.178 -0.404  -0.192 -0.500  -0.206 -0.596  -0.219 -0.692  -0.233 -0.788  -0.247 -0.884  -0.281 -0.973  -0.324 -1.060  -0.368 -1.147  -0.411 -1.234  -0.317 -1.235  -0.220 -1.235  -0.123 -1.235  -0.045 -1.190  0.024 -1.121  0.071 -1.043  0.071 -0.946  0.071 -0.849  0.070 -0.753  -0.027 -0.753  -0.114 -0.776  -0.182 -0.845  -0.251 -0.914
3#app#app25#app2576/~  -1.648 -0.040  -1.525 -0.040  -1.401 -0.040  -1.313 0.044  -1.225 0.131  -1.138 0.218  -1.051 0.306  -0.964 0.393  -0.894 0.488  -0.894 0.611  -0.873 0.714  -0.750 0.714  -0.626 0.714  -0.503 0.714  -0.392 0.701  -0.392 0.578  -0.392 0.454  -0.392 0.331  -0.389 0.208  -0.302 0.121  -0.215 0.034  -0.153 -0.053  -0.241 -0.141  -0.328 -0.228  -0.392 -0.325  -0.392 -0.449  -0.363 -0.543  -0.239 -0.543  -0.116 -0.543  0.008 -0.543  0.131 -0.543  0.255 -0.543  0.378 -0.543  0.502 -0.543  0.625 -0.543  0.748 -0.543  0.865 -0.536  0.865 -0.412  0.867 -0.292  0.991 -0.292  1.114 -0.292  1.116 -0.170  1.116 -0.047  1.233 -0.040  1.357 -0.040  1.367 0.073  1.367 0.196  1.444 0.288  1.531 0.375  1.619 0.462
3#app#app25#app2576/  -1.698 0.000  -1.628 0.000  -1.559 0.000  -1.490 0.000  -1.421 0.000  -1.351 0.000  -1.282 0.000  -1.213 0.000  -1.143 0.000  -1.074 0.000  -1.005 0.000  -0.935 0.000  -0.866 0.000  -0.797 0.000  -0.728 0.000  -0.658 0.000  -0.589 0.000  -0.520 0.000  -0.450 0.000  -0.381 0.000  -0.312 0.000  -0.243 0.000  -0.173 0.000  -0.104 0.000  -0.035 0.000  0.035 0.000  0.104 0.000  0.173 0.000  0.243 0.000  0.312 0.000  0.381 0.000  0.450 0.000  0.520 0.000  0.589 0.000  0.658 0.000  0.728 0.000  0.797 0.000  0.866 0.000  0.935 0.000  1.005 0.000  1.074 0.000  1.143 0.000  1.213 0.000  1.282 0.000  1.351 0.000  1.421 0.000  1.490 0.000  1.559 0.000  1.628 0.000  1.698 0.000
3#app#app25#app2576/_  -1.698 0.000  -1.628 0.000  -1.559 0.000  -1.490 0.000  -1.421 0.000  -1.351 0.000  -1.282 0.000  -1.213 0.000  -1.143 0.000  -1.074 0.000  -1.005 0.000  -0.935 0.000  -0.866 0.000  -0.797 0.000  -0.728 0.000  -0.658 0.000  -0.589 0.000  -0.520 0.000  -0.450 0.000  -0.381 0.000  -0.312 0.000  -0.243 0.000  -0.173 0.000  -0.104 0.000  -0.035 0.000  0.035 0.000  0.104 0.000  0.173 0.000  0.243 0.000  0.312 0.000  0.381 0.000  0.450 0.000  0.520 0.000  0.589 0.000  0.658 0.000  0.728 0.000  0.797 0.000  0.866 0.000  0.935 0.000  1.005 0.000  1.074 0.000  1.143 0.000  1.213 0.000  1.282 0.000  1.351 0.000  1.421 0.000  1.490 0.000  1.559 0.000  1.628 0.000  1.698 0.000
3#app#app25#app2576/+  -1.658 -0.373  -1.658 -0.205  -1.636 -0.060  -1.469 -0.060  -1.301 -0.060  -1.134 -0.060  -0.967 -0.060  -0.799 -0.060  -0.632 -0.060  -0.465 -0.060  -0.297 -0.060  -0.130 -0.060  0.037 -0.060  0.205 -0.060  0.372 -0.060  0.539 -0.060  0.706 -0.060  0.874 -0.060  1.041 -0.060  1.208 -0.060  1.376 -0.060  1.422 -0.010  1.304 0.109  1.186 0.227  1.067 0.345  0.949 0.464  0.831 0.582  0.712 0.700  0.594 0.819  0.476 0.937  0.357 1.055  0.239 1.173  0.186 1.056  0.146 0.893  0.105 0.731  0.064 0.569  0.024 0.407  -0.017 0.244  -0.057 0.082  -0.093 -0.081  -0.093 -0.248  -0.123 -0.403  -0.241 -0.521  -0.360 -0.640  -0.406 -0.788  -0.406 -0.955  -0.406 -1.123  -0.406 -1.290  -0.551 -1.312  -0.719 -1.312
3#app#app25#app2576/=  -0.932 0.800  -0.776 0.800  -0.619 0.800  -0.462 0.800  -0.306 0.800  -0.149 0.800  0.008 0.800  0.164 0.800  0.321 0.800  0.477 0.800  0.634 0.800  0.791 0.800  0.947 0.800  1.104 0.800  1.261 0.800  1.344 0.778  1.212 0.694  1.080 0.609  0.948 0.524  0.817 0.440  0.685 0.355  0.553 0.270  0.421 0.185  0.290 0.101  0.158 0.016  0.026 -0.069  -0.106 -0.153  -0.238 -0.238  -0.369 -0.323  -0.501 -0.407  -0.633 -0.492  -0.765 -0.577  -0.896 -0.662  -1.028 -0.746  -1.160 -0.831  -1.292 -0.916  -1.204 -0.876  -1.064 -0.806  -0.923 -0.740  -0.767 -0.740  -0.610 -0.740  -0.453 -0.740  -0.297 -0.740  -0.140 -0.740  0.017 -0.740  0.173 -0.740  0.330 -0.740  0.487 -0.740  0.643 -0.740  0.800 -0.740
3#app#app25#app2576/[  1.113 0.964  1.006 0.964  0.899 0.964  0.826 0.998  0.826 1.105  0.722 1.108  0.616 1.108  0.509 1.108  0.402 1.108  0.295 1.108  0.188 1.108  0.090 1.088  0.014 1.013  -0.072 0.964  -0.179 0.963  -0.254 0.888  -0.321 0.809  -0.321 0.702  -0.321 0.595  -0.275 0.534  -0.178 0.525  -0.178 0.418  -0.178 0.311  -0.178 0.205  -0.178 0.098  -0.178 -0.009  -0.178 -0.116  -0.178 -0.222  -0.180 -0.328  -0.255 -0.404  -0.321 -0.483  -0.321 -0.590  -0.380 -0.672  -0.456 -0.748  -0.465 -0.851  -0.505 -0.941  -0.581 -1.016  -0.608 -1.112  -0.576 -1.187  -0.469 -1.187  -0.362 -1.187  -0.256 -1.187  -0.157 -1.166  -0.082 -1.091  0.005 -1.043  0.112 -1.043  0.219 -1.043  0.326 -1.043  0.432 -1.043  0.539 -1.043
3#app#app25#app2576/]  -0.689 1.036  -0.574 1.036  -0.459 1.036  -0.344 1.036  -0.229 1.036  -0.114 1.036  0.001 1.036  0.116 1.036  0.230 1.036  0.345 1.036  0.460 1.036  0.511 0.971  0.557 0.902  0.672 0.902  0.777 0.893  0.777 0.778  0.672 0.769  0.644 0.682  0.575 0.636  0.511 0.585  0.479 0.503  0.378 0.489  0.378 0.374  0.299 0.291  0.244 0.199  0.231 0.090  0.150 0.008  0.111 -0.090  0.111 -0.205  0.111 -0.320  0.106 -0.431  -0.009 -0.431  -0.022 -0.532  -0.022 -0.647  -0.068 -0.743  -0.149 -0.824  -0.156 -0.936  -0.156 -1.051  -0.225 -1.097  -0.289 -1.148  -0.321 -1.230  -0.422 -1.244  -0.422 -1.359  -0.422 -1.253  -0.514 -1.230  -0.629 -1.230  -0.689 -1.175  -0.726 -1.097  -0.841 -1.097  -0.955 -1.097
3#app#app25#app2576/{  1.024 1.387  0.895 1.387  0.766 1.387  0.637 1.387  0.508 1.387  0.379 1.387  0.250 1.387  0.238 1.269  0.149 1.230  0.081 1.168  0.048 1.073  -0.076 1.067  -0.076 0.938  -0.076 0.809  -0.076 0.680  -0.076 0.551  -0.054 0.444  0.075 0.444  0.081 0.321  0.081 0.192  0.081 0.063  0.042 -0.027  -0.076 -0.038  -0.076 -0.167  -0.188 -0.184  -0.233 -0.268  -0.289 -0.341  -0.418 -0.341  -0.547 -0.341  -0.547 -0.470  -0.648 -0.499  -0.705 -0.426  -0.660 -0.341  -0.531 -0.341  -0.402 -0.341  -0.308 -0.424  -0.216 -0.515  -0.125 -0.607  -0.076 -0.715  -0.076 -0.845  -0.076 -0.974  -0.076 -1.103  -0.076 -1.232  -0.076 -1.361  -0.028 -1.441  0.095 -1.427  0.187 -1.336  0.294 -1.284  0.423 -1.284  0.553 -1.284
3#app#app25#app2576/}  -0.214 1.589  -0.068 1.589  0.078 1.589  0.224 1.589  0.370 1.589  0.454 1.527  0.454 1.381  0.454 1.235  0.454 1.089  0.454 0.944  0.366 0.834  0.287 0.721  0.274 0.588  0.129 0.588  0.120 0.450  0.120 0.305  0.053 0.187  -0.042 0.087  0.104 0.087  0.120 -0.043  0.229 -0.080  0.375 -0.080  0.520 -0.080  0.666 -0.080  0.762 -0.080  0.617 -0.080  0.471 -0.080  0.454 -0.208  0.346 -0.247  0.200 -0.247  0.054 -0.247  -0.091 -0.247  -0.237 -0.247  -0.381 -0.249  -0.381 -0.395  -0.508 -0.413  -0.547 -0.520  -0.633 -0.580  -0.714 -0.645  -0.671 -0.747  -0.547 -0.769  -0.546 -0.914  -0.400 -0.914  -0.381 -1.040  -0.381 -1.186  -0.381 -1.332  -0.381 -1.477  -0.423 -1.581  -0.568 -1.581  -0.714 -1.581
3#app#app25#app2576/\\  -0.636 1.646  -0.636 1.557  -0.636 1.468  -0.636 1.379  -0.636 1.290  -0.636 1.201  -0.636 1.112  -0.636 1.023  -0.636 0.934  -0.636 0.845  -0.636 0.756  -0.636 0.667  -0.636 0.577  -0.636 0.488  -0.548 0.487  -0.459 0.487  -0.380 0.463  -0.317 0.400  -0.254 0.337  -0.191 0.274  -0.173 0.193  -0.173 0.104  -0.163 0.024  -0.074 0.024  0.015 0.024  0.059 -0.021  0.059 -0.110  0.059 -0.199  0.139 -0.208  0.228 -0.208  0.291 -0.234  0.291 -0.323  0.291 -0.412  0.353 -0.440  0.442 -0.440  0.523 -0.448  0.523 -0.537  0.523 -0.626  0.523 -0.715  0.523 -0.804  0.523 -0.893  0.523 -0.982  0.523 -1.071  0.540 -1.153  0.603 -1.216  0.666 -1.279  0.729 -1.342  0.808 -1.367  0.897 -1.367  0.986 -1.367
3#app#app25#app2576/,  0.924 1.463  0.900 1.392  0.876 1.321  0.853 1.250  0.829 1.179  0.805 1.108  0.782 1.037  0.758 0.966  0.734 0.895  0.711 0.824  0.687 0.753  0.663 0.682  0.640 0.611  0.616 0.540  0.592 0.469  0.565 0.400  0.513 0.347  0.460 0.294  0.407 0.241  0.354 0.188  0.301 0.135  0.248 0.083  0.195 0.030  0.142 -0.023  0.089 -0.076  0.036 -0.129  -0.017 -0.182  -0.069 -0.235  -0.122 -0.288  -0.175 -0.341  -0.228 -0.394  -0.281 -0.447  -0.334 -0.499  -0.387 -0.552  -0.440 -0.605  -0.496 -0.651  -0.570 -0.651  -0.645 -0.651  -0.720 -0.651  -0.795 -0.651  -0.838 -0.683  -0.838 -0.758  -0.838 -0.832  -0.838 -0.907  -0.838 -0.982  -0.891 -1.004  -0.966 -1.004  -1.041 -1.004  -1.116 -1.004  -1.191 -1.004
3#app#app25#app2576/  1.173 1.337  1.117 1.281  1.061 1.225  1.005 1.169  0.949 1.112  0.893 1.056  0.837 1.000  0.781 0.944  0.725 0.888  0.669 0.832  0.627 0.771  0.627 0.691  0.627 0.612  0.574 0.555  0.518 0.499  0.462 0.443  0.406 0.387  0.350 0.331  0.294 0.275  0.227 0.244  0.148 0.244  0.080 0.232  0.080 0.153  0.080 0.074  0.033 0.014  -0.023 -0.042  -0.079 -0.098  -0.135 -0.154  -0.191 -0.210  -0.247 -0.266  -0.303 -0.322  -0.359 -0.378  -0.415 -0.434  -0.466 -0.492  -0.466 -0.571  -0.466 -0.650  -0.529 -0.667  -0.608 -0.667  -0.648 -0.706  -0.648 -0.785  -0.664 -0.849  -0.743 -0.849  -0.822 -0.849  -0.830 -0.920  -0.830 -0.999  -0.878 -1.031  -0.957 -1.031  -1.012 -1.055  -1.012 -1.134  -1.012 -1.213
3#app#app25#app2576/?  -0.151 0.890  -0.151 1.009  -0.040 1.017  -0.024 1.120  0.043 1.210  0.136 1.270  0.255 1.270  0.374 1.270  0.492 1.270  0.609 1.268  0.609 1.150  0.688 1.064  0.699 0.980  0.615 0.896  0.609 0.780  0.609 0.662  0.609 0.543  0.523 0.510  0.404 0.510  0.286 0.510  0.185 0.467  0.101 0.384  -0.018 0.384  -0.024 0.272  -0.128 0.257  -0.151 0.161  -0.151 0.043  -0.151 -0.076  -0.151 -0.195  -0.151 -0.313  -0.151 -0.432  -0.151 -0.550  -0.151 -0.669  -0.151 -0.788  -0.151 -0.906  -0.165 -1.016  -0.271 -1.069  -0.377 -1.122  -0.404 -1.224  -0.485 -1.262  -0.459 -1.262  -0.404 -1.198  -0.348 -1.136  -0.278 -1.088  -0.318 -1.009  -0.404 -1.041  -0.428 -1.136  -0.531 -1.152  -0.523 -1.262  -0.404 -1.262
3#app#app25#app2576/'  -0.424 1.695  -0.424 1.617  -0.424 1.539  -0.424 1.461  -0.424 1.383  -0.424 1.305  -0.424 1.226  -0.424 1.148  -0.424 1.070  -0.424 0.992  -0.424 0.914  -0.424 0.836  -0.424 0.758  -0.424 0.680  -0.424 0.602  -0.424 0.524  -0.424 0.446  -0.424 0.368  -0.424 0.290  -0.375 0.232  -0.319 0.177  -0.264 0.122  -0.209 0.067  -0.154 0.012  -0.099 -0.043  -0.043 -0.099  0.012 -0.154  0.067 -0.209  0.122 -0.264  0.177 -0.319  0.232 -0.375  0.282 -0.432  0.282 -0.510  0.282 -0.588  0.282 -0.666  0.282 -0.744  0.282 -0.822  0.282 -0.900  0.282 -0.978  0.282 -1.056  0.286 -1.130  0.364 -1.130  0.442 -1.130  0.520 -1.130  0.598 -1.130  0.676 -1.130  0.754 -1.130  0.832 -1.130  0.910 -1.130  0.988 -1.130
3#app#app25#app2576/\"  -1.164 0.941  -1.164 0.801  -1.164 0.661  -1.164 0.521  -1.164 0.381  -1.164 0.241  -1.053 0.212  -0.913 0.212  -0.800 0.186  -0.800 0.046  -0.800 -0.094  -0.800 -0.234  -0.800 -0.374  -0.800 -0.514  -0.800 -0.654  -0.800 -0.794  -0.767 -0.840  -0.679 -0.731  -0.592 -0.622  -0.505 -0.512  -0.417 -0.403  -0.330 -0.294  -0.242 -0.184  -0.155 -0.075  -0.068 0.034  0.020 0.143  0.107 0.253  0.195 0.362  0.282 0.471  0.370 0.580  0.457 0.690  0.544 0.799  0.632 0.908  0.658 0.842  0.658 0.702  0.667 0.566  0.766 0.468  0.865 0.369  0.964 0.270  1.022 0.154  1.022 0.014  1.022 -0.126  1.022 -0.266  1.022 -0.406  1.022 -0.546  1.022 -0.686  1.022 -0.826  1.107 -0.881  1.246 -0.881  1.386 -0.881
3#app#app25#app2576/<  0.974 1.425  0.974 1.286  0.911 1.211  0.772 1.211  0.633 1.211  0.548 1.158  0.548 1.020  0.431 0.998  0.305 0.968  0.207 0.870  0.121 0.767  0.121 0.628  0.040 0.571  -0.099 0.571  -0.238 0.571  -0.356 0.521  -0.454 0.423  -0.519 0.312  -0.519 0.173  -0.629 0.144  -0.733 0.109  -0.733 -0.029  -0.831 -0.069  -0.970 -0.069  -1.109 -0.069  -1.160 -0.157  -1.147 -0.283  -1.008 -0.283  -0.870 -0.283  -0.731 -0.283  -0.592 -0.283  -0.454 -0.283  -0.315 -0.283  -0.176 -0.283  -0.093 -0.337  -0.093 -0.476  0.026 -0.496  0.121 -0.540  0.121 -0.679  0.228 -0.710  0.334 -0.742  0.334 -0.881  0.431 -0.923  0.548 -0.945  0.548 -1.083  0.633 -1.136  0.772 -1.136  0.911 -1.136  1.049 -1.136  1.188 -1.136
3#app#app25#app2576/|  0.315 1.752  0.315 1.671  0.315 1.590  0.315 1.508  0.315 1.427  0.315 1.346  0.315 1.265  0.315 1.184  0.315 1.103  0.315 1.022  0.315 0.940  0.315 0.859  0.283 0.791  0.226 0.734  0.169 0.677  0.130 0.612  0.130 0.531  0.130 0.449  0.130 0.368  0.130 0.287  0.130 0.206  0.130 0.125  0.093 0.081  0.011 0.081  -0.056 0.067  -0.056 -0.014  -0.056 -0.095  -0.056 -0.176  -0.056 -0.258  -0.056 -0.339  -0.056 -0.420  -0.081 -0.476  -0.162 -0.476  -0.242 -0.478  -0.242 -0.559  -0.242 -0.640  -0.242 -0.721  -0.242 -0.802  -0.242 -0.883  -0.242 -0.964  -0.242 -1.046  -0.242 -1.127  -0.242 -1.208  -0.242 -1.289  -0.242 -1.370  -0.288 -1.405  -0.370 -1.405  -0.427 -1.428  -0.427 -1.509  -0.427 -1.590
3#app#app25#app2576/>  -0.452 1.760  -0.373 1.682  -0.295 1.604  -0.217 1.525  -0.139 1.447  -0.060 1.369  -0.004 1.282  -0.004 1.171  -0.004 1.060  -0.004 0.950  0.022 0.866  0.133 0.866  0.219 0.841  0.219 0.731  0.219 0.620  0.219 0.510  0.219 0.399  0.219 0.288  0.237 0.195  0.347 0.195  0.443 0.180  0.443 0.069  0.443 -0.041  0.443 -0.152  0.443 -0.262  0.443 -0.373  0.451 -0.476  0.561 -0.476  0.667 -0.481  0.667 -0.592  0.663 -0.700  0.553 -0.700  0.442 -0.700  0.331 -0.700  0.221 -0.700  0.110 -0.700  -0.000 -0.700  -0.111 -0.700  -0.222 -0.700  -0.332 -0.700  -0.443 -0.700  -0.452 -0.802  -0.452 -0.912  -0.551 -0.923  -0.662 -0.923  -0.744 -0.992  -0.822 -1.070  -0.901 -1.147  -1.012 -1.147  -1.122 -1.147
