2#apa#apa15#app1539/@  0.314 -0.433  0.314 -0.212  0.314 0.010  0.218 0.192  0.061 0.349  -0.039 0.530  -0.128 0.536  -0.216 0.350  -0.280 0.144  -0.379 -0.055  -0.392 -0.274  -0.392 -0.496  -0.285 -0.610  -0.063 -0.610  0.137 -0.588  0.185 -0.386  0.314 -0.217  0.399 -0.080  0.490 0.050  0.615 0.220  0.667 0.421  0.667 0.643  0.667 0.864  0.667 1.086  0.559 1.263  0.402 1.420  0.216 1.508  -0.006 1.508  -0.224 1.499  -0.381 1.342  -0.538 1.185  -0.612 0.982  -0.666 0.766  -0.720 0.551  -0.745 0.332  -0.745 0.110  -0.745 -0.112  -0.745 -0.334  -0.706 -0.549  -0.636 -0.760  -0.565 -0.970  -0.466 -1.168  -0.335 -1.316  -0.113 -1.316  0.109 -1.316  0.330 -1.312  0.545 -1.258  0.761 -1.204  0.976 -1.150  1.196 -1.139
2#apa#apa15#app1539/u  -0.850 0.939  -0.850 1.057  -0.850 1.175  -0.804 1.182  -0.720 1.099  -0.637 1.015  -0.561 0.928  -0.561 0.810  -0.561 0.692  -0.561 0.573  -0.561 0.455  -0.561 0.337  -0.561 0.218  -0.561 0.100  -0.561 -0.018  -0.561 -0.137  -0.561 -0.255  -0.561 -0.373  -0.561 -0.492  -0.561 -0.610  -0.561 -0.728  -0.561 -0.847  -0.561 -0.965  -0.561 -1.083  -0.448 -1.090  -0.330 -1.090  -0.229 -1.048  -0.145 -0.964  -0.062 -0.881  0.022 -0.798  0.121 -0.732  0.219 -0.666  0.318 -0.601  0.416 -0.535  0.515 -0.469  0.613 -0.404  0.712 -0.338  0.810 -0.272  0.896 -0.197  0.933 -0.085  0.971 0.027  1.008 0.140  1.046 0.252  1.083 0.364  1.120 0.476  1.158 0.589  1.139 0.688  1.056 0.771  0.972 0.855  0.888 0.939
2#apa#apa15#app1539/g  0.040 0.433  0.040 0.567  0.113 0.670  0.203 0.767  0.203 0.901  0.125 1.003  0.026 1.088  -0.108 1.088  -0.242 1.088  -0.367 1.049  -0.487 0.989  -0.607 0.929  -0.740 0.924  -0.779 0.830  -0.779 0.696  -0.745 0.597  -0.611 0.597  -0.476 0.597  -0.342 0.597  -0.232 0.653  -0.137 0.748  -0.008 0.760  0.040 0.674  0.096 0.597  0.203 0.570  0.203 0.436  0.262 0.315  0.322 0.196  0.382 0.076  0.442 -0.044  0.502 -0.164  0.531 -0.291  0.543 -0.423  0.586 -0.551  0.628 -0.678  0.671 -0.805  0.695 -0.935  0.675 -1.061  0.580 -1.156  0.486 -1.251  0.391 -1.345  0.267 -1.369  0.132 -1.369  -0.002 -1.369  -0.135 -1.365  -0.262 -1.323  -0.389 -1.281  -0.517 -1.238  -0.645 -1.205  -0.779 -1.205
2#apa#apa15#app1539/g  -0.115 0.644  -0.054 0.766  0.006 0.887  0.033 0.988  -0.103 0.988  -0.239 0.988  -0.375 0.988  -0.505 0.965  -0.627 0.904  -0.749 0.843  -0.837 0.749  -0.898 0.628  -0.958 0.506  -0.877 0.472  -0.741 0.472  -0.605 0.472  -0.469 0.472  -0.340 0.512  -0.211 0.555  -0.082 0.598  0.047 0.641  0.057 0.770  0.057 0.726  0.111 0.644  0.229 0.626  0.229 0.490  0.229 0.354  0.302 0.263  0.424 0.202  0.545 0.142  0.573 0.023  0.595 -0.110  0.638 -0.239  0.681 -0.368  0.724 -0.497  0.745 -0.630  0.745 -0.766  0.745 -0.902  0.745 -1.038  0.658 -1.120  0.536 -1.181  0.415 -1.241  0.293 -1.302  0.171 -1.363  0.049 -1.420  -0.087 -1.420  -0.223 -1.420  -0.359 -1.420  -0.495 -1.420  -0.631 -1.420
2#apa#apa15#app1539/l  -0.511 1.603  -0.511 1.531  -0.511 1.458  -0.511 1.386  -0.495 1.320  -0.444 1.269  -0.392 1.217  -0.341 1.166  -0.290 1.115  -0.241 1.062  -0.208 0.997  -0.176 0.933  -0.143 0.868  -0.111 0.803  -0.078 0.738  -0.046 0.673  -0.014 0.609  0.019 0.544  0.023 0.472  0.023 0.400  0.023 0.327  0.023 0.255  0.023 0.182  0.023 0.110  0.023 0.037  0.023 -0.035  0.023 -0.108  0.023 -0.180  0.023 -0.253  0.023 -0.325  0.023 -0.398  0.023 -0.470  0.023 -0.543  0.023 -0.615  0.023 -0.687  0.023 -0.760  0.046 -0.823  0.097 -0.874  0.148 -0.925  0.200 -0.977  0.251 -1.028  0.298 -1.082  0.330 -1.147  0.363 -1.212  0.395 -1.277  0.427 -1.342  0.460 -1.407  0.492 -1.471  0.525 -1.536  0.557 -1.601
2#apa#apa15#app1539/e  -0.287 -0.750  -0.287 -0.604  -0.287 -0.459  -0.191 -0.410  -0.045 -0.410  0.053 -0.363  0.053 -0.218  0.053 -0.072  0.154 0.031  0.257 0.134  0.360 0.237  0.437 0.358  0.502 0.488  0.567 0.618  0.632 0.748  0.697 0.878  0.733 1.015  0.733 1.161  0.718 1.290  0.572 1.290  0.427 1.290  0.281 1.290  0.136 1.290  0.009 1.246  -0.094 1.143  -0.197 1.040  -0.295 0.934  -0.360 0.804  -0.425 0.674  -0.490 0.544  -0.555 0.414  -0.620 0.284  -0.627 0.140  -0.627 -0.005  -0.627 -0.150  -0.627 -0.296  -0.613 -0.438  -0.548 -0.568  -0.483 -0.698  -0.418 -0.828  -0.353 -0.958  -0.288 -1.088  -0.186 -1.191  -0.083 -1.294  0.020 -1.397  0.152 -1.430  0.297 -1.430  0.442 -1.430  0.588 -1.430  0.733 -1.430
2#apa#apa15#app1539/r  -0.594 0.368  -0.594 0.249  -0.594 0.130  -0.594 0.011  -0.594 -0.109  -0.594 -0.228  -0.594 -0.347  -0.594 -0.466  -0.594 -0.585  -0.594 -0.704  -0.592 -0.822  -0.508 -0.906  -0.424 -0.990  -0.339 -1.074  -0.255 -1.158  -0.171 -1.243  -0.087 -1.327  -0.003 -1.411  -0.001 -1.296  -0.001 -1.177  -0.001 -1.058  -0.001 -0.939  -0.001 -0.820  -0.001 -0.701  -0.001 -0.582  -0.001 -0.463  -0.001 -0.344  -0.001 -0.225  -0.001 -0.106  -0.001 0.013  -0.001 0.132  -0.001 0.251  -0.001 0.370  -0.001 0.489  -0.001 0.608  -0.001 0.727  -0.001 0.846  0.003 0.961  0.122 0.961  0.241 0.961  0.361 0.961  0.480 0.961  0.597 0.965  0.681 1.050  0.765 1.134  0.849 1.218  0.934 1.302  1.018 1.386  1.102 1.470  1.186 1.555
2#apa#apa15#app1539/s  0.205 0.995  0.205 1.117  0.205 1.238  0.111 1.208  0.002 1.154  -0.107 1.099  -0.216 1.045  -0.323 0.987  -0.409 0.901  -0.496 0.815  -0.583 0.731  -0.692 0.676  -0.801 0.622  -0.910 0.567  -1.019 0.513  -1.097 0.439  -1.097 0.317  -1.078 0.214  -0.957 0.214  -0.835 0.214  -0.713 0.214  -0.591 0.214  -0.500 0.138  -0.414 0.052  -0.328 -0.034  -0.211 -0.047  -0.089 -0.047  0.032 -0.047  0.154 -0.047  0.272 -0.069  0.388 -0.108  0.504 -0.146  0.619 -0.185  0.735 -0.223  0.851 -0.262  0.966 -0.300  0.986 -0.408  0.986 -0.530  0.948 -0.643  0.894 -0.752  0.839 -0.861  0.785 -0.970  0.730 -1.079  0.626 -1.138  0.517 -1.192  0.408 -1.247  0.299 -1.301  0.188 -1.349  0.066 -1.349  -0.055 -1.349
2#apa#apa15#app1539/_  1.698 0.000  1.628 0.000  1.559 0.000  1.490 0.000  1.421 0.000  1.351 0.000  1.282 0.000  1.213 0.000  1.143 0.000  1.074 0.000  1.005 0.000  0.935 0.000  0.866 0.000  0.797 0.000  0.728 0.000  0.658 0.000  0.589 0.000  0.520 0.000  0.450 0.000  0.381 0.000  0.312 0.000  0.243 0.000  0.173 0.000  0.104 0.000  0.035 0.000  -0.035 0.000  -0.104 0.000  -0.173 0.000  -0.243 0.000  -0.312 0.000  -0.381 0.000  -0.450 0.000  -0.520 0.000  -0.589 0.000  -0.658 0.000  -0.728 0.000  -0.797 0.000  -0.866 0.000  -0.935 0.000  -1.005 0.000  -1.074 0.000  -1.143 0.000  -1.213 0.000  -1.282 0.000  -1.351 0.000  -1.421 0.000  -1.490 0.000  -1.559 0.000  -1.628 0.000  -1.698 0.000
2#apa#apa15#app1539/_  1.698 0.000  1.628 0.000  1.559 0.000  1.490 0.000  1.421 0.000  1.351 0.000  1.282 0.000  1.213 0.000  1.143 0.000  1.074 0.000  1.005 0.000  0.935 0.000  0.866 0.000  0.797 0.000  0.728 0.000  0.658 0.000  0.589 0.000  0.520 0.000  0.450 0.000  0.381 0.000  0.312 0.000  0.243 0.000  0.173 0.000  0.104 0.000  0.035 0.000  -0.035 0.000  -0.104 0.000  -0.173 0.000  -0.243 0.000  -0.312 0.000  -0.381 0.000  -0.450 0.000  -0.520 0.000  -0.589 0.000  -0.658 0.000  -0.728 0.000  -0.797 0.000  -0.866 0.000  -0.935 0.000  -1.005 0.000  -1.074 0.000  -1.143 0.000  -1.213 0.000  -1.282 0.000  -1.351 0.000  -1.421 0.000  -1.490 0.000  -1.559 0.000  -1.628 0.000  -1.698 0.000
2#apa#apa15#app1539/w  -0.969 0.542  -0.969 0.671  -0.969 0.607  -0.990 0.482  -1.030 0.359  -1.071 0.237  -1.112 0.114  -1.131 -0.012  -1.131 -0.141  -1.131 -0.270  -1.131 -0.399  -1.131 -0.529  -1.064 -0.590  -0.935 -0.590  -0.806 -0.590  -0.677 -0.590  -0.576 -0.521  -0.485 -0.430  -0.394 -0.338  -0.302 -0.247  -0.211 -0.156  -0.135 -0.053  -0.077 0.062  -0.019 0.178  -0.082 0.219  -0.160 0.168  -0.160 0.039  -0.160 -0.090  -0.160 -0.220  -0.087 -0.303  0.028 -0.361  0.144 -0.419  0.271 -0.429  0.396 -0.405  0.518 -0.364  0.641 -0.323  0.763 -0.282  0.867 -0.210  0.958 -0.119  1.049 -0.028  1.141 0.063  1.232 0.155  1.323 0.246  1.415 0.337  1.457 0.449  1.457 0.578  1.457 0.707  1.457 0.836  1.387 0.936  1.296 1.028
2#apa#apa15#app1539/i  0.285 0.180  0.207 0.102  0.130 0.025  0.074 -0.062  0.074 -0.172  0.074 -0.281  0.074 -0.391  0.074 -0.501  0.074 -0.611  0.074 -0.720  0.074 -0.830  0.074 -0.940  0.074 -1.050  0.074 -1.159  0.074 -1.269  0.074 -1.379  0.074 -1.489  0.068 -1.424  0.061 -1.314  0.055 -1.205  0.048 -1.095  0.041 -0.985  0.034 -0.876  0.027 -0.766  0.020 -0.657  0.014 -0.547  0.007 -0.438  -0.000 -0.328  -0.007 -0.219  -0.014 -0.109  -0.021 0.000  -0.028 0.110  -0.034 0.219  -0.041 0.329  -0.048 0.439  -0.055 0.548  -0.062 0.658  -0.069 0.767  -0.075 0.877  -0.082 0.986  -0.089 1.096  -0.096 1.205  -0.103 1.315  -0.110 1.424  -0.117 1.534  -0.123 1.644  -0.130 1.753  -0.137 1.863  -0.239 1.871  -0.349 1.871
2#apa#apa15#app1539/l  0.209 1.480  0.138 1.480  0.067 1.480  -0.004 1.480  -0.056 1.461  -0.056 1.390  -0.056 1.319  -0.056 1.248  -0.056 1.178  -0.056 1.107  -0.056 1.036  -0.056 0.965  -0.056 0.894  -0.056 0.823  -0.056 0.752  -0.056 0.681  -0.056 0.610  -0.056 0.539  -0.056 0.468  -0.056 0.397  -0.056 0.326  -0.056 0.256  -0.056 0.185  -0.056 0.114  -0.056 0.043  -0.056 -0.028  -0.056 -0.099  -0.056 -0.170  -0.056 -0.241  -0.056 -0.312  -0.056 -0.383  -0.056 -0.454  -0.056 -0.525  -0.056 -0.596  -0.049 -0.666  -0.032 -0.734  -0.015 -0.803  0.002 -0.872  0.019 -0.941  0.037 -1.010  0.054 -1.078  0.071 -1.147  0.088 -1.216  0.105 -1.285  0.123 -1.354  0.140 -1.422  0.157 -1.491  0.174 -1.560  0.191 -1.629  0.209 -1.698
2#apa#apa15#app1539/l  -0.008 1.642  -0.040 1.579  -0.072 1.515  -0.104 1.451  -0.135 1.388  -0.167 1.324  -0.199 1.260  -0.231 1.197  -0.230 1.133  -0.198 1.069  -0.166 1.006  -0.135 0.942  -0.103 0.878  -0.071 0.815  -0.039 0.751  -0.008 0.687  -0.008 0.616  -0.008 0.545  -0.008 0.474  -0.008 0.402  -0.008 0.331  -0.008 0.260  -0.008 0.189  -0.008 0.118  -0.008 0.047  -0.008 -0.025  -0.008 -0.096  -0.008 -0.167  -0.008 -0.238  -0.008 -0.309  -0.008 -0.381  -0.008 -0.452  -0.008 -0.523  -0.008 -0.594  -0.008 -0.665  -0.008 -0.737  0.013 -0.804  0.036 -0.872  0.058 -0.939  0.081 -1.007  0.103 -1.074  0.126 -1.142  0.148 -1.210  0.171 -1.277  0.193 -1.345  0.216 -1.412  0.230 -1.481  0.230 -1.552  0.230 -1.623  0.230 -1.695
2#apa#apa15#app1539/_  1.575 0.373  1.525 0.323  1.475 0.273  1.425 0.223  1.375 0.173  1.325 0.123  1.276 0.074  1.226 0.024  1.176 -0.026  1.110 -0.038  1.039 -0.038  0.969 -0.038  0.898 -0.038  0.828 -0.038  0.757 -0.038  0.686 -0.038  0.616 -0.038  0.545 -0.038  0.475 -0.038  0.404 -0.038  0.333 -0.038  0.263 -0.038  0.192 -0.038  0.122 -0.038  0.051 -0.038  -0.020 -0.038  -0.090 -0.038  -0.161 -0.038  -0.231 -0.038  -0.302 -0.038  -0.373 -0.038  -0.443 -0.038  -0.514 -0.038  -0.584 -0.038  -0.655 -0.038  -0.726 -0.038  -0.796 -0.038  -0.867 -0.038  -0.937 -0.038  -1.008 -0.038  -1.078 -0.038  -1.149 -0.038  -1.220 -0.038  -1.290 -0.038  -1.361 -0.038  -1.431 -0.038  -1.502 -0.038  -1.573 -0.038  -1.643 -0.038  -1.714 -0.038
2#apa#apa15#app1539/_  1.546 0.589  1.475 0.589  1.405 0.589  1.334 0.589  1.264 0.589  1.194 0.589  1.123 0.589  1.053 0.589  0.983 0.589  0.912 0.589  0.842 0.589  0.776 0.575  0.717 0.536  0.659 0.497  0.600 0.458  0.542 0.419  0.483 0.380  0.424 0.341  0.366 0.302  0.307 0.263  0.249 0.224  0.190 0.185  0.132 0.146  0.073 0.107  0.015 0.068  -0.044 0.029  -0.102 -0.010  -0.161 -0.049  -0.220 -0.088  -0.278 -0.127  -0.337 -0.166  -0.395 -0.205  -0.454 -0.244  -0.512 -0.283  -0.571 -0.322  -0.629 -0.361  -0.688 -0.400  -0.747 -0.439  -0.805 -0.479  -0.864 -0.518  -0.922 -0.557  -0.981 -0.596  -1.039 -0.635  -1.098 -0.674  -1.156 -0.713  -1.215 -0.752  -1.273 -0.791  -1.332 -0.830  -1.391 -0.869  -1.449 -0.908
2#apa#apa15#app1539/d  0.436 2.164  0.436 2.009  0.436 1.854  0.436 1.698  0.436 1.543  0.436 1.387  0.436 1.232  0.436 1.077  0.436 0.921  0.436 0.766  0.436 0.610  0.411 0.457  0.385 0.304  0.359 0.151  0.334 -0.003  0.308 -0.156  0.283 -0.309  0.257 -0.463  0.242 -0.617  0.242 -0.772  0.242 -0.927  0.242 -1.083  0.242 -1.038  0.242 -0.883  0.252 -0.730  0.321 -0.591  0.391 -0.452  0.398 -0.323  0.288 -0.213  0.178 -0.103  0.068 0.007  -0.042 0.117  -0.154 0.222  -0.309 0.222  -0.464 0.222  -0.611 0.184  -0.750 0.114  -0.889 0.045  -0.924 -0.089  -0.924 -0.244  -0.924 -0.400  -0.924 -0.555  -0.924 -0.711  -0.813 -0.786  -0.666 -0.836  -0.519 -0.885  -0.371 -0.934  -0.230 -0.999  -0.091 -1.069  0.048 -1.138
2#apa#apa15#app1539/e  -0.613 -0.553  -0.515 -0.456  -0.418 -0.359  -0.321 -0.262  -0.224 -0.165  -0.127 -0.068  -0.030 0.030  0.068 0.127  0.165 0.224  0.262 0.321  0.359 0.418  0.456 0.515  0.554 0.613  0.651 0.710  0.748 0.807  0.845 0.904  0.854 1.038  0.854 1.176  0.820 1.279  0.682 1.279  0.545 1.279  0.431 1.223  0.334 1.126  0.237 1.029  0.139 0.932  0.042 0.834  -0.055 0.737  -0.152 0.640  -0.248 0.542  -0.310 0.419  -0.371 0.296  -0.433 0.173  -0.494 0.050  -0.555 -0.073  -0.613 -0.197  -0.613 -0.334  -0.613 -0.471  -0.613 -0.609  -0.613 -0.746  -0.613 -0.884  -0.541 -0.992  -0.444 -1.089  -0.347 -1.186  -0.250 -1.283  -0.128 -1.346  -0.005 -1.407  0.118 -1.469  0.241 -1.530  0.364 -1.592  0.487 -1.653
2#apa#apa15#app1539/s  0.031 -0.084  0.126 0.010  0.220 0.104  0.293 0.207  0.293 0.341  0.293 0.474  0.293 0.608  0.293 0.741  0.293 0.874  0.293 1.008  0.293 1.141  0.243 1.224  0.109 1.224  -0.024 1.224  -0.157 1.224  -0.284 1.198  -0.404 1.138  -0.523 1.078  -0.642 1.019  -0.754 0.954  -0.754 0.821  -0.754 0.687  -0.754 0.554  -0.754 0.421  -0.754 0.287  -0.734 0.164  -0.623 0.090  -0.512 0.016  -0.401 -0.058  -0.290 -0.132  -0.180 -0.206  -0.069 -0.280  0.043 -0.352  0.163 -0.412  0.282 -0.471  0.401 -0.531  0.521 -0.591  0.622 -0.675  0.716 -0.769  0.811 -0.864  0.728 -0.958  0.634 -1.052  0.539 -1.147  0.445 -1.241  0.351 -1.335  0.247 -1.416  0.127 -1.476  0.008 -1.535  -0.111 -1.595  -0.231 -1.655
