3#app#app13#app1326/1  -0.185 1.683  -0.185 1.611  -0.173 1.544  -0.122 1.493  -0.071 1.442  -0.057 1.375  -0.057 1.303  -0.057 1.231  -0.057 1.159  -0.057 1.087  -0.057 1.015  -0.057 0.943  -0.057 0.871  -0.057 0.799  -0.057 0.727  -0.057 0.655  -0.057 0.583  -0.057 0.511  -0.057 0.439  -0.040 0.371  -0.007 0.307  0.025 0.242  0.057 0.178  0.071 0.109  0.071 0.037  0.071 -0.035  0.071 -0.107  0.071 -0.179  0.071 -0.251  0.071 -0.323  0.071 -0.395  0.071 -0.467  0.071 -0.539  0.071 -0.611  0.071 -0.683  0.071 -0.755  0.071 -0.828  0.071 -0.900  0.071 -0.972  0.071 -1.044  0.071 -1.116  0.071 -1.188  0.071 -1.260  0.071 -1.332  0.071 -1.404  0.071 -1.476  0.031 -1.509  -0.041 -1.509  -0.057 -1.453  -0.057 -1.381
3#app#app13#app1326/a  0.355 1.318  0.217 1.318  0.078 1.318  -0.061 1.318  -0.068 1.186  -0.127 1.106  -0.265 1.106  -0.368 1.018  -0.466 0.920  -0.491 0.792  -0.512 0.662  -0.610 0.564  -0.702 0.463  -0.702 0.324  -0.702 0.186  -0.704 0.047  -0.802 -0.051  -0.900 -0.149  -0.914 -0.282  -0.914 -0.420  -0.914 -0.559  -0.914 -0.698  -0.886 -0.825  -0.788 -0.923  -0.685 -1.009  -0.546 -1.009  -0.407 -1.009  -0.268 -1.009  -0.130 -1.009  0.009 -1.009  0.146 -1.005  0.208 -0.881  0.270 -0.757  0.332 -0.633  0.355 -0.500  0.368 -0.374  0.507 -0.374  0.623 -0.319  0.721 -0.220  0.778 -0.106  0.778 0.033  0.865 0.136  0.964 0.234  0.990 0.362  0.990 0.443  0.990 0.305  0.990 0.166  1.005 0.033  1.103 -0.065  1.201 -0.163
3#app#app13#app1326/r  -0.430 0.003  -0.430 -0.104  -0.430 -0.212  -0.430 -0.320  -0.430 -0.428  -0.430 -0.536  -0.430 -0.644  -0.430 -0.752  -0.430 -0.860  -0.430 -0.968  -0.430 -1.076  -0.430 -1.184  -0.430 -1.292  -0.322 -1.292  -0.214 -1.292  -0.171 -1.228  -0.171 -1.120  -0.171 -1.012  -0.171 -0.904  -0.171 -0.796  -0.085 -0.774  0.023 -0.774  0.088 -0.731  0.088 -0.623  0.088 -0.515  0.088 -0.407  0.088 -0.299  0.088 -0.191  0.088 -0.083  0.088 0.025  0.088 0.133  0.088 0.241  0.088 0.349  0.088 0.457  0.088 0.564  0.088 0.672  0.088 0.780  0.164 0.857  0.241 0.933  0.317 1.010  0.348 1.105  0.348 1.213  0.348 1.321  0.348 1.429  0.348 1.537  0.434 1.558  0.542 1.558  0.650 1.558  0.758 1.558  0.866 1.558
3#app#app13#app1326/e  -0.908 0.223  -0.742 0.223  -0.620 0.179  -0.620 0.012  -0.532 -0.066  -0.365 -0.066  -0.199 -0.066  -0.042 -0.056  -0.042 0.111  0.012 0.223  0.178 0.223  0.345 0.223  0.511 0.223  0.535 0.365  0.535 0.532  0.535 0.698  0.535 0.864  0.535 1.031  0.535 1.197  0.535 1.364  0.383 1.378  0.216 1.378  0.050 1.378  -0.095 1.325  -0.212 1.208  -0.330 1.090  -0.331 0.924  -0.331 0.758  -0.331 0.591  -0.331 0.425  -0.331 0.258  -0.331 0.092  -0.331 -0.074  -0.331 -0.241  -0.331 -0.407  -0.331 -0.574  -0.331 -0.740  -0.331 -0.906  -0.331 -1.073  -0.318 -1.234  -0.200 -1.351  -0.082 -1.469  0.067 -1.509  0.234 -1.509  0.355 -1.401  0.473 -1.283  0.613 -1.221  0.780 -1.221  0.824 -1.098  0.824 -0.932
3#app#app13#app1326/^  -1.028 -1.557  -1.028 -1.434  -1.028 -1.311  -0.955 -1.218  -0.868 -1.131  -0.781 -1.045  -0.762 -0.930  -0.762 -0.807  -0.762 -0.684  -0.762 -0.561  -0.723 -0.455  -0.636 -0.368  -0.549 -0.281  -0.496 -0.180  -0.496 -0.057  -0.496 0.066  -0.496 0.189  -0.490 0.309  -0.403 0.396  -0.317 0.483  -0.231 0.570  -0.231 0.693  -0.231 0.816  -0.126 0.834  -0.004 0.834  0.035 0.919  0.035 1.042  0.099 1.100  0.222 1.100  0.301 1.056  0.301 0.933  0.325 0.834  0.448 0.834  0.566 0.830  0.566 0.707  0.566 0.585  0.566 0.462  0.566 0.339  0.628 0.241  0.715 0.155  0.802 0.068  0.832 -0.043  0.832 -0.165  0.832 -0.288  0.832 -0.411  0.832 -0.534  0.832 -0.657  0.852 -0.760  0.975 -0.760  1.098 -0.760
3#app#app13#app1326/u  -1.027 0.875  -1.027 0.770  -1.027 0.666  -1.027 0.562  -1.027 0.457  -1.027 0.353  -1.027 0.248  -0.949 0.221  -0.845 0.221  -0.809 0.153  -0.809 0.048  -0.809 -0.056  -0.809 -0.161  -0.809 -0.265  -0.809 -0.369  -0.780 -0.462  -0.706 -0.536  -0.632 -0.610  -0.558 -0.683  -0.484 -0.757  -0.410 -0.831  -0.321 -0.868  -0.217 -0.868  -0.112 -0.868  -0.008 -0.868  0.087 -0.845  0.160 -0.771  0.234 -0.697  0.308 -0.623  0.382 -0.549  0.456 -0.476  0.530 -0.402  0.604 -0.328  0.677 -0.254  0.751 -0.180  0.825 -0.106  0.899 -0.032  0.935 0.057  0.935 0.162  0.935 0.266  0.935 0.371  0.935 0.475  0.935 0.580  0.935 0.684  0.935 0.788  0.935 0.893  0.935 0.997  0.935 1.102  0.935 1.206  0.935 1.311
3#app#app13#app1326/n  -0.961 0.319  -1.101 0.319  -1.203 0.282  -1.203 0.142  -1.203 0.002  -1.203 -0.138  -1.124 -0.245  -1.025 -0.345  -0.961 -0.458  -0.961 -0.598  -0.961 -0.738  -0.961 -0.878  -0.836 -0.893  -0.696 -0.893  -0.555 -0.893  -0.476 -0.833  -0.476 -0.693  -0.378 -0.651  -0.238 -0.651  -0.233 -0.515  -0.218 -0.378  -0.156 -0.253  -0.093 -0.128  -0.031 -0.003  0.009 0.128  0.009 0.268  0.072 0.382  0.171 0.481  0.252 0.588  0.252 0.728  0.252 0.868  0.252 1.008  0.353 1.047  0.493 1.047  0.633 1.047  0.753 1.014  0.816 0.889  0.878 0.764  0.941 0.639  0.979 0.507  0.979 0.367  0.979 0.227  0.979 0.087  0.979 -0.053  0.979 -0.193  0.979 -0.333  0.979 -0.473  0.979 -0.613  1.082 -0.651  1.222 -0.651
3#app#app13#app1326/d  -0.144 -0.011  -0.154 0.166  -0.340 0.166  -0.518 0.145  -0.650 0.013  -0.674 -0.164  -0.837 -0.188  -0.851 -0.360  -0.851 -0.547  -0.851 -0.734  -0.851 -0.920  -0.826 -1.097  -0.694 -1.229  -0.674 -1.407  -0.506 -1.426  -0.320 -1.425  -0.188 -1.293  -0.056 -1.161  0.033 -1.011  0.033 -0.824  0.090 -0.661  0.210 -0.524  0.210 -0.337  0.210 -0.151  0.210 0.036  0.210 0.223  0.257 0.390  0.387 0.523  0.387 0.709  0.387 0.896  0.387 1.083  0.387 1.269  0.350 1.441  0.218 1.573  0.210 1.756  0.216 1.574  0.348 1.442  0.387 1.272  0.387 1.085  0.387 0.898  0.387 0.712  0.387 0.525  0.387 0.338  0.387 0.152  0.387 -0.035  0.387 -0.222  0.387 -0.408  0.387 -0.595  0.432 -0.763  0.564 -0.895
3#app#app13#app1326/e  -0.599 -0.664  -0.451 -0.664  -0.303 -0.664  -0.155 -0.664  -0.009 -0.657  0.096 -0.552  0.201 -0.448  0.306 -0.343  0.410 -0.238  0.515 -0.133  0.568 -0.007  0.568 0.142  0.568 0.290  0.568 0.438  0.568 0.587  0.568 0.735  0.568 0.883  0.568 1.032  0.568 1.180  0.568 1.328  0.470 1.379  0.322 1.379  0.174 1.379  0.025 1.379  -0.092 1.303  -0.196 1.198  -0.301 1.093  -0.308 0.948  -0.308 0.799  -0.308 0.651  -0.308 0.503  -0.413 0.398  -0.518 0.293  -0.599 0.179  -0.599 0.030  -0.599 -0.118  -0.599 -0.266  -0.599 -0.415  -0.599 -0.563  -0.566 -0.697  -0.461 -0.802  -0.356 -0.907  -0.252 -1.012  -0.147 -1.117  -0.042 -1.222  0.063 -1.327  0.168 -1.431  0.273 -1.536  0.420 -1.540  0.568 -1.540
3#app#app13#app1326/f  -0.308 -0.511  -0.315 -0.710  -0.458 -0.854  -0.501 -1.038  -0.501 -1.241  -0.501 -1.444  -0.331 -1.476  -0.308 -1.297  -0.119 -1.283  -0.115 -1.085  -0.115 -0.882  -0.115 -0.680  -0.115 -0.477  -0.115 -0.275  -0.115 -0.072  -0.115 0.130  -0.115 0.333  -0.115 0.536  -0.051 0.712  0.078 0.861  0.078 1.063  0.078 1.266  0.078 1.469  0.119 1.654  0.262 1.798  0.461 1.807  0.605 1.666  0.604 1.497  0.521 1.313  0.437 1.128  0.353 0.944  0.269 0.759  0.185 0.575  0.101 0.391  0.018 0.206  -0.066 0.022  -0.150 -0.163  -0.234 -0.347  -0.308 -0.534  -0.331 -0.727  -0.474 -0.870  -0.337 -0.897  -0.308 -0.723  -0.125 -0.704  0.021 -0.568  0.165 -0.424  0.323 -0.318  0.508 -0.274  0.651 -0.131  0.851 -0.124
3#app#app13#app1326/i  -0.199 -0.211  -0.199 -0.305  -0.199 -0.400  -0.199 -0.495  -0.199 -0.589  -0.199 -0.684  -0.199 -0.778  -0.199 -0.873  -0.199 -0.968  -0.199 -1.062  -0.199 -1.157  -0.199 -1.251  -0.155 -1.301  -0.060 -1.301  0.034 -1.301  0.073 -1.246  0.073 -1.151  0.073 -1.057  0.073 -0.962  0.073 -0.867  0.073 -0.773  0.073 -0.678  0.073 -0.584  0.073 -0.489  0.073 -0.394  0.073 -0.300  0.073 -0.205  0.073 -0.111  0.073 -0.016  0.073 0.078  0.073 0.173  0.073 0.268  0.073 0.362  0.073 0.457  0.073 0.551  0.073 0.646  0.073 0.741  0.073 0.835  0.073 0.930  0.073 1.024  0.073 1.119  0.073 1.213  0.073 1.308  0.073 1.403  0.073 1.497  0.073 1.592  0.073 1.686  0.073 1.781  0.073 1.876  0.073 1.970
3#app#app13#app1326/n  -0.841 0.710  -0.841 0.553  -0.841 0.396  -0.783 0.263  -0.671 0.151  -0.646 0.005  -0.646 -0.153  -0.646 -0.310  -0.646 -0.467  -0.646 -0.624  -0.646 -0.782  -0.646 -0.939  -0.646 -1.096  -0.646 -1.253  -0.646 -1.411  -0.646 -1.299  -0.549 -1.238  -0.451 -1.179  -0.435 -1.028  -0.324 -0.917  -0.256 -0.788  -0.256 -0.631  -0.256 -0.473  -0.192 -0.331  -0.122 -0.191  -0.061 -0.048  -0.061 0.110  -0.061 0.267  -0.015 0.413  0.056 0.554  0.126 0.695  0.134 0.850  0.206 0.977  0.317 1.089  0.329 1.241  0.432 1.295  0.570 1.248  0.681 1.137  0.719 0.995  0.719 0.838  0.739 0.689  0.851 0.578  0.913 0.447  0.913 0.290  0.913 0.133  1.064 0.126  1.108 0.013  1.108 -0.144  1.108 -0.302  1.108 -0.459
3#app#app13#app1326/e  -0.650 -0.849  -0.494 -0.849  -0.339 -0.849  -0.184 -0.849  -0.091 -0.787  -0.091 -0.631  0.003 -0.570  0.158 -0.570  0.313 -0.570  0.467 -0.569  0.467 -0.414  0.467 -0.258  0.467 -0.103  0.467 0.052  0.467 0.207  0.467 0.363  0.467 0.518  0.467 0.673  0.467 0.828  0.467 0.983  0.467 1.139  0.467 1.294  0.422 1.430  0.312 1.540  0.202 1.650  0.188 1.528  0.180 1.376  0.070 1.267  -0.040 1.157  -0.091 1.023  -0.091 0.868  -0.171 0.746  -0.281 0.636  -0.370 0.518  -0.370 0.363  -0.370 0.207  -0.370 0.052  -0.370 -0.103  -0.370 -0.258  -0.370 -0.414  -0.370 -0.569  -0.370 -0.724  -0.370 -0.879  -0.370 -1.034  -0.370 -1.190  -0.370 -1.345  -0.278 -1.407  -0.122 -1.407  -0.091 -1.531  -0.091 -1.687
3#app#app13#app1326/d  -0.429 0.086  -0.471 -0.049  -0.564 -0.134  -0.691 -0.184  -0.699 -0.353  -0.699 -0.530  -0.699 -0.707  -0.699 -0.884  -0.699 -1.061  -0.699 -1.238  -0.680 -1.397  -0.503 -1.397  -0.326 -1.397  -0.152 -1.390  -0.027 -1.264  0.099 -1.139  0.182 -0.984  0.245 -0.822  0.301 -0.668  0.380 -0.523  0.380 -0.346  0.380 -0.169  0.380 0.008  0.380 0.185  0.377 0.361  0.298 0.520  0.245 0.684  0.245 0.862  0.239 1.036  0.113 1.161  0.110 1.337  0.110 1.514  0.110 1.691  -0.025 1.673  0.048 1.569  0.110 1.454  0.110 1.277  0.110 1.100  0.110 0.923  0.110 0.745  0.110 0.568  0.180 0.420  0.245 0.270  0.245 0.093  0.245 -0.084  0.245 -0.261  0.330 -0.403  0.380 -0.560  0.389 -0.733  0.515 -0.858
3#app#app13#app1326/^  -0.936 -0.273  -0.936 -0.399  -0.936 -0.525  -0.936 -0.651  -0.936 -0.776  -0.936 -0.902  -0.936 -1.028  -0.936 -1.043  -0.936 -0.917  -0.904 -0.823  -0.778 -0.823  -0.661 -0.814  -0.661 -0.689  -0.661 -0.563  -0.661 -0.437  -0.661 -0.311  -0.661 -0.186  -0.661 -0.060  -0.597 0.002  -0.471 0.002  -0.386 0.043  -0.386 0.168  -0.386 0.294  -0.386 0.420  -0.386 0.546  -0.301 0.636  -0.213 0.725  -0.124 0.814  -0.003 0.827  0.123 0.827  0.249 0.827  0.374 0.827  0.500 0.827  0.626 0.827  0.714 0.788  0.714 0.663  0.728 0.552  0.854 0.552  0.980 0.552  0.989 0.435  0.989 0.309  0.989 0.183  0.989 0.057  1.059 0.002  1.184 0.002  1.263 -0.045  1.263 -0.171  1.263 -0.297  1.263 -0.422  1.263 -0.548
