3#apb#apb10#app1035/L  -0.138 0.877  -0.052 0.846  0.065 0.851  0.179 0.879  0.287 0.925  0.384 0.990  0.480 1.058  0.571 1.132  0.663 1.206  0.732 1.298  0.776 1.397  0.710 1.300  0.647 1.202  0.582 1.104  0.519 1.004  0.457 0.905  0.398 0.803  0.338 0.702  0.281 0.600  0.224 0.497  0.167 0.394  0.106 0.293  0.046 0.193  -0.014 0.092  -0.076 -0.008  -0.138 -0.108  -0.200 -0.208  -0.258 -0.310  -0.315 -0.412  -0.373 -0.515  -0.441 -0.610  -0.510 -0.706  -0.570 -0.806  -0.629 -0.908  -0.699 -1.002  -0.767 -1.098  -0.837 -1.191  -0.794 -1.114  -0.731 -1.016  -0.639 -0.946  -0.528 -0.908  -0.418 -0.870  -0.310 -0.830  -0.195 -0.846  -0.088 -0.895  0.015 -0.951  0.110 -1.020  0.215 -1.072  0.327 -1.099  0.444 -1.099
3#apb#apb10#app1035/t  1.217 1.871  1.131 1.751  1.050 1.627  0.973 1.501  0.896 1.375  0.819 1.249  0.738 1.125  0.650 1.006  0.563 0.887  0.477 0.766  0.393 0.644  0.308 0.523  0.228 0.399  0.149 0.274  0.070 0.149  -0.011 0.026  -0.102 -0.091  -0.194 -0.207  -0.284 -0.324  -0.370 -0.445  -0.455 -0.566  -0.515 -0.700  -0.553 -0.841  -0.553 -0.989  -0.501 -1.121  -0.408 -1.235  -0.268 -1.284  -0.121 -1.298  0.022 -1.265  0.020 -1.175  -0.066 -1.054  -0.152 -0.934  -0.238 -0.813  -0.323 -0.693  -0.409 -0.572  -0.495 -0.452  -0.581 -0.331  -0.667 -0.211  -0.753 -0.091  -0.838 0.030  -0.742 0.053  -0.595 0.065  -0.448 0.082  -0.303 0.108  -0.157 0.136  -0.012 0.163  0.133 0.191  0.279 0.216  0.426 0.231  0.573 0.246
3#apb#apb10#app1035/a  0.832 -0.314  0.928 -0.218  0.987 -0.107  0.987 0.028  0.987 0.163  0.987 0.299  0.977 0.430  0.897 0.535  0.842 0.658  0.766 0.770  0.679 0.870  0.566 0.945  0.448 0.996  0.313 0.981  0.179 0.966  0.047 0.937  -0.084 0.902  -0.214 0.866  -0.340 0.818  -0.458 0.753  -0.577 0.688  -0.696 0.623  -0.780 0.519  -0.857 0.409  -0.935 0.298  -1.013 0.187  -1.092 0.077  -1.170 -0.033  -1.191 -0.165  -1.206 -0.300  -1.186 -0.422  -1.090 -0.518  -0.971 -0.576  -0.843 -0.619  -0.714 -0.662  -0.579 -0.662  -0.444 -0.662  -0.308 -0.662  -0.173 -0.662  -0.042 -0.629  0.090 -0.596  0.221 -0.563  0.354 -0.546  0.489 -0.546  0.612 -0.584  0.717 -0.667  0.736 -0.801  0.755 -0.935  0.774 -1.069  0.793 -1.203
3#apb#apb10#app1035/h  0.168 0.626  0.251 0.759  0.355 0.877  0.448 1.004  0.563 1.112  0.643 1.248  0.724 1.384  0.817 1.511  0.842 1.569  0.756 1.437  0.673 1.302  0.588 1.170  0.497 1.040  0.411 0.907  0.332 0.771  0.253 0.634  0.174 0.497  0.095 0.360  0.013 0.225  -0.080 0.098  -0.173 -0.030  -0.266 -0.158  -0.354 -0.289  -0.442 -0.421  -0.529 -0.552  -0.617 -0.684  -0.704 -0.815  -0.792 -0.946  -0.882 -1.077  -0.963 -1.212  -1.006 -1.327  -0.911 -1.201  -0.815 -1.075  -0.719 -0.949  -0.623 -0.824  -0.547 -0.688  -0.448 -0.580  -0.313 -0.497  -0.179 -0.413  -0.043 -0.334  0.097 -0.259  0.231 -0.177  0.369 -0.118  0.478 -0.126  0.425 -0.273  0.356 -0.415  0.276 -0.552  0.206 -0.693  0.172 -0.845  0.193 -1.000
3#apb#apb10#app1035/a  0.404 -0.432  0.460 -0.294  0.571 -0.152  0.674 0.010  0.730 0.196  0.772 0.385  0.772 0.578  0.738 0.769  0.690 0.957  0.587 1.099  0.405 1.154  0.211 1.154  0.026 1.126  -0.132 1.013  -0.290 0.901  -0.436 0.774  -0.578 0.642  -0.721 0.510  -0.842 0.359  -0.961 0.206  -1.077 0.051  -1.185 -0.111  -1.287 -0.275  -1.374 -0.448  -1.408 -0.634  -1.356 -0.810  -1.237 -0.963  -1.062 -1.019  -0.870 -1.052  -0.680 -1.079  -0.488 -1.048  -0.319 -0.977  -0.194 -0.829  -0.069 -0.681  0.056 -0.533  0.181 -0.384  0.306 -0.236  0.432 -0.088  0.557 0.060  0.682 0.208  0.761 0.367  0.906 0.495  1.016 0.466  0.953 0.286  0.823 0.141  0.702 -0.008  0.623 -0.185  0.561 -0.369  0.507 -0.555  0.460 -0.743
3#apb#apb10#app1035/n  -0.769 0.137  -0.667 0.254  -0.561 0.368  -0.478 0.399  -0.559 0.266  -0.611 0.120  -0.666 -0.025  -0.753 -0.155  -0.839 -0.284  -0.927 -0.412  -1.016 -0.540  -1.116 -0.659  -1.218 -0.776  -1.318 -0.895  -1.270 -0.843  -1.178 -0.718  -1.085 -0.593  -0.993 -0.468  -0.900 -0.343  -0.832 -0.211  -0.703 -0.125  -0.566 -0.050  -0.429 0.022  -0.288 0.087  -0.146 0.152  -0.004 0.214  0.139 0.276  0.284 0.332  0.430 0.386  0.576 0.440  0.719 0.501  0.861 0.564  0.999 0.635  1.133 0.715  1.266 0.794  1.414 0.843  1.428 0.801  1.352 0.665  1.272 0.532  1.182 0.406  1.072 0.296  0.966 0.183  0.884 0.051  0.801 -0.081  0.715 -0.210  0.625 -0.337  0.537 -0.465  0.477 -0.608  0.415 -0.751  0.345 -0.890
3#apb#apb10#app1035/d  -0.250 -0.506  -0.213 -0.344  -0.260 -0.189  -0.398 -0.112  -0.566 -0.105  -0.725 -0.142  -0.873 -0.221  -1.013 -0.315  -1.144 -0.419  -1.260 -0.540  -1.343 -0.683  -1.337 -0.844  -1.220 -0.952  -1.062 -1.011  -0.895 -1.002  -0.773 -0.892  -0.656 -0.772  -0.539 -0.651  -0.422 -0.531  -0.305 -0.410  -0.188 -0.289  -0.071 -0.169  0.046 -0.048  0.163 0.072  0.280 0.193  0.397 0.313  0.514 0.434  0.631 0.555  0.748 0.675  0.865 0.796  0.982 0.916  1.099 1.037  1.216 1.158  1.322 1.277  1.187 1.250  1.075 1.125  0.960 1.002  0.854 0.872  0.753 0.738  0.656 0.601  0.561 0.462  0.469 0.322  0.378 0.180  0.287 0.039  0.196 -0.102  0.108 -0.246  0.037 -0.397  -0.033 -0.551  -0.097 -0.706  -0.143 -0.867
3#apb#apb10#app1035/M  -0.937 0.080  -0.816 0.173  -0.589 0.326  -0.355 0.471  -0.376 0.396  -0.529 0.169  -0.675 -0.064  -0.829 -0.292  -0.992 -0.513  -1.148 -0.739  -1.315 -0.957  -1.471 -1.184  -1.360 -1.037  -1.195 -0.816  -1.031 -0.596  -0.866 -0.376  -0.702 -0.155  -0.542 0.059  -0.364 0.076  -0.134 0.226  0.103 0.364  0.331 0.519  0.553 0.680  0.645 0.751  0.493 0.522  0.360 0.281  0.190 0.065  0.045 -0.168  -0.106 -0.398  -0.265 -0.622  -0.427 -0.844  -0.381 -0.745  -0.230 -0.514  -0.079 -0.284  0.064 -0.158  0.274 0.018  0.500 0.173  0.725 0.331  0.943 0.499  1.156 0.672  1.366 0.849  1.577 1.026  1.603 1.003  1.436 0.785  1.281 0.558  1.126 0.331  0.966 0.107  0.809 -0.119  0.657 -0.348  0.508 -0.579
3#apb#apb10#app1035/e  -0.277 -0.820  -0.336 -0.740  -0.268 -0.639  -0.166 -0.563  -0.064 -0.486  0.039 -0.412  0.144 -0.339  0.248 -0.266  0.350 -0.191  0.424 -0.087  0.498 0.017  0.577 0.117  0.659 0.215  0.732 0.318  0.789 0.432  0.846 0.546  0.880 0.669  0.907 0.793  0.934 0.918  0.952 1.044  0.959 1.166  0.845 1.215  0.730 1.194  0.624 1.123  0.518 1.053  0.420 0.973  0.334 0.879  0.248 0.785  0.162 0.691  0.076 0.597  -0.006 0.500  -0.087 0.401  -0.169 0.303  -0.250 0.205  -0.331 0.106  -0.412 0.008  -0.486 -0.095  -0.551 -0.205  -0.615 -0.315  -0.680 -0.425  -0.744 -0.534  -0.809 -0.644  -0.858 -0.762  -0.901 -0.882  -0.944 -1.002  -0.986 -1.122  -1.005 -1.245  -0.994 -1.372  -0.984 -1.499  -0.973 -1.626
3#apb#apb10#app1035/x  -0.889 -0.066  -0.766 0.036  -0.629 0.173  -0.512 0.326  -0.374 0.458  -0.270 0.620  -0.254 0.466  -0.254 0.272  -0.254 0.079  -0.252 -0.114  -0.237 -0.306  -0.244 -0.499  -0.254 -0.691  -0.254 -0.885  -0.189 -0.999  -0.082 -0.838  0.024 -0.677  0.131 -0.516  0.238 -0.355  0.345 -0.194  0.451 -0.033  0.558 0.128  0.665 0.289  0.772 0.450  0.879 0.611  0.985 0.772  1.092 0.933  1.199 1.094  1.303 1.257  1.256 1.247  1.114 1.117  0.968 0.990  0.819 0.867  0.670 0.744  0.531 0.610  0.395 0.473  0.258 0.336  0.119 0.202  -0.021 0.069  -0.161 -0.064  -0.297 -0.201  -0.428 -0.343  -0.558 -0.486  -0.689 -0.628  -0.823 -0.767  -0.960 -0.903  -1.096 -1.040  -1.225 -1.184  -1.342 -1.337  -1.459 -1.491
3#apb#apb10#app1035/i  -0.600 -0.156  -0.500 -0.102  -0.434 -0.019  -0.385 0.038  -0.315 0.079  -0.314 0.150  -0.368 0.047  -0.435 -0.048  -0.502 -0.143  -0.573 -0.234  -0.648 -0.323  -0.723 -0.412  -0.796 -0.502  -0.838 -0.610  -0.880 -0.719  -0.925 -0.825  -0.990 -0.922  -0.980 -1.022  -0.878 -1.049  -0.772 -1.026  -0.692 -0.942  -0.612 -0.858  -0.532 -0.773  -0.452 -0.689  -0.372 -0.605  -0.292 -0.520  -0.212 -0.436  -0.132 -0.351  -0.052 -0.267  0.027 -0.183  0.107 -0.098  0.187 -0.014  0.267 0.070  0.347 0.155  0.427 0.239  0.507 0.323  0.587 0.408  0.667 0.492  0.747 0.576  0.827 0.661  0.906 0.745  0.986 0.829  1.066 0.914  1.146 0.998  1.226 1.082  1.306 1.167  1.369 1.248  1.263 1.252  1.172 1.180  1.065 1.195
3#apb#apb10#app1035/c  0.653 0.380  0.672 0.426  0.702 0.327  0.702 0.219  0.701 0.209  0.735 0.310  0.774 0.410  0.816 0.509  0.886 0.590  0.954 0.673  0.972 0.775  0.965 0.881  0.892 0.945  0.790 0.966  0.697 1.016  0.601 0.968  0.504 0.920  0.408 0.872  0.318 0.812  0.229 0.752  0.139 0.692  0.050 0.633  -0.036 0.568  -0.122 0.502  -0.208 0.437  -0.293 0.372  -0.378 0.306  -0.445 0.221  -0.512 0.137  -0.578 0.052  -0.645 -0.033  -0.694 -0.128  -0.742 -0.225  -0.790 -0.321  -0.838 -0.417  -0.871 -0.520  -0.902 -0.623  -0.905 -0.727  -0.879 -0.831  -0.828 -0.924  -0.761 -1.009  -0.695 -1.093  -0.604 -1.151  -0.513 -1.209  -0.421 -1.264  -0.314 -1.276  -0.207 -1.288  -0.100 -1.288  0.008 -1.288  0.113 -1.264
3#apb#apb10#app1035/o  0.307 0.369  0.414 0.476  0.477 0.610  0.545 0.741  0.574 0.854  0.486 0.977  0.368 1.040  0.217 1.040  0.066 1.040  -0.085 1.040  -0.219 0.972  -0.352 0.900  -0.481 0.823  -0.587 0.716  -0.694 0.609  -0.801 0.502  -0.888 0.380  -0.968 0.251  -1.047 0.123  -1.111 -0.012  -1.140 -0.160  -1.166 -0.308  -1.103 -0.445  -1.039 -0.582  -0.976 -0.719  -0.852 -0.800  -0.719 -0.871  -0.586 -0.943  -0.443 -0.972  -0.292 -0.972  -0.141 -0.972  0.010 -0.972  0.161 -0.967  0.307 -0.931  0.454 -0.894  0.600 -0.857  0.742 -0.806  0.877 -0.738  1.012 -0.670  1.048 -0.524  1.071 -0.378  1.028 -0.233  0.985 -0.088  0.892 0.029  0.791 0.141  0.690 0.253  0.573 0.349  0.454 0.441  0.334 0.534  0.207 0.604
3#apb#apb10#app1035/5  0.459 1.245  0.360 1.216  0.263 1.162  0.150 1.143  0.045 1.173  -0.056 1.229  -0.161 1.279  -0.257 1.275  -0.298 1.167  -0.342 1.060  -0.355 0.945  -0.355 0.829  -0.355 0.713  -0.362 0.597  -0.381 0.483  -0.376 0.390  -0.263 0.412  -0.148 0.428  -0.037 0.459  0.075 0.453  0.186 0.421  0.296 0.384  0.402 0.338  0.501 0.277  0.592 0.207  0.674 0.125  0.726 0.022  0.741 -0.092  0.748 -0.208  0.729 -0.322  0.707 -0.436  0.654 -0.539  0.599 -0.641  0.528 -0.732  0.449 -0.817  0.359 -0.888  0.255 -0.940  0.152 -0.991  0.042 -1.027  -0.070 -1.059  -0.182 -1.090  -0.296 -1.108  -0.411 -1.121  -0.527 -1.133  -0.642 -1.135  -0.756 -1.116  -0.871 -1.096  -0.974 -1.053  -1.064 -0.980  -1.155 -0.907
3#apb#apb10#app1035/  0.822 1.374  0.838 1.395  0.828 1.327  0.808 1.261  0.776 1.199  0.744 1.137  0.711 1.076  0.675 1.016  0.639 0.957  0.604 0.897  0.568 0.837  0.530 0.779  0.491 0.721  0.452 0.663  0.414 0.605  0.375 0.547  0.337 0.489  0.298 0.432  0.259 0.374  0.221 0.316  0.182 0.258  0.144 0.200  0.104 0.142  0.064 0.086  0.023 0.029  -0.018 -0.027  -0.058 -0.084  -0.099 -0.140  -0.139 -0.197  -0.178 -0.254  -0.216 -0.313  -0.254 -0.371  -0.292 -0.430  -0.330 -0.488  -0.368 -0.546  -0.406 -0.605  -0.443 -0.663  -0.481 -0.722  -0.519 -0.780  -0.556 -0.839  -0.594 -0.897  -0.631 -0.956  -0.667 -1.016  -0.702 -1.076  -0.738 -1.136  -0.774 -1.195  -0.809 -1.255  -0.845 -1.315  -0.878 -1.376  -0.910 -1.438
3#apb#apb10#app1035/1  0.531 1.374  0.554 1.441  0.596 1.458  0.588 1.390  0.577 1.320  0.566 1.250  0.547 1.183  0.526 1.116  0.505 1.049  0.484 0.982  0.462 0.915  0.439 0.848  0.417 0.781  0.395 0.715  0.373 0.648  0.350 0.581  0.319 0.518  0.287 0.456  0.255 0.393  0.222 0.331  0.190 0.268  0.158 0.206  0.125 0.144  0.093 0.081  0.060 0.019  0.027 -0.043  -0.006 -0.105  -0.039 -0.167  -0.073 -0.229  -0.106 -0.291  -0.139 -0.353  -0.172 -0.415  -0.208 -0.475  -0.245 -0.536  -0.281 -0.596  -0.317 -0.656  -0.353 -0.717  -0.389 -0.777  -0.425 -0.837  -0.460 -0.899  -0.494 -0.960  -0.529 -1.021  -0.564 -1.082  -0.598 -1.144  -0.633 -1.205  -0.668 -1.266  -0.704 -1.326  -0.739 -1.387  -0.751 -1.454  -0.751 -1.525
3#apb#apb10#app1035/3  -0.622 0.950  -0.725 0.904  -0.575 0.833  -0.414 0.810  -0.248 0.810  -0.082 0.810  0.084 0.810  0.249 0.822  0.410 0.862  0.571 0.900  0.735 0.930  0.899 0.950  1.065 0.950  1.220 0.939  1.098 0.851  0.949 0.778  0.811 0.686  0.660 0.618  0.511 0.547  0.371 0.457  0.232 0.366  0.093 0.276  -0.046 0.185  -0.185 0.095  -0.324 0.004  -0.462 -0.088  -0.606 -0.172  -0.653 -0.220  -0.488 -0.209  -0.322 -0.210  -0.156 -0.221  0.009 -0.212  0.173 -0.235  0.332 -0.280  0.493 -0.315  0.606 -0.418  0.548 -0.560  0.423 -0.669  0.286 -0.762  0.141 -0.843  -0.010 -0.911  -0.162 -0.977  -0.309 -1.055  -0.461 -1.120  -0.621 -1.165  -0.780 -1.212  -0.939 -1.260  -1.100 -1.300  -1.258 -1.347  -1.417 -1.381
