2#tos#t1#t1035063/\"  -0.478 0.604  -0.608 0.561  -0.608 0.389  -0.608 0.216  -0.608 0.043  -0.526 -0.047  -0.478 -0.172  -0.478 -0.345  -0.478 -0.518  -0.478 -0.690  -0.478 -0.863  -0.478 -1.036  -0.478 -1.209  -0.478 -1.382  -0.478 -1.554  -0.478 -1.727  -0.424 -1.592  -0.365 -1.429  -0.307 -1.266  -0.248 -1.104  -0.190 -0.941  -0.131 -0.779  -0.073 -0.616  -0.014 -0.454  0.044 -0.291  0.103 -0.128  0.161 0.034  0.220 0.197  0.278 0.359  0.337 0.522  0.395 0.684  0.454 0.847  0.512 1.009  0.571 1.172  0.629 1.335  0.688 1.497  0.542 1.516  0.434 1.451  0.434 1.278  0.304 1.236  0.304 1.063  0.304 0.890  0.304 0.717  0.346 0.562  0.434 0.426  0.434 0.253  0.434 0.080  0.434 -0.093  0.434 -0.265  0.434 -0.438
2#tos#t1#t1035063/]  -0.509 0.980  -0.611 0.980  -0.708 0.951  -0.805 0.923  -0.850 0.866  -0.761 0.898  -0.670 0.923  -0.568 0.923  -0.466 0.923  -0.365 0.923  -0.269 0.937  -0.185 0.980  -0.083 0.980  -0.003 1.032  0.097 1.037  0.198 1.037  0.285 1.022  0.285 0.920  0.285 0.818  0.285 0.716  0.285 0.615  0.289 0.514  0.321 0.417  0.342 0.319  0.342 0.217  0.373 0.123  0.399 0.027  0.399 -0.074  0.399 -0.176  0.399 -0.278  0.399 -0.379  0.399 -0.481  0.399 -0.583  0.399 -0.685  0.399 -0.786  0.399 -0.888  0.399 -0.990  0.399 -1.091  0.399 -1.193  0.337 -1.233  0.235 -1.233  0.134 -1.233  0.032 -1.233  -0.070 -1.233  -0.171 -1.233  -0.273 -1.233  -0.375 -1.233  -0.420 -1.177  -0.521 -1.177  -0.623 -1.177
2#tos#t1#t1035063/^  -0.873 -0.850  -0.900 -0.951  -1.014 -0.989  -1.128 -1.027  -1.147 -1.115  -1.147 -0.995  -1.091 -0.905  -0.991 -0.838  -0.891 -0.771  -0.829 -0.672  -0.782 -0.563  -0.782 -0.443  -0.718 -0.362  -0.611 -0.309  -0.565 -0.201  -0.527 -0.087  -0.466 0.012  -0.381 0.097  -0.326 0.194  -0.326 0.314  -0.326 0.434  -0.326 0.554  -0.261 0.609  -0.193 0.693  -0.143 0.802  -0.143 0.922  -0.076 0.974  0.039 0.969  0.039 0.849  0.102 0.792  0.222 0.791  0.222 0.671  0.273 0.583  0.381 0.529  0.404 0.424  0.436 0.335  0.556 0.335  0.676 0.335  0.678 0.217  0.733 0.153  0.849 0.126  0.963 0.088  1.042 0.026  1.107 -0.029  1.212 -0.081  1.312 -0.148  1.407 -0.217  1.407 -0.337  1.407 -0.457  1.499 -0.486
2#tos#t1#t1035063/_  -1.321 0.078  -1.321 0.003  -1.321 -0.073  -1.376 -0.093  -1.452 -0.093  -1.458 -0.093  -1.383 -0.093  -1.307 -0.093  -1.232 -0.093  -1.157 -0.093  -1.081 -0.093  -1.006 -0.093  -0.931 -0.093  -0.855 -0.093  -0.780 -0.093  -0.705 -0.093  -0.629 -0.093  -0.554 -0.093  -0.482 -0.070  -0.411 -0.046  -0.340 -0.022  -0.267 -0.008  -0.191 -0.008  -0.116 -0.008  -0.041 -0.008  0.035 -0.008  0.110 -0.008  0.185 -0.008  0.261 -0.008  0.303 0.025  0.326 0.078  0.401 0.078  0.476 0.078  0.552 0.078  0.627 0.078  0.702 0.078  0.778 0.078  0.853 0.078  0.928 0.078  1.004 0.078  1.079 0.078  1.154 0.078  1.229 0.078  1.305 0.078  1.380 0.078  1.455 0.078  1.531 0.078  1.606 0.078  1.681 0.078  1.757 0.078
2#tos#t1#t1035063/}  -0.278 1.370  -0.275 1.276  -0.178 1.276  -0.080 1.276  -0.030 1.323  0.067 1.323  0.164 1.323  0.262 1.323  0.291 1.255  0.244 1.205  0.232 1.110  0.196 1.021  0.177 0.944  0.101 0.921  0.077 0.849  0.007 0.821  0.007 0.724  0.007 0.627  0.007 0.529  -0.054 0.457  -0.122 0.388  -0.136 0.296  -0.136 0.198  -0.136 0.101  -0.136 0.003  -0.136 -0.094  -0.136 -0.191  -0.094 -0.279  -0.050 -0.366  0.007 -0.414  0.078 -0.467  0.101 -0.550  0.175 -0.574  0.215 -0.574  0.118 -0.574  0.054 -0.608  0.054 -0.705  0.019 -0.781  -0.041 -0.841  -0.088 -0.891  -0.088 -0.989  -0.088 -1.086  -0.088 -1.184  -0.088 -1.281  -0.088 -1.379  -0.045 -1.466  -0.041 -1.562  0.007 -1.612  0.007 -1.710  -0.041 -1.760
2#tos#t1#t1035063/0  -0.092 1.030  -0.240 1.030  -0.326 0.939  -0.358 0.811  -0.392 0.676  -0.465 0.558  -0.504 0.419  -0.572 0.296  -0.617 0.161  -0.678 0.032  -0.678 -0.117  -0.678 -0.265  -0.678 -0.413  -0.678 -0.562  -0.678 -0.710  -0.678 -0.859  -0.634 -0.988  -0.564 -1.104  -0.427 -1.149  -0.335 -1.218  -0.194 -1.264  -0.045 -1.264  0.103 -1.264  0.251 -1.264  0.364 -1.206  0.388 -1.063  0.466 -0.971  0.602 -0.935  0.602 -0.787  0.602 -0.638  0.655 -0.503  0.655 -0.354  0.675 -0.211  0.708 -0.070  0.708 0.078  0.708 0.227  0.655 0.322  0.655 0.470  0.644 0.614  0.602 0.745  0.495 0.827  0.442 0.922  0.370 1.013  0.265 1.083  0.170 1.136  0.022 1.136  -0.127 1.136  -0.275 1.136  -0.423 1.136  -0.465 1.243
2#tos#t1#t1035063/1  -0.283 0.593  -0.283 0.499  -0.268 0.500  -0.238 0.588  -0.214 0.678  -0.214 0.771  -0.214 0.864  -0.126 0.870  -0.075 0.912  -0.075 1.005  -0.075 1.098  -0.075 1.192  -0.026 1.265  -0.006 1.350  -0.006 1.266  0.025 1.185  0.063 1.108  0.063 1.015  0.063 0.922  0.063 0.828  0.063 0.735  0.063 0.642  0.063 0.549  0.063 0.455  0.063 0.362  0.063 0.269  0.063 0.176  0.063 0.082  0.063 -0.011  0.063 -0.104  0.063 -0.197  0.063 -0.291  0.063 -0.384  0.063 -0.477  0.063 -0.570  0.063 -0.664  0.063 -0.757  0.063 -0.850  0.063 -0.943  0.063 -1.036  0.063 -1.130  0.063 -1.223  0.063 -1.316  0.063 -1.409  0.063 -1.503  0.063 -1.596  0.063 -1.689  0.063 -1.782  0.063 -1.876  0.063 -1.969
2#tos#t1#t1035063/7  -0.614 0.928  -0.764 0.928  -0.856 0.870  -0.856 0.721  -0.835 0.574  -0.807 0.429  -0.788 0.299  -0.759 0.178  -0.686 0.081  -0.662 -0.065  -0.662 -0.214  -0.671 -0.103  -0.681 0.047  -0.691 0.196  -0.701 0.345  -0.713 0.492  -0.863 0.492  -0.893 0.492  -0.743 0.492  -0.594 0.492  -0.444 0.492  -0.294 0.492  -0.145 0.492  0.005 0.492  0.155 0.492  0.304 0.492  0.454 0.492  0.604 0.492  0.753 0.492  0.854 0.541  1.004 0.541  1.053 0.492  1.021 0.366  0.959 0.235  0.837 0.151  0.800 0.006  0.743 -0.131  0.706 -0.276  0.640 -0.408  0.573 -0.541  0.547 -0.686  0.547 -0.836  0.478 -0.965  0.450 -1.106  0.450 -1.256  0.450 -1.405  0.435 -1.539  0.337 -1.636  0.305 -1.776  0.257 -1.878
2#tos#t1#t1035063/8  0.780 0.429  0.780 0.606  0.780 0.783  0.759 0.948  0.652 1.075  0.555 1.182  0.452 1.308  0.313 1.353  0.145 1.362  -0.032 1.362  -0.193 1.323  -0.343 1.257  -0.408 1.132  -0.408 0.955  -0.408 0.778  -0.381 0.605  -0.326 0.459  -0.238 0.345  -0.216 0.173  -0.154 0.007  -0.089 -0.143  -0.024 -0.293  0.059 -0.419  0.066 -0.588  0.169 -0.682  0.186 -0.856  0.186 -1.033  0.083 -1.140  -0.041 -1.224  -0.182 -1.319  -0.313 -1.417  -0.478 -1.436  -0.613 -1.394  -0.701 -1.282  -0.789 -1.180  -0.789 -1.003  -0.740 -0.852  -0.636 -0.721  -0.555 -0.566  -0.413 -0.464  -0.271 -0.363  -0.164 -0.222  -0.021 -0.119  0.138 -0.040  0.249 0.089  0.396 0.173  0.555 0.217  0.728 0.234  0.899 0.260  0.992 0.344
2#tos#t1#t1035063/9  0.451 -0.011  0.338 -0.095  0.483 -0.057  0.644 0.036  0.677 0.225  0.677 0.423  0.744 0.554  0.791 0.705  0.786 0.902  0.734 1.087  0.625 1.176  0.484 1.313  0.300 1.346  0.102 1.346  -0.070 1.262  -0.240 1.163  -0.403 1.056  -0.547 0.921  -0.705 0.803  -0.735 0.620  -0.749 0.428  -0.874 0.278  -0.976 0.109  -1.018 -0.076  -1.018 -0.274  -1.018 -0.471  -0.981 -0.632  -0.783 -0.632  -0.586 -0.632  -0.422 -0.532  -0.227 -0.519  -0.188 -0.326  -0.063 -0.237  0.091 -0.167  0.221 -0.046  0.282 0.133  0.440 0.215  0.451 0.255  0.406 0.068  0.324 -0.111  0.282 -0.302  0.235 -0.492  0.225 -0.688  0.188 -0.877  0.112 -1.057  0.112 -1.254  0.112 -1.452  0.112 -1.650  0.112 -1.847  0.056 -1.988
2#tos#t1#t1035063/C  0.642 0.662  0.532 0.685  0.510 0.796  0.456 0.870  0.407 0.969  0.379 1.061  0.335 1.137  0.267 1.189  0.147 1.189  0.027 1.189  -0.093 1.189  -0.206 1.160  -0.275 1.068  -0.371 1.004  -0.409 0.890  -0.442 0.778  -0.496 0.670  -0.561 0.570  -0.611 0.462  -0.669 0.361  -0.720 0.262  -0.720 0.142  -0.720 0.022  -0.720 -0.098  -0.720 -0.218  -0.720 -0.338  -0.720 -0.458  -0.720 -0.578  -0.676 -0.680  -0.644 -0.795  -0.551 -0.832  -0.495 -0.925  -0.435 -1.008  -0.315 -1.008  -0.195 -1.008  -0.075 -1.008  0.045 -1.008  0.163 -1.003  0.248 -0.918  0.351 -0.876  0.463 -0.849  0.563 -0.784  0.670 -0.730  0.774 -0.671  0.862 -0.597  0.926 -0.504  1.032 -0.453  1.082 -0.369  1.137 -0.305  1.257 -0.305
2#tos#t1#t1035063/E  -0.530 1.064  -0.657 0.947  -0.509 0.936  -0.288 1.012  -0.046 1.021  0.198 1.022  0.430 1.100  0.674 1.106  0.901 1.182  1.132 1.202  0.924 1.203  0.687 1.142  0.450 1.081  0.213 1.020  -0.023 0.959  -0.260 0.898  -0.499 0.851  -0.530 0.637  -0.530 0.392  -0.530 0.148  -0.530 -0.097  -0.517 -0.339  -0.487 -0.579  -0.487 -0.823  -0.486 -1.067  -0.455 -1.035  -0.477 -0.791  -0.499 -0.548  -0.521 -0.304  -0.588 -0.172  -0.344 -0.172  -0.104 -0.151  0.132 -0.108  0.373 -0.087  0.618 -0.087  0.509 -0.212  0.319 -0.365  0.129 -0.519  -0.062 -0.673  -0.252 -0.826  -0.442 -0.980  -0.615 -1.053  -0.384 -1.067  -0.140 -1.067  0.105 -1.067  0.346 -1.037  0.590 -1.024  0.809 -0.964  1.033 -0.897  1.218 -0.811
2#tos#t1#t1035063/H  -0.669 0.920  -0.832 0.920  -0.725 0.830  -0.714 0.644  -0.714 0.447  -0.714 0.250  -0.714 0.053  -0.714 -0.144  -0.714 -0.341  -0.714 -0.538  -0.782 -0.714  -0.804 -0.905  -0.804 -1.102  -0.804 -1.299  -0.791 -1.170  -0.775 -0.974  -0.760 -0.777  -0.744 -0.581  -0.728 -0.385  -0.732 -0.206  -0.929 -0.206  -0.762 -0.163  -0.622 -0.026  -0.425 -0.022  -0.233 0.019  -0.043 0.064  0.154 0.064  0.343 0.109  0.540 0.109  0.737 0.109  0.907 0.135  0.898 0.332  0.890 0.529  0.881 0.726  0.873 0.923  0.864 1.120  0.710 1.190  0.623 1.130  0.701 0.974  0.773 0.794  0.773 0.597  0.773 0.400  0.773 0.202  0.773 0.005  0.813 -0.187  0.818 -0.383  0.818 -0.580  0.818 -0.777  0.851 -0.961  0.863 -1.153
2#tos#t1#t1035063/I  -0.666 0.984  -0.808 0.934  -0.937 0.848  -0.784 0.848  -0.632 0.873  -0.480 0.893  -0.332 0.924  -0.183 0.949  -0.034 0.984  0.119 0.999  0.270 1.029  0.419 1.059  0.571 1.074  0.662 1.067  0.511 1.032  0.361 0.998  0.210 0.963  0.058 0.939  -0.032 0.874  -0.032 0.719  -0.032 0.565  -0.032 0.410  -0.032 0.256  -0.032 0.101  -0.032 -0.053  -0.032 -0.208  -0.032 -0.362  -0.032 -0.517  -0.100 -0.647  -0.122 -0.797  -0.154 -0.916  -0.308 -0.901  -0.461 -0.885  -0.615 -0.874  -0.725 -0.919  -0.770 -0.964  -0.615 -0.964  -0.463 -0.954  -0.317 -0.919  -0.162 -0.919  -0.008 -0.919  0.144 -0.898  0.296 -0.874  0.449 -0.859  0.600 -0.829  0.755 -0.829  0.909 -0.829  1.064 -0.829  1.219 -0.829  1.373 -0.829
2#tos#t1#t1035063/J  -0.858 0.538  -0.806 0.619  -0.674 0.619  -0.542 0.619  -0.410 0.619  -0.283 0.631  -0.162 0.659  -0.037 0.676  0.085 0.699  0.216 0.709  0.343 0.739  0.461 0.796  0.588 0.820  0.710 0.860  0.836 0.900  0.968 0.900  1.040 0.900  0.916 0.857  0.793 0.810  0.669 0.763  0.546 0.716  0.422 0.669  0.299 0.621  0.187 0.567  0.146 0.633  0.146 0.553  0.146 0.421  0.146 0.289  0.146 0.157  0.146 0.025  0.109 -0.098  0.067 -0.223  0.066 -0.355  0.066 -0.487  0.066 -0.619  0.066 -0.752  0.066 -0.884  0.018 -0.996  -0.019 -1.113  -0.112 -1.206  -0.175 -1.319  -0.271 -1.365  -0.392 -1.390  -0.524 -1.390  -0.648 -1.354  -0.775 -1.320  -0.826 -1.229  -0.938 -1.209  -0.970 -1.085  -1.059 -0.988
2#tos#t1#t1035063/L  -0.469 1.530  -0.517 1.486  -0.517 1.393  -0.517 1.300  -0.517 1.207  -0.517 1.115  -0.517 1.022  -0.517 0.929  -0.517 0.836  -0.517 0.744  -0.517 0.651  -0.517 0.558  -0.543 0.471  -0.565 0.384  -0.583 0.295  -0.624 0.212  -0.661 0.128  -0.661 0.036  -0.661 -0.057  -0.661 -0.150  -0.661 -0.243  -0.661 -0.335  -0.661 -0.428  -0.709 -0.473  -0.628 -0.485  -0.536 -0.485  -0.443 -0.485  -0.350 -0.485  -0.257 -0.485  -0.165 -0.485  -0.072 -0.485  0.021 -0.485  0.114 -0.485  0.206 -0.485  0.299 -0.485  0.392 -0.485  0.485 -0.485  0.577 -0.485  0.670 -0.485  0.763 -0.485  0.856 -0.485  0.948 -0.485  1.041 -0.485  1.134 -0.485  1.227 -0.485  1.319 -0.485  1.412 -0.485  1.505 -0.485  1.598 -0.485  1.691 -0.485
2#tos#t1#t1035063/M  -0.659 0.951  -0.626 0.920  -0.626 0.721  -0.626 0.522  -0.659 0.328  -0.682 0.131  -0.693 -0.067  -0.693 -0.266  -0.693 -0.465  -0.693 -0.664  -0.693 -0.863  -0.659 -1.057  -0.659 -1.256  -0.657 -1.276  -0.650 -1.078  -0.644 -0.879  -0.637 -0.680  -0.630 -0.481  -0.623 -0.282  -0.616 -0.083  -0.609 0.115  -0.602 0.314  -0.595 0.513  -0.613 0.704  -0.659 0.798  -0.659 0.599  -0.547 0.448  -0.405 0.328  -0.327 0.179  -0.151 0.107  0.017 0.011  0.183 -0.022  0.382 -0.022  0.507 0.087  0.667 0.196  0.807 0.336  0.919 0.477  0.985 0.649  1.084 0.814  1.130 0.909  1.154 0.720  1.154 0.521  1.154 0.322  1.154 0.123  1.154 -0.076  1.154 -0.275  1.154 -0.474  1.154 -0.673  1.154 -0.872  1.221 -1.030
2#tos#t1#t1035063/N  -0.636 1.010  -0.755 0.969  -0.755 0.705  -0.755 0.440  -0.755 0.176  -0.719 -0.085  -0.715 -0.349  -0.715 -0.613  -0.715 -0.878  -0.715 -1.142  -0.751 -1.371  -0.755 -1.110  -0.755 -0.845  -0.755 -0.580  -0.755 -0.316  -0.755 -0.051  -0.755 0.213  -0.755 0.478  -0.755 0.743  -0.805 0.777  -0.635 0.644  -0.410 0.507  -0.282 0.281  -0.127 0.067  -0.001 -0.132  0.152 -0.333  0.299 -0.539  0.495 -0.716  0.634 -0.930  0.713 -1.041  0.718 -0.776  0.723 -0.512  0.727 -0.247  0.732 0.017  0.737 0.282  0.741 0.547  0.746 0.811  0.751 1.076  0.740 1.327  0.594 1.446  0.594 1.182  0.594 0.917  0.619 0.657  0.673 0.401  0.673 0.136  0.673 -0.128  0.706 -0.389  0.747 -0.645  0.753 -0.908  0.753 -1.172
2#tos#t1#t1035063/O  -0.304 0.964  -0.444 0.961  -0.447 0.819  -0.526 0.700  -0.584 0.571  -0.584 0.428  -0.592 0.286  -0.631 0.150  -0.641 0.009  -0.678 -0.125  -0.706 -0.262  -0.725 -0.400  -0.725 -0.543  -0.714 -0.679  -0.631 -0.771  -0.631 -0.914  -0.584 -1.010  -0.574 -1.147  -0.441 -1.189  -0.300 -1.193  -0.175 -1.236  -0.032 -1.236  0.111 -1.236  0.214 -1.139  0.313 -1.036  0.392 -0.917  0.475 -0.802  0.566 -0.694  0.667 -0.592  0.753 -0.480  0.776 -0.343  0.819 -0.218  0.819 -0.075  0.858 0.059  0.866 0.200  0.866 0.343  0.866 0.486  0.826 0.589  0.772 0.706  0.679 0.791  0.574 0.858  0.444 0.917  0.334 0.999  0.227 1.057  0.084 1.057  -0.059 1.057  -0.202 1.057  -0.345 1.057  -0.488 1.057  -0.538 1.057
