2#tos#t3#t3042061/\"  -0.264 0.736  -0.383 0.696  -0.383 0.537  -0.503 0.498  -0.640 0.462  -0.711 0.320  -0.741 0.168  -0.749 0.012  -0.860 -0.101  -0.860 -0.260  -0.918 -0.395  -1.031 -0.507  -1.098 -0.638  -1.144 -0.786  -1.216 -0.928  -1.327 -1.042  -1.218 -0.969  -1.087 -0.878  -0.957 -0.787  -0.826 -0.696  -0.695 -0.605  -0.565 -0.515  -0.434 -0.424  -0.304 -0.333  -0.173 -0.242  -0.043 -0.151  0.088 -0.061  0.218 0.030  0.349 0.121  0.479 0.212  0.610 0.303  0.740 0.393  0.871 0.484  1.001 0.575  1.132 0.666  1.263 0.757  1.393 0.847  1.285 0.830  1.285 0.671  1.285 0.512  1.259 0.379  1.100 0.379  0.972 0.304  0.860 0.191  0.726 0.113  0.575 0.063  0.451 -0.007  0.451 -0.166  0.403 -0.313  0.332 -0.456
2#tos#t3#t3042061/>  -0.936 1.095  -1.002 1.043  -1.105 1.018  -1.117 0.938  -1.005 0.915  -0.907 0.849  -0.798 0.805  -0.684 0.781  -0.566 0.781  -0.468 0.732  -0.351 0.729  -0.246 0.687  -0.148 0.620  -0.052 0.556  0.060 0.520  0.178 0.516  0.292 0.487  0.408 0.468  0.498 0.422  0.574 0.340  0.686 0.311  0.797 0.281  0.905 0.247  0.989 0.163  1.087 0.117  1.178 0.050  1.170 -0.003  1.067 -0.038  0.965 -0.097  0.854 -0.138  0.740 -0.159  0.634 -0.211  0.522 -0.248  0.475 -0.333  0.406 -0.414  0.307 -0.479  0.203 -0.534  0.108 -0.605  0.014 -0.675  -0.102 -0.683  -0.214 -0.720  -0.274 -0.799  -0.368 -0.870  -0.463 -0.941  -0.541 -1.030  -0.606 -1.128  -0.685 -1.215  -0.769 -1.299  -0.825 -1.384  -0.884 -1.466
2#tos#t3#t3042061/@  0.098 0.200  0.137 0.456  -0.080 0.512  -0.328 0.437  -0.558 0.317  -0.643 0.070  -0.682 -0.193  -0.588 -0.424  -0.356 -0.456  -0.124 -0.346  0.059 -0.181  0.120 0.066  0.214 0.224  0.356 0.026  0.487 -0.179  0.643 -0.326  0.643 -0.598  0.478 -0.769  0.331 -0.915  0.083 -0.977  -0.182 -1.008  -0.448 -1.047  -0.720 -1.047  -0.888 -0.881  -1.028 -0.706  -1.129 -0.502  -1.228 -0.298  -1.267 -0.042  -1.267 0.230  -1.179 0.452  -0.996 0.615  -0.816 0.807  -0.586 0.946  -0.373 1.091  -0.129 1.174  0.143 1.174  0.415 1.174  0.682 1.169  0.838 1.030  1.012 0.901  1.122 0.685  1.228 0.468  1.228 0.195  1.228 -0.077  1.108 -0.229  0.961 -0.385  0.846 -0.548  0.603 -0.658  0.354 -0.736  0.176 -0.892
2#tos#t3#t3042061/|  -0.015 1.586  -0.087 1.586  -0.148 1.575  -0.148 1.502  -0.148 1.430  -0.148 1.358  -0.148 1.286  -0.105 1.232  -0.104 1.160  -0.104 1.088  -0.104 1.015  -0.104 0.943  -0.104 0.871  -0.104 0.799  -0.104 0.727  -0.074 0.667  -0.058 0.601  -0.047 0.529  -0.036 0.458  -0.025 0.387  -0.014 0.315  -0.003 0.244  0.007 0.173  0.018 0.101  0.029 0.030  0.040 -0.041  0.051 -0.113  0.062 -0.184  0.073 -0.256  0.084 -0.327  0.095 -0.398  0.106 -0.470  0.117 -0.541  0.072 -0.594  0.029 -0.649  0.029 -0.721  0.029 -0.793  0.029 -0.865  0.029 -0.937  0.029 -1.010  0.029 -1.082  0.050 -1.145  0.074 -1.208  0.074 -1.280  0.096 -1.347  0.118 -1.414  0.118 -1.486  0.118 -1.558  0.163 -1.586  0.163 -1.658
2#tos#t3#t3042061/}  -0.578 1.458  -0.462 1.458  -0.347 1.458  -0.231 1.458  -0.126 1.431  -0.016 1.420  0.062 1.381  0.117 1.321  0.117 1.205  0.078 1.105  0.027 1.009  0.001 0.899  -0.090 0.849  -0.143 0.756  -0.191 0.650  -0.231 0.551  -0.231 0.435  -0.231 0.320  -0.166 0.249  -0.066 0.223  0.011 0.184  0.126 0.184  0.242 0.184  0.339 0.184  0.224 0.180  0.155 0.107  0.100 0.034  0.049 -0.047  0.011 -0.124  -0.038 -0.192  -0.038 -0.307  0.001 -0.407  0.047 -0.495  0.117 -0.552  0.197 -0.587  0.236 -0.665  0.339 -0.694  0.387 -0.767  0.358 -0.876  0.282 -0.962  0.212 -1.052  0.194 -1.164  0.100 -1.229  0.001 -1.285  -0.002 -1.398  -0.078 -1.439  -0.138 -1.525  -0.231 -1.591  -0.269 -1.668  -0.231 -1.668
2#tos#t3#t3042061/~  -1.320 -0.036  -1.406 -0.036  -1.470 -0.058  -1.463 -0.033  -1.387 0.005  -1.358 0.076  -1.297 0.136  -1.223 0.164  -1.137 0.164  -1.120 0.232  -1.081 0.302  -1.000 0.314  -0.914 0.314  -0.829 0.314  -0.743 0.314  -0.660 0.294  -0.579 0.267  -0.501 0.230  -0.419 0.214  -0.356 0.157  -0.279 0.119  -0.258 0.042  -0.220 -0.035  -0.145 -0.061  -0.070 -0.086  -0.019 -0.121  0.048 -0.159  0.130 -0.186  0.181 -0.250  0.230 -0.286  0.316 -0.286  0.402 -0.286  0.488 -0.286  0.574 -0.286  0.659 -0.286  0.745 -0.286  0.831 -0.286  0.913 -0.271  0.981 -0.227  1.027 -0.186  1.112 -0.186  1.179 -0.139  1.232 -0.075  1.232 0.011  1.310 0.040  1.392 0.064  1.464 0.096  1.525 0.157  1.600 0.198  1.682 0.214
2#tos#t3#t3042061/0  0.042 1.193  -0.090 1.132  -0.204 1.088  -0.304 0.971  -0.328 0.823  -0.440 0.711  -0.514 0.573  -0.573 0.429  -0.573 0.271  -0.573 0.113  -0.573 -0.045  -0.611 -0.180  -0.697 -0.285  -0.697 -0.443  -0.697 -0.601  -0.657 -0.735  -0.573 -0.841  -0.573 -0.999  -0.573 -1.157  -0.541 -1.302  -0.395 -1.331  -0.237 -1.331  -0.079 -1.331  0.042 -1.294  0.106 -1.175  0.230 -1.081  0.364 -1.023  0.461 -0.924  0.566 -0.807  0.658 -0.687  0.659 -0.530  0.781 -0.447  0.781 -0.289  0.781 -0.131  0.781 0.027  0.798 0.181  0.842 0.328  0.842 0.486  0.781 0.619  0.697 0.746  0.608 0.874  0.516 0.947  0.358 0.947  0.226 1.009  0.068 1.009  -0.090 1.009  -0.235 0.978  -0.319 0.886  -0.389 0.797  -0.450 0.824
2#tos#t3#t3042061/1  0.003 1.651  0.072 1.649  0.072 1.578  0.072 1.507  0.072 1.436  0.072 1.365  0.072 1.294  0.072 1.223  0.072 1.152  0.072 1.081  0.072 1.010  0.072 0.939  0.072 0.868  0.072 0.797  0.072 0.726  0.072 0.655  0.072 0.584  0.072 0.513  0.072 0.442  0.072 0.371  0.072 0.300  0.059 0.231  0.037 0.163  0.015 0.096  -0.008 0.029  -0.030 -0.039  -0.053 -0.106  -0.066 -0.175  -0.066 -0.246  -0.066 -0.317  -0.066 -0.388  -0.066 -0.459  -0.066 -0.530  -0.066 -0.601  -0.066 -0.672  -0.066 -0.743  -0.066 -0.814  -0.066 -0.885  -0.066 -0.956  -0.066 -1.027  -0.066 -1.098  -0.066 -1.169  -0.066 -1.240  -0.066 -1.311  -0.066 -1.382  -0.066 -1.453  -0.066 -1.524  -0.001 -1.530  -0.065 -1.530  -0.066 -1.461
2#tos#t3#t3042061/2  -0.683 1.205  -0.605 1.283  -0.477 1.322  -0.332 1.322  -0.188 1.322  -0.044 1.322  0.076 1.298  0.186 1.264  0.307 1.207  0.427 1.147  0.485 1.061  0.543 0.941  0.585 0.813  0.602 0.676  0.691 0.621  0.718 0.504  0.699 0.368  0.598 0.265  0.543 0.134  0.436 0.096  0.366 -0.024  0.293 -0.143  0.156 -0.189  0.080 -0.304  -0.020 -0.408  -0.149 -0.465  -0.282 -0.521  -0.411 -0.585  -0.551 -0.604  -0.682 -0.662  -0.826 -0.663  -0.970 -0.663  -1.108 -0.679  -1.182 -0.721  -1.037 -0.721  -0.893 -0.721  -0.749 -0.721  -0.605 -0.721  -0.460 -0.721  -0.316 -0.721  -0.172 -0.721  -0.027 -0.721  0.117 -0.721  0.261 -0.721  0.405 -0.721  0.550 -0.721  0.694 -0.721  0.838 -0.721  0.983 -0.721  1.127 -0.721
2#tos#t3#t3042061/4  1.027 1.394  0.906 1.245  0.724 1.203  0.577 1.090  0.383 0.992  0.194 0.909  0.071 0.769  -0.103 0.647  -0.279 0.513  -0.460 0.382  -0.658 0.278  -0.840 0.151  -1.012 0.008  -1.147 -0.164  -1.346 -0.252  -1.520 -0.332  -1.471 -0.535  -1.254 -0.564  -1.034 -0.608  -0.811 -0.608  -0.587 -0.608  -0.363 -0.608  -0.139 -0.608  0.077 -0.655  0.238 -0.728  0.461 -0.729  0.661 -0.787  0.835 -0.752  0.781 -0.535  0.727 -0.318  0.673 -0.101  0.618 0.116  0.564 0.333  0.510 0.550  0.456 0.767  0.401 0.984  0.308 1.151  0.178 1.022  0.178 0.798  0.178 0.575  0.178 0.351  0.142 0.133  0.117 -0.087  0.117 -0.310  0.117 -0.534  0.117 -0.758  0.117 -0.982  0.117 -1.205  0.159 -1.419  0.117 -1.578
2#tos#t3#t3042061/5  -0.014 1.379  -0.067 1.219  -0.067 1.038  -0.067 0.856  -0.067 0.674  -0.067 0.492  -0.067 0.311  -0.067 0.129  -0.006 0.008  0.144 -0.023  0.299 -0.069  0.461 -0.150  0.566 -0.227  0.671 -0.365  0.776 -0.482  0.776 -0.664  0.776 -0.845  0.776 -1.027  0.667 -1.099  0.509 -1.156  0.350 -1.224  0.227 -1.310  0.045 -1.310  -0.137 -1.310  -0.319 -1.310  -0.466 -1.227  -0.616 -1.152  -0.773 -1.111  -0.805 -0.937  -0.770 -0.764  -0.715 -0.591  -0.667 -0.416  -0.619 -0.241  -0.571 -0.065  -0.524 0.110  -0.476 0.285  -0.428 0.461  -0.380 0.636  -0.332 0.811  -0.285 0.987  -0.435 1.010  -0.414 0.957  -0.232 0.957  -0.050 0.957  0.132 0.957  0.313 0.957  0.495 0.957  0.677 0.957  0.858 0.957  0.987 1.010
2#tos#t3#t3042061/6  0.618 1.945  0.577 1.797  0.461 1.702  0.347 1.599  0.265 1.469  0.135 1.382  0.033 1.265  -0.040 1.130  -0.082 0.996  -0.213 0.909  -0.237 0.765  -0.253 0.614  -0.364 0.503  -0.368 0.348  -0.429 0.209  -0.500 0.074  -0.500 -0.083  -0.500 -0.240  -0.575 -0.366  -0.631 -0.500  -0.631 -0.657  -0.631 -0.814  -0.631 -0.971  -0.517 -1.014  -0.401 -1.113  -0.257 -1.145  -0.100 -1.145  0.048 -1.124  0.178 -1.059  0.316 -1.014  0.473 -1.014  0.551 -0.885  0.704 -0.872  0.815 -0.784  0.815 -0.627  0.881 -0.536  0.881 -0.379  0.784 -0.295  0.693 -0.169  0.568 -0.093  0.419 -0.060  0.269 -0.028  0.112 -0.028  -0.045 -0.028  -0.175 0.038  -0.332 0.038  -0.489 0.038  -0.646 0.038  -0.763 0.078  -0.631 0.104
2#tos#t3#t3042061/9  -0.019 0.075  0.034 -0.091  0.204 -0.103  0.382 -0.103  0.536 -0.044  0.595 0.075  0.717 0.185  0.751 0.355  0.802 0.524  0.811 0.701  0.787 0.869  0.721 1.025  0.594 1.121  0.439 1.201  0.261 1.201  0.082 1.201  -0.096 1.201  -0.249 1.142  -0.413 1.082  -0.570 1.048  -0.671 0.905  -0.790 0.845  -0.790 0.667  -0.790 0.489  -0.748 0.329  -0.622 0.203  -0.580 0.042  -0.417 -0.019  -0.316 -0.117  -0.183 -0.162  -0.005 -0.162  0.173 -0.162  0.351 -0.162  0.455 -0.088  0.455 0.090  0.360 0.039  0.265 -0.103  0.218 -0.234  0.125 -0.374  0.021 -0.517  -0.067 -0.672  -0.115 -0.842  -0.138 -1.018  -0.218 -1.172  -0.257 -1.338  -0.350 -1.488  -0.434 -1.644  -0.434 -1.822  -0.434 -2.000  -0.434 -2.178
2#tos#t3#t3042061/A  -1.062 -1.095  -1.148 -1.161  -1.105 -0.952  -1.062 -0.750  -1.019 -0.538  -0.978 -0.325  -0.878 -0.130  -0.777 0.063  -0.667 0.251  -0.541 0.429  -0.462 0.627  -0.314 0.788  -0.201 0.974  -0.107 1.154  -0.034 1.349  0.047 1.494  0.165 1.346  0.201 1.149  0.281 0.975  0.407 0.846  0.492 0.679  0.583 0.497  0.664 0.312  0.794 0.146  0.913 -0.009  1.026 -0.195  1.119 -0.388  1.171 -0.597  1.269 -0.778  1.300 -0.966  1.234 -0.836  1.069 -0.733  0.864 -0.654  0.659 -0.576  0.454 -0.498  0.249 -0.419  0.044 -0.341  -0.161 -0.262  -0.366 -0.184  -0.570 -0.105  -0.775 -0.027  -0.982 -0.063  -0.975 -0.146  -0.766 -0.103  -0.546 -0.103  -0.332 -0.083  -0.123 -0.019  0.096 -0.016  0.316 -0.016  0.535 -0.016
2#tos#t3#t3042061/B  -0.470 1.173  -0.516 1.274  -0.470 1.005  -0.453 0.719  -0.416 0.436  -0.416 0.149  -0.342 -0.128  -0.306 -0.407  -0.306 -0.694  -0.276 -0.975  -0.162 -1.190  -0.196 -0.936  -0.249 -0.658  -0.345 -0.387  -0.442 -0.116  -0.539 0.155  -0.636 0.426  -0.732 0.697  -0.855 0.872  -0.800 1.105  -0.548 1.173  -0.260 1.173  0.027 1.173  0.315 1.173  0.594 1.118  0.813 1.008  0.848 0.755  0.777 0.497  0.574 0.294  0.315 0.188  0.099 0.045  -0.121 -0.081  -0.395 -0.136  -0.448 -0.036  -0.228 0.074  0.059 0.074  0.347 0.074  0.626 0.020  0.868 -0.091  1.080 -0.234  1.230 -0.470  1.178 -0.702  1.039 -0.915  0.820 -1.025  0.548 -1.079  0.278 -1.135  0.041 -1.287  -0.235 -1.350  -0.513 -1.406  -0.800 -1.410
2#tos#t3#t3042061/G  0.616 1.168  0.763 1.220  0.773 1.409  0.648 1.483  0.471 1.414  0.307 1.302  0.119 1.240  -0.072 1.183  -0.239 1.078  -0.407 0.972  -0.575 0.864  -0.722 0.731  -0.883 0.615  -1.001 0.457  -1.104 0.289  -1.118 0.095  -1.118 -0.104  -1.118 -0.304  -1.066 -0.451  -0.932 -0.595  -0.765 -0.671  -0.624 -0.766  -0.449 -0.829  -0.258 -0.881  -0.058 -0.881  0.141 -0.881  0.340 -0.881  0.527 -0.829  0.723 -0.823  0.744 -0.651  0.581 -0.537  0.418 -0.422  0.254 -0.308  0.091 -0.194  -0.073 -0.079  -0.236 0.035  -0.426 0.064  -0.402 0.012  -0.203 0.012  -0.004 0.012  0.196 0.012  0.395 0.012  0.594 0.012  0.721 -0.061  0.721 -0.261  0.721 -0.460  0.721 -0.660  0.721 -0.859  0.773 -1.050  0.773 -1.249
2#tos#t3#t3042061/H  -1.097 0.987  -0.930 0.925  -0.840 0.808  -0.813 0.622  -0.758 0.441  -0.754 0.252  -0.754 0.063  -0.754 -0.126  -0.754 -0.316  -0.754 -0.505  -0.754 -0.694  -0.754 -0.883  -0.754 -1.073  -0.777 -1.153  -0.797 -0.984  -0.816 -0.796  -0.835 -0.607  -0.854 -0.419  -0.872 -0.231  -0.967 -0.126  -0.920 -0.037  -0.743 0.021  -0.558 0.045  -0.369 0.045  -0.179 0.045  0.010 0.045  0.199 0.045  0.389 0.045  0.573 0.067  0.747 0.131  0.936 0.131  1.030 0.151  0.988 0.335  0.946 0.520  0.904 0.704  0.862 0.889  0.785 1.030  0.658 1.053  0.715 0.888  0.751 0.711  0.820 0.536  0.830 0.349  0.830 0.159  0.830 -0.030  0.830 -0.219  0.867 -0.404  0.873 -0.593  0.915 -0.775  0.915 -0.964  0.958 -1.111
2#tos#t3#t3042061/I  -0.470 1.232  -0.588 1.232  -0.604 1.129  -0.647 1.053  -0.538 1.090  -0.421 1.098  -0.302 1.098  -0.184 1.098  -0.065 1.098  0.054 1.098  0.172 1.098  0.291 1.098  0.349 1.098  0.286 1.009  0.167 1.009  0.054 0.996  -0.051 0.964  -0.068 0.862  -0.068 0.743  0.001 0.649  0.041 0.543  0.066 0.435  0.066 0.317  0.066 0.198  0.066 0.079  0.095 -0.032  0.111 -0.147  0.111 -0.266  0.148 -0.369  0.156 -0.484  0.156 -0.603  0.156 -0.722  0.156 -0.840  0.156 -0.959  0.092 -1.047  -0.007 -1.102  -0.120 -1.137  -0.228 -1.163  -0.338 -1.181  -0.394 -1.181  -0.320 -1.137  -0.201 -1.137  -0.083 -1.137  0.035 -1.130  0.144 -1.092  0.263 -1.092  0.381 -1.092  0.500 -1.092  0.618 -1.092  0.737 -1.092
2#tos#t3#t3042061/J  -1.042 0.675  -1.167 0.630  -1.201 0.532  -1.052 0.532  -0.923 0.580  -0.775 0.580  -0.646 0.627  -0.498 0.627  -0.369 0.675  -0.220 0.675  -0.083 0.722  0.066 0.722  0.211 0.744  0.355 0.770  0.504 0.770  0.641 0.817  0.789 0.817  0.938 0.817  1.086 0.817  0.952 0.805  0.804 0.793  0.656 0.781  0.524 0.754  0.524 0.605  0.476 0.504  0.476 0.355  0.476 0.207  0.476 0.058  0.476 -0.090  0.476 -0.239  0.476 -0.387  0.476 -0.536  0.476 -0.684  0.460 -0.829  0.429 -0.970  0.352 -1.092  0.239 -1.178  0.184 -1.271  0.035 -1.271  -0.094 -1.223  -0.195 -1.176  -0.296 -1.128  -0.436 -1.112  -0.518 -0.989  -0.655 -0.942  -0.745 -0.850  -0.757 -0.709  -0.799 -0.570  -0.805 -0.423  -0.757 -0.322
