2#app#app18#app1852/!  -0.390 1.512  -0.390 1.652  -0.463 1.762  -0.561 1.861  -0.566 1.732  -0.566 1.592  -0.566 1.453  -0.566 1.313  -0.566 1.173  -0.440 1.159  -0.390 1.070  -0.390 0.930  -0.390 0.790  -0.390 0.650  -0.390 0.511  -0.390 0.371  -0.344 0.277  -0.213 0.268  -0.213 0.128  -0.213 -0.012  -0.154 -0.123  -0.045 -0.211  0.064 -0.298  0.173 -0.385  0.283 -0.473  0.392 -0.560  0.501 -0.647  0.610 -0.735  0.605 -0.782  0.493 -0.809  0.493 -0.949  0.362 -0.958  0.316 -0.864  0.259 -0.782  0.140 -0.761  0.140 -0.621  0.140 -0.482  0.227 -0.429  0.367 -0.429  0.493 -0.443  0.493 -0.583  0.493 -0.722  0.493 -0.862  0.449 -0.958  0.309 -0.958  0.170 -0.958  0.030 -0.958  -0.037 -0.885  -0.000 -0.782  0.140 -0.782
2#app#app18#app1852/~  -1.175 -0.897  -1.175 -0.791  -1.175 -0.685  -1.175 -0.579  -1.175 -0.473  -1.175 -0.367  -1.175 -0.261  -1.175 -0.155  -1.175 -0.049  -1.156 0.050  -1.081 0.125  -1.006 0.199  -0.926 0.262  -0.820 0.262  -0.714 0.262  -0.712 0.366  -0.712 0.472  -0.628 0.494  -0.522 0.494  -0.416 0.494  -0.310 0.494  -0.204 0.494  -0.098 0.494  -0.016 0.469  -0.016 0.363  -0.016 0.257  -0.016 0.151  -0.016 0.045  0.075 0.030  0.181 0.030  0.216 -0.041  0.216 -0.147  0.267 -0.201  0.373 -0.201  0.479 -0.201  0.586 -0.201  0.692 -0.201  0.798 -0.201  0.904 -0.201  1.010 -0.201  1.116 -0.201  1.222 -0.201  1.328 -0.201  1.375 -0.142  1.375 -0.036  1.414 0.030  1.520 0.030  1.607 0.050  1.607 0.156  1.607 0.262
2#app#app18#app1852/  -1.418 -0.329  -1.418 -0.257  -1.418 -0.186  -1.418 -0.115  -1.418 -0.043  -1.411 0.021  -1.340 0.021  -1.268 0.021  -1.197 0.021  -1.126 0.021  -1.055 0.021  -0.983 0.021  -0.912 0.021  -0.841 0.021  -0.769 0.021  -0.698 0.021  -0.627 0.021  -0.555 0.021  -0.484 0.021  -0.413 0.021  -0.342 0.021  -0.270 0.021  -0.199 0.021  -0.128 0.021  -0.056 0.021  0.015 0.021  0.086 0.021  0.158 0.021  0.229 0.021  0.300 0.021  0.371 0.021  0.443 0.021  0.514 0.021  0.585 0.021  0.657 0.021  0.728 0.021  0.799 0.021  0.871 0.021  0.942 0.021  1.013 0.021  1.084 0.021  1.156 0.021  1.227 0.021  1.298 0.021  1.370 0.021  1.441 0.021  1.512 0.021  1.584 0.021  1.655 0.021  1.726 0.021
2#app#app18#app1852/_  -1.240 -0.074  -1.240 0.003  -1.240 0.081  -1.252 0.146  -1.329 0.146  -1.407 0.146  -1.436 0.146  -1.358 0.146  -1.281 0.146  -1.203 0.146  -1.126 0.146  -1.048 0.146  -0.971 0.146  -0.893 0.146  -0.816 0.146  -0.738 0.146  -0.661 0.146  -0.583 0.146  -0.506 0.146  -0.428 0.146  -0.352 0.143  -0.282 0.108  -0.213 0.073  -0.144 0.039  -0.074 0.004  -0.005 -0.031  0.064 -0.065  0.140 -0.074  0.217 -0.074  0.295 -0.074  0.372 -0.074  0.450 -0.074  0.527 -0.074  0.605 -0.074  0.682 -0.074  0.760 -0.074  0.837 -0.074  0.914 -0.074  0.992 -0.074  1.069 -0.074  1.147 -0.074  1.224 -0.074  1.302 -0.074  1.379 -0.074  1.404 -0.127  1.404 -0.205  1.404 -0.282  1.469 -0.295  1.547 -0.295  1.624 -0.295
2#app#app18#app1852/+  0.147 1.332  0.147 1.515  0.147 1.434  0.147 1.251  0.147 1.069  0.147 0.886  0.147 0.703  0.147 0.520  0.147 0.338  0.147 0.155  0.147 -0.028  0.147 -0.210  0.147 -0.393  0.147 -0.576  0.147 -0.759  0.147 -0.941  0.147 -1.124  0.147 -1.307  0.164 -1.472  0.347 -1.472  0.275 -1.367  0.146 -1.237  0.017 -1.108  -0.112 -0.979  -0.242 -0.850  -0.371 -0.721  -0.500 -0.591  -0.629 -0.462  -0.758 -0.333  -0.888 -0.204  -1.017 -0.075  -1.146 0.055  -1.227 0.164  -1.044 0.164  -1.021 0.324  -0.912 0.397  -0.730 0.397  -0.547 0.397  -0.364 0.397  -0.181 0.397  0.001 0.397  0.184 0.397  0.367 0.397  0.549 0.397  0.732 0.397  0.915 0.397  1.098 0.397  1.280 0.397  1.420 0.502  1.549 0.631
2#app#app18#app1852/=  -0.994 0.796  -0.994 0.612  -0.994 0.570  -0.994 0.754  -1.136 0.796  -1.262 0.796  -1.078 0.796  -0.994 0.696  -0.994 0.512  -0.823 0.499  -0.639 0.499  -0.454 0.499  -0.270 0.499  -0.086 0.499  0.098 0.499  0.282 0.499  0.466 0.499  0.651 0.499  0.835 0.499  1.019 0.499  1.203 0.499  1.381 0.497  1.216 0.415  1.052 0.332  0.887 0.250  0.722 0.168  0.558 0.085  0.393 0.003  0.228 -0.079  0.063 -0.162  -0.101 -0.244  -0.266 -0.326  -0.431 -0.409  -0.596 -0.491  -0.760 -0.574  -0.925 -0.656  -0.887 -0.690  -0.703 -0.690  -0.519 -0.690  -0.335 -0.690  -0.150 -0.690  0.034 -0.690  0.218 -0.690  0.402 -0.690  0.559 -0.757  0.689 -0.887  0.832 -0.988  1.016 -0.988  1.200 -0.988  1.384 -0.988
2#app#app18#app1852/[  0.904 1.103  0.797 1.103  0.689 1.103  0.615 1.137  0.615 1.244  0.512 1.248  0.405 1.248  0.306 1.227  0.230 1.151  0.143 1.103  0.035 1.103  -0.072 1.103  -0.107 1.031  -0.107 0.923  -0.107 0.816  -0.212 0.815  -0.251 0.746  -0.251 0.639  -0.251 0.531  -0.251 0.424  -0.251 0.317  -0.251 0.209  -0.251 0.102  -0.349 0.093  -0.395 0.032  -0.395 -0.075  -0.395 -0.183  -0.395 -0.290  -0.395 -0.397  -0.415 -0.485  -0.522 -0.485  -0.540 -0.575  -0.540 -0.682  -0.540 -0.789  -0.540 -0.897  -0.454 -0.918  -0.395 -0.967  -0.384 -1.062  -0.276 -1.062  -0.169 -1.062  -0.062 -1.062  0.046 -1.062  0.153 -1.062  0.260 -1.062  0.368 -1.062  0.475 -1.062  0.582 -1.062  0.689 -1.062  0.797 -1.062  0.904 -1.062
2#app#app18#app1852/]  -0.973 0.951  -0.973 1.055  -0.923 1.108  -0.819 1.108  -0.715 1.108  -0.659 1.059  -0.659 0.955  -0.560 0.951  -0.456 0.951  -0.352 0.951  -0.248 0.951  -0.156 0.920  -0.083 0.846  -0.001 0.793  0.103 0.793  0.207 0.793  0.311 0.793  0.415 0.793  0.364 0.793  0.285 0.769  0.285 0.665  0.285 0.561  0.285 0.457  0.285 0.353  0.285 0.249  0.285 0.145  0.285 0.041  0.285 -0.063  0.285 -0.167  0.285 -0.271  0.285 -0.375  0.285 -0.479  0.285 -0.583  0.285 -0.687  0.285 -0.791  0.285 -0.895  0.348 -0.936  0.442 -0.946  0.442 -1.050  0.442 -1.154  0.435 -1.251  0.330 -1.251  0.226 -1.251  0.122 -1.251  0.018 -1.251  -0.086 -1.251  -0.190 -1.251  -0.294 -1.251  -0.398 -1.251  -0.502 -1.251
2#app#app18#app1852/{  0.280 1.025  0.455 1.026  0.453 1.199  0.280 1.202  0.278 1.376  0.154 1.500  0.106 1.441  -0.002 1.374  -0.178 1.374  -0.321 1.296  -0.418 1.161  -0.418 0.985  -0.377 0.850  -0.243 0.809  -0.201 0.676  -0.069 0.633  -0.069 0.458  -0.069 0.282  -0.069 0.107  -0.115 -0.022  -0.243 -0.069  -0.291 -0.197  -0.467 -0.197  -0.592 -0.147  -0.643 -0.022  -0.715 -0.022  -0.540 -0.022  -0.364 -0.022  -0.189 -0.022  -0.014 -0.022  0.162 -0.022  0.280 -0.079  0.280 -0.254  0.222 -0.371  0.106 -0.430  0.046 -0.545  -0.069 -0.606  -0.131 -0.720  -0.243 -0.783  -0.243 -0.958  -0.179 -1.069  -0.069 -1.134  -0.002 -1.243  0.153 -1.291  0.277 -1.415  0.451 -1.418  0.627 -1.418  0.802 -1.418  0.977 -1.418  1.153 -1.418
2#app#app18#app1852/}  -0.519 1.207  -0.687 1.227  -0.647 1.375  -0.460 1.375  -0.272 1.375  -0.085 1.375  0.103 1.375  0.290 1.375  0.318 1.215  0.318 1.028  0.318 0.840  0.266 0.705  0.151 0.633  0.059 0.537  -0.017 0.426  -0.148 0.370  -0.336 0.370  -0.519 0.366  -0.519 0.179  -0.476 0.035  -0.289 0.035  -0.101 0.035  0.086 0.035  0.274 0.035  0.461 0.035  0.322 0.035  0.302 0.202  0.115 0.202  -0.072 0.202  -0.260 0.202  -0.352 0.107  -0.352 -0.080  -0.217 -0.133  -0.075 -0.242  0.089 -0.300  0.151 -0.426  0.296 -0.468  0.483 -0.468  0.486 -0.653  0.486 -0.841  0.486 -1.028  0.486 -1.215  0.486 -1.403  0.403 -1.556  0.250 -1.640  0.063 -1.640  -0.125 -1.640  -0.312 -1.640  -0.352 -1.493  -0.352 -1.640
2#app#app18#app1852/\\  -0.623 0.991  -0.623 1.083  -0.623 1.176  -0.665 1.226  -0.757 1.226  -0.849 1.226  -0.858 1.142  -0.858 1.050  -0.824 0.991  -0.732 0.991  -0.640 0.991  -0.623 0.916  -0.623 0.824  -0.605 0.738  -0.540 0.673  -0.475 0.608  -0.409 0.543  -0.344 0.477  -0.279 0.412  -0.214 0.347  -0.153 0.280  -0.153 0.188  -0.153 0.095  -0.119 0.017  -0.053 -0.048  0.012 -0.114  0.077 -0.179  0.082 -0.269  0.082 -0.361  0.117 -0.419  0.209 -0.419  0.301 -0.419  0.317 -0.495  0.317 -0.588  0.343 -0.654  0.435 -0.654  0.528 -0.654  0.552 -0.722  0.552 -0.814  0.570 -0.889  0.662 -0.889  0.754 -0.889  0.787 -0.948  0.787 -1.040  0.796 -1.124  0.888 -1.124  0.981 -1.124  0.972 -1.124  0.880 -1.124  0.787 -1.124
2#app#app18#app1852/,  -0.119 0.155  -0.242 0.278  -0.366 0.402  -0.489 0.525  -0.583 0.661  -0.583 0.835  -0.583 1.010  -0.483 1.084  -0.308 1.084  -0.134 1.084  0.041 1.084  0.215 1.084  0.346 1.039  0.346 0.865  0.346 0.690  0.346 0.516  0.346 0.341  0.346 0.167  0.183 0.155  0.008 0.155  -0.166 0.155  -0.341 0.155  -0.515 0.155  -0.583 0.261  -0.583 0.436  -0.583 0.610  -0.418 0.619  -0.243 0.619  -0.069 0.619  0.106 0.619  0.281 0.619  0.346 0.510  0.346 0.335  0.346 0.161  0.346 -0.014  0.346 -0.188  0.346 -0.363  0.346 -0.538  0.346 -0.712  0.346 -0.887  0.346 -1.061  0.346 -1.236  0.346 -1.410  0.346 -1.585  0.290 -1.703  0.115 -1.703  -0.060 -1.703  -0.119 -1.819  -0.119 -1.993  -0.119 -2.168
2#app#app18#app1852/  0.941 0.719  0.941 0.816  0.941 0.913  0.941 1.010  0.941 1.107  0.903 1.167  0.806 1.167  0.717 1.159  0.717 1.062  0.717 0.965  0.642 0.943  0.545 0.943  0.493 0.897  0.493 0.800  0.482 0.708  0.413 0.639  0.344 0.570  0.276 0.501  0.269 0.407  0.269 0.310  0.211 0.270  0.114 0.270  0.045 0.243  0.045 0.146  0.045 0.048  -0.023 -0.021  -0.091 -0.090  -0.160 -0.158  -0.180 -0.247  -0.180 -0.345  -0.219 -0.402  -0.316 -0.402  -0.404 -0.412  -0.404 -0.509  -0.404 -0.606  -0.481 -0.626  -0.578 -0.626  -0.628 -0.674  -0.628 -0.771  -0.640 -0.863  -0.709 -0.931  -0.778 -1.000  -0.846 -1.069  -0.852 -1.164  -0.852 -1.261  -0.852 -1.239  -0.852 -1.142  -0.822 -1.074  -0.725 -1.074  -0.628 -1.074
2#app#app18#app1852/?  -0.432 1.050  -0.241 1.050  -0.433 1.050  -0.623 1.050  -0.434 1.050  -0.622 1.050  -0.432 1.053  -0.429 1.242  -0.236 1.242  -0.044 1.242  0.149 1.242  0.341 1.242  0.528 1.236  0.534 1.050  0.720 1.043  0.713 0.858  0.528 0.850  0.528 0.658  0.519 0.474  0.336 0.465  0.326 0.282  0.134 0.282  -0.059 0.282  -0.240 0.271  -0.252 0.090  -0.432 0.078  -0.420 -0.102  -0.240 -0.115  -0.227 -0.294  -0.045 -0.308  0.002 -0.494  0.049 -0.681  0.095 -0.868  0.142 -1.055  0.144 -1.247  -0.041 -1.254  -0.234 -1.254  -0.240 -1.068  -0.053 -1.062  -0.048 -0.875  0.140 -0.870  0.332 -0.870  0.336 -1.059  0.147 -1.062  0.144 -1.252  -0.046 -1.254  -0.239 -1.254  -0.240 -1.063  -0.049 -1.062  0.144 -1.062
2#app#app18#app1852/'  1.473 0.052  1.473 0.265  1.473 0.477  1.473 0.689  1.299 0.727  1.087 0.727  0.875 0.727  0.799 0.591  0.799 0.379  0.799 0.166  0.700 0.052  0.488 0.052  0.276 0.052  0.081 0.010  -0.069 -0.140  -0.219 -0.290  -0.369 -0.440  -0.519 -0.591  -0.718 -0.622  -0.930 -0.622  -1.143 -0.622  -1.225 -0.752  -1.225 -0.964  -1.225 -1.176  -1.225 -1.205  -1.225 -0.993  -1.225 -0.781  -1.172 -0.622  -0.960 -0.622  -0.747 -0.622  -0.551 -0.607  -0.551 -0.394  -0.551 -0.182  -0.551 0.030  -0.361 0.052  -0.149 0.052  0.064 0.052  0.124 0.204  0.124 0.417  0.124 0.629  0.238 0.727  0.450 0.727  0.662 0.727  0.723 0.727  0.510 0.727  0.298 0.727  0.124 0.689  0.124 0.477  0.124 0.265  0.124 0.052
2#app#app18#app1852/\"  -0.980 0.495  -0.980 0.655  -0.980 0.815  -0.980 0.745  -0.980 0.585  -0.980 0.425  -0.980 0.265  -0.980 0.105  -0.980 -0.055  -0.980 -0.214  -0.980 -0.374  -0.980 -0.534  -0.980 -0.694  -0.980 -0.854  -0.944 -0.927  -0.831 -0.814  -0.718 -0.701  -0.605 -0.588  -0.492 -0.475  -0.379 -0.362  -0.266 -0.249  -0.153 -0.136  -0.040 -0.023  0.073 0.090  0.186 0.203  0.299 0.316  0.412 0.429  0.525 0.542  0.638 0.655  0.751 0.768  0.873 0.860  1.033 0.860  1.192 0.860  1.062 0.860  0.902 0.860  0.842 0.759  0.842 0.599  0.842 0.439  0.842 0.280  0.842 0.120  0.842 -0.040  0.842 -0.200  0.753 -0.323  0.640 -0.436  0.527 -0.549  0.478 -0.688  0.478 -0.848  0.478 -1.008  0.478 -1.168  0.478 -1.327
2#app#app18#app1852/<  0.943 1.296  0.807 1.296  0.671 1.296  0.646 1.186  0.646 1.050  0.560 0.999  0.424 0.999  0.306 0.957  0.210 0.860  0.114 0.764  0.003 0.702  -0.133 0.702  -0.246 0.679  -0.246 0.543  -0.246 0.407  -0.379 0.404  -0.515 0.404  -0.544 0.297  -0.544 0.161  -0.626 0.107  -0.762 0.107  -0.841 0.050  -0.841 -0.086  -0.873 -0.191  -1.009 -0.191  -1.138 -0.197  -1.138 -0.333  -1.138 -0.469  -1.021 -0.488  -0.885 -0.488  -0.749 -0.488  -0.613 -0.488  -0.477 -0.488  -0.341 -0.488  -0.205 -0.488  -0.069 -0.488  0.067 -0.488  0.203 -0.488  0.339 -0.488  0.348 -0.614  0.348 -0.751  0.450 -0.785  0.586 -0.785  0.722 -0.785  0.858 -0.785  0.994 -0.785  1.130 -0.785  1.266 -0.785  1.402 -0.785  1.538 -0.785
2#app#app18#app1852/|  0.353 0.495  0.457 0.495  0.521 0.512  0.447 0.586  0.373 0.660  0.353 0.757  0.353 0.861  0.452 0.866  0.538 0.885  0.538 0.990  0.538 1.095  0.538 1.199  0.472 1.237  0.367 1.237  0.353 1.147  0.353 1.042  0.353 0.937  0.353 0.833  0.353 0.728  0.295 0.681  0.190 0.681  0.167 0.599  0.167 0.495  0.167 0.390  0.150 0.293  0.076 0.218  0.002 0.144  -0.018 0.048  -0.018 -0.057  -0.018 -0.161  -0.032 -0.260  -0.106 -0.334  -0.180 -0.408  -0.204 -0.503  -0.204 -0.608  -0.271 -0.685  -0.345 -0.759  -0.389 -0.845  -0.389 -0.950  -0.455 -0.989  -0.560 -0.989  -0.575 -1.079  -0.575 -1.183  -0.575 -1.288  -0.608 -1.360  -0.713 -1.360  -0.760 -1.417  -0.760 -1.521  -0.760 -1.626  -0.760 -1.731
2#app#app18#app1852/>  -0.533 1.491  -0.431 1.389  -0.329 1.287  -0.228 1.185  -0.126 1.083  -0.024 0.981  0.090 0.908  0.235 0.908  0.341 0.870  0.341 0.726  0.376 0.616  0.520 0.616  0.633 0.584  0.633 0.440  0.661 0.324  0.805 0.324  0.924 0.299  0.924 0.155  0.947 0.033  1.091 0.033  1.196 0.033  1.052 0.033  0.924 0.017  0.924 -0.128  0.911 -0.259  0.767 -0.259  0.625 -0.266  0.523 -0.368  0.421 -0.470  0.310 -0.550  0.166 -0.550  0.022 -0.550  -0.122 -0.550  -0.266 -0.550  -0.411 -0.550  -0.555 -0.550  -0.699 -0.550  -0.843 -0.550  -0.988 -0.550  -1.132 -0.550  -1.276 -0.550  -1.396 -0.550  -1.252 -0.550  -1.107 -0.550  -0.963 -0.550  -0.825 -0.556  -0.825 -0.700  -0.822 -0.842  -0.678 -0.842  -0.533 -0.842
