1b#kai#kai1#jhjung5/A  0.801 0.658  0.738 0.808  0.636 0.935  0.520 1.050  0.393 1.152  0.243 1.215  0.102 1.289  -0.057 1.263  -0.212 1.211  -0.361 1.146  -0.497 1.055  -0.618 0.946  -0.749 0.850  -0.815 0.703  -0.869 0.556  -0.907 0.398  -0.907 0.234  -0.907 0.071  -0.907 -0.093  -0.907 -0.256  -0.907 -0.420  -0.907 -0.584  -0.885 -0.744  -0.867 -0.904  -0.748 -1.015  -0.593 -1.067  -0.433 -1.086  -0.275 -1.123  -0.116 -1.095  0.023 -1.011  0.152 -0.912  0.251 -0.782  0.360 -0.663  0.427 -0.515  0.518 -0.379  0.579 -0.228  0.620 -0.070  0.652 0.088  0.652 0.252  0.669 0.413  0.658 0.377  0.606 0.222  0.578 0.063  0.578 -0.101  0.556 -0.261  0.541 -0.422  0.578 -0.579  0.599 -0.740  0.650 -0.895  0.764 -1.012
1b#kai#kai1#jhjung5/J  1.003 -0.639  0.824 -0.617  0.667 -0.527  0.509 -0.445  0.360 -0.349  0.206 -0.254  0.072 -0.131  -0.079 -0.030  -0.195 0.107  -0.324 0.226  -0.422 0.374  -0.532 0.518  -0.605 0.684  -0.681 0.847  -0.739 1.020  -0.762 1.199  -0.762 1.381  -0.742 1.553  -0.582 1.637  -0.403 1.645  -0.264 1.544  -0.163 1.392  -0.090 1.226  -0.015 1.062  0.021 0.890  0.064 0.721  0.102 0.545  0.150 0.377  0.182 0.204  0.230 0.028  0.279 -0.147  0.290 -0.328  0.290 -0.511  0.327 -0.687  0.327 -0.869  0.304 -1.047  0.246 -1.220  0.168 -1.384  0.093 -1.546  -0.043 -1.567  -0.144 -1.415  -0.199 -1.244  -0.199 -1.062  -0.123 -0.901  -0.024 -0.754  0.067 -0.597  0.168 -0.446  0.284 -0.306  0.381 -0.155  0.477 -0.000
1b#kai#kai1#jhjung5/K  -0.637 1.294  -0.409 1.389  -0.201 1.268  -0.162 1.018  -0.145 0.774  -0.220 0.529  -0.278 0.280  -0.359 0.037  -0.457 -0.199  -0.590 -0.417  -0.685 -0.654  -0.739 -0.897  -0.894 -1.094  -0.980 -1.334  -1.000 -1.375  -0.845 -1.171  -0.690 -0.967  -0.536 -0.762  -0.381 -0.558  -0.226 -0.354  -0.071 -0.150  0.084 0.054  0.238 0.258  0.393 0.463  0.548 0.667  0.703 0.871  0.857 1.075  1.012 1.279  1.167 1.483  0.995 1.296  0.886 1.067  0.782 0.835  0.683 0.601  0.602 0.358  0.480 0.134  0.355 -0.086  0.153 -0.242  -0.070 -0.321  -0.319 -0.368  -0.478 -0.223  -0.335 -0.018  -0.102 0.080  0.138 0.085  0.253 -0.141  0.218 -0.388  0.205 -0.642  0.124 -0.885  0.157 -1.136  0.272 -1.353  0.503 -1.459
1b#kai#kai1#jhjung5/L  -1.457 -0.954  -1.283 -0.910  -1.120 -0.839  -0.958 -0.768  -0.798 -0.693  -0.666 -0.573  -0.521 -0.467  -0.393 -0.342  -0.266 -0.215  -0.123 -0.107  0.006 0.017  0.133 0.144  0.273 0.254  0.384 0.392  0.510 0.520  0.568 0.689  0.625 0.859  0.716 1.013  0.760 1.185  0.792 1.359  0.801 1.537  0.721 1.659  0.597 1.566  0.520 1.407  0.419 1.260  0.349 1.097  0.292 0.927  0.211 0.768  0.153 0.601  0.080 0.438  0.018 0.270  -0.039 0.100  -0.121 -0.058  -0.220 -0.207  -0.240 -0.383  -0.297 -0.553  -0.354 -0.723  -0.411 -0.893  -0.540 -0.917  -0.554 -0.748  -0.500 -0.585  -0.364 -0.472  -0.204 -0.524  -0.082 -0.656  0.027 -0.797  0.172 -0.895  0.342 -0.952  0.514 -0.995  0.689 -0.964  0.842 -0.872
1b#kai#kai1#jhjung5/L  -1.453 -0.626  -1.283 -0.570  -1.110 -0.526  -0.938 -0.481  -0.764 -0.441  -0.590 -0.401  -0.415 -0.383  -0.254 -0.307  -0.085 -0.253  0.068 -0.161  0.214 -0.062  0.351 0.051  0.499 0.150  0.628 0.273  0.730 0.420  0.834 0.564  0.906 0.726  0.994 0.881  1.028 1.052  1.067 1.224  1.067 1.402  0.914 1.461  0.739 1.438  0.581 1.359  0.451 1.238  0.324 1.112  0.227 0.962  0.144 0.804  0.052 0.651  -0.018 0.488  -0.075 0.318  -0.134 0.150  -0.199 -0.016  -0.256 -0.185  -0.343 -0.340  -0.365 -0.514  -0.422 -0.683  -0.519 -0.831  -0.668 -0.930  -0.792 -0.908  -0.784 -0.745  -0.671 -0.615  -0.497 -0.587  -0.320 -0.597  -0.171 -0.687  -0.045 -0.813  0.095 -0.923  0.244 -1.021  0.416 -1.059  0.595 -1.059
1b#kai#kai1#jhjung5/M  -1.558 -0.728  -1.522 -0.463  -1.436 -0.206  -1.313 0.032  -1.202 0.277  -1.052 0.502  -0.902 0.727  -0.751 0.953  -0.569 1.151  -0.406 1.367  -0.199 1.540  0.061 1.577  0.260 1.443  0.249 1.181  0.213 0.916  0.109 0.667  0.008 0.416  -0.091 0.176  -0.156 -0.085  -0.242 -0.342  -0.327 -0.599  -0.405 -0.857  -0.362 -0.860  -0.292 -0.598  -0.207 -0.341  -0.104 -0.093  0.010 0.150  0.160 0.375  0.331 0.584  0.503 0.580  0.538 0.320  0.535 0.049  0.449 -0.208  0.357 -0.462  0.247 -0.709  0.162 -0.966  0.044 -1.207  0.094 -1.053  0.213 -0.812  0.268 -0.556  0.379 -0.312  0.529 -0.086  0.704 0.119  0.929 0.178  1.009 -0.069  0.933 -0.327  0.852 -0.585  0.852 -0.856  0.931 -1.016  1.166 -0.886
1b#kai#kai1#jhjung5/N  -1.244 -0.648  -1.178 -0.448  -1.111 -0.248  -1.044 -0.048  -0.946 0.136  -0.873 0.331  -0.785 0.518  -0.699 0.709  -0.593 0.890  -0.477 1.065  -0.333 1.218  -0.207 1.386  -0.027 1.479  0.150 1.591  0.337 1.567  0.383 1.364  0.383 1.153  0.383 0.943  0.337 0.738  0.273 0.537  0.222 0.333  0.157 0.132  0.103 -0.069  0.083 -0.278  0.013 -0.474  -0.087 -0.657  -0.154 -0.857  -0.220 -1.056  -0.287 -1.256  -0.346 -1.410  -0.317 -1.206  -0.228 -1.016  -0.175 -0.812  -0.058 -0.637  0.053 -0.459  0.133 -0.266  0.235 -0.083  0.339 0.093  0.477 0.251  0.615 0.405  0.720 0.390  0.720 0.179  0.720 -0.031  0.706 -0.240  0.640 -0.440  0.573 -0.639  0.552 -0.847  0.502 -1.044  0.690 -1.138  0.888 -1.097
1b#kai#kai1#jhjung5/O  0.215 0.595  0.231 0.768  0.226 0.936  0.164 1.099  0.011 1.176  -0.150 1.127  -0.297 1.029  -0.404 0.892  -0.505 0.747  -0.624 0.619  -0.701 0.460  -0.745 0.290  -0.796 0.121  -0.839 -0.050  -0.865 -0.223  -0.865 -0.399  -0.906 -0.569  -0.906 -0.745  -0.901 -0.921  -0.856 -1.091  -0.800 -1.259  -0.699 -1.398  -0.540 -1.439  -0.366 -1.425  -0.209 -1.348  -0.062 -1.250  0.084 -1.153  0.210 -1.029  0.335 -0.904  0.459 -0.780  0.553 -0.631  0.609 -0.464  0.691 -0.310  0.717 -0.141  0.773 0.027  0.796 0.199  0.796 0.376  0.770 0.548  0.714 0.715  0.576 0.821  0.457 0.927  0.286 0.895  0.127 0.830  0.090 0.660  0.152 0.502  0.288 0.394  0.436 0.300  0.596 0.230  0.753 0.152  0.920 0.097
1b#kai#kai1#jhjung5/O  0.555 1.037  0.446 1.187  0.287 1.281  0.106 1.315  -0.073 1.276  -0.248 1.213  -0.398 1.105  -0.526 0.970  -0.636 0.821  -0.755 0.681  -0.814 0.505  -0.838 0.323  -0.838 0.137  -0.838 -0.050  -0.838 -0.236  -0.838 -0.422  -0.831 -0.607  -0.791 -0.786  -0.757 -0.967  -0.699 -1.144  -0.591 -1.293  -0.431 -1.388  -0.251 -1.423  -0.071 -1.384  0.066 -1.261  0.217 -1.153  0.324 -1.002  0.422 -0.845  0.496 -0.676  0.580 -0.511  0.639 -0.335  0.653 -0.151  0.694 0.028  0.694 0.214  0.694 0.401  0.675 0.584  0.647 0.765  0.566 0.927  0.400 0.980  0.264 0.862  0.205 0.686  0.147 0.509  0.137 0.325  0.137 0.139  0.137 -0.047  0.186 -0.225  0.245 -0.402  0.325 -0.568  0.471 -0.668  0.647 -0.727
1b#kai#kai1#jhjung5/O  0.369 0.753  0.369 0.945  0.285 1.111  0.119 1.204  -0.069 1.224  -0.251 1.163  -0.431 1.099  -0.582 0.982  -0.704 0.835  -0.796 0.667  -0.850 0.484  -0.890 0.298  -0.896 0.107  -0.930 -0.079  -0.930 -0.271  -0.930 -0.463  -0.930 -0.654  -0.915 -0.842  -0.827 -1.010  -0.693 -1.136  -0.533 -1.243  -0.362 -1.325  -0.177 -1.372  0.015 -1.372  0.187 -1.292  0.325 -1.162  0.462 -1.034  0.572 -0.880  0.633 -0.698  0.684 -0.514  0.717 -0.328  0.723 -0.137  0.723 0.055  0.723 0.247  0.684 0.432  0.650 0.619  0.577 0.795  0.471 0.954  0.305 1.021  0.160 0.912  0.093 0.735  0.064 0.548  0.067 0.360  0.093 0.172  0.165 -0.004  0.271 -0.163  0.328 -0.322  0.442 -0.451  0.616 -0.506  0.802 -0.467
1b#kai#kai1#jhjung5/P  -0.819 0.524  -0.607 0.485  -0.407 0.589  -0.248 0.748  -0.088 0.908  0.071 1.068  0.204 1.249  0.276 1.092  0.205 0.878  0.133 0.664  0.062 0.449  -0.009 0.235  -0.093 0.026  -0.159 -0.190  -0.253 -0.391  -0.344 -0.596  -0.416 -0.810  -0.487 -1.024  -0.558 -1.238  -0.630 -1.452  -0.646 -1.675  -0.704 -1.803  -0.704 -1.577  -0.621 -1.376  -0.535 -1.169  -0.514 -0.948  -0.414 -0.746  -0.370 -0.524  -0.306 -0.308  -0.187 -0.118  -0.114 0.096  -0.042 0.310  0.020 0.527  0.083 0.743  0.190 0.940  0.363 1.080  0.572 1.160  0.798 1.160  0.976 1.070  1.071 0.868  1.089 0.645  1.038 0.428  0.961 0.216  0.836 0.028  0.702 -0.152  0.538 -0.306  0.344 -0.419  0.129 -0.490  -0.085 -0.473  -0.299 -0.401
1b#kai#kai1#jhjung5/Q  0.326 -0.984  0.166 -1.082  -0.017 -1.117  -0.205 -1.117  -0.378 -1.046  -0.543 -0.960  -0.672 -0.836  -0.777 -0.680  -0.838 -0.502  -0.897 -0.323  -0.913 -0.138  -0.913 0.050  -0.913 0.239  -0.858 0.418  -0.824 0.600  -0.749 0.766  -0.662 0.932  -0.561 1.091  -0.478 1.252  -0.322 1.356  -0.165 1.460  0.013 1.493  0.192 1.522  0.359 1.441  0.453 1.288  0.520 1.113  0.591 0.947  0.627 0.764  0.635 0.578  0.608 0.394  0.591 0.209  0.531 0.030  0.503 -0.153  0.451 -0.332  0.357 -0.494  0.250 -0.636  0.080 -0.712  -0.083 -0.686  -0.143 -0.507  -0.119 -0.329  0.010 -0.194  0.187 -0.131  0.370 -0.100  0.548 -0.148  0.591 -0.329  0.625 -0.511  0.630 -0.697  0.591 -0.880  0.591 -1.069  0.635 -1.250
1b#kai#kai1#jhjung5/Q  0.523 -0.852  0.336 -0.892  0.149 -0.936  -0.036 -0.956  -0.227 -0.933  -0.407 -0.869  -0.568 -0.761  -0.712 -0.633  -0.849 -0.496  -0.916 -0.316  -0.941 -0.126  -0.982 0.061  -1.022 0.248  -0.999 0.438  -0.938 0.622  -0.900 0.810  -0.819 0.979  -0.711 1.140  -0.604 1.301  -0.457 1.423  -0.270 1.466  -0.077 1.463  0.107 1.402  0.289 1.338  0.434 1.214  0.541 1.053  0.601 0.871  0.661 0.687  0.686 0.497  0.686 0.303  0.681 0.110  0.620 -0.074  0.555 -0.256  0.462 -0.424  0.370 -0.593  0.294 -0.769  0.149 -0.882  -0.032 -0.866  -0.160 -0.721  -0.209 -0.542  -0.133 -0.370  0.012 -0.243  0.174 -0.136  0.362 -0.120  0.537 -0.183  0.623 -0.350  0.711 -0.521  0.762 -0.705  0.752 -0.888  0.889 -1.014
1b#kai#kai1#jhjung5/R  -1.040 0.506  -0.771 0.587  -0.501 0.667  -0.261 0.811  -0.027 0.962  0.171 1.161  0.342 1.383  0.174 1.200  0.085 0.933  -0.019 0.674  -0.140 0.423  -0.206 0.153  -0.252 -0.123  -0.369 -0.377  -0.442 -0.649  -0.531 -0.915  -0.650 -1.162  -0.704 -1.434  -0.817 -1.533  -0.810 -1.253  -0.721 -0.986  -0.629 -0.720  -0.527 -0.458  -0.438 -0.192  -0.349 0.075  -0.237 0.332  -0.139 0.595  -0.016 0.845  0.116 1.093  0.348 1.228  0.612 1.153  0.851 1.006  1.062 0.828  1.129 0.567  1.018 0.311  0.862 0.077  0.642 -0.096  0.401 -0.237  0.125 -0.272  -0.141 -0.183  -0.306 0.013  -0.056 0.117  0.186 -0.002  0.239 -0.274  0.239 -0.555  0.239 -0.837  0.307 -1.097  0.421 -1.352  0.625 -1.496  0.906 -1.496
1b#kai#kai1#jhjung5/S  -1.873 -0.886  -1.725 -0.851  -1.572 -0.851  -1.420 -0.851  -1.275 -0.803  -1.140 -0.734  -0.995 -0.709  -0.856 -0.649  -0.720 -0.583  -0.576 -0.534  -0.441 -0.465  -0.310 -0.388  -0.169 -0.330  -0.033 -0.262  0.099 -0.186  0.226 -0.101  0.360 -0.030  0.455 0.085  0.575 0.177  0.659 0.304  0.744 0.431  0.796 0.572  0.808 0.723  0.840 0.870  0.840 1.023  0.757 1.150  0.653 1.251  0.519 1.321  0.379 1.369  0.272 1.270  0.223 1.125  0.214 0.974  0.230 0.824  0.272 0.677  0.320 0.533  0.358 0.385  0.406 0.240  0.454 0.096  0.470 -0.054  0.492 -0.203  0.484 -0.354  0.441 -0.500  0.379 -0.637  0.295 -0.764  0.152 -0.782  0.003 -0.758  -0.140 -0.708  -0.258 -0.614  -0.327 -0.480  -0.343 -0.330
1b#kai#kai1#jhjung5/S  -1.687 -1.071  -1.543 -1.089  -1.396 -1.048  -1.251 -1.003  -1.106 -0.955  -0.962 -0.906  -0.832 -0.830  -0.696 -0.763  -0.570 -0.679  -0.431 -0.619  -0.304 -0.535  -0.178 -0.450  -0.055 -0.359  0.055 -0.255  0.162 -0.147  0.268 -0.038  0.348 0.091  0.421 0.224  0.461 0.365  0.501 0.511  0.538 0.658  0.580 0.805  0.596 0.954  0.626 1.101  0.659 1.248  0.641 1.397  0.525 1.474  0.412 1.459  0.364 1.315  0.329 1.169  0.359 1.021  0.395 0.875  0.423 0.727  0.440 0.578  0.461 0.429  0.474 0.279  0.494 0.130  0.527 -0.017  0.527 -0.169  0.513 -0.319  0.444 -0.453  0.358 -0.578  0.231 -0.663  0.096 -0.730  -0.048 -0.703  -0.185 -0.640  -0.323 -0.578  -0.463 -0.521  -0.570 -0.417  -0.629 -0.278
1b#kai#kai1#jhjung5/T  -1.060 0.152  -1.004 0.264  -0.958 0.379  -0.903 0.489  -0.827 0.588  -0.739 0.676  -0.636 0.745  -0.532 0.814  -0.420 0.865  -0.310 0.922  -0.207 0.933  -0.129 0.850  -0.118 0.727  -0.063 0.621  0.042 0.557  0.167 0.557  0.286 0.588  0.404 0.627  0.523 0.666  0.631 0.726  0.701 0.821  0.721 0.942  0.668 0.967  0.586 0.881  0.547 0.763  0.508 0.645  0.478 0.525  0.478 0.401  0.466 0.278  0.438 0.158  0.426 0.036  0.387 -0.082  0.357 -0.202  0.357 -0.327  0.320 -0.445  0.289 -0.566  0.258 -0.687  0.219 -0.803  0.152 -0.908  0.113 -1.026  0.073 -1.144  0.034 -1.262  -0.035 -1.366  -0.119 -1.457  -0.214 -1.537  -0.321 -1.599  -0.428 -1.605  -0.495 -1.501  -0.535 -1.383  -0.574 -1.265
1b#kai#kai1#jhjung5/T  -0.975 0.113  -0.973 0.250  -0.940 0.383  -0.875 0.502  -0.818 0.626  -0.756 0.746  -0.680 0.861  -0.594 0.964  -0.477 1.030  -0.358 1.007  -0.325 0.874  -0.320 0.738  -0.281 0.607  -0.208 0.491  -0.092 0.430  0.044 0.419  0.175 0.453  0.307 0.489  0.432 0.542  0.540 0.624  0.637 0.721  0.714 0.835  0.763 0.962  0.660 0.986  0.603 0.875  0.560 0.745  0.517 0.615  0.509 0.479  0.480 0.346  0.466 0.211  0.466 0.074  0.444 -0.061  0.407 -0.193  0.378 -0.325  0.368 -0.461  0.341 -0.595  0.335 -0.732  0.300 -0.863  0.257 -0.993  0.247 -1.129  0.197 -1.254  0.143 -1.379  0.065 -1.475  -0.065 -1.518  -0.195 -1.529  -0.325 -1.485  -0.443 -1.422  -0.539 -1.325  -0.582 -1.195  -0.538 -1.065
