2#app#app19#app1918/!  -0.183 1.617  -0.183 1.698  -0.183 1.664  -0.183 1.583  -0.183 1.502  -0.183 1.421  -0.183 1.340  -0.183 1.259  -0.183 1.178  -0.183 1.097  -0.183 1.016  -0.146 0.950  -0.089 0.893  -0.078 0.817  -0.078 0.736  -0.078 0.655  -0.078 0.574  -0.078 0.493  -0.078 0.411  -0.078 0.330  -0.076 0.250  -0.018 0.193  0.027 0.131  0.027 0.050  0.027 -0.031  0.027 -0.112  0.027 -0.193  0.027 -0.274  0.027 -0.355  0.027 -0.436  0.027 -0.517  0.027 -0.598  0.027 -0.679  0.027 -0.760  0.027 -0.841  0.027 -0.922  0.027 -1.004  0.027 -1.085  0.027 -1.166  0.027 -1.247  0.033 -1.322  0.114 -1.322  0.195 -1.322  0.237 -1.284  0.237 -1.203  0.237 -1.122  0.309 -1.112  0.342 -1.064  0.342 -0.983  0.342 -0.902
2#app#app19#app1918/~  -1.330 -0.924  -1.330 -0.809  -1.330 -0.694  -1.330 -0.579  -1.286 -0.483  -1.205 -0.401  -1.124 -0.320  -1.042 -0.239  -0.961 -0.157  -0.932 -0.054  -0.932 0.061  -0.858 0.145  -0.777 0.226  -0.695 0.307  -0.614 0.389  -0.533 0.470  -0.451 0.551  -0.370 0.633  -0.270 0.667  -0.155 0.667  -0.136 0.764  -0.124 0.866  -0.009 0.866  0.106 0.866  0.221 0.866  0.262 0.792  0.262 0.677  0.262 0.562  0.262 0.447  0.262 0.332  0.262 0.217  0.262 0.102  0.262 -0.013  0.262 -0.128  0.262 -0.243  0.283 -0.349  0.364 -0.430  0.446 -0.511  0.555 -0.526  0.670 -0.526  0.785 -0.526  0.899 -0.526  1.014 -0.526  1.129 -0.526  1.244 -0.526  1.329 -0.454  1.410 -0.372  1.492 -0.291  1.573 -0.210  1.654 -0.128
2#app#app19#app1918/  -1.093 -0.230  -1.168 -0.230  -1.242 -0.230  -1.316 -0.230  -1.353 -0.193  -1.353 -0.119  -1.353 -0.045  -1.353 0.030  -1.279 0.030  -1.205 0.030  -1.131 0.030  -1.056 0.030  -0.982 0.030  -0.908 0.030  -0.833 0.030  -0.759 0.030  -0.685 0.030  -0.611 0.030  -0.536 0.030  -0.462 0.030  -0.388 0.030  -0.313 0.030  -0.239 0.030  -0.165 0.030  -0.091 0.030  -0.016 0.030  0.058 0.030  0.132 0.030  0.206 0.030  0.281 0.030  0.355 0.030  0.429 0.030  0.504 0.030  0.578 0.030  0.652 0.030  0.726 0.030  0.801 0.030  0.875 0.030  0.949 0.030  1.024 0.030  1.098 0.030  1.172 0.030  1.246 0.030  1.321 0.030  1.395 0.030  1.469 0.030  1.543 0.030  1.618 0.030  1.692 0.030  1.766 0.030
2#app#app19#app1918/_  -1.424 0.021  -1.424 -0.051  -1.424 -0.124  -1.404 -0.177  -1.331 -0.177  -1.258 -0.177  -1.226 -0.136  -1.226 -0.064  -1.226 0.009  -1.165 0.021  -1.092 0.021  -1.020 0.021  -0.947 0.021  -0.874 0.021  -0.801 0.021  -0.728 0.021  -0.655 0.021  -0.583 0.021  -0.510 0.021  -0.437 0.021  -0.364 0.021  -0.291 0.021  -0.218 0.021  -0.146 0.021  -0.073 0.021  0.000 0.021  0.073 0.021  0.146 0.021  0.218 0.021  0.291 0.021  0.364 0.021  0.437 0.021  0.510 0.021  0.583 0.021  0.655 0.021  0.728 0.021  0.801 0.021  0.874 0.021  0.947 0.021  1.020 0.021  1.092 0.021  1.165 0.021  1.238 0.021  1.311 0.021  1.384 0.021  1.457 0.021  1.529 0.021  1.602 0.021  1.675 0.021  1.748 0.021
2#app#app19#app1918/+  0.010 1.496  0.201 1.496  0.223 1.664  0.223 1.563  0.223 1.372  0.223 1.181  0.223 0.990  0.263 0.816  0.398 0.681  0.436 0.506  0.436 0.315  0.436 0.124  0.436 -0.067  0.436 -0.258  0.447 -0.446  0.533 -0.617  0.618 -0.787  0.649 -0.971  0.649 -1.162  0.587 -1.233  0.431 -1.124  0.275 -1.014  0.118 -0.905  -0.038 -0.795  -0.195 -0.686  -0.351 -0.576  -0.507 -0.467  -0.664 -0.358  -0.820 -0.248  -0.976 -0.139  -1.133 -0.029  -1.289 0.080  -1.445 0.190  -1.483 0.071  -1.361 0.003  -1.170 0.003  -0.979 0.003  -0.788 0.003  -0.597 0.003  -0.406 0.003  -0.215 0.003  -0.025 0.003  0.166 0.003  0.357 0.003  0.548 0.003  0.739 0.003  0.863 -0.064  0.907 -0.210  1.098 -0.210  1.289 -0.210
2#app#app19#app1918/=  -1.317 0.318  -1.158 0.318  -1.026 0.346  -1.026 0.506  -0.970 0.609  -0.811 0.609  -0.651 0.609  -0.492 0.609  -0.365 0.688  -0.252 0.801  -0.134 0.901  0.026 0.901  0.186 0.901  0.345 0.901  0.505 0.901  0.664 0.901  0.824 0.901  0.983 0.901  1.105 0.809  1.218 0.696  1.274 0.588  1.144 0.495  1.014 0.402  0.884 0.309  0.754 0.217  0.624 0.124  0.494 0.031  0.365 -0.062  0.235 -0.154  0.105 -0.247  -0.025 -0.340  -0.155 -0.433  -0.285 -0.525  -0.415 -0.618  -0.544 -0.711  -0.674 -0.804  -0.820 -0.847  -0.980 -0.847  -0.913 -0.847  -0.754 -0.847  -0.594 -0.847  -0.434 -0.847  -0.275 -0.847  -0.115 -0.847  0.044 -0.847  0.204 -0.847  0.363 -0.847  0.496 -0.913  0.609 -1.026  0.722 -1.138
2#app#app19#app1918/[  0.573 0.978  0.573 1.075  0.573 1.173  0.476 1.174  0.379 1.174  0.281 1.174  0.184 1.174  0.086 1.174  0.016 1.107  -0.068 1.076  -0.166 1.076  -0.210 1.023  -0.263 0.978  -0.345 0.941  -0.414 0.872  -0.483 0.803  -0.552 0.734  -0.583 0.666  -0.514 0.597  -0.445 0.528  -0.406 0.446  -0.365 0.391  -0.279 0.361  -0.210 0.292  -0.210 0.195  -0.142 0.126  -0.113 0.041  -0.088 -0.051  -0.044 -0.138  0.008 -0.219  0.077 -0.288  0.083 -0.383  0.083 -0.481  0.083 -0.578  0.083 -0.676  0.083 -0.773  0.083 -0.871  0.083 -0.968  0.083 -1.066  0.023 -1.138  -0.015 -1.220  -0.015 -1.317  -0.015 -1.415  0.028 -1.469  0.113 -1.439  0.183 -1.371  0.280 -1.371  0.378 -1.371  0.475 -1.371  0.573 -1.371
2#app#app19#app1918/]  -0.969 0.951  -0.969 1.049  -0.877 1.054  -0.779 1.054  -0.681 1.054  -0.605 1.000  -0.528 0.951  -0.430 0.951  -0.332 0.951  -0.234 0.951  -0.136 0.951  -0.038 0.951  0.060 0.951  0.157 0.951  0.255 0.951  0.353 0.951  0.372 0.872  0.372 0.774  0.304 0.744  0.269 0.681  0.228 0.600  0.166 0.528  0.166 0.431  0.166 0.333  0.166 0.235  0.101 0.164  0.063 0.082  0.063 -0.016  0.063 -0.114  0.063 -0.212  0.063 -0.310  0.075 -0.403  0.144 -0.472  0.166 -0.561  0.166 -0.659  0.166 -0.757  0.202 -0.839  0.269 -0.910  0.269 -1.007  0.269 -1.105  0.333 -1.177  0.372 -1.258  0.372 -1.356  0.340 -1.422  0.243 -1.422  0.145 -1.422  0.047 -1.422  -0.051 -1.422  -0.149 -1.422  -0.247 -1.422
2#app#app19#app1918/{  0.489 1.029  0.489 1.151  0.413 1.196  0.370 1.300  0.263 1.334  0.142 1.334  0.020 1.334  -0.102 1.334  -0.193 1.262  -0.302 1.230  -0.403 1.182  -0.448 1.106  -0.502 1.038  -0.502 0.917  -0.502 0.795  -0.451 0.724  -0.412 0.634  -0.326 0.548  -0.240 0.462  -0.154 0.376  -0.068 0.290  0.034 0.227  0.136 0.163  0.222 0.077  0.307 -0.009  0.413 -0.042  0.448 -0.149  0.489 -0.254  0.466 -0.366  0.413 -0.465  0.326 -0.506  0.231 -0.572  0.131 -0.624  0.023 -0.656  -0.070 -0.724  -0.192 -0.724  -0.274 -0.685  -0.189 -0.648  -0.083 -0.686  0.023 -0.724  0.031 -0.837  0.031 -0.959  -0.005 -1.065  -0.045 -1.170  -0.069 -1.282  -0.121 -1.382  -0.121 -1.503  -0.121 -1.625  -0.045 -1.670  0.031 -1.716
2#app#app19#app1918/}  -0.654 1.524  -0.540 1.559  -0.428 1.603  -0.378 1.524  -0.257 1.516  -0.199 1.445  -0.178 1.337  -0.099 1.286  -0.099 1.157  -0.113 1.034  -0.178 0.931  -0.178 0.802  -0.219 0.690  -0.257 0.576  -0.303 0.492  -0.337 0.397  -0.337 0.268  -0.255 0.172  -0.157 0.095  -0.099 0.025  0.022 0.016  0.151 0.016  0.281 0.016  0.377 0.095  0.457 0.145  0.363 0.161  0.261 0.095  0.136 0.068  0.013 0.027  -0.099 0.001  -0.164 -0.063  -0.178 -0.179  -0.173 -0.306  -0.099 -0.404  -0.047 -0.512  0.045 -0.604  0.136 -0.695  0.251 -0.754  0.353 -0.832  0.388 -0.947  0.457 -1.047  0.536 -1.097  0.536 -1.227  0.520 -1.349  0.417 -1.413  0.297 -1.453  0.177 -1.492  0.075 -1.557  -0.049 -1.571  -0.178 -1.571
2#app#app19#app1918/\\  -1.141 0.959  -1.088 1.012  -1.035 1.065  -1.012 1.046  -1.012 0.971  -0.968 0.915  -0.915 0.862  -0.853 0.830  -0.778 0.830  -0.754 0.780  -0.754 0.705  -0.683 0.701  -0.625 0.685  -0.625 0.610  -0.599 0.546  -0.546 0.493  -0.493 0.440  -0.440 0.387  -0.387 0.334  -0.334 0.281  -0.281 0.229  -0.228 0.176  -0.176 0.123  -0.123 0.070  -0.070 0.017  -0.017 -0.036  0.036 -0.089  0.089 -0.142  0.142 -0.195  0.195 -0.247  0.248 -0.300  0.304 -0.348  0.366 -0.390  0.429 -0.431  0.491 -0.473  0.553 -0.514  0.615 -0.556  0.666 -0.604  0.666 -0.678  0.697 -0.734  0.764 -0.768  0.831 -0.801  0.898 -0.834  0.956 -0.880  1.009 -0.933  1.065 -0.977  1.140 -0.977  1.205 -1.000  1.258 -1.053  1.311 -1.106
2#app#app19#app1918/,  1.077 1.134  1.077 1.056  1.077 0.979  1.077 0.901  1.012 0.888  0.935 0.888  0.857 0.888  0.832 0.836  0.832 0.759  0.832 0.682  0.792 0.643  0.715 0.643  0.638 0.643  0.568 0.625  0.513 0.570  0.458 0.515  0.404 0.460  0.349 0.406  0.342 0.331  0.342 0.254  0.342 0.176  0.287 0.153  0.210 0.153  0.132 0.153  0.067 0.124  0.012 0.069  -0.043 0.014  -0.097 -0.041  -0.152 -0.095  -0.207 -0.150  -0.262 -0.205  -0.317 -0.260  -0.371 -0.315  -0.426 -0.369  -0.481 -0.424  -0.536 -0.479  -0.590 -0.534  -0.645 -0.588  -0.700 -0.643  -0.755 -0.698  -0.809 -0.753  -0.864 -0.808  -0.919 -0.862  -0.974 -0.917  -1.029 -0.972  -1.083 -1.027  -1.129 -1.085  -1.129 -1.163  -1.129 -1.240  -1.129 -1.317
2#app#app19#app1918/  0.517 1.013  0.517 1.089  0.532 1.149  0.608 1.149  0.653 1.180  0.653 1.256  0.620 1.252  0.566 1.198  0.514 1.144  0.480 1.076  0.446 1.008  0.412 0.941  0.381 0.872  0.381 0.797  0.381 0.721  0.381 0.645  0.381 0.569  0.381 0.494  0.344 0.433  0.291 0.380  0.240 0.324  0.206 0.256  0.172 0.189  0.138 0.121  0.102 0.055  0.048 0.001  -0.005 -0.052  -0.047 -0.114  -0.081 -0.182  -0.115 -0.250  -0.149 -0.317  -0.182 -0.385  -0.216 -0.453  -0.250 -0.520  -0.284 -0.588  -0.329 -0.648  -0.383 -0.701  -0.436 -0.755  -0.469 -0.823  -0.503 -0.891  -0.537 -0.959  -0.571 -1.026  -0.605 -1.094  -0.639 -1.162  -0.673 -1.229  -0.706 -1.297  -0.740 -1.365  -0.774 -1.433  -0.808 -1.500  -0.842 -1.568
2#app#app19#app1918/?  -1.168 0.380  -1.051 0.380  -1.003 0.449  -1.003 0.566  -1.003 0.683  -0.913 0.710  -0.796 0.710  -0.679 0.710  -0.595 0.789  -0.512 0.871  -0.397 0.875  -0.280 0.875  -0.163 0.875  -0.046 0.875  0.071 0.875  0.188 0.875  0.305 0.875  0.422 0.875  0.539 0.875  0.647 0.866  0.647 0.749  0.647 0.632  0.617 0.545  0.500 0.545  0.482 0.446  0.446 0.344  0.363 0.261  0.317 0.163  0.313 0.050  0.196 0.050  0.152 -0.022  0.134 -0.132  0.052 -0.215  -0.013 -0.305  -0.013 -0.422  -0.013 -0.539  -0.013 -0.656  -0.013 -0.773  0.102 -0.775  0.199 -0.822  0.282 -0.905  0.306 -1.007  0.286 -1.122  0.267 -1.238  0.248 -1.353  0.229 -1.468  0.209 -1.584  0.190 -1.699  0.171 -1.815  0.152 -1.930
2#app#app19#app1918/'  -0.111 1.199  -0.032 1.199  0.047 1.199  0.126 1.199  0.204 1.199  0.283 1.199  0.362 1.199  0.441 1.199  0.471 1.179  0.415 1.123  0.359 1.067  0.304 1.011  0.248 0.956  0.192 0.900  0.137 0.844  0.081 0.789  0.025 0.733  -0.030 0.677  -0.086 0.622  -0.111 0.553  -0.111 0.474  -0.111 0.395  -0.111 0.317  -0.111 0.238  -0.111 0.159  -0.111 0.080  -0.111 0.002  -0.111 -0.077  -0.111 -0.156  -0.111 -0.235  -0.111 -0.314  -0.111 -0.392  -0.111 -0.471  -0.111 -0.550  -0.111 -0.629  -0.111 -0.707  -0.111 -0.786  -0.111 -0.865  -0.111 -0.944  -0.111 -1.023  -0.111 -1.101  -0.111 -1.180  -0.111 -1.259  -0.111 -1.338  -0.111 -1.417  -0.111 -1.495  -0.111 -1.574  -0.111 -1.653  -0.111 -1.732  -0.111 -1.810
2#app#app19#app1918/\"  -0.869 0.149  -0.869 0.309  -0.869 0.470  -0.869 0.630  -0.869 0.790  -0.869 0.951  -0.869 0.800  -0.869 0.639  -0.869 0.479  -0.869 0.319  -0.869 0.158  -0.869 -0.002  -0.869 -0.162  -0.869 -0.323  -0.869 -0.483  -0.869 -0.644  -0.869 -0.804  -0.869 -0.964  -0.824 -1.016  -0.710 -0.903  -0.597 -0.789  -0.483 -0.676  -0.370 -0.562  -0.257 -0.449  -0.143 -0.336  -0.030 -0.222  0.084 -0.109  0.197 0.005  0.310 0.118  0.424 0.231  0.537 0.345  0.651 0.458  0.764 0.572  0.877 0.685  0.991 0.798  1.104 0.912  1.148 0.857  1.148 0.696  1.148 0.536  1.148 0.376  1.148 0.215  1.081 0.082  0.968 -0.031  0.855 -0.144  0.744 -0.259  0.744 -0.420  0.744 -0.580  0.744 -0.740  0.744 -0.901  0.744 -1.061
2#app#app19#app1918/<  0.733 1.239  0.851 1.239  0.895 1.312  0.866 1.401  0.749 1.401  0.733 1.300  0.677 1.239  0.572 1.227  0.572 1.110  0.512 1.018  0.429 0.935  0.346 0.852  0.264 0.770  0.181 0.687  0.098 0.604  -0.004 0.548  -0.109 0.496  -0.213 0.444  -0.234 0.340  -0.269 0.237  -0.352 0.154  -0.435 0.071  -0.517 -0.011  -0.600 -0.094  -0.683 -0.177  -0.718 -0.279  -0.734 -0.389  -0.817 -0.472  -0.879 -0.563  -0.879 -0.680  -0.879 -0.594  -0.822 -0.535  -0.705 -0.535  -0.588 -0.535  -0.471 -0.535  -0.354 -0.535  -0.237 -0.535  -0.234 -0.649  -0.164 -0.696  -0.073 -0.721  -0.073 -0.838  0.026 -0.857  0.127 -0.895  0.209 -0.978  0.310 -1.018  0.427 -1.018  0.544 -1.018  0.572 -1.107  0.616 -1.180  0.733 -1.180
2#app#app19#app1918/|  -0.263 1.555  -0.263 1.484  -0.263 1.413  -0.198 1.406  -0.127 1.406  -0.114 1.348  -0.114 1.277  -0.077 1.221  -0.027 1.170  0.024 1.120  0.036 1.054  0.036 0.983  0.036 0.911  0.036 0.840  0.036 0.769  0.036 0.698  0.036 0.626  0.036 0.555  0.036 0.484  0.036 0.413  0.036 0.342  0.036 0.270  0.036 0.199  0.036 0.128  0.036 0.057  0.036 -0.015  0.036 -0.086  0.036 -0.157  0.036 -0.228  0.036 -0.299  0.036 -0.371  0.036 -0.442  0.036 -0.513  0.036 -0.584  0.036 -0.655  0.036 -0.727  0.036 -0.798  0.036 -0.869  0.036 -0.940  0.036 -1.012  0.036 -1.083  0.036 -1.154  0.036 -1.225  0.036 -1.296  0.036 -1.368  0.036 -1.439  0.036 -1.510  0.036 -1.581  0.036 -1.653  0.036 -1.724
2#app#app19#app1918/>  -1.420 1.181  -1.307 1.181  -1.212 1.136  -1.132 1.055  -1.034 1.018  -0.924 1.010  -0.843 0.930  -0.761 0.855  -0.647 0.855  -0.555 0.804  -0.475 0.724  -0.394 0.644  -0.314 0.564  -0.215 0.529  -0.101 0.529  0.012 0.529  0.102 0.473  0.183 0.393  0.285 0.367  0.399 0.367  0.512 0.367  0.599 0.302  0.679 0.222  0.759 0.141  0.840 0.061  0.945 0.041  1.023 0.006  1.023 -0.108  0.924 -0.122  0.810 -0.122  0.697 -0.123  0.697 -0.236  0.651 -0.331  0.571 -0.411  0.473 -0.448  0.363 -0.456  0.283 -0.537  0.209 -0.619  0.209 -0.733  0.136 -0.774  0.046 -0.797  0.046 -0.910  -0.016 -0.998  -0.096 -1.079  -0.201 -1.099  -0.280 -1.134  -0.280 -1.248  -0.379 -1.262  -0.443 -1.312  -0.443 -1.425
