1c#apb#apb22#app2224/h  -0.007 1.853  -0.058 1.698  -0.095 1.541  -0.117 1.379  -0.148 1.220  -0.185 1.062  -0.221 0.903  -0.261 0.745  -0.304 0.588  -0.347 0.431  -0.389 0.275  -0.435 0.118  -0.483 -0.037  -0.532 -0.192  -0.580 -0.348  -0.630 -0.502  -0.681 -0.657  -0.733 -0.811  -0.784 -0.965  -0.836 -1.120  -0.912 -1.191  -0.865 -1.035  -0.791 -0.891  -0.715 -0.747  -0.634 -0.606  -0.550 -0.466  -0.467 -0.327  -0.360 -0.205  -0.248 -0.086  -0.135 0.030  -0.014 0.139  0.108 0.247  0.231 0.353  0.364 0.447  0.497 0.541  0.646 0.600  0.802 0.645  0.941 0.565  1.000 0.421  1.042 0.263  1.016 0.103  0.988 -0.057  0.955 -0.216  0.896 -0.367  0.836 -0.519  0.775 -0.669  0.709 -0.818  0.642 -0.966  0.572 -1.113  0.499 -1.258
1c#apb#apb22#app2224/s  1.169 0.990  1.070 1.049  0.965 1.094  0.858 1.136  0.747 1.130  0.635 1.108  0.522 1.085  0.412 1.056  0.301 1.025  0.191 0.993  0.081 0.962  -0.024 0.916  -0.121 0.855  -0.218 0.795  -0.315 0.734  -0.406 0.663  -0.494 0.590  -0.582 0.516  -0.665 0.437  -0.697 0.336  -0.654 0.246  -0.554 0.189  -0.445 0.154  -0.335 0.122  -0.225 0.091  -0.112 0.068  0.000 0.046  0.113 0.023  0.213 -0.033  0.313 -0.088  0.390 -0.173  0.467 -0.258  0.510 -0.353  0.489 -0.466  0.459 -0.575  0.381 -0.659  0.304 -0.743  0.226 -0.828  0.138 -0.901  0.047 -0.970  -0.045 -1.039  -0.137 -1.108  -0.241 -1.155  -0.348 -1.197  -0.454 -1.238  -0.561 -1.280  -0.674 -1.303  -0.786 -1.325  -0.899 -1.348  -1.011 -1.370
1c#apb#apb22#app2224/o  0.016 1.282  -0.059 1.195  -0.133 1.107  -0.206 1.019  -0.277 0.928  -0.348 0.838  -0.419 0.748  -0.490 0.657  -0.551 0.560  -0.607 0.460  -0.663 0.360  -0.718 0.259  -0.774 0.159  -0.829 0.058  -0.874 -0.047  -0.920 -0.153  -0.965 -0.259  -1.010 -0.364  -0.987 -0.475  -0.960 -0.587  -0.932 -0.698  -0.859 -0.769  -0.752 -0.811  -0.644 -0.852  -0.537 -0.893  -0.426 -0.883  -0.313 -0.860  -0.201 -0.836  -0.089 -0.812  0.024 -0.789  0.127 -0.744  0.222 -0.679  0.317 -0.614  0.411 -0.549  0.506 -0.485  0.601 -0.420  0.690 -0.349  0.762 -0.259  0.835 -0.170  0.907 -0.081  0.980 0.008  1.052 0.097  1.095 0.201  1.123 0.312  1.151 0.424  1.179 0.535  1.195 0.646  1.155 0.754  1.116 0.862  1.077 0.970
1c#apb#apb22#app2224/n  -1.714 -0.924  -1.616 -0.804  -1.496 -0.706  -1.377 -0.608  -1.252 -0.517  -1.127 -0.426  -1.001 -0.336  -0.880 -0.240  -0.777 -0.125  -0.674 -0.010  -0.571 0.106  -0.467 0.221  -0.355 0.327  -0.243 0.434  -0.131 0.540  -0.018 0.647  0.094 0.753  0.206 0.859  0.319 0.966  0.431 1.072  0.545 1.176  0.663 1.277  0.686 1.243  0.610 1.108  0.538 0.971  0.466 0.835  0.393 0.698  0.321 0.561  0.249 0.424  0.177 0.287  0.111 0.147  0.050 0.005  -0.011 -0.137  -0.072 -0.279  -0.102 -0.430  -0.123 -0.583  -0.133 -0.737  -0.116 -0.890  -0.001 -0.971  0.143 -0.971  0.288 -0.916  0.433 -0.862  0.559 -0.776  0.678 -0.678  0.798 -0.579  0.914 -0.478  1.007 -0.354  1.100 -0.231  1.193 -0.107  1.286 0.017
1c#apb#apb22#app2224/o  0.155 1.309  0.080 1.211  0.005 1.113  -0.071 1.015  -0.143 0.915  -0.211 0.812  -0.278 0.708  -0.346 0.605  -0.413 0.501  -0.480 0.398  -0.546 0.293  -0.605 0.185  -0.665 0.076  -0.724 -0.032  -0.784 -0.140  -0.838 -0.251  -0.869 -0.370  -0.901 -0.490  -0.932 -0.609  -0.964 -0.728  -0.928 -0.843  -0.881 -0.957  -0.833 -1.071  -0.714 -1.062  -0.591 -1.048  -0.468 -1.033  -0.349 -1.010  -0.248 -0.938  -0.148 -0.867  -0.047 -0.796  0.054 -0.724  0.155 -0.653  0.256 -0.581  0.345 -0.497  0.428 -0.406  0.511 -0.314  0.594 -0.223  0.678 -0.132  0.761 -0.040  0.843 0.052  0.901 0.161  0.958 0.270  1.016 0.379  1.074 0.489  1.087 0.609  1.087 0.732  1.087 0.856  1.066 0.969  0.967 1.043  0.868 1.117
1c#apb#apb22#app2224/r  -0.175 0.629  -0.270 0.466  -0.374 0.310  -0.488 0.161  -0.601 0.011  -0.706 -0.146  -0.810 -0.302  -0.913 -0.459  -1.013 -0.618  -1.114 -0.777  -1.182 -0.952  -1.250 -1.127  -1.136 -0.991  -1.042 -0.829  -0.948 -0.666  -0.840 -0.512  -0.732 -0.359  -0.623 -0.205  -0.501 -0.062  -0.374 0.076  -0.247 0.215  -0.119 0.353  0.016 0.483  0.152 0.613  0.287 0.744  0.435 0.856  0.610 0.924  0.785 0.993  0.958 1.065  1.130 1.140  1.305 1.124  1.347 0.973  1.307 0.794  1.200 0.639  1.079 0.496  0.947 0.363  0.801 0.246  0.643 0.145  0.470 0.074  0.289 0.028  0.101 0.028  -0.064 -0.005  -0.093 -0.187  -0.068 -0.369  0.020 -0.535  0.114 -0.698  0.216 -0.856  0.329 -1.003  0.491 -1.098  0.653 -1.193
1c#apb#apb22#app2224/k  0.269 1.733  0.232 1.609  0.173 1.417  0.100 1.230  0.021 1.045  -0.059 0.860  -0.140 0.676  -0.223 0.493  -0.305 0.310  -0.386 0.125  -0.458 -0.062  -0.529 -0.250  -0.601 -0.438  -0.673 -0.626  -0.744 -0.814  -0.816 -1.002  -0.881 -1.192  -0.941 -1.384  -0.876 -1.321  -0.777 -1.146  -0.657 -0.985  -0.533 -0.826  -0.409 -0.668  -0.285 -0.510  -0.161 -0.351  -0.037 -0.193  0.087 -0.035  0.211 0.124  0.335 0.282  0.459 0.440  0.583 0.598  0.717 0.748  0.852 0.898  0.989 1.045  1.058 1.112  0.931 0.956  0.804 0.800  0.677 0.644  0.551 0.488  0.424 0.331  0.297 0.175  0.170 0.019  0.044 -0.137  -0.037 -0.314  -0.068 -0.512  -0.026 -0.709  0.028 -0.902  0.097 -1.091  0.197 -1.263  0.318 -1.424
1c#apb#apb22#app2224/i  0.566 1.305  0.583 1.373  0.597 1.442  0.580 1.409  0.558 1.342  0.535 1.275  0.513 1.208  0.491 1.141  0.468 1.074  0.446 1.007  0.424 0.941  0.401 0.874  0.379 0.807  0.352 0.742  0.325 0.677  0.298 0.612  0.270 0.547  0.243 0.481  0.216 0.416  0.189 0.351  0.162 0.286  0.135 0.221  0.108 0.156  0.081 0.091  0.050 0.028  0.017 -0.035  -0.015 -0.097  -0.048 -0.160  -0.081 -0.222  -0.113 -0.285  -0.146 -0.347  -0.179 -0.410  -0.211 -0.472  -0.244 -0.535  -0.276 -0.597  -0.308 -0.660  -0.338 -0.724  -0.368 -0.788  -0.398 -0.852  -0.428 -0.915  -0.458 -0.979  -0.488 -1.043  -0.518 -1.107  -0.548 -1.171  -0.573 -1.237  -0.598 -1.302  -0.624 -1.368  -0.649 -1.434  -0.674 -1.500  -0.700 -1.566
1c#apb#apb22#app2224/m  -0.339 1.170  -0.436 1.019  -0.505 0.841  -0.586 0.669  -0.667 0.497  -0.757 0.330  -0.868 0.176  -0.974 0.018  -1.055 -0.154  -1.136 -0.326  -1.229 -0.492  -1.325 -0.656  -1.437 -0.807  -1.351 -0.724  -1.223 -0.584  -1.086 -0.452  -0.941 -0.330  -0.795 -0.207  -0.652 -0.082  -0.514 0.049  -0.376 0.180  -0.237 0.310  -0.087 0.427  0.063 0.544  0.214 0.659  0.373 0.764  0.531 0.870  0.700 0.957  0.847 0.895  0.878 0.711  0.851 0.522  0.800 0.341  0.724 0.167  0.646 -0.007  0.565 -0.179  0.484 -0.351  0.395 -0.519  0.305 -0.687  0.225 -0.859  0.306 -0.775  0.431 -0.632  0.582 -0.517  0.736 -0.405  0.884 -0.286  1.023 -0.157  1.158 -0.039  1.245 -0.193  1.233 -0.382  1.181 -0.564  1.197 -0.751
1c#apb#apb22#app2224/m  -0.288 1.156  -0.245 1.372  -0.329 1.157  -0.398 0.937  -0.501 0.730  -0.605 0.523  -0.710 0.317  -0.816 0.112  -0.923 -0.093  -1.027 -0.300  -1.130 -0.506  -1.234 -0.713  -1.329 -0.923  -1.311 -0.843  -1.148 -0.680  -1.007 -0.497  -0.873 -0.309  -0.730 -0.128  -0.571 0.040  -0.412 0.207  -0.244 0.367  -0.076 0.525  0.103 0.671  0.295 0.787  0.465 0.712  0.467 0.487  0.396 0.268  0.298 0.058  0.191 -0.146  0.068 -0.342  -0.055 -0.537  -0.176 -0.734  -0.270 -0.945  -0.200 -0.878  -0.042 -0.709  0.109 -0.534  0.253 -0.353  0.399 -0.174  0.558 -0.006  0.716 0.162  0.893 0.311  1.075 0.453  1.266 0.577  1.409 0.452  1.394 0.227  1.346 0.001  1.294 -0.224  1.244 -0.450  1.201 -0.677  1.209 -0.906
1c#apb#apb22#app2224/e  -0.749 -0.185  -0.794 -0.208  -0.638 -0.208  -0.486 -0.186  -0.339 -0.134  -0.192 -0.083  -0.050 -0.021  0.086 0.056  0.222 0.133  0.357 0.209  0.486 0.296  0.612 0.389  0.737 0.481  0.856 0.581  0.956 0.700  1.057 0.819  1.125 0.958  1.159 1.107  1.043 1.186  0.889 1.162  0.739 1.125  0.598 1.059  0.457 0.993  0.322 0.916  0.190 0.832  0.058 0.749  -0.069 0.659  -0.189 0.560  -0.309 0.461  -0.425 0.357  -0.528 0.240  -0.631 0.123  -0.732 0.005  -0.808 -0.131  -0.885 -0.267  -0.936 -0.411  -0.958 -0.565  -0.946 -0.716  -0.890 -0.861  -0.793 -0.966  -0.648 -1.024  -0.502 -1.077  -0.348 -1.099  -0.194 -1.122  -0.040 -1.145  0.115 -1.160  0.271 -1.155  0.426 -1.150  0.582 -1.145  0.738 -1.139
1c#apb#apb22#app2224/r  -0.000 1.036  -0.141 0.929  -0.226 0.771  -0.315 0.615  -0.410 0.464  -0.506 0.312  -0.605 0.163  -0.707 0.016  -0.802 -0.136  -0.882 -0.296  -0.962 -0.456  -1.022 -0.625  -1.087 -0.791  -1.077 -0.776  -0.991 -0.619  -0.893 -0.469  -0.792 -0.321  -0.694 -0.171  -0.602 -0.018  -0.510 0.136  -0.407 0.282  -0.297 0.424  -0.187 0.565  -0.066 0.697  0.056 0.828  0.185 0.952  0.324 1.065  0.477 1.156  0.648 1.171  0.744 1.039  0.788 0.866  0.762 0.693  0.660 0.547  0.542 0.413  0.414 0.288  0.276 0.175  0.136 0.062  -0.013 -0.034  0.035 -0.175  0.145 -0.316  0.259 -0.454  0.373 -0.592  0.483 -0.733  0.593 -0.875  0.710 -1.010  0.841 -1.133  0.971 -1.255  1.112 -1.366  1.257 -1.471  1.402 -1.576
