1c#app#app14#app1487/w  -0.557 1.545  -0.557 1.403  -0.557 1.261  -0.613 1.176  -0.742 1.162  -0.742 1.020  -0.742 0.878  -0.742 0.736  -0.742 0.594  -0.742 0.452  -0.742 0.310  -0.742 0.168  -0.742 0.026  -0.742 -0.116  -0.742 -0.258  -0.742 -0.400  -0.742 -0.542  -0.742 -0.684  -0.742 -0.827  -0.631 -0.857  -0.557 -0.789  -0.531 -0.673  -0.389 -0.673  -0.372 -0.548  -0.290 -0.488  -0.187 -0.448  -0.187 -0.306  -0.187 -0.164  -0.091 -0.118  -0.002 -0.171  0.005 -0.310  0.105 -0.411  0.206 -0.511  0.306 -0.611  0.423 -0.673  0.565 -0.673  0.707 -0.673  0.816 -0.593  0.916 -0.493  0.922 -0.353  0.987 -0.238  1.087 -0.137  1.106 -0.003  1.106 0.139  1.136 0.252  1.278 0.252  1.291 0.380  1.291 0.522  1.291 0.664  1.291 0.806
1c#app#app14#app1487/i  0.000 -0.661  0.000 -0.746  0.000 -0.832  0.000 -0.917  0.000 -1.002  0.000 -1.087  0.000 -1.173  0.000 -1.258  0.000 -1.343  0.000 -1.429  0.000 -1.375  0.000 -1.290  0.000 -1.205  0.000 -1.119  0.000 -1.034  0.000 -0.949  0.000 -0.864  0.000 -0.778  0.000 -0.693  0.000 -0.608  0.000 -0.522  0.000 -0.437  0.000 -0.352  0.000 -0.267  0.000 -0.181  0.000 -0.096  0.000 -0.011  0.000 0.075  0.000 0.160  0.000 0.245  0.000 0.331  0.000 0.416  0.000 0.501  0.000 0.586  0.000 0.672  0.000 0.757  0.000 0.842  0.000 0.928  0.000 1.013  0.000 1.098  0.000 1.183  0.000 1.269  0.000 1.354  0.000 1.439  0.000 1.525  0.000 1.610  0.000 1.684  0.000 1.599  0.000 1.514  0.000 1.429
1c#app#app14#app1487/d  0.101 0.115  0.101 -0.047  0.050 0.115  -0.141 0.061  -0.300 -0.073  -0.462 -0.124  -0.539 -0.260  -0.650 -0.363  -0.741 -0.539  -0.838 -0.713  -0.838 -0.926  -0.838 -1.140  -0.838 -1.353  -0.658 -1.387  -0.462 -1.370  -0.431 -1.169  -0.280 -1.018  -0.074 -1.000  0.077 -0.849  0.101 -0.645  0.113 -0.436  0.264 -0.285  0.289 -0.082  0.289 0.132  0.289 0.345  0.289 0.559  0.289 0.772  0.289 0.986  0.289 1.200  0.289 1.413  0.280 1.618  0.101 1.653  0.101 1.745  0.015 1.618  -0.086 1.506  -0.086 1.292  -0.086 1.078  0.048 0.920  0.101 0.729  0.101 0.515  0.102 0.302  0.253 0.151  0.289 -0.048  0.289 -0.261  0.316 -0.448  0.477 -0.501  0.532 -0.691  0.665 -0.850  0.702 -1.048  0.853 -1.200
1c#app#app14#app1487/f  0.564 -0.557  0.373 -0.557  0.181 -0.557  -0.011 -0.557  -0.203 -0.557  -0.395 -0.557  -0.586 -0.557  -0.755 -0.614  -0.890 -0.750  -1.075 -0.767  -0.992 -0.687  -0.831 -0.584  -0.669 -0.481  -0.507 -0.378  -0.345 -0.275  -0.183 -0.172  -0.021 -0.069  0.140 0.033  0.302 0.136  0.464 0.239  0.626 0.342  0.788 0.445  0.949 0.548  1.111 0.651  1.195 0.797  1.143 0.967  1.007 1.103  0.872 1.239  0.720 1.336  0.528 1.336  0.337 1.336  0.145 1.336  -0.047 1.336  -0.066 1.163  -0.175 1.017  -0.277 0.867  -0.277 0.675  -0.277 0.483  -0.277 0.291  -0.277 0.099  -0.277 -0.092  -0.277 -0.284  -0.277 -0.476  -0.277 -0.668  -0.277 -0.860  -0.277 -1.051  -0.277 -1.243  -0.240 -1.398  -0.066 -1.417  -0.066 -1.608
1c#app#app14#app1487/i  -0.139 1.032  0.001 1.032  0.141 1.032  0.166 0.918  0.166 0.777  0.166 0.637  0.166 0.497  0.166 0.357  0.166 0.217  0.140 0.088  0.040 -0.011  -0.059 -0.110  -0.139 -0.217  -0.139 -0.357  -0.139 -0.497  -0.139 -0.637  -0.139 -0.777  -0.139 -0.917  -0.139 -1.057  -0.139 -1.198  -0.139 -1.338  -0.139 -1.478  -0.139 -1.618  -0.136 -1.681  -0.124 -1.541  -0.113 -1.402  -0.101 -1.262  -0.090 -1.122  -0.078 -0.983  -0.066 -0.843  -0.055 -0.704  -0.043 -0.564  -0.031 -0.424  -0.020 -0.285  -0.008 -0.145  0.004 -0.005  0.015 0.134  0.027 0.274  0.038 0.413  0.050 0.553  0.062 0.693  0.073 0.832  0.085 0.972  0.097 1.112  0.108 1.251  0.120 1.391  0.132 1.531  0.143 1.670  0.155 1.810  0.166 1.949
1c#app#app14#app1487/g  0.006 1.425  0.134 1.425  0.035 1.425  -0.093 1.425  -0.221 1.425  -0.278 1.354  -0.317 1.243  -0.408 1.152  -0.420 1.030  -0.420 0.902  -0.420 0.774  -0.352 0.715  -0.224 0.715  -0.096 0.715  0.006 0.740  0.006 0.868  0.006 0.995  0.006 0.874  0.006 0.747  0.006 0.619  0.006 0.491  0.054 0.383  0.144 0.293  0.148 0.167  0.148 0.039  0.148 -0.088  0.204 -0.193  0.290 -0.285  0.290 -0.412  0.290 -0.540  0.290 -0.668  0.290 -0.795  0.290 -0.923  0.290 -1.051  0.290 -1.178  0.290 -1.306  0.290 -1.434  0.285 -1.556  0.157 -1.556  0.064 -1.473  -0.026 -1.382  -0.116 -1.292  -0.136 -1.173  -0.136 -1.045  -0.136 -0.917  -0.136 -0.790  -0.136 -0.662  -0.136 -0.534  -0.136 -0.407  -0.136 -0.279
1c#app#app14#app1487/u  -1.330 1.137  -1.242 1.050  -1.155 0.963  -1.068 0.875  -0.981 0.788  -0.922 0.689  -0.922 0.566  -0.922 0.443  -0.922 0.319  -0.922 0.196  -0.922 0.073  -0.922 -0.051  -0.834 -0.085  -0.710 -0.085  -0.587 -0.085  -0.515 -0.136  -0.515 -0.260  -0.515 -0.383  -0.501 -0.493  -0.378 -0.493  -0.255 -0.493  -0.131 -0.493  -0.107 -0.592  -0.107 -0.715  -0.107 -0.839  -0.046 -0.900  0.078 -0.900  0.201 -0.900  0.300 -0.876  0.300 -0.753  0.300 -0.629  0.300 -0.506  0.410 -0.493  0.533 -0.493  0.657 -0.493  0.708 -0.420  0.708 -0.297  0.708 -0.174  0.732 -0.061  0.819 0.026  0.907 0.114  0.994 0.201  1.081 0.288  1.115 0.397  1.115 0.520  1.115 0.644  1.115 0.767  1.115 0.890  1.115 1.014  1.115 1.137
1c#app#app14#app1487/r  -0.747 0.073  -0.658 -0.016  -0.569 -0.105  -0.480 -0.194  -0.588 -0.201  -0.714 -0.201  -0.747 -0.294  -0.747 -0.420  -0.697 -0.525  -0.608 -0.613  -0.519 -0.702  -0.473 -0.809  -0.473 -0.934  -0.473 -1.060  -0.473 -1.186  -0.458 -1.296  -0.332 -1.296  -0.207 -1.296  -0.199 -1.178  -0.199 -1.052  -0.199 -0.927  -0.199 -0.801  -0.199 -0.676  -0.199 -0.550  -0.199 -0.424  -0.199 -0.299  -0.179 -0.181  -0.090 -0.092  -0.002 -0.004  0.075 0.090  0.075 0.216  0.075 0.342  0.075 0.467  0.075 0.593  0.075 0.719  0.075 0.844  0.128 0.948  0.217 1.037  0.306 1.125  0.414 1.168  0.540 1.168  0.665 1.168  0.791 1.168  0.911 1.153  0.999 1.064  1.088 0.976  1.177 0.887  1.266 0.798  1.355 0.709  1.444 0.620
1c#app#app14#app1487/e  -0.048 -0.505  0.050 -0.407  0.149 -0.308  0.247 -0.210  0.346 -0.111  0.444 -0.013  0.543 0.086  0.575 0.212  0.575 0.351  0.575 0.490  0.575 0.630  0.575 0.769  0.575 0.908  0.575 1.048  0.575 1.187  0.575 1.326  0.475 1.366  0.336 1.366  0.263 1.299  0.263 1.160  0.233 1.039  0.109 0.977  -0.016 0.914  -0.140 0.852  -0.265 0.790  -0.360 0.709  -0.360 0.570  -0.360 0.431  -0.459 0.332  -0.557 0.233  -0.656 0.135  -0.672 0.002  -0.672 -0.137  -0.672 -0.276  -0.672 -0.416  -0.672 -0.555  -0.672 -0.694  -0.656 -0.817  -0.516 -0.817  -0.377 -0.817  -0.360 -0.940  -0.360 -1.079  -0.297 -1.192  -0.199 -1.291  -0.100 -1.390  0.018 -1.441  0.157 -1.441  0.297 -1.441  0.436 -1.441  0.575 -1.441
1c#app#app14#app1487/l  0.203 1.673  0.203 1.602  0.203 1.531  0.203 1.460  0.203 1.389  0.203 1.318  0.203 1.247  0.203 1.175  0.203 1.104  0.186 1.040  0.136 0.990  0.085 0.940  0.049 0.883  0.049 0.812  0.049 0.741  0.049 0.670  0.049 0.599  0.049 0.528  0.049 0.457  0.049 0.385  0.049 0.314  0.029 0.248  -0.003 0.184  -0.034 0.121  -0.066 0.057  -0.098 -0.007  -0.105 -0.076  -0.105 -0.147  -0.105 -0.218  -0.105 -0.290  -0.105 -0.361  -0.105 -0.432  -0.105 -0.503  -0.105 -0.574  -0.105 -0.645  -0.105 -0.716  -0.105 -0.788  -0.105 -0.859  -0.105 -0.930  -0.105 -1.001  -0.105 -1.072  -0.105 -1.143  -0.105 -1.214  -0.105 -1.286  -0.105 -1.357  -0.105 -1.428  -0.105 -1.499  -0.105 -1.570  -0.105 -1.641  -0.105 -1.712
1c#app#app14#app1487/e  -0.200 -0.209  -0.057 -0.209  0.073 -0.176  0.175 -0.075  0.276 0.027  0.378 0.128  0.479 0.230  0.605 0.272  0.749 0.272  0.762 0.402  0.762 0.546  0.762 0.689  0.842 0.753  0.985 0.753  1.002 0.879  0.973 0.993  0.829 0.993  0.686 0.993  0.542 0.993  0.399 0.993  0.255 0.993  0.112 0.993  0.040 0.921  0.040 0.777  -0.078 0.753  -0.200 0.731  -0.200 0.587  -0.269 0.512  -0.412 0.512  -0.522 0.431  -0.623 0.329  -0.681 0.210  -0.681 0.066  -0.681 -0.077  -0.681 -0.221  -0.681 -0.364  -0.681 -0.508  -0.681 -0.651  -0.681 -0.795  -0.673 -0.931  -0.530 -0.931  -0.440 -0.985  -0.440 -1.128  -0.440 -1.272  -0.437 -1.412  -0.293 -1.412  -0.200 -1.462  -0.200 -1.605  -0.103 -1.652  0.040 -1.652
1c#app#app14#app1487/a  0.436 1.092  0.436 1.265  0.396 1.397  0.223 1.397  0.074 1.341  -0.048 1.219  -0.170 1.097  -0.292 0.975  -0.414 0.852  -0.536 0.730  -0.658 0.608  -0.780 0.486  -0.902 0.364  -1.024 0.242  -1.089 0.096  -1.089 -0.076  -1.089 -0.249  -1.089 -0.421  -1.089 -0.594  -1.069 -0.758  -0.947 -0.880  -0.825 -1.002  -0.669 -1.043  -0.496 -1.043  -0.369 -0.933  -0.247 -0.811  -0.125 -0.689  -0.003 -0.566  0.119 -0.444  0.287 -0.433  0.436 -0.409  0.436 -0.237  0.436 -0.064  0.436 0.109  0.509 0.251  0.631 0.373  0.723 0.482  0.551 0.482  0.436 0.425  0.436 0.252  0.505 0.108  0.627 -0.014  0.741 -0.139  0.741 -0.312  0.741 -0.485  0.741 -0.657  0.833 -0.738  1.006 -0.738  1.046 -0.870  1.046 -1.043
1c#app#app14#app1487/n  -1.354 0.944  -1.265 0.855  -1.176 0.766  -1.087 0.677  -0.997 0.587  -0.996 0.462  -0.996 0.336  -0.996 0.209  -0.996 0.083  -0.996 -0.043  -0.996 -0.169  -0.996 -0.296  -0.996 -0.422  -0.938 -0.491  -0.812 -0.491  -0.686 -0.491  -0.582 -0.436  -0.493 -0.347  -0.404 -0.257  -0.314 -0.168  -0.278 -0.057  -0.278 0.069  -0.278 0.196  -0.211 0.294  -0.122 0.383  -0.033 0.473  0.057 0.562  0.173 0.586  0.299 0.586  0.426 0.586  0.552 0.586  0.678 0.586  0.798 0.579  0.798 0.453  0.798 0.327  0.798 0.201  0.798 0.074  0.798 -0.052  0.798 -0.178  0.798 -0.304  0.798 -0.431  0.864 -0.491  0.990 -0.491  1.117 -0.491  1.157 -0.577  1.157 -0.703  1.157 -0.829  1.157 -0.956  1.157 -1.082  1.157 -1.208
1c#app#app14#app1487/e  -0.825 -0.202  -0.699 -0.328  -0.573 -0.454  -0.445 -0.574  -0.266 -0.574  -0.088 -0.574  0.040 -0.452  0.166 -0.326  0.292 -0.202  0.470 -0.202  0.649 -0.202  0.662 -0.037  0.662 0.141  0.768 0.276  0.893 0.402  1.019 0.528  1.033 0.700  1.033 0.878  0.932 1.014  0.806 1.140  0.680 1.266  0.510 1.285  0.332 1.285  0.290 1.149  0.290 0.970  0.169 0.913  -0.009 0.913  -0.187 0.913  -0.365 0.913  -0.453 0.823  -0.453 0.645  -0.506 0.489  -0.632 0.363  -0.758 0.237  -0.825 0.086  -0.825 -0.092  -0.825 -0.270  -0.825 -0.448  -0.825 -0.626  -0.825 -0.805  -0.788 -0.945  -0.610 -0.945  -0.431 -0.945  -0.253 -0.945  -0.077 -0.950  0.049 -1.076  0.175 -1.202  0.305 -1.317  0.484 -1.317  0.662 -1.317
1c#app#app14#app1487/d  0.068 -0.731  -0.081 -0.731  -0.191 -0.826  -0.296 -0.932  -0.402 -1.037  -0.422 -1.178  -0.422 -1.327  -0.356 -1.449  -0.248 -1.547  -0.099 -1.547  0.008 -1.444  0.113 -1.338  0.219 -1.233  0.231 -1.089  0.231 -0.940  0.231 -0.791  0.231 -0.641  0.231 -0.492  0.231 -0.343  0.231 -0.194  0.231 -0.045  0.231 0.104  0.231 0.253  0.231 0.402  0.187 0.544  0.140 0.686  0.092 0.827  0.036 0.965  -0.031 1.098  -0.095 1.232  -0.095 1.381  -0.095 1.530  -0.184 1.643  -0.259 1.674  -0.245 1.528  -0.179 1.394  -0.112 1.261  -0.095 1.116  -0.095 0.967  -0.095 0.817  -0.095 0.668  -0.071 0.525  -0.004 0.392  0.063 0.258  0.068 0.110  0.068 -0.039  0.068 -0.188  0.136 -0.309  0.231 -0.419  0.231 -0.568
1c#app#app14#app1487/o  -0.663 0.334  -0.663 0.502  -0.569 0.576  -0.421 0.597  -0.421 0.765  -0.339 0.900  -0.220 1.019  -0.179 1.171  -0.143 1.303  0.026 1.303  0.194 1.303  0.306 1.246  0.306 1.078  0.458 1.061  0.548 0.983  0.548 0.815  0.548 0.646  0.618 0.506  0.737 0.387  0.791 0.241  0.791 0.072  0.791 -0.096  0.791 -0.265  0.763 -0.421  0.643 -0.541  0.548 -0.670  0.548 -0.838  0.548 -1.007  0.494 -1.120  0.325 -1.120  0.306 -1.270  0.230 -1.363  0.062 -1.363  -0.107 -1.363  -0.247 -1.294  -0.366 -1.175  -0.421 -1.029  -0.438 -0.878  -0.606 -0.878  -0.663 -0.766  -0.663 -0.598  -0.663 -0.429  -0.663 -0.261  -0.663 -0.092  -0.663 0.076  -0.663 0.245  -0.584 0.334  -0.417 0.338  -0.298 0.457  -0.179 0.576
1c#app#app14#app1487/u  -0.373 1.516  -0.373 1.405  -0.373 1.295  -0.373 1.185  -0.450 1.107  -0.528 1.029  -0.606 0.951  -0.684 0.873  -0.706 0.772  -0.706 0.662  -0.706 0.551  -0.706 0.441  -0.706 0.331  -0.706 0.221  -0.706 0.111  -0.706 0.000  -0.706 -0.110  -0.706 -0.220  -0.706 -0.330  -0.706 -0.440  -0.706 -0.550  -0.706 -0.661  -0.706 -0.771  -0.636 -0.811  -0.526 -0.811  -0.416 -0.811  -0.306 -0.811  -0.195 -0.811  -0.085 -0.811  0.025 -0.811  0.135 -0.811  0.245 -0.811  0.337 -0.766  0.415 -0.688  0.493 -0.610  0.570 -0.532  0.648 -0.454  0.726 -0.376  0.804 -0.298  0.882 -0.220  0.956 -0.141  0.956 -0.031  0.956 0.079  0.960 0.186  1.070 0.186  1.180 0.186  1.288 0.188  1.288 0.298  1.288 0.408  1.288 0.518
1c#app#app14#app1487/t  1.277 -0.119  1.128 -0.119  0.978 -0.119  0.829 -0.119  0.679 -0.119  0.530 -0.119  0.380 -0.119  0.230 -0.119  0.081 -0.119  -0.069 -0.119  -0.218 -0.119  -0.368 -0.119  -0.401 -0.032  -0.360 0.112  -0.319 0.256  -0.278 0.399  -0.237 0.543  -0.196 0.687  -0.155 0.831  -0.114 0.974  -0.073 1.118  -0.032 1.262  0.009 1.406  0.051 1.549  0.060 1.470  0.046 1.327  -0.059 1.221  -0.165 1.115  -0.183 0.973  -0.183 0.824  -0.183 0.674  -0.183 0.525  -0.183 0.375  -0.183 0.225  -0.183 0.076  -0.183 -0.074  -0.183 -0.223  -0.183 -0.373  -0.183 -0.522  -0.183 -0.672  -0.183 -0.821  -0.183 -0.971  -0.183 -1.120  -0.183 -1.270  -0.183 -1.419  -0.183 -1.569  -0.085 -1.678  0.021 -1.783  0.060 -1.917  0.060 -2.066
