2#app#app19#app1937/@  -0.157 -0.363  -0.209 -0.241  -0.280 -0.345  -0.280 -0.519  -0.219 -0.668  -0.070 -0.730  0.104 -0.730  0.278 -0.730  0.452 -0.730  0.575 -0.608  0.698 -0.484  0.822 -0.361  0.942 -0.237  0.942 -0.063  0.942 0.111  0.942 0.285  0.942 0.459  0.942 0.634  0.942 0.808  0.819 0.860  0.765 0.980  0.697 1.086  0.575 1.138  0.487 1.224  0.313 1.224  0.139 1.224  -0.035 1.224  -0.158 1.102  -0.280 1.049  -0.354 0.906  -0.477 0.782  -0.600 0.659  -0.646 0.504  -0.760 0.377  -0.883 0.254  -0.920 0.095  -1.012 -0.040  -1.012 -0.214  -1.012 -0.388  -1.012 -0.563  -0.955 -0.723  -0.869 -0.873  -0.737 -0.974  -0.563 -0.974  -0.389 -0.974  -0.214 -0.974  -0.053 -0.922  0.105 -0.852  0.279 -0.852  0.453 -0.852
2#app#app19#app1937/_  -1.369 -0.388  -1.369 -0.313  -1.369 -0.238  -1.369 -0.163  -1.369 -0.088  -1.369 -0.013  -1.369 0.062  -1.321 0.089  -1.246 0.089  -1.171 0.089  -1.096 0.089  -1.021 0.089  -0.945 0.089  -0.870 0.089  -0.795 0.089  -0.720 0.089  -0.645 0.089  -0.570 0.089  -0.495 0.089  -0.420 0.089  -0.345 0.089  -0.270 0.089  -0.195 0.089  -0.120 0.089  -0.045 0.089  0.030 0.089  0.105 0.089  0.180 0.089  0.255 0.089  0.331 0.089  0.406 0.089  0.481 0.089  0.556 0.089  0.631 0.089  0.706 0.089  0.781 0.089  0.856 0.089  0.931 0.089  1.006 0.089  1.062 0.043  1.115 -0.010  1.169 -0.063  1.222 -0.116  1.283 -0.150  1.358 -0.150  1.433 -0.150  1.494 -0.163  1.494 -0.238  1.494 -0.313  1.494 -0.388
2#app#app19#app1937/_  -1.402 0.147  -1.402 0.225  -1.402 0.304  -1.402 0.382  -1.331 0.389  -1.253 0.389  -1.175 0.389  -1.160 0.326  -1.160 0.248  -1.160 0.170  -1.104 0.147  -1.026 0.147  -0.948 0.147  -0.870 0.147  -0.791 0.147  -0.713 0.147  -0.635 0.147  -0.557 0.147  -0.479 0.147  -0.401 0.147  -0.322 0.147  -0.244 0.147  -0.174 0.129  -0.118 0.074  -0.063 0.018  -0.008 -0.037  0.047 -0.092  0.125 -0.095  0.203 -0.095  0.281 -0.095  0.359 -0.095  0.437 -0.095  0.515 -0.095  0.594 -0.095  0.672 -0.095  0.750 -0.095  0.828 -0.095  0.906 -0.095  0.984 -0.095  1.049 -0.126  1.105 -0.181  1.160 -0.237  1.215 -0.292  1.275 -0.337  1.353 -0.337  1.431 -0.337  1.502 -0.344  1.502 -0.422  1.502 -0.500  1.502 -0.579
2#app#app19#app1937/w  -1.397 0.806  -1.397 0.932  -1.397 0.795  -1.385 0.663  -1.289 0.567  -1.266 0.439  -1.266 0.303  -1.266 0.166  -1.181 0.065  -1.084 -0.032  -0.987 -0.129  -0.891 -0.225  -0.762 -0.244  -0.625 -0.244  -0.610 -0.122  -0.483 -0.112  -0.347 -0.111  -0.343 0.024  -0.246 0.120  -0.216 0.245  -0.216 0.381  -0.216 0.307  -0.216 0.170  -0.134 0.068  -0.085 -0.049  -0.033 -0.164  0.063 -0.261  0.160 -0.357  0.257 -0.454  0.353 -0.551  0.454 -0.637  0.585 -0.651  0.682 -0.748  0.810 -0.768  0.946 -0.768  1.083 -0.768  1.184 -0.681  1.227 -0.562  1.227 -0.426  1.227 -0.289  1.227 -0.152  1.159 -0.044  1.096 0.067  1.058 0.188  0.962 0.284  0.865 0.381  0.768 0.478  0.702 0.587  0.668 0.709  0.571 0.806
2#app#app19#app1937/i  -0.107 1.323  -0.019 1.323  0.069 1.323  0.157 1.323  0.147 1.323  0.059 1.323  -0.030 1.323  -0.107 1.312  -0.107 1.224  -0.107 1.136  -0.107 1.048  -0.149 0.977  -0.212 0.915  -0.274 0.853  -0.336 0.790  -0.399 0.728  -0.410 0.645  -0.410 0.556  -0.410 0.468  -0.410 0.380  -0.410 0.292  -0.410 0.204  -0.410 0.116  -0.352 0.052  -0.290 -0.011  -0.228 -0.073  -0.165 -0.135  -0.107 -0.199  -0.107 -0.288  -0.107 -0.376  -0.107 -0.464  -0.107 -0.552  -0.107 -0.640  -0.107 -0.728  -0.091 -0.800  -0.003 -0.800  0.086 -0.800  0.174 -0.800  0.243 -0.846  0.305 -0.909  0.367 -0.971  0.430 -1.033  0.492 -1.096  0.499 -1.181  0.499 -1.269  0.499 -1.357  0.538 -1.406  0.626 -1.406  0.714 -1.406  0.803 -1.406
2#app#app19#app1937/l  0.081 1.564  0.157 1.564  0.210 1.554  0.156 1.500  0.102 1.447  0.081 1.380  0.081 1.304  0.081 1.228  0.081 1.152  0.081 1.076  0.081 1.000  0.081 0.924  0.064 0.855  0.010 0.802  -0.044 0.748  -0.057 0.678  -0.057 0.602  -0.057 0.526  -0.057 0.450  -0.057 0.374  -0.057 0.298  -0.057 0.222  -0.082 0.156  -0.135 0.103  -0.189 0.049  -0.196 -0.024  -0.196 -0.100  -0.196 -0.176  -0.196 -0.252  -0.196 -0.328  -0.196 -0.404  -0.196 -0.480  -0.164 -0.542  -0.110 -0.596  -0.057 -0.650  -0.057 -0.726  -0.057 -0.802  -0.057 -0.878  -0.057 -0.954  -0.057 -1.030  -0.028 -1.093  0.026 -1.147  0.079 -1.201  0.081 -1.276  0.089 -1.349  0.143 -1.402  0.196 -1.456  0.250 -1.510  0.304 -1.563  0.357 -1.617
2#app#app19#app1937/l  0.166 1.156  0.221 1.211  0.276 1.266  0.290 1.337  0.278 1.403  0.201 1.403  0.166 1.360  0.166 1.283  0.114 1.228  0.060 1.173  0.043 1.103  0.043 1.025  0.043 0.948  0.015 0.882  -0.039 0.828  -0.080 0.767  -0.080 0.690  -0.080 0.613  -0.080 0.536  -0.080 0.458  -0.080 0.381  -0.080 0.304  -0.080 0.227  -0.080 0.149  -0.080 0.072  -0.097 -0.002  -0.121 -0.076  -0.145 -0.149  -0.170 -0.222  -0.194 -0.295  -0.203 -0.371  -0.203 -0.448  -0.203 -0.526  -0.188 -0.599  -0.154 -0.668  -0.119 -0.737  -0.085 -0.807  -0.080 -0.883  -0.080 -0.960  -0.080 -1.037  -0.080 -1.114  -0.076 -1.190  -0.021 -1.244  0.034 -1.299  0.072 -1.366  0.106 -1.435  0.141 -1.504  0.180 -1.569  0.235 -1.624  0.290 -1.678
2#app#app19#app1937/_  -1.690 0.320  -1.615 0.320  -1.541 0.320  -1.467 0.320  -1.392 0.320  -1.318 0.320  -1.244 0.320  -1.169 0.320  -1.095 0.320  -1.020 0.320  -0.946 0.320  -0.872 0.320  -0.797 0.320  -0.723 0.320  -0.648 0.320  -0.574 0.320  -0.500 0.320  -0.425 0.320  -0.351 0.320  -0.281 0.308  -0.229 0.256  -0.176 0.203  -0.124 0.150  -0.071 0.098  -0.001 0.087  0.073 0.087  0.148 0.087  0.208 0.052  0.260 -0.001  0.313 -0.053  0.365 -0.106  0.423 -0.146  0.498 -0.146  0.572 -0.146  0.644 -0.152  0.696 -0.204  0.749 -0.257  0.802 -0.309  0.854 -0.362  0.922 -0.378  0.996 -0.378  1.071 -0.378  1.133 -0.408  1.185 -0.460  1.238 -0.513  1.291 -0.565  1.346 -0.611  1.420 -0.611  1.495 -0.611  1.569 -0.611
2#app#app19#app1937/_  -1.475 -0.163  -1.475 -0.088  -1.475 -0.014  -1.475 0.060  -1.475 0.135  -1.412 0.145  -1.337 0.145  -1.263 0.145  -1.189 0.145  -1.114 0.145  -1.040 0.145  -0.966 0.145  -0.891 0.145  -0.817 0.145  -0.743 0.145  -0.668 0.145  -0.594 0.145  -0.520 0.145  -0.445 0.145  -0.371 0.145  -0.297 0.145  -0.222 0.145  -0.148 0.145  -0.074 0.145  0.000 0.145  0.075 0.145  0.149 0.145  0.223 0.145  0.298 0.145  0.372 0.145  0.425 0.093  0.477 0.040  0.530 -0.013  0.582 -0.065  0.635 -0.118  0.690 -0.163  0.765 -0.163  0.839 -0.163  0.913 -0.163  0.988 -0.163  1.062 -0.163  1.136 -0.163  1.211 -0.163  1.285 -0.163  1.341 -0.208  1.393 -0.260  1.446 -0.313  1.498 -0.365  1.551 -0.418  1.603 -0.471
2#app#app19#app1937/d  0.282 -0.557  0.282 -0.347  0.282 -0.136  0.156 0.022  0.007 0.171  -0.187 0.213  -0.342 0.347  -0.552 0.347  -0.763 0.347  -0.924 0.298  -1.033 0.197  -1.226 0.178  -1.281 -0.010  -1.377 -0.181  -1.377 -0.391  -1.345 -0.589  -1.226 -0.750  -1.124 -0.859  -0.961 -0.973  -0.765 -1.010  -0.554 -1.010  -0.344 -1.010  -0.188 -0.877  -0.039 -0.728  0.144 -0.627  0.338 -0.557  0.515 -0.476  0.584 -0.294  0.706 -0.134  0.735 0.065  0.735 0.276  0.735 0.487  0.735 0.697  0.735 0.908  0.735 1.119  0.735 1.329  0.638 1.500  0.489 1.459  0.433 1.272  0.433 1.061  0.433 0.850  0.433 0.640  0.433 0.429  0.433 0.218  0.518 0.028  0.584 -0.167  0.584 -0.378  0.584 -0.589  0.584 -0.799  0.584 -1.010
2#app#app19#app1937/e  -1.183 0.079  -1.357 0.079  -1.273 0.079  -1.099 0.079  -0.925 0.079  -0.751 0.079  -0.577 0.079  -0.403 0.079  -0.229 0.079  -0.055 0.079  0.119 0.079  0.293 0.079  0.467 0.079  0.641 0.079  0.815 0.079  0.989 0.079  1.163 0.079  1.305 0.155  1.428 0.278  1.447 0.444  1.346 0.517  1.188 0.557  1.065 0.680  0.914 0.736  0.740 0.736  0.566 0.736  0.392 0.736  0.218 0.736  0.044 0.736  -0.130 0.736  -0.304 0.736  -0.427 0.615  -0.561 0.517  -0.735 0.517  -0.745 0.353  -0.745 0.179  -0.745 0.005  -0.745 -0.169  -0.745 -0.343  -0.745 -0.517  -0.665 -0.658  -0.542 -0.781  -0.419 -0.904  -0.292 -1.017  -0.118 -1.017  0.014 -1.118  0.137 -1.241  0.260 -1.364  0.396 -1.456  0.570 -1.456
2#app#app19#app1937/s  0.740 0.418  0.740 0.545  0.740 0.672  0.686 0.765  0.573 0.822  0.459 0.879  0.337 0.898  0.210 0.898  0.088 0.909  -0.002 0.999  -0.104 1.059  -0.231 1.059  -0.357 1.059  -0.484 1.059  -0.611 1.059  -0.738 1.059  -0.862 1.056  -0.862 0.929  -0.862 0.802  -0.818 0.694  -0.728 0.604  -0.638 0.515  -0.549 0.425  -0.459 0.335  -0.369 0.246  -0.280 0.156  -0.190 0.066  -0.100 -0.023  -0.011 -0.113  0.079 -0.203  0.099 -0.321  0.145 -0.429  0.235 -0.519  0.325 -0.608  0.414 -0.698  0.420 -0.823  0.505 -0.864  0.580 -0.916  0.580 -1.043  0.580 -1.170  0.467 -1.184  0.420 -1.263  0.374 -1.344  0.247 -1.344  0.120 -1.344  0.024 -1.269  -0.067 -1.184  -0.194 -1.184  -0.292 -1.113  -0.381 -1.024
