3#apb#apb14#app1427/3  -1.387 0.725  -1.497 0.799  -1.441 0.890  -1.298 0.911  -1.154 0.921  -1.010 0.928  -0.866 0.932  -0.722 0.932  -0.577 0.932  -0.434 0.917  -0.292 0.893  -0.150 0.868  -0.008 0.842  0.134 0.815  0.276 0.788  0.398 0.713  0.517 0.632  0.597 0.511  0.565 0.373  0.475 0.266  0.369 0.168  0.242 0.100  0.112 0.039  -0.017 -0.026  -0.095 -0.081  0.045 -0.116  0.186 -0.147  0.327 -0.176  0.468 -0.208  0.609 -0.239  0.745 -0.283  0.872 -0.351  0.999 -0.420  1.107 -0.507  1.123 -0.637  1.036 -0.742  0.906 -0.803  0.768 -0.842  0.626 -0.872  0.485 -0.903  0.342 -0.909  0.197 -0.909  0.053 -0.909  -0.090 -0.889  -0.232 -0.867  -0.375 -0.847  -0.519 -0.835  -0.663 -0.822  -0.804 -0.793  -0.945 -0.762
3#apb#apb14#app1427/n  -1.191 0.561  -1.108 0.464  -1.026 0.365  -0.969 0.251  -0.912 0.136  -0.867 0.018  -0.858 -0.110  -0.849 -0.238  -0.840 -0.365  -0.830 -0.493  -0.820 -0.621  -0.791 -0.745  -0.751 -0.866  -0.710 -0.988  -0.687 -0.922  -0.658 -0.797  -0.630 -0.672  -0.610 -0.546  -0.591 -0.419  -0.564 -0.295  -0.513 -0.177  -0.461 -0.060  -0.410 0.057  -0.347 0.169  -0.276 0.275  -0.205 0.382  -0.134 0.488  -0.061 0.593  0.034 0.679  0.129 0.765  0.231 0.840  0.351 0.885  0.474 0.909  0.602 0.909  0.700 0.836  0.791 0.746  0.874 0.651  0.915 0.529  0.955 0.408  0.996 0.286  1.034 0.164  1.073 0.042  1.111 -0.081  1.147 -0.203  1.178 -0.328  1.209 -0.452  1.216 -0.579  1.216 -0.707  1.216 -0.835  1.216 -0.910
3#apb#apb14#app1427/g  -0.128 1.291  -0.242 1.395  -0.366 1.370  -0.499 1.288  -0.620 1.191  -0.743 1.094  -0.866 0.998  -0.933 0.863  -0.999 0.724  -1.015 0.583  -0.905 0.484  -0.751 0.463  -0.596 0.464  -0.440 0.476  -0.285 0.472  -0.129 0.463  0.023 0.441  0.168 0.383  0.313 0.325  0.429 0.223  0.543 0.117  0.654 0.007  0.743 -0.120  0.833 -0.248  0.914 -0.379  0.947 -0.531  0.979 -0.684  0.992 -0.837  0.968 -0.991  0.915 -1.133  0.815 -1.248  0.673 -1.311  0.520 -1.316  0.365 -1.302  0.219 -1.249  0.082 -1.179  -0.034 -1.075  -0.142 -0.964  -0.240 -0.842  -0.306 -0.705  -0.344 -0.554  -0.374 -0.402  -0.354 -0.248  -0.335 -0.093  -0.273 0.048  -0.200 0.186  -0.128 0.324  -0.042 0.453  0.050 0.579  0.143 0.705
3#apb#apb14#app1427/A  -1.152 0.720  -1.057 0.588  -1.009 0.428  -0.961 0.267  -0.922 0.104  -0.885 -0.059  -0.848 -0.223  -0.813 -0.387  -0.779 -0.550  -0.752 -0.716  -0.735 -0.882  -0.767 -0.936  -0.837 -0.788  -0.848 -0.621  -0.845 -0.454  -0.825 -0.287  -0.791 -0.125  -0.736 0.034  -0.681 0.192  -0.622 0.349  -0.545 0.497  -0.467 0.646  -0.388 0.793  -0.287 0.927  -0.168 1.034  -0.008 1.083  0.138 1.032  0.277 0.939  0.391 0.821  0.486 0.682  0.580 0.544  0.667 0.401  0.745 0.253  0.822 0.104  0.897 -0.045  0.967 -0.198  1.037 -0.350  1.108 -0.502  1.183 -0.652  1.258 -0.801  1.325 -0.923  1.235 -0.782  1.139 -0.646  1.031 -0.517  0.914 -0.398  0.791 -0.284  0.660 -0.182  0.515 -0.099  0.361 -0.035  0.199 0.005
3#apb#apb14#app1427/p  -0.862 0.168  -0.743 0.049  -0.624 -0.070  -0.521 -0.204  -0.423 -0.340  -0.324 -0.477  -0.252 -0.629  -0.182 -0.782  -0.112 -0.936  -0.028 -1.081  0.060 -1.225  0.091 -1.388  0.120 -1.553  0.006 -1.532  -0.101 -1.403  -0.197 -1.264  -0.284 -1.120  -0.359 -0.970  -0.422 -0.814  -0.466 -0.651  -0.510 -0.489  -0.534 -0.324  -0.534 -0.155  -0.534 0.013  -0.534 0.182  -0.497 0.345  -0.452 0.507  -0.406 0.670  -0.344 0.825  -0.262 0.972  -0.180 1.120  -0.043 1.207  0.110 1.279  0.272 1.294  0.439 1.277  0.607 1.259  0.759 1.187  0.912 1.116  1.023 0.992  1.100 0.852  1.076 0.685  1.012 0.540  0.885 0.430  0.757 0.320  0.616 0.229  0.472 0.142  0.327 0.055  0.179 -0.025  0.030 -0.103  -0.119 -0.182
3#apb#apb14#app1427/p  -0.439 0.084  -0.360 -0.053  -0.286 -0.191  -0.279 -0.350  -0.271 -0.508  -0.260 -0.666  -0.243 -0.823  -0.227 -0.981  -0.192 -1.135  -0.152 -1.288  -0.135 -1.444  -0.148 -1.590  -0.282 -1.530  -0.370 -1.404  -0.416 -1.252  -0.454 -1.099  -0.483 -0.943  -0.508 -0.787  -0.522 -0.629  -0.536 -0.471  -0.545 -0.314  -0.518 -0.157  -0.492 -0.001  -0.465 0.155  -0.436 0.310  -0.384 0.460  -0.333 0.610  -0.281 0.759  -0.214 0.900  -0.109 1.019  -0.004 1.138  0.105 1.251  0.238 1.337  0.372 1.422  0.520 1.387  0.670 1.337  0.789 1.239  0.895 1.121  0.925 0.969  0.943 0.812  0.920 0.660  0.860 0.514  0.800 0.367  0.703 0.242  0.607 0.116  0.481 0.023  0.345 -0.058  0.205 -0.131  0.057 -0.186  -0.092 -0.242
3#apb#apb14#app1427/l  -0.347 1.470  -0.291 1.513  -0.238 1.541  -0.206 1.478  -0.175 1.414  -0.144 1.351  -0.114 1.287  -0.084 1.223  -0.055 1.159  -0.025 1.095  0.005 1.031  0.024 0.964  0.030 0.894  0.037 0.824  0.043 0.753  0.050 0.683  0.056 0.613  0.062 0.542  0.069 0.472  0.074 0.402  0.074 0.331  0.074 0.261  0.074 0.190  0.074 0.120  0.074 0.049  0.074 -0.022  0.074 -0.092  0.074 -0.163  0.069 -0.233  0.061 -0.303  0.054 -0.373  0.047 -0.444  0.039 -0.514  0.032 -0.584  0.024 -0.654  0.021 -0.725  0.021 -0.795  0.021 -0.866  0.021 -0.936  0.021 -1.007  0.021 -1.077  0.021 -1.148  0.021 -1.218  0.021 -1.289  0.021 -1.360  0.021 -1.430  0.021 -1.501  0.021 -1.571  0.021 -1.642  0.021 -1.712
3#apb#apb14#app1427/e  -0.448 0.173  -0.503 0.314  -0.558 0.455  -0.596 0.600  -0.603 0.749  -0.539 0.886  -0.461 1.008  -0.322 1.068  -0.181 1.115  -0.030 1.107  0.121 1.099  0.271 1.081  0.421 1.061  0.525 0.963  0.584 0.829  0.563 0.689  0.477 0.565  0.357 0.477  0.227 0.400  0.094 0.328  -0.052 0.289  -0.198 0.249  -0.344 0.210  -0.491 0.176  -0.638 0.142  -0.786 0.108  -0.801 0.162  -0.713 0.285  -0.640 0.333  -0.609 0.185  -0.578 0.037  -0.548 -0.111  -0.518 -0.260  -0.472 -0.403  -0.418 -0.544  -0.356 -0.682  -0.293 -0.820  -0.168 -0.901  -0.037 -0.976  0.102 -1.035  0.242 -1.093  0.391 -1.120  0.540 -1.146  0.690 -1.158  0.841 -1.166  0.992 -1.170  1.143 -1.161  1.294 -1.152  1.445 -1.152  1.580 -1.092
3#apb#apb14#app1427/B  -1.051 0.516  -0.929 0.404  -0.839 0.253  -0.786 0.086  -0.741 -0.084  -0.703 -0.256  -0.657 -0.425  -0.607 -0.594  -0.583 -0.713  -0.701 -0.583  -0.819 -0.452  -0.937 -0.322  -1.054 -0.191  -1.172 -0.061  -1.290 0.069  -1.260 0.211  -1.151 0.348  -1.022 0.467  -0.877 0.564  -0.722 0.646  -0.557 0.705  -0.387 0.749  -0.217 0.792  -0.041 0.792  0.135 0.792  0.308 0.766  0.461 0.700  0.548 0.560  0.478 0.399  0.378 0.255  0.244 0.146  0.094 0.056  0.004 -0.028  0.178 -0.047  0.353 -0.042  0.528 -0.026  0.704 -0.015  0.879 -0.007  1.051 -0.034  1.220 -0.082  1.377 -0.158  1.515 -0.264  1.564 -0.420  1.478 -0.560  1.343 -0.670  1.190 -0.758  1.024 -0.814  0.855 -0.862  0.683 -0.898  0.508 -0.913
3#apb#apb14#app1427/a  0.142 1.006  0.119 1.119  -0.017 1.119  -0.136 1.059  -0.249 0.984  -0.363 0.908  -0.459 0.812  -0.551 0.712  -0.643 0.611  -0.735 0.511  -0.820 0.405  -0.889 0.287  -0.958 0.169  -1.026 0.052  -1.074 -0.074  -1.099 -0.208  -1.123 -0.342  -1.119 -0.473  -1.068 -0.600  -1.000 -0.718  -0.911 -0.801  -0.774 -0.801  -0.654 -0.741  -0.534 -0.675  -0.417 -0.607  -0.320 -0.511  -0.224 -0.414  -0.131 -0.315  -0.044 -0.209  0.042 -0.104  0.128 0.002  0.216 0.106  0.307 0.208  0.398 0.310  0.490 0.409  0.607 0.479  0.733 0.517  0.825 0.440  0.891 0.321  0.957 0.202  1.001 0.073  1.038 -0.058  1.059 -0.192  1.076 -0.327  1.100 -0.461  1.130 -0.595  1.160 -0.728  1.221 -0.849  1.309 -0.952  1.385 -1.065
3#apb#apb14#app1427/n  -1.332 0.626  -1.286 0.536  -1.241 0.445  -1.196 0.355  -1.159 0.261  -1.137 0.163  -1.114 0.064  -1.091 -0.034  -1.059 -0.130  -1.024 -0.225  -0.990 -0.320  -0.945 -0.411  -0.895 -0.498  -0.835 -0.578  -0.774 -0.605  -0.699 -0.538  -0.628 -0.466  -0.556 -0.395  -0.493 -0.317  -0.441 -0.230  -0.389 -0.143  -0.336 -0.058  -0.278 0.026  -0.220 0.109  -0.163 0.192  -0.105 0.274  -0.025 0.336  0.055 0.398  0.135 0.461  0.229 0.496  0.324 0.531  0.419 0.565  0.514 0.544  0.609 0.509  0.704 0.474  0.786 0.418  0.861 0.350  0.937 0.283  1.011 0.214  1.059 0.125  1.107 0.036  1.156 -0.052  1.198 -0.144  1.237 -0.238  1.276 -0.331  1.313 -0.425  1.340 -0.522  1.362 -0.620  1.362 -0.721  1.417 -0.789
3#apb#apb14#app1427/k  -1.177 1.089  -1.085 0.903  -1.017 0.709  -0.967 0.507  -0.944 0.303  -0.944 0.096  -0.944 -0.112  -0.927 -0.318  -0.901 -0.524  -0.873 -0.729  -0.844 -0.934  -0.801 -1.137  -0.807 -1.229  -0.691 -1.057  -0.575 -0.885  -0.460 -0.713  -0.344 -0.541  -0.228 -0.369  -0.112 -0.197  0.004 -0.025  0.119 0.147  0.235 0.319  0.351 0.491  0.467 0.663  0.583 0.834  0.698 1.006  0.814 1.178  0.868 1.236  0.789 1.044  0.679 0.870  0.557 0.702  0.427 0.541  0.285 0.390  0.143 0.239  -0.013 0.103  -0.177 -0.023  -0.346 -0.143  -0.516 -0.257  -0.389 -0.248  -0.182 -0.232  0.023 -0.206  0.229 -0.180  0.435 -0.205  0.640 -0.229  0.838 -0.290  1.035 -0.356  1.226 -0.435  1.416 -0.518  1.604 -0.604  1.800 -0.671
3#apb#apb14#app1427/o  0.137 1.041  0.099 1.154  0.061 1.266  -0.023 1.350  -0.120 1.336  -0.223 1.277  -0.319 1.211  -0.382 1.110  -0.444 1.009  -0.506 0.908  -0.568 0.807  -0.623 0.702  -0.664 0.591  -0.706 0.480  -0.748 0.368  -0.789 0.257  -0.831 0.146  -0.854 0.030  -0.877 -0.087  -0.901 -0.203  -0.865 -0.313  -0.817 -0.421  -0.768 -0.530  -0.683 -0.607  -0.584 -0.673  -0.485 -0.738  -0.382 -0.795  -0.270 -0.836  -0.159 -0.877  -0.047 -0.917  0.069 -0.930  0.188 -0.930  0.306 -0.930  0.425 -0.930  0.534 -0.886  0.643 -0.838  0.751 -0.789  0.839 -0.711  0.923 -0.627  0.998 -0.538  1.033 -0.425  1.067 -0.311  1.101 -0.197  1.034 -0.105  0.957 -0.015  0.880 0.075  0.787 0.149  0.694 0.224  0.602 0.298  0.509 0.372
3#apb#apb14#app1427/f  -0.848 0.105  -0.649 0.096  -0.456 0.149  -0.272 0.230  -0.102 0.336  0.046 0.471  0.151 0.640  0.233 0.823  0.272 1.018  0.278 1.218  0.253 1.417  0.199 1.610  0.068 1.746  -0.092 1.630  -0.191 1.463  -0.230 1.266  -0.262 1.068  -0.288 0.869  -0.291 0.669  -0.273 0.469  -0.239 0.272  -0.189 0.078  -0.138 -0.117  -0.087 -0.311  -0.036 -0.505  0.018 -0.699  0.096 -0.883  0.182 -1.064  0.262 -1.249  0.121 -1.266  -0.052 -1.165  -0.226 -1.064  -0.399 -0.963  -0.573 -0.862  -0.747 -0.761  -0.920 -0.660  -0.911 -0.549  -0.711 -0.549  -0.512 -0.522  -0.312 -0.504  -0.112 -0.482  0.086 -0.449  0.286 -0.443  0.487 -0.440  0.681 -0.392  0.880 -0.372  1.080 -0.367  1.279 -0.338  1.480 -0.332  1.678 -0.337
3#apb#apb14#app1427/t  -0.568 1.117  -0.502 0.980  -0.484 0.804  -0.479 0.628  -0.479 0.451  -0.479 0.275  -0.479 0.098  -0.479 -0.078  -0.488 -0.254  -0.505 -0.430  -0.515 -0.606  -0.515 -0.783  -0.557 -0.953  -0.491 -0.937  -0.346 -0.835  -0.202 -0.734  -0.057 -0.632  0.087 -0.531  0.231 -0.429  0.376 -0.328  0.520 -0.226  0.665 -0.125  0.809 -0.023  0.953 0.078  1.098 0.180  1.242 0.281  1.387 0.383  1.531 0.485  1.675 0.586  1.552 0.549  1.387 0.487  1.221 0.426  1.056 0.365  0.890 0.304  0.720 0.256  0.548 0.218  0.376 0.179  0.204 0.140  0.033 0.094  -0.134 0.040  -0.302 -0.015  -0.470 -0.069  -0.640 -0.117  -0.815 -0.138  -0.990 -0.158  -1.166 -0.179  -1.341 -0.196  -1.517 -0.212  -1.693 -0.214  -1.869 -0.202
3#apb#apb14#app1427/h  -0.837 1.491  -0.778 1.373  -0.719 1.255  -0.660 1.137  -0.640 1.008  -0.627 0.877  -0.615 0.745  -0.604 0.614  -0.610 0.482  -0.615 0.350  -0.621 0.219  -0.626 0.087  -0.621 -0.045  -0.615 -0.177  -0.609 -0.308  -0.606 -0.440  -0.624 -0.571  -0.641 -0.701  -0.650 -0.833  -0.656 -0.962  -0.673 -0.919  -0.656 -0.789  -0.627 -0.661  -0.586 -0.537  -0.504 -0.434  -0.423 -0.330  -0.341 -0.226  -0.260 -0.122  -0.179 -0.018  -0.098 0.086  -0.016 0.189  0.091 0.266  0.198 0.342  0.306 0.419  0.437 0.428  0.569 0.438  0.692 0.409  0.808 0.347  0.924 0.284  0.994 0.174  1.058 0.059  1.123 -0.056  1.179 -0.175  1.231 -0.296  1.283 -0.417  1.284 -0.549  1.284 -0.681  1.284 -0.813  1.284 -0.945  1.308 -1.073
3#apb#apb14#app1427/e  -0.469 0.231  -0.489 0.397  -0.510 0.563  -0.473 0.717  -0.391 0.863  -0.309 1.008  -0.178 1.105  -0.033 1.189  0.124 1.241  0.287 1.278  0.448 1.261  0.610 1.218  0.749 1.143  0.842 1.006  0.842 0.839  0.797 0.681  0.730 0.528  0.659 0.378  0.521 0.286  0.382 0.193  0.239 0.106  0.090 0.031  -0.060 -0.043  -0.209 -0.118  -0.367 -0.172  -0.525 -0.225  -0.684 -0.278  -0.735 -0.198  -0.716 -0.032  -0.698 0.134  -0.680 0.300  -0.624 0.312  -0.570 0.161  -0.570 -0.006  -0.553 -0.171  -0.531 -0.337  -0.496 -0.500  -0.447 -0.659  -0.381 -0.811  -0.291 -0.952  -0.192 -1.086  -0.081 -1.211  0.060 -1.290  0.219 -1.343  0.383 -1.357  0.550 -1.357  0.717 -1.344  0.881 -1.318  1.037 -1.259  1.095 -1.105
3#apb#apb14#app1427/W  -1.137 1.028  -1.169 0.921  -1.169 0.809  -1.169 0.696  -1.169 0.584  -1.174 0.472  -1.179 0.359  -1.185 0.247  -1.179 0.135  -1.173 0.023  -1.157 -0.087  -1.118 -0.193  -1.056 -0.285  -0.982 -0.369  -0.875 -0.399  -0.765 -0.420  -0.653 -0.412  -0.542 -0.402  -0.444 -0.347  -0.346 -0.292  -0.256 -0.226  -0.177 -0.146  -0.097 -0.067  -0.026 0.020  0.043 0.109  0.109 0.199  0.169 0.295  0.222 0.239  0.258 0.132  0.298 0.027  0.337 -0.078  0.375 -0.184  0.415 -0.289  0.473 -0.385  0.546 -0.467  0.642 -0.523  0.751 -0.547  0.860 -0.522  0.962 -0.476  1.061 -0.423  1.135 -0.342  1.197 -0.249  1.252 -0.151  1.301 -0.050  1.312 0.062  1.324 0.174  1.324 0.285  1.300 0.395  1.276 0.504  1.252 0.614
3#apb#apb14#app1427/e  -0.254 -0.495  -0.366 -0.335  -0.469 -0.170  -0.536 0.007  -0.504 0.199  -0.459 0.388  -0.402 0.575  -0.287 0.727  -0.149 0.864  -0.001 0.986  0.180 1.059  0.361 1.129  0.549 1.181  0.736 1.170  0.889 1.076  0.878 0.896  0.783 0.730  0.634 0.604  0.485 0.479  0.317 0.380  0.148 0.284  -0.014 0.176  -0.175 0.065  -0.315 -0.068  -0.447 -0.212  -0.548 -0.142  -0.635 0.032  -0.722 0.206  -0.809 0.381  -0.897 0.555  -0.909 0.698  -0.797 0.578  -0.740 0.392  -0.682 0.206  -0.624 0.020  -0.554 -0.161  -0.471 -0.338  -0.388 -0.514  -0.272 -0.671  -0.156 -0.827  -0.013 -0.959  0.130 -1.091  0.305 -1.172  0.488 -1.238  0.674 -1.297  0.860 -1.354  1.055 -1.357  1.240 -1.316  1.416 -1.233  1.471 -1.096
