1c#apb#apb10#app1030/c  1.399 0.856  1.318 0.856  1.237 0.863  1.159 0.885  1.081 0.907  1.002 0.921  0.923 0.903  0.844 0.886  0.764 0.868  0.686 0.848  0.609 0.822  0.531 0.796  0.454 0.771  0.380 0.740  0.311 0.696  0.242 0.652  0.174 0.609  0.105 0.565  0.037 0.521  -0.028 0.472  -0.091 0.420  -0.153 0.369  -0.216 0.317  -0.279 0.266  -0.342 0.214  -0.394 0.152  -0.442 0.086  -0.490 0.020  -0.537 -0.045  -0.585 -0.111  -0.633 -0.177  -0.647 -0.257  -0.660 -0.337  -0.673 -0.417  -0.687 -0.498  -0.700 -0.578  -0.688 -0.657  -0.670 -0.737  -0.652 -0.816  -0.635 -0.895  -0.583 -0.958  -0.529 -1.018  -0.475 -1.079  -0.421 -1.140  -0.367 -1.201  -0.293 -1.229  -0.214 -1.250  -0.136 -1.272  -0.057 -1.293  0.021 -1.314
1c#apb#apb10#app1030/e  -0.227 -0.377  -0.145 -0.274  -0.047 -0.198  0.077 -0.157  0.202 -0.115  0.314 -0.050  0.419 0.028  0.524 0.107  0.635 0.177  0.750 0.241  0.864 0.304  0.964 0.387  1.048 0.488  1.119 0.593  1.119 0.724  1.084 0.839  0.982 0.921  0.867 0.969  0.736 0.969  0.605 0.969  0.474 0.969  0.344 0.961  0.219 0.920  0.095 0.878  -0.030 0.837  -0.148 0.783  -0.256 0.707  -0.363 0.632  -0.471 0.557  -0.554 0.458  -0.627 0.349  -0.700 0.240  -0.762 0.125  -0.811 0.003  -0.860 -0.119  -0.899 -0.242  -0.899 -0.374  -0.896 -0.504  -0.847 -0.626  -0.798 -0.748  -0.750 -0.870  -0.669 -0.972  -0.581 -1.069  -0.493 -1.167  -0.405 -1.264  -0.289 -1.319  -0.165 -1.360  -0.040 -1.402  0.084 -1.443  0.209 -1.485
1c#apb#apb10#app1030/h  -0.476 0.489  -0.428 0.498  -0.261 0.595  -0.098 0.698  0.053 0.817  0.196 0.946  0.332 1.083  0.468 1.219  0.578 1.377  0.652 1.555  0.696 1.662  0.638 1.547  0.539 1.381  0.455 1.208  0.384 1.029  0.301 0.855  0.215 0.683  0.128 0.511  0.039 0.340  -0.050 0.169  -0.134 -0.005  -0.218 -0.178  -0.303 -0.351  -0.396 -0.520  -0.490 -0.689  -0.582 -0.858  -0.671 -1.029  -0.763 -1.198  -0.864 -1.363  -0.893 -1.461  -0.821 -1.282  -0.750 -1.103  -0.678 -0.924  -0.606 -0.745  -0.474 -0.629  -0.305 -0.537  -0.142 -0.434  0.034 -0.354  0.191 -0.242  0.350 -0.133  0.503 -0.018  0.645 0.113  0.669 0.015  0.601 -0.166  0.518 -0.339  0.427 -0.509  0.323 -0.671  0.233 -0.841  0.150 -1.015  0.085 -1.195
1c#apb#apb10#app1030/o  0.287 0.789  0.192 0.884  0.089 0.958  -0.039 0.920  -0.167 0.881  -0.280 0.811  -0.389 0.733  -0.498 0.655  -0.603 0.574  -0.694 0.475  -0.785 0.377  -0.876 0.279  -0.958 0.173  -1.030 0.061  -1.102 -0.052  -1.145 -0.178  -1.178 -0.307  -1.198 -0.435  -1.121 -0.545  -1.044 -0.654  -0.938 -0.720  -0.807 -0.749  -0.677 -0.778  -0.546 -0.807  -0.413 -0.817  -0.279 -0.817  -0.145 -0.817  -0.011 -0.817  0.122 -0.810  0.253 -0.781  0.383 -0.752  0.514 -0.723  0.641 -0.684  0.763 -0.628  0.884 -0.572  0.981 -0.492  1.031 -0.367  1.078 -0.242  1.097 -0.110  1.092 0.023  1.072 0.155  1.052 0.287  1.002 0.411  0.947 0.533  0.874 0.639  0.757 0.704  0.640 0.768  0.520 0.828  0.392 0.864  0.259 0.874
1c#apb#apb10#app1030/l  0.694 1.440  0.645 1.489  0.641 1.429  0.622 1.363  0.597 1.298  0.573 1.233  0.548 1.168  0.524 1.102  0.500 1.037  0.474 0.972  0.443 0.910  0.411 0.848  0.380 0.786  0.349 0.723  0.318 0.661  0.287 0.599  0.256 0.536  0.225 0.474  0.194 0.411  0.164 0.349  0.134 0.286  0.104 0.223  0.074 0.160  0.044 0.097  0.014 0.034  -0.016 -0.028  -0.046 -0.091  -0.076 -0.154  -0.104 -0.218  -0.131 -0.283  -0.157 -0.347  -0.184 -0.411  -0.211 -0.475  -0.238 -0.540  -0.264 -0.604  -0.291 -0.668  -0.318 -0.733  -0.345 -0.797  -0.379 -0.858  -0.414 -0.918  -0.450 -0.978  -0.485 -1.038  -0.520 -1.098  -0.556 -1.158  -0.591 -1.218  -0.625 -1.278  -0.656 -1.341  -0.687 -1.403  -0.718 -1.465  -0.750 -1.528
1c#apb#apb10#app1030/d  -0.078 -0.340  -0.071 -0.187  -0.063 -0.022  -0.217 0.032  -0.387 0.019  -0.544 -0.047  -0.699 -0.117  -0.851 -0.197  -0.991 -0.292  -1.119 -0.404  -1.234 -0.530  -1.306 -0.679  -1.304 -0.847  -1.226 -0.993  -1.079 -1.074  -0.915 -1.120  -0.744 -1.120  -0.613 -1.041  -0.513 -0.903  -0.413 -0.765  -0.313 -0.626  -0.213 -0.488  -0.112 -0.350  -0.012 -0.211  0.088 -0.073  0.188 0.065  0.288 0.203  0.388 0.342  0.488 0.480  0.589 0.618  0.689 0.757  0.789 0.895  0.889 1.033  0.989 1.172  1.089 1.310  1.121 1.422  1.063 1.264  0.987 1.111  0.908 0.960  0.828 0.809  0.738 0.664  0.648 0.518  0.571 0.366  0.495 0.213  0.407 0.067  0.318 -0.079  0.232 -0.226  0.148 -0.375  0.070 -0.527  0.009 -0.686
1c#apb#apb10#app1030/e  -0.367 -0.199  -0.389 -0.240  -0.250 -0.264  -0.115 -0.251  0.015 -0.197  0.145 -0.142  0.276 -0.088  0.406 -0.034  0.536 0.020  0.667 0.075  0.788 0.143  0.897 0.233  0.994 0.333  1.057 0.459  1.086 0.591  1.071 0.731  1.055 0.872  0.969 0.983  0.873 1.083  0.747 1.146  0.619 1.164  0.488 1.111  0.357 1.059  0.236 0.989  0.126 0.900  0.017 0.811  -0.092 0.721  -0.196 0.626  -0.296 0.526  -0.395 0.426  -0.495 0.326  -0.590 0.222  -0.683 0.116  -0.776 0.009  -0.859 -0.104  -0.941 -0.219  -0.994 -0.346  -1.017 -0.485  -0.983 -0.620  -0.933 -0.751  -0.845 -0.861  -0.747 -0.961  -0.632 -1.043  -0.516 -1.124  -0.385 -1.176  -0.254 -1.228  -0.123 -1.279  0.014 -1.316  0.150 -1.353  0.286 -1.391
1c#apb#apb10#app1030/r  -0.224 0.766  -0.094 0.766  -0.068 0.648  -0.051 0.520  -0.080 0.394  -0.109 0.268  -0.138 0.142  -0.186 0.023  -0.255 -0.086  -0.324 -0.195  -0.394 -0.304  -0.449 -0.421  -0.503 -0.538  -0.557 -0.656  -0.612 -0.773  -0.677 -0.885  -0.741 -0.997  -0.783 -1.119  -0.813 -1.244  -0.790 -1.350  -0.714 -1.273  -0.666 -1.152  -0.619 -1.032  -0.571 -0.912  -0.523 -0.792  -0.476 -0.671  -0.428 -0.551  -0.381 -0.431  -0.333 -0.311  -0.286 -0.190  -0.238 -0.070  -0.191 0.050  -0.145 0.171  -0.095 0.289  -0.031 0.402  0.045 0.502  0.161 0.560  0.276 0.617  0.398 0.661  0.521 0.702  0.643 0.743  0.768 0.777  0.894 0.803  1.021 0.828  1.149 0.845  1.278 0.857  1.407 0.870  1.534 0.893  1.661 0.917  1.788 0.940
1c#apb#apb10#app1030/s  0.614 1.114  0.727 1.142  0.598 1.138  0.469 1.127  0.341 1.115  0.214 1.088  0.089 1.059  -0.037 1.030  -0.156 0.979  -0.274 0.927  -0.393 0.878  -0.472 0.791  -0.480 0.663  -0.395 0.569  -0.300 0.483  -0.202 0.399  -0.085 0.360  0.044 0.350  0.172 0.340  0.293 0.299  0.410 0.245  0.527 0.191  0.637 0.124  0.739 0.045  0.841 -0.035  0.913 -0.141  0.972 -0.255  1.007 -0.379  0.963 -0.491  0.885 -0.590  0.764 -0.634  0.643 -0.678  0.519 -0.715  0.394 -0.747  0.269 -0.778  0.143 -0.809  0.015 -0.814  -0.114 -0.814  -0.243 -0.814  -0.372 -0.812  -0.498 -0.784  -0.624 -0.756  -0.750 -0.728  -0.876 -0.700  -1.005 -0.699  -1.134 -0.699  -1.263 -0.699  -1.388 -0.672  -1.509 -0.628  -1.630 -0.584
1c#apb#apb10#app1030/m  -1.008 0.232  -0.919 0.278  -0.714 0.395  -0.511 0.515  -0.349 0.624  -0.460 0.420  -0.574 0.213  -0.707 0.019  -0.844 -0.174  -0.980 -0.367  -1.116 -0.559  -1.257 -0.748  -1.405 -0.932  -1.348 -0.990  -1.210 -0.799  -1.072 -0.608  -0.933 -0.416  -0.795 -0.225  -0.657 -0.034  -0.541 0.127  -0.327 0.227  -0.115 0.329  0.096 0.435  0.308 0.538  0.365 0.466  0.252 0.259  0.128 0.058  0.009 -0.145  -0.128 -0.338  -0.273 -0.523  -0.312 -0.641  -0.156 -0.475  -0.029 -0.275  0.097 -0.076  0.171 0.045  0.381 0.033  0.596 0.129  0.814 0.220  1.025 0.325  1.227 0.447  1.428 0.572  1.624 0.702  1.732 0.776  1.614 0.572  1.486 0.374  1.357 0.176  1.206 -0.005  1.057 -0.188  0.929 -0.386  0.839 -0.603
1c#apb#apb10#app1030/e  -0.230 -0.214  -0.217 -0.099  -0.087 -0.043  0.036 0.025  0.156 0.101  0.276 0.176  0.404 0.235  0.533 0.294  0.657 0.361  0.771 0.444  0.886 0.527  1.001 0.610  1.116 0.693  1.170 0.821  1.129 0.942  1.006 1.008  0.870 1.046  0.734 1.067  0.601 1.017  0.469 0.968  0.336 0.918  0.211 0.853  0.086 0.787  -0.039 0.720  -0.155 0.641  -0.265 0.552  -0.375 0.462  -0.485 0.373  -0.589 0.278  -0.689 0.178  -0.789 0.077  -0.889 -0.023  -0.945 -0.153  -1.001 -0.283  -1.053 -0.414  -1.039 -0.554  -1.018 -0.693  -0.940 -0.811  -0.861 -0.928  -0.745 -1.009  -0.629 -1.091  -0.497 -1.120  -0.355 -1.120  -0.214 -1.120  -0.072 -1.120  0.069 -1.120  0.211 -1.120  0.347 -1.083  0.484 -1.047  0.621 -1.010
1c#apb#apb10#app1030/e  -0.730 -0.490  -0.594 -0.466  -0.464 -0.409  -0.335 -0.351  -0.202 -0.305  -0.065 -0.268  0.071 -0.230  0.204 -0.185  0.326 -0.112  0.447 -0.039  0.568 0.033  0.688 0.108  0.808 0.183  0.925 0.261  1.008 0.376  1.090 0.492  1.141 0.620  1.166 0.759  1.166 0.901  1.064 0.993  0.951 1.076  0.810 1.076  0.668 1.076  0.533 1.042  0.400 0.994  0.266 0.946  0.133 0.899  0.013 0.830  -0.087 0.730  -0.187 0.630  -0.287 0.530  -0.387 0.430  -0.478 0.323  -0.559 0.206  -0.639 0.090  -0.720 -0.026  -0.800 -0.143  -0.844 -0.276  -0.881 -0.413  -0.919 -0.549  -0.913 -0.685  -0.868 -0.819  -0.823 -0.953  -0.732 -1.057  -0.626 -1.151  -0.520 -1.245  -0.406 -1.321  -0.267 -1.346  -0.127 -1.372  0.012 -1.397
1c#apb#apb10#app1030/t  0.850 1.931  0.903 1.861  0.887 1.703  0.820 1.555  0.754 1.407  0.685 1.261  0.615 1.114  0.541 0.970  0.439 0.845  0.337 0.719  0.234 0.594  0.125 0.474  0.015 0.354  -0.094 0.235  -0.200 0.112  -0.305 -0.012  -0.410 -0.135  -0.492 -0.275  -0.573 -0.415  -0.649 -0.558  -0.721 -0.703  -0.743 -0.863  -0.694 -1.014  -0.596 -1.141  -0.442 -1.192  -0.286 -1.235  -0.125 -1.243  0.036 -1.230  0.194 -1.196  0.355 -1.174  0.255 -1.055  0.148 -0.933  0.041 -0.812  -0.067 -0.690  -0.174 -0.569  -0.281 -0.447  -0.388 -0.326  -0.496 -0.204  -0.603 -0.083  -0.705 0.043  -0.640 0.132  -0.479 0.150  -0.318 0.161  -0.159 0.193  0.000 0.223  0.160 0.252  0.321 0.270  0.482 0.281  0.641 0.314  0.798 0.353
1c#apb#apb10#app1030/i  0.182 0.261  0.080 0.218  -0.014 0.156  -0.090 0.071  -0.165 -0.013  -0.241 -0.097  -0.317 -0.182  -0.393 -0.266  -0.469 -0.351  -0.545 -0.435  -0.620 -0.520  -0.695 -0.606  -0.764 -0.694  -0.788 -0.805  -0.813 -0.916  -0.822 -1.028  -0.822 -1.142  -0.744 -1.207  -0.643 -1.258  -0.583 -1.166  -0.524 -1.068  -0.466 -0.971  -0.407 -0.874  -0.349 -0.777  -0.290 -0.679  -0.232 -0.582  -0.173 -0.485  -0.114 -0.388  -0.056 -0.291  0.003 -0.193  0.061 -0.096  0.120 0.001  0.178 0.098  0.237 0.196  0.295 0.293  0.354 0.390  0.412 0.487  0.471 0.585  0.530 0.682  0.588 0.779  0.647 0.876  0.705 0.974  0.764 1.071  0.822 1.168  0.881 1.265  0.939 1.362  0.998 1.460  1.057 1.557  0.964 1.569  0.851 1.569
1c#apb#apb10#app1030/n  -0.320 0.609  -0.348 0.472  -0.408 0.342  -0.468 0.212  -0.543 0.090  -0.620 -0.031  -0.707 -0.144  -0.802 -0.250  -0.897 -0.357  -0.987 -0.469  -1.076 -0.581  -1.155 -0.701  -1.233 -0.820  -1.335 -0.921  -1.275 -0.845  -1.184 -0.735  -1.093 -0.624  -1.002 -0.514  -0.911 -0.404  -0.819 -0.293  -0.728 -0.183  -0.637 -0.072  -0.546 0.038  -0.481 0.093  -0.343 0.123  -0.209 0.174  -0.074 0.222  0.061 0.270  0.195 0.319  0.329 0.371  0.462 0.422  0.600 0.462  0.738 0.500  0.876 0.539  1.009 0.588  1.139 0.648  1.269 0.708  1.370 0.789  1.339 0.663  1.264 0.542  1.182 0.425  1.096 0.311  1.006 0.199  0.927 0.081  0.874 -0.052  0.833 -0.188  0.816 -0.330  0.835 -0.471  0.931 -0.568  1.046 -0.654
1c#apb#apb10#app1030/g  0.413 0.745  0.456 0.874  0.402 1.002  0.296 1.089  0.155 1.101  0.015 1.093  -0.120 1.052  -0.250 0.998  -0.379 0.938  -0.507 0.879  -0.617 0.794  -0.708 0.687  -0.772 0.561  -0.749 0.426  -0.676 0.308  -0.576 0.213  -0.438 0.181  -0.298 0.171  -0.157 0.171  -0.016 0.158  0.077 0.249  0.159 0.364  0.241 0.479  0.324 0.594  0.398 0.712  0.413 0.838  0.330 0.759  0.355 0.631  0.414 0.504  0.461 0.370  0.491 0.234  0.491 0.092  0.468 -0.047  0.441 -0.185  0.426 -0.326  0.411 -0.467  0.395 -0.607  0.374 -0.747  0.340 -0.884  0.291 -1.016  0.225 -1.140  0.139 -1.251  0.039 -1.351  -0.074 -1.435  -0.191 -1.514  -0.315 -1.581  -0.442 -1.644  -0.578 -1.681  -0.718 -1.702  -0.858 -1.690
1c#apb#apb10#app1030/e  -0.613 -0.104  -0.543 -0.210  -0.389 -0.227  -0.236 -0.226  -0.082 -0.213  0.067 -0.176  0.215 -0.131  0.361 -0.082  0.507 -0.030  0.652 0.021  0.799 0.070  0.915 0.169  1.017 0.283  1.069 0.423  1.086 0.576  1.086 0.731  1.045 0.877  0.983 1.018  0.846 1.088  0.700 1.124  0.545 1.124  0.396 1.093  0.251 1.042  0.105 0.990  -0.029 0.917  -0.154 0.827  -0.279 0.736  -0.404 0.646  -0.520 0.543  -0.632 0.438  -0.745 0.332  -0.853 0.224  -0.919 0.084  -0.984 -0.056  -1.039 -0.199  -1.066 -0.351  -1.056 -0.498  -0.987 -0.636  -0.887 -0.746  -0.757 -0.829  -0.621 -0.900  -0.472 -0.939  -0.323 -0.979  -0.172 -1.013  -0.021 -1.043  0.130 -1.074  0.280 -1.111  0.430 -1.149  0.575 -1.201  0.720 -1.254
1c#apb#apb10#app1030/v  -1.093 0.666  -1.046 0.759  -0.971 0.824  -0.882 0.876  -0.801 0.919  -0.769 0.820  -0.740 0.720  -0.711 0.620  -0.706 0.517  -0.706 0.413  -0.706 0.309  -0.706 0.205  -0.706 0.100  -0.706 -0.004  -0.710 -0.107  -0.721 -0.211  -0.733 -0.314  -0.724 -0.416  -0.695 -0.516  -0.665 -0.616  -0.632 -0.715  -0.587 -0.806  -0.513 -0.879  -0.428 -0.889  -0.332 -0.848  -0.237 -0.807  -0.142 -0.763  -0.048 -0.719  0.047 -0.676  0.141 -0.632  0.231 -0.580  0.320 -0.526  0.409 -0.471  0.497 -0.417  0.585 -0.361  0.650 -0.280  0.715 -0.198  0.780 -0.117  0.844 -0.035  0.902 0.051  0.960 0.138  1.018 0.224  1.075 0.311  1.139 0.393  1.207 0.472  1.275 0.551  1.335 0.636  1.415 0.696  1.451 0.793  1.419 0.891
1c#apb#apb10#app1030/e  -1.020 -0.414  -0.881 -0.356  -0.731 -0.306  -0.586 -0.247  -0.447 -0.172  -0.308 -0.097  -0.169 -0.023  -0.030 0.053  0.108 0.129  0.247 0.203  0.388 0.273  0.523 0.354  0.642 0.457  0.753 0.568  0.840 0.699  0.894 0.845  0.883 1.000  0.816 1.132  0.692 1.230  0.536 1.252  0.385 1.237  0.241 1.173  0.099 1.104  -0.036 1.023  -0.171 0.942  -0.285 0.836  -0.389 0.717  -0.489 0.595  -0.580 0.466  -0.670 0.337  -0.741 0.197  -0.800 0.050  -0.842 -0.098  -0.826 -0.255  -0.811 -0.412  -0.735 -0.550  -0.658 -0.688  -0.557 -0.807  -0.445 -0.919  -0.312 -0.989  -0.157 -1.020  -0.002 -1.051  0.153 -1.078  0.310 -1.078  0.468 -1.078  0.626 -1.078  0.783 -1.067  0.940 -1.047  1.096 -1.028  1.253 -1.008
