3#app#app14#app1463/p  -0.231 1.000  -0.231 0.795  -0.231 0.591  -0.231 0.387  -0.231 0.182  -0.231 -0.022  -0.231 -0.227  -0.231 -0.431  -0.231 -0.635  -0.231 -0.840  -0.231 -1.044  -0.231 -1.249  -0.231 -1.453  -0.231 -1.657  -0.231 -1.862  -0.231 -1.799  -0.231 -1.595  -0.231 -1.391  -0.231 -1.186  -0.231 -0.982  -0.231 -0.778  -0.134 -0.613  -0.109 -0.419  -0.109 -0.215  -0.172 -0.037  -0.231 0.143  -0.231 0.348  -0.231 0.552  -0.144 0.720  -0.109 0.910  -0.109 1.115  0.013 1.268  0.013 1.473  0.136 1.555  0.276 1.592  0.380 1.430  0.479 1.267  0.624 1.123  0.682 0.942  0.746 0.765  0.746 0.560  0.732 0.359  0.640 0.177  0.505 0.025  0.424 -0.100  0.342 -0.222  0.138 -0.222  -0.067 -0.222  -0.149 -0.100  -0.231 0.022
3#app#app14#app1463/g  -0.323 1.767  -0.323 1.663  -0.366 1.570  -0.412 1.477  -0.435 1.378  -0.435 1.274  -0.397 1.209  -0.293 1.209  -0.189 1.209  -0.090 1.198  -0.016 1.125  0.057 1.052  0.131 0.978  0.204 0.905  0.235 0.814  0.235 0.710  0.235 0.606  0.235 0.503  0.235 0.399  0.235 0.295  0.235 0.191  0.235 0.088  0.235 -0.016  0.235 -0.120  0.235 -0.224  0.235 -0.328  0.235 -0.431  0.235 -0.535  0.235 -0.639  0.235 -0.743  0.235 -0.847  0.235 -0.950  0.222 -1.051  0.176 -1.144  0.129 -1.237  0.124 -1.339  0.040 -1.360  -0.064 -1.360  -0.100 -1.292  -0.142 -1.206  -0.211 -1.131  -0.211 -1.027  -0.211 -0.923  -0.211 -0.820  -0.211 -0.716  -0.211 -0.612  -0.162 -0.529  -0.100 -0.451  -0.100 -0.347  -0.100 -0.243
3#app#app14#app1463/h  -0.352 1.916  -0.352 1.813  -0.352 1.711  -0.352 1.608  -0.352 1.505  -0.352 1.403  -0.352 1.300  -0.352 1.198  -0.352 1.095  -0.352 0.992  -0.352 0.890  -0.352 0.787  -0.352 0.684  -0.352 0.582  -0.352 0.479  -0.352 0.377  -0.352 0.274  -0.352 0.171  -0.352 0.069  -0.352 -0.034  -0.352 -0.137  -0.352 -0.239  -0.352 -0.342  -0.352 -0.444  -0.352 -0.547  -0.352 -0.650  -0.336 -0.746  -0.264 -0.819  -0.225 -0.808  -0.200 -0.731  -0.098 -0.729  -0.026 -0.657  0.027 -0.576  0.030 -0.475  0.103 -0.402  0.185 -0.353  0.288 -0.353  0.390 -0.353  0.405 -0.441  0.469 -0.479  0.560 -0.508  0.633 -0.581  0.705 -0.653  0.778 -0.726  0.850 -0.798  0.909 -0.877  0.909 -0.979  0.979 -1.053  1.035 -1.132  1.035 -1.235
3#app#app14#app1463/t  0.852 -0.442  0.852 -0.572  0.807 -0.442  0.633 -0.442  0.459 -0.442  0.284 -0.442  0.110 -0.442  -0.064 -0.442  -0.239 -0.442  -0.399 -0.476  -0.524 -0.594  -0.669 -0.624  -0.653 -0.696  -0.601 -0.530  -0.549 -0.363  -0.497 -0.197  -0.445 -0.031  -0.393 0.136  -0.341 0.302  -0.289 0.469  -0.237 0.635  -0.185 0.801  -0.133 0.968  -0.081 1.134  -0.029 1.301  0.023 1.467  0.075 1.633  0.210 1.687  0.103 1.687  0.092 1.524  0.092 1.350  0.092 1.176  0.092 1.001  0.092 0.827  0.092 0.653  0.092 0.478  0.092 0.304  0.092 0.130  0.092 -0.045  0.092 -0.219  0.092 -0.394  0.092 -0.568  0.092 -0.742  0.092 -0.917  0.092 -1.091  0.092 -1.265  0.092 -1.440  0.092 -1.614  0.092 -1.788  0.092 -1.963
3#app#app14#app1463/h  0.026 2.098  0.026 1.973  -0.026 1.860  -0.082 1.748  -0.107 1.628  -0.107 1.503  -0.131 1.384  -0.187 1.271  -0.241 1.159  -0.241 1.034  -0.241 0.908  -0.241 0.783  -0.241 0.658  -0.241 0.532  -0.241 0.407  -0.241 0.282  -0.241 0.157  -0.241 0.031  -0.241 -0.094  -0.241 -0.219  -0.241 -0.344  -0.256 -0.466  -0.312 -0.578  -0.368 -0.690  -0.374 -0.814  -0.374 -0.939  -0.374 -1.065  -0.374 -1.190  -0.374 -1.159  -0.325 -1.054  -0.236 -0.965  -0.147 -0.877  -0.107 -0.768  -0.080 -0.649  -0.024 -0.537  0.039 -0.437  0.159 -0.432  0.159 -0.307  0.159 -0.181  0.273 -0.170  0.398 -0.170  0.426 -0.267  0.515 -0.303  0.560 -0.384  0.611 -0.488  0.700 -0.577  0.788 -0.665  0.826 -0.775  0.871 -0.882  0.960 -0.970
3#app#app14#app1463/e  -0.013 -0.141  0.111 -0.141  0.198 -0.104  0.198 0.020  0.271 0.071  0.395 0.071  0.488 0.148  0.575 0.236  0.663 0.324  0.751 0.412  0.834 0.501  0.834 0.626  0.834 0.750  0.834 0.874  0.834 0.998  0.834 1.122  0.717 1.130  0.593 1.130  0.469 1.130  0.345 1.130  0.221 1.130  0.126 1.058  0.039 0.970  -0.036 0.873  -0.092 0.762  -0.147 0.651  -0.203 0.540  -0.277 0.442  -0.365 0.355  -0.437 0.260  -0.437 0.136  -0.437 0.012  -0.437 -0.112  -0.504 -0.208  -0.592 -0.296  -0.649 -0.397  -0.649 -0.521  -0.649 -0.645  -0.649 -0.769  -0.649 -0.893  -0.649 -1.017  -0.649 -1.141  -0.583 -1.200  -0.459 -1.200  -0.437 -1.302  -0.426 -1.422  -0.339 -1.510  -0.251 -1.597  -0.138 -1.623  -0.013 -1.623
3#app#app14#app1463/m  -1.091 0.643  -0.897 0.643  -0.893 0.453  -1.078 0.444  -1.091 0.264  -1.091 0.069  -1.091 -0.125  -1.091 -0.319  -1.091 -0.513  -1.091 -0.707  -1.091 -0.901  -0.942 -0.946  -0.893 -0.802  -0.794 -0.649  -0.694 -0.496  -0.660 -0.316  -0.522 -0.179  -0.495 0.004  -0.495 0.198  -0.349 0.245  -0.297 0.388  -0.297 0.582  -0.163 0.643  -0.098 0.514  -0.098 0.320  -0.098 0.126  -0.098 -0.068  -0.098 -0.262  -0.023 -0.425  0.114 -0.536  0.252 -0.398  0.299 -0.224  0.354 -0.043  0.441 0.131  0.545 0.292  0.682 0.429  0.697 0.617  0.697 0.812  0.861 0.841  0.895 0.682  1.051 0.643  1.094 0.492  1.140 0.305  1.202 0.121  1.263 -0.063  1.293 -0.252  1.360 -0.418  1.491 -0.558  1.491 -0.752  1.491 -0.946
3#app#app14#app1463/?  -0.686 0.457  -0.614 0.529  -0.543 0.601  -0.488 0.680  -0.488 0.781  -0.459 0.854  -0.358 0.854  -0.290 0.887  -0.290 0.988  -0.252 1.052  -0.151 1.052  -0.049 1.052  0.052 1.052  0.154 1.052  0.255 1.052  0.357 1.052  0.458 1.052  0.503 0.996  0.503 0.894  0.503 0.793  0.503 0.691  0.503 0.590  0.503 0.489  0.503 0.387  0.503 0.286  0.503 0.184  0.503 0.083  0.447 0.005  0.375 -0.067  0.305 -0.139  0.305 -0.241  0.300 -0.340  0.229 -0.412  0.157 -0.484  0.085 -0.555  0.013 -0.627  -0.058 -0.699  -0.130 -0.770  -0.202 -0.842  -0.273 -0.914  -0.290 -1.009  -0.290 -1.110  -0.290 -1.211  -0.290 -1.313  -0.290 -1.414  -0.290 -1.516  -0.290 -1.617  -0.290 -1.719  -0.387 -1.723  -0.488 -1.723
3#app#app14#app1463/S  0.640 0.882  0.756 0.882  0.763 0.991  0.763 1.108  0.669 1.129  0.552 1.129  0.436 1.129  0.319 1.129  0.222 1.083  0.138 1.006  0.021 1.006  -0.095 1.006  -0.180 0.928  -0.277 0.882  -0.349 0.838  -0.386 0.758  -0.473 0.729  -0.495 0.635  -0.597 0.620  -0.597 0.503  -0.596 0.388  -0.480 0.388  -0.395 0.310  -0.298 0.264  -0.194 0.233  -0.112 0.150  -0.102 0.038  -0.035 -0.051  0.058 -0.107  0.166 -0.128  0.248 -0.210  0.331 -0.292  0.392 -0.383  0.392 -0.500  0.392 -0.616  0.392 -0.732  0.392 -0.849  0.392 -0.965  0.315 -1.050  0.233 -1.132  0.151 -1.214  0.036 -1.220  -0.050 -1.292  -0.145 -1.343  -0.262 -1.343  -0.378 -1.343  -0.495 -1.343  -0.611 -1.343  -0.727 -1.343  -0.844 -1.343
3#app#app14#app1463/o  -0.419 0.636  -0.419 0.791  -0.337 0.864  -0.184 0.871  -0.074 0.980  0.036 1.090  0.190 1.093  0.346 1.093  0.501 1.093  0.657 1.093  0.725 1.005  0.735 0.854  0.845 0.744  0.953 0.634  0.953 0.478  0.953 0.323  0.953 0.167  0.953 0.012  0.912 -0.134  0.842 -0.273  0.773 -0.412  0.676 -0.508  0.521 -0.508  0.496 -0.638  0.456 -0.777  0.346 -0.886  0.236 -0.996  0.126 -1.106  0.007 -1.194  -0.149 -1.194  -0.304 -1.194  -0.460 -1.194  -0.615 -1.194  -0.647 -1.070  -0.683 -0.930  -0.793 -0.820  -0.876 -0.699  -0.876 -0.543  -0.876 -0.388  -0.876 -0.233  -0.876 -0.077  -0.876 0.078  -0.876 0.234  -0.876 0.389  -0.738 0.407  -0.583 0.407  -0.428 0.407  -0.272 0.407  -0.117 0.407  0.039 0.407
3#app#app14#app1463/m  -1.090 0.229  -1.090 0.071  -1.176 -0.001  -1.320 -0.015  -1.320 -0.174  -1.320 -0.332  -1.320 -0.490  -1.320 -0.648  -1.206 -0.693  -1.060 -0.663  -0.949 -0.551  -0.860 -0.430  -0.860 -0.271  -0.776 -0.148  -0.664 -0.036  -0.629 0.108  -0.592 0.229  -0.434 0.229  -0.399 0.352  -0.348 0.459  -0.189 0.459  -0.169 0.322  -0.169 0.164  -0.169 0.006  -0.169 -0.153  -0.169 -0.311  -0.162 -0.462  -0.003 -0.462  0.062 -0.369  0.083 -0.232  0.241 -0.232  0.292 -0.125  0.327 -0.001  0.485 -0.001  0.608 0.084  0.720 0.196  0.753 0.341  0.793 0.459  0.951 0.459  0.983 0.585  1.037 0.690  1.195 0.690  1.312 0.591  1.424 0.479  1.444 0.329  1.444 0.171  1.444 0.013  1.444 -0.146  1.444 -0.304  1.444 -0.462
3#app#app14#app1463/e  -0.568 0.119  -0.568 -0.036  -0.481 -0.104  -0.346 -0.084  -0.346 0.070  -0.240 0.119  -0.085 0.119  0.070 0.119  0.188 0.208  0.298 0.317  0.442 0.342  0.597 0.342  0.752 0.342  0.768 0.481  0.768 0.636  0.768 0.791  0.768 0.946  0.768 1.100  0.745 1.233  0.590 1.233  0.435 1.233  0.280 1.233  0.126 1.233  0.009 1.141  -0.101 1.032  -0.210 0.923  -0.320 0.813  -0.346 0.669  -0.381 0.529  -0.491 0.419  -0.568 0.297  -0.568 0.142  -0.568 -0.013  -0.568 -0.168  -0.568 -0.323  -0.568 -0.478  -0.568 -0.632  -0.557 -0.783  -0.448 -0.892  -0.346 -1.005  -0.346 -1.159  -0.248 -1.217  -0.123 -1.246  -0.123 -1.401  -0.007 -1.440  0.148 -1.440  0.303 -1.440  0.458 -1.440  0.613 -1.440  0.768 -1.440
3#app#app14#app1463/t  1.065 -0.465  1.065 -0.643  1.065 -0.538  0.959 -0.465  0.781 -0.465  0.602 -0.465  0.424 -0.465  0.420 -0.290  0.282 -0.250  0.104 -0.250  -0.075 -0.250  -0.245 -0.270  -0.371 -0.396  -0.521 -0.465  -0.641 -0.422  -0.590 -0.251  -0.539 -0.080  -0.487 0.091  -0.436 0.262  -0.385 0.433  -0.334 0.603  -0.282 0.774  -0.231 0.945  -0.180 1.116  -0.129 1.287  -0.077 1.458  -0.026 1.629  0.076 1.598  0.202 1.472  0.031 1.469  -0.010 1.332  -0.010 1.153  -0.010 0.975  -0.010 0.796  -0.010 0.618  -0.010 0.440  -0.010 0.261  -0.010 0.083  -0.010 -0.095  -0.010 -0.274  -0.010 -0.452  -0.010 -0.631  -0.010 -0.809  -0.075 -0.960  -0.202 -1.086  -0.225 -1.255  -0.225 -1.433  -0.225 -1.612  -0.225 -1.790  -0.225 -1.969
3#app#app14#app1463/h  -0.044 1.947  -0.044 1.825  -0.044 1.703  -0.044 1.582  -0.044 1.460  -0.044 1.339  -0.044 1.217  -0.044 1.096  -0.115 1.003  -0.201 0.917  -0.262 0.821  -0.262 0.700  -0.289 0.584  -0.343 0.476  -0.398 0.367  -0.452 0.258  -0.481 0.143  -0.481 0.022  -0.539 -0.075  -0.625 -0.161  -0.699 -0.252  -0.699 -0.374  -0.699 -0.496  -0.699 -0.617  -0.699 -0.739  -0.699 -0.860  -0.606 -0.889  -0.484 -0.889  -0.397 -0.806  -0.311 -0.720  -0.210 -0.671  -0.089 -0.671  -0.044 -0.594  -0.044 -0.472  0.058 -0.453  0.178 -0.449  0.264 -0.363  0.350 -0.277  0.454 -0.235  0.575 -0.235  0.697 -0.235  0.819 -0.235  0.828 -0.347  0.839 -0.464  0.925 -0.550  1.011 -0.636  1.046 -0.743  1.046 -0.864  1.046 -0.986  1.046 -1.107
3#app#app14#app1463/i  -0.160 -0.432  -0.160 -0.520  -0.160 -0.608  -0.160 -0.695  -0.160 -0.783  -0.160 -0.871  -0.160 -0.959  -0.160 -1.047  -0.160 -1.135  -0.160 -1.223  -0.160 -1.310  -0.160 -1.398  -0.150 -1.324  -0.139 -1.237  -0.128 -1.150  -0.117 -1.062  -0.106 -0.975  -0.096 -0.888  -0.085 -0.801  -0.074 -0.714  -0.063 -0.627  -0.052 -0.539  -0.041 -0.452  -0.030 -0.365  -0.019 -0.278  -0.008 -0.191  0.003 -0.103  0.013 -0.016  0.024 0.071  0.035 0.158  0.046 0.245  0.057 0.332  0.068 0.420  0.079 0.507  0.090 0.594  0.101 0.681  0.112 0.768  0.122 0.856  0.133 0.943  0.144 1.030  0.155 1.117  0.166 1.204  0.177 1.292  0.188 1.379  0.199 1.466  0.210 1.553  0.221 1.640  0.229 1.728  0.229 1.815  0.229 1.903
3#app#app14#app1463/n  -0.872 1.172  -0.872 1.045  -0.872 0.918  -0.872 0.791  -0.872 0.664  -0.872 0.538  -0.872 0.411  -0.872 0.284  -0.872 0.157  -0.872 0.030  -0.872 -0.097  -0.872 -0.223  -0.872 -0.350  -0.872 -0.477  -0.872 -0.604  -0.872 -0.731  -0.872 -0.725  -0.872 -0.598  -0.872 -0.472  -0.818 -0.399  -0.691 -0.399  -0.564 -0.399  -0.450 -0.369  -0.360 -0.279  -0.270 -0.190  -0.181 -0.100  -0.091 -0.010  0.034 -0.006  0.161 -0.006  0.288 -0.006  0.306 0.102  0.306 0.229  0.306 0.356  0.402 0.386  0.529 0.386  0.656 0.386  0.783 0.386  0.910 0.386  1.036 0.386  1.091 0.314  1.091 0.187  1.091 0.061  1.133 -0.049  1.223 -0.138  1.313 -0.228  1.403 -0.318  1.484 -0.411  1.484 -0.538  1.484 -0.665  1.484 -0.791
3#app#app14#app1463/g  0.273 1.567  0.273 1.422  0.178 1.372  0.046 1.340  -0.056 1.237  -0.176 1.177  -0.311 1.167  -0.311 1.022  -0.416 0.983  -0.544 0.944  -0.647 0.841  -0.700 0.718  -0.700 0.573  -0.700 0.429  -0.584 0.399  -0.439 0.399  -0.294 0.399  -0.150 0.399  -0.116 0.511  -0.054 0.594  0.087 0.602  0.189 0.705  0.273 0.762  0.273 0.617  0.273 0.472  0.273 0.328  0.273 0.183  0.273 0.038  0.273 -0.107  0.273 -0.252  0.273 -0.397  0.273 -0.541  0.273 -0.686  0.273 -0.831  0.267 -0.974  0.202 -1.104  0.138 -1.233  0.079 -1.364  0.079 -1.509  0.079 -1.654  0.079 -1.682  0.079 -1.537  0.079 -1.392  0.079 -1.248  0.079 -1.103  0.079 -0.958  0.079 -0.813  0.079 -0.668  0.128 -0.573  0.273 -0.573
3#app#app14#app1463/l  0.287 1.658  0.287 1.586  0.287 1.514  0.243 1.461  0.192 1.410  0.141 1.359  0.135 1.290  0.135 1.218  0.135 1.146  0.135 1.075  0.135 1.003  0.135 0.931  0.135 0.859  0.135 0.787  0.135 0.715  0.135 0.644  0.127 0.574  0.095 0.509  0.062 0.445  0.030 0.381  -0.002 0.317  -0.018 0.249  -0.018 0.177  -0.018 0.105  -0.018 0.033  -0.018 -0.039  -0.018 -0.110  -0.018 -0.182  -0.018 -0.254  -0.018 -0.326  -0.018 -0.398  -0.018 -0.470  -0.062 -0.523  -0.113 -0.574  -0.164 -0.625  -0.171 -0.694  -0.171 -0.765  -0.171 -0.837  -0.171 -0.909  -0.171 -0.981  -0.171 -1.053  -0.171 -1.125  -0.171 -1.196  -0.171 -1.268  -0.171 -1.340  -0.171 -1.412  -0.171 -1.484  -0.171 -1.556  -0.171 -1.627  -0.171 -1.699
3#app#app14#app1463/i  -0.501 -0.295  -0.404 -0.295  -0.327 -0.314  -0.327 -0.411  -0.327 -0.508  -0.327 -0.605  -0.327 -0.702  -0.327 -0.799  -0.327 -0.895  -0.327 -0.992  -0.327 -1.089  -0.307 -1.165  -0.210 -1.165  -0.153 -1.205  -0.153 -1.302  -0.143 -1.281  -0.127 -1.185  -0.111 -1.090  -0.095 -0.994  -0.079 -0.899  -0.064 -0.803  -0.048 -0.708  -0.032 -0.612  -0.016 -0.517  0.000 -0.421  0.016 -0.326  0.032 -0.230  0.048 -0.135  0.064 -0.039  0.080 0.056  0.096 0.152  0.112 0.247  0.127 0.343  0.143 0.438  0.159 0.534  0.175 0.629  0.191 0.725  0.207 0.820  0.223 0.916  0.239 1.011  0.255 1.107  0.271 1.202  0.287 1.298  0.303 1.393  0.318 1.489  0.334 1.584  0.350 1.680  0.366 1.775  0.447 1.794  0.544 1.794
