1c#app#app18#app1887/f  0.499 0.921  0.571 1.003  0.581 1.146  0.499 1.217  0.458 1.329  0.338 1.409  0.255 1.480  0.114 1.492  -0.039 1.492  -0.181 1.464  -0.235 1.334  -0.235 1.181  -0.235 1.028  -0.235 0.874  -0.235 0.721  -0.186 0.580  -0.153 0.434  -0.153 0.281  -0.090 0.143  -0.072 -0.006  -0.026 -0.148  0.042 -0.285  0.110 -0.422  0.173 -0.560  0.174 -0.713  0.243 -0.850  0.269 -0.998  0.317 -1.143  0.336 -1.293  0.337 -1.446  0.406 -1.583  0.335 -1.512  0.235 -1.396  0.135 -1.281  0.035 -1.165  -0.066 -1.049  -0.166 -0.934  -0.266 -0.818  -0.367 -0.702  -0.467 -0.587  -0.567 -0.471  -0.605 -0.384  -0.561 -0.275  -0.479 -0.203  -0.416 -0.076  -0.316 -0.012  -0.212 0.076  -0.091 0.168  0.020 0.269  0.173 0.269
1c#app#app18#app1887/i  0.092 1.456  0.012 1.456  -0.068 1.456  -0.147 1.456  -0.227 1.456  -0.283 1.433  -0.283 1.353  -0.283 1.274  -0.283 1.194  -0.283 1.114  -0.283 1.035  -0.283 0.955  -0.283 0.875  -0.283 0.796  -0.283 0.716  -0.283 0.637  -0.283 0.557  -0.283 0.477  -0.283 0.398  -0.273 0.322  -0.217 0.266  -0.160 0.210  -0.104 0.153  -0.048 0.097  0.009 0.041  0.065 -0.016  0.092 -0.084  0.092 -0.164  0.092 -0.244  0.092 -0.323  0.092 -0.403  0.092 -0.482  0.092 -0.562  0.092 -0.642  0.092 -0.721  0.092 -0.801  0.092 -0.881  0.092 -0.960  0.092 -1.040  0.092 -1.120  0.124 -1.166  0.204 -1.166  0.284 -1.166  0.363 -1.166  0.443 -1.166  0.466 -1.223  0.466 -1.302  0.466 -1.382  0.466 -1.462  0.466 -1.541
1c#app#app18#app1887/v  -1.041 1.137  -1.041 1.025  -1.041 0.913  -1.041 0.802  -1.041 0.690  -1.041 0.578  -1.039 0.467  -0.960 0.388  -0.908 0.298  -0.896 0.191  -0.817 0.112  -0.774 0.018  -0.754 -0.085  -0.675 -0.164  -0.641 -0.262  -0.611 -0.361  -0.532 -0.440  -0.453 -0.519  -0.374 -0.598  -0.324 -0.698  -0.274 -0.798  -0.204 -0.865  -0.096 -0.876  -0.017 -0.955  0.076 -0.999  0.188 -0.999  0.294 -0.993  0.294 -0.881  0.390 -0.865  0.480 -0.813  0.559 -0.734  0.561 -0.623  0.600 -0.520  0.650 -0.420  0.694 -0.319  0.694 -0.207  0.694 -0.096  0.730 0.008  0.780 0.108  0.828 0.208  0.828 0.320  0.828 0.432  0.828 0.543  0.828 0.655  0.828 0.767  0.828 0.879  0.828 0.990  0.828 1.102  0.773 1.191  0.694 1.270
1c#app#app18#app1887/e  -1.003 -0.414  -1.001 -0.251  -0.836 -0.251  -0.672 -0.251  -0.507 -0.251  -0.343 -0.251  -0.178 -0.251  -0.014 -0.251  0.151 -0.251  0.314 -0.243  0.461 -0.169  0.608 -0.096  0.727 0.017  0.868 0.074  0.947 0.160  1.035 0.236  1.110 0.326  1.110 0.491  1.110 0.655  1.042 0.792  0.947 0.917  0.914 1.049  0.750 1.049  0.585 1.049  0.421 1.049  0.256 1.049  0.092 1.049  -0.060 1.017  -0.176 0.901  -0.293 0.784  -0.432 0.724  -0.573 0.667  -0.678 0.545  -0.691 0.386  -0.807 0.270  -0.841 0.119  -0.841 -0.046  -0.841 -0.210  -0.841 -0.375  -0.752 -0.503  -0.635 -0.619  -0.519 -0.735  -0.403 -0.852  -0.286 -0.968  -0.170 -1.084  -0.053 -1.201  0.063 -1.317  0.179 -1.434  0.296 -1.550  0.460 -1.551
1c#app#app18#app1887/r  -0.475 0.224  -0.609 0.224  -0.707 0.136  -0.762 0.025  -0.762 -0.109  -0.762 -0.244  -0.743 -0.370  -0.648 -0.465  -0.577 -0.577  -0.517 -0.697  -0.475 -0.821  -0.453 -0.946  -0.358 -1.041  -0.331 -1.164  -0.245 -1.212  -0.188 -1.289  -0.120 -1.356  0.014 -1.356  0.100 -1.307  0.100 -1.172  0.121 -1.047  0.216 -0.952  0.243 -0.829  0.243 -0.695  0.243 -0.561  0.243 -0.427  0.218 -0.299  0.158 -0.178  0.100 -0.058  0.100 0.076  0.100 0.211  0.100 0.345  0.021 0.446  -0.044 0.554  -0.067 0.678  -0.162 0.773  -0.188 0.897  -0.188 1.031  -0.109 1.086  0.026 1.086  0.160 1.086  0.294 1.086  0.428 1.086  0.553 1.109  0.648 1.204  0.771 1.230  0.906 1.230  1.017 1.174  1.115 1.086  1.249 1.086
1c#app#app18#app1887/w  -1.182 1.303  -1.182 1.139  -1.182 0.975  -1.182 0.811  -1.182 0.647  -1.182 0.483  -1.182 0.319  -1.182 0.156  -1.140 0.034  -1.041 -0.031  -1.041 -0.195  -1.041 -0.359  -0.946 -0.484  -0.801 -0.530  -0.638 -0.530  -0.474 -0.530  -0.336 -0.503  -0.287 -0.389  -0.144 -0.338  -0.054 -0.211  -0.054 -0.047  -0.054 0.117  -0.129 0.250  -0.146 0.266  -0.054 0.140  -0.054 -0.024  0.026 -0.107  0.087 -0.210  0.087 -0.374  0.234 -0.395  0.349 -0.511  0.465 -0.627  0.581 -0.742  0.716 -0.812  0.880 -0.812  0.932 -0.700  1.067 -0.671  1.185 -0.559  1.214 -0.407  1.214 -0.244  1.195 -0.088  1.079 0.028  1.073 0.190  1.036 0.316  0.932 0.377  0.873 0.516  0.791 0.646  0.741 0.789  0.625 0.905  0.509 1.021
1c#app#app18#app1887/h  -0.693 1.267  -0.693 1.383  -0.669 1.474  -0.590 1.510  -0.590 1.529  -0.590 1.414  -0.590 1.298  -0.590 1.183  -0.590 1.068  -0.590 0.952  -0.590 0.837  -0.569 0.730  -0.488 0.648  -0.487 0.533  -0.487 0.418  -0.487 0.303  -0.487 0.187  -0.487 0.072  -0.487 -0.044  -0.487 -0.159  -0.457 -0.270  -0.420 -0.379  -0.384 -0.489  -0.383 -0.604  -0.367 -0.713  -0.285 -0.794  -0.276 -0.903  -0.160 -0.903  -0.045 -0.903  0.071 -0.903  0.171 -0.866  0.247 -0.781  0.298 -0.677  0.355 -0.578  0.437 -0.497  0.519 -0.415  0.547 -0.311  0.547 -0.196  0.547 -0.080  0.650 -0.084  0.665 -0.194  0.746 -0.275  0.755 -0.387  0.836 -0.469  0.857 -0.576  0.955 -0.593  1.038 -0.671  1.143 -0.697  1.259 -0.697  1.374 -0.697
1c#app#app18#app1887/i  -0.440 1.659  -0.440 1.583  -0.440 1.508  -0.440 1.432  -0.440 1.357  -0.440 1.281  -0.440 1.205  -0.440 1.130  -0.440 1.054  -0.440 0.979  -0.440 0.903  -0.440 0.828  -0.440 0.752  -0.440 0.676  -0.391 0.621  -0.337 0.568  -0.284 0.514  -0.230 0.461  -0.177 0.408  -0.123 0.354  -0.111 0.284  -0.111 0.208  -0.111 0.133  -0.111 0.057  -0.111 -0.018  -0.111 -0.094  -0.111 -0.170  -0.111 -0.245  -0.108 -0.320  -0.055 -0.373  -0.001 -0.427  0.052 -0.480  0.106 -0.534  0.159 -0.587  0.212 -0.640  0.266 -0.694  0.319 -0.747  0.373 -0.801  0.426 -0.854  0.480 -0.908  0.533 -0.961  0.548 -1.030  0.548 -1.106  0.548 -1.182  0.548 -1.257  0.575 -1.306  0.651 -1.306  0.726 -1.306  0.802 -1.306  0.878 -1.306
1c#app#app18#app1887/l  -0.003 1.676  -0.054 1.625  -0.105 1.574  -0.126 1.510  -0.126 1.438  -0.126 1.366  -0.126 1.294  -0.126 1.223  -0.126 1.151  -0.126 1.079  -0.126 1.007  -0.126 0.935  -0.126 0.863  -0.126 0.791  -0.126 0.719  -0.126 0.647  -0.126 0.575  -0.126 0.503  -0.126 0.431  -0.126 0.359  -0.126 0.287  -0.126 0.215  -0.126 0.143  -0.126 0.071  -0.126 -0.001  -0.114 -0.071  -0.092 -0.139  -0.069 -0.207  -0.046 -0.276  -0.023 -0.344  -0.003 -0.413  -0.003 -0.485  -0.003 -0.557  -0.003 -0.629  -0.003 -0.701  -0.003 -0.772  0.048 -0.823  0.099 -0.874  0.119 -0.938  0.119 -1.010  0.119 -1.082  0.130 -1.149  0.181 -1.200  0.231 -1.251  0.282 -1.302  0.333 -1.353  0.364 -1.412  0.364 -1.484  0.414 -1.505  0.486 -1.505
1c#app#app18#app1887/e  -1.375 -0.082  -1.198 -0.082  -1.021 -0.082  -0.844 -0.082  -0.667 -0.082  -0.490 -0.082  -0.313 -0.082  -0.136 -0.082  0.041 -0.082  0.218 -0.082  0.395 -0.082  0.572 -0.082  0.703 0.030  0.828 0.155  0.956 0.275  1.127 0.281  1.127 0.458  1.127 0.635  1.126 0.811  0.948 0.811  0.823 0.936  0.668 0.990  0.491 0.990  0.314 0.990  0.137 0.990  -0.040 0.990  -0.190 0.924  -0.320 0.811  -0.493 0.800  -0.618 0.675  -0.660 0.516  -0.775 0.454  -0.839 0.340  -0.839 0.163  -0.839 -0.014  -0.839 -0.191  -0.839 -0.368  -0.765 -0.514  -0.639 -0.639  -0.514 -0.765  -0.351 -0.797  -0.187 -0.855  -0.029 -0.934  0.114 -1.035  0.241 -1.155  0.418 -1.155  0.595 -1.155  0.773 -1.155  0.950 -1.155  1.127 -1.155
1c#app#app18#app1887/d  -0.014 -0.861  -0.100 -0.751  -0.124 -0.580  -0.190 -0.400  -0.234 -0.215  -0.415 -0.200  -0.598 -0.233  -0.736 -0.371  -0.785 -0.547  -0.785 -0.742  -0.785 -0.938  -0.668 -1.081  -0.473 -1.081  -0.297 -1.033  -0.158 -0.895  -0.098 -0.725  0.040 -0.586  0.099 -0.414  0.187 -0.239  0.206 -0.048  0.206 0.147  0.279 0.313  0.316 0.493  0.316 0.688  0.251 0.857  0.206 1.034  0.206 1.230  0.147 1.401  0.096 1.575  0.096 1.771  0.022 1.892  -0.014 1.732  -0.014 1.537  -0.014 1.341  -0.014 1.146  0.063 0.968  0.096 0.780  0.096 0.585  0.096 0.389  0.096 0.194  0.096 -0.002  0.144 -0.186  0.220 -0.366  0.267 -0.555  0.315 -0.745  0.316 -0.941  0.426 -1.091  0.426 -1.286  0.537 -1.436  0.647 -1.522
1c#app#app18#app1887/r  -0.612 0.019  -0.612 -0.093  -0.612 -0.205  -0.612 -0.317  -0.581 -0.417  -0.502 -0.496  -0.423 -0.575  -0.409 -0.682  -0.408 -0.794  -0.328 -0.873  -0.249 -0.952  -0.205 -1.046  -0.205 -1.159  -0.155 -1.250  -0.075 -1.329  0.004 -1.396  0.083 -1.316  0.163 -1.237  0.201 -1.141  0.201 -1.028  0.201 -0.916  0.201 -0.804  0.201 -0.692  0.201 -0.580  0.201 -0.467  0.201 -0.355  0.201 -0.243  0.201 -0.131  0.201 -0.019  0.148 0.072  0.069 0.151  -0.002 0.234  -0.002 0.346  -0.002 0.458  -0.002 0.570  -0.002 0.683  -0.002 0.795  -0.002 0.907  -0.002 1.019  -0.002 1.131  -0.002 1.244  -0.002 1.356  0.025 1.441  0.137 1.441  0.249 1.441  0.361 1.441  0.473 1.441  0.586 1.441  0.698 1.441  0.810 1.441
1c#app#app18#app1887/i  -0.586 1.268  -0.670 1.268  -0.754 1.268  -0.838 1.268  -0.873 1.220  -0.873 1.136  -0.873 1.052  -0.865 0.972  -0.805 0.913  -0.746 0.854  -0.687 0.795  -0.628 0.735  -0.575 0.671  -0.538 0.596  -0.500 0.521  -0.463 0.447  -0.425 0.372  -0.388 0.297  -0.350 0.222  -0.313 0.147  -0.299 0.066  -0.299 -0.017  -0.299 -0.101  -0.282 -0.167  -0.198 -0.167  -0.114 -0.167  -0.030 -0.167  -0.012 -0.233  -0.012 -0.317  -0.012 -0.401  0.018 -0.454  0.102 -0.454  0.185 -0.454  0.269 -0.454  0.330 -0.509  0.389 -0.569  0.448 -0.628  0.508 -0.687  0.569 -0.741  0.653 -0.741  0.737 -0.741  0.820 -0.741  0.898 -0.766  0.973 -0.803  1.048 -0.841  1.123 -0.878  1.198 -0.916  1.273 -0.953  1.348 -0.991  1.423 -1.028
1c#app#app18#app1887/n  -1.558 1.009  -1.558 0.882  -1.490 0.822  -1.365 0.817  -1.275 0.726  -1.185 0.636  -1.095 0.546  -1.005 0.456  -0.996 0.333  -0.957 0.221  -0.867 0.131  -0.809 0.028  -0.809 -0.099  -0.730 -0.194  -0.640 -0.284  -0.621 -0.403  -0.621 -0.531  -0.621 -0.658  -0.513 -0.677  -0.385 -0.677  -0.258 -0.677  -0.130 -0.677  -0.059 -0.620  -0.059 -0.493  0.028 -0.402  0.118 -0.312  0.241 -0.302  0.353 -0.264  0.443 -0.174  0.503 -0.071  0.503 0.056  0.581 0.151  0.671 0.241  0.690 0.360  0.730 0.447  0.858 0.447  0.877 0.555  0.877 0.587  0.877 0.459  0.877 0.332  0.877 0.205  0.877 0.077  0.877 -0.050  0.922 -0.159  1.012 -0.249  1.064 -0.355  1.064 -0.482  1.184 -0.489  1.252 -0.549  1.252 -0.677
1c#app#app18#app1887/k  -0.741 2.110  -0.741 1.931  -0.741 1.751  -0.741 1.572  -0.741 1.392  -0.741 1.213  -0.650 1.071  -0.623 0.903  -0.623 0.724  -0.623 0.544  -0.623 0.365  -0.623 0.186  -0.560 0.032  -0.504 -0.124  -0.504 -0.304  -0.504 -0.483  -0.471 -0.649  -0.385 -0.793  -0.385 -0.972  -0.267 -1.102  -0.226 -1.148  -0.127 -0.999  -0.027 -0.849  0.072 -0.700  0.172 -0.551  0.271 -0.402  0.371 -0.252  0.470 -0.103  0.570 0.046  0.669 0.196  0.769 0.345  0.868 0.494  0.918 0.480  0.887 0.332  0.707 0.332  0.646 0.214  0.467 0.214  0.333 0.103  0.172 0.060  0.045 -0.067  -0.030 -0.215  -0.030 -0.395  -0.030 -0.574  0.102 -0.630  0.238 -0.735  0.391 -0.799  0.548 -0.853  0.679 -0.969  0.857 -0.972  1.037 -0.972
1c#app#app18#app1887/i  -0.137 1.604  -0.137 1.521  -0.137 1.438  -0.170 1.388  -0.253 1.388  -0.336 1.388  -0.353 1.322  -0.353 1.239  -0.353 1.156  -0.353 1.073  -0.353 0.990  -0.353 0.907  -0.353 0.823  -0.353 0.740  -0.353 0.657  -0.353 0.574  -0.353 0.491  -0.353 0.408  -0.353 0.325  -0.353 0.242  -0.353 0.159  -0.353 0.076  -0.353 -0.007  -0.353 -0.090  -0.353 -0.173  -0.353 -0.257  -0.353 -0.340  -0.296 -0.399  -0.237 -0.458  -0.178 -0.516  -0.120 -0.575  -0.061 -0.634  -0.002 -0.693  0.057 -0.751  0.130 -0.774  0.213 -0.774  0.295 -0.775  0.295 -0.858  0.295 -0.941  0.329 -0.990  0.413 -0.990  0.496 -0.990  0.579 -0.990  0.662 -0.990  0.745 -0.990  0.828 -0.990  0.911 -0.990  0.994 -0.990  1.077 -0.990  1.160 -0.990
1c#app#app18#app1887/n  -0.979 0.868  -0.979 0.714  -0.979 0.559  -0.979 0.405  -0.979 0.250  -0.979 0.095  -0.979 -0.059  -0.979 -0.214  -0.979 -0.368  -0.979 -0.523  -0.979 -0.677  -0.979 -0.832  -0.979 -0.986  -0.856 -1.018  -0.769 -0.950  -0.756 -0.808  -0.602 -0.808  -0.480 -0.729  -0.371 -0.619  -0.262 -0.510  -0.152 -0.401  -0.079 -0.266  -0.010 -0.128  0.059 0.011  0.163 0.124  0.272 0.233  0.278 0.385  0.343 0.513  0.452 0.622  0.488 0.762  0.522 0.902  0.631 1.012  0.698 1.139  0.698 1.281  0.698 1.127  0.698 0.972  0.698 0.818  0.698 0.663  0.698 0.508  0.698 0.354  0.698 0.199  0.698 0.045  0.698 -0.110  0.698 -0.264  0.718 -0.410  0.828 -0.519  0.907 -0.641  0.907 -0.796  1.007 -0.909  1.117 -1.018
1c#app#app18#app1887/g  0.022 1.147  0.066 1.202  0.053 1.281  0.021 1.368  -0.078 1.368  -0.168 1.344  -0.254 1.312  -0.325 1.242  -0.364 1.159  -0.309 1.082  -0.271 0.998  -0.184 0.967  -0.101 0.927  -0.002 0.927  0.077 0.948  0.066 0.927  0.022 0.872  0.022 0.772  0.022 0.673  0.022 0.573  0.022 0.473  0.022 0.374  0.022 0.274  0.022 0.175  0.033 0.078  0.077 -0.011  0.077 -0.111  0.077 -0.210  0.084 -0.309  0.116 -0.403  0.132 -0.500  0.132 -0.600  0.169 -0.690  0.213 -0.780  0.242 -0.872  0.242 -0.972  0.242 -1.071  0.242 -1.171  0.242 -1.270  0.242 -1.370  0.216 -1.444  0.121 -1.433  0.077 -1.352  -0.004 -1.333  -0.065 -1.270  -0.122 -1.190  -0.192 -1.120  -0.262 -1.049  -0.333 -0.979  -0.419 -0.948
