2#apb#apb15#app1537/L  -0.035 1.719  -0.074 1.801  -0.100 1.729  -0.111 1.632  -0.126 1.535  -0.140 1.438  -0.154 1.341  -0.168 1.244  -0.182 1.147  -0.191 1.049  -0.200 0.952  -0.209 0.854  -0.218 0.756  -0.228 0.659  -0.238 0.561  -0.250 0.464  -0.261 0.367  -0.273 0.269  -0.284 0.172  -0.295 0.075  -0.302 -0.023  -0.309 -0.121  -0.316 -0.219  -0.323 -0.316  -0.329 -0.414  -0.333 -0.512  -0.337 -0.610  -0.341 -0.708  -0.345 -0.806  -0.345 -0.904  -0.345 -1.002  -0.345 -1.100  -0.301 -1.092  -0.232 -1.023  -0.155 -0.962  -0.079 -0.900  0.008 -0.856  0.097 -0.815  0.186 -0.774  0.277 -0.738  0.369 -0.703  0.460 -0.667  0.552 -0.634  0.645 -0.602  0.737 -0.569  0.834 -0.558  0.932 -0.551  1.029 -0.535  1.125 -0.516  1.222 -0.532
2#apb#apb15#app1537/t  0.248 1.865  0.184 1.719  0.121 1.574  0.057 1.428  0.041 1.271  0.035 1.112  0.028 0.953  0.021 0.794  0.022 0.635  0.030 0.476  0.038 0.318  0.046 0.159  0.047 -0.000  0.047 -0.159  0.047 -0.318  0.047 -0.478  0.053 -0.636  0.063 -0.795  0.072 -0.954  0.076 -1.113  0.076 -1.272  0.080 -1.431  0.098 -1.589  0.104 -1.748  0.057 -1.622  0.005 -1.472  -0.046 -1.321  -0.097 -1.171  -0.149 -1.020  -0.200 -0.870  -0.252 -0.719  -0.303 -0.569  -0.355 -0.418  -0.406 -0.268  -0.458 -0.117  -0.509 0.033  -0.561 0.184  -0.612 0.334  -0.649 0.450  -0.529 0.547  -0.373 0.578  -0.217 0.610  -0.060 0.628  0.099 0.628  0.259 0.628  0.418 0.628  0.577 0.628  0.736 0.628  0.895 0.628  1.054 0.628
2#apb#apb15#app1537/a  0.609 0.339  0.537 0.483  0.390 0.533  0.286 0.645  0.148 0.727  0.021 0.826  -0.112 0.879  -0.263 0.823  -0.415 0.774  -0.575 0.756  -0.735 0.738  -0.879 0.669  -1.015 0.585  -1.128 0.471  -1.242 0.358  -1.303 0.211  -1.354 0.059  -1.379 -0.098  -1.379 -0.259  -1.292 -0.384  -1.178 -0.497  -1.038 -0.575  -0.897 -0.653  -0.747 -0.689  -0.587 -0.676  -0.426 -0.664  -0.270 -0.637  -0.126 -0.565  0.018 -0.493  0.161 -0.421  0.296 -0.333  0.430 -0.244  0.548 -0.140  0.620 0.003  0.691 0.148  0.741 0.300  0.792 0.453  0.808 0.611  0.763 0.470  0.717 0.316  0.698 0.160  0.725 0.002  0.751 -0.157  0.800 -0.307  0.886 -0.443  0.972 -0.579  1.063 -0.711  1.177 -0.825  1.290 -0.939  1.404 -1.052
2#apb#apb15#app1537/h  -0.246 2.026  -0.271 1.917  -0.278 1.805  -0.286 1.692  -0.293 1.580  -0.300 1.468  -0.306 1.356  -0.312 1.243  -0.317 1.131  -0.317 1.018  -0.317 0.906  -0.317 0.794  -0.317 0.681  -0.317 0.569  -0.313 0.456  -0.309 0.344  -0.305 0.231  -0.301 0.119  -0.297 0.007  -0.291 -0.106  -0.280 -0.218  -0.269 -0.330  -0.259 -0.441  -0.248 -0.553  -0.240 -0.666  -0.233 -0.778  -0.226 -0.890  -0.208 -1.000  -0.175 -1.108  -0.152 -1.217  -0.120 -1.194  -0.067 -1.095  -0.007 -1.000  0.054 -0.905  0.111 -0.808  0.167 -0.710  0.222 -0.612  0.277 -0.514  0.339 -0.421  0.405 -0.330  0.471 -0.239  0.531 -0.144  0.601 -0.144  0.649 -0.242  0.682 -0.350  0.719 -0.455  0.762 -0.559  0.805 -0.663  0.837 -0.771  0.864 -0.880
2#apb#apb15#app1537/a  0.985 0.246  0.960 0.370  0.949 0.519  0.918 0.676  0.847 0.821  0.725 0.915  0.569 0.960  0.406 0.961  0.243 0.961  0.083 0.937  -0.076 0.905  -0.236 0.873  -0.384 0.809  -0.527 0.732  -0.670 0.655  -0.775 0.535  -0.868 0.401  -0.960 0.268  -1.049 0.131  -1.134 -0.007  -1.219 -0.146  -1.273 -0.296  -1.299 -0.457  -1.314 -0.615  -1.234 -0.756  -1.116 -0.853  -0.962 -0.904  -0.807 -0.956  -0.651 -0.914  -0.495 -0.869  -0.338 -0.824  -0.184 -0.772  -0.030 -0.721  0.125 -0.670  0.254 -0.573  0.381 -0.471  0.502 -0.363  0.610 -0.241  0.718 -0.120  0.824 0.004  0.925 0.130  0.977 0.284  0.913 0.271  0.793 0.163  0.670 0.055  0.628 -0.088  0.628 -0.251  0.628 -0.413  0.648 -0.573  0.693 -0.730
2#apb#apb15#app1537/n  -0.750 0.836  -0.809 0.741  -0.840 0.610  -0.869 0.480  -0.893 0.348  -0.893 0.214  -0.893 0.080  -0.898 -0.053  -0.907 -0.187  -0.917 -0.320  -0.926 -0.454  -0.928 -0.588  -0.928 -0.722  -0.952 -0.850  -1.000 -0.973  -0.935 -0.875  -0.861 -0.764  -0.777 -0.659  -0.693 -0.555  -0.610 -0.450  -0.523 -0.348  -0.437 -0.246  -0.350 -0.143  -0.264 -0.041  -0.175 0.059  -0.084 0.158  0.007 0.256  0.098 0.354  0.189 0.452  0.287 0.542  0.397 0.619  0.507 0.695  0.617 0.771  0.727 0.848  0.834 0.928  0.900 0.870  0.919 0.738  0.925 0.604  0.925 0.470  0.929 0.337  0.941 0.203  0.953 0.070  0.974 -0.062  1.013 -0.190  1.053 -0.318  1.092 -0.446  1.134 -0.573  1.176 -0.700  1.229 -0.823  1.282 -0.946
2#apb#apb15#app1537/d  0.800 1.870  0.740 1.770  0.724 1.654  0.707 1.538  0.691 1.422  0.665 1.308  0.626 1.197  0.588 1.086  0.549 0.976  0.517 0.863  0.500 0.748  0.483 0.632  0.465 0.516  0.448 0.400  0.430 0.284  0.410 0.168  0.391 0.053  0.372 -0.063  0.363 -0.179  0.363 -0.297  0.363 -0.414  0.363 -0.531  0.363 -0.648  0.363 -0.765  0.346 -0.662  0.286 -0.562  0.220 -0.465  0.142 -0.378  0.062 -0.292  -0.044 -0.243  -0.151 -0.194  -0.263 -0.164  -0.379 -0.148  -0.494 -0.141  -0.607 -0.173  -0.720 -0.204  -0.832 -0.237  -0.922 -0.312  -1.012 -0.387  -1.075 -0.478  -1.098 -0.593  -1.046 -0.682  -0.957 -0.759  -0.868 -0.835  -0.765 -0.883  -0.651 -0.908  -0.536 -0.933  -0.422 -0.958  -0.307 -0.983  -0.193 -1.008
2#apb#apb15#app1537/M  -0.953 -0.956  -1.019 -1.119  -1.065 -0.957  -1.051 -0.769  -1.005 -0.586  -0.959 -0.404  -0.908 -0.223  -0.857 -0.041  -0.807 0.140  -0.757 0.322  -0.708 0.504  -0.664 0.687  -0.620 0.870  -0.586 1.055  -0.557 1.241  -0.503 1.198  -0.481 1.011  -0.467 0.824  -0.453 0.636  -0.440 0.448  -0.427 0.260  -0.404 0.073  -0.379 -0.114  -0.351 -0.300  -0.316 -0.485  -0.266 -0.665  -0.181 -0.833  -0.033 -0.744  0.088 -0.600  0.206 -0.453  0.315 -0.300  0.418 -0.142  0.519 0.017  0.616 0.179  0.712 0.341  0.804 0.505  0.891 0.672  0.982 0.837  1.043 0.852  1.032 0.664  1.006 0.478  0.976 0.292  0.955 0.105  0.939 -0.083  0.931 -0.271  0.931 -0.459  0.933 -0.648  0.942 -0.836  0.965 -1.022  1.014 -1.204
2#apb#apb15#app1537/e  -0.720 -0.798  -0.662 -0.665  -0.562 -0.573  -0.415 -0.555  -0.272 -0.521  -0.137 -0.458  -0.002 -0.395  0.132 -0.332  0.269 -0.274  0.410 -0.227  0.551 -0.180  0.675 -0.098  0.799 -0.016  0.925 0.061  1.058 0.128  1.110 0.250  1.124 0.398  1.119 0.542  1.048 0.673  0.977 0.803  0.899 0.928  0.787 1.026  0.675 1.124  0.543 1.167  0.394 1.167  0.246 1.167  0.105 1.137  -0.021 1.059  -0.148 0.981  -0.274 0.904  -0.370 0.794  -0.448 0.668  -0.525 0.541  -0.603 0.415  -0.665 0.279  -0.724 0.143  -0.784 0.007  -0.843 -0.129  -0.852 -0.272  -0.831 -0.420  -0.810 -0.567  -0.777 -0.709  -0.688 -0.828  -0.599 -0.947  -0.510 -1.066  -0.396 -1.153  -0.259 -1.210  -0.121 -1.267  0.016 -1.323  0.153 -1.380
2#apb#apb15#app1537/x  -1.000 1.363  -1.028 1.223  -1.020 1.057  -0.970 0.897  -0.921 0.737  -0.858 0.582  -0.793 0.427  -0.728 0.273  -0.648 0.127  -0.552 -0.010  -0.455 -0.147  -0.359 -0.284  -0.236 -0.398  -0.114 -0.512  0.009 -0.627  0.129 -0.743  0.247 -0.862  0.366 -0.980  0.484 -1.099  0.602 -1.217  0.756 -1.279  0.912 -1.239  0.980 -1.092  0.995 -0.931  0.963 -0.767  0.931 -0.602  0.899 -0.438  0.867 -0.273  0.835 -0.109  0.803 0.055  0.771 0.220  0.739 0.384  0.707 0.548  0.675 0.713  0.643 0.877  0.578 0.987  0.418 0.938  0.258 0.889  0.131 0.780  0.003 0.671  -0.124 0.562  -0.243 0.445  -0.361 0.326  -0.480 0.208  -0.580 0.074  -0.678 -0.062  -0.775 -0.198  -0.850 -0.348  -0.925 -0.498  -1.000 -0.647
2#apb#apb15#app1537/i  -0.025 0.126  -0.070 0.031  -0.093 -0.072  -0.116 -0.174  -0.139 -0.277  -0.163 -0.379  -0.190 -0.481  -0.219 -0.582  -0.247 -0.683  -0.268 -0.786  -0.284 -0.890  -0.299 -0.994  -0.299 -1.099  -0.299 -1.204  -0.290 -1.308  -0.267 -1.411  -0.245 -1.398  -0.224 -1.295  -0.203 -1.192  -0.182 -1.089  -0.161 -0.986  -0.140 -0.883  -0.119 -0.780  -0.098 -0.676  -0.077 -0.573  -0.056 -0.470  -0.035 -0.367  -0.014 -0.264  0.007 -0.161  0.028 -0.058  0.049 0.045  0.070 0.148  0.091 0.251  0.112 0.354  0.133 0.457  0.154 0.560  0.175 0.663  0.196 0.766  0.217 0.869  0.238 0.972  0.259 1.075  0.280 1.178  0.301 1.281  0.322 1.384  0.343 1.487  0.364 1.590  0.385 1.693  0.406 1.796  0.374 1.866  0.333 1.940
2#apb#apb15#app1537/c  0.704 1.367  0.617 1.335  0.530 1.302  0.445 1.265  0.372 1.208  0.299 1.151  0.225 1.094  0.152 1.037  0.079 0.980  0.005 0.923  -0.068 0.866  -0.141 0.809  -0.215 0.752  -0.288 0.695  -0.361 0.637  -0.440 0.588  -0.518 0.538  -0.597 0.489  -0.671 0.433  -0.744 0.375  -0.777 0.294  -0.792 0.202  -0.791 0.110  -0.781 0.017  -0.772 -0.075  -0.741 -0.156  -0.672 -0.219  -0.603 -0.281  -0.535 -0.344  -0.466 -0.406  -0.396 -0.468  -0.324 -0.527  -0.253 -0.587  -0.182 -0.646  -0.110 -0.705  -0.034 -0.756  0.053 -0.788  0.140 -0.820  0.228 -0.853  0.315 -0.885  0.402 -0.917  0.489 -0.949  0.580 -0.968  0.672 -0.980  0.764 -0.992  0.856 -1.004  0.948 -1.016  1.040 -1.028  1.132 -1.040  1.224 -1.052
2#apb#apb15#app1537/o  -0.127 0.520  -0.250 0.537  -0.373 0.537  -0.495 0.510  -0.616 0.483  -0.738 0.456  -0.855 0.418  -0.955 0.343  -1.054 0.268  -1.093 0.150  -1.130 0.031  -1.166 -0.088  -1.159 -0.212  -1.147 -0.336  -1.097 -0.446  -1.025 -0.547  -0.927 -0.620  -0.817 -0.679  -0.707 -0.738  -0.593 -0.782  -0.469 -0.794  -0.344 -0.807  -0.220 -0.819  -0.096 -0.831  0.024 -0.804  0.143 -0.767  0.262 -0.729  0.380 -0.692  0.498 -0.650  0.611 -0.598  0.725 -0.547  0.824 -0.475  0.913 -0.387  1.001 -0.299  1.056 -0.190  1.095 -0.072  1.135 0.047  1.112 0.166  1.076 0.285  1.039 0.404  0.971 0.506  0.892 0.603  0.813 0.699  0.722 0.783  0.619 0.853  0.517 0.924  0.414 0.995  0.309 1.063  0.204 1.130  0.099 1.197
2#apb#apb15#app1537/5  -0.048 0.793  -0.133 0.758  -0.235 0.624  -0.338 0.490  -0.415 0.340  -0.483 0.186  -0.538 0.027  -0.464 -0.078  -0.296 -0.067  -0.130 -0.038  0.032 -0.020  0.192 -0.075  0.345 -0.145  0.487 -0.236  0.555 -0.388  0.541 -0.552  0.449 -0.690  0.337 -0.816  0.211 -0.929  0.067 -1.015  -0.086 -1.085  -0.251 -1.120  -0.418 -1.118  -0.586 -1.098  -0.751 -1.062  -0.915 -1.023  -1.050 -0.922  -1.133 -0.813  -1.029 -0.680  -0.925 -0.547  -0.821 -0.414  -0.717 -0.281  -0.613 -0.148  -0.508 -0.015  -0.404 0.118  -0.300 0.251  -0.196 0.384  -0.092 0.517  0.012 0.650  0.151 0.742  0.308 0.804  0.467 0.863  0.628 0.909  0.796 0.930  0.963 0.951  1.131 0.974  1.298 0.996  1.466 1.014  1.635 1.021  1.804 1.029
2#apb#apb15#app1537/  1.054 1.328  1.021 1.267  0.982 1.210  0.943 1.153  0.904 1.095  0.864 1.039  0.823 0.983  0.782 0.927  0.740 0.872  0.699 0.816  0.658 0.760  0.614 0.707  0.568 0.655  0.523 0.602  0.477 0.550  0.432 0.497  0.387 0.445  0.341 0.392  0.296 0.340  0.251 0.287  0.206 0.234  0.161 0.182  0.117 0.129  0.072 0.076  0.027 0.023  -0.018 -0.030  -0.063 -0.083  -0.108 -0.136  -0.152 -0.189  -0.197 -0.241  -0.243 -0.294  -0.288 -0.346  -0.333 -0.399  -0.378 -0.451  -0.423 -0.504  -0.469 -0.557  -0.514 -0.609  -0.559 -0.662  -0.604 -0.714  -0.649 -0.767  -0.693 -0.821  -0.737 -0.874  -0.781 -0.928  -0.825 -0.981  -0.870 -1.034  -0.915 -1.087  -0.961 -1.138  -1.008 -1.190  -1.054 -1.241  -1.100 -1.293
2#apb#apb15#app1537/1  0.182 1.681  0.163 1.614  0.145 1.547  0.127 1.480  0.108 1.413  0.090 1.345  0.074 1.278  0.060 1.210  0.046 1.141  0.033 1.073  0.019 1.005  0.006 0.937  -0.008 0.868  -0.022 0.800  -0.035 0.732  -0.049 0.664  -0.057 0.595  -0.057 0.525  -0.057 0.456  -0.057 0.386  -0.057 0.316  -0.057 0.247  -0.057 0.177  -0.057 0.108  -0.057 0.038  -0.057 -0.032  -0.057 -0.101  -0.056 -0.171  -0.053 -0.240  -0.049 -0.310  -0.045 -0.379  -0.042 -0.449  -0.038 -0.518  -0.034 -0.588  -0.031 -0.657  -0.027 -0.727  -0.023 -0.796  -0.019 -0.866  -0.014 -0.935  -0.009 -1.005  -0.004 -1.074  0.001 -1.144  0.006 -1.213  0.011 -1.282  0.011 -1.352  0.011 -1.422  0.011 -1.491  0.011 -1.561  0.023 -1.628  0.045 -1.694
2#apb#apb15#app1537/3  -0.787 0.863  -0.715 0.947  -0.628 1.008  -0.521 1.037  -0.413 1.064  -0.305 1.089  -0.196 1.107  -0.085 1.100  0.025 1.092  0.136 1.085  0.247 1.078  0.358 1.071  0.460 1.029  0.556 0.976  0.634 0.897  0.641 0.795  0.572 0.708  0.498 0.629  0.393 0.591  0.291 0.550  0.196 0.493  0.105 0.430  0.033 0.346  -0.036 0.258  -0.050 0.152  -0.003 0.061  0.078 -0.015  0.163 -0.086  0.247 -0.158  0.306 -0.247  0.339 -0.353  0.371 -0.460  0.403 -0.566  0.419 -0.674  0.410 -0.785  0.393 -0.893  0.336 -0.988  0.271 -1.073  0.168 -1.117  0.066 -1.160  -0.041 -1.185  -0.151 -1.196  -0.262 -1.207  -0.372 -1.215  -0.483 -1.209  -0.594 -1.202  -0.704 -1.195  -0.814 -1.177  -0.923 -1.158  -1.033 -1.140
