3#app#app07#app0716/!  0.115 1.366  0.115 1.443  0.115 1.521  0.075 1.558  0.051 1.505  0.051 1.428  0.051 1.351  0.038 1.276  0.004 1.207  -0.013 1.134  -0.013 1.056  -0.013 0.979  -0.020 0.903  -0.055 0.834  -0.077 0.762  -0.077 0.684  -0.094 0.610  -0.119 0.536  -0.142 0.462  -0.142 0.385  -0.142 0.308  -0.142 0.230  -0.142 0.153  -0.142 0.075  -0.142 -0.002  -0.142 -0.079  -0.142 -0.157  -0.142 -0.234  -0.136 -0.309  -0.081 -0.364  -0.077 -0.440  -0.056 -0.496  -0.013 -0.531  0.034 -0.560  0.051 -0.621  0.056 -0.698  0.062 -0.776  0.067 -0.853  0.073 -0.930  0.078 -1.007  0.084 -1.084  0.089 -1.162  0.095 -1.239  0.100 -1.316  0.106 -1.393  0.111 -1.471  0.115 -1.499  0.115 -1.497  0.166 -1.523  0.244 -1.523
3#app#app07#app0716/]  -0.483 1.176  -0.567 1.185  -0.555 1.249  -0.489 1.183  -0.483 1.093  -0.393 1.086  -0.327 1.020  -0.239 1.007  -0.146 1.007  -0.053 1.007  0.040 1.007  0.133 1.007  0.226 1.007  0.278 0.966  0.328 0.923  0.363 0.864  0.430 0.838  0.447 0.763  0.447 0.670  0.406 0.586  0.364 0.503  0.363 0.410  0.353 0.321  0.287 0.255  0.221 0.190  0.194 0.108  0.166 0.022  0.124 -0.062  0.109 -0.151  0.109 -0.244  0.109 -0.337  0.109 -0.430  0.109 -0.524  0.109 -0.617  0.109 -0.710  0.109 -0.803  0.109 -0.896  0.109 -0.989  0.109 -1.082  0.109 -1.175  0.109 -1.268  0.023 -1.275  -0.070 -1.275  -0.158 -1.288  -0.223 -1.354  -0.314 -1.360  -0.407 -1.360  -0.495 -1.372  -0.561 -1.438  -0.652 -1.444
3#app#app07#app0716/{  0.846 1.622  0.846 1.646  0.736 1.622  0.682 1.539  0.561 1.479  0.484 1.376  0.400 1.278  0.279 1.217  0.167 1.142  0.055 1.068  -0.042 0.974  -0.128 0.872  -0.188 0.751  -0.225 0.631  -0.272 0.515  -0.272 0.380  -0.272 0.245  -0.199 0.184  -0.144 0.104  -0.009 0.104  0.126 0.104  0.261 0.104  0.338 0.104  0.203 0.104  0.068 0.104  -0.033 0.023  -0.089 -0.056  -0.192 -0.087  -0.199 -0.216  -0.272 -0.277  -0.192 -0.332  -0.101 -0.375  0.034 -0.375  0.006 -0.455  -0.048 -0.543  -0.168 -0.603  -0.292 -0.635  -0.387 -0.730  -0.483 -0.826  -0.554 -0.939  -0.592 -1.065  -0.574 -1.192  -0.464 -1.254  -0.360 -1.326  -0.228 -1.334  -0.093 -1.334  0.042 -1.334  0.177 -1.334  0.312 -1.334  0.447 -1.334
3#app#app07#app0716/}  -0.054 1.641  -0.092 1.641  0.024 1.640  0.052 1.535  0.135 1.452  0.234 1.408  0.323 1.342  0.351 1.236  0.413 1.145  0.413 1.028  0.413 0.911  0.413 0.794  0.381 0.708  0.335 0.638  0.257 0.553  0.173 0.472  0.068 0.420  -0.024 0.350  -0.128 0.320  -0.242 0.304  -0.346 0.251  -0.433 0.174  -0.443 0.061  -0.378 0.009  -0.261 0.009  -0.144 0.009  -0.027 0.009  0.024 -0.058  -0.054 -0.097  -0.101 -0.194  -0.184 -0.277  -0.209 -0.384  -0.179 -0.488  -0.082 -0.536  -0.043 -0.613  0.024 -0.664  0.114 -0.691  0.179 -0.742  0.257 -0.782  0.257 -0.899  0.192 -0.989  0.110 -1.072  0.054 -1.174  -0.011 -1.270  -0.093 -1.353  -0.176 -1.435  -0.279 -1.469  -0.364 -1.546  -0.403 -1.624  -0.443 -1.702
3#app#app07#app0716/\\  -0.311 1.439  -0.239 1.439  -0.221 1.493  -0.196 1.506  -0.145 1.455  -0.130 1.389  -0.130 1.317  -0.130 1.245  -0.130 1.173  -0.130 1.101  -0.130 1.029  -0.130 0.957  -0.130 0.885  -0.130 0.813  -0.130 0.741  -0.130 0.669  -0.130 0.597  -0.130 0.526  -0.130 0.454  -0.130 0.382  -0.120 0.311  -0.102 0.241  -0.085 0.171  -0.068 0.101  -0.050 0.032  -0.039 -0.039  -0.039 -0.111  -0.039 -0.183  -0.039 -0.255  -0.039 -0.327  -0.028 -0.396  0.004 -0.461  0.036 -0.525  0.051 -0.593  0.051 -0.665  0.052 -0.737  0.084 -0.802  0.116 -0.866  0.142 -0.932  0.142 -1.004  0.172 -1.069  0.204 -1.133  0.236 -1.197  0.269 -1.262  0.301 -1.326  0.323 -1.393  0.325 -1.464  0.376 -1.515  0.414 -1.571  0.414 -1.643
3#app#app07#app0716/,  0.988 1.271  0.988 1.200  0.988 1.129  0.988 1.058  0.988 0.987  0.988 0.916  0.988 0.845  0.966 0.783  0.916 0.733  0.866 0.683  0.816 0.633  0.766 0.582  0.716 0.532  0.665 0.482  0.615 0.432  0.565 0.382  0.515 0.332  0.465 0.281  0.415 0.231  0.365 0.181  0.314 0.131  0.264 0.081  0.214 0.031  0.164 -0.019  0.114 -0.070  0.064 -0.120  0.002 -0.154  -0.061 -0.186  -0.125 -0.218  -0.188 -0.250  -0.252 -0.281  -0.315 -0.313  -0.378 -0.345  -0.440 -0.380  -0.499 -0.420  -0.558 -0.459  -0.617 -0.498  -0.676 -0.538  -0.735 -0.577  -0.794 -0.616  -0.853 -0.656  -0.912 -0.695  -0.971 -0.734  -1.030 -0.774  -1.089 -0.813  -1.142 -0.859  -1.192 -0.910  -1.242 -0.960  -1.293 -1.010  -1.343 -1.060
3#app#app07#app0716/  0.846 1.273  0.846 1.345  0.846 1.321  0.846 1.248  0.845 1.176  0.794 1.124  0.749 1.070  0.749 0.997  0.708 0.942  0.657 0.890  0.605 0.839  0.554 0.787  0.502 0.736  0.451 0.685  0.400 0.633  0.348 0.582  0.297 0.531  0.253 0.474  0.220 0.409  0.188 0.344  0.155 0.279  0.123 0.214  0.090 0.149  0.053 0.087  0.009 0.029  -0.034 -0.030  -0.078 -0.088  -0.122 -0.146  -0.165 -0.204  -0.209 -0.262  -0.243 -0.326  -0.276 -0.391  -0.308 -0.456  -0.357 -0.510  -0.408 -0.561  -0.459 -0.612  -0.507 -0.665  -0.507 -0.738  -0.507 -0.811  -0.528 -0.874  -0.580 -0.926  -0.631 -0.977  -0.683 -1.029  -0.701 -1.094  -0.724 -1.143  -0.796 -1.143  -0.797 -1.215  -0.797 -1.288  -0.821 -1.337  -0.894 -1.337
3#app#app07#app0716/?  -0.383 0.467  -0.383 0.581  -0.383 0.695  -0.334 0.789  -0.247 0.827  -0.200 0.922  -0.099 0.971  0.009 1.007  0.094 1.081  0.208 1.081  0.323 1.081  0.437 1.081  0.551 1.081  0.666 1.081  0.776 1.077  0.776 0.963  0.776 0.848  0.772 0.736  0.687 0.661  0.585 0.610  0.501 0.533  0.416 0.457  0.314 0.406  0.212 0.355  0.121 0.289  0.040 0.208  -0.041 0.127  -0.143 0.076  -0.231 0.005  -0.312 -0.076  -0.389 -0.159  -0.440 -0.261  -0.452 -0.373  -0.452 -0.487  -0.452 -0.601  -0.429 -0.693  -0.382 -0.761  -0.268 -0.761  -0.222 -0.829  -0.115 -0.861  -0.051 -0.929  -0.083 -1.038  -0.114 -1.148  -0.145 -1.258  -0.177 -1.368  -0.208 -1.478  -0.240 -1.588  -0.271 -1.698  -0.302 -1.808  -0.315 -1.920
3#app#app07#app0716/'  1.051 0.308  1.051 0.398  1.051 0.489  1.051 0.579  1.028 0.647  0.938 0.647  0.847 0.647  0.757 0.647  0.712 0.692  0.712 0.783  0.712 0.873  0.712 0.964  0.664 0.938  0.600 0.874  0.536 0.810  0.472 0.746  0.408 0.682  0.373 0.606  0.373 0.516  0.373 0.425  0.373 0.335  0.309 0.308  0.219 0.308  0.128 0.308  0.038 0.308  -0.027 0.247  -0.091 0.183  -0.155 0.119  -0.219 0.055  -0.283 -0.009  -0.305 -0.090  -0.305 -0.181  -0.305 -0.271  -0.305 -0.362  -0.363 -0.428  -0.427 -0.492  -0.491 -0.556  -0.555 -0.620  -0.619 -0.684  -0.683 -0.748  -0.747 -0.812  -0.811 -0.876  -0.875 -0.940  -0.939 -1.004  -1.003 -1.068  -1.067 -1.132  -1.131 -1.196  -1.195 -1.260  -1.259 -1.324  -1.323 -1.387
3#app#app07#app0716/\"  1.263 1.510  1.132 1.380  1.002 1.250  0.872 1.119  0.758 0.982  0.758 0.797  0.618 0.753  0.454 0.702  0.324 0.572  0.169 0.501  -0.011 0.489  -0.141 0.359  -0.252 0.220  -0.252 0.036  -0.396 -0.004  -0.504 -0.080  -0.512 -0.260  -0.677 -0.343  -0.842 -0.425  -1.007 -0.508  -1.009 -0.691  -1.123 -0.762  -1.294 -0.794  -1.424 -0.924  -1.465 -0.985  -1.307 -0.890  -1.149 -0.795  -0.991 -0.700  -0.833 -0.605  -0.674 -0.510  -0.516 -0.415  -0.358 -0.320  -0.200 -0.226  -0.042 -0.131  0.116 -0.036  0.274 0.059  0.433 0.154  0.591 0.249  0.749 0.344  0.907 0.439  1.010 0.437  1.010 0.252  1.010 0.068  0.898 -0.004  0.726 -0.036  0.596 -0.166  0.466 -0.296  0.335 -0.427  0.253 -0.577  0.253 -0.762
3#app#app07#app0716/<  1.423 1.152  1.308 1.152  1.193 1.152  1.095 1.112  1.003 1.056  0.904 1.017  0.816 0.945  0.713 0.893  0.620 0.829  0.530 0.769  0.415 0.769  0.320 0.720  0.230 0.651  0.127 0.600  0.028 0.542  -0.068 0.478  -0.163 0.414  -0.263 0.357  -0.366 0.306  -0.454 0.234  -0.546 0.167  -0.649 0.116  -0.738 0.046  -0.820 -0.036  -0.910 -0.094  -1.025 -0.094  -1.070 -0.165  -1.159 -0.190  -1.058 -0.190  -0.952 -0.213  -0.867 -0.286  -0.752 -0.286  -0.687 -0.335  -0.618 -0.382  -0.529 -0.444  -0.428 -0.478  -0.338 -0.539  -0.238 -0.574  -0.147 -0.634  -0.047 -0.670  0.043 -0.728  0.125 -0.810  0.218 -0.862  0.272 -0.922  0.352 -0.958  0.438 -1.028  0.520 -1.109  0.618 -1.149  0.733 -1.149  0.848 -1.149
3#app#app07#app0716/|  0.648 1.392  0.719 1.392  0.703 1.392  0.641 1.378  0.609 1.314  0.577 1.250  0.545 1.186  0.513 1.123  0.481 1.059  0.449 0.995  0.399 0.944  0.349 0.894  0.327 0.826  0.304 0.758  0.281 0.690  0.259 0.623  0.230 0.558  0.199 0.494  0.167 0.430  0.135 0.366  0.103 0.302  0.071 0.238  0.039 0.175  0.007 0.111  -0.025 0.047  -0.054 -0.018  -0.077 -0.086  -0.099 -0.153  -0.122 -0.221  -0.144 -0.289  -0.175 -0.353  -0.207 -0.417  -0.239 -0.481  -0.271 -0.545  -0.303 -0.608  -0.335 -0.672  -0.379 -0.727  -0.430 -0.777  -0.444 -0.843  -0.444 -0.914  -0.444 -0.985  -0.444 -1.057  -0.444 -1.128  -0.452 -1.196  -0.502 -1.247  -0.544 -1.301  -0.544 -1.372  -0.544 -1.444  -0.544 -1.515  -0.544 -1.586
3#app#app07#app0716/>  -0.688 1.061  -0.687 1.161  -0.587 1.160  -0.515 1.089  -0.426 1.061  -0.325 1.061  -0.243 1.016  -0.167 0.951  -0.077 0.906  0.013 0.862  0.114 0.860  0.204 0.815  0.294 0.770  0.385 0.725  0.475 0.680  0.571 0.662  0.654 0.619  0.726 0.547  0.797 0.476  0.811 0.381  0.869 0.304  0.911 0.221  0.911 0.120  0.868 0.062  0.792 0.023  0.746 -0.067  0.692 -0.148  0.601 -0.193  0.511 -0.238  0.440 -0.309  0.369 -0.380  0.297 -0.452  0.226 -0.523  0.140 -0.573  0.049 -0.619  -0.047 -0.637  -0.142 -0.664  -0.232 -0.709  -0.315 -0.764  -0.386 -0.835  -0.476 -0.881  -0.566 -0.926  -0.664 -0.937  -0.742 -0.992  -0.825 -1.037  -0.914 -1.064  -0.986 -1.135  -1.086 -1.137  -1.186 -1.137  -1.187 -1.237
