1d#tos#f2#f2068065/!  0.046 1.635  -0.018 1.603  -0.075 1.583  -0.062 1.514  -0.039 1.446  -0.035 1.376  -0.035 1.305  -0.035 1.233  -0.035 1.162  -0.035 1.091  -0.035 1.020  -0.035 0.948  -0.035 0.877  -0.035 0.806  -0.035 0.735  -0.035 0.663  -0.035 0.592  -0.035 0.521  -0.035 0.450  -0.035 0.378  -0.035 0.307  -0.035 0.236  -0.035 0.165  -0.035 0.093  -0.035 0.022  -0.035 -0.049  -0.035 -0.120  -0.035 -0.192  -0.035 -0.263  -0.035 -0.334  -0.035 -0.405  -0.024 -0.476  -0.009 -0.545  0.006 -0.615  0.021 -0.684  0.036 -0.754  0.051 -0.824  0.066 -0.893  0.082 -0.963  0.097 -1.033  0.112 -1.102  0.127 -1.172  0.142 -1.241  0.157 -1.311  0.149 -1.372  0.093 -1.417  0.037 -1.461  -0.018 -1.506  -0.035 -1.550  -0.035 -1.479
1d#tos#f2#f2068065/:  0.326 -0.944  0.232 -0.991  0.156 -1.049  0.156 -1.154  0.156 -1.259  0.156 -1.364  0.156 -1.470  0.156 -1.575  0.151 -1.570  0.142 -1.465  0.134 -1.361  0.125 -1.256  0.116 -1.151  0.107 -1.046  0.099 -0.942  0.090 -0.837  0.081 -0.732  0.073 -0.627  0.064 -0.523  0.055 -0.418  0.046 -0.313  0.038 -0.208  0.029 -0.104  0.020 0.001  0.011 0.106  0.003 0.211  -0.006 0.315  -0.015 0.420  -0.023 0.525  -0.032 0.630  -0.041 0.735  -0.050 0.839  -0.058 0.944  -0.067 1.049  -0.076 1.154  -0.085 1.258  -0.093 1.363  -0.129 1.439  -0.234 1.439  -0.270 1.370  -0.270 1.265  -0.270 1.160  -0.270 1.055  -0.206 1.013  -0.158 0.934  -0.125 0.834  -0.100 0.733  -0.100 0.628  -0.100 0.523  -0.100 0.418
1d#tos#f2#f2068065/<  0.796 1.332  0.698 1.332  0.600 1.332  0.581 1.253  0.512 1.224  0.431 1.182  0.347 1.134  0.308 1.059  0.239 0.989  0.157 0.940  0.064 0.909  -0.010 0.848  -0.074 0.774  -0.118 0.687  -0.205 0.643  -0.288 0.591  -0.370 0.537  -0.430 0.460  -0.484 0.379  -0.566 0.328  -0.643 0.269  -0.713 0.203  -0.797 0.169  -0.866 0.099  -0.799 0.042  -0.729 -0.009  -0.674 -0.091  -0.592 -0.119  -0.547 -0.173  -0.516 -0.258  -0.447 -0.328  -0.361 -0.374  -0.273 -0.418  -0.200 -0.479  -0.146 -0.560  -0.076 -0.624  0.004 -0.677  0.058 -0.759  0.121 -0.830  0.208 -0.875  0.278 -0.944  0.334 -1.023  0.388 -1.102  0.470 -1.156  0.556 -1.194  0.614 -1.260  0.686 -1.302  0.772 -1.331  0.850 -1.365  0.850 -1.463
1d#tos#f2#f2068065/=  -0.593 1.006  -0.741 0.945  -0.856 0.821  -0.937 0.743  -0.764 0.743  -0.592 0.743  -0.419 0.743  -0.246 0.743  -0.074 0.743  0.099 0.743  0.271 0.743  0.444 0.743  0.617 0.743  0.789 0.743  0.962 0.743  1.018 0.712  0.867 0.627  0.717 0.542  0.567 0.457  0.416 0.372  0.266 0.287  0.116 0.202  -0.034 0.117  -0.185 0.032  -0.335 -0.053  -0.485 -0.138  -0.636 -0.223  -0.786 -0.308  -0.936 -0.392  -1.108 -0.397  -1.209 -0.531  -1.277 -0.660  -1.135 -0.732  -0.968 -0.748  -0.796 -0.748  -0.623 -0.748  -0.450 -0.748  -0.278 -0.748  -0.105 -0.748  0.068 -0.748  0.226 -0.688  0.392 -0.660  0.565 -0.660  0.737 -0.660  0.910 -0.660  1.083 -0.660  1.255 -0.660  1.340 -0.572  1.508 -0.572  1.335 -0.572
1d#tos#f2#f2068065/>  -0.731 1.188  -0.731 1.075  -0.702 0.991  -0.632 0.923  -0.558 0.860  -0.448 0.850  -0.347 0.799  -0.235 0.795  -0.128 0.781  -0.048 0.702  0.049 0.663  0.157 0.645  0.259 0.598  0.372 0.598  0.479 0.566  0.586 0.530  0.687 0.479  0.797 0.467  0.909 0.466  0.995 0.401  1.108 0.401  1.170 0.351  1.073 0.336  0.974 0.292  0.880 0.229  0.782 0.174  0.681 0.124  0.580 0.073  0.500 -0.007  0.420 -0.086  0.341 -0.166  0.261 -0.246  0.157 -0.286  0.051 -0.324  -0.028 -0.404  -0.108 -0.484  -0.194 -0.556  -0.284 -0.624  -0.374 -0.692  -0.467 -0.756  -0.561 -0.818  -0.621 -0.907  -0.656 -1.014  -0.749 -1.041  -0.813 -1.105  -0.840 -1.214  -0.881 -1.313  -0.982 -1.363  -1.024 -1.450  -1.125 -1.500
1d#tos#f2#f2068065/@  -0.229 -1.440  -0.328 -1.610  -0.554 -1.610  -0.666 -1.497  -0.791 -1.332  -0.870 -1.139  -0.963 -0.938  -0.966 -0.713  -0.966 -0.487  -0.966 -0.261  -0.901 -0.049  -0.835 0.163  -0.699 0.340  -0.626 0.552  -0.526 0.748  -0.399 0.923  -0.235 1.047  -0.011 1.053  0.215 1.053  0.441 1.053  0.636 0.980  0.791 0.885  0.904 0.729  0.961 0.517  0.961 0.291  0.961 0.065  0.961 -0.161  0.904 -0.330  0.847 -0.532  0.677 -0.631  0.467 -0.647  0.242 -0.647  0.016 -0.647  -0.097 -0.760  -0.255 -0.678  -0.342 -0.478  -0.342 -0.252  -0.342 -0.026  -0.342 0.199  -0.286 0.369  -0.172 0.481  -0.032 0.599  0.181 0.656  0.399 0.625  0.525 0.638  0.366 0.798  0.467 0.769  0.564 0.641  0.578 0.429  0.677 0.260
1d#tos#f2#f2068065/]  -0.470 1.038  -0.565 1.038  -0.661 1.038  -0.608 1.038  -0.513 1.038  -0.417 1.038  -0.322 1.038  -0.226 1.038  -0.131 1.038  -0.044 1.074  0.043 1.109  0.138 1.109  0.234 1.109  0.329 1.109  0.378 1.062  0.378 0.967  0.378 0.871  0.378 0.776  0.378 0.681  0.378 0.585  0.354 0.496  0.312 0.410  0.308 0.316  0.290 0.225  0.247 0.139  0.237 0.046  0.237 -0.049  0.237 -0.144  0.237 -0.240  0.237 -0.335  0.237 -0.431  0.237 -0.526  0.237 -0.621  0.237 -0.717  0.237 -0.812  0.237 -0.908  0.237 -1.003  0.237 -1.098  0.197 -1.153  0.101 -1.153  0.032 -1.217  -0.060 -1.224  -0.156 -1.224  -0.251 -1.224  -0.346 -1.224  -0.442 -1.224  -0.537 -1.224  -0.633 -1.224  -0.728 -1.224  -0.823 -1.224
1d#tos#f2#f2068065/_  -1.432 0.182  -1.359 0.141  -1.287 0.100  -1.215 0.058  -1.143 0.017  -1.070 -0.024  -0.998 -0.066  -0.946 -0.102  -1.029 -0.102  -1.112 -0.102  -1.195 -0.102  -1.159 -0.102  -1.076 -0.102  -0.993 -0.102  -0.910 -0.102  -0.826 -0.102  -0.743 -0.102  -0.722 -0.039  -0.648 -0.031  -0.564 -0.031  -0.481 -0.031  -0.398 -0.031  -0.315 -0.031  -0.232 -0.031  -0.148 -0.031  -0.065 -0.031  0.018 -0.031  0.101 -0.031  0.184 -0.031  0.268 -0.031  0.351 -0.031  0.434 -0.031  0.517 -0.031  0.600 -0.031  0.626 0.027  0.696 0.040  0.779 0.040  0.862 0.040  0.946 0.040  1.029 0.040  1.112 0.040  1.195 0.040  1.274 0.050  1.333 0.109  1.415 0.111  1.499 0.111  1.582 0.111  1.665 0.111  1.748 0.111  1.831 0.111
1d#tos#f2#f2068065/{  0.245 1.732  0.196 1.681  0.191 1.587  0.092 1.583  0.003 1.538  -0.046 1.458  -0.050 1.359  -0.061 1.259  -0.072 1.160  -0.083 1.061  -0.094 0.962  -0.094 0.862  -0.094 0.762  -0.046 0.711  -0.046 0.611  -0.046 0.511  -0.046 0.411  -0.046 0.312  -0.046 0.212  -0.067 0.133  -0.118 0.085  -0.218 0.085  -0.318 0.085  -0.385 0.052  -0.421 -0.012  -0.346 -0.012  -0.246 -0.012  -0.191 -0.057  -0.115 -0.109  -0.094 -0.188  -0.061 -0.254  0.003 -0.319  0.022 -0.400  0.051 -0.470  0.051 -0.570  0.051 -0.670  0.051 -0.770  0.003 -0.849  0.003 -0.949  0.003 -1.049  0.003 -1.149  0.003 -1.249  0.031 -1.320  0.131 -1.320  0.196 -1.354  0.282 -1.369  0.382 -1.369  0.390 -1.460  0.484 -1.466  0.584 -1.466
1d#tos#f2#f2068065/|  0.079 1.688  0.002 1.688  -0.025 1.637  -0.025 1.560  -0.025 1.482  -0.025 1.404  -0.025 1.326  -0.025 1.248  -0.025 1.170  -0.025 1.092  -0.025 1.014  -0.025 0.936  -0.025 0.858  -0.025 0.780  -0.025 0.702  -0.025 0.625  -0.025 0.547  -0.025 0.469  -0.025 0.391  -0.025 0.313  -0.025 0.235  -0.009 0.159  0.012 0.084  0.032 0.009  0.053 -0.066  0.073 -0.141  0.094 -0.217  0.114 -0.292  0.121 -0.356  0.043 -0.356  -0.035 -0.356  -0.078 -0.391  -0.025 -0.417  -0.025 -0.495  -0.025 -0.573  -0.025 -0.651  -0.025 -0.728  -0.025 -0.806  -0.025 -0.884  -0.025 -0.962  -0.025 -1.040  -0.006 -1.110  0.027 -1.174  0.027 -1.252  0.027 -1.330  0.027 -1.408  0.027 -1.486  0.027 -1.564  0.027 -1.642  0.027 -1.720
1d#tos#f2#f2068065/~  -1.000 -0.726  -1.060 -0.830  -1.147 -0.830  -1.147 -0.688  -1.147 -0.547  -1.147 -0.405  -1.147 -0.264  -1.147 -0.122  -1.144 0.018  -1.080 0.145  -1.017 0.272  -0.979 0.400  -0.860 0.454  -0.779 0.514  -0.724 0.601  -0.705 0.723  -0.589 0.749  -0.478 0.822  -0.337 0.822  -0.269 0.749  -0.127 0.749  -0.060 0.675  -0.019 0.557  0.033 0.428  0.099 0.314  0.106 0.175  0.106 0.034  0.106 -0.107  0.145 -0.210  0.180 -0.317  0.180 -0.458  0.254 -0.526  0.269 -0.653  0.401 -0.661  0.478 -0.726  0.619 -0.726  0.761 -0.726  0.844 -0.668  0.918 -0.600  0.971 -0.471  0.991 -0.335  1.071 -0.268  1.115 -0.134  1.186 -0.015  1.213 0.115  1.213 0.257  1.213 0.398  1.213 0.539  1.213 0.681  1.213 0.822
