3#app#app40#app4075/B  -0.362 -0.624  -0.362 -0.854  -0.362 -1.084  -0.333 -1.285  -0.157 -1.250  -0.251 -1.040  -0.344 -0.829  -0.438 -0.619  -0.531 -0.409  -0.625 -0.199  -0.718 0.012  -0.811 0.222  -0.905 0.432  -0.998 0.642  -0.853 0.698  -0.623 0.698  -0.449 0.831  -0.255 0.918  -0.024 0.918  0.168 1.008  0.344 1.139  0.520 1.194  0.584 1.359  0.814 1.359  0.901 1.299  0.737 1.139  0.520 1.126  0.504 0.903  0.341 0.740  0.179 0.577  -0.010 0.477  -0.142 0.379  -0.250 0.257  -0.362 0.139  -0.362 -0.091  -0.224 -0.184  -0.037 -0.079  0.145 0.037  0.353 -0.017  0.515 -0.179  0.740 -0.187  0.740 -0.417  0.740 -0.647  0.717 -0.868  0.554 -1.031  0.338 -1.065  0.299 -1.256  0.098 -1.285  0.079 -1.496  -0.142 -1.506
3#app#app40#app4075/S  0.542 1.063  0.430 1.063  0.317 1.063  0.205 1.063  0.092 1.063  -0.020 1.063  -0.132 1.063  -0.245 1.063  -0.357 1.063  -0.470 1.063  -0.524 1.006  -0.524 0.894  -0.540 0.797  -0.653 0.797  -0.765 0.797  -0.791 0.711  -0.791 0.598  -0.760 0.499  -0.680 0.419  -0.601 0.340  -0.520 0.264  -0.408 0.264  -0.295 0.264  -0.205 0.210  -0.125 0.131  -0.046 0.051  0.044 -0.003  0.156 -0.003  0.269 -0.003  0.381 -0.003  0.494 -0.003  0.542 -0.067  0.542 -0.179  0.542 -0.292  0.542 -0.404  0.542 -0.517  0.542 -0.629  0.542 -0.741  0.542 -0.854  0.542 -0.966  0.536 -1.076  0.456 -1.156  0.377 -1.235  0.297 -1.314  0.218 -1.394  0.138 -1.473  0.059 -1.553  -0.033 -1.603  -0.145 -1.603  -0.258 -1.603
3#app#app40#app4075/S  0.927 1.105  0.794 1.105  0.662 1.105  0.529 1.105  0.396 1.105  0.264 1.105  0.131 1.105  0.017 1.087  0.017 0.954  0.017 0.822  -0.096 0.802  -0.228 0.802  -0.361 0.802  -0.493 0.802  -0.590 0.766  -0.590 0.633  -0.590 0.501  -0.720 0.498  -0.853 0.498  -0.894 0.406  -0.894 0.274  -0.894 0.141  -0.894 0.008  -0.878 -0.109  -0.745 -0.109  -0.613 -0.109  -0.480 -0.109  -0.348 -0.109  -0.215 -0.109  -0.082 -0.109  0.050 -0.109  0.183 -0.109  0.315 -0.109  0.320 -0.236  0.320 -0.369  0.410 -0.412  0.542 -0.412  0.623 -0.463  0.623 -0.596  0.623 -0.729  0.623 -0.861  0.623 -0.994  0.547 -1.095  0.453 -1.189  0.360 -1.282  0.320 -1.398  0.320 -1.531  0.282 -1.625  0.149 -1.625  0.017 -1.625
3#app#app40#app4075/T  0.115 1.151  0.237 1.030  0.359 0.908  0.395 0.751  0.395 0.579  0.395 0.407  0.395 0.235  0.395 0.063  0.254 0.032  0.115 -0.001  0.115 -0.173  0.115 -0.345  0.115 -0.517  0.115 -0.689  0.115 -0.861  0.115 -1.032  0.115 -1.204  0.115 -1.376  0.115 -1.548  0.190 -1.646  0.362 -1.646  0.328 -1.524  0.244 -1.374  0.161 -1.224  0.077 -1.074  -0.006 -0.923  -0.090 -0.773  -0.173 -0.623  -0.257 -0.472  -0.340 -0.322  -0.424 -0.172  -0.507 -0.021  -0.591 0.129  -0.674 0.279  -0.758 0.430  -0.841 0.580  -0.925 0.730  -0.993 0.871  -0.821 0.871  -0.649 0.871  -0.477 0.871  -0.305 0.871  -0.133 0.871  0.039 0.871  0.211 0.871  0.383 0.871  0.508 0.984  0.629 1.106  0.783 1.151  0.955 1.151
3#app#app40#app4075/I  0.550 1.006  0.550 0.779  0.550 0.552  0.331 0.543  0.319 0.328  0.319 0.101  0.173 -0.066  0.087 -0.258  0.087 -0.485  0.087 -0.712  0.087 -0.939  0.177 -1.077  0.292 -0.995  0.220 -0.780  0.148 -0.564  0.076 -0.348  0.004 -0.133  -0.068 0.083  -0.140 0.298  -0.211 0.514  -0.283 0.730  -0.355 0.945  -0.212 1.006  0.015 1.006  0.087 1.161  0.194 1.344  0.369 1.469  0.597 1.469  0.782 1.427  0.758 1.208  0.616 1.030  0.474 0.853  0.332 0.675  0.190 0.498  0.048 0.320  -0.094 0.143  -0.236 -0.035  -0.378 -0.212  -0.520 -0.389  -0.662 -0.567  -0.804 -0.744  -0.946 -0.922  -1.070 -1.106  -1.045 -1.308  -0.818 -1.308  -0.590 -1.308  -0.363 -1.308  -0.136 -1.308  0.092 -1.308  0.319 -1.308
3#app#app40#app4075/C  0.718 1.179  0.624 1.179  0.530 1.179  0.436 1.179  0.342 1.179  0.248 1.179  0.154 1.179  0.060 1.179  -0.035 1.179  -0.061 1.111  -0.061 1.017  -0.061 0.923  -0.061 0.829  -0.115 0.789  -0.209 0.789  -0.303 0.789  -0.398 0.789  -0.451 0.748  -0.451 0.654  -0.451 0.560  -0.451 0.466  -0.451 0.372  -0.451 0.278  -0.451 0.184  -0.451 0.090  -0.442 -0.000  -0.375 -0.067  -0.308 -0.133  -0.242 -0.200  -0.175 -0.267  -0.109 -0.333  -0.061 -0.407  -0.061 -0.502  -0.061 -0.596  -0.061 -0.690  -0.061 -0.784  -0.061 -0.878  -0.061 -0.972  -0.061 -1.066  -0.061 -1.160  0.033 -1.160  0.127 -1.160  0.221 -1.160  0.315 -1.160  0.386 -1.217  0.452 -1.284  0.519 -1.350  0.585 -1.417  0.652 -1.483  0.718 -1.550
3#app#app40#app4075/K  -0.882 0.724  -0.735 0.576  -0.594 0.426  -0.594 0.217  -0.692 0.049  -0.840 -0.098  -0.882 -0.290  -0.882 -0.498  -0.882 -0.707  -0.882 -0.915  -0.798 -1.089  -0.650 -1.237  -0.465 -1.293  -0.306 -1.244  -0.306 -1.035  -0.127 -1.005  -0.018 -0.906  -0.018 -0.697  -0.018 -0.488  -0.018 -0.280  -0.018 -0.071  -0.018 0.137  0.122 0.288  0.270 0.435  0.270 0.644  0.361 0.815  0.509 0.962  0.697 1.012  0.846 1.071  0.846 1.280  1.035 1.300  1.025 1.300  0.846 1.270  0.846 1.061  0.687 1.012  0.558 0.932  0.558 0.724  0.350 0.724  0.270 0.594  0.235 0.400  0.088 0.253  -0.018 0.088  -0.018 -0.121  -0.018 -0.329  -0.018 -0.538  -0.018 -0.747  -0.018 -0.955  -0.018 -1.164  0.061 -1.293  0.270 -1.293
3#app#app40#app4075/Y  -1.509 0.155  -1.387 0.032  -1.264 -0.090  -1.129 -0.181  -0.956 -0.181  -0.799 -0.220  -0.677 -0.342  -0.554 -0.465  -0.432 -0.587  -0.309 -0.710  -0.187 -0.832  -0.110 -0.719  -0.042 -0.560  0.027 -0.401  0.095 -0.242  0.163 -0.083  0.231 0.076  0.299 0.235  0.367 0.395  0.436 0.554  0.504 0.713  0.572 0.872  0.640 1.031  0.708 1.190  0.777 1.349  0.840 1.485  0.840 1.312  0.840 1.139  0.840 0.966  0.807 0.826  0.634 0.826  0.504 0.782  0.504 0.609  0.450 0.490  0.277 0.490  0.123 0.444  0.000 0.322  -0.122 0.200  -0.167 0.045  -0.167 -0.128  -0.167 -0.301  -0.167 -0.474  -0.167 -0.647  -0.167 -0.820  -0.167 -0.993  -0.167 -1.167  -0.167 -1.340  -0.167 -1.513  -0.167 -1.686  -0.167 -1.859
3#app#app40#app4075/J  0.211 0.755  0.048 0.755  -0.008 0.649  0.027 0.501  0.142 0.386  0.211 0.252  0.217 0.092  0.332 -0.023  0.430 -0.145  0.430 -0.307  0.522 -0.432  0.637 -0.546  0.648 -0.704  0.558 -0.777  0.430 -0.810  0.430 -0.973  0.290 -0.995  0.211 -1.079  0.184 -1.214  0.021 -1.214  -0.141 -1.214  -0.304 -1.214  -0.466 -1.214  -0.629 -1.214  -0.664 -1.087  -0.664 -0.925  -0.667 -0.762  -0.693 -0.602  -0.720 -0.442  -0.747 -0.282  -0.773 -0.121  -0.800 0.039  -0.827 0.199  -0.854 0.359  -0.880 0.520  -0.737 0.536  -0.574 0.536  -0.422 0.560  -0.307 0.674  -0.178 0.755  -0.015 0.755  0.102 0.864  0.218 0.977  0.364 1.050  0.509 1.122  0.655 1.192  0.817 1.192  0.980 1.192  1.142 1.192  1.305 1.192
3#app#app40#app4075/U  -1.091 1.126  -1.091 0.972  -1.091 0.817  -1.091 0.663  -1.091 0.509  -1.091 0.354  -1.091 0.200  -1.091 0.045  -1.091 -0.109  -1.091 -0.264  -1.091 -0.418  -1.091 -0.572  -0.941 -0.577  -0.807 -0.597  -0.807 -0.752  -0.761 -0.861  -0.607 -0.861  -0.452 -0.861  -0.298 -0.861  -0.171 -0.793  -0.062 -0.684  0.045 -0.574  0.045 -0.420  0.073 -0.293  0.227 -0.293  0.329 -0.240  0.329 -0.086  0.384 0.046  0.493 0.155  0.602 0.264  0.613 0.414  0.613 0.569  0.613 0.723  0.613 0.878  0.613 1.032  0.613 1.066  0.613 0.912  0.613 0.757  0.613 0.603  0.613 0.448  0.613 0.294  0.613 0.139  0.617 -0.013  0.726 -0.122  0.835 -0.232  0.944 -0.341  1.054 -0.450  1.163 -0.559  1.310 -0.577  1.464 -0.577
3#app#app40#app4075/I  0.083 1.388  0.283 1.188  0.401 0.955  0.401 0.673  0.358 0.434  0.083 0.426  0.083 0.144  0.083 -0.139  0.083 -0.421  0.083 -0.703  0.083 -0.986  0.195 -1.156  0.359 -1.093  0.203 -0.858  0.046 -0.623  -0.111 -0.388  -0.267 -0.153  -0.424 0.082  -0.581 0.317  -0.737 0.552  -0.871 0.711  -0.865 0.434  -0.583 0.434  -0.374 0.613  -0.150 0.752  0.118 0.787  0.318 0.987  0.566 1.070  0.848 1.070  1.038 1.163  1.000 1.345  0.817 1.130  0.633 0.916  0.449 0.702  0.265 0.487  0.082 0.273  -0.102 0.058  -0.286 -0.156  -0.470 -0.370  -0.654 -0.585  -0.837 -0.799  -0.871 -1.069  -0.871 -1.352  -0.711 -1.474  -0.465 -1.387  -0.265 -1.187  0.004 -1.156  0.287 -1.156  0.520 -1.038  0.720 -0.838
3#app#app40#app4075/C  0.848 0.707  0.772 0.783  0.696 0.860  0.619 0.936  0.543 1.012  0.441 1.024  0.333 1.024  0.225 1.024  0.117 1.024  0.010 1.024  -0.098 1.024  -0.206 1.024  -0.314 1.024  -0.421 1.023  -0.497 0.947  -0.573 0.871  -0.650 0.795  -0.726 0.718  -0.737 0.615  -0.737 0.507  -0.737 0.400  -0.737 0.292  -0.737 0.184  -0.737 0.077  -0.663 -0.001  -0.587 -0.077  -0.510 -0.153  -0.434 -0.229  -0.420 -0.331  -0.420 -0.439  -0.420 -0.546  -0.326 -0.561  -0.219 -0.561  -0.111 -0.561  -0.103 -0.660  -0.103 -0.768  -0.103 -0.876  0.003 -0.878  0.111 -0.878  0.219 -0.878  0.326 -0.878  0.434 -0.878  0.539 -0.885  0.615 -0.961  0.691 -1.038  0.767 -1.114  0.844 -1.190  0.949 -1.194  1.057 -1.194  1.165 -1.194
3#app#app40#app4075/E  -0.233 1.192  -0.233 0.906  -0.233 0.620  -0.233 0.334  -0.233 0.047  -0.354 -0.117  -0.495 -0.263  -0.495 -0.549  -0.495 -0.836  -0.276 -0.903  -0.233 -0.660  -0.233 -0.374  -0.233 -0.088  -0.233 0.198  -0.233 0.485  -0.233 0.771  -0.106 0.930  0.180 0.930  0.415 1.054  0.644 1.192  0.930 1.192  1.077 1.332  1.241 1.454  1.206 1.321  1.003 1.119  0.801 0.916  0.598 0.714  0.396 0.511  0.194 0.309  -0.009 0.107  -0.211 -0.096  -0.414 -0.298  -0.323 -0.379  -0.037 -0.379  0.029 -0.159  0.273 -0.117  0.481 0.073  0.409 0.029  0.185 -0.149  -0.038 -0.328  -0.262 -0.507  -0.485 -0.686  -0.709 -0.865  -0.757 -1.128  -0.757 -1.414  -0.749 -1.681  -0.546 -1.479  -0.281 -1.427  0.005 -1.427  0.291 -1.427
