1d#apa#apa09#app0981/!  0.010 1.059  0.010 1.136  0.010 1.214  0.010 1.291  0.010 1.369  0.010 1.447  0.010 1.458  0.010 1.381  0.010 1.303  0.010 1.226  0.010 1.148  0.010 1.071  0.010 0.993  0.010 0.915  0.010 0.838  0.010 0.760  0.010 0.683  0.010 0.605  0.010 0.528  0.010 0.450  0.010 0.373  -0.003 0.297  -0.028 0.224  -0.053 0.150  -0.077 0.076  -0.102 0.003  -0.126 -0.071  -0.124 -0.146  -0.109 -0.222  -0.093 -0.298  -0.078 -0.374  -0.063 -0.450  -0.048 -0.526  -0.033 -0.602  -0.017 -0.678  -0.002 -0.755  0.013 -0.831  0.028 -0.907  0.043 -0.983  0.059 -1.059  0.074 -1.135  0.089 -1.211  0.104 -1.287  0.120 -1.363  0.135 -1.439  0.150 -1.515  0.099 -1.537  0.021 -1.537  -0.057 -1.537  -0.134 -1.537
1d#apa#apa09#app0981/~  -1.127 0.153  -1.217 0.153  -1.308 0.153  -1.399 0.153  -1.422 0.085  -1.422 -0.006  -1.422 -0.096  -1.378 -0.143  -1.287 -0.143  -1.196 -0.143  -1.107 -0.136  -1.020 -0.108  -0.934 -0.079  -0.848 -0.050  -0.762 -0.022  -0.676 0.007  -0.590 0.036  -0.504 0.065  -0.418 0.093  -0.331 0.122  -0.245 0.151  -0.180 0.213  -0.116 0.277  -0.051 0.341  0.013 0.405  0.086 0.448  0.177 0.448  0.267 0.448  0.358 0.448  0.449 0.448  0.540 0.448  0.631 0.448  0.680 0.382  0.721 0.301  0.762 0.219  0.802 0.138  0.843 0.057  0.883 -0.024  0.924 -0.105  0.943 -0.192  0.943 -0.283  0.943 -0.373  0.966 -0.450  1.047 -0.491  1.128 -0.531  1.209 -0.572  1.290 -0.612  1.372 -0.653  1.453 -0.694  1.534 -0.734
1d#apa#apa09#app0981/  -1.698 0.000  -1.628 0.000  -1.559 0.000  -1.490 0.000  -1.421 0.000  -1.351 0.000  -1.282 0.000  -1.213 0.000  -1.143 0.000  -1.074 0.000  -1.005 0.000  -0.936 0.000  -0.866 0.000  -0.797 0.000  -0.728 0.000  -0.658 0.000  -0.589 0.000  -0.520 0.000  -0.450 0.000  -0.381 0.000  -0.312 0.000  -0.243 0.000  -0.173 0.000  -0.104 0.000  -0.035 0.000  0.035 0.000  0.104 0.000  0.173 0.000  0.243 0.000  0.312 0.000  0.381 0.000  0.450 0.000  0.520 0.000  0.589 0.000  0.658 0.000  0.728 0.000  0.797 0.000  0.866 0.000  0.936 0.000  1.005 0.000  1.074 0.000  1.143 0.000  1.213 0.000  1.282 0.000  1.351 0.000  1.421 0.000  1.490 0.000  1.559 0.000  1.628 0.000  1.698 0.000
1d#apa#apa09#app0981/_  -1.503 -0.220  -1.503 -0.149  -1.503 -0.079  -1.503 -0.009  -1.452 0.010  -1.381 0.010  -1.311 0.010  -1.241 0.010  -1.170 0.010  -1.100 0.010  -1.030 0.010  -0.959 0.010  -0.889 0.010  -0.819 0.010  -0.748 0.010  -0.678 0.010  -0.608 0.010  -0.537 0.010  -0.467 0.010  -0.397 0.010  -0.326 0.010  -0.256 0.010  -0.186 0.010  -0.115 0.010  -0.045 0.010  0.025 0.010  0.096 0.010  0.166 0.010  0.236 0.010  0.307 0.010  0.377 0.010  0.447 0.010  0.517 0.010  0.588 0.010  0.658 0.010  0.728 0.010  0.799 0.010  0.869 0.010  0.939 0.010  1.010 0.010  1.080 0.010  1.150 0.010  1.221 0.010  1.291 0.010  1.361 0.010  1.432 0.010  1.502 0.010  1.572 0.010  1.643 0.010  1.713 0.010
1d#apa#apa09#app0981/+  -1.412 -0.691  -1.517 -0.586  -1.622 -0.482  -1.726 -0.377  -1.685 -0.333  -1.537 -0.333  -1.396 -0.316  -1.291 -0.212  -1.186 -0.107  -1.082 -0.002  -0.945 0.025  -0.797 0.025  -0.649 0.025  -0.501 0.025  -0.353 0.025  -0.205 0.025  -0.057 0.025  0.091 0.025  0.239 0.025  0.387 0.025  0.535 0.025  0.683 0.025  0.821 -0.017  0.953 -0.083  1.085 -0.149  1.218 -0.215  1.350 -0.281  1.435 -0.305  1.353 -0.182  1.271 -0.059  1.189 0.064  1.107 0.187  1.025 0.310  0.942 0.433  0.860 0.557  0.778 0.680  0.663 0.742  0.515 0.742  0.371 0.734  0.266 0.629  0.161 0.525  0.057 0.420  -0.010 0.292  -0.057 0.151  -0.104 0.011  -0.150 -0.129  -0.197 -0.270  -0.244 -0.410  -0.291 -0.551  -0.338 -0.691
1d#apa#apa09#app0981/=  -1.808 0.620  -1.630 0.620  -1.453 0.620  -1.275 0.620  -1.097 0.620  -0.919 0.620  -0.742 0.620  -0.564 0.620  -0.386 0.620  -0.208 0.620  -0.031 0.620  0.147 0.620  0.325 0.620  0.498 0.602  0.657 0.523  0.816 0.444  0.975 0.364  1.134 0.285  1.293 0.205  1.452 0.126  1.586 0.049  1.412 0.015  1.238 -0.020  1.064 -0.055  0.889 -0.090  0.715 -0.125  0.541 -0.160  0.367 -0.195  0.192 -0.229  0.018 -0.264  -0.156 -0.299  -0.331 -0.334  -0.505 -0.369  -0.679 -0.404  -0.853 -0.439  -1.028 -0.473  -1.202 -0.508  -1.101 -0.516  -0.924 -0.516  -0.746 -0.516  -0.568 -0.516  -0.390 -0.516  -0.213 -0.516  -0.035 -0.516  0.143 -0.516  0.321 -0.516  0.498 -0.516  0.676 -0.516  0.854 -0.516  1.031 -0.516
1d#apa#apa09#app0981/[  0.358 0.889  0.455 0.889  0.553 0.889  0.651 0.889  0.591 0.889  0.496 0.901  0.415 0.955  0.334 1.009  0.252 1.064  0.171 1.118  0.090 1.172  0.001 1.202  -0.097 1.202  -0.195 1.202  -0.266 1.175  -0.266 1.078  -0.266 0.980  -0.266 0.882  -0.266 0.784  -0.266 0.687  -0.266 0.589  -0.266 0.491  -0.266 0.393  -0.266 0.295  -0.266 0.198  -0.265 0.100  -0.245 0.004  -0.226 -0.092  -0.207 -0.187  -0.188 -0.283  -0.169 -0.379  -0.150 -0.475  -0.130 -0.571  -0.111 -0.667  -0.110 -0.765  -0.110 -0.862  -0.110 -0.960  -0.110 -1.058  -0.110 -1.156  -0.110 -1.253  -0.110 -1.351  -0.110 -1.449  -0.110 -1.355  -0.073 -1.295  0.025 -1.295  0.123 -1.295  0.220 -1.295  0.318 -1.295  0.416 -1.295  0.514 -1.295
1d#apa#apa09#app0981/]  -0.917 0.664  -0.917 0.764  -0.917 0.864  -0.917 0.964  -0.819 0.966  -0.719 0.966  -0.619 0.966  -0.519 0.966  -0.419 0.966  -0.319 0.966  -0.219 0.966  -0.119 0.966  -0.019 0.966  0.082 0.966  0.182 0.966  0.282 0.966  0.382 0.966  0.423 0.930  0.378 0.841  0.334 0.751  0.290 0.661  0.290 0.561  0.290 0.461  0.290 0.361  0.290 0.261  0.290 0.161  0.290 0.061  0.290 -0.039  0.290 -0.139  0.290 -0.239  0.290 -0.339  0.290 -0.439  0.290 -0.539  0.290 -0.639  0.290 -0.740  0.290 -0.840  0.290 -0.940  0.321 -1.027  0.392 -1.098  0.420 -1.168  0.349 -1.239  0.273 -1.298  0.173 -1.298  0.073 -1.298  -0.027 -1.298  -0.127 -1.298  -0.227 -1.298  -0.323 -1.289  -0.394 -1.218  -0.464 -1.147
1d#apa#apa09#app0981/{  0.205 0.899  0.205 1.006  0.205 1.113  0.270 1.193  0.293 1.269  0.217 1.345  0.115 1.357  0.008 1.357  -0.077 1.304  -0.159 1.243  -0.253 1.230  -0.251 1.123  -0.203 1.028  -0.155 0.932  -0.080 0.860  0.009 0.801  0.098 0.741  0.187 0.682  0.265 0.609  0.319 0.525  0.319 0.417  0.319 0.310  0.314 0.205  0.255 0.116  0.195 0.026  0.136 -0.063  0.073 -0.149  -0.003 -0.224  -0.093 -0.280  -0.189 -0.328  -0.253 -0.395  -0.226 -0.475  -0.119 -0.475  -0.024 -0.487  -0.024 -0.595  -0.024 -0.702  -0.098 -0.778  -0.174 -0.854  -0.250 -0.930  -0.326 -1.005  -0.368 -1.095  -0.368 -1.202  -0.345 -1.300  -0.269 -1.375  -0.194 -1.451  -0.109 -1.506  -0.002 -1.506  0.105 -1.506  0.212 -1.506  0.319 -1.506
1d#apa#apa09#app0981/}  -0.178 1.485  -0.072 1.485  0.035 1.485  0.131 1.442  0.226 1.394  0.322 1.346  0.417 1.299  0.491 1.238  0.491 1.131  0.481 1.029  0.406 0.954  0.322 0.889  0.233 0.830  0.144 0.771  0.056 0.712  -0.033 0.652  -0.121 0.593  -0.210 0.534  -0.290 0.470  -0.290 0.364  -0.289 0.257  -0.214 0.182  -0.122 0.147  -0.044 0.101  0.004 0.005  0.030 -0.077  -0.067 -0.086  -0.071 -0.190  -0.172 -0.223  -0.273 -0.257  -0.375 -0.291  -0.401 -0.378  -0.336 -0.444  -0.240 -0.492  -0.152 -0.549  -0.077 -0.624  -0.001 -0.700  0.074 -0.775  0.149 -0.850  0.200 -0.944  0.247 -1.039  0.234 -1.130  0.175 -1.219  0.116 -1.308  0.057 -1.396  -0.015 -1.475  -0.098 -1.537  -0.199 -1.571  -0.300 -1.604  -0.401 -1.638
1d#apa#apa09#app0981/\\  -0.993 1.372  -0.962 1.310  -0.930 1.247  -0.899 1.185  -0.868 1.122  -0.836 1.060  -0.805 0.997  -0.774 0.935  -0.743 0.872  -0.711 0.810  -0.669 0.754  -0.627 0.698  -0.585 0.642  -0.543 0.586  -0.501 0.530  -0.459 0.474  -0.417 0.418  -0.375 0.362  -0.333 0.307  -0.291 0.251  -0.249 0.195  -0.207 0.139  -0.165 0.083  -0.124 0.027  -0.082 -0.029  -0.040 -0.085  0.002 -0.141  0.044 -0.197  0.086 -0.253  0.129 -0.308  0.178 -0.358  0.228 -0.407  0.277 -0.457  0.326 -0.506  0.376 -0.555  0.429 -0.600  0.487 -0.639  0.545 -0.678  0.603 -0.717  0.662 -0.756  0.720 -0.794  0.778 -0.833  0.836 -0.872  0.894 -0.911  0.952 -0.949  1.011 -0.988  1.069 -1.027  1.127 -1.066  1.185 -1.105  1.243 -1.143
1d#apa#apa09#app0981/,  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.936  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.936  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
1d#apa#apa09#app0981/  0.764 0.834  0.764 0.908  0.764 0.983  0.764 1.057  0.764 1.131  0.764 1.205  0.731 1.200  0.679 1.147  0.626 1.095  0.574 1.042  0.522 0.990  0.469 0.937  0.417 0.885  0.365 0.832  0.332 0.766  0.298 0.699  0.265 0.633  0.232 0.567  0.199 0.500  0.166 0.434  0.132 0.368  0.099 0.301  0.066 0.235  0.033 0.168  -0.000 0.102  -0.033 0.036  -0.067 -0.031  -0.100 -0.097  -0.133 -0.163  -0.166 -0.230  -0.199 -0.296  -0.233 -0.363  -0.266 -0.429  -0.299 -0.495  -0.332 -0.562  -0.365 -0.628  -0.398 -0.694  -0.432 -0.761  -0.465 -0.827  -0.498 -0.894  -0.531 -0.960  -0.564 -1.026  -0.598 -1.093  -0.631 -1.159  -0.664 -1.225  -0.697 -1.292  -0.730 -1.358  -0.764 -1.425  -0.797 -1.491  -0.830 -1.557
1d#apa#apa09#app0981/?  -0.466 0.618  -0.512 0.710  -0.558 0.802  -0.604 0.894  -0.559 0.955  -0.467 1.001  -0.375 1.047  -0.280 1.079  -0.177 1.079  -0.074 1.079  0.029 1.079  0.131 1.079  0.234 1.079  0.337 1.079  0.440 1.079  0.517 1.017  0.590 0.945  0.609 0.850  0.602 0.749  0.569 0.651  0.537 0.554  0.504 0.456  0.472 0.359  0.424 0.269  0.363 0.187  0.301 0.104  0.239 0.022  0.178 -0.060  0.116 -0.142  0.054 -0.224  -0.008 -0.306  -0.080 -0.379  -0.153 -0.452  -0.254 -0.457  -0.312 -0.501  -0.312 -0.604  -0.282 -0.702  -0.249 -0.799  -0.217 -0.897  -0.184 -0.994  -0.152 -1.092  -0.119 -1.189  -0.087 -1.287  -0.054 -1.384  -0.022 -1.482  -0.055 -1.532  -0.158 -1.532  -0.159 -1.634  -0.159 -1.635  -0.159 -1.532
1d#apa#apa09#app0981/'  0.614 -1.442  0.614 -1.317  0.614 -1.192  0.614 -1.067  0.614 -0.942  0.614 -0.816  0.614 -0.691  0.614 -0.566  0.614 -0.441  0.614 -0.316  0.614 -0.190  0.614 -0.065  0.614 0.060  0.614 0.185  0.614 0.311  0.614 0.436  0.614 0.561  0.614 0.686  0.614 0.811  0.614 0.937  0.563 1.012  0.438 1.012  0.313 1.012  0.188 1.012  0.063 1.012  -0.063 1.012  -0.188 1.012  -0.313 1.012  -0.438 1.012  -0.563 1.012  -0.614 0.937  -0.614 0.811  -0.614 0.686  -0.614 0.561  -0.614 0.436  -0.614 0.311  -0.614 0.185  -0.614 0.060  -0.614 -0.065  -0.614 -0.190  -0.614 -0.316  -0.614 -0.441  -0.614 -0.566  -0.614 -0.691  -0.614 -0.816  -0.614 -0.942  -0.614 -1.067  -0.614 -1.192  -0.614 -1.317  -0.614 -1.442
1d#apa#apa09#app0981/\"  -0.844 0.388  -0.844 0.525  -0.844 0.662  -0.844 0.800  -0.844 0.824  -0.844 0.687  -0.844 0.549  -0.844 0.412  -0.844 0.275  -0.844 0.137  -0.844 -0.000  -0.844 -0.138  -0.844 -0.275  -0.844 -0.412  -0.844 -0.550  -0.844 -0.687  -0.844 -0.824  -0.844 -0.962  -0.838 -1.085  -0.741 -0.988  -0.644 -0.891  -0.547 -0.794  -0.450 -0.696  -0.353 -0.599  -0.255 -0.502  -0.158 -0.405  -0.061 -0.308  0.036 -0.211  0.133 -0.114  0.230 -0.017  0.327 0.081  0.424 0.178  0.522 0.275  0.619 0.372  0.716 0.469  0.813 0.566  0.910 0.663  1.007 0.760  1.104 0.858  1.127 0.776  1.127 0.638  1.127 0.501  1.127 0.364  1.127 0.226  1.127 0.089  1.127 -0.049  1.127 -0.186  1.127 -0.323  1.127 -0.461  1.127 -0.598
1d#apa#apa09#app0981/<  0.424 0.868  0.424 0.980  0.424 1.093  0.424 1.205  0.423 1.315  0.343 1.235  0.264 1.156  0.184 1.076  0.104 0.997  0.025 0.917  -0.055 0.837  -0.134 0.758  -0.214 0.678  -0.294 0.599  -0.373 0.519  -0.453 0.439  -0.532 0.360  -0.612 0.280  -0.692 0.201  -0.771 0.121  -0.851 0.041  -0.930 -0.038  -1.010 -0.118  -1.090 -0.197  -1.122 -0.277  -1.042 -0.357  -0.963 -0.436  -0.867 -0.478  -0.755 -0.478  -0.642 -0.478  -0.530 -0.478  -0.417 -0.478  -0.304 -0.478  -0.192 -0.478  -0.079 -0.478  0.032 -0.492  0.141 -0.519  0.250 -0.546  0.359 -0.573  0.468 -0.601  0.578 -0.628  0.687 -0.655  0.796 -0.683  0.904 -0.712  1.011 -0.748  1.118 -0.784  1.225 -0.819  1.332 -0.855  1.438 -0.890  1.545 -0.926
1d#apa#apa09#app0981/|  0.000 1.453  0.000 1.523  0.000 1.588  0.000 1.517  0.000 1.447  0.000 1.377  0.000 1.307  0.000 1.237  0.000 1.166  0.000 1.096  0.000 1.026  0.000 0.956  0.000 0.886  0.000 0.815  0.000 0.745  0.000 0.675  0.000 0.605  0.000 0.535  0.000 0.464  0.000 0.394  0.000 0.324  0.000 0.254  0.000 0.184  0.000 0.113  0.000 0.043  0.000 -0.027  0.000 -0.097  0.000 -0.167  0.000 -0.237  0.000 -0.308  0.000 -0.378  0.000 -0.448  0.000 -0.518  0.000 -0.588  0.000 -0.659  0.000 -0.729  0.000 -0.799  0.000 -0.869  0.000 -0.939  0.000 -1.010  0.000 -1.080  0.000 -1.150  0.000 -1.220  0.000 -1.290  0.000 -1.361  0.000 -1.431  0.000 -1.501  0.000 -1.571  0.000 -1.641  0.000 -1.711
1d#apa#apa09#app0981/>  -0.791 0.193  -0.898 0.246  -1.004 0.299  -1.110 0.352  -1.217 0.406  -1.292 0.478  -1.292 0.597  -1.270 0.693  -1.151 0.693  -1.032 0.693  -0.913 0.693  -0.794 0.693  -0.681 0.657  -0.568 0.619  -0.456 0.582  -0.343 0.544  -0.230 0.506  -0.117 0.469  -0.003 0.443  0.116 0.443  0.235 0.443  0.354 0.443  0.472 0.439  0.585 0.402  0.698 0.364  0.811 0.326  0.923 0.289  1.036 0.251  1.149 0.214  1.211 0.139  1.211 0.020  1.182 -0.086  1.098 -0.170  1.013 -0.255  0.929 -0.339  0.845 -0.423  0.761 -0.507  0.669 -0.579  0.562 -0.632  0.456 -0.685  0.350 -0.738  0.243 -0.791  0.137 -0.844  0.031 -0.898  -0.076 -0.951  -0.182 -1.004  -0.288 -1.057  -0.373 -1.140  -0.457 -1.224  -0.541 -1.309
