2#tos#t3#t3007062/!  0.048 1.623  0.070 1.643  0.090 1.578  0.105 1.510  0.131 1.444  0.131 1.372  0.131 1.299  0.131 1.227  0.131 1.155  0.131 1.083  0.131 1.010  0.131 0.938  0.131 0.866  0.131 0.794  0.131 0.722  0.131 0.649  0.131 0.577  0.121 0.506  0.104 0.436  0.090 0.365  0.090 0.293  0.090 0.221  0.090 0.149  0.076 0.078  0.059 0.008  0.048 -0.063  0.036 -0.130  -0.015 -0.181  -0.035 -0.245  -0.035 -0.317  -0.035 -0.390  -0.037 -0.462  -0.049 -0.533  -0.060 -0.604  -0.072 -0.675  -0.084 -0.747  -0.096 -0.818  -0.108 -0.889  -0.120 -0.960  -0.132 -1.032  -0.144 -1.103  -0.155 -1.174  -0.167 -1.242  -0.227 -1.282  -0.283 -1.324  -0.283 -1.396  -0.258 -1.444  -0.202 -1.483  -0.148 -1.527  -0.076 -1.527
2#tos#t3#t3007062/D  -0.311 1.034  -0.311 1.248  -0.311 1.064  -0.311 0.851  -0.311 0.637  -0.311 0.423  -0.311 0.210  -0.311 -0.004  -0.403 -0.180  -0.403 -0.394  -0.403 -0.607  -0.403 -0.821  -0.403 -1.035  -0.403 -1.248  -0.403 -1.323  -0.403 -1.109  -0.403 -0.895  -0.403 -0.682  -0.403 -0.468  -0.403 -0.254  -0.403 -0.041  -0.403 0.173  -0.403 0.387  -0.403 0.601  -0.412 0.805  -0.626 0.805  -0.572 0.988  -0.388 1.080  -0.185 1.126  0.028 1.126  0.242 1.126  0.447 1.090  0.650 1.071  0.724 0.882  0.862 0.745  0.996 0.593  1.062 0.393  1.062 0.180  1.062 -0.034  0.990 -0.202  0.913 -0.339  0.787 -0.481  0.685 -0.635  0.570 -0.791  0.443 -0.936  0.269 -1.020  0.107 -1.157  -0.081 -1.239  -0.254 -1.347  -0.449 -1.392
2#tos#t3#t3007062/F  -0.740 1.025  -0.922 0.929  -0.724 0.889  -0.486 0.889  -0.253 0.934  -0.018 0.956  0.210 1.024  0.448 1.025  0.686 1.025  0.924 1.025  0.813 1.006  0.577 0.981  0.340 0.956  0.103 0.930  -0.134 0.905  -0.285 0.803  -0.422 0.667  -0.427 0.432  -0.513 0.247  -0.513 0.008  -0.603 -0.202  -0.604 -0.440  -0.604 -0.678  -0.604 -0.917  -0.642 -1.131  -0.695 -1.337  -0.695 -1.575  -0.686 -1.466  -0.603 -1.242  -0.521 -1.019  -0.438 -0.796  -0.355 -0.572  -0.323 -0.384  -0.513 -0.467  -0.283 -0.474  -0.055 -0.428  0.172 -0.384  0.400 -0.339  0.627 -0.293  0.780 -0.190  0.823 0.044  0.867 0.278  0.817 0.434  0.734 0.252  0.715 0.034  0.715 -0.205  0.715 -0.443  0.715 -0.681  0.715 -0.919  0.760 -1.112
2#tos#t3#t3007062/H  -0.653 0.957  -0.785 0.858  -0.818 0.712  -0.851 0.565  -0.884 0.390  -0.916 0.216  -0.916 0.036  -0.944 -0.141  -0.949 -0.320  -1.022 -0.479  -1.048 -0.654  -1.048 -0.834  -1.036 -0.955  -0.968 -0.789  -0.900 -0.622  -0.832 -0.456  -0.764 -0.289  -0.895 -0.238  -0.794 -0.194  -0.614 -0.194  -0.445 -0.137  -0.267 -0.128  -0.092 -0.095  0.083 -0.069  0.262 -0.063  0.438 -0.043  0.614 -0.030  0.695 0.069  0.721 0.247  0.746 0.425  0.772 0.603  0.797 0.781  0.822 0.959  0.848 1.137  0.764 1.220  0.749 1.081  0.761 0.904  0.761 0.724  0.761 0.544  0.761 0.364  0.761 0.184  0.761 0.004  0.761 -0.175  0.761 -0.355  0.697 -0.520  0.695 -0.699  0.662 -0.872  0.662 -1.051  0.662 -1.231  0.662 -1.345
2#tos#t3#t3007062/J  -0.699 0.781  -0.823 0.739  -0.907 0.646  -0.800 0.658  -0.661 0.658  -0.522 0.658  -0.384 0.668  -0.249 0.702  -0.112 0.719  0.026 0.732  0.163 0.750  0.302 0.750  0.441 0.750  0.577 0.778  0.715 0.783  0.848 0.823  0.985 0.843  1.106 0.861  0.989 0.814  0.854 0.782  0.718 0.749  0.583 0.717  0.447 0.689  0.329 0.635  0.251 0.536  0.219 0.429  0.219 0.290  0.219 0.151  0.219 0.012  0.219 -0.128  0.219 -0.267  0.188 -0.401  0.188 -0.540  0.188 -0.679  0.158 -0.811  0.158 -0.950  0.133 -1.079  0.121 -1.214  0.066 -1.330  -0.061 -1.360  -0.200 -1.360  -0.305 -1.313  -0.423 -1.256  -0.523 -1.169  -0.633 -1.087  -0.721 -0.986  -0.795 -0.900  -0.916 -0.837  -1.018 -0.749  -1.096 -0.687
2#tos#t3#t3007062/L  -0.429 1.737  -0.429 1.645  -0.429 1.553  -0.429 1.461  -0.429 1.369  -0.429 1.277  -0.418 1.187  -0.391 1.099  -0.391 1.007  -0.391 0.915  -0.391 0.823  -0.391 0.731  -0.391 0.639  -0.391 0.547  -0.391 0.455  -0.391 0.363  -0.391 0.271  -0.400 0.180  -0.422 0.091  -0.429 -0.000  -0.429 -0.092  -0.429 -0.184  -0.429 -0.276  -0.449 -0.365  -0.493 -0.443  -0.503 -0.531  -0.503 -0.623  -0.501 -0.713  -0.409 -0.713  -0.317 -0.713  -0.225 -0.713  -0.137 -0.690  -0.047 -0.676  0.045 -0.676  0.137 -0.676  0.229 -0.676  0.321 -0.676  0.413 -0.676  0.503 -0.663  0.591 -0.639  0.683 -0.639  0.775 -0.639  0.867 -0.639  0.959 -0.639  1.031 -0.590  1.112 -0.565  1.205 -0.565  1.297 -0.565  1.389 -0.565  1.465 -0.528
2#tos#t3#t3007062/N  -0.769 1.167  -0.924 1.074  -0.924 0.778  -0.924 0.481  -0.924 0.185  -0.924 -0.112  -0.963 -0.404  -0.963 -0.700  -0.963 -0.997  -0.935 -1.135  -0.747 -0.906  -0.558 -0.677  -0.370 -0.448  -0.182 -0.219  0.006 0.010  0.195 0.240  0.383 0.469  0.571 0.698  0.759 0.927  0.790 1.160  0.751 1.072  0.790 0.815  0.828 0.524  0.830 0.228  0.867 -0.062  0.867 -0.359  0.867 -0.656  0.878 -0.948  0.869 -0.994  0.688 -0.760  0.507 -0.525  0.325 -0.291  0.144 -0.056  -0.038 0.179  -0.219 0.413  -0.401 0.648  -0.582 0.882  -0.835 0.972  -0.893 0.918  -0.732 0.713  -0.536 0.525  -0.365 0.314  -0.154 0.109  0.036 -0.117  0.254 -0.311  0.434 -0.537  0.540 -0.796  0.741 -1.005  0.924 -1.199  0.984 -1.287
2#tos#t3#t3007062/Q  -0.105 -0.627  -0.187 -0.739  -0.383 -0.739  -0.571 -0.711  -0.727 -0.664  -0.806 -0.530  -0.898 -0.386  -0.973 -0.211  -1.040 -0.058  -1.040 0.137  -1.040 0.332  -1.030 0.526  -1.002 0.716  -0.842 0.817  -0.695 0.923  -0.583 1.057  -0.444 1.160  -0.292 1.237  -0.121 1.319  0.068 1.356  0.263 1.356  0.403 1.255  0.539 1.132  0.698 1.081  0.756 0.899  0.831 0.734  0.879 0.559  0.905 0.375  0.905 0.180  0.868 0.000  0.844 -0.189  0.730 -0.330  0.634 -0.497  0.531 -0.655  0.436 -0.776  0.325 -0.889  0.191 -1.001  -0.004 -1.001  -0.105 -0.906  -0.200 -0.785  -0.254 -0.609  -0.329 -0.488  -0.217 -0.377  -0.034 -0.365  0.161 -0.365  0.325 -0.457  0.495 -0.516  0.624 -0.624  0.718 -0.768  0.793 -0.889
2#tos#t3#t3007062/R  -0.346 1.463  -0.431 1.291  -0.431 1.035  -0.431 0.778  -0.431 0.521  -0.431 0.264  -0.434 0.007  -0.474 -0.246  -0.474 -0.503  -0.474 -0.760  -0.474 -1.017  -0.431 -1.256  -0.305 -1.264  -0.309 -1.007  -0.314 -0.751  -0.318 -0.494  -0.323 -0.237  -0.327 0.020  -0.332 0.277  -0.337 0.534  -0.341 0.791  -0.346 1.048  -0.570 1.081  -0.516 1.222  -0.288 1.251  -0.031 1.251  0.224 1.245  0.418 1.102  0.641 0.975  0.839 0.868  0.920 0.640  0.952 0.406  0.886 0.197  0.723 0.025  0.546 -0.092  0.352 -0.236  0.153 -0.348  -0.098 -0.369  -0.327 -0.471  -0.581 -0.491  -0.492 -0.364  -0.235 -0.364  -0.020 -0.463  0.188 -0.579  0.379 -0.749  0.540 -0.946  0.746 -1.086  0.891 -1.261  1.097 -1.384  1.184 -1.554
2#tos#t3#t3007062/V  -0.791 1.195  -0.911 1.195  -0.834 1.117  -0.770 1.010  -0.707 0.903  -0.677 0.781  -0.668 0.657  -0.618 0.546  -0.586 0.430  -0.576 0.306  -0.545 0.186  -0.545 0.061  -0.505 -0.053  -0.463 -0.166  -0.450 -0.290  -0.422 -0.412  -0.416 -0.535  -0.346 -0.640  -0.325 -0.760  -0.269 -0.872  -0.217 -0.954  -0.217 -1.080  -0.206 -1.203  -0.176 -1.321  -0.116 -1.387  -0.079 -1.290  -0.051 -1.176  -0.012 -1.057  -0.012 -0.931  0.038 -0.821  0.100 -0.712  0.156 -0.600  0.213 -0.487  0.247 -0.368  0.267 -0.244  0.323 -0.135  0.398 -0.035  0.423 0.088  0.462 0.205  0.532 0.310  0.601 0.414  0.690 0.503  0.779 0.592  0.867 0.681  0.913 0.794  0.961 0.907  1.036 1.008  1.098 1.116  1.187 1.205  1.218 1.318
2#tos#t3#t3007062/d  0.010 -0.494  0.052 -0.332  0.010 -0.170  -0.081 -0.021  -0.246 0.065  -0.413 0.102  -0.549 -0.026  -0.664 -0.128  -0.757 -0.259  -0.826 -0.435  -0.884 -0.615  -0.884 -0.819  -0.871 -1.018  -0.772 -1.186  -0.667 -1.350  -0.478 -1.388  -0.289 -1.324  -0.160 -1.174  -0.046 -1.017  0.074 -0.855  0.136 -0.666  0.200 -0.475  0.255 -0.279  0.307 -0.086  0.324 0.118  0.347 0.321  0.370 0.524  0.393 0.727  0.416 0.930  0.439 1.133  0.462 1.335  0.485 1.538  0.508 1.741  0.422 1.847  0.350 1.690  0.331 1.497  0.265 1.334  0.265 1.130  0.233 0.933  0.180 0.741  0.156 0.541  0.137 0.340  0.137 0.136  0.137 -0.069  0.137 -0.273  0.137 -0.477  0.137 -0.682  0.174 -0.871  0.250 -1.059  0.350 -1.175
2#tos#t3#t3007062/g  0.409 0.777  0.483 0.749  0.483 0.944  0.483 1.139  0.352 1.216  0.201 1.299  0.118 1.410  -0.077 1.410  -0.225 1.363  -0.361 1.285  -0.430 1.150  -0.485 0.982  -0.485 0.786  -0.459 0.602  -0.374 0.436  -0.225 0.390  -0.052 0.367  0.143 0.367  0.329 0.404  0.500 0.479  0.558 0.638  0.577 0.777  0.546 0.604  0.521 0.414  0.488 0.227  0.446 0.042  0.394 -0.132  0.372 -0.317  0.372 -0.512  0.334 -0.701  0.297 -0.890  0.297 -1.085  0.260 -1.272  0.089 -1.331  -0.038 -1.407  -0.204 -1.458  -0.398 -1.450  -0.544 -1.354  -0.634 -1.222  -0.724 -1.108  -0.746 -0.922  -0.821 -0.773  -0.760 -0.639  -0.648 -0.527  -0.490 -0.490  -0.332 -0.452  -0.137 -0.452  0.046 -0.505  0.219 -0.581  0.334 -0.676
2#tos#t3#t3007062/i  0.355 0.327  0.218 0.327  0.160 0.345  0.160 0.208  0.160 0.071  0.209 -0.018  0.209 -0.155  0.209 -0.292  0.209 -0.429  0.209 -0.566  0.209 -0.703  0.209 -0.840  0.209 -0.977  0.209 -1.114  0.209 -1.251  0.209 -1.388  0.209 -1.525  0.209 -1.662  0.160 -1.587  0.144 -1.451  0.125 -1.315  0.107 -1.180  0.089 -1.044  0.070 -0.908  0.052 -0.772  0.033 -0.637  0.015 -0.501  -0.004 -0.365  -0.022 -0.229  -0.040 -0.093  -0.059 0.042  -0.077 0.178  -0.096 0.314  -0.114 0.450  -0.132 0.585  -0.151 0.721  -0.169 0.857  -0.188 0.993  -0.206 1.128  -0.224 1.264  -0.330 1.300  -0.467 1.300  -0.604 1.300  -0.642 1.349  -0.505 1.349  -0.368 1.349  -0.231 1.349  -0.114 1.300  0.023 1.300  0.160 1.300
2#tos#t3#t3007062/k  -0.303 2.271  -0.338 2.128  -0.303 1.951  -0.303 1.760  -0.303 1.568  -0.303 1.377  -0.303 1.186  -0.303 0.994  -0.303 0.803  -0.303 0.611  -0.303 0.420  -0.303 0.228  -0.303 0.037  -0.303 -0.154  -0.303 -0.346  -0.303 -0.537  -0.303 -0.729  -0.303 -0.920  -0.303 -1.112  -0.303 -1.303  -0.303 -1.494  -0.242 -1.449  -0.149 -1.281  -0.056 -1.114  0.036 -0.946  0.129 -0.779  0.222 -0.611  0.314 -0.444  0.407 -0.276  0.500 -0.109  0.592 0.059  0.685 0.226  0.778 0.394  0.824 0.534  0.692 0.420  0.515 0.372  0.349 0.311  0.184 0.222  0.024 0.148  -0.162 0.133  -0.341 0.076  -0.437 -0.046  -0.313 -0.172  -0.178 -0.294  -0.048 -0.433  0.114 -0.525  0.276 -0.624  0.393 -0.772  0.567 -0.826  0.722 -0.936
2#tos#t3#t3007062/l  -0.019 1.611  -0.090 1.611  -0.116 1.567  -0.116 1.497  -0.116 1.426  -0.116 1.356  -0.116 1.285  -0.116 1.215  -0.116 1.145  -0.116 1.074  -0.116 1.004  -0.116 0.933  -0.116 0.863  -0.116 0.792  -0.116 0.722  -0.116 0.651  -0.116 0.581  -0.102 0.514  -0.070 0.451  -0.068 0.381  -0.059 0.312  -0.042 0.243  -0.024 0.175  -0.019 0.105  -0.019 0.035  -0.019 -0.036  -0.019 -0.106  -0.019 -0.177  0.000 -0.244  0.023 -0.311  0.029 -0.380  0.035 -0.450  0.052 -0.518  0.069 -0.586  0.093 -0.652  0.124 -0.715  0.126 -0.785  0.126 -0.856  0.126 -0.926  0.126 -0.997  0.126 -1.067  0.126 -1.138  0.126 -1.208  0.126 -1.278  0.126 -1.349  0.126 -1.419  0.126 -1.490  0.155 -1.553  0.175 -1.619  0.175 -1.690
2#tos#t3#t3007062/o  0.845 0.398  0.732 0.366  0.700 0.512  0.628 0.598  0.516 0.687  0.357 0.687  0.270 0.759  0.136 0.818  0.055 0.903  -0.104 0.903  -0.235 0.972  -0.392 0.976  -0.551 0.976  -0.671 0.938  -0.756 0.812  -0.844 0.680  -0.888 0.535  -0.904 0.382  -0.960 0.247  -0.960 0.088  -0.960 -0.071  -0.960 -0.230  -0.960 -0.388  -0.960 -0.547  -0.960 -0.706  -0.925 -0.829  -0.766 -0.829  -0.744 -0.966  -0.594 -0.978  -0.464 -1.046  -0.305 -1.046  -0.146 -1.046  0.013 -1.046  0.172 -1.046  0.331 -1.046  0.445 -0.940  0.559 -0.829  0.668 -0.749  0.777 -0.671  0.827 -0.521  0.845 -0.365  0.865 -0.211  0.917 -0.064  0.917 0.095  0.845 0.182  0.773 0.268  0.773 0.427  0.773 0.586  0.643 0.615  0.628 0.759
2#tos#t3#t3007062/t  -0.259 0.592  -0.415 0.501  -0.578 0.438  -0.757 0.403  -0.915 0.315  -1.071 0.222  -1.248 0.205  -1.281 0.205  -1.100 0.205  -0.918 0.205  -0.736 0.205  -0.554 0.205  -0.373 0.205  -0.191 0.205  -0.009 0.205  0.173 0.205  0.351 0.229  0.528 0.270  0.710 0.270  0.892 0.270  1.074 0.270  1.245 0.313  1.171 0.399  1.012 0.486  0.853 0.574  0.693 0.661  0.534 0.749  0.375 0.837  0.216 0.924  0.056 1.012  -0.066 0.992  -0.066 0.811  -0.001 0.693  -0.013 0.516  -0.066 0.357  -0.066 0.175  -0.103 0.002  -0.130 -0.173  -0.130 -0.355  -0.130 -0.537  -0.066 -0.704  -0.066 -0.885  -0.066 -1.067  -0.041 -1.238  0.074 -1.375  0.128 -1.548  0.128 -1.730  0.227 -1.875  0.397 -1.923  0.579 -1.923
2#tos#t3#t3007062/u  -0.726 1.006  -0.844 0.966  -0.940 0.850  -0.964 0.703  -1.014 0.554  -1.025 0.399  -1.062 0.247  -1.078 0.093  -1.078 -0.064  -1.078 -0.220  -1.078 -0.377  -1.078 -0.533  -1.027 -0.638  -1.020 -0.788  -0.894 -0.823  -0.782 -0.932  -0.626 -0.932  -0.469 -0.932  -0.313 -0.930  -0.214 -0.810  -0.120 -0.688  0.011 -0.606  0.037 -0.460  0.108 -0.333  0.195 -0.205  0.265 -0.065  0.331 0.076  0.379 0.221  0.483 0.336  0.507 0.483  0.610 0.536  0.624 0.678  0.683 0.811  0.674 0.965  0.624 1.110  0.566 1.038  0.566 0.882  0.612 0.736  0.624 0.583  0.624 0.426  0.638 0.273  0.683 0.127  0.683 -0.030  0.737 -0.164  0.848 -0.275  0.904 -0.419  0.968 -0.562  1.083 -0.662  1.153 -0.776  1.212 -0.873
2#tos#t3#t3007062/x  -0.838 1.020  -1.016 1.020  -1.014 0.959  -0.888 0.833  -0.796 0.699  -0.643 0.607  -0.499 0.504  -0.483 0.333  -0.358 0.217  -0.214 0.111  -0.067 0.011  0.032 -0.137  0.096 -0.302  0.223 -0.417  0.378 -0.505  0.451 -0.659  0.587 -0.760  0.719 -0.873  0.824 -0.991  0.937 -1.043  0.937 -0.865  0.937 -0.687  0.937 -0.508  0.937 -0.330  0.937 -0.152  0.937 0.027  0.937 0.205  0.937 0.383  0.937 0.561  0.937 0.740  0.920 0.901  0.743 0.893  0.577 0.842  0.483 0.725  0.348 0.665  0.208 0.567  0.088 0.448  -0.070 0.367  -0.177 0.224  -0.281 0.080  -0.389 -0.060  -0.542 -0.151  -0.692 -0.247  -0.835 -0.354  -0.953 -0.484  -1.036 -0.640  -1.122 -0.787  -1.268 -0.889  -1.311 -1.049  -1.488 -1.050
2#tos#t3#t3007062/z  0.047 1.097  -0.107 1.073  -0.245 0.990  -0.388 0.927  -0.494 0.927  -0.334 0.927  -0.173 0.927  -0.012 0.927  0.148 0.927  0.309 0.927  0.470 0.927  0.630 0.927  0.756 1.011  0.905 1.040  0.956 0.931  0.842 0.840  0.788 0.702  0.658 0.616  0.558 0.501  0.447 0.391  0.344 0.272  0.217 0.180  0.178 0.035  0.064 -0.078  -0.085 -0.129  -0.225 -0.197  -0.338 -0.310  -0.452 -0.424  -0.603 -0.471  -0.741 -0.542  -0.854 -0.656  -0.968 -0.770  -1.109 -0.845  -1.259 -0.891  -1.171 -0.916  -1.020 -0.891  -0.860 -0.891  -0.699 -0.891  -0.538 -0.891  -0.378 -0.891  -0.231 -0.832  -0.083 -0.778  0.077 -0.772  0.234 -0.740  0.393 -0.721  0.554 -0.721  0.714 -0.721  0.875 -0.721  1.022 -0.664  1.183 -0.664
