2#apb#apb18#app1837/B  -0.756 -1.178  -0.783 -1.016  -0.825 -0.855  -0.894 -0.705  -0.983 -0.564  -1.053 -0.414  -1.076 -0.251  -1.008 -0.100  -0.925 0.044  -0.816 0.170  -0.720 0.306  -0.615 0.435  -0.499 0.553  -0.378 0.667  -0.263 0.788  -0.145 0.904  -0.015 1.009  0.114 1.113  0.244 1.217  0.392 1.290  0.551 1.332  0.709 1.313  0.819 1.192  0.863 1.033  0.821 0.872  0.773 0.713  0.698 0.565  0.624 0.416  0.523 0.285  0.410 0.163  0.296 0.042  0.169 -0.065  0.041 -0.171  -0.114 -0.219  -0.141 -0.074  -0.036 0.050  0.123 0.100  0.274 0.051  0.375 -0.075  0.462 -0.217  0.480 -0.381  0.495 -0.547  0.466 -0.709  0.421 -0.869  0.376 -1.029  0.302 -1.177  0.218 -1.321  0.135 -1.465  0.005 -1.565  -0.134 -1.656
2#apb#apb18#app1837/C  0.752 1.203  0.695 1.280  0.637 1.356  0.554 1.380  0.459 1.375  0.370 1.341  0.281 1.307  0.203 1.252  0.127 1.196  0.065 1.123  0.003 1.050  -0.054 0.974  -0.105 0.894  -0.157 0.814  -0.204 0.731  -0.240 0.643  -0.277 0.555  -0.314 0.466  -0.350 0.378  -0.383 0.289  -0.417 0.200  -0.451 0.110  -0.485 0.021  -0.514 -0.069  -0.540 -0.161  -0.566 -0.253  -0.592 -0.345  -0.606 -0.439  -0.611 -0.534  -0.615 -0.629  -0.599 -0.720  -0.556 -0.806  -0.514 -0.891  -0.439 -0.940  -0.349 -0.973  -0.260 -1.006  -0.168 -1.014  -0.073 -1.001  0.021 -0.987  0.116 -0.974  0.210 -0.961  0.301 -0.931  0.391 -0.900  0.482 -0.870  0.572 -0.840  0.663 -0.809  0.751 -0.774  0.840 -0.738  0.928 -0.703  1.017 -0.667
2#apb#apb18#app1837/e  -0.358 -0.375  -0.213 -0.375  -0.069 -0.375  0.075 -0.375  0.216 -0.346  0.357 -0.315  0.500 -0.297  0.619 -0.239  0.699 -0.119  0.779 0.001  0.831 0.131  0.849 0.274  0.820 0.414  0.779 0.552  0.734 0.689  0.689 0.826  0.645 0.963  0.619 1.105  0.593 1.247  0.494 1.341  0.367 1.390  0.224 1.370  0.111 1.285  0.003 1.189  -0.092 1.082  -0.166 0.958  -0.240 0.835  -0.314 0.711  -0.381 0.583  -0.445 0.454  -0.510 0.325  -0.572 0.195  -0.626 0.061  -0.680 -0.073  -0.733 -0.207  -0.765 -0.347  -0.794 -0.489  -0.822 -0.630  -0.830 -0.774  -0.823 -0.916  -0.734 -1.030  -0.646 -1.143  -0.518 -1.193  -0.376 -1.222  -0.235 -1.250  -0.094 -1.241  0.047 -1.209  0.188 -1.177  0.328 -1.145  0.469 -1.113
2#apb#apb18#app1837/d  1.036 1.771  0.995 1.627  0.953 1.482  0.912 1.338  0.871 1.193  0.825 1.050  0.776 0.908  0.728 0.765  0.679 0.623  0.630 0.481  0.584 0.338  0.543 0.193  0.503 0.048  0.462 -0.096  0.420 -0.241  0.375 -0.384  0.330 -0.528  0.301 -0.675  0.262 -0.578  0.234 -0.430  0.211 -0.282  0.187 -0.133  0.167 0.016  0.149 0.165  0.122 0.312  0.074 0.455  0.027 0.597  -0.103 0.658  -0.229 0.641  -0.331 0.531  -0.433 0.420  -0.521 0.299  -0.603 0.173  -0.685 0.047  -0.767 -0.079  -0.834 -0.214  -0.901 -0.348  -0.969 -0.483  -1.020 -0.624  -1.071 -0.766  -1.076 -0.912  -1.007 -1.022  -0.867 -1.078  -0.720 -1.092  -0.569 -1.092  -0.419 -1.092  -0.273 -1.061  -0.129 -1.018  0.015 -0.974  0.159 -0.930
2#apb#apb18#app1837/a  0.532 0.017  0.532 0.199  0.530 0.380  0.513 0.561  0.494 0.741  0.473 0.921  0.460 1.102  0.460 1.283  0.436 1.462  0.398 1.640  0.272 1.635  0.150 1.500  0.052 1.349  -0.029 1.187  -0.111 1.025  -0.192 0.863  -0.261 0.695  -0.330 0.528  -0.400 0.360  -0.469 0.192  -0.552 0.031  -0.639 -0.128  -0.725 -0.288  -0.810 -0.448  -0.887 -0.612  -0.964 -0.776  -1.028 -0.946  -1.004 -1.091  -0.827 -1.051  -0.669 -0.965  -0.516 -0.868  -0.362 -0.771  -0.227 -0.651  -0.095 -0.527  0.037 -0.402  0.162 -0.271  0.282 -0.135  0.402 0.001  0.532 0.127  0.629 0.157  0.596 -0.020  0.544 -0.194  0.491 -0.367  0.433 -0.539  0.373 -0.710  0.314 -0.882  0.276 -1.059  0.242 -1.237  0.242 -1.418  0.242 -1.600
2#apb#apb18#app1837/r  -0.908 -1.591  -0.856 -1.519  -0.805 -1.446  -0.753 -1.374  -0.713 -1.295  -0.675 -1.214  -0.637 -1.134  -0.599 -1.054  -0.561 -0.973  -0.523 -0.893  -0.485 -0.813  -0.452 -0.731  -0.434 -0.644  -0.417 -0.557  -0.399 -0.469  -0.382 -0.382  -0.364 -0.295  -0.347 -0.208  -0.329 -0.121  -0.312 -0.033  -0.295 0.054  -0.277 0.141  -0.260 0.228  -0.251 0.317  -0.241 0.405  -0.231 0.493  -0.221 0.582  -0.211 0.670  -0.202 0.758  -0.172 0.839  -0.115 0.899  -0.026 0.899  0.063 0.899  0.142 0.859  0.222 0.819  0.301 0.779  0.381 0.739  0.461 0.700  0.540 0.661  0.621 0.623  0.701 0.585  0.782 0.548  0.863 0.510  0.943 0.473  1.025 0.439  1.111 0.415  1.196 0.390  1.282 0.366  1.367 0.341  1.453 0.317
2#apb#apb18#app1837/F  1.099 1.054  1.031 1.138  0.962 1.221  0.883 1.295  0.799 1.363  0.705 1.410  0.599 1.431  0.511 1.380  0.426 1.312  0.367 1.224  0.314 1.129  0.262 1.035  0.215 0.938  0.174 0.837  0.133 0.737  0.092 0.637  0.051 0.537  0.010 0.437  -0.030 0.336  -0.070 0.236  -0.110 0.136  -0.151 0.035  -0.191 -0.065  -0.234 -0.164  -0.279 -0.263  -0.324 -0.361  -0.369 -0.460  -0.414 -0.558  -0.459 -0.656  -0.504 -0.755  -0.549 -0.853  -0.594 -0.951  -0.639 -1.049  -0.687 -1.146  -0.735 -1.240  -0.661 -1.173  -0.569 -1.116  -0.477 -1.059  -0.385 -1.003  -0.293 -0.946  -0.201 -0.889  -0.109 -0.832  -0.017 -0.775  0.075 -0.719  0.167 -0.662  0.180 -0.574  0.125 -0.482  0.063 -0.397  -0.042 -0.369  -0.147 -0.342
2#apb#apb18#app1837/a  0.302 -0.066  0.302 0.146  0.303 0.357  0.312 0.569  0.321 0.780  0.338 0.990  0.368 1.200  0.398 1.409  0.430 1.618  0.433 1.789  0.306 1.621  0.208 1.434  0.109 1.247  0.013 1.058  -0.082 0.869  -0.176 0.680  -0.271 0.491  -0.359 0.299  -0.443 0.104  -0.527 -0.090  -0.611 -0.284  -0.694 -0.478  -0.776 -0.673  -0.858 -0.868  -0.928 -1.067  -0.987 -1.270  -0.866 -1.335  -0.702 -1.202  -0.538 -1.068  -0.382 -0.925  -0.229 -0.779  -0.076 -0.633  0.073 -0.484  0.200 -0.315  0.327 -0.145  0.454 0.024  0.589 0.187  0.727 0.347  0.858 0.513  0.727 0.362  0.620 0.180  0.516 -0.005  0.412 -0.189  0.303 -0.370  0.193 -0.550  0.083 -0.731  -0.031 -0.909  -0.146 -1.087  -0.239 -1.275  -0.306 -1.476
2#apb#apb18#app1837/l  0.467 1.552  0.513 1.498  0.559 1.445  0.565 1.379  0.558 1.310  0.551 1.240  0.545 1.170  0.538 1.100  0.520 1.033  0.495 0.968  0.470 0.902  0.445 0.837  0.419 0.771  0.394 0.706  0.369 0.641  0.344 0.575  0.319 0.510  0.294 0.444  0.266 0.380  0.236 0.316  0.206 0.253  0.176 0.190  0.145 0.127  0.115 0.063  0.085 0.000  0.055 -0.063  0.025 -0.126  -0.006 -0.190  -0.036 -0.253  -0.066 -0.316  -0.100 -0.377  -0.138 -0.437  -0.175 -0.496  -0.212 -0.555  -0.250 -0.615  -0.287 -0.674  -0.324 -0.733  -0.362 -0.793  -0.399 -0.852  -0.436 -0.911  -0.478 -0.968  -0.523 -1.021  -0.569 -1.074  -0.615 -1.127  -0.660 -1.181  -0.706 -1.234  -0.751 -1.287  -0.805 -1.332  -0.860 -1.375  -0.915 -1.418
2#apb#apb18#app1837/l  0.536 1.610  0.517 1.543  0.498 1.477  0.480 1.410  0.461 1.343  0.442 1.276  0.424 1.209  0.405 1.143  0.387 1.076  0.368 1.009  0.349 0.942  0.331 0.875  0.312 0.808  0.293 0.742  0.275 0.675  0.256 0.608  0.232 0.543  0.207 0.478  0.181 0.414  0.156 0.349  0.130 0.285  0.105 0.220  0.079 0.156  0.054 0.091  0.028 0.027  0.003 -0.038  -0.023 -0.102  -0.048 -0.167  -0.074 -0.231  -0.099 -0.296  -0.125 -0.360  -0.150 -0.425  -0.176 -0.489  -0.202 -0.553  -0.228 -0.617  -0.255 -0.682  -0.281 -0.746  -0.307 -0.810  -0.333 -0.874  -0.359 -0.938  -0.385 -1.003  -0.412 -1.067  -0.433 -1.133  -0.454 -1.199  -0.475 -1.265  -0.496 -1.331  -0.517 -1.397  -0.538 -1.463  -0.559 -1.529  -0.580 -1.596
2#apb#apb18#app1837/s  0.290 -0.076  0.305 0.026  0.319 0.127  0.334 0.229  0.348 0.330  0.359 0.432  0.364 0.534  0.368 0.637  0.373 0.739  0.377 0.842  0.376 0.944  0.371 1.046  0.366 1.149  0.361 1.251  0.357 1.354  0.337 1.372  0.303 1.276  0.282 1.176  0.261 1.076  0.240 0.975  0.219 0.875  0.198 0.775  0.175 0.675  0.153 0.575  0.130 0.475  0.108 0.375  0.085 0.275  0.063 0.175  0.039 0.075  0.014 -0.024  -0.012 -0.124  -0.038 -0.223  -0.063 -0.322  -0.089 -0.421  -0.114 -0.521  -0.144 -0.619  -0.181 -0.714  -0.219 -0.809  -0.256 -0.905  -0.293 -1.000  -0.331 -1.096  -0.394 -1.177  -0.457 -1.257  -0.521 -1.338  -0.586 -1.416  -0.665 -1.481  -0.745 -1.546  -0.825 -1.606  -0.922 -1.573  -1.019 -1.541
2#apb#apb18#app1837/C  1.078 0.773  1.018 0.838  0.948 0.892  0.877 0.946  0.796 0.982  0.714 1.017  0.631 1.048  0.545 1.070  0.459 1.093  0.371 1.110  0.284 1.128  0.201 1.102  0.118 1.069  0.052 1.017  0.003 0.942  -0.045 0.867  -0.092 0.792  -0.137 0.715  -0.183 0.639  -0.228 0.562  -0.263 0.481  -0.293 0.397  -0.323 0.313  -0.354 0.230  -0.377 0.144  -0.397 0.057  -0.417 -0.029  -0.437 -0.116  -0.457 -0.203  -0.474 -0.290  -0.491 -0.377  -0.507 -0.465  -0.520 -0.552  -0.516 -0.641  -0.512 -0.730  -0.505 -0.819  -0.474 -0.902  -0.444 -0.985  -0.410 -1.067  -0.341 -1.123  -0.271 -1.178  -0.198 -1.222  -0.109 -1.226  -0.020 -1.230  0.069 -1.233  0.156 -1.218  0.241 -1.192  0.326 -1.167  0.411 -1.141  0.496 -1.116
2#apb#apb18#app1837/o  -0.118 -0.917  -0.015 -0.762  0.081 -0.603  0.159 -0.435  0.236 -0.265  0.260 -0.081  0.284 0.104  0.308 0.288  0.321 0.473  0.311 0.659  0.302 0.845  0.292 1.030  0.279 1.216  0.265 1.402  0.125 1.484  -0.007 1.370  -0.110 1.215  -0.205 1.055  -0.285 0.887  -0.365 0.719  -0.445 0.551  -0.512 0.378  -0.573 0.203  -0.635 0.027  -0.696 -0.149  -0.757 -0.324  -0.819 -0.500  -0.881 -0.675  -0.883 -0.861  -0.883 -1.047  -0.847 -1.229  -0.755 -1.376  -0.594 -1.428  -0.420 -1.364  -0.264 -1.270  -0.133 -1.138  -0.001 -1.007  0.130 -0.875  0.252 -0.737  0.335 -0.570  0.419 -0.404  0.502 -0.237  0.585 -0.071  0.653 0.102  0.721 0.275  0.789 0.449  0.855 0.622  0.884 0.806  0.913 0.990  0.942 1.174
2#apb#apb18#app1837/r  -0.991 -1.357  -1.026 -1.287  -1.023 -1.216  -0.996 -1.144  -0.968 -1.071  -0.940 -0.999  -0.913 -0.926  -0.885 -0.854  -0.858 -0.781  -0.822 -0.713  -0.779 -0.648  -0.736 -0.583  -0.694 -0.519  -0.651 -0.454  -0.609 -0.389  -0.566 -0.324  -0.523 -0.259  -0.481 -0.194  -0.438 -0.130  -0.395 -0.065  -0.353 0.000  -0.310 0.065  -0.261 0.125  -0.205 0.178  -0.149 0.232  -0.093 0.286  -0.037 0.339  0.019 0.393  0.075 0.447  0.131 0.500  0.187 0.554  0.243 0.608  0.300 0.659  0.375 0.679  0.450 0.699  0.525 0.719  0.600 0.739  0.674 0.749  0.746 0.719  0.817 0.690  0.889 0.660  0.961 0.631  1.032 0.601  1.094 0.558  1.143 0.498  1.192 0.438  1.241 0.377  1.290 0.317  1.339 0.257  1.387 0.197
2#apb#apb18#app1837/a  0.750 0.537  0.750 0.743  0.740 0.948  0.664 1.140  0.678 1.340  0.666 1.540  0.585 1.693  0.430 1.555  0.298 1.399  0.183 1.227  0.069 1.055  -0.039 0.879  -0.137 0.697  -0.234 0.515  -0.332 0.332  -0.430 0.150  -0.527 -0.032  -0.625 -0.213  -0.723 -0.395  -0.800 -0.587  -0.868 -0.782  -0.935 -0.977  -0.984 -1.178  -0.849 -1.133  -0.704 -0.987  -0.563 -0.836  -0.424 -0.683  -0.303 -0.516  -0.181 -0.349  -0.060 -0.182  0.055 -0.010  0.167 0.163  0.276 0.339  0.368 0.524  0.454 0.711  0.405 0.582  0.326 0.391  0.245 0.201  0.148 0.019  0.052 -0.164  -0.018 -0.358  -0.077 -0.556  -0.132 -0.755  -0.148 -0.961  -0.108 -1.154  0.013 -1.305  0.216 -1.320  0.385 -1.201  0.555 -1.083  0.724 -0.964
2#apb#apb18#app1837/l  0.285 1.671  0.280 1.602  0.275 1.533  0.270 1.463  0.265 1.394  0.260 1.325  0.255 1.256  0.250 1.187  0.243 1.118  0.233 1.049  0.223 0.980  0.214 0.911  0.204 0.843  0.194 0.774  0.184 0.705  0.174 0.637  0.165 0.568  0.155 0.499  0.139 0.432  0.121 0.365  0.104 0.297  0.087 0.230  0.070 0.163  0.053 0.096  0.035 0.029  0.018 -0.039  0.001 -0.106  -0.016 -0.173  -0.033 -0.240  -0.051 -0.308  -0.068 -0.375  -0.084 -0.442  -0.101 -0.510  -0.118 -0.577  -0.135 -0.644  -0.152 -0.712  -0.168 -0.779  -0.185 -0.846  -0.202 -0.913  -0.219 -0.981  -0.236 -1.048  -0.254 -1.115  -0.274 -1.182  -0.293 -1.248  -0.312 -1.315  -0.332 -1.381  -0.351 -1.448  -0.371 -1.515  -0.390 -1.581  -0.409 -1.648
2#apb#apb18#app1837/G  0.822 0.860  0.780 0.986  0.719 1.103  0.644 1.214  0.578 1.329  0.497 1.434  0.400 1.525  0.279 1.534  0.171 1.457  0.095 1.351  0.031 1.234  -0.030 1.115  -0.088 0.995  -0.146 0.876  -0.204 0.756  -0.256 0.633  -0.308 0.510  -0.361 0.388  -0.412 0.265  -0.453 0.138  -0.494 0.011  -0.535 -0.116  -0.576 -0.242  -0.617 -0.369  -0.658 -0.496  -0.699 -0.623  -0.712 -0.755  -0.723 -0.888  -0.697 -1.018  -0.634 -1.123  -0.516 -1.186  -0.383 -1.186  -0.253 -1.174  -0.136 -1.110  -0.019 -1.046  0.071 -0.949  0.157 -0.847  0.219 -0.733  0.257 -0.605  0.241 -0.474  0.157 -0.375  0.032 -0.356  0.035 -0.469  0.144 -0.542  0.276 -0.558  0.409 -0.560  0.542 -0.549  0.670 -0.515  0.792 -0.466  0.895 -0.382
2#apb#apb18#app1837/a  0.489 0.010  0.489 0.192  0.489 0.375  0.489 0.558  0.489 0.741  0.489 0.924  0.489 1.106  0.506 1.287  0.554 1.463  0.580 1.644  0.577 1.657  0.475 1.504  0.374 1.352  0.274 1.199  0.176 1.045  0.077 0.891  -0.021 0.737  -0.114 0.579  -0.202 0.420  -0.291 0.260  -0.380 0.100  -0.468 -0.060  -0.555 -0.221  -0.642 -0.382  -0.729 -0.543  -0.799 -0.711  -0.862 -0.883  -0.925 -1.054  -0.993 -1.224  -0.974 -1.381  -0.800 -1.323  -0.649 -1.224  -0.507 -1.110  -0.364 -0.996  -0.228 -0.875  -0.113 -0.733  0.002 -0.591  0.117 -0.449  0.226 -0.302  0.329 -0.151  0.433 -0.000  0.551 0.139  0.525 0.077  0.432 -0.081  0.350 -0.244  0.268 -0.408  0.188 -0.572  0.126 -0.744  0.064 -0.916  -0.008 -1.084
2#apb#apb18#app1837/b  0.546 2.014  0.649 1.956  0.603 1.826  0.557 1.695  0.509 1.566  0.460 1.437  0.411 1.307  0.362 1.178  0.302 1.054  0.235 0.933  0.169 0.812  0.102 0.691  0.036 0.569  -0.032 0.449  -0.100 0.328  -0.167 0.208  -0.235 0.087  -0.303 -0.033  -0.360 -0.159  -0.418 -0.285  -0.475 -0.410  -0.544 -0.530  -0.623 -0.643  -0.701 -0.757  -0.642 -0.688  -0.546 -0.590  -0.446 -0.495  -0.346 -0.399  -0.246 -0.304  -0.148 -0.206  -0.050 -0.109  0.048 -0.011  0.147 0.085  0.275 0.136  0.385 0.096  0.422 -0.028  0.429 -0.166  0.429 -0.303  0.378 -0.432  0.328 -0.561  0.278 -0.689  0.203 -0.805  0.123 -0.918  0.044 -1.031  -0.053 -1.127  -0.162 -1.212  -0.271 -1.297  -0.392 -1.362  -0.521 -1.412  -0.649 -1.462
