3#app#app31#app3175/P  -0.342 0.315  -0.215 0.419  -0.134 0.569  -0.238 0.758  -0.134 0.723  -0.121 0.495  -0.031 0.285  -0.031 0.054  -0.031 -0.177  -0.031 -0.408  -0.031 -0.639  -0.031 -0.870  -0.077 -1.082  -0.134 -1.289  -0.134 -1.520  -0.134 -1.751  -0.033 -1.854  -0.071 -1.626  -0.109 -1.398  -0.147 -1.170  -0.185 -0.942  -0.223 -0.714  -0.261 -0.486  -0.299 -0.258  -0.337 -0.030  -0.481 0.143  -0.550 0.345  -0.550 0.576  -0.550 0.807  -0.406 0.979  -0.242 1.142  -0.079 1.305  0.115 1.395  0.320 1.458  0.552 1.458  0.783 1.458  0.878 1.276  0.904 1.056  0.904 0.825  0.808 0.634  0.793 0.408  0.665 0.216  0.521 0.036  0.368 -0.134  0.255 -0.334  0.069 -0.466  -0.146 -0.527  -0.338 -0.620  -0.533 -0.532  -0.550 -0.308
3#app#app31#app3175/l  -0.037 1.550  -0.037 1.622  -0.037 1.600  -0.037 1.528  -0.037 1.456  -0.037 1.385  -0.037 1.313  -0.037 1.241  -0.037 1.169  -0.037 1.097  -0.037 1.025  -0.037 0.953  -0.037 0.881  -0.037 0.809  -0.037 0.738  -0.037 0.666  -0.037 0.594  -0.037 0.522  -0.037 0.450  -0.037 0.378  -0.037 0.306  -0.037 0.234  -0.037 0.162  -0.037 0.090  -0.037 0.019  -0.037 -0.053  -0.037 -0.125  -0.037 -0.197  -0.037 -0.269  -0.037 -0.341  -0.037 -0.413  -0.037 -0.485  -0.037 -0.557  -0.037 -0.629  -0.037 -0.700  -0.037 -0.772  -0.037 -0.844  -0.037 -0.916  -0.033 -0.987  -0.001 -1.051  0.031 -1.116  0.060 -1.181  0.060 -1.253  0.060 -1.325  0.089 -1.367  0.157 -1.371  0.157 -1.443  0.208 -1.464  0.280 -1.464  0.352 -1.464
3#app#app31#app3175/a  0.030 0.723  -0.152 0.723  -0.334 0.723  -0.516 0.723  -0.697 0.723  -0.879 0.723  -1.042 0.678  -1.171 0.550  -1.255 0.403  -1.255 0.221  -1.255 0.040  -1.255 -0.142  -1.255 -0.324  -1.255 -0.506  -1.130 -0.562  -0.998 -0.612  -0.998 -0.794  -0.842 -0.819  -0.660 -0.819  -0.478 -0.819  -0.296 -0.819  -0.148 -0.739  -0.019 -0.611  0.142 -0.562  0.287 -0.524  0.287 -0.343  0.388 -0.203  0.517 -0.075  0.544 0.096  0.544 0.278  0.544 0.460  0.719 0.466  0.800 0.566  0.800 0.748  0.800 0.930  0.669 0.980  0.544 0.923  0.544 0.742  0.544 0.560  0.544 0.378  0.544 0.196  0.544 0.015  0.628 -0.132  0.756 -0.261  0.800 -0.424  0.844 -0.562  1.026 -0.562  1.057 -0.712  1.133 -0.819  1.314 -0.819
3#app#app31#app3175/s  0.313 1.351  0.202 1.351  0.091 1.351  -0.020 1.351  -0.130 1.351  -0.241 1.351  -0.352 1.351  -0.463 1.351  -0.568 1.345  -0.568 1.234  -0.568 1.123  -0.568 1.013  -0.568 0.902  -0.568 0.791  -0.568 0.680  -0.568 0.569  -0.560 0.462  -0.482 0.383  -0.403 0.305  -0.325 0.227  -0.247 0.148  -0.168 0.070  -0.128 -0.024  -0.128 -0.135  -0.073 -0.191  0.038 -0.191  0.132 -0.231  0.211 -0.309  0.289 -0.388  0.367 -0.466  0.446 -0.544  0.524 -0.623  0.631 -0.632  0.742 -0.632  0.753 -0.731  0.753 -0.842  0.753 -0.953  0.753 -1.064  0.651 -1.072  0.540 -1.072  0.429 -1.072  0.319 -1.072  0.208 -1.072  0.097 -1.072  -0.014 -1.072  -0.125 -1.072  -0.128 -0.964  -0.128 -0.853  -0.237 -0.852  -0.348 -0.852
3#app#app31#app3175/s  0.868 1.414  0.868 1.302  0.810 1.247  0.698 1.247  0.585 1.247  0.473 1.247  0.360 1.247  0.248 1.247  0.153 1.203  0.074 1.123  -0.021 1.079  -0.133 1.079  -0.214 1.003  -0.294 0.923  -0.306 0.816  -0.306 0.703  -0.306 0.591  -0.306 0.478  -0.306 0.366  -0.306 0.253  -0.234 0.170  -0.155 0.090  -0.138 -0.015  -0.114 -0.118  -0.035 -0.197  0.051 -0.262  0.164 -0.262  0.253 -0.318  0.333 -0.397  0.412 -0.477  0.492 -0.556  0.532 -0.652  0.532 -0.764  0.532 -0.877  0.475 -0.932  0.362 -0.932  0.250 -0.932  0.137 -0.932  0.025 -0.932  -0.088 -0.932  -0.200 -0.932  -0.313 -0.932  -0.425 -0.932  -0.538 -0.932  -0.650 -0.932  -0.763 -0.932  -0.875 -0.932  -0.967 -0.940  -0.888 -1.020  -0.808 -1.100
3#app#app31#app3175/p  0.255 -0.107  0.255 0.138  0.405 0.232  0.405 0.476  0.405 0.721  0.255 0.815  0.255 0.832  0.255 0.587  0.148 0.387  0.104 0.161  0.104 -0.084  0.104 -0.328  0.031 -0.555  -0.046 -0.781  -0.046 -1.025  -0.125 -1.237  -0.196 -1.452  -0.196 -1.696  -0.196 -1.941  -0.196 -1.935  -0.196 -1.691  -0.311 -1.494  -0.346 -1.264  -0.346 -1.020  -0.497 -0.838  -0.497 -0.593  -0.497 -0.349  -0.497 -0.105  -0.497 0.140  -0.469 0.372  -0.346 0.566  -0.336 0.806  -0.196 0.992  -0.096 1.195  -0.025 1.406  0.193 1.516  0.430 1.546  0.640 1.462  0.705 1.245  0.705 1.001  0.572 0.812  0.456 0.597  0.405 0.365  0.247 0.186  0.104 0.001  -0.032 -0.107  -0.214 -0.257  -0.346 -0.144  -0.346 0.100  -0.346 0.344
3#app#app31#app3175/l  0.165 1.017  0.165 1.095  0.165 1.172  0.165 1.249  0.165 1.326  0.165 1.403  0.165 1.446  0.165 1.368  0.165 1.291  0.165 1.214  0.165 1.137  0.165 1.060  0.165 0.983  0.165 0.905  0.165 0.828  0.165 0.751  0.165 0.674  0.165 0.597  0.142 0.525  0.107 0.456  0.073 0.387  0.054 0.314  0.054 0.237  0.054 0.160  0.054 0.083  0.050 0.007  0.015 -0.062  -0.019 -0.131  -0.054 -0.200  -0.058 -0.277  -0.058 -0.354  -0.058 -0.431  -0.058 -0.508  -0.058 -0.585  -0.062 -0.661  -0.096 -0.730  -0.131 -0.799  -0.165 -0.868  -0.169 -0.945  -0.169 -1.022  -0.169 -1.099  -0.204 -1.168  -0.238 -1.237  -0.273 -1.306  -0.280 -1.381  -0.280 -1.459  -0.280 -1.536  -0.280 -1.613  -0.246 -1.656  -0.169 -1.656
3#app#app31#app3175/a  0.489 0.920  0.359 1.050  0.202 1.113  0.043 1.053  -0.087 0.924  -0.269 0.920  -0.452 0.920  -0.589 0.807  -0.719 0.678  -0.849 0.548  -0.979 0.418  -1.109 0.288  -1.239 0.158  -1.250 -0.021  -1.250 -0.204  -1.250 -0.388  -1.112 -0.433  -1.057 -0.562  -0.938 -0.626  -0.754 -0.626  -0.570 -0.626  -0.413 -0.562  -0.283 -0.433  -0.099 -0.433  0.033 -0.310  0.163 -0.180  0.293 -0.050  0.423 0.080  0.552 0.210  0.682 0.340  0.683 0.523  0.683 0.707  0.683 0.890  0.528 0.920  0.489 0.775  0.489 0.592  0.489 0.408  0.489 0.224  0.489 0.041  0.489 -0.143  0.489 -0.327  0.489 -0.510  0.489 -0.694  0.489 -0.877  0.538 -1.013  0.683 -1.051  0.683 -1.235  0.702 -1.399  0.885 -1.399  1.069 -1.399
3#app#app31#app3175/t  -0.096 1.747  -0.096 1.887  -0.096 1.732  -0.096 1.576  -0.096 1.421  -0.070 1.277  0.040 1.167  0.051 1.017  0.051 0.862  0.051 0.706  0.051 0.551  0.051 0.396  0.051 0.241  0.051 0.086  0.051 -0.070  0.051 -0.225  0.051 -0.380  0.051 -0.535  0.051 -0.690  0.051 -0.846  0.051 -1.001  0.051 -1.156  0.098 -1.300  0.167 -1.439  0.199 -1.587  0.290 -1.651  0.303 -1.563  0.233 -1.424  0.164 -1.285  0.095 -1.147  0.025 -1.008  -0.044 -0.869  -0.114 -0.730  -0.183 -0.591  -0.252 -0.453  -0.322 -0.314  -0.391 -0.175  -0.461 -0.036  -0.530 0.103  -0.539 0.256  -0.539 0.411  -0.434 0.522  -0.296 0.565  -0.141 0.565  0.014 0.565  0.169 0.565  0.324 0.565  0.480 0.565  0.635 0.565  0.790 0.565
3#app#app31#app3175/e  -1.057 -0.189  -1.057 -0.019  -0.940 0.033  -0.771 0.033  -0.604 0.041  -0.484 0.161  -0.354 0.256  -0.184 0.256  -0.015 0.256  0.126 0.326  0.245 0.446  0.402 0.478  0.572 0.478  0.739 0.487  0.891 0.563  1.043 0.638  1.167 0.731  1.167 0.901  1.019 0.923  0.849 0.923  0.680 0.923  0.510 0.923  0.341 0.923  0.202 0.848  0.082 0.728  -0.076 0.701  -0.246 0.701  -0.408 0.683  -0.528 0.563  -0.612 0.428  -0.612 0.258  -0.730 0.138  -0.835 0.011  -0.835 -0.158  -0.835 -0.328  -0.835 -0.497  -0.811 -0.657  -0.691 -0.777  -0.554 -0.856  -0.386 -0.860  -0.266 -0.980  -0.138 -1.079  0.032 -1.079  0.202 -1.079  0.371 -1.079  0.536 -1.097  0.688 -1.173  0.840 -1.249  0.997 -1.301  1.167 -1.301
3#app#app31#app3175/s  0.529 1.258  0.419 1.258  0.327 1.301  0.249 1.378  0.155 1.416  0.046 1.416  -0.064 1.416  -0.154 1.369  -0.232 1.291  -0.265 1.195  -0.265 1.085  -0.265 0.975  -0.265 0.865  -0.265 0.755  -0.265 0.645  -0.204 0.561  -0.127 0.483  -0.107 0.381  -0.077 0.290  0.021 0.240  0.119 0.191  0.216 0.140  0.294 0.063  0.370 -0.016  0.370 -0.126  0.415 -0.217  0.492 -0.295  0.570 -0.372  0.648 -0.450  0.688 -0.543  0.688 -0.653  0.688 -0.763  0.623 -0.808  0.514 -0.808  0.404 -0.808  0.294 -0.808  0.184 -0.808  0.074 -0.808  -0.036 -0.808  -0.144 -0.821  -0.248 -0.856  -0.352 -0.890  -0.457 -0.925  -0.561 -0.960  -0.669 -0.967  -0.779 -0.967  -0.889 -0.967  -0.901 -1.065  -0.901 -1.175  -0.901 -1.285
3#app#app31#app3175/w  -0.974 -0.039  -0.974 0.083  -0.925 0.156  -0.803 0.156  -0.779 0.254  -0.779 0.376  -0.779 0.498  -0.779 0.620  -0.779 0.742  -0.779 0.864  -0.779 0.886  -0.779 0.764  -0.779 0.642  -0.779 0.520  -0.779 0.398  -0.779 0.276  -0.779 0.154  -0.779 0.032  -0.779 -0.090  -0.779 -0.212  -0.779 -0.334  -0.752 -0.429  -0.630 -0.429  -0.508 -0.429  -0.386 -0.429  -0.264 -0.429  -0.194 -0.481  -0.194 -0.603  -0.093 -0.624  0.029 -0.624  0.151 -0.624  0.273 -0.624  0.395 -0.624  0.517 -0.624  0.623 -0.586  0.709 -0.500  0.802 -0.429  0.924 -0.429  0.976 -0.359  0.976 -0.237  1.060 -0.150  1.146 -0.063  1.233 0.023  1.319 0.109  1.366 0.212  1.366 0.334  1.440 0.425  1.526 0.511  1.561 0.619  1.561 0.741
3#app#app31#app3175/e  0.012 -0.196  0.012 -0.052  0.012 0.092  0.068 0.180  0.201 0.192  0.201 0.336  0.279 0.447  0.381 0.549  0.522 0.557  0.640 0.619  0.741 0.721  0.765 0.855  0.765 0.999  0.743 1.121  0.599 1.121  0.455 1.121  0.311 1.121  0.167 1.121  0.023 1.121  -0.082 1.027  -0.184 0.925  -0.285 0.824  -0.397 0.745  -0.541 0.745  -0.646 0.651  -0.741 0.547  -0.741 0.403  -0.741 0.259  -0.741 0.115  -0.741 -0.029  -0.741 -0.173  -0.741 -0.317  -0.741 -0.461  -0.741 -0.605  -0.741 -0.749  -0.608 -0.761  -0.552 -0.849  -0.508 -0.949  -0.364 -0.949  -0.262 -1.051  -0.154 -1.137  -0.010 -1.137  0.134 -1.137  0.278 -1.137  0.422 -1.137  0.566 -1.137  0.710 -1.137  0.854 -1.137  0.998 -1.137  1.142 -1.137
3#app#app31#app3175/r  -0.191 -0.264  -0.302 -0.264  -0.379 -0.297  -0.379 -0.408  -0.426 -0.499  -0.505 -0.577  -0.566 -0.662  -0.566 -0.773  -0.566 -0.883  -0.566 -0.994  -0.566 -1.104  -0.566 -1.215  -0.566 -1.325  -0.566 -1.343  -0.566 -1.232  -0.510 -1.145  -0.432 -1.067  -0.379 -0.978  -0.379 -0.868  -0.330 -0.777  -0.251 -0.699  -0.191 -0.614  -0.191 -0.503  -0.191 -0.392  -0.191 -0.282  -0.126 -0.198  -0.048 -0.120  0.012 -0.030  0.047 0.075  0.081 0.179  0.116 0.284  0.151 0.389  0.190 0.492  0.268 0.570  0.346 0.648  0.371 0.748  0.371 0.859  0.371 0.970  0.393 1.071  0.472 1.149  0.550 1.227  0.559 1.334  0.579 1.424  0.690 1.424  0.746 1.370  0.746 1.259  0.786 1.158  0.835 1.059  0.885 0.960  0.934 0.861
3#app#app31#app3175/e  -0.154 0.288  -0.154 0.423  -0.072 0.474  0.062 0.474  0.197 0.474  0.331 0.474  0.465 0.474  0.599 0.474  0.733 0.474  0.775 0.566  0.747 0.689  0.652 0.784  0.557 0.879  0.462 0.973  0.352 1.032  0.218 1.032  0.084 1.032  -0.050 1.032  -0.185 1.032  -0.319 1.032  -0.391 0.931  -0.451 0.811  -0.511 0.691  -0.626 0.660  -0.712 0.612  -0.712 0.478  -0.712 0.344  -0.712 0.210  -0.712 0.076  -0.712 -0.059  -0.712 -0.193  -0.712 -0.327  -0.708 -0.459  -0.613 -0.554  -0.526 -0.653  -0.526 -0.787  -0.432 -0.827  -0.311 -0.857  -0.216 -0.952  -0.112 -1.034  0.008 -1.094  0.128 -1.154  0.252 -1.199  0.386 -1.199  0.520 -1.199  0.654 -1.199  0.787 -1.205  0.907 -1.265  1.027 -1.325  1.147 -1.385
