3#apa#apa10#app1033/B  -0.236 1.313  -0.236 1.061  -0.236 0.809  -0.236 0.557  -0.236 0.306  -0.236 0.054  -0.236 -0.198  -0.236 -0.450  -0.162 -0.690  -0.099 -0.931  -0.137 -0.855  -0.194 -0.610  -0.252 -0.365  -0.310 -0.120  -0.367 0.125  -0.425 0.370  -0.483 0.615  -0.540 0.861  -0.598 1.106  -0.608 1.313  -0.356 1.313  -0.104 1.313  0.148 1.313  0.399 1.313  0.590 1.169  0.703 0.944  0.659 0.707  0.565 0.483  0.326 0.404  0.085 0.331  -0.159 0.270  -0.395 0.194  -0.422 0.058  -0.178 -0.003  0.065 -0.068  0.299 -0.162  0.533 -0.255  0.767 -0.346  1.006 -0.426  1.135 -0.585  1.060 -0.799  0.858 -0.950  0.657 -1.101  0.427 -1.194  0.183 -1.255  -0.062 -1.311  -0.309 -1.360  -0.556 -1.410  -0.806 -1.428  -1.058 -1.428
3#apa#apa10#app1033/t  0.412 1.568  0.535 1.691  0.555 1.682  0.465 1.533  0.376 1.384  0.287 1.235  0.197 1.086  0.108 0.937  0.011 0.795  -0.112 0.672  -0.235 0.549  -0.354 0.423  -0.458 0.284  -0.562 0.145  -0.666 0.006  -0.771 -0.133  -0.875 -0.272  -0.890 -0.440  -0.890 -0.614  -0.890 -0.788  -0.812 -0.929  -0.684 -1.043  -0.519 -1.098  -0.354 -1.153  -0.189 -1.208  -0.021 -1.197  0.150 -1.163  0.320 -1.129  0.490 -1.095  0.661 -1.061  0.818 -1.003  0.941 -0.880  0.870 -0.764  0.738 -0.651  0.606 -0.538  0.474 -0.425  0.343 -0.312  0.211 -0.199  0.079 -0.086  -0.053 0.027  -0.185 0.140  -0.317 0.253  -0.486 0.266  -0.392 0.329  -0.237 0.407  -0.076 0.470  0.093 0.512  0.261 0.554  0.430 0.596  0.598 0.638
3#apa#apa10#app1033/h  0.526 1.570  0.526 1.685  0.518 1.782  0.436 1.700  0.354 1.618  0.288 1.526  0.245 1.418  0.202 1.311  0.159 1.204  0.116 1.096  0.073 0.989  0.030 0.881  -0.013 0.774  -0.056 0.667  -0.099 0.559  -0.142 0.452  -0.185 0.344  -0.228 0.237  -0.270 0.130  -0.313 0.022  -0.356 -0.085  -0.399 -0.193  -0.442 -0.300  -0.485 -0.407  -0.528 -0.515  -0.571 -0.622  -0.575 -0.737  -0.575 -0.853  -0.575 -0.969  -0.575 -1.057  -0.575 -0.941  -0.557 -0.833  -0.475 -0.751  -0.393 -0.670  -0.297 -0.611  -0.187 -0.575  -0.077 -0.538  0.032 -0.502  0.142 -0.465  0.252 -0.429  0.365 -0.411  0.480 -0.411  0.526 -0.481  0.526 -0.597  0.526 -0.712  0.526 -0.828  0.526 -0.944  0.526 -1.059  0.526 -1.175  0.526 -1.291
3#apa#apa10#app1033/a  1.094 0.387  0.956 0.456  0.818 0.526  0.679 0.595  0.556 0.673  0.556 0.828  0.499 0.925  0.344 0.925  0.190 0.925  0.035 0.925  -0.120 0.925  -0.272 0.915  -0.410 0.846  -0.548 0.776  -0.687 0.707  -0.817 0.627  -0.927 0.518  -1.036 0.409  -1.113 0.276  -1.182 0.138  -1.251 -0.000  -1.320 -0.139  -1.263 -0.277  -1.194 -0.415  -1.125 -0.554  -1.053 -0.689  -0.899 -0.689  -0.746 -0.675  -0.600 -0.626  -0.453 -0.577  -0.306 -0.528  -0.160 -0.479  -0.013 -0.430  0.140 -0.420  0.291 -0.413  0.360 -0.275  0.429 -0.137  0.498 0.002  0.581 0.118  0.735 0.118  0.825 0.054  0.825 -0.101  0.825 -0.255  0.825 -0.410  0.825 -0.565  0.825 -0.719  0.825 -0.874  0.876 -1.008  0.985 -1.117  1.094 -1.226
3#apa#apa10#app1033/t  0.892 1.347  0.827 1.478  0.761 1.608  0.685 1.669  0.582 1.566  0.479 1.463  0.376 1.360  0.273 1.257  0.176 1.149  0.111 1.019  0.045 0.888  -0.020 0.758  -0.085 0.627  -0.150 0.497  -0.215 0.367  -0.280 0.236  -0.346 0.106  -0.411 -0.025  -0.476 -0.155  -0.518 -0.291  -0.518 -0.437  -0.518 -0.582  -0.518 -0.728  -0.518 -0.874  -0.484 -1.012  -0.419 -1.142  -0.354 -1.272  -0.223 -1.296  -0.077 -1.296  0.069 -1.296  0.215 -1.296  0.360 -1.296  0.427 -1.168  0.492 -1.038  0.513 -0.913  0.420 -0.801  0.327 -0.689  0.233 -0.577  0.140 -0.465  0.047 -0.353  -0.047 -0.241  -0.140 -0.129  -0.233 -0.017  -0.327 0.095  -0.428 0.200  -0.500 0.290  -0.354 0.290  -0.208 0.290  -0.092 0.363  0.011 0.466
3#apa#apa10#app1033/d  0.205 0.030  0.371 0.040  0.235 0.176  0.056 0.206  -0.136 0.206  -0.328 0.204  -0.499 0.118  -0.671 0.032  -0.842 -0.053  -1.014 -0.139  -1.107 -0.303  -1.193 -0.475  -1.279 -0.646  -1.364 -0.818  -1.273 -0.961  -1.137 -1.096  -0.992 -1.193  -0.810 -1.132  -0.628 -1.071  -0.460 -0.989  -0.324 -0.853  -0.189 -0.717  -0.053 -0.582  0.071 -0.437  0.177 -0.277  0.284 -0.117  0.388 0.043  0.474 0.215  0.560 0.386  0.646 0.558  0.732 0.729  0.734 0.921  0.734 1.112  0.734 1.304  0.734 1.496  0.734 1.545  0.695 1.362  0.610 1.191  0.524 1.019  0.438 0.848  0.382 0.669  0.382 0.477  0.382 0.286  0.382 0.094  0.382 -0.098  0.382 -0.290  0.382 -0.482  0.437 -0.664  0.497 -0.846  0.558 -1.028
3#apa#apa10#app1033/i  0.076 0.324  0.076 0.462  0.013 0.536  -0.125 0.536  -0.225 0.446  -0.323 0.349  -0.347 0.221  -0.347 0.084  -0.347 -0.054  -0.347 -0.192  -0.353 -0.329  -0.397 -0.459  -0.440 -0.590  -0.484 -0.721  -0.527 -0.851  -0.559 -0.984  -0.559 -1.121  -0.458 -1.158  -0.321 -1.158  -0.183 -1.158  -0.045 -1.158  0.092 -1.158  0.230 -1.158  0.368 -1.158  0.504 -1.154  0.601 -1.057  0.699 -0.960  0.672 -0.834  0.625 -0.705  0.579 -0.575  0.533 -0.445  0.486 -0.316  0.440 -0.186  0.394 -0.056  0.347 0.074  0.301 0.203  0.255 0.333  0.208 0.463  0.162 0.592  0.116 0.722  0.070 0.852  0.023 0.981  -0.023 1.111  -0.069 1.241  -0.116 1.370  -0.162 1.500  -0.208 1.630  -0.255 1.759  -0.301 1.889  -0.347 2.019
3#apa#apa10#app1033/s  -1.414 -0.122  -1.546 -0.122  -1.678 -0.122  -1.567 -0.122  -1.436 -0.122  -1.414 -0.011  -1.414 0.121  -1.317 0.177  -1.190 0.209  -1.062 0.241  -0.934 0.273  -0.806 0.305  -0.678 0.337  -0.550 0.369  -0.422 0.401  -0.293 0.427  -0.161 0.427  -0.030 0.427  0.102 0.427  0.234 0.427  0.366 0.427  0.498 0.427  0.630 0.427  0.762 0.427  0.882 0.377  1.000 0.318  1.118 0.259  1.236 0.200  1.331 0.127  1.331 -0.005  1.331 -0.136  1.331 -0.268  1.327 -0.397  1.202 -0.439  1.077 -0.481  0.952 -0.522  0.826 -0.564  0.701 -0.606  0.576 -0.648  0.458 -0.638  0.348 -0.565  0.239 -0.491  0.129 -0.418  0.019 -0.345  -0.091 -0.272  -0.200 -0.199  -0.310 -0.126  -0.404 -0.034  -0.497 0.060  -0.591 0.153
3#apa#apa10#app1033/a  1.181 -0.201  1.101 -0.081  1.022 0.038  0.942 0.158  0.862 0.278  0.782 0.397  0.703 0.517  0.623 0.636  0.543 0.756  0.464 0.875  0.361 0.952  0.217 0.952  0.074 0.952  -0.070 0.952  -0.214 0.952  -0.357 0.952  -0.459 0.850  -0.560 0.748  -0.662 0.647  -0.764 0.545  -0.865 0.444  -0.967 0.342  -1.068 0.240  -1.125 0.120  -1.125 -0.024  -1.125 -0.167  -1.125 -0.311  -1.125 -0.455  -1.116 -0.595  -1.014 -0.696  -0.912 -0.798  -0.811 -0.899  -0.701 -0.949  -0.572 -0.885  -0.444 -0.821  -0.315 -0.757  -0.187 -0.692  -0.058 -0.628  0.070 -0.564  0.199 -0.500  0.327 -0.435  0.456 -0.371  0.585 -0.307  0.713 -0.243  0.847 -0.201  0.991 -0.201  1.134 -0.201  1.181 -0.298  1.181 -0.441  1.181 -0.585
3#apa#apa10#app1033/s  -1.128 -0.468  -1.243 -0.411  -1.358 -0.353  -1.473 -0.296  -1.588 -0.238  -1.603 -0.343  -1.599 -0.468  -1.471 -0.468  -1.342 -0.468  -1.214 -0.468  -1.090 -0.449  -0.975 -0.391  -0.860 -0.334  -0.745 -0.277  -0.630 -0.219  -0.515 -0.162  -0.400 -0.104  -0.285 -0.047  -0.171 0.012  -0.064 0.083  0.043 0.154  0.150 0.226  0.257 0.297  0.364 0.368  0.471 0.440  0.584 0.498  0.706 0.539  0.828 0.579  0.950 0.620  1.072 0.661  1.194 0.701  1.245 0.644  1.245 0.515  1.245 0.387  1.245 0.258  1.245 0.129  1.240 0.004  1.125 -0.053  1.010 -0.111  0.895 -0.168  0.780 -0.226  0.653 -0.231  0.524 -0.231  0.396 -0.231  0.275 -0.211  0.185 -0.120  0.094 -0.029  0.003 0.062  -0.088 0.153  -0.179 0.244
3#apa#apa10#app1033/t  0.666 1.783  0.516 1.783  0.387 1.733  0.281 1.627  0.175 1.521  0.069 1.415  -0.030 1.304  -0.085 1.165  -0.141 1.026  -0.197 0.887  -0.252 0.748  -0.308 0.608  -0.364 0.469  -0.419 0.330  -0.475 0.191  -0.513 0.046  -0.549 -0.099  -0.586 -0.245  -0.622 -0.390  -0.658 -0.536  -0.695 -0.681  -0.708 -0.829  -0.695 -0.971  -0.561 -1.038  -0.427 -1.105  -0.293 -1.172  -0.148 -1.194  0.001 -1.194  0.151 -1.194  0.274 -1.128  0.380 -1.022  0.499 -0.934  0.633 -0.867  0.767 -0.800  0.889 -0.732  0.764 -0.649  0.640 -0.566  0.515 -0.482  0.390 -0.399  0.265 -0.316  0.151 -0.221  0.045 -0.115  -0.061 -0.009  -0.167 0.097  -0.227 0.203  -0.121 0.309  -0.013 0.409  0.137 0.409  0.287 0.409  0.437 0.409
3#apa#apa10#app1033/e  -0.586 -0.452  -0.707 -0.330  -0.828 -0.209  -0.774 -0.161  -0.602 -0.161  -0.430 -0.161  -0.259 -0.161  -0.087 -0.161  0.084 -0.161  0.256 -0.161  0.413 -0.098  0.567 -0.021  0.720 0.056  0.873 0.133  0.994 0.255  1.116 0.376  1.237 0.497  1.358 0.619  1.425 0.740  1.304 0.862  1.183 0.983  1.023 0.976  0.854 0.943  0.686 0.909  0.518 0.875  0.349 0.842  0.181 0.808  0.013 0.774  -0.156 0.741  -0.316 0.692  -0.437 0.570  -0.559 0.449  -0.680 0.328  -0.801 0.206  -0.923 0.085  -1.044 -0.036  -1.165 -0.158  -1.093 -0.311  -1.016 -0.464  -0.939 -0.618  -0.854 -0.765  -0.733 -0.887  -0.612 -1.008  -0.451 -1.034  -0.279 -1.034  -0.108 -1.034  0.064 -1.034  0.236 -1.034  0.407 -1.034  0.579 -1.034
3#apa#apa10#app1033/r  -0.534 0.107  -0.534 0.234  -0.534 0.361  -0.523 0.419  -0.483 0.298  -0.443 0.178  -0.403 0.057  -0.362 -0.063  -0.322 -0.184  -0.282 -0.304  -0.242 -0.424  -0.202 -0.545  -0.189 -0.670  -0.189 -0.797  -0.189 -0.924  -0.189 -1.051  -0.189 -1.178  -0.219 -1.275  -0.346 -1.275  -0.473 -1.275  -0.534 -1.210  -0.534 -1.083  -0.534 -0.956  -0.534 -0.829  -0.534 -0.702  -0.534 -0.575  -0.534 -0.448  -0.534 -0.321  -0.503 -0.207  -0.413 -0.117  -0.323 -0.027  -0.233 0.062  -0.144 0.152  -0.054 0.242  0.036 0.332  0.126 0.422  0.226 0.499  0.332 0.569  0.437 0.639  0.543 0.710  0.649 0.780  0.754 0.851  0.860 0.921  0.965 0.992  1.071 1.062  1.177 1.132  1.269 1.219  1.359 1.309  1.448 1.399  1.538 1.489
3#apa#apa10#app1033/s  -1.277 -0.634  -1.403 -0.634  -1.528 -0.634  -1.581 -0.634  -1.455 -0.634  -1.447 -0.516  -1.386 -0.423  -1.282 -0.354  -1.177 -0.284  -1.073 -0.214  -0.969 -0.145  -0.864 -0.075  -0.760 -0.006  -0.655 0.064  -0.551 0.134  -0.446 0.203  -0.336 0.262  -0.223 0.318  -0.111 0.374  0.005 0.423  0.121 0.470  0.238 0.516  0.354 0.563  0.471 0.609  0.587 0.656  0.704 0.703  0.822 0.707  0.941 0.667  1.060 0.627  1.179 0.588  1.273 0.530  1.273 0.404  1.273 0.279  1.273 0.153  1.258 0.036  1.154 -0.034  1.049 -0.103  0.945 -0.173  0.840 -0.242  0.730 -0.294  0.605 -0.294  0.479 -0.294  0.357 -0.316  0.238 -0.356  0.119 -0.395  -0.000 -0.435  -0.111 -0.440  -0.200 -0.351  -0.257 -0.249  -0.257 -0.124
3#apa#apa10#app1033/t  0.321 1.709  0.321 1.878  0.287 1.836  0.234 1.676  0.180 1.516  0.127 1.356  0.071 1.197  0.008 1.040  -0.055 0.884  -0.118 0.727  -0.180 0.570  -0.243 0.413  -0.306 0.257  -0.368 0.100  -0.444 -0.051  -0.519 -0.202  -0.595 -0.353  -0.597 -0.521  -0.597 -0.690  -0.597 -0.859  -0.597 -1.027  -0.490 -1.152  -0.371 -1.271  -0.203 -1.275  -0.035 -1.275  0.134 -1.275  0.303 -1.275  0.244 -1.146  0.157 -1.001  0.070 -0.856  -0.017 -0.712  -0.103 -0.567  -0.190 -0.422  -0.277 -0.278  -0.364 -0.133  -0.529 -0.127  -0.597 -0.026  -0.556 0.102  -0.387 0.102  -0.219 0.102  -0.050 0.102  0.119 0.102  0.288 0.102  0.456 0.102  0.625 0.102  0.794 0.102  0.963 0.102  1.131 0.102  1.300 0.102  1.469 0.102
3#apa#apa10#app1033/r  0.330 0.391  0.206 0.391  0.081 0.391  -0.005 0.330  -0.061 0.219  -0.117 0.108  -0.172 -0.004  -0.228 -0.115  -0.283 -0.227  -0.322 -0.345  -0.361 -0.463  -0.401 -0.581  -0.440 -0.699  -0.479 -0.817  -0.519 -0.935  -0.558 -1.053  -0.586 -1.173  -0.586 -1.297  -0.586 -1.422  -0.586 -1.336  -0.586 -1.212  -0.586 -1.087  -0.586 -0.963  -0.586 -0.839  -0.549 -0.720  -0.510 -0.602  -0.470 -0.484  -0.431 -0.366  -0.392 -0.248  -0.352 -0.130  -0.313 -0.012  -0.265 0.101  -0.177 0.189  -0.089 0.277  -0.001 0.365  0.087 0.453  0.175 0.541  0.263 0.629  0.351 0.717  0.439 0.804  0.527 0.892  0.615 0.980  0.725 1.031  0.843 1.071  0.961 1.110  1.079 1.149  1.197 1.189  1.315 1.228  1.434 1.267  1.552 1.307
3#apa#apa10#app1033/u  -0.814 0.626  -0.895 0.545  -0.976 0.464  -1.057 0.383  -1.117 0.293  -1.117 0.178  -1.117 0.064  -1.117 -0.051  -1.117 -0.166  -1.117 -0.280  -1.117 -0.395  -1.117 -0.510  -1.089 -0.613  -1.008 -0.694  -0.927 -0.775  -0.846 -0.856  -0.752 -0.858  -0.650 -0.807  -0.547 -0.755  -0.445 -0.704  -0.342 -0.653  -0.240 -0.602  -0.152 -0.530  -0.071 -0.449  0.010 -0.368  0.091 -0.287  0.172 -0.205  0.254 -0.124  0.335 -0.043  0.416 0.038  0.497 0.119  0.578 0.200  0.659 0.281  0.726 0.372  0.777 0.475  0.828 0.577  0.880 0.680  0.931 0.782  0.982 0.885  1.004 0.864  1.004 0.749  1.004 0.635  1.004 0.520  1.004 0.405  1.004 0.291  1.004 0.176  1.004 0.061  1.078 0.020  1.192 0.020  1.307 0.020
3#apa#apa10#app1033/c  1.241 0.825  1.129 0.825  1.018 0.825  0.906 0.825  0.795 0.825  0.683 0.825  0.572 0.825  0.460 0.825  0.349 0.825  0.237 0.825  0.126 0.825  0.014 0.825  -0.097 0.825  -0.208 0.825  -0.315 0.805  -0.415 0.756  -0.515 0.706  -0.614 0.656  -0.714 0.606  -0.814 0.556  -0.883 0.487  -0.883 0.376  -0.883 0.265  -0.883 0.153  -0.883 0.042  -0.883 -0.070  -0.883 -0.181  -0.883 -0.293  -0.870 -0.397  -0.777 -0.459  -0.684 -0.521  -0.592 -0.583  -0.499 -0.645  -0.406 -0.706  -0.313 -0.768  -0.221 -0.830  -0.128 -0.892  -0.035 -0.954  0.062 -0.984  0.168 -0.948  0.273 -0.913  0.379 -0.878  0.485 -0.843  0.591 -0.807  0.696 -0.772  0.802 -0.737  0.908 -0.702  1.018 -0.692  1.129 -0.692  1.241 -0.692
