3#apa#apa00#app0099/A  0.080 1.476  0.007 1.387  -0.053 1.135  -0.139 0.890  -0.200 0.634  -0.284 0.382  -0.368 0.131  -0.452 -0.121  -0.536 -0.373  -0.578 -0.632  -0.651 -0.886  -0.714 -1.136  -0.797 -1.382  -0.718 -1.279  -0.652 -1.022  -0.586 -0.765  -0.520 -0.508  -0.454 -0.250  -0.388 0.007  -0.322 0.264  -0.256 0.521  -0.190 0.779  -0.124 1.036  -0.058 1.293  0.007 1.550  0.171 1.695  0.373 1.546  0.373 1.280  0.416 1.025  0.446 0.766  0.446 0.501  0.515 0.246  0.566 -0.007  0.592 -0.267  0.665 -0.515  0.753 -0.761  0.847 -1.009  0.958 -1.192  0.824 -1.222  0.596 -1.085  0.368 -0.948  0.141 -0.812  -0.087 -0.675  -0.315 -0.539  -0.460 -0.425  -0.341 -0.279  -0.109 -0.190  0.143 -0.132  0.401 -0.071  0.665 -0.059
3#apa#apa00#app0099/n  -0.346 1.456  -0.378 1.327  -0.475 1.262  -0.544 1.129  -0.603 0.993  -0.603 0.832  -0.603 0.671  -0.603 0.509  -0.603 0.348  -0.603 0.187  -0.603 0.026  -0.603 -0.135  -0.603 -0.296  -0.603 -0.458  -0.603 -0.619  -0.603 -0.780  -0.603 -0.941  -0.603 -1.102  -0.587 -1.247  -0.475 -1.296  -0.475 -1.294  -0.394 -1.166  -0.346 -1.025  -0.346 -0.863  -0.346 -0.702  -0.346 -0.541  -0.346 -0.380  -0.289 -0.232  -0.217 -0.088  -0.217 0.073  -0.171 0.215  -0.057 0.329  0.040 0.450  0.097 0.555  0.169 0.644  0.290 0.684  0.451 0.684  0.613 0.684  0.774 0.684  0.812 0.561  0.941 0.528  0.941 0.367  1.005 0.233  1.069 0.098  1.142 -0.033  1.198 -0.171  1.198 -0.332  1.264 -0.478  1.342 -0.618  1.455 -0.732
3#apa#apa00#app0099/a  -0.980 0.924  -0.861 0.952  -0.861 1.100  -0.775 1.162  -0.627 1.162  -0.479 1.162  -0.331 1.162  -0.183 1.162  -0.035 1.162  0.112 1.162  0.260 1.162  0.385 1.106  0.507 1.043  0.568 0.956  0.568 0.808  0.550 0.668  0.449 0.562  0.425 0.424  0.321 0.319  0.216 0.215  0.112 0.110  -0.028 0.090  -0.094 -0.043  -0.168 -0.169  -0.272 -0.274  -0.377 -0.378  -0.481 -0.483  -0.540 -0.616  -0.587 -0.756  -0.623 -0.898  -0.623 -1.046  -0.623 -1.194  -0.502 -1.222  -0.397 -1.326  -0.255 -1.339  -0.111 -1.321  0.021 -1.255  0.153 -1.189  0.285 -1.123  0.399 -1.031  0.504 -0.927  0.568 -0.805  0.568 -0.657  0.568 -0.510  0.568 -0.362  0.568 -0.214  0.568 -0.066  0.568 0.082  0.553 0.224  0.449 0.328
3#apa#apa00#app0099/n  -0.654 1.214  -0.654 1.047  -0.654 0.880  -0.654 0.712  -0.654 0.545  -0.654 0.378  -0.654 0.210  -0.654 0.043  -0.654 -0.125  -0.654 -0.292  -0.654 -0.459  -0.687 -0.622  -0.728 -0.785  -0.769 -0.947  -0.755 -1.094  -0.654 -1.220  -0.654 -1.287  -0.578 -1.196  -0.512 -1.094  -0.512 -0.927  -0.370 -0.901  -0.370 -0.734  -0.370 -0.567  -0.370 -0.399  -0.290 -0.265  -0.172 -0.147  -0.087 -0.015  -0.087 0.153  -0.087 0.320  0.001 0.451  0.055 0.596  0.137 0.729  0.256 0.848  0.374 0.966  0.497 1.073  0.665 1.073  0.832 1.073  0.906 0.979  0.990 0.846  1.048 0.703  1.048 0.536  1.048 0.368  1.033 0.207  0.914 0.089  0.906 -0.075  0.906 -0.243  0.906 -0.410  0.906 -0.577  0.906 -0.745  0.906 -0.912
3#apa#apa00#app0099/d  0.348 -0.172  0.348 0.038  0.348 0.248  0.251 0.417  0.130 0.506  -0.068 0.478  -0.249 0.409  -0.422 0.318  -0.532 0.216  -0.706 0.130  -0.804 -0.054  -0.878 -0.235  -0.984 -0.414  -1.058 -0.610  -1.106 -0.812  -1.106 -1.022  -1.041 -1.205  -0.961 -1.382  -0.772 -1.431  -0.563 -1.431  -0.371 -1.355  -0.234 -1.210  -0.137 -1.040  -0.054 -0.865  0.045 -0.681  0.095 -0.483  0.154 -0.287  0.196 -0.087  0.272 0.107  0.323 0.310  0.348 0.517  0.403 0.714  0.453 0.912  0.541 1.101  0.554 1.307  0.638 1.497  0.638 1.630  0.541 1.461  0.520 1.260  0.372 1.112  0.348 0.912  0.348 0.702  0.348 0.492  0.348 0.282  0.348 0.073  0.348 -0.137  0.426 -0.328  0.541 -0.494  0.644 -0.659  0.832 -0.753
3#apa#apa00#app0099/h  -0.127 2.012  -0.222 1.891  -0.222 1.730  -0.268 1.589  -0.357 1.458  -0.411 1.310  -0.411 1.150  -0.411 0.989  -0.411 0.829  -0.463 0.680  -0.505 0.530  -0.505 0.369  -0.505 0.209  -0.505 0.048  -0.505 -0.112  -0.505 -0.273  -0.444 -0.408  -0.411 -0.555  -0.411 -0.715  -0.411 -0.876  -0.411 -1.036  -0.411 -1.008  -0.411 -0.848  -0.352 -0.701  -0.316 -0.549  -0.222 -0.428  -0.165 -0.291  -0.118 -0.150  -0.005 -0.036  0.109 0.077  0.156 0.219  0.250 0.340  0.316 0.473  0.429 0.587  0.586 0.596  0.628 0.478  0.628 0.317  0.584 0.175  0.533 0.035  0.533 -0.125  0.533 -0.286  0.533 -0.446  0.533 -0.607  0.533 -0.767  0.533 -0.928  0.533 -1.088  0.533 -1.249  0.586 -1.397  0.628 -1.547  0.722 -1.669
3#apa#apa00#app0099/i  -0.029 0.818  -0.120 0.727  -0.147 0.609  -0.193 0.490  -0.251 0.375  -0.265 0.249  -0.265 0.120  -0.265 -0.009  -0.265 -0.139  -0.265 -0.268  -0.265 -0.397  -0.265 -0.526  -0.265 -0.655  -0.265 -0.785  -0.265 -0.914  -0.224 -1.033  -0.166 -1.149  -0.147 -1.273  -0.078 -1.374  0.030 -1.424  0.159 -1.424  0.207 -1.342  0.273 -1.240  0.380 -1.188  0.443 -1.122  0.427 -0.994  0.401 -0.868  0.375 -0.741  0.348 -0.615  0.322 -0.488  0.296 -0.362  0.269 -0.235  0.243 -0.109  0.217 0.018  0.190 0.144  0.164 0.270  0.138 0.397  0.111 0.523  0.085 0.650  0.059 0.776  0.032 0.903  0.006 1.029  -0.021 1.156  -0.047 1.282  -0.073 1.409  -0.100 1.535  -0.126 1.662  -0.166 1.781  -0.257 1.872  -0.383 1.880
3#apa#apa00#app0099/d  0.314 -0.295  0.306 -0.097  0.164 0.046  -0.022 0.086  -0.224 0.086  -0.330 -0.009  -0.480 -0.135  -0.622 -0.278  -0.793 -0.353  -0.884 -0.486  -1.021 -0.607  -1.080 -0.795  -1.117 -0.988  -1.092 -1.179  -0.919 -1.249  -0.717 -1.249  -0.524 -1.229  -0.381 -1.086  -0.238 -0.943  -0.163 -0.772  -0.067 -0.610  -0.012 -0.431  0.050 -0.251  0.135 -0.068  0.199 0.123  0.281 0.307  0.314 0.501  0.377 0.688  0.409 0.882  0.505 1.045  0.516 1.242  0.600 1.409  0.600 1.611  0.600 1.794  0.518 1.626  0.505 1.430  0.409 1.267  0.335 1.083  0.314 0.886  0.240 0.702  0.219 0.505  0.219 0.303  0.219 0.101  0.219 -0.101  0.219 -0.303  0.219 -0.505  0.239 -0.698  0.382 -0.841  0.458 -1.011  0.600 -1.154
3#apa#apa00#app0099/e  -0.492 -0.100  -0.350 -0.100  -0.329 0.021  -0.229 0.062  -0.166 0.142  -0.108 0.225  0.034 0.225  0.176 0.225  0.318 0.225  0.322 0.363  0.439 0.388  0.581 0.388  0.701 0.441  0.801 0.542  0.810 0.680  0.810 0.822  0.810 0.964  0.763 1.086  0.663 1.187  0.527 1.202  0.414 1.131  0.311 1.039  0.169 1.039  0.027 1.039  -0.004 0.928  -0.094 0.876  -0.166 0.806  -0.201 0.679  -0.302 0.578  -0.402 0.478  -0.492 0.374  -0.492 0.232  -0.492 0.090  -0.492 -0.052  -0.492 -0.194  -0.492 -0.336  -0.492 -0.478  -0.492 -0.620  -0.492 -0.762  -0.492 -0.904  -0.492 -1.046  -0.414 -1.155  -0.313 -1.256  -0.213 -1.356  -0.113 -1.456  -0.012 -1.557  -0.004 -1.695  0.105 -1.728  0.221 -1.790  0.322 -1.891
3#apa#apa00#app0099/o  0.188 0.814  0.188 0.949  0.060 0.957  -0.074 0.957  -0.209 0.957  -0.313 0.882  -0.408 0.787  -0.504 0.692  -0.599 0.596  -0.694 0.501  -0.790 0.406  -0.885 0.310  -0.950 0.202  -0.950 0.068  -0.950 -0.067  -0.950 -0.202  -0.950 -0.337  -0.950 -0.472  -0.950 -0.606  -0.855 -0.702  -0.760 -0.797  -0.665 -0.893  -0.569 -0.988  -0.454 -1.034  -0.319 -1.034  -0.184 -1.034  -0.049 -1.034  0.086 -1.034  0.220 -1.034  0.348 -1.016  0.443 -0.921  0.538 -0.826  0.634 -0.731  0.729 -0.635  0.757 -0.512  0.757 -0.377  0.814 -0.266  0.899 -0.166  0.899 -0.032  0.899 0.103  0.899 0.238  0.899 0.373  0.814 0.473  0.733 0.578  0.672 0.699  0.614 0.820  0.614 0.954  0.521 1.050  0.425 1.146  0.330 1.241
3#apa#apa00#app0099/u  -0.943 1.009  -0.906 1.182  -0.759 1.280  -0.571 1.280  -0.402 1.261  -0.402 1.073  -0.489 0.921  -0.537 0.753  -0.575 0.603  -0.672 0.513  -0.736 0.340  -0.808 0.169  -0.808 -0.019  -0.808 -0.207  -0.808 -0.395  -0.808 -0.583  -0.808 -0.771  -0.808 -0.959  -0.683 -1.022  -0.630 -1.157  -0.442 -1.157  -0.258 -1.148  -0.131 -1.013  -0.070 -0.886  0.085 -0.806  0.140 -0.640  0.255 -0.500  0.286 -0.323  0.370 -0.155  0.411 0.023  0.516 0.167  0.546 0.343  0.591 0.512  0.681 0.663  0.681 0.851  0.798 0.990  0.817 0.847  0.738 0.738  0.681 0.607  0.551 0.473  0.546 0.287  0.546 0.099  0.546 -0.089  0.546 -0.277  0.546 -0.465  0.668 -0.602  0.681 -0.785  0.768 -0.886  0.915 -0.984  0.952 -1.157
3#apa#apa00#app0099/s  0.362 1.252  0.362 1.347  0.308 1.389  0.213 1.389  0.117 1.389  0.040 1.344  -0.027 1.277  -0.112 1.252  -0.208 1.252  -0.304 1.252  -0.328 1.180  -0.328 1.085  -0.328 0.989  -0.328 0.894  -0.328 0.798  -0.328 0.702  -0.262 0.634  -0.195 0.567  -0.150 0.482  -0.108 0.397  -0.065 0.311  -0.052 0.219  -0.034 0.130  0.033 0.063  0.095 -0.009  0.138 -0.094  0.181 -0.180  0.223 -0.265  0.291 -0.333  0.359 -0.400  0.362 -0.495  0.362 -0.590  0.362 -0.686  0.362 -0.782  0.362 -0.877  0.362 -0.973  0.362 -1.068  0.291 -1.093  0.224 -1.122  0.224 -1.217  0.142 -1.231  0.047 -1.231  -0.049 -1.231  -0.145 -1.231  -0.226 -1.196  -0.293 -1.128  -0.374 -1.093  -0.469 -1.090  -0.536 -1.023  -0.604 -0.955
3#apa#apa00#app0099/l  0.070 1.627  0.070 1.556  0.031 1.525  -0.033 1.517  -0.033 1.446  -0.033 1.375  -0.033 1.304  -0.033 1.233  -0.033 1.162  -0.033 1.091  -0.033 1.020  -0.033 0.949  -0.033 0.878  -0.033 0.807  -0.033 0.736  -0.033 0.665  -0.033 0.594  -0.033 0.523  -0.033 0.452  -0.033 0.381  -0.033 0.310  -0.033 0.239  -0.033 0.168  -0.033 0.097  -0.033 0.026  -0.033 -0.045  -0.033 -0.116  -0.002 -0.180  0.030 -0.244  0.062 -0.307  0.070 -0.376  0.070 -0.447  0.070 -0.518  0.070 -0.589  0.070 -0.660  0.070 -0.731  0.070 -0.802  0.070 -0.873  0.070 -0.944  0.070 -1.016  0.070 -1.087  0.065 -1.156  0.033 -1.220  0.001 -1.283  -0.031 -1.347  -0.033 -1.417  -0.033 -1.488  -0.035 -1.558  -0.085 -1.609  -0.135 -1.659
3#apa#apa00#app0099/y  -0.714 1.120  -0.578 1.120  -0.474 1.197  -0.339 1.197  -0.203 1.197  -0.144 1.120  -0.115 1.043  -0.177 0.970  -0.216 0.851  -0.312 0.755  -0.330 0.627  -0.372 0.501  -0.407 0.374  -0.407 0.238  -0.330 0.180  -0.251 0.123  -0.133 0.167  -0.088 0.277  -0.024 0.348  0.068 0.445  0.130 0.555  0.151 0.682  0.206 0.794  0.283 0.853  0.283 0.945  0.283 0.809  0.283 0.674  0.283 0.538  0.283 0.403  0.283 0.267  0.283 0.132  0.283 -0.004  0.283 -0.139  0.283 -0.275  0.283 -0.410  0.283 -0.546  0.283 -0.681  0.283 -0.817  0.283 -0.952  0.283 -1.088  0.283 -1.224  0.283 -1.359  0.279 -1.494  0.219 -1.615  0.175 -1.716  0.040 -1.716  -0.096 -1.716  -0.215 -1.678  -0.311 -1.582  -0.407 -1.486
